id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2740092277,14,1,1,0,31,aljua8crr0vkwit0j3m59jw9j,1,13.7,55.6,2024-10-27T15:02:20.467Z,2024-10-27T15:02:21Z,c7gwbtdqptxjtu3tn3xctvit,J. Busk,,,5319067739,212,16.0,5319067733,141,79.0,5319067745,213,1.44,5319067723,56,Back,5319067727,140,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740092315,15,1,1,0,33,aljua8crr0vkwit0j3m59jw9j,1,15.8,81.4,2024-10-27T15:02:21.923Z,2024-10-27T15:02:23Z,czpstoiy12awqpasz573ckp91,D. Grétarsson,,,5319067987,212,12.5,5319067981,56,Back,5319067989,213,0.97,5319067983,140,22.5,5319067985,141,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740092341,16,1,1,0,35,aljua8crr0vkwit0j3m59jw9j,1,23.2,96.7,2024-10-27T15:02:24.067Z,2024-10-27T15:02:25Z,7sbdudf1vycn8hinw0giakpyi,E. Duru,,,5319068131,141,94.8,5319068137,213,6.21,5319068125,56,Back,5319068127,140,39.6,5319068133,212,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740092363,17,1,1,0,37,aljua8crr0vkwit0j3m59jw9j,1,39.6,94.8,2024-10-27T15:02:25.987Z,2024-10-27T15:02:26Z,94560hgwsjkx8qgz48f7gzitw,O. Hyseni,,,5319068241,141,93.6,5319068237,56,Back,5319068243,212,6.1,5319068235,168,,5319068239,140,45.4,5319068245,213,6.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740092403,18,3,1,0,40,aljua8crr0vkwit0j3m59jw9j,0,47.2,95.0,2024-10-27T15:02:28.876Z,2024-10-27T18:00:28Z,1902oagnhlo7x9xpumxvg1t78,L. Björklund,,,5319068485,233,5,5320169881,465,,5319068433,286,,5319068431,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740092409,5,7,1,0,40,cftj6g399tknheudaxsdpfdgb,0,52.8,5.0,2024-10-27T15:02:28.877Z,2024-10-27T18:00:30Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,,5319068455,233,18,5319068437,285,,5320170083,385,,5319068435,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740092441,19,61,1,0,41,aljua8crr0vkwit0j3m59jw9j,1,46.3,94.9,2024-10-27T15:02:30.294Z,2024-10-27T15:23:57Z,1902oagnhlo7x9xpumxvg1t78,L. Björklund,,,5319068601,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740092495,6,5,1,0,42,cftj6g399tknheudaxsdpfdgb,1,49.9,-1.5,2024-10-27T15:02:30.932Z,2024-10-27T15:24:01Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,,5319068875,347,,5319068873,56,Back,5319068923,233,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740092467,20,5,1,0,42,aljua8crr0vkwit0j3m59jw9j,0,50.1,101.5,2024-10-27T15:02:30.932Z,2024-10-27T15:23:59Z,1902oagnhlo7x9xpumxvg1t78,L. Björklund,,,5319068733,347,,5319068729,56,Left,5319068975,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740092539,7,1,1,0,44,cftj6g399tknheudaxsdpfdgb,1,48.6,0.0,2024-10-27T15:02:33.532Z,2024-10-27T15:02:36Z,bitixkzgt5p65rlo2bnllcf6x,J. Mbom,,,5319069113,56,Back,5319069119,212,21.3,5319069117,141,3.4,5319069111,107,,5319069115,140,28.5,5319069123,1,,5319069121,213,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740092583,8,1,1,0,47,cftj6g399tknheudaxsdpfdgb,1,27.9,1.9,2024-10-27T15:02:36.316Z,2024-10-27T18:00:42Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,,5319069345,140,19.2,5319069349,212,33.8,5319069347,141,49.7,5319069343,56,Back,5320171025,1,,5319069351,213,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740092629,9,1,1,0,50,cftj6g399tknheudaxsdpfdgb,1,19.1,46.6,2024-10-27T15:02:39.260Z,2024-10-27T18:00:46Z,dk9nlp77b6q38p751f8w3o8np,O. Hedvall,,,5319069561,213,1.40,5319069555,140,20.8,5319069559,212,10.6,5319069553,56,Back,5319069557,141,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740092685,10,1,1,0,53,cftj6g399tknheudaxsdpfdgb,1,21.5,65.4,2024-10-27T15:02:41.852Z,2024-10-27T15:02:45Z,9qskwuil30g48xr3ax5p9j6j9,I. Näsberg,,,5319069845,141,47.0,5319069841,56,Back,5319069849,213,4.16,5319069843,140,14.2,5319069847,212,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740092719,11,1,1,0,56,cftj6g399tknheudaxsdpfdgb,1,12.0,39.1,2024-10-27T15:02:44.956Z,2024-10-27T18:00:53Z,dk9nlp77b6q38p751f8w3o8np,O. Hedvall,,,5319070073,212,21.6,5319070075,213,5.76,5319070061,140,29.8,5319070069,141,23.3,5319070057,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740092757,12,1,1,0,58,cftj6g399tknheudaxsdpfdgb,1,26.4,15.5,2024-10-27T15:02:46.940Z,2024-10-27T15:02:48Z,vrzye4jqrafujmjw3wakjpxw,T. Jørgensen,,,5319070307,213,4.35,5319070301,140,23.5,5319070305,212,8.5,5319070303,141,3.8,5319070299,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740092833,13,1,1,0,59,cftj6g399tknheudaxsdpfdgb,1,24.6,2.7,2024-10-27T15:02:48.732Z,2024-10-27T18:01:04Z,bitixkzgt5p65rlo2bnllcf6x,J. Mbom,,,5319070815,141,19.2,5319070813,140,15.0,5319070819,213,2.30,5319070817,212,15.1,5319070811,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740092981,14,1,1,1,3,cftj6g399tknheudaxsdpfdgb,1,19.5,24.8,2024-10-27T15:02:52.573Z,2024-10-27T15:03:02Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,,5319071635,141,80.9,5319071633,140,33.5,5319071639,213,1.20,5319071641,1,,5319071629,155,,5319071637,212,40.9,5319071631,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740093033,15,1,1,1,13,cftj6g399tknheudaxsdpfdgb,1,21.7,85.2,2024-10-27T15:03:02.061Z,2024-10-27T15:03:05Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5319071957,141,71.9,5319071953,56,Back,5319071959,212,21.2,5319071961,213,3.58,5319071955,140,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740093139,16,1,1,1,16,cftj6g399tknheudaxsdpfdgb,0,4.2,71.6,2024-10-27T15:03:05.148Z,2024-10-27T15:03:11Z,dk9nlp77b6q38p751f8w3o8np,O. Hedvall,,,5319072545,56,Center,5319072547,140,54.7,5319072549,141,67.8,5319072543,157,,5319072555,1,,5319072551,212,53.1,5319072553,213,6.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740093131,21,43,1,1,21,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2024-10-27T15:03:10.236Z,2024-10-27T15:04:30Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5319080691,144,44,5319072669,233,17,5319072489,56,Back,5319072491,285,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740093149,17,43,1,1,21,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-10-27T15:03:10.237Z,2024-10-27T15:04:37Z,5m27f84vvraap8bmfujt1qiok,A. Ementa,,,5319072619,286,0,5319072617,56,Center,5319081579,144,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740093145,22,1,1,1,21,aljua8crr0vkwit0j3m59jw9j,0,47.3,31.7,2024-10-27T15:03:10.772Z,2024-10-27T15:05:15Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5319072583,56,Center,5319072595,212,6.3,5319072591,141,36.8,5319072587,140,52.3,5319072597,213,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740093195,18,1,1,1,22,cftj6g399tknheudaxsdpfdgb,1,44.2,67.7,2024-10-27T15:03:11.693Z,2024-10-27T15:03:13Z,wnin2353js3p5rh4d7e2ymwa,M. Søndergaard,,,5319072901,213,4.88,5319072895,140,47.1,5319072897,141,41.2,5319072899,212,18.3,5319072893,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740093213,19,1,1,1,24,cftj6g399tknheudaxsdpfdgb,0,48.0,40.1,2024-10-27T15:03:12.973Z,2024-10-27T15:03:14Z,vrzye4jqrafujmjw3wakjpxw,T. Jørgensen,,,5319072995,141,23.2,5319072991,56,Center,5319072993,140,59.0,5319072999,213,5.50,5319072997,212,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740093217,23,8,1,1,26,aljua8crr0vkwit0j3m59jw9j,1,36.0,78.4,2024-10-27T15:03:14.885Z,2024-10-27T18:01:35Z,7sbdudf1vycn8hinw0giakpyi,E. Duru,,,5320175423,385,,5319073005,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740093403,20,1,1,1,35,cftj6g399tknheudaxsdpfdgb,1,13.6,57.9,2024-10-27T15:03:23.933Z,2024-10-27T15:03:26Z,dk9nlp77b6q38p751f8w3o8np,O. Hedvall,,,5319074017,141,45.5,5319074019,212,13.6,5319074013,56,Back,5319074015,140,23.8,5319074021,213,5.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740093435,21,1,1,1,37,cftj6g399tknheudaxsdpfdgb,1,23.8,45.5,2024-10-27T15:03:26.013Z,2024-10-27T15:03:30Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,,5319074183,213,1.61,5319074181,212,12.2,5319074177,140,23.4,5319074179,141,63.5,5319074175,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740093473,22,1,1,1,41,cftj6g399tknheudaxsdpfdgb,1,28.4,75.0,2024-10-27T15:03:29.966Z,2024-10-27T15:03:32Z,9qskwuil30g48xr3ax5p9j6j9,I. Näsberg,,,5319074363,141,83.6,5319074365,212,18.9,5319074361,140,45.5,5319074367,213,0.31,5319074359,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740093503,23,1,1,1,43,cftj6g399tknheudaxsdpfdgb,1,45.3,85.2,2024-10-27T15:03:32.061Z,2024-10-27T15:03:34Z,73lwz4he5erpp25zi8crjvztg,I. Jensen,,,5319074517,56,Back,5319074521,140,44.8,5319074527,213,1.66,5319074525,212,6.1,5319074523,141,94.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740093529,24,1,1,1,45,cftj6g399tknheudaxsdpfdgb,0,47.6,96.3,2024-10-27T15:03:34.077Z,2024-10-27T15:03:35Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5319074655,56,Left,5319074667,213,0.02,5319074661,141,97.2,5319074657,140,74.1,5319074665,212,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740093545,24,1,1,1,47,aljua8crr0vkwit0j3m59jw9j,0,30.6,4.2,2024-10-27T15:03:36.598Z,2024-10-27T15:03:36Z,3361cs2j60yxzy9mir80byqc5,A. Oggesen,,,5319074737,56,Back,5319074739,140,39.3,5319074745,213,0.05,5319074743,212,9.1,5319074741,141,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740093609,25,1,1,1,48,cftj6g399tknheudaxsdpfdgb,1,64.5,95.4,2024-10-27T15:03:37.757Z,2024-10-27T15:03:41Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5319075085,141,94.8,5319075089,213,6.24,5319075083,140,73.0,5319075087,212,8.9,5319075081,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740093619,26,1,1,1,52,cftj6g399tknheudaxsdpfdgb,1,69.7,95.0,2024-10-27T15:03:41.118Z,2024-10-27T15:03:42Z,73lwz4he5erpp25zi8crjvztg,I. Jensen,,,5319075151,56,Left,5319075159,141,95.7,5319075165,212,7.5,5319075169,213,0.06,5319075155,140,76.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740093647,27,1,1,1,53,cftj6g399tknheudaxsdpfdgb,1,76.8,95.7,2024-10-27T15:03:41.998Z,2024-10-27T15:03:43Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5319075303,213,3.11,5319075301,212,7.4,5319075299,141,96.0,5319075297,140,69.8,5319075295,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740093763,28,1,1,1,54,cftj6g399tknheudaxsdpfdgb,1,69.8,95.7,2024-10-27T15:03:43.278Z,2024-10-27T15:03:49Z,73lwz4he5erpp25zi8crjvztg,I. Jensen,,,5319075905,140,69.4,5319075911,213,4.67,5319075909,212,9.2,5319075903,56,Left,5319075907,141,82.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740093695,25,83,1,1,57,aljua8crr0vkwit0j3m59jw9j,0,30.8,13.8,2024-10-27T15:03:46.181Z,2024-10-27T15:03:50Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5319075959,399,9o10vhew3jar8tqnkabw0qoyx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740093765,29,1,1,2,0,cftj6g399tknheudaxsdpfdgb,1,70.0,81.6,2024-10-27T15:03:49.742Z,2024-10-27T15:03:52Z,9o10vhew3jar8tqnkabw0qoyx,J. Lonwijk,,,5319075921,56,Left,5319075927,212,8.6,5319075929,213,0.52,5319075923,140,77.1,5319075925,141,87.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740093865,30,1,1,2,3,cftj6g399tknheudaxsdpfdgb,1,80.5,86.6,2024-10-27T15:03:52.446Z,2024-10-27T15:04:33Z,73lwz4he5erpp25zi8crjvztg,I. Jensen,1.0,,5319076519,155,,5319081141,210,15,5319076523,140,80.2,5319076525,141,39.2,5319076531,213,4.70,5319076521,56,Center,5319076527,212,32.2,5319076535,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740093875,31,15,1,2,6,cftj6g399tknheudaxsdpfdgb,1,81.0,40.9,2024-10-27T15:03:55.390Z,2024-10-27T18:02:16Z,bitixkzgt5p65rlo2bnllcf6x,J. Mbom,,,5319076575,18,,5319081175,29,,5319081181,102,51.9,5319081177,55,30,5319076577,56,Center,5319080617,72,,5319080621,82,,5319081183,103,19,5319081189,230,97.8,5319081239,233,26,5319081173,76,5319076573,22,5319081191,231,47.5,5319081187,147,42.2,5319081185,146,83.3,,,,,,,,,,,,,,
2740093869,26,10,1,2,6,aljua8crr0vkwit0j3m59jw9j,1,16.7,57.8,2024-10-27T15:03:55.490Z,2024-10-27T15:04:34Z,czpstoiy12awqpasz573ckp91,D. Grétarsson,,,5319076553,56,Back,5319081245,233,31,5319076549,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
