id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/8/value,qualifier/13/value,qualifier/15/value,qualifier/16/value
2747130875,4,1,1,0,13,5rz9enoyknpg8ji78za5b82p0,0,27.7,29.8,2024-11-10T17:02:26.060Z,2024-11-10T17:02:28Z,aswmi1pnkzkvkexp8ngief6j9,F. Beijmo,,,5357448515,213,1.79,5357448513,212,5.8,5357448511,141,38.2,5357448507,56,Back,5357448505,3,,5357448509,140,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747130951,8,1,1,0,16,b3r6d8ydtmtjckam6pku9y400,1,73.7,54.3,2024-11-10T17:02:28.989Z,2024-11-10T17:02:32Z,7hw1plnv7nvxnqpnfnxcxszpx,A. Cornelius,,,5357448861,212,20.4,5357448849,56,Left,5357448845,3,,5357448853,140,78.0,5357448857,141,83.5,5357448867,213,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747130977,9,3,1,0,19,b3r6d8ydtmtjckam6pku9y400,0,82.7,81.8,2024-11-10T17:02:32.237Z,2024-11-10T17:58:42Z,6tckvu2rw7ns18dq7dim0sout,M. Elyounoussi,,,5357449011,286,,5357449067,233,5,5357449009,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747130971,5,7,1,0,19,5rz9enoyknpg8ji78za5b82p0,0,17.3,18.2,2024-11-10T17:02:32.238Z,2024-11-10T17:58:41Z,aswmi1pnkzkvkexp8ngief6j9,F. Beijmo,,,5357449025,233,9,5357448973,56,Back,5357448977,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747131031,10,4,1,0,22,b3r6d8ydtmtjckam6pku9y400,1,74.3,81.2,2024-11-10T17:02:34.893Z,2024-11-10T17:58:29Z,4gqnyyx3i92fayq6cxvekqwut,T. Delaney,,,5357451175,265,,5357451173,152,,5357451177,286,,5357449279,56,Left,5357451171,13,,5357451189,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747131287,7,4,1,0,22,5rz9enoyknpg8ji78za5b82p0,0,25.7,18.8,2024-11-10T17:02:34.894Z,2024-11-10T17:58:30Z,aswmi1pnkzkvkexp8ngief6j9,F. Beijmo,,,5357451213,233,10,5357450561,265,,5357450555,13,,5357450559,152,,5357450563,285,,5357450557,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747131019,6,43,1,0,22,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-11-10T17:02:35.100Z,2024-11-10T17:02:38Z,61sojkdsmaz9hbwaskt4rws15,M. Anderson,,,5357449583,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747131877,11,1,1,1,3,b3r6d8ydtmtjckam6pku9y400,1,74.6,89.9,2024-11-10T17:03:16.509Z,2024-11-10T17:04:21Z,6tckvu2rw7ns18dq7dim0sout,M. Elyounoussi,1.0,,5357453851,5,,5357459169,154,,5357453863,212,28.2,5357453857,56,Center,5357453865,213,5.30,5357459171,24,,5357453849,2,,5357453861,141,55.5,5357453855,152,5357453859,140,89.6,5357459167,210,16,5357453853,155,,,,,,,,,,,,,,,,,,,,
2747132135,14,44,1,1,4,b3r6d8ydtmtjckam6pku9y400,1,90.6,54.2,2024-11-10T17:03:17.204Z,2024-11-10T18:55:53Z,ayqy2vql1oumokqly9ahfrnx1,P. Hatzidiakos,,,5357455091,286,,5357455089,56,Center,5357466113,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747131805,8,44,1,1,4,5rz9enoyknpg8ji78za5b82p0,0,9.4,45.8,2024-11-10T17:03:17.205Z,2024-11-10T18:55:53Z,aswmi1pnkzkvkexp8ngief6j9,F. Beijmo,,,5357466141,233,14,5357453493,285,,5357453491,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747131887,12,16,1,1,5,b3r6d8ydtmtjckam6pku9y400,1,89.6,55.5,2024-11-10T17:03:17.869Z,2024-11-10T17:05:50Z,ayqy2vql1oumokqly9ahfrnx1,P. Hatzidiakos,,,5357455129,15,,5357459237,274,,5357459221,55,11,5357455135,374,2024-11-10 17:03:17.176,5357459219,154,,5357455133,328,,5357459233,231,50.4,5357453905,56,Center,5357459235,138,5357453903,17,,5357459229,136,,5357455139,375,01:04.318,5357459227,103,24.1,5357459215,77,5357459231,230,98.6,5357455127,24,5357459217,29,5357459225,102,54.6,,,,
2747131993,13,43,1,1,13,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2024-11-10T17:03:26.559Z,2024-11-10T17:03:34Z,ayqy2vql1oumokqly9ahfrnx1,P. Hatzidiakos,,,5357454373,286,0,5357454371,56,Center,5357454535,144,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747132703,9,1,1,1,58,5rz9enoyknpg8ji78za5b82p0,1,50.4,49.9,2024-11-10T17:04:11.381Z,2024-11-10T17:04:13Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Madsen,,,5357458253,140,34.8,5357458257,212,18.0,5357458259,213,3.57,5357458255,141,38.8,5357458261,279,G,5357458251,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747132743,10,1,1,2,0,5rz9enoyknpg8ji78za5b82p0,0,34.8,38.8,2024-11-10T17:04:13.035Z,2024-11-10T17:04:15Z,6my7s0ezr6jldotm1w6nk7b9x,F. Tingager,,,5357458483,212,37.6,5357458487,213,5.93,5357458491,1,,5357458477,141,19.8,5357458467,56,Right,5357458463,157,,5357458473,140,68.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747189737,382,1,1,2,2,b3r6d8ydtmtjckam6pku9y400,0,20.2,79.4,2024-11-10T17:04:14.858Z,2024-11-10T17:51:59Z,4gqnyyx3i92fayq6cxvekqwut,T. Delaney,,,5357773655,3,,5357773663,212,26.8,5357773659,140,45.7,5357773661,141,79.1,5357773665,213,6.28,5357773657,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747132843,11,1,1,2,5,5rz9enoyknpg8ji78za5b82p0,0,58.8,25.6,2024-11-10T17:04:18.795Z,2024-11-10T17:04:19Z,e9lrzsiy94y46h62rnawi3sgl,H. Dalsgaard,,,5357458929,3,,5357458931,56,Center,5357458937,212,8.3,5357458933,140,66.2,5357458939,213,0.35,5357458935,141,29.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747190417,383,1,1,2,7,b3r6d8ydtmtjckam6pku9y400,0,29.7,70.9,2024-11-10T17:04:19.858Z,2024-11-10T17:52:38Z,al9l7egkwbc0pv68zk42gegut,L. Lerager,,,5357777621,213,6.23,5357777611,3,,5357777613,56,Back,5357777617,141,70.2,5357777615,140,39.0,5357777619,212,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747132915,12,44,1,2,8,5rz9enoyknpg8ji78za5b82p0,1,66.7,30.1,2024-11-10T17:04:21.548Z,2024-11-10T18:55:54Z,8og8nxbkcb63van4llvpkbe8l,N. Poulsen,,,5357459323,286,,5357470757,233,15,5357459321,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747132983,15,44,1,2,8,b3r6d8ydtmtjckam6pku9y400,0,33.3,69.9,2024-11-10T17:04:21.549Z,2024-11-10T18:55:54Z,4cbaoo2irqtme9goxuz6s3ey2,Gabriel Pereira,,,5357470791,233,12,5357459603,285,,5357459601,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747132981,13,1,1,2,9,5rz9enoyknpg8ji78za5b82p0,1,61.1,38.5,2024-11-10T17:04:22.035Z,2024-11-10T17:04:26Z,8og8nxbkcb63van4llvpkbe8l,N. Poulsen,,,5357459589,56,Center,5357459591,140,62.4,5357459587,3,,5357459593,141,41.8,5357459597,213,1.02,5357459595,212,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747133035,14,1,1,2,13,5rz9enoyknpg8ji78za5b82p0,1,61.9,54.8,2024-11-10T17:04:26.283Z,2024-11-10T17:04:29Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Madsen,,,5357459883,1,,5357459879,212,32.2,5357459875,140,46.7,5357459881,213,2.09,5357459877,141,96.0,5357459873,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747133039,15,61,1,2,16,5rz9enoyknpg8ji78za5b82p0,0,46.6,96.0,2024-11-10T17:04:29.507Z,2024-11-10T17:04:29Z,cgkvw4q8ddcjl0po181upzwx6,E. Kahl,,,5357459901,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747133205,17,1,1,2,23,b3r6d8ydtmtjckam6pku9y400,1,70.1,37.9,2024-11-10T17:04:36.222Z,2024-11-10T17:04:38Z,7hw1plnv7nvxnqpnfnxcxszpx,A. Cornelius,,,5357460845,213,2.18,5357460837,141,43.0,5357460833,140,67.8,5357460831,56,Center,5357460841,212,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747133223,18,1,1,2,25,b3r6d8ydtmtjckam6pku9y400,0,67.8,43.0,2024-11-10T17:04:37.933Z,2024-11-10T17:04:38Z,al9l7egkwbc0pv68zk42gegut,L. Lerager,,,5357460929,56,Center,5357460939,212,21.4,5357460935,141,73.0,5357460943,213,1.27,5357460933,140,73.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747133299,17,1,1,2,27,5rz9enoyknpg8ji78za5b82p0,1,30.6,31.6,2024-11-10T17:04:40.387Z,2024-11-10T17:04:42Z,aswmi1pnkzkvkexp8ngief6j9,F. Beijmo,,,5357461313,212,3.9,5357461309,140,32.2,5357461311,141,36.7,5357461307,56,Back,5357461315,213,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747133339,18,1,1,2,29,5rz9enoyknpg8ji78za5b82p0,1,28.9,43.6,2024-11-10T17:04:42.619Z,2024-11-10T17:04:44Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Madsen,,,5357461535,140,26.6,5357461541,213,1.76,5357461539,212,12.6,5357461533,56,Back,5357461537,141,61.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747133411,19,1,1,2,31,5rz9enoyknpg8ji78za5b82p0,1,26.1,63.9,2024-11-10T17:04:44.571Z,2024-11-10T17:04:47Z,cgkvw4q8ddcjl0po181upzwx6,E. Kahl,,,5357461907,213,1.54,5357461903,141,88.9,5357461905,212,17.0,5357461899,56,Back,5357461901,140,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747133425,20,3,1,2,34,5rz9enoyknpg8ji78za5b82p0,0,25.5,88.8,2024-11-10T17:04:47.107Z,2024-11-10T17:58:42Z,4vmgmzg2004twoc39sk7zkzqh,G. Links,,,5357461969,285,,5357461967,56,Back,5357462231,233,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747133439,19,7,1,2,34,b3r6d8ydtmtjckam6pku9y400,1,74.5,11.2,2024-11-10T17:04:47.108Z,2024-11-10T17:58:42Z,9ic9msq3tj4gx8wqa6wfwk50q,G. Gocholeishvili,,,5357462019,56,Right,5357462149,233,20,5357462021,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747133521,21,1,1,2,37,b3r6d8ydtmtjckam6pku9y400,0,87.5,8.6,2024-11-10T17:04:50.478Z,2024-11-10T17:04:52Z,9ic9msq3tj4gx8wqa6wfwk50q,G. Gocholeishvili,,,5357462505,212,25.2,5357462503,141,45.4,5357462507,213,1.46,5357462497,155,,5357462501,140,90.1,5357462499,56,Center,5357462495,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747133545,21,12,1,2,39,5rz9enoyknpg8ji78za5b82p0,1,6.2,59.7,2024-11-10T17:04:52.651Z,2024-11-10T17:04:53Z,6my7s0ezr6jldotm1w6nk7b9x,F. Tingager,,,5357462627,213,5.82,5357462623,212,16.3,5357462619,141,49.1,5357462615,140,20.1,5357462643,15,,5357462611,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747133677,22,1,1,2,41,b3r6d8ydtmtjckam6pku9y400,1,81.0,47.5,2024-11-10T17:04:54.301Z,2024-11-10T17:05:01Z,8g4r9maz4invihjmdzpfxy0np,V. Claesson,,,5357463367,141,75.1,5357463363,56,Center,5357463365,140,73.2,5357463369,212,20.5,5357463371,213,1.98,5357463361,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747133637,22,4,1,2,46,5rz9enoyknpg8ji78za5b82p0,1,28.6,25.2,2024-11-10T17:04:59.563Z,2024-11-10T17:58:30Z,61sojkdsmaz9hbwaskt4rws15,M. Anderson,,,5357463211,265,,5357463207,56,Back,5357464057,233,23,5357463213,285,,5357463205,13,,5357463209,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747133681,23,4,1,2,46,b3r6d8ydtmtjckam6pku9y400,0,71.4,74.8,2024-11-10T17:04:59.564Z,2024-11-10T17:58:31Z,7xc0qldxpidl07vij2wgu1sk5,K. Diks,,,5357463959,286,,5357463951,13,,5357463955,152,,5357464065,233,22,5357463953,56,Center,5357463957,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747134501,23,1,1,3,24,5rz9enoyknpg8ji78za5b82p0,1,29.7,26.1,2024-11-10T17:05:37.539Z,2024-11-10T17:05:38Z,e9lrzsiy94y46h62rnawi3sgl,H. Dalsgaard,,,5357467733,212,8.6,5357467727,56,Back,5357467723,152,,5357467719,5,,5357467735,213,2.17,5357467731,141,36.6,5357467729,140,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747134595,24,1,1,3,25,5rz9enoyknpg8ji78za5b82p0,1,25.1,36.6,2024-11-10T17:05:38.619Z,2024-11-10T17:05:43Z,6my7s0ezr6jldotm1w6nk7b9x,F. Tingager,,,5357468313,213,5.20,5357468309,141,26.4,5357468305,56,Back,5357468307,140,28.6,5357468311,212,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747134659,25,1,1,3,30,5rz9enoyknpg8ji78za5b82p0,1,38.3,34.9,2024-11-10T17:05:43.155Z,2024-11-10T17:05:45Z,e9lrzsiy94y46h62rnawi3sgl,H. Dalsgaard,,,5357468579,56,Back,5357468581,140,36.9,5357468583,141,43.9,5357468587,213,1.81,5357468585,212,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747134709,26,1,1,3,32,5rz9enoyknpg8ji78za5b82p0,1,36.8,51.0,2024-11-10T17:05:45.827Z,2024-11-10T17:05:49Z,8og8nxbkcb63van4llvpkbe8l,N. Poulsen,,,5357468803,140,36.2,5357468807,212,14.3,5357468805,141,72.0,5357468801,56,Back,5357468809,213,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747134719,27,1,1,3,36,5rz9enoyknpg8ji78za5b82p0,0,35.6,76.0,2024-11-10T17:05:48.915Z,2024-11-10T17:05:49Z,cgkvw4q8ddcjl0po181upzwx6,E. Kahl,,,5357468855,141,78.2,5357468859,213,0.05,5357468851,56,Center,5357468853,140,62.7,5357468857,212,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747134785,24,1,1,3,38,b3r6d8ydtmtjckam6pku9y400,0,27.9,31.8,2024-11-10T17:05:51.372Z,2024-11-10T17:54:35Z,4cbaoo2irqtme9goxuz6s3ey2,Gabriel Pereira,,,5357469187,212,17.8,5357469183,140,41.1,5357469181,56,Back,5357469189,213,5.60,5357469185,141,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747134887,28,1,1,3,42,5rz9enoyknpg8ji78za5b82p0,1,62.3,75.7,2024-11-10T17:05:55.194Z,2024-11-10T17:05:56Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Madsen,,,5357469741,56,Left,5357469745,141,85.3,5357469749,213,1.85,5357469743,140,60.5,5357469747,212,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747134919,29,1,1,3,43,5rz9enoyknpg8ji78za5b82p0,1,60.5,85.3,2024-11-10T17:05:56.506Z,2024-11-10T17:05:58Z,cgkvw4q8ddcjl0po181upzwx6,E. Kahl,,,5357469927,141,71.4,5357469923,56,Back,5357469931,213,3.70,5357469925,140,46.1,5357469929,212,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747135029,30,1,1,3,45,5rz9enoyknpg8ji78za5b82p0,1,45.6,67.2,2024-11-10T17:05:58.618Z,2024-11-10T17:06:03Z,6my7s0ezr6jldotm1w6nk7b9x,F. Tingager,,,5357470499,213,4.76,5357470491,56,Back,5357470495,141,27.4,5357470493,140,46.8,5357470497,212,27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747135157,31,1,1,3,50,5rz9enoyknpg8ji78za5b82p0,1,48.5,29.7,2024-11-10T17:06:02.962Z,2024-11-10T17:06:09Z,e9lrzsiy94y46h62rnawi3sgl,H. Dalsgaard,,,5357471247,155,,5357471251,56,Left,5357471249,196,,5357471261,1,,5357471259,213,1.00,5357471255,141,93.0,5357471257,212,51.3,5357471253,140,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747135197,32,1,1,3,56,5rz9enoyknpg8ji78za5b82p0,1,70.3,79.7,2024-11-10T17:06:09.306Z,2024-11-10T17:06:11Z,4vmgmzg2004twoc39sk7zkzqh,G. Links,,,5357471459,140,53.1,5357471463,212,23.4,5357471461,141,57.9,5357471465,213,3.83,5357471457,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747135311,33,1,1,3,58,5rz9enoyknpg8ji78za5b82p0,1,53.1,57.5,2024-11-10T17:06:11.561Z,2024-11-10T17:06:15Z,6my7s0ezr6jldotm1w6nk7b9x,F. Tingager,,,5357472051,155,,5357472061,213,5.56,5357472059,212,47.9,5357472063,1,,5357472055,140,87.2,5357472053,56,Right,5357472057,141,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
