id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/14/value,qualifier/15/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2789349237,3,44,1,0,16,36g6ifzjliec1jqnbtf7yesme,0,56.3,87.0,2025-03-16T16:02:32.931Z,2025-03-16T16:02:37Z,8mkrj5bnkyhx8kutc4656cy96,M. Jiménez,,,5587206679,56,Left,5587206681,286,,5587206741,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789349357,9,1,1,0,16,aljua8crr0vkwit0j3m59jw9j,0,46.2,13.3,2025-03-16T16:02:33.102Z,2025-03-17T04:37:14Z,d88feog3dgv09oxbzn15xqesq,T. Klysner,,,5587207271,141,22.7,5587207275,213,0.50,5587207267,56,Center,5587207265,3,,5587207269,140,57.3,5587207273,212,13.3,5587207337,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789349345,4,1,1,0,17,36g6ifzjliec1jqnbtf7yesme,1,43.3,82.2,2025-03-16T16:02:34.489Z,2025-03-17T04:37:19Z,bm3k1knugkwa8z319dscr2yhg,T. Hernes,,,5587207205,213,4.04,5587207203,212,10.7,5587207199,140,36.9,5587207201,141,69.9,5587207197,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789349393,5,1,1,0,19,36g6ifzjliec1jqnbtf7yesme,0,37.6,74.4,2025-03-16T16:02:36.602Z,2025-03-17T04:38:04Z,7yst1mucy7jynmpzu1thox2i,L. Kramer,,,5587207429,213,6.21,5587207425,141,69.7,5587207431,1,,5587207421,56,Center,5587207419,157,,5587207423,140,77.9,5587207427,212,42.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789349457,10,1,1,0,23,aljua8crr0vkwit0j3m59jw9j,1,24.1,38.9,2025-03-16T16:02:40.586Z,2025-03-17T04:38:10Z,33sxiwcjeqcop3ukuok86ujmd,M. Dal Hende,,,5587207747,140,8.5,5587207753,213,2.95,5587207745,56,Back,5587207751,212,16.7,5587207749,141,43.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789349543,11,1,1,0,25,aljua8crr0vkwit0j3m59jw9j,0,8.3,41.9,2025-03-16T16:02:41.930Z,2025-03-17T04:38:16Z,dcocgxtuabo0rwzwukvqky9uy,M. Bundgaard,,,5587208143,213,5.75,5587208139,141,19.2,5587208135,56,Back,5587208137,140,33.3,5587208145,1,,5587208141,212,30.5,5587208133,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789349547,6,1,1,0,28,36g6ifzjliec1jqnbtf7yesme,1,68.9,82.6,2025-03-16T16:02:45.490Z,2025-03-17T04:38:23Z,3q4tnk1z46lop4rbdpjtfoc2c,M. Widell,,,5589581321,141,84.4,5589581317,3,,5589581325,213,3.07,5587208171,56,Left,5589581319,140,52.1,5589581323,212,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789349703,7,1,1,0,31,36g6ifzjliec1jqnbtf7yesme,0,56.0,82.6,2025-03-16T16:02:47.754Z,2025-03-17T04:38:26Z,8vi3l756ez0e96k7muvg4ekbu,B. Pudel,,,5587208955,141,0.0,5587208951,56,Right,5587208965,1,,5587208953,140,73.5,5587208963,213,5.02,5587208949,157,,5587208957,212,59.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789349711,8,5,1,0,36,36g6ifzjliec1jqnbtf7yesme,0,69.8,-1.1,2025-03-16T16:02:53.048Z,2025-03-16T16:11:44Z,8vi3l756ez0e96k7muvg4ekbu,B. Pudel,,,5587209755,233,12,5587209015,56,Right,5587209019,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789349835,12,5,1,0,36,aljua8crr0vkwit0j3m59jw9j,1,30.2,101.1,2025-03-16T16:02:53.048Z,2025-03-16T16:11:44Z,3ejggtt1du1cui3wc1f8oqx62,L. Qamili,,,5587209727,233,8,5587209711,56,Back,5587209713,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789350001,13,1,1,0,43,aljua8crr0vkwit0j3m59jw9j,1,33.3,100.0,2025-03-16T16:03:00.617Z,2025-03-17T04:38:32Z,7sbdudf1vycn8hinw0giakpyi,E. Duru,,,5587210557,140,14.7,5587210563,213,3.71,5589581413,1,,5587210553,107,,5587210555,56,Back,5587210559,141,83.0,5587210561,212,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789350121,14,1,1,0,51,aljua8crr0vkwit0j3m59jw9j,1,18.9,76.5,2025-03-16T16:03:07.913Z,2025-03-17T04:38:36Z,33sxiwcjeqcop3ukuok86ujmd,M. Dal Hende,,,5587211191,56,Back,5587211207,213,4.08,5587211203,212,15.8,5587211195,140,10.0,5587211199,141,57.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789350221,15,1,1,0,59,aljua8crr0vkwit0j3m59jw9j,1,11.7,48.9,2025-03-16T16:03:16.632Z,2025-03-17T04:38:40Z,dcocgxtuabo0rwzwukvqky9uy,M. Bundgaard,,,5587211705,213,5.22,5587211701,141,5.4,5587211697,56,Back,5587211703,212,33.8,5587211699,140,27.3,5587211695,155,,5587211707,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789350355,16,1,1,1,3,aljua8crr0vkwit0j3m59jw9j,0,29.2,4.9,2025-03-16T16:03:20.585Z,2025-03-17T04:38:47Z,d88feog3dgv09oxbzn15xqesq,T. Klysner,,,5587212395,212,21.7,5587212393,141,22.5,5587212397,213,0.59,5587212385,3,,5587212389,56,Back,5587212391,140,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789350363,17,4,1,1,6,aljua8crr0vkwit0j3m59jw9j,1,48.2,18.0,2025-03-16T16:03:23.274Z,2025-03-17T04:39:07Z,adg5dfvzxjrzlz1n2jsfeyx3o,M. Agger,,,5587212577,56,Back,5587212581,286,,5587212573,13,,5587212597,233,9,5587212579,152,,5589581829,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789350285,9,4,1,1,6,36g6ifzjliec1jqnbtf7yesme,0,51.8,82.0,2025-03-16T16:03:23.275Z,2025-03-17T04:39:02Z,8vi3l756ez0e96k7muvg4ekbu,B. Pudel,,,5587212633,233,17,5587212449,285,,5587212209,152,,5589581787,265,,5587212207,56,Left,5587212203,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789350697,18,1,1,1,25,aljua8crr0vkwit0j3m59jw9j,1,48.9,25.3,2025-03-16T16:03:42.600Z,2025-03-16T16:03:44Z,5x8064b3yr7txk0czddfjtffu,S. Emini,,,5587214129,140,37.0,5587214125,152,,5587214131,141,24.1,5587214133,212,12.5,5587214127,56,Back,5587214121,5,,5587214135,213,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789350775,19,1,1,1,27,aljua8crr0vkwit0j3m59jw9j,1,36.6,24.2,2025-03-16T16:03:44.146Z,2025-03-17T04:39:14Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5587214603,212,26.7,5587214597,56,Back,5587214605,213,1.61,5587214599,140,35.5,5587214601,141,63.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789350843,20,1,1,1,31,aljua8crr0vkwit0j3m59jw9j,0,43.9,68.9,2025-03-16T16:03:48.568Z,2025-03-17T04:39:19Z,33sxiwcjeqcop3ukuok86ujmd,M. Dal Hende,,,5587214965,213,5.47,5587214951,155,,5587214955,140,73.6,5587214961,212,45.3,5587214957,141,20.5,5587214967,1,,5587214953,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789350871,10,12,1,1,36,36g6ifzjliec1jqnbtf7yesme,1,25.8,81.5,2025-03-16T16:03:52.877Z,2025-03-16T16:03:55Z,8mkrj5bnkyhx8kutc4656cy96,M. Jiménez,,,5587215099,212,16.3,5587215095,140,33.9,5587215101,213,1.02,5587215221,15,,5587215129,167,,5587215093,56,Back,5587215097,141,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789350875,11,5,1,1,36,36g6ifzjliec1jqnbtf7yesme,0,29.6,101.6,2025-03-16T16:03:53.255Z,2025-03-16T16:11:45Z,8mkrj5bnkyhx8kutc4656cy96,M. Jiménez,,,5587215523,233,21,5587215117,347,,5587215115,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789350929,21,5,1,1,36,aljua8crr0vkwit0j3m59jw9j,1,70.4,-1.6,2025-03-16T16:03:53.255Z,2025-03-16T16:11:44Z,33sxiwcjeqcop3ukuok86ujmd,M. Dal Hende,,,5587215515,233,11,5587215437,347,,5587215435,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789351027,22,1,1,1,43,aljua8crr0vkwit0j3m59jw9j,1,68.5,0.0,2025-03-16T16:03:59.958Z,2025-03-17T04:39:35Z,5x8064b3yr7txk0czddfjtffu,S. Emini,,,5587215907,56,Back,5587215913,212,28.0,5587215917,1,,5587215915,213,2.80,5587215905,107,,5587215909,140,43.4,5587215911,141,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789351177,23,1,1,1,46,aljua8crr0vkwit0j3m59jw9j,1,42.2,13.9,2025-03-16T16:04:03.068Z,2025-03-17T04:39:40Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5587216679,140,25.5,5587216681,141,41.5,5587216677,56,Back,5587216689,213,2.32,5587216685,212,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789351237,24,1,1,1,52,aljua8crr0vkwit0j3m59jw9j,1,22.5,41.9,2025-03-16T16:04:08.802Z,2025-03-17T04:39:43Z,dcocgxtuabo0rwzwukvqky9uy,M. Bundgaard,,,5587217051,213,1.57,5587217049,212,15.3,5587217045,140,22.5,5587217043,56,Back,5587217047,141,64.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789351305,25,1,1,1,54,aljua8crr0vkwit0j3m59jw9j,1,21.5,66.0,2025-03-16T16:04:11.505Z,2025-03-17T04:39:47Z,33sxiwcjeqcop3ukuok86ujmd,M. Dal Hende,,,5587217409,140,30.8,5587217411,141,96.1,5587217407,56,Back,5587217413,212,22.7,5587217415,213,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789351353,26,1,1,1,58,aljua8crr0vkwit0j3m59jw9j,1,35.5,93.2,2025-03-16T16:04:14.927Z,2025-03-17T04:39:51Z,7sbdudf1vycn8hinw0giakpyi,E. Duru,,,5587217677,141,75.2,5587217683,213,4.12,5587217673,56,Back,5587217675,140,27.6,5587217679,212,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789351331,12,43,1,1,59,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2025-03-16T16:04:16.285Z,2025-03-17T04:40:04Z,2k8bmlxzt0qi7divtxye0a5ii,I. Hansen-Aarøen,,,5587217777,399,33sxiwcjeqcop3ukuok86ujmd,5589582255,144,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789351361,27,1,1,2,0,aljua8crr0vkwit0j3m59jw9j,1,29.3,66.7,2025-03-16T16:04:17.005Z,2025-03-17T04:40:02Z,33sxiwcjeqcop3ukuok86ujmd,M. Dal Hende,,,5587217729,56,Back,5587217739,213,5.64,5587217735,141,50.5,5587217737,212,18.3,5587217733,140,43.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789351505,28,1,1,2,3,aljua8crr0vkwit0j3m59jw9j,1,45.6,44.4,2025-03-16T16:04:19.833Z,2025-03-17T04:40:10Z,a8opuarwq9byw73nhfgvo9nca,K. Ingason,,,5587218445,56,Right,5587218449,140,58.1,5587218457,213,5.35,5587218453,212,22.1,5587218451,141,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789351521,29,1,1,2,5,aljua8crr0vkwit0j3m59jw9j,1,60.0,17.8,2025-03-16T16:04:21.926Z,2025-03-17T04:40:13Z,d88feog3dgv09oxbzn15xqesq,T. Klysner,,,5587218545,212,12.8,5587218541,140,70.9,5587218543,141,26.2,5587218547,213,0.46,5587218539,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789351559,30,61,1,2,6,aljua8crr0vkwit0j3m59jw9j,1,72.2,25.0,2025-03-16T16:04:22.786Z,2025-03-16T16:57:14Z,adg5dfvzxjrzlz1n2jsfeyx3o,M. Agger,,,5587218741,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789421113,340,3,1,2,7,aljua8crr0vkwit0j3m59jw9j,0,70.9,35.5,2025-03-16T16:04:23.696Z,2025-03-17T04:40:19Z,d88feog3dgv09oxbzn15xqesq,T. Klysner,,,5587600403,286,,5587601357,233,13,5587600401,56,Center,5589582385,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789351581,13,7,1,2,7,36g6ifzjliec1jqnbtf7yesme,0,29.1,64.5,2025-03-16T16:04:23.697Z,2025-03-17T04:40:23Z,8mkrj5bnkyhx8kutc4656cy96,M. Jiménez,,,5587218873,56,Back,5587218879,285,,5589582419,385,,5589582421,178,,5587601341,233,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789351571,31,43,1,2,7,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2025-03-16T16:04:23.772Z,2025-03-16T16:56:18Z,a8opuarwq9byw73nhfgvo9nca,K. Ingason,,,5587218817,286,0,5587218929,233,13,5587595467,144,3,5587218813,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789421239,341,61,1,2,8,aljua8crr0vkwit0j3m59jw9j,1,69.8,38.2,2025-03-16T16:04:24.696Z,2025-03-16T16:57:20Z,d88feog3dgv09oxbzn15xqesq,T. Klysner,,,5587601167,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789351685,15,1,1,2,10,36g6ifzjliec1jqnbtf7yesme,1,30.8,39.9,2025-03-16T16:04:27.565Z,2025-03-17T04:40:33Z,2k8bmlxzt0qi7divtxye0a5ii,I. Hansen-Aarøen,,,5587219337,213,1.68,5587219333,141,57.5,5587219331,140,29.5,5587219329,56,Back,5587219335,212,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789351649,32,43,1,2,12,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2025-03-16T16:04:29.645Z,2025-03-17T04:41:00Z,3ejggtt1du1cui3wc1f8oqx62,L. Qamili,,,5589582763,144,83,5587219459,399,3q4tnk1z46lop4rbdpjtfoc2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789351689,16,50,1,2,13,36g6ifzjliec1jqnbtf7yesme,1,31.4,48.0,2025-03-16T16:04:30.695Z,2025-03-16T16:58:03Z,3q4tnk1z46lop4rbdpjtfoc2c,M. Widell,,,5587219357,56,Back,5587604925,285,,5587604927,233,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789421959,342,7,1,2,14,aljua8crr0vkwit0j3m59jw9j,1,68.6,52.0,2025-03-16T16:04:30.696Z,2025-03-17T04:41:04Z,3ejggtt1du1cui3wc1f8oqx62,L. Qamili,,,5589582813,384,,5587604905,233,16,5587604889,56,Center,5589582815,178,,5587604891,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789351817,34,1,1,2,19,aljua8crr0vkwit0j3m59jw9j,1,68.8,76.1,2025-03-16T16:04:36.067Z,2025-03-17T04:41:15Z,adg5dfvzxjrzlz1n2jsfeyx3o,M. Agger,,,5587220063,141,93.6,5587220069,213,0.66,5587220067,212,19.3,5587220055,56,Left,5587220059,140,83.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789351839,35,1,1,2,21,aljua8crr0vkwit0j3m59jw9j,0,83.5,92.8,2025-03-16T16:04:38.364Z,2025-03-17T04:41:23Z,7sbdudf1vycn8hinw0giakpyi,E. Duru,,,5589582983,72,,5587220191,212,17.7,5587220185,56,Center,5587220189,141,68.5,5587220181,2,,5587220183,155,,5589582981,224,,5587220187,140,89.5,5587220193,213,5.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789351847,17,12,1,2,22,36g6ifzjliec1jqnbtf7yesme,1,10.4,32.9,2025-03-16T16:04:39.598Z,2025-03-17T04:41:30Z,de0dokhb6u6hts2hu5aupgiga,K. Jørgensen,,,5589583045,140,15.0,5589583051,213,0.46,5589583049,212,5.4,5587220207,56,Back,5589583047,141,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789422593,455,12,1,2,23,36g6ifzjliec1jqnbtf7yesme,1,13.7,30.9,2025-03-16T16:04:39.696Z,2025-03-17T04:41:38Z,2k8bmlxzt0qi7divtxye0a5ii,I. Hansen-Aarøen,,,5587608437,141,42.3,5587608439,212,7.8,5587608435,140,12.7,5587608441,213,1.71,5587608433,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789352153,18,12,1,2,25,36g6ifzjliec1jqnbtf7yesme,1,12.1,39.7,2025-03-16T16:04:42.461Z,2025-03-17T04:41:43Z,bm3k1knugkwa8z319dscr2yhg,T. Hernes,,,5587221761,213,6.13,5587221753,56,Back,5587221759,212,39.9,5587221755,140,49.7,5587221757,141,30.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
