id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/14/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/18/value,qualifier/20/id,qualifier/20/qualifierId
2816664859,406,7,1,0,18,b3r6d8ydtmtjckam6pku9y400,0,6.4,69.8,2025-05-18T16:02:31.033Z,2025-05-18T19:10:38Z,al9l7egkwbc0pv68zk42gegut,L. Lerager,,,5738240163,178,,5737627941,56,Back,5737627957,233,9,5737627943,285,,5738240161,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816774653,853,83,1,0,19,b3r6d8ydtmtjckam6pku9y400,1,1.2,68.3,2025-05-18T16:02:32.789Z,2025-05-18T19:11:00Z,dux0skggr99ydjz3kn58p3wmh,M. López,,,5738242189,399,6m5ftd7c68b2d4d2931xs5srt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816622991,10,61,1,0,20,9w3sjm5ml4sjr2v81oxzdrt8v,0,96.5,31.5,2025-05-18T16:02:33.838Z,2025-05-18T16:02:34Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5737391015,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816623019,7,12,1,0,23,b3r6d8ydtmtjckam6pku9y400,1,2.0,65.0,2025-05-18T16:02:36.671Z,2025-05-18T16:51:28Z,al9l7egkwbc0pv68zk42gegut,L. Lerager,,,5737391129,140,32.8,5737391131,141,87.0,5737391135,213,0.43,5737391127,56,Back,5737391133,212,35.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816623059,11,1,1,0,26,9w3sjm5ml4sjr2v81oxzdrt8v,1,78.3,20.3,2025-05-18T16:02:39.358Z,2025-05-18T16:54:15Z,2mawaijd9czgtd5jh9myk434l,A. Rømer,,,5737391375,213,5.68,5737391365,141,10.4,5737391357,56,Right,5737391369,212,11.9,5737391361,140,87.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816623065,12,1,1,0,30,9w3sjm5ml4sjr2v81oxzdrt8v,1,87.5,11.1,2025-05-18T16:02:43.646Z,2025-05-18T16:02:44Z,8domjmewnw5h6b19vef8w0afp,M. Greve,,,5737391399,141,16.1,5737391403,213,0.97,5737391395,56,Right,5737391397,140,89.7,5737391401,212,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816623071,13,1,1,0,31,9w3sjm5ml4sjr2v81oxzdrt8v,0,91.0,15.0,2025-05-18T16:02:44.510Z,2025-05-18T19:11:21Z,2mawaijd9czgtd5jh9myk434l,A. Rømer,,,5738244317,224,,5737391425,56,Center,5737391431,212,23.6,5738244319,20,,5737391433,213,1.48,5737391421,2,,5737391427,140,93.1,5737391429,141,49.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816623091,8,12,1,0,32,b3r6d8ydtmtjckam6pku9y400,1,8.5,47.2,2025-05-18T16:02:45.888Z,2025-05-18T16:52:04Z,ayqy2vql1oumokqly9ahfrnx1,P. Hatzidiakos,,,5737391513,213,0.54,5737391509,141,65.9,5737391505,56,Back,5737391511,212,24.7,5737391507,140,28.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816623117,14,1,1,0,34,9w3sjm5ml4sjr2v81oxzdrt8v,0,70.9,25.6,2025-05-18T16:02:47.342Z,2025-05-18T21:38:31Z,6uj3c69lgu6boblkjiuhoy6eh,J. Björkengren,,,5737391687,212,13.1,5737391681,56,Right,5737391685,141,9.8,5737391679,3,,5737391689,213,5.32,5737391683,140,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816802887,854,50,1,0,35,b3r6d8ydtmtjckam6pku9y400,1,26.8,87.4,2025-05-18T16:02:48.191Z,2025-05-18T21:38:32Z,ssluj1c3ft94nkfs58dc8cq2,E. Achouri,,,5738402121,56,Back,5738880407,233,15,5738402123,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816623119,15,7,1,0,35,9w3sjm5ml4sjr2v81oxzdrt8v,0,73.2,12.6,2025-05-18T16:02:48.192Z,2025-05-18T21:38:32Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5738403611,385,,5738880387,233,854,5737391693,56,Right,5738403613,178,,5738403187,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816623139,9,1,1,0,39,b3r6d8ydtmtjckam6pku9y400,1,36.4,90.3,2025-05-18T16:02:52.303Z,2025-05-18T16:02:54Z,ssluj1c3ft94nkfs58dc8cq2,E. Achouri,,,5737391797,140,37.0,5737391801,212,16.9,5737391799,141,65.4,5737391803,213,4.75,5737391795,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816623221,11,1,1,0,41,b3r6d8ydtmtjckam6pku9y400,1,37.8,63.9,2025-05-18T16:02:54.367Z,2025-05-18T16:53:04Z,7hw1plnv7nvxnqpnfnxcxszpx,A. Cornelius,,,5737392239,213,4.75,5737392235,141,23.8,5737392233,140,38.8,5737392237,212,27.3,5737392229,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816623271,12,1,1,0,49,b3r6d8ydtmtjckam6pku9y400,1,64.4,17.0,2025-05-18T16:03:02.479Z,2025-05-18T16:03:08Z,6b8vhoisrfwkljhz4u7pduej8,R. Huescas,,,5737392533,212,10.1,5737392535,213,4.92,5737392527,56,Right,5737392529,140,66.4,5737392531,141,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816623277,13,1,1,0,54,b3r6d8ydtmtjckam6pku9y400,1,66.4,2.5,2025-05-18T16:03:07.903Z,2025-05-18T16:55:21Z,aahyom322jdc6f21960ycuzth,J. Larsson,,,5737392585,56,Right,5737392593,213,2.39,5737392587,140,54.8,5737392591,212,16.7,5737392589,141,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816623321,14,1,1,0,56,b3r6d8ydtmtjckam6pku9y400,1,54.8,19.3,2025-05-18T16:03:10Z,2025-05-18T16:03:14Z,4cbaoo2irqtme9goxuz6s3ey2,Gabriel Pereira,,,5737392883,140,62.5,5737392889,213,6.11,5737392885,141,17.2,5737392879,56,Right,5737392887,212,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816623351,15,1,1,1,1,b3r6d8ydtmtjckam6pku9y400,1,60.3,7.8,2025-05-18T16:03:14.592Z,2025-05-18T16:53:57Z,aahyom322jdc6f21960ycuzth,J. Larsson,,,5737393017,141,18.2,5737393013,56,Right,5737393015,140,60.4,5737393021,213,1.56,5737393019,212,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816623353,16,1,1,1,3,b3r6d8ydtmtjckam6pku9y400,1,64.7,13.7,2025-05-18T16:03:16.581Z,2025-05-18T16:54:19Z,c9u2w9ikckbrra8vln2ucbf9w,V. Froholdt,,,5737636227,140,56.7,5737636233,213,3.21,5737636229,141,12.9,5737636225,56,Right,5737636231,212,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816623357,17,1,1,1,3,b3r6d8ydtmtjckam6pku9y400,1,55.3,18.6,2025-05-18T16:03:16.688Z,2025-05-18T16:55:04Z,4cbaoo2irqtme9goxuz6s3ey2,Gabriel Pereira,,,5737637063,212,15.2,5737637065,213,5.78,5737637057,56,Right,5737637059,140,68.0,5737637061,141,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816623397,18,1,1,1,5,b3r6d8ydtmtjckam6pku9y400,0,66.8,2.1,2025-05-18T16:03:18.784Z,2025-05-18T19:40:42Z,aahyom322jdc6f21960ycuzth,J. Larsson,,,5737393221,141,5.4,5737393219,140,67.1,5737393217,56,Right,5737393225,213,1.43,5737393223,212,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816623391,16,8,1,1,5,9w3sjm5ml4sjr2v81oxzdrt8v,1,38.1,85.9,2025-05-18T16:03:18.976Z,2025-05-18T19:40:47Z,606hufq6dapf3qxcgilbc8tt5,S. Nordli,,,5737393205,56,Back,5738407237,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816623413,18,1,1,1,6,9w3sjm5ml4sjr2v81oxzdrt8v,1,35.3,80.9,2025-05-18T16:03:19.951Z,2025-05-18T16:03:20Z,6uj3c69lgu6boblkjiuhoy6eh,J. Björkengren,,,5737393295,212,5.1,5737393293,141,85.6,5737393289,56,Back,5737393297,213,0.68,5737393291,140,39.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816623417,19,3,1,1,7,9w3sjm5ml4sjr2v81oxzdrt8v,0,43.7,87.0,2025-05-18T16:03:20.752Z,2025-05-18T19:41:00Z,606hufq6dapf3qxcgilbc8tt5,S. Nordli,,,5737393815,233,19,5737393317,56,Back,5738408221,465,,5737393319,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816623493,19,7,1,1,7,b3r6d8ydtmtjckam6pku9y400,1,56.3,13.0,2025-05-18T16:03:20.753Z,2025-05-18T19:41:05Z,c9u2w9ikckbrra8vln2ucbf9w,V. Froholdt,,,5737393811,233,19,5737393697,285,,5738408677,178,,5738408675,383,,5737393695,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816623525,20,4,1,1,12,b3r6d8ydtmtjckam6pku9y400,1,56.8,4.0,2025-05-18T16:03:25.935Z,2025-05-18T16:48:29Z,c9u2w9ikckbrra8vln2ucbf9w,V. Froholdt,,,5737393849,286,,5737393847,152,,5737393863,233,20,5737393841,13,,5737393843,294,,5737393845,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816623481,20,4,1,1,12,9w3sjm5ml4sjr2v81oxzdrt8v,0,43.2,96.0,2025-05-18T16:03:25.936Z,2025-05-18T16:48:30Z,606hufq6dapf3qxcgilbc8tt5,S. Nordli,,,5737393859,152,,5737393861,285,,5737393867,233,20,5737393857,56,Back,5737393855,294,,5737393853,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816623649,21,1,1,1,26,b3r6d8ydtmtjckam6pku9y400,1,53.9,8.5,2025-05-18T16:03:39.537Z,2025-05-18T16:03:40Z,6b8vhoisrfwkljhz4u7pduej8,R. Huescas,,,5737394593,213,1.59,5737394583,152,,5737394585,56,Center,5737394589,141,22.3,5737394587,140,53.7,5737394581,5,,5737394591,212,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816623665,22,1,1,1,27,b3r6d8ydtmtjckam6pku9y400,1,53.7,22.3,2025-05-18T16:03:40.161Z,2025-05-18T16:03:41Z,al9l7egkwbc0pv68zk42gegut,L. Lerager,,,5737394681,212,11.2,5737394671,140,55.9,5737394675,141,6.2,5737394685,213,4.92,5737394667,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816623675,23,1,1,1,27,b3r6d8ydtmtjckam6pku9y400,1,55.9,6.2,2025-05-18T16:03:41.008Z,2025-05-18T16:03:42Z,6b8vhoisrfwkljhz4u7pduej8,R. Huescas,,,5737394727,140,32.8,5737394733,213,2.88,5737394731,212,25.1,5737394725,56,Back,5737394729,141,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816623805,24,1,1,1,29,b3r6d8ydtmtjckam6pku9y400,1,32.8,15.8,2025-05-18T16:03:42.576Z,2025-05-18T16:03:52Z,4cbaoo2irqtme9goxuz6s3ey2,Gabriel Pereira,,,5737395409,141,47.9,5737395407,140,29.3,5737395411,212,22.1,5737395413,213,1.74,5737395405,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816623857,25,1,1,1,38,b3r6d8ydtmtjckam6pku9y400,1,28.1,49.4,2025-05-18T16:03:51.921Z,2025-05-18T16:03:57Z,f2ibn3ej2doay3b4u8ezeix62,D. Ramaj,,,5737395683,56,Back,5737395695,212,13.3,5737395687,140,33.7,5737395697,213,5.17,5737395691,141,31.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816623899,26,1,1,1,44,b3r6d8ydtmtjckam6pku9y400,1,43.5,30.8,2025-05-18T16:03:57.185Z,2025-05-18T16:03:59Z,4cbaoo2irqtme9goxuz6s3ey2,Gabriel Pereira,,,5737395891,213,5.37,5737395887,141,7.9,5737395889,212,19.6,5737395883,56,Right,5737395885,140,54.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816623963,27,1,1,1,46,b3r6d8ydtmtjckam6pku9y400,1,54.9,7.9,2025-05-18T16:03:59.649Z,2025-05-18T16:04:03Z,6b8vhoisrfwkljhz4u7pduej8,R. Huescas,,,5737396233,56,Center,5737396235,140,58.9,5737396241,213,1.14,5737396239,212,10.0,5737396237,141,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816623939,21,83,1,1,49,9w3sjm5ml4sjr2v81oxzdrt8v,0,40.5,60.6,2025-05-18T16:04:02.785Z,2025-05-18T16:04:05Z,9yuyz4ci6wqikd6ckjstbt2i1,S. Odey,,,5737396381,399,c9u2w9ikckbrra8vln2ucbf9w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816623965,28,61,1,1,50,b3r6d8ydtmtjckam6pku9y400,0,65.3,24.4,2025-05-18T16:04:03.458Z,2025-05-18T16:04:03Z,c9u2w9ikckbrra8vln2ucbf9w,V. Froholdt,,,5737396249,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816623977,22,3,1,1,51,9w3sjm5ml4sjr2v81oxzdrt8v,0,35.4,67.6,2025-05-18T16:04:04.721Z,2025-05-18T19:42:10Z,2mawaijd9czgtd5jh9myk434l,A. Rømer,,,5737396749,233,29,5737396323,56,Back,5738413791,465,,5737396325,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816624033,29,7,1,1,51,b3r6d8ydtmtjckam6pku9y400,0,64.6,32.4,2025-05-18T16:04:04.722Z,2025-05-18T19:42:16Z,c9u2w9ikckbrra8vln2ucbf9w,V. Froholdt,,,5737396713,233,22,5738414297,385,,5738414299,178,,5737396717,285,,5737396637,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816805981,855,83,1,1,53,b3r6d8ydtmtjckam6pku9y400,1,65.7,31.4,2025-05-18T16:04:06.633Z,2025-05-18T19:43:30Z,aahyom322jdc6f21960ycuzth,J. Larsson,,,5738419941,399,9yuyz4ci6wqikd6ckjstbt2i1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816623997,24,61,1,1,53,9w3sjm5ml4sjr2v81oxzdrt8v,0,39.9,62.0,2025-05-18T16:04:06.930Z,2025-05-18T16:04:07Z,9yuyz4ci6wqikd6ckjstbt2i1,S. Odey,,,5737396439,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816806591,856,1,1,1,54,b3r6d8ydtmtjckam6pku9y400,1,58.4,38.0,2025-05-18T16:04:07.359Z,2025-05-18T19:44:15Z,al9l7egkwbc0pv68zk42gegut,L. Lerager,,,5738423253,213,1.91,5738423245,56,Center,5738423249,141,46.7,5738423247,140,56.4,5738423251,212,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816624183,31,1,1,1,57,b3r6d8ydtmtjckam6pku9y400,1,65.5,50.3,2025-05-18T16:04:10.401Z,2025-05-18T16:04:18Z,6tckvu2rw7ns18dq7dim0sout,M. Elyounoussi,,,5737397361,141,69.9,5737397359,140,76.4,5737397363,212,17.6,5737397365,213,0.86,5737397357,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
