id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2720864403,7,1,1,0,12,cftj6g399tknheudaxsdpfdgb,0,60.8,35.1,2024-09-15T14:02:42.239Z,2024-09-15T14:02:43Z,bitixkzgt5p65rlo2bnllcf6x,J. Mbom,,,5213913643,213,5.57,5213913633,140,75.7,5213913631,56,Right,5213913637,141,15.0,5213913641,212,20.8,5213913629,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720864421,5,1,1,0,14,c165yjiny1qnmfdvefxvflnkc,0,25.9,87.1,2024-09-15T14:02:44.354Z,2024-09-15T15:15:52Z,6c2isptqoy4cq5c8rlr9s1roq,M. Elvius,,,5213913739,157,,5213913749,213,1.01,5213913751,1,,5213913743,140,31.4,5213913745,141,100.0,5213913747,212,10.8,5213913741,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720864425,6,5,1,0,15,c165yjiny1qnmfdvefxvflnkc,0,29.8,101.0,2024-09-15T14:02:45.328Z,2024-09-15T15:13:34Z,3ylgelxr6ssp42hidfnchqp2i,K. Kirkegaard,,,5213913779,347,,5213913961,233,8,5213913777,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720864463,8,5,1,0,15,cftj6g399tknheudaxsdpfdgb,1,70.2,-1.0,2024-09-15T14:02:45.328Z,2024-09-15T15:13:34Z,bitixkzgt5p65rlo2bnllcf6x,J. Mbom,,,5213913957,233,6,5213913947,56,Right,5213913949,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720864495,9,1,1,0,20,cftj6g399tknheudaxsdpfdgb,1,72.8,0.0,2024-09-15T14:02:50.799Z,2024-09-15T14:02:54Z,bitixkzgt5p65rlo2bnllcf6x,J. Mbom,,,5213914147,56,Back,5213914145,107,,5213914151,141,15.8,5213914157,1,,5213914155,213,2.73,5213914153,212,30.2,5213914149,140,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720864513,10,1,1,0,24,cftj6g399tknheudaxsdpfdgb,1,52.8,31.5,2024-09-15T14:02:54.383Z,2024-09-15T14:02:57Z,bp2ellllifbtxgf0p8qlbm1nt,S. Radić,,,5213914277,141,57.5,5213914273,56,Back,5213914275,140,48.1,5213914281,213,1.84,5213914279,212,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720864535,11,1,1,0,27,cftj6g399tknheudaxsdpfdgb,1,51.5,60.0,2024-09-15T14:02:57.583Z,2024-09-15T14:03:00Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,,5213914401,56,Left,5213914407,212,26.1,5213914409,213,1.16,5213914405,141,95.1,5213914403,140,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720864565,12,1,1,0,30,cftj6g399tknheudaxsdpfdgb,1,64.0,96.3,2024-09-15T14:03:00.414Z,2024-09-15T14:03:04Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5213914613,213,0.07,5213914607,140,69.9,5213914611,212,6.2,5213914605,56,Left,5213914609,141,96.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720864577,13,1,1,0,34,cftj6g399tknheudaxsdpfdgb,1,63.2,92.7,2024-09-15T14:03:04.111Z,2024-09-15T14:03:06Z,73lwz4he5erpp25zi8crjvztg,I. Jensen,,,5213914677,141,75.1,5213914681,213,4.07,5213914675,140,54.7,5213914673,56,Center,5213914679,212,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720864595,14,1,1,0,36,cftj6g399tknheudaxsdpfdgb,1,54.7,75.1,2024-09-15T14:03:06.399Z,2024-09-15T14:03:09Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,,5213914771,212,21.5,5213914769,141,46.4,5213914773,213,4.27,5213914767,140,46.0,5213914765,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720864599,15,50,1,0,39,cftj6g399tknheudaxsdpfdgb,1,42.3,52.0,2024-09-15T14:03:09.519Z,2024-09-15T15:01:56Z,bp2ellllifbtxgf0p8qlbm1nt,S. Radić,,,5213914789,56,Back,5213914791,286,,5214041913,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720864685,7,7,1,0,39,c165yjiny1qnmfdvefxvflnkc,1,57.7,48.0,2024-09-15T14:03:09.520Z,2024-09-15T17:40:54Z,7rtrg77m3xozgfhu3p2ihfey2,M. Juwara,,,5214041897,233,15,5213915189,56,Center,5215097437,383,,5213915191,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720865549,29,51,1,0,40,cftj6g399tknheudaxsdpfdgb,1,38.8,51.6,2024-09-15T14:03:10.375Z,2024-09-15T14:58:53Z,bp2ellllifbtxgf0p8qlbm1nt,S. Radić,,,5213920209,169,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720864687,8,15,1,0,41,c165yjiny1qnmfdvefxvflnkc,1,70.8,50.9,2024-09-15T14:03:11.180Z,2024-09-15T17:41:19Z,7rtrg77m3xozgfhu3p2ihfey2,M. Juwara,,,5213920413,102,46.4,5213920411,80,,5213920145,72,,5213915207,18,,5213920419,146,93.0,5213915205,22,,5215099877,215,,5213920415,103,14.6,5213920417,458,5213915209,56,Center,5213920421,147,48.6,5214220397,468,29,5213920433,233,16,,,,,,,,,,,,,,,,,,,,,,,,
2720864663,16,10,1,0,41,cftj6g399tknheudaxsdpfdgb,1,7.9,52.7,2024-09-15T14:03:11.280Z,2024-09-15T20:25:32Z,dk9nlp77b6q38p751f8w3o8np,O. Hedvall,,,5213915087,182,,5213915089,56,Back,5213915263,179,,5213915083,173,,5215101969,376,,5213920201,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720864701,17,52,1,0,48,cftj6g399tknheudaxsdpfdgb,1,1.8,64.8,2024-09-15T14:03:18.767Z,2024-09-15T17:41:36Z,dk9nlp77b6q38p751f8w3o8np,O. Hedvall,,,5215101691,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720864741,18,1,1,0,50,cftj6g399tknheudaxsdpfdgb,1,7.8,64.0,2024-09-15T14:03:20.255Z,2024-09-15T17:41:47Z,dk9nlp77b6q38p751f8w3o8np,O. Hedvall,,,5213915543,287,,5213915505,56,Back,5213915503,123,,5213915519,213,5.42,5215102775,1,,5213915507,140,34.0,5213915509,141,16.4,5213915515,212,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720864783,19,1,1,0,55,cftj6g399tknheudaxsdpfdgb,0,54.9,11.3,2024-09-15T14:03:25.568Z,2024-09-15T14:03:27Z,bitixkzgt5p65rlo2bnllcf6x,J. Mbom,,,5213915779,155,,5213915789,213,0.31,5213915787,212,23.5,5213915781,56,Center,5213915783,140,76.2,5213915785,141,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720864857,9,1,1,0,56,c165yjiny1qnmfdvefxvflnkc,1,26.6,76.6,2024-09-15T14:03:26.345Z,2024-09-15T17:42:45Z,1ykl08k2c2kwxukw0gvslf6qd,S. Velkov,,,5213916201,212,5.7,5213916199,141,83.2,5213916203,213,0.91,5213916193,3,,5213916195,56,Back,5213916197,140,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720864867,10,1,1,0,58,c165yjiny1qnmfdvefxvflnkc,0,29.9,83.2,2024-09-15T14:03:28.802Z,2024-09-15T17:43:13Z,7hukebiijqntuvetwzralzuju,O. Provstgaard,,,5213916293,157,,5213916295,56,Center,5213916299,141,54.5,5213916303,213,5.82,5213916305,1,,5213916297,140,67.5,5213916301,212,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2721082581,875,44,1,1,1,cftj6g399tknheudaxsdpfdgb,1,37.8,45.0,2024-09-15T14:03:31.298Z,2024-09-15T20:25:37Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,,5215116097,285,,5215116093,56,Back,5215846413,233,763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2721082595,763,44,1,1,1,c165yjiny1qnmfdvefxvflnkc,0,62.2,55.0,2024-09-15T14:03:31.299Z,2024-09-15T17:44:07Z,9yiz575rldkwu7icgqwk1qmdx,A. Jacobsen,,,5215116141,233,875,5215116135,56,Center,5215116139,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720864913,20,1,1,1,1,cftj6g399tknheudaxsdpfdgb,1,33.3,54.8,2024-09-15T14:03:31.526Z,2024-09-15T17:44:10Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,,5213916567,3,,5213916573,141,34.2,5213916569,56,Center,5213916575,212,26.1,5213916577,213,5.72,5213916571,140,54.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720864961,21,1,1,1,2,cftj6g399tknheudaxsdpfdgb,1,53.6,33.6,2024-09-15T14:03:32.270Z,2024-09-15T17:44:38Z,vrzye4jqrafujmjw3wakjpxw,T. Jørgensen,,,5213916833,141,40.3,5213916835,212,5.1,5213916837,213,2.02,5213916831,140,51.5,5213916829,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720864971,22,1,1,1,6,cftj6g399tknheudaxsdpfdgb,1,51.7,35.4,2024-09-15T14:03:36.333Z,2024-09-15T17:45:14Z,5f3wfx327z9hef9k9l37c90wl,J. Grønning,,,5213916873,140,53.8,5213916881,212,4.5,5213916869,56,Center,5213916877,141,29.7,5213916885,213,5.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720864995,23,1,1,1,7,cftj6g399tknheudaxsdpfdgb,1,53.0,31.0,2024-09-15T14:03:37.335Z,2024-09-15T17:45:16Z,vrzye4jqrafujmjw3wakjpxw,T. Jørgensen,,,5213917011,212,27.6,5213917003,140,36.8,5213917013,213,2.23,5213917007,141,63.0,5213917001,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2721085385,877,1,1,1,9,cftj6g399tknheudaxsdpfdgb,1,43.0,33.7,2024-09-15T14:03:39.128Z,2024-09-15T17:46:38Z,bp2ellllifbtxgf0p8qlbm1nt,S. Radić,,,5215131157,140,37.4,5215131163,213,1.88,5215131159,141,60.5,5215131155,56,Back,5215131161,212,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720865141,24,1,1,1,14,cftj6g399tknheudaxsdpfdgb,1,44.6,51.9,2024-09-15T14:03:44.622Z,2024-09-15T14:03:48Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,,5213917681,141,33.7,5213917679,140,44.7,5213917683,212,12.4,5213917677,56,Back,5213917685,213,4.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720865191,25,1,1,1,17,cftj6g399tknheudaxsdpfdgb,1,46.2,32.7,2024-09-15T14:03:48.015Z,2024-09-15T14:03:50Z,bp2ellllifbtxgf0p8qlbm1nt,S. Radić,,,5213917987,141,8.2,5213917991,213,5.32,5213917989,212,20.3,5213917985,140,57.2,5213917983,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720865213,26,1,1,1,20,cftj6g399tknheudaxsdpfdgb,1,57.2,8.2,2024-09-15T14:03:50.686Z,2024-09-15T14:03:52Z,bitixkzgt5p65rlo2bnllcf6x,J. Mbom,,,5213918075,56,Center,5213918081,212,15.5,5213918079,141,30.3,5213918077,140,53.4,5213918083,213,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720865245,27,1,1,1,22,cftj6g399tknheudaxsdpfdgb,0,53.4,30.3,2024-09-15T14:03:52.207Z,2024-09-15T14:03:54Z,5f3wfx327z9hef9k9l37c90wl,J. Grønning,,,5213918273,213,5.87,5213918275,1,,5213918269,141,13.7,5213918271,212,28.0,5213918263,157,,5213918265,56,Right,5213918267,140,77.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720865263,11,1,1,1,24,c165yjiny1qnmfdvefxvflnkc,0,24.2,88.3,2024-09-15T14:03:54.601Z,2024-09-15T14:03:55Z,6c2isptqoy4cq5c8rlr9s1roq,M. Elvius,,,5213918407,213,1.03,5213918401,212,10.4,5213918397,141,100.0,5213918391,3,,5213918393,56,Back,5213918395,140,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720865275,12,5,1,1,25,c165yjiny1qnmfdvefxvflnkc,0,26.5,101.2,2024-09-15T14:03:55.086Z,2024-09-15T15:13:34Z,6c2isptqoy4cq5c8rlr9s1roq,M. Elvius,,,5213918807,233,28,5213918465,347,,5213918463,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720865331,28,5,1,1,25,cftj6g399tknheudaxsdpfdgb,1,73.5,-1.2,2024-09-15T14:03:55.086Z,2024-09-15T15:13:34Z,5f3wfx327z9hef9k9l37c90wl,J. Grønning,,,5213918773,233,12,5213918731,347,,5213918729,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720865651,30,1,1,1,44,cftj6g399tknheudaxsdpfdgb,0,68.9,0.0,2024-09-15T14:04:14.598Z,2024-09-15T14:58:42Z,bitixkzgt5p65rlo2bnllcf6x,J. Mbom,,,5213920523,56,Right,5213920525,140,76.7,5213920527,141,11.0,5213920531,213,0.76,5213920521,107,,5213920529,212,11.3,5213920539,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2721085391,764,49,1,1,46,c165yjiny1qnmfdvefxvflnkc,1,25.9,92.8,2024-09-15T14:04:16.120Z,2024-09-15T17:46:48Z,7uia9zlz3axnuc6usdn9u4kfe,L. Hetemi,,,5215132235,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720865767,13,1,1,1,54,c165yjiny1qnmfdvefxvflnkc,1,27.1,91.0,2024-09-15T14:04:24.443Z,2024-09-15T14:54:27Z,7uia9zlz3axnuc6usdn9u4kfe,L. Hetemi,,,5214206387,56,Back,5214206393,212,19.6,5214206395,213,3.38,5214206389,140,9.0,5214206391,141,84.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720865781,15,43,1,1,54,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2024-09-15T14:04:24.731Z,2024-09-15T17:46:46Z,7hukebiijqntuvetwzralzuju,O. Provstgaard,,,5215132029,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720865775,14,1,1,1,55,c165yjiny1qnmfdvefxvflnkc,1,11.1,89.1,2024-09-15T14:04:25.585Z,2024-09-15T14:54:52Z,7hukebiijqntuvetwzralzuju,O. Provstgaard,,,5214206879,213,4.38,5214206873,140,3.4,5214206875,141,54.2,5214206877,212,25.1,5214206871,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720865869,16,1,1,1,56,c165yjiny1qnmfdvefxvflnkc,1,9.1,60.0,2024-09-15T14:04:26.089Z,2024-09-15T14:04:29Z,53y263xxfdf1itytiqhg3v6c5,I. Vekić,,,5213921681,213,5.48,5213921675,140,41.4,5213921673,56,Back,5213921671,157,,5213921683,1,,5213921677,141,8.8,5213921679,212,48.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720865873,17,61,1,1,59,c165yjiny1qnmfdvefxvflnkc,0,45.6,4.9,2024-09-15T14:04:29.656Z,2024-09-15T14:04:30Z,3ylgelxr6ssp42hidfnchqp2i,K. Kirkegaard,,,5213921691,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720865891,18,5,1,2,0,c165yjiny1qnmfdvefxvflnkc,0,48.1,-1.6,2024-09-15T14:04:30.825Z,2024-09-15T15:13:35Z,3ylgelxr6ssp42hidfnchqp2i,K. Kirkegaard,,,5213921759,56,Back,5213921761,347,,5213922267,233,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720865963,31,5,1,2,0,cftj6g399tknheudaxsdpfdgb,1,51.9,101.6,2024-09-15T14:04:30.825Z,2024-09-15T15:13:35Z,bitixkzgt5p65rlo2bnllcf6x,J. Mbom,,,5213922181,56,Left,5213922221,233,18,5213922183,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720866027,32,1,1,2,5,cftj6g399tknheudaxsdpfdgb,1,45.9,100.0,2024-09-15T14:04:35.310Z,2024-09-15T14:04:38Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5213922569,212,11.8,5213922573,213,4.69,5213922565,140,45.7,5213922563,56,Back,5213922561,107,,5213922567,141,84.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720866043,33,1,1,2,8,cftj6g399tknheudaxsdpfdgb,1,45.7,82.9,2024-09-15T14:04:38.638Z,2024-09-15T14:05:37Z,5f3wfx327z9hef9k9l37c90wl,J. Grønning,,,5213922681,213,3.14,5213922675,140,32.1,5213922673,56,Back,5213922677,141,83.0,5213922679,212,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
