id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/17/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId
2810156231,9,1,1,0,20,ahnt9ejgwj58ul8auzdvi3czf,1,59.1,14.6,2025-05-04T12:00:57.483Z,2025-05-04T12:01:00Z,89xit2bryc0g4yhqina7akjkk,J. Nielsen,,,5701754133,56,Back,5701754135,140,39.4,5701754141,213,3.04,5701754137,141,17.8,5701754139,212,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810156299,10,1,1,0,22,ahnt9ejgwj58ul8auzdvi3czf,1,42.4,20.9,2025-05-04T12:00:59.962Z,2025-05-04T12:01:03Z,9zhmwx3g0m6xi2oh57g4z35nu,R. Østrøm,,,5701754427,212,22.1,5701754421,140,45.5,5701754419,56,Back,5701754423,141,53.0,5701754431,213,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810156337,11,1,1,0,26,ahnt9ejgwj58ul8auzdvi3czf,1,46.7,57.9,2025-05-04T12:01:03.739Z,2025-05-04T12:01:07Z,4qo7eu3xwhkpssbuyk4n70fe1,Pedro Ganchas,,,5701754663,212,36.9,5701754659,140,71.6,5701754665,213,0.78,5701754657,56,Left,5701754667,1,,5701754661,141,96.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810156365,12,1,1,0,30,ahnt9ejgwj58ul8auzdvi3czf,1,71.0,92.4,2025-05-04T12:01:07.179Z,2025-05-04T12:01:10Z,7h39w16zvj1lbfb0rqr7kvt1x,J. Gammelby,,,5701754805,56,Left,5701754811,212,10.3,5701754813,213,3.60,5701754807,140,62.2,5701754809,141,85.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810156419,13,1,1,0,32,ahnt9ejgwj58ul8auzdvi3czf,1,61.8,88.1,2025-05-04T12:01:09.962Z,2025-05-04T12:01:14Z,lioz4hr2umpne2bwar18qa96,A. Klynge,,,5701755101,1,,5701755095,141,41.9,5701755093,140,52.9,5701755099,213,4.42,5701755097,212,32.8,5701755091,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810156467,14,1,1,0,37,ahnt9ejgwj58ul8auzdvi3czf,1,55.5,32.0,2025-05-04T12:01:14.075Z,2025-05-04T12:01:17Z,9zhmwx3g0m6xi2oh57g4z35nu,R. Østrøm,,,5701755361,141,44.3,5701755357,56,Center,5701755359,140,73.6,5701755365,213,0.41,5701755363,212,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810156481,15,1,1,0,40,ahnt9ejgwj58ul8auzdvi3czf,0,63.8,49.9,2025-05-04T12:01:17.754Z,2025-05-04T12:01:19Z,n2annzbap7hll02zo2v0ccgk,T. Adamsen,,,5701755427,213,5.99,5701755421,140,69.3,5701755419,56,Center,5701755471,236,,5701755477,286,,5701755423,141,47.3,5701755425,212,6.0,5701755473,233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810156487,4,74,1,0,40,c165yjiny1qnmfdvefxvflnkc,1,35.0,63.4,2025-05-04T12:01:17.755Z,2025-05-04T12:23:32Z,7uia9zlz3axnuc6usdn9u4kfe,L. Hetemi,,,5701755447,285,,5701755553,233,15,5701755445,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810156541,16,1,1,0,42,ahnt9ejgwj58ul8auzdvi3czf,1,66.3,68.6,2025-05-04T12:01:19.931Z,2025-05-04T12:01:23Z,4qo7eu3xwhkpssbuyk4n70fe1,Pedro Ganchas,,,5701755749,140,75.5,5701755753,212,20.1,5701755755,213,1.07,5701755747,56,Left,5701755751,141,94.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810156547,17,1,1,0,45,ahnt9ejgwj58ul8auzdvi3czf,1,72.7,88.8,2025-05-04T12:01:22.922Z,2025-05-04T12:01:23Z,7h39w16zvj1lbfb0rqr7kvt1x,J. Gammelby,,,5701755775,140,70.9,5701755773,56,Center,5701755779,212,7.6,5701755777,141,77.9,5701755781,213,4.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810156555,18,1,1,0,46,ahnt9ejgwj58ul8auzdvi3czf,0,70.9,77.9,2025-05-04T12:01:23.675Z,2025-05-04T12:01:24Z,avtms6bcr8i7qdacuv225evo5,J. Andersen,,,5701755817,56,Center,5701755821,141,76.2,5701755823,212,11.1,5701755825,213,6.18,5701755819,140,81.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810157045,5,12,1,0,49,c165yjiny1qnmfdvefxvflnkc,1,17.4,14.0,2025-05-04T12:01:26.454Z,2025-05-04T12:02:06Z,6lap0wrnichfxxqm5kgtoflec,L. Flø,,,5701758361,140,63.4,5701758363,141,11.9,5701758359,56,Right,5701758365,212,48.3,5701758369,213,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810156651,19,1,1,0,54,ahnt9ejgwj58ul8auzdvi3czf,1,26.8,78.2,2025-05-04T12:01:31.274Z,2025-05-04T12:01:33Z,b2492j7qzdo7g3ysxz6gq4g5x,N. Larsen,,,5701756289,141,84.8,5701756293,213,0.25,5701756291,212,17.8,5701756287,140,43.2,5701756285,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810156687,20,1,1,0,55,ahnt9ejgwj58ul8auzdvi3czf,1,44.9,70.4,2025-05-04T12:01:33.018Z,2025-05-04T12:01:36Z,4qo7eu3xwhkpssbuyk4n70fe1,Pedro Ganchas,,,5701756475,56,Back,5701756481,212,25.6,5701756483,213,4.79,5701756477,140,46.8,5701756479,141,32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810156749,21,1,1,0,59,ahnt9ejgwj58ul8auzdvi3czf,1,47.5,18.8,2025-05-04T12:01:36.170Z,2025-05-04T12:01:40Z,9zhmwx3g0m6xi2oh57g4z35nu,R. Østrøm,,,5701756831,56,Right,5701756845,213,5.85,5701756839,141,8.6,5701756843,212,16.5,5701756835,140,61.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810156759,22,1,1,1,3,ahnt9ejgwj58ul8auzdvi3czf,1,52.4,24.4,2025-05-04T12:01:40.410Z,2025-05-04T12:01:41Z,349g9rdismqpb1aarjp011bd,C. McCowatt,,,5701756889,56,Back,5701756895,212,16.6,5701756897,213,3.05,5701756893,141,26.6,5701756891,140,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810156801,23,1,1,1,4,ahnt9ejgwj58ul8auzdvi3czf,1,36.7,26.6,2025-05-04T12:01:41.274Z,2025-05-04T12:01:45Z,9zhmwx3g0m6xi2oh57g4z35nu,R. Østrøm,,,5701757139,213,1.29,5701757131,56,Back,5701757137,212,31.7,5701757135,141,71.4,5701757133,140,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810156827,24,1,1,1,8,ahnt9ejgwj58ul8auzdvi3czf,1,57.5,69.8,2025-05-04T12:01:45.322Z,2025-05-04T12:01:47Z,4qo7eu3xwhkpssbuyk4n70fe1,Pedro Ganchas,,,5701757297,141,78.0,5701757291,140,61.0,5701757301,212,6.7,5701757287,56,Center,5701757305,213,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810156847,25,1,1,1,10,ahnt9ejgwj58ul8auzdvi3czf,1,58.8,79.5,2025-05-04T12:01:47.818Z,2025-05-04T12:01:49Z,avtms6bcr8i7qdacuv225evo5,J. Andersen,,,5701757387,213,0.56,5701757383,141,93.9,5701757381,140,73.7,5701757385,212,18.5,5701757379,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810156901,26,1,1,1,12,ahnt9ejgwj58ul8auzdvi3czf,1,72.4,94.5,2025-05-04T12:01:49.082Z,2025-05-04T12:01:53Z,7h39w16zvj1lbfb0rqr7kvt1x,J. Gammelby,,,5701757603,56,Left,5701757607,140,62.4,5701757615,212,11.2,5701757611,141,88.8,5701757619,213,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810156925,27,1,1,1,16,ahnt9ejgwj58ul8auzdvi3czf,1,61.1,81.0,2025-05-04T12:01:53.243Z,2025-05-04T15:22:12Z,avtms6bcr8i7qdacuv225evo5,J. Andersen,,,5701757753,141,41.6,5701757757,213,4.43,5701757749,56,Center,5701757751,140,53.7,5701757755,212,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810156959,28,1,1,1,19,ahnt9ejgwj58ul8auzdvi3czf,1,54.9,37.3,2025-05-04T12:01:56.074Z,2025-05-04T12:01:58Z,9zhmwx3g0m6xi2oh57g4z35nu,R. Østrøm,,,5701757909,56,Right,5701757915,212,30.8,5701757913,141,1.0,5701757917,213,5.36,5701757911,140,72.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810156981,29,1,1,1,21,ahnt9ejgwj58ul8auzdvi3czf,1,68.9,3.8,2025-05-04T12:01:58.730Z,2025-05-04T12:02:00Z,89xit2bryc0g4yhqina7akjkk,J. Nielsen,,,5701758011,56,Right,5701758017,212,9.3,5701758013,140,61.9,5701758015,141,12.2,5701758019,213,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810157017,30,1,1,1,23,ahnt9ejgwj58ul8auzdvi3czf,1,64.9,15.7,2025-05-04T12:02:00.234Z,2025-05-04T12:02:03Z,lmrff8mviimc33yyrpjzr2tw,O. Boesen,,,5701758207,56,Center,5701758215,213,1.08,5701758213,212,8.6,5701758209,140,68.8,5701758211,141,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810157051,31,1,1,1,25,ahnt9ejgwj58ul8auzdvi3czf,0,65.7,24.4,2025-05-04T12:02:02.938Z,2025-05-04T12:02:06Z,bplpqy3ierwlm12d1f3prue7e,P. Mattsson,,,5701758391,56,Right,5701758397,212,22.1,5701758393,140,86.1,5701758395,141,16.4,5701758399,213,6.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810157055,6,61,1,1,29,c165yjiny1qnmfdvefxvflnkc,1,12.2,88.3,2025-05-04T12:02:06.133Z,2025-05-04T12:02:06Z,3ylgelxr6ssp42hidfnchqp2i,K. Kirkegaard,,,5701758413,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810157059,7,6,1,1,30,c165yjiny1qnmfdvefxvflnkc,0,12.8,86.4,2025-05-04T12:02:07.109Z,2025-05-04T15:22:46Z,3ylgelxr6ssp42hidfnchqp2i,K. Kirkegaard,,,5701758529,73,,5701758549,233,32,5701758527,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810157063,32,6,1,1,30,ahnt9ejgwj58ul8auzdvi3czf,1,87.2,13.6,2025-05-04T12:02:07.109Z,2025-05-04T12:23:30Z,bplpqy3ierwlm12d1f3prue7e,P. Mattsson,,,5701758541,233,7,5701758537,75,,5701758535,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810157151,33,1,1,1,35,ahnt9ejgwj58ul8auzdvi3czf,1,99.5,0.5,2025-05-04T12:02:13.034Z,2025-05-04T12:54:18Z,89xit2bryc0g4yhqina7akjkk,J. Nielsen,,,5701758873,213,2.89,5701758859,6,,5701758863,56,Right,5701758871,212,21.4,5701758867,140,79.7,5701758869,141,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810157157,34,1,1,1,37,ahnt9ejgwj58ul8auzdvi3czf,1,75.6,9.8,2025-05-04T12:02:14.922Z,2025-05-04T12:54:29Z,n2annzbap7hll02zo2v0ccgk,T. Adamsen,,,5701758889,56,Right,5701758893,141,10.7,5701758897,213,2.90,5701758891,140,73.2,5701758895,212,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810157185,35,1,1,1,38,ahnt9ejgwj58ul8auzdvi3czf,1,73.7,10.0,2025-05-04T12:02:15.993Z,2025-05-04T12:54:42Z,lmrff8mviimc33yyrpjzr2tw,O. Boesen,,,5701759039,212,9.0,5701759037,141,7.4,5701759041,213,6.09,5701759035,140,82.1,5701759033,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810157201,36,1,1,1,39,ahnt9ejgwj58ul8auzdvi3czf,1,79.1,8.8,2025-05-04T12:02:16.778Z,2025-05-04T12:02:17Z,89xit2bryc0g4yhqina7akjkk,J. Nielsen,,,5701759131,141,19.3,5701759133,212,21.9,5701759127,56,Right,5701759135,213,2.81,5701759129,140,59.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810157293,37,1,1,1,40,ahnt9ejgwj58ul8auzdvi3czf,1,59.4,19.3,2025-05-04T12:02:17.514Z,2025-05-04T12:02:22Z,9zhmwx3g0m6xi2oh57g4z35nu,R. Østrøm,,,5701759609,212,31.7,5701759607,141,65.9,5701759605,140,60.9,5701759611,213,1.52,5701759603,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810157313,38,1,1,1,45,ahnt9ejgwj58ul8auzdvi3czf,1,65.1,65.9,2025-05-04T12:02:22.585Z,2025-05-04T12:02:25Z,avtms6bcr8i7qdacuv225evo5,J. Andersen,,,5701759713,56,Center,5701759715,140,61.7,5701759719,212,8.5,5701759721,213,4.28,5701759717,141,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810157359,39,1,1,1,47,ahnt9ejgwj58ul8auzdvi3czf,1,61.1,55.7,2025-05-04T12:02:24.906Z,2025-05-04T12:02:28Z,bplpqy3ierwlm12d1f3prue7e,P. Mattsson,,,5701759921,141,32.8,5701759919,140,66.6,5701759917,56,Center,5701759923,212,16.6,5701759925,213,5.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810157387,40,1,1,1,51,ahnt9ejgwj58ul8auzdvi3czf,1,67.2,34.7,2025-05-04T12:02:28.361Z,2025-05-04T12:02:31Z,lmrff8mviimc33yyrpjzr2tw,O. Boesen,,,5701760047,213,5.02,5701760039,56,Right,5701760043,141,11.6,5701760041,140,72.0,5701760045,212,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810157413,41,1,1,1,53,ahnt9ejgwj58ul8auzdvi3czf,1,70.5,15.4,2025-05-04T12:02:30.969Z,2025-05-04T12:02:34Z,349g9rdismqpb1aarjp011bd,C. McCowatt,,,5701760195,56,Right,5701760201,212,16.7,5701760203,213,5.94,5701760197,140,85.5,5701760199,141,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810157431,42,1,1,1,57,ahnt9ejgwj58ul8auzdvi3czf,1,81.0,13.6,2025-05-04T12:02:34.201Z,2025-05-04T12:02:36Z,89xit2bryc0g4yhqina7akjkk,J. Nielsen,,,5701760305,56,Right,5701760311,212,7.4,5701760313,213,3.53,5701760307,140,74.5,5701760309,141,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810157469,43,1,1,1,58,ahnt9ejgwj58ul8auzdvi3czf,1,73.2,10.9,2025-05-04T12:02:35.945Z,2025-05-04T12:02:39Z,349g9rdismqpb1aarjp011bd,C. McCowatt,,,5701760515,141,7.3,5701760511,56,Right,5701760517,212,15.3,5701760513,140,87.6,5701760519,213,6.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810157493,44,1,1,2,2,ahnt9ejgwj58ul8auzdvi3czf,1,80.2,12.4,2025-05-04T12:02:39.546Z,2025-05-04T12:02:41Z,89xit2bryc0g4yhqina7akjkk,J. Nielsen,,,5701760617,141,9.5,5701760619,212,10.4,5701760621,213,3.33,5701760613,56,Right,5701760615,140,70.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810157527,45,1,1,2,4,ahnt9ejgwj58ul8auzdvi3czf,1,69.2,10.0,2025-05-04T12:02:41.737Z,2025-05-04T12:02:44Z,349g9rdismqpb1aarjp011bd,C. McCowatt,,,5701760791,141,26.3,5701760789,140,59.4,5701760793,212,15.1,5701760787,56,Center,5701760795,213,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810157553,46,1,1,2,6,ahnt9ejgwj58ul8auzdvi3czf,1,60.3,35.9,2025-05-04T12:02:43.897Z,2025-05-04T12:02:47Z,9zhmwx3g0m6xi2oh57g4z35nu,R. Østrøm,,,5701760957,140,55.5,5701760955,56,Center,5701760959,141,67.7,5701760961,212,22.2,5701760963,213,1.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810157579,47,1,1,2,10,ahnt9ejgwj58ul8auzdvi3czf,1,56.8,69.9,2025-05-04T12:02:47.193Z,2025-05-04T12:02:49Z,4qo7eu3xwhkpssbuyk4n70fe1,Pedro Ganchas,,,5701761123,212,16.5,5701761125,213,4.64,5701761117,56,Center,5701761121,141,45.7,5701761119,140,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810157611,48,1,1,2,12,ahnt9ejgwj58ul8auzdvi3czf,1,55.6,45.5,2025-05-04T12:02:49.161Z,2025-05-04T12:02:51Z,9zhmwx3g0m6xi2oh57g4z35nu,R. Østrøm,,,5701761229,56,Center,5701761235,212,8.3,5701761233,141,34.4,5701761237,213,5.13,5701761231,140,58.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
