id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2754012663,8,1,1,0,14,anga7587r1zv4ey71ge9zxol3,1,81.2,2.2,2024-12-01T13:02:46.395Z,2024-12-01T13:02:49Z,6v4ykv7aw86ql22oksh682kus,W. Kumado,,,5394999161,213,0.71,5394999155,141,10.1,5394999153,140,87.1,5394999159,212,8.2,5394999151,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012685,9,1,1,0,17,anga7587r1zv4ey71ge9zxol3,1,87.1,10.1,2024-12-01T13:02:49.307Z,2024-12-01T13:02:51Z,diwrq7ulrey4juxk4dafct0q1,M. Warming,,,5394999247,213,2.98,5394999243,141,12.6,5394999239,56,Right,5394999241,140,77.4,5394999245,212,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012689,10,4,1,0,19,anga7587r1zv4ey71ge9zxol3,1,69.9,12.1,2024-12-01T13:02:51.515Z,2024-12-01T13:58:31Z,5733iw16239m83syv5dm8huj9,M. Rømer,,,5394999627,233,4,5394999319,152,,5394999317,56,Right,5394999315,13,,5394999325,286,,5394999321,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012735,4,4,1,0,19,aljua8crr0vkwit0j3m59jw9j,0,30.1,87.9,2024-12-01T13:02:51.516Z,2024-12-01T13:58:32Z,1902oagnhlo7x9xpumxvg1t78,L. Björklund,,,5394999583,152,,5394999587,285,,5394999585,265,,5394999581,56,Back,5394999649,233,10,5394999579,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012819,11,1,1,0,28,anga7587r1zv4ey71ge9zxol3,1,69.7,11.1,2024-12-01T13:03:00.667Z,2024-12-01T13:03:03Z,5733iw16239m83syv5dm8huj9,M. Rømer,,,5394999941,212,12.1,5394999931,5,,5394999943,213,6.02,5394999933,152,,5394999939,141,6.5,5394999937,140,80.8,5394999935,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012851,12,1,1,0,31,anga7587r1zv4ey71ge9zxol3,1,83.6,11.9,2024-12-01T13:03:03.243Z,2024-12-01T13:03:05Z,diwrq7ulrey4juxk4dafct0q1,M. Warming,,,5395000139,212,16.9,5395000137,141,20.1,5395000133,56,Right,5395000141,213,0.34,5395000135,140,98.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012901,13,1,1,0,33,anga7587r1zv4ey71ge9zxol3,0,98.5,20.1,2024-12-01T13:03:05.291Z,2024-12-01T16:25:42Z,6v4ykv7aw86ql22oksh682kus,W. Kumado,,,5395000375,155,,5396134283,224,,5395000383,140,98.1,5395000397,213,1.59,5395000395,212,28.8,5396134285,20,,5395000391,141,62.4,5395092879,2,,5395000379,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012915,5,12,1,0,36,aljua8crr0vkwit0j3m59jw9j,1,2.8,42.5,2024-12-01T13:03:08.202Z,2024-12-01T13:03:20Z,3361cs2j60yxzy9mir80byqc5,A. Oggesen,,,5395000465,56,Back,5395000471,212,17.6,5395000519,15,,5395000473,213,4.90,5395000467,140,5.9,5395000469,141,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754013003,14,1,1,0,38,anga7587r1zv4ey71ge9zxol3,1,96.1,90.9,2024-12-01T13:03:10.682Z,2024-12-01T13:03:14Z,b13l1wrb747y9cdc8wqltan6d,M. Hebo,,,5395000885,141,88.4,5395000887,212,15.2,5395000889,213,3.25,5395000883,140,81.7,5395000881,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754013013,15,1,1,0,42,anga7587r1zv4ey71ge9zxol3,1,80.7,88.4,2024-12-01T13:03:14.507Z,2024-12-01T13:03:15Z,8ydi45wh0naevno6aos78vi09,L. Klassen,,,5395000941,140,65.6,5395000945,212,18.0,5395000947,213,3.63,5395000943,141,76.0,5395000939,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754013039,16,1,1,0,43,anga7587r1zv4ey71ge9zxol3,1,65.6,76.0,2024-12-01T13:03:15.771Z,2024-12-01T13:03:17Z,5is9bcj143orulo4biogwxzl6,L. Lissens,,,5395001073,213,0.91,5395001067,140,75.4,5395001069,141,95.6,5395001071,212,16.8,5395001065,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754013049,17,1,1,0,45,anga7587r1zv4ey71ge9zxol3,0,77.4,96.5,2024-12-01T13:03:17.723Z,2024-12-01T16:26:44Z,9pnirb3qt48zeui3su8cvu1ka,J. Amon,,,5395001105,213,5.30,5395001103,212,21.1,5395001101,141,70.7,5395001099,140,88.5,5395001097,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754013053,18,43,1,0,47,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2024-12-01T13:03:19.323Z,2024-12-01T16:26:46Z,b13l1wrb747y9cdc8wqltan6d,M. Hebo,,,5395001113,56,Center,5396141515,144,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754013087,6,12,1,0,47,aljua8crr0vkwit0j3m59jw9j,1,12.2,35.0,2024-12-01T13:03:19.961Z,2024-12-01T13:03:22Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5395001245,213,5.52,5395001295,167,,5395001239,140,36.5,5395001237,56,Back,5395001243,212,35.3,5395001241,141,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754013091,7,5,1,0,49,aljua8crr0vkwit0j3m59jw9j,0,35.6,-1.3,2024-12-01T13:03:21.771Z,2024-12-01T13:58:14Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5395001251,347,,5395002523,233,19,5395001249,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754013309,19,5,1,0,49,anga7587r1zv4ey71ge9zxol3,1,64.4,101.3,2024-12-01T13:03:21.771Z,2024-12-01T13:58:14Z,b13l1wrb747y9cdc8wqltan6d,M. Hebo,,,5395002415,56,Left,5395002495,233,7,5395002417,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754013353,20,1,1,1,8,anga7587r1zv4ey71ge9zxol3,1,72.3,100.0,2024-12-01T13:03:40.139Z,2024-12-01T13:03:43Z,8ydi45wh0naevno6aos78vi09,L. Klassen,,,5395002665,140,42.5,5395002675,1,,5395002671,212,33.0,5395002661,56,Back,5395002659,107,,5395002673,213,3.47,5395002669,141,86.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754013469,21,1,1,1,11,anga7587r1zv4ey71ge9zxol3,1,42.5,86.5,2024-12-01T13:03:43.451Z,2024-12-01T13:03:52Z,5is9bcj143orulo4biogwxzl6,L. Lissens,,,5395003293,1,,5395003289,212,35.2,5395003283,56,Back,5395003287,141,53.1,5395003291,213,3.84,5395003285,140,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754013511,22,1,1,1,20,anga7587r1zv4ey71ge9zxol3,1,23.1,54.8,2024-12-01T13:03:52.363Z,2024-12-01T13:03:55Z,15fo180vixn0lb65fujttit3p,J. Storch,,,5395003513,212,56.1,5395003517,1,,5395003507,56,Center,5395003509,140,75.0,5395003505,157,,5395003515,213,0.24,5395003511,141,74.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754013559,23,1,1,1,23,anga7587r1zv4ey71ge9zxol3,1,74.7,75.0,2024-12-01T13:03:55.595Z,2024-12-01T13:57:35Z,9pnirb3qt48zeui3su8cvu1ka,J. Amon,,,5395003729,140,65.5,5395003727,56,Center,5395003733,212,10.2,5395246533,156,,5395003735,213,3.47,5395003731,141,70.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754013577,24,1,1,1,26,anga7587r1zv4ey71ge9zxol3,1,65.5,70.2,2024-12-01T13:03:58.539Z,2024-12-01T13:03:59Z,d854rlweyk5wq6d2veyviukq2,C. Winther,,,5395003823,212,8.7,5395003817,140,57.8,5395003819,141,65.4,5395003825,213,3.53,5395003815,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754013583,25,1,1,1,27,anga7587r1zv4ey71ge9zxol3,1,57.8,65.7,2024-12-01T13:03:59.739Z,2024-12-01T13:04:01Z,5733iw16239m83syv5dm8huj9,M. Rømer,,,5395003859,141,95.1,5395003857,140,64.6,5395003861,212,21.2,5395003855,56,Left,5395003863,213,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754013619,26,1,1,1,29,anga7587r1zv4ey71ge9zxol3,1,57.0,96.5,2024-12-01T13:04:01.179Z,2024-12-01T16:27:30Z,8ydi45wh0naevno6aos78vi09,L. Klassen,,,5395004067,56,Back,5395004069,140,32.1,5395004073,212,31.8,5395004071,141,69.9,5395004075,213,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754013663,27,1,1,1,32,anga7587r1zv4ey71ge9zxol3,1,32.1,69.9,2024-12-01T13:04:04.106Z,2024-12-01T13:04:08Z,5is9bcj143orulo4biogwxzl6,L. Lissens,,,5395004343,141,37.9,5395004347,213,3.89,5395004339,56,Back,5395004341,140,9.8,5395004345,212,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754013691,28,1,1,1,36,anga7587r1zv4ey71ge9zxol3,1,9.8,37.9,2024-12-01T13:04:08.219Z,2024-12-01T13:04:10Z,15fo180vixn0lb65fujttit3p,J. Storch,,,5395004495,212,25.5,5395004485,56,Back,5395004491,141,4.1,5395004487,140,20.4,5395004499,213,5.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754013743,29,1,1,1,38,anga7587r1zv4ey71ge9zxol3,1,28.2,4.9,2024-12-01T13:04:10.650Z,2024-12-01T16:27:41Z,6v4ykv7aw86ql22oksh682kus,W. Kumado,,,5395004755,141,44.6,5395004759,213,1.55,5395004753,140,28.8,5395004757,212,27.0,5395004751,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754013787,30,1,1,1,42,anga7587r1zv4ey71ge9zxol3,1,30.9,50.1,2024-12-01T13:04:15.002Z,2024-12-01T16:27:47Z,5733iw16239m83syv5dm8huj9,M. Rømer,,,5395005019,141,96.3,5395005017,140,43.6,5395005027,213,1.17,5395005023,212,34.1,5395005031,1,,5395005015,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754013817,31,1,1,1,46,anga7587r1zv4ey71ge9zxol3,1,54.0,94.1,2024-12-01T13:04:18.923Z,2024-12-01T13:04:21Z,8ydi45wh0naevno6aos78vi09,L. Klassen,,,5395005163,212,14.9,5395005159,140,43.2,5395005157,56,Back,5395005161,141,80.0,5395005165,213,3.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754013909,32,1,1,1,49,anga7587r1zv4ey71ge9zxol3,1,44.9,78.5,2024-12-01T13:04:21.755Z,2024-12-01T13:04:27Z,5733iw16239m83syv5dm8huj9,M. Rømer,,,5395005621,212,29.5,5395005615,56,Left,5395005619,141,92.4,5395005623,213,0.33,5395005617,140,71.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754013951,33,1,1,1,55,anga7587r1zv4ey71ge9zxol3,1,76.1,80.8,2024-12-01T13:04:27.450Z,2024-12-01T16:28:33Z,8ydi45wh0naevno6aos78vi09,L. Klassen,1.0,,5395005821,212,22.4,5395005815,56,Center,5395005823,213,5.01,5395005819,141,49.3,5395005817,140,82.3,5395006413,210,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754013961,34,13,1,1,57,anga7587r1zv4ey71ge9zxol3,1,85.6,51.7,2024-12-01T13:04:30.060Z,2024-12-01T16:28:24Z,d854rlweyk5wq6d2veyviukq2,C. Winther,,,5395006449,55,33,5395006447,29,,5396152449,17,,5395005869,56,Center,5395006455,103,76.4,5395006459,230,98.9,5395006453,102,54.1,5395006461,231,52.3,5395005865,22,,5396152451,74,5395006213,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754014323,8,5,1,1,58,aljua8crr0vkwit0j3m59jw9j,1,-1.5,44.8,2024-12-01T13:04:30.409Z,2024-12-01T13:58:14Z,7sbdudf1vycn8hinw0giakpyi,E. Duru,,,5395007705,346,,5395007703,56,Back,5395007773,233,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754013985,35,5,1,1,58,anga7587r1zv4ey71ge9zxol3,0,101.5,55.2,2024-12-01T13:04:30.409Z,2024-12-01T13:58:15Z,d854rlweyk5wq6d2veyviukq2,C. Winther,,,5395005991,346,,5395007787,233,8,5395005989,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754014739,17,1,1,2,22,aljua8crr0vkwit0j3m59jw9j,1,5.2,40.7,2024-12-01T13:04:54.312Z,2024-12-01T16:28:43Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5396154269,189,,5395009893,56,Back,5395009899,212,7.2,5395009897,141,51.2,5395010795,124,,5395010797,237,,5395009895,140,4.7,5395009901,213,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754014389,9,1,1,2,22,aljua8crr0vkwit0j3m59jw9j,0,4.3,56.4,2024-12-01T13:04:55.017Z,2024-12-01T13:05:34Z,c7gwbtdqptxjtu3tn3xctvit,J. Busk,,,5395010131,157,,5395008035,140,70.2,5395008043,1,,5395008039,212,77.1,5395008037,141,6.3,5395008033,56,Right,5395008041,213,5.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754014439,37,1,1,2,29,anga7587r1zv4ey71ge9zxol3,1,30.8,95.0,2024-12-01T13:05:01.292Z,2024-12-01T13:05:05Z,5is9bcj143orulo4biogwxzl6,L. Lissens,,,5395008345,212,32.7,5395008341,140,5.7,5395008349,1,,5395008347,213,3.77,5395008343,141,66.6,5395008339,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754014473,38,1,1,2,32,anga7587r1zv4ey71ge9zxol3,0,8.4,64.9,2024-12-01T13:05:05.051Z,2024-12-01T13:05:07Z,15fo180vixn0lb65fujttit3p,J. Storch,,,5395008553,1,,5395008545,140,45.7,5395008551,213,0.22,5395008541,157,,5395008543,56,Back,5395008549,212,40.1,5395008547,141,77.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754014501,10,1,1,2,37,aljua8crr0vkwit0j3m59jw9j,1,63.6,22.7,2024-12-01T13:05:09.576Z,2024-12-01T13:29:09Z,5jdkdvxssuc8gvzwwrq5bs76y,T. Sommer,,,5395008677,140,66.4,5395008679,141,20.3,5395008683,213,5.78,5395008671,3,,5395008681,212,3.4,5395008675,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754014511,11,43,1,2,38,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2024-12-01T13:05:10.441Z,2024-12-01T13:29:21Z,5x8064b3yr7txk0czddfjtffu,S. Emini,,,5395092637,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754014517,12,1,1,2,38,aljua8crr0vkwit0j3m59jw9j,0,66.4,20.3,2024-12-01T13:05:10.713Z,2024-12-01T13:29:23Z,5x8064b3yr7txk0czddfjtffu,S. Emini,,,5395008749,56,Center,5395008757,213,0.09,5395092709,1,,5395008753,141,21.4,5395008755,212,8.4,5395008751,140,74.4,5395092701,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754014523,39,43,1,2,39,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2024-12-01T13:05:11.114Z,2024-12-01T16:29:14Z,5is9bcj143orulo4biogwxzl6,L. Lissens,,,5396157579,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754014537,40,1,1,2,39,anga7587r1zv4ey71ge9zxol3,0,31.6,81.5,2024-12-01T13:05:11.578Z,2024-12-01T13:05:12Z,5is9bcj143orulo4biogwxzl6,L. Lissens,,,5395008829,212,7.7,5395008831,213,5.44,5395008827,141,73.0,5395008823,56,Back,5395008825,140,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754014555,13,43,1,2,41,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2024-12-01T13:05:13.560Z,2024-12-01T16:29:30Z,3ejggtt1du1cui3wc1f8oqx62,L. Qamili,,,5395008913,56,Center,5396159583,144,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754014569,15,1,1,2,42,aljua8crr0vkwit0j3m59jw9j,1,72.4,27.9,2024-12-01T13:05:14.159Z,2024-12-01T13:05:15Z,3ejggtt1du1cui3wc1f8oqx62,L. Qamili,,,5395008959,56,Center,5395008967,213,3.71,5395008963,141,22.0,5395008965,212,7.5,5395008961,140,66.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754014583,16,1,1,2,42,aljua8crr0vkwit0j3m59jw9j,0,65.1,22.0,2024-12-01T13:05:14.953Z,2024-12-01T13:05:15Z,5x8064b3yr7txk0czddfjtffu,S. Emini,,,5395009029,212,33.1,5395009031,213,0.46,5395009023,56,Center,5395009027,141,43.6,5395009033,1,,5395009025,140,93.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754014605,41,52,1,2,45,anga7587r1zv4ey71ge9zxol3,1,4.6,60.9,2024-12-01T13:05:17.290Z,2024-12-01T16:29:42Z,15fo180vixn0lb65fujttit3p,J. Storch,,,5396160961,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
