id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/11/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2802551035,115,61,1,0,15,77tfx9me4aaqhzv78bmgsy9bg,1,57.4,5.0,2025-04-18T17:03:01.012Z,2025-04-18T17:12:44Z,3zc9hy5uicgp21wr6z5wyuntg,C. Yirenkyi,,5659952827,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802551851,123,1,1,0,16,77tfx9me4aaqhzv78bmgsy9bg,1,57.6,2.2,2025-04-18T17:03:01.654Z,2025-04-18T17:13:45Z,5uqf7a0y0fd1hf2rrmgx11tuy,B. Nygren,,5659957555,140,55.5,5659957561,213,2.13,5659957557,141,7.4,5659957553,56,Right,5659957559,212,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802544035,12,1,1,0,17,77tfx9me4aaqhzv78bmgsy9bg,1,64.3,10.4,2025-04-18T17:03:02.760Z,2025-04-18T17:03:03Z,3zc9hy5uicgp21wr6z5wyuntg,C. Yirenkyi,,5659913583,213,2.45,5659913575,56,Right,5659913577,140,59.8,5659913581,212,6.2,5659913579,141,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802544043,13,1,1,0,18,77tfx9me4aaqhzv78bmgsy9bg,1,59.8,16.2,2025-04-18T17:03:03.384Z,2025-04-18T17:27:09Z,5r1v2w303bvj0vv1893qr5d5h,M. Brink,,5659913623,56,Right,5659913627,141,16.1,5659913625,140,70.4,5659913631,213,6.28,5659913629,212,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802544073,14,1,1,0,18,77tfx9me4aaqhzv78bmgsy9bg,1,65.8,13.1,2025-04-18T17:03:03.864Z,2025-04-18T20:00:38Z,7a1vtc0e7ubua2t0dwx9ufk7o,S. Egeli,,5659913793,56,Right,5659913801,213,5.98,5659913797,141,9.6,5659913795,140,73.1,5659913799,212,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802544079,15,4,1,0,20,77tfx9me4aaqhzv78bmgsy9bg,1,72.6,7.8,2025-04-18T17:03:05.669Z,2025-04-18T20:00:41Z,5uqf7a0y0fd1hf2rrmgx11tuy,B. Nygren,,5659913845,13,,5659913847,56,Right,5659913849,152,,5659913853,286,,5659913867,233,6,5660914293,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802544061,6,4,1,0,20,9qsmopgutr7ut5g6workk8w4i,0,27.4,92.2,2025-04-18T17:03:05.670Z,2025-04-18T20:00:45Z,bnar4f48vnx4oaz2lzch48es5,J. Rasmussen,,5659913757,13,,5659913761,152,,5659913765,285,,5659913759,56,Back,5659913879,233,15,5660914399,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802544405,16,1,1,0,55,77tfx9me4aaqhzv78bmgsy9bg,0,71.5,7.9,2025-04-18T17:03:40.790Z,2025-04-18T20:00:53Z,7cpkykvmy8ujrahzdz7ksk2c5,P. Ankersen,,5659915721,5,,5659915737,1,,5659915729,140,92.7,5659915727,56,Center,5659915731,141,54.9,5659915735,213,0.96,5659915733,212,38.9,5659915723,155,,5659915725,152,5659915719,2,5660914855,20,5660914853,224,,,,,,,,,,,,,,,,,,,,,,
2802544763,14,43,1,0,58,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2025-04-18T17:03:44.087Z,2025-04-18T20:01:08Z,7z1pv1wezn5rydamnknklv2ay,M. Kvistgaarden,,5660915479,144,44,5659917765,285,0,5659917763,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802544703,18,43,1,0,58,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2025-04-18T17:03:44.088Z,2025-04-18T20:01:07Z,5r1v2w303bvj0vv1893qr5d5h,M. Brink,,5659917837,233,14,5659917471,56,Center,5659917473,286,0,5660915425,144,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802544421,7,12,1,0,59,9qsmopgutr7ut5g6workk8w4i,1,14.5,43.1,2025-04-18T17:03:44.694Z,2025-04-18T17:03:45Z,7z1pv1wezn5rydamnknklv2ay,M. Kvistgaarden,,5659915853,213,5.92,5659915845,56,Back,5659915847,140,16.2,5659915849,141,42.1,5659915851,212,1.9,5659915859,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802544639,17,61,1,0,59,77tfx9me4aaqhzv78bmgsy9bg,1,85.8,55.4,2025-04-18T17:03:44.885Z,2025-04-18T17:04:09Z,5r1v2w303bvj0vv1893qr5d5h,M. Brink,,5659917107,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802544611,9,1,1,1,7,9qsmopgutr7ut5g6workk8w4i,1,36.2,30.7,2025-04-18T17:03:52.869Z,2025-04-18T20:01:23Z,2xp7fbcl6a4nua9jpm7b4k1sk,N. Nartey,,5659916941,140,34.3,5659916939,56,Back,5659916943,141,70.1,5659916947,213,1.65,5659916945,212,26.9,5659916937,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802544643,10,1,1,1,16,9qsmopgutr7ut5g6workk8w4i,1,54.1,85.9,2025-04-18T17:04:01.449Z,2025-04-18T17:04:05Z,chteizjcvxpvze9p77gcttcoa,N. Vallys,,5659917131,212,14.4,5659917127,140,47.4,5659917125,56,Back,5659917129,141,67.5,5659917133,213,4.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802544665,11,1,1,1,20,9qsmopgutr7ut5g6workk8w4i,1,46.2,41.2,2025-04-18T17:04:05.270Z,2025-04-18T17:04:06Z,2xp7fbcl6a4nua9jpm7b4k1sk,N. Nartey,,5659917253,212,15.2,5659917255,213,4.55,5659917247,56,Back,5659917249,140,43.8,5659917251,141,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802544701,12,1,1,1,22,9qsmopgutr7ut5g6workk8w4i,0,40.9,16.7,2025-04-18T17:04:07.925Z,2025-04-18T17:04:10Z,56sjqxlsf5iitgww0hogez8ph,J. Vanlerberghe,,5659917463,212,36.1,5659917467,1,,5659917465,213,5.95,5659917459,140,73.4,5659917457,56,Right,5659917461,141,0.0,5659917455,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802544707,13,5,1,1,24,9qsmopgutr7ut5g6workk8w4i,0,75.9,-1.2,2025-04-18T17:04:09.967Z,2025-04-18T17:18:25Z,56sjqxlsf5iitgww0hogez8ph,J. Vanlerberghe,,5659917481,56,Right,5659917483,347,,5659918935,233,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802544813,19,5,1,1,24,77tfx9me4aaqhzv78bmgsy9bg,1,24.1,101.2,2025-04-18T17:04:09.967Z,2025-04-18T17:18:25Z,5r1v2w303bvj0vv1893qr5d5h,M. Brink,,5659918017,56,Back,5659918931,233,13,5659918019,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802544829,20,1,1,1,34,77tfx9me4aaqhzv78bmgsy9bg,1,26.5,100.0,2025-04-18T17:04:19.480Z,2025-04-18T17:04:21Z,5ucbttulfcdufwr751zj0zcic,J. Lähteenmäki,,5659918107,212,16.0,5659918105,141,80.2,5659918103,140,19.5,5659918099,107,,5659918101,56,Back,5659918109,213,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802544853,21,1,1,1,35,77tfx9me4aaqhzv78bmgsy9bg,1,19.3,79.0,2025-04-18T17:04:21.192Z,2025-04-18T17:04:22Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,5659918245,212,27.4,5659918235,56,Back,5659918239,140,23.5,5659918249,213,4.87,5659918241,141,39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802544891,22,1,1,1,37,77tfx9me4aaqhzv78bmgsy9bg,1,22.5,30.6,2025-04-18T17:04:22.647Z,2025-04-18T17:04:24Z,chjcbjc5nv8uyiusfafts5zv9,T. Salquist,,5659918409,56,Back,5659918411,140,29.6,5659918415,212,16.8,5659918417,213,5.17,5659918413,141,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802544935,23,1,1,1,39,77tfx9me4aaqhzv78bmgsy9bg,1,29.6,8.5,2025-04-18T17:04:24.663Z,2025-04-18T17:04:28Z,7cpkykvmy8ujrahzdz7ksk2c5,P. Ankersen,,5659918719,212,5.3,5659918709,56,Back,5659918721,213,1.49,5659918713,140,30.0,5659918717,141,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802544981,24,1,1,1,43,77tfx9me4aaqhzv78bmgsy9bg,1,30.6,25.0,2025-04-18T17:04:28.392Z,2025-04-18T17:04:31Z,3zc9hy5uicgp21wr6z5wyuntg,C. Yirenkyi,,5659918911,213,1.79,5659918905,140,25.1,5659918907,141,63.6,5659918903,56,Back,5659918909,212,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802545015,25,1,1,1,47,77tfx9me4aaqhzv78bmgsy9bg,1,26.8,60.2,2025-04-18T17:04:32.440Z,2025-04-18T17:04:35Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,5659919191,213,4.84,5659919187,141,30.9,5659919185,140,29.3,5659919183,56,Back,5659919189,212,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802545043,26,1,1,1,50,77tfx9me4aaqhzv78bmgsy9bg,1,29.3,31.0,2025-04-18T17:04:35.511Z,2025-04-18T17:04:37Z,chjcbjc5nv8uyiusfafts5zv9,T. Salquist,,5659919327,56,Back,5659919331,141,58.8,5659919329,140,26.4,5659919335,213,1.73,5659919333,212,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802545129,27,1,1,1,54,77tfx9me4aaqhzv78bmgsy9bg,1,25.9,48.5,2025-04-18T17:04:39.783Z,2025-04-18T17:04:43Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,5659919839,141,7.6,5659919837,140,32.2,5659919841,212,28.6,5659919835,56,Back,5659919843,213,4.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802545185,28,1,1,1,58,77tfx9me4aaqhzv78bmgsy9bg,0,31.2,5.8,2025-04-18T17:04:44.072Z,2025-04-18T17:04:46Z,7cpkykvmy8ujrahzdz7ksk2c5,P. Ankersen,,5659920141,56,Right,5659920147,212,48.4,5659920145,141,15.5,5659920143,140,76.9,5659920149,213,0.14,5659920151,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802545191,15,4,1,2,1,9qsmopgutr7ut5g6workk8w4i,1,25.6,81.0,2025-04-18T17:04:46.533Z,2025-04-18T17:04:51Z,bnar4f48vnx4oaz2lzch48es5,J. Rasmussen,,5659920323,285,,5659920319,56,Back,5659920317,295,,5659920315,13,,5659920321,152,,5659920355,233,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802545195,29,4,1,2,1,77tfx9me4aaqhzv78bmgsy9bg,0,74.4,19.0,2025-04-18T17:04:46.534Z,2025-04-18T17:04:52Z,5uqf7a0y0fd1hf2rrmgx11tuy,B. Nygren,,5659920273,13,,5659920275,295,,5659920387,233,15,5659920279,56,Right,5659920285,286,,5659920283,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802545401,16,1,1,2,15,9qsmopgutr7ut5g6workk8w4i,1,19.0,79.6,2025-04-18T17:05:00.309Z,2025-04-18T17:05:01Z,bnar4f48vnx4oaz2lzch48es5,J. Rasmussen,,5659921395,140,18.0,5659921397,141,58.2,5659921393,56,Back,5659921389,5,,5659921401,213,4.64,5659921391,152,,5659921447,189,,5659921399,212,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802545469,17,1,1,2,18,9qsmopgutr7ut5g6workk8w4i,1,27.1,43.3,2025-04-18T17:05:03.317Z,2025-04-18T17:05:06Z,bmkq3hz1z7lsji7wgr3j8978p,R. Lauritsen,,5659921791,141,15.5,5659921787,56,Back,5659921789,140,30.4,5659921793,212,19.2,5659921795,213,4.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802545521,18,1,1,2,21,9qsmopgutr7ut5g6workk8w4i,1,29.6,8.9,2025-04-18T17:05:06.372Z,2025-04-18T17:05:11Z,56sjqxlsf5iitgww0hogez8ph,J. Vanlerberghe,,5659922099,141,43.6,5659922101,212,29.0,5659922095,56,Back,5659922097,140,13.6,5659922103,213,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802545605,19,1,1,2,25,9qsmopgutr7ut5g6workk8w4i,1,14.9,44.9,2025-04-18T17:05:10.934Z,2025-04-18T17:05:18Z,844k9wmnxkk24xsjd4fdb4rca,G. Beavers,,5659922599,212,4.1,5659922597,141,38.9,5659922595,140,15.0,5659922593,56,Back,5659922601,213,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802545641,20,1,1,2,32,9qsmopgutr7ut5g6workk8w4i,0,25.1,33.7,2025-04-18T17:05:17.957Z,2025-04-18T20:02:27Z,bmkq3hz1z7lsji7wgr3j8978p,R. Lauritsen,,5659922791,213,0.28,5659922785,140,72.2,5659922787,141,54.8,5659922783,56,Center,5660918799,155,,5659922793,1,,5659922789,212,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802545689,30,12,1,2,34,77tfx9me4aaqhzv78bmgsy9bg,1,28.9,36.4,2025-04-18T17:05:19.412Z,2025-04-18T20:02:33Z,chjcbjc5nv8uyiusfafts5zv9,T. Salquist,,5659923063,56,Back,5659923067,140,26.7,5659923071,212,4.6,5659923073,213,2.10,5659923089,15,,5659923069,141,42.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802545693,21,1,1,2,35,9qsmopgutr7ut5g6workk8w4i,0,73.0,55.4,2025-04-18T17:05:20.612Z,2025-04-18T17:07:13Z,7z1pv1wezn5rydamnknklv2ay,M. Kvistgaarden,,5659923079,140,67.0,5659923081,141,58.7,5659923085,213,2.80,5659923083,212,6.7,5659923077,56,Center,5659923075,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802545697,22,3,1,2,36,9qsmopgutr7ut5g6workk8w4i,0,68.4,59.6,2025-04-18T17:05:22.068Z,2025-04-18T20:02:47Z,1gr0k94d0nh7msa32f6728aok,C. Bischoff,,5660919653,464,,5659930353,233,31,5659923103,56,Center,5659923105,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802545711,31,7,1,2,36,77tfx9me4aaqhzv78bmgsy9bg,0,31.6,40.4,2025-04-18T17:05:22.069Z,2025-04-18T20:02:51Z,3zc9hy5uicgp21wr6z5wyuntg,C. Yirenkyi,,5659923165,285,,5660919853,178,,5659923163,56,Back,5659930399,233,22,5660919851,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802545747,23,15,1,2,39,9qsmopgutr7ut5g6workk8w4i,1,74.1,48.7,2025-04-18T17:05:24.246Z,2025-04-18T20:03:14Z,7z1pv1wezn5rydamnknklv2ay,M. Kvistgaarden,,5659923347,22,,5659924833,102,49.4,5659924853,147,49.6,5659924877,233,32,5659923351,56,Center,5659923349,18,,5659924837,103,29.7,5659924847,458,,5659924851,146,5659924827,79,5659924839,215,5659923595,20,96.2,,,,,,,,,,,,,,,,,,,,,
2802545771,32,10,1,2,39,77tfx9me4aaqhzv78bmgsy9bg,1,3.0,49.7,2025-04-18T17:05:24.346Z,2025-04-18T20:03:40Z,49wkw0wkn4ta18b6657vjvglx,A. Hansen,,5659924893,233,23,5659923525,56,Back,5659923523,182,,5660921095,378,,5659924619,179,,5660922355,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802545753,24,6,1,2,40,9qsmopgutr7ut5g6workk8w4i,1,87.3,50.7,2025-04-18T17:05:26.121Z,2025-04-18T17:18:22Z,7z1pv1wezn5rydamnknklv2ay,M. Kvistgaarden,,5659923471,75,,5659923659,233,33,5659923469,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802545781,33,6,1,2,40,77tfx9me4aaqhzv78bmgsy9bg,0,12.7,49.3,2025-04-18T17:05:26.121Z,2025-04-18T20:03:45Z,49wkw0wkn4ta18b6657vjvglx,A. Hansen,,5659923633,73,,5659923631,56,Back,5659923675,233,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802546279,25,1,1,3,20,9qsmopgutr7ut5g6workk8w4i,1,99.5,0.5,2025-04-18T17:06:06.100Z,2025-04-18T20:03:25Z,etz3rjq7chhaomst5u28nnff9,D. Wass,1.0,5659926427,224,,5659926431,140,95.4,5659926421,2,,5659926437,213,1.71,5659926429,56,Center,5659926423,6,,5659926425,155,,5659927645,154,,5659927643,210,5660921525,20,5659926435,212,5659926433,141,13,31.7,46.7,,,,,,,,,,,,,,,,,,,
