id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2804403027,6,83,1,0,14,ahnt9ejgwj58ul8auzdvi3czf,0,22.3,17.3,2025-04-21T12:01:12.696Z,2025-04-21T12:01:21Z,6wrch4yhbs6utcc0doguj90q,M. Larsen,,,5669932541,399,2anc9ug5nr25khmtcc4id2pxx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403059,6,1,1,0,17,c165yjiny1qnmfdvefxvflnkc,1,57.4,81.5,2025-04-21T12:01:15.352Z,2025-04-21T12:01:18Z,2anc9ug5nr25khmtcc4id2pxx,H. Barry,,,5669932507,213,3.95,5669932501,140,37.0,5669932503,141,48.8,5669932505,212,30.9,5669932499,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403089,7,1,1,0,20,c165yjiny1qnmfdvefxvflnkc,1,37.0,46.0,2025-04-21T12:01:18.313Z,2025-04-21T12:01:21Z,1ykl08k2c2kwxukw0gvslf6qd,S. Velkov,,,5669932693,140,53.1,5669932699,213,5.34,5669932695,141,11.4,5669932697,212,29.0,5669932691,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403109,8,1,1,0,23,c165yjiny1qnmfdvefxvflnkc,1,53.7,11.7,2025-04-21T12:01:21.240Z,2025-04-21T12:01:23Z,6lap0wrnichfxxqm5kgtoflec,L. Flø,,,5669932805,212,22.7,5669932799,56,Back,5669932803,141,29.1,5669932807,213,2.59,5669932801,140,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403141,9,1,1,0,25,c165yjiny1qnmfdvefxvflnkc,1,35.2,29.1,2025-04-21T12:01:23.561Z,2025-04-21T12:01:30Z,1ykl08k2c2kwxukw0gvslf6qd,S. Velkov,,,5669932989,140,33.9,5669932997,213,1.63,5669932991,141,63.7,5669932993,212,23.6,5669932987,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403163,10,1,1,0,31,c165yjiny1qnmfdvefxvflnkc,1,41.6,63.6,2025-04-21T12:01:29.881Z,2025-04-21T12:01:32Z,6ylzm57bvpufg3cenadtv7qhh,D. van Bruggen,,,5669933095,141,96.8,5669933093,140,50.3,5669933099,213,1.19,5669933091,56,Left,5669933097,212,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403181,11,1,1,0,34,c165yjiny1qnmfdvefxvflnkc,1,52.7,97.2,2025-04-21T12:01:32.760Z,2025-04-21T12:01:36Z,6xjbcik3a56d0vqy4vrq5eokp,D. Čolina,,,5669933223,140,35.7,5669933229,213,3.88,5669933225,141,73.3,5669933221,56,Back,5669933227,212,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403199,12,1,1,0,37,c165yjiny1qnmfdvefxvflnkc,1,32.9,66.4,2025-04-21T12:01:36.088Z,2025-04-21T16:37:40Z,6ylzm57bvpufg3cenadtv7qhh,D. van Bruggen,,,5669933365,141,20.5,5669933371,1,,5669933369,213,4.46,5669933363,140,25.1,5669933367,212,32.3,5669933361,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403229,13,1,1,0,41,c165yjiny1qnmfdvefxvflnkc,1,24.8,21.3,2025-04-21T12:01:39.864Z,2025-04-21T12:01:43Z,1ykl08k2c2kwxukw0gvslf6qd,S. Velkov,,,5669933525,212,11.4,5669933519,56,Back,5669933523,141,4.6,5669933521,140,26.0,5669933527,213,4.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403239,14,1,1,0,45,c165yjiny1qnmfdvefxvflnkc,0,31.0,4.0,2025-04-21T12:01:43.640Z,2025-04-21T12:01:45Z,6lap0wrnichfxxqm5kgtoflec,L. Flø,,,5669933583,140,58.8,5669933589,213,0.47,5669933591,1,,5669933585,141,25.9,5669933587,212,32.8,5669933581,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403251,7,61,1,0,48,ahnt9ejgwj58ul8auzdvi3czf,1,36.9,82.7,2025-04-21T12:01:46.480Z,2025-04-21T16:37:52Z,4qo7eu3xwhkpssbuyk4n70fe1,Pedro Ganchas,,,5669933643,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403265,8,4,1,0,50,ahnt9ejgwj58ul8auzdvi3czf,1,44.6,72.0,2025-04-21T12:01:48.496Z,2025-04-21T12:27:27Z,bplpqy3ierwlm12d1f3prue7e,P. Mattsson,,,5669933793,233,15,5669933759,295,,5669933761,56,Back,5669933765,286,,5669933757,13,,5669933763,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403269,15,4,1,0,50,c165yjiny1qnmfdvefxvflnkc,0,55.4,28.0,2025-04-21T12:01:48.497Z,2025-04-21T12:27:27Z,1xjhud4hyekcg08nue1iosmsq,T. Gundelund,,,5669933809,233,8,5669933775,285,,5669933767,13,,5669933769,295,,5669933771,56,Center,5669933773,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403391,9,1,1,1,7,ahnt9ejgwj58ul8auzdvi3czf,1,38.0,67.9,2025-04-21T12:02:05.216Z,2025-04-21T16:38:11Z,4qo7eu3xwhkpssbuyk4n70fe1,Pedro Ganchas,,,5669934305,140,36.0,5669934309,212,25.9,5669934311,213,4.63,5671234081,189,,5669934303,56,Back,5669934299,5,,5669934307,141,30.0,5669934301,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403411,10,1,1,1,8,ahnt9ejgwj58ul8auzdvi3czf,1,36.0,30.0,2025-04-21T12:02:06.432Z,2025-04-21T12:02:07Z,7zaveckhldl5rieo5ddsqtt2i,P. Rödin,,,5669934425,141,71.8,5669934423,140,41.6,5669934429,213,1.37,5669934421,56,Back,5669934427,212,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403431,11,1,1,1,9,ahnt9ejgwj58ul8auzdvi3czf,1,46.5,70.0,2025-04-21T12:02:07.856Z,2025-04-21T12:02:10Z,4qo7eu3xwhkpssbuyk4n70fe1,Pedro Ganchas,,,5669934573,141,93.3,5669934571,140,69.4,5669934577,213,0.58,5669934569,56,Left,5669934575,212,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403475,12,1,1,1,11,ahnt9ejgwj58ul8auzdvi3czf,1,69.9,93.8,2025-04-21T12:02:10.001Z,2025-04-21T12:02:15Z,7h39w16zvj1lbfb0rqr7kvt1x,J. Gammelby,,,5669934837,212,28.9,5669934831,140,43.1,5669934835,141,84.1,5669934829,56,Back,5669934839,213,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403513,13,1,1,1,16,ahnt9ejgwj58ul8auzdvi3czf,1,46.4,70.7,2025-04-21T12:02:15.104Z,2025-04-21T16:38:28Z,4qo7eu3xwhkpssbuyk4n70fe1,Pedro Ganchas,,,5669935035,140,42.4,5669935039,212,31.1,5669935033,56,Back,5669935041,213,4.58,5669935037,141,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403517,14,1,1,1,22,ahnt9ejgwj58ul8auzdvi3czf,1,45.4,24.0,2025-04-21T12:02:20.752Z,2025-04-21T12:02:21Z,7zaveckhldl5rieo5ddsqtt2i,P. Rödin,,,5669935069,213,1.52,5669935065,141,49.0,5669935063,140,46.2,5669935061,56,Back,5669935067,212,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403531,15,1,1,1,23,ahnt9ejgwj58ul8auzdvi3czf,1,46.2,49.0,2025-04-21T12:02:21.552Z,2025-04-21T12:02:23Z,bplpqy3ierwlm12d1f3prue7e,P. Mattsson,,,5669935171,141,26.2,5669935169,140,38.3,5669935173,212,17.6,5669935167,56,Back,5669935175,213,4.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403559,16,1,1,1,24,ahnt9ejgwj58ul8auzdvi3czf,1,38.7,26.8,2025-04-21T12:02:23.088Z,2025-04-21T12:02:28Z,7zaveckhldl5rieo5ddsqtt2i,P. Rödin,,,5669935317,212,29.5,5669935311,56,Back,5669935315,141,70.0,5669935319,213,1.66,5669935313,140,36.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403569,17,1,1,1,30,ahnt9ejgwj58ul8auzdvi3czf,1,50.2,61.1,2025-04-21T12:02:28.736Z,2025-04-21T12:02:31Z,4qo7eu3xwhkpssbuyk4n70fe1,Pedro Ganchas,,,5669935359,212,20.0,5669935355,140,42.9,5669935361,213,4.32,5669935353,56,Back,5669935357,141,33.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403579,18,1,1,1,33,ahnt9ejgwj58ul8auzdvi3czf,1,42.0,29.8,2025-04-21T12:02:31.184Z,2025-04-21T12:02:33Z,7zaveckhldl5rieo5ddsqtt2i,P. Rödin,,,5669935433,213,5.31,5669935429,141,2.5,5669935425,56,Right,5669935427,140,54.1,5669935431,212,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403599,19,1,1,1,35,ahnt9ejgwj58ul8auzdvi3czf,1,47.4,5.6,2025-04-21T12:02:33.312Z,2025-04-21T12:02:37Z,9zhmwx3g0m6xi2oh57g4z35nu,R. Østrøm,,,5669935553,212,17.5,5669935549,140,31.5,5669935551,141,13.4,5669935555,213,2.83,5669935547,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403633,20,1,1,1,39,ahnt9ejgwj58ul8auzdvi3czf,1,31.0,23.9,2025-04-21T12:02:37.568Z,2025-04-21T12:02:43Z,7zaveckhldl5rieo5ddsqtt2i,P. Rödin,,,5669935725,1,,5669935717,140,31.3,5669935719,141,72.0,5669935723,213,1.56,5669935715,56,Back,5669935721,212,32.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403655,21,1,1,1,45,ahnt9ejgwj58ul8auzdvi3czf,1,43.6,78.7,2025-04-21T12:02:43.312Z,2025-04-21T12:02:46Z,4qo7eu3xwhkpssbuyk4n70fe1,Pedro Ganchas,,,5669935873,140,65.0,5669935877,212,22.9,5669935871,56,Left,5669935875,141,85.3,5669935879,213,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403679,22,1,1,1,47,ahnt9ejgwj58ul8auzdvi3czf,1,58.1,91.7,2025-04-21T12:02:45.968Z,2025-04-21T12:02:49Z,bb8q9cgqzw9n2tmkl8s3bth0q,Y. Bakiz,,,5669936035,140,33.4,5669936039,212,28.1,5669936041,213,3.53,5669936037,141,75.9,5669936033,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403705,23,1,1,1,51,ahnt9ejgwj58ul8auzdvi3czf,1,33.4,75.9,2025-04-21T12:02:49.377Z,2025-04-21T12:02:54Z,4qo7eu3xwhkpssbuyk4n70fe1,Pedro Ganchas,,,5669936211,141,37.6,5669936209,140,25.6,5669936213,212,27.3,5669936207,56,Back,5669936215,213,4.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403721,24,1,1,1,55,ahnt9ejgwj58ul8auzdvi3czf,1,25.6,38.5,2025-04-21T12:02:54.064Z,2025-04-21T12:02:58Z,b2492j7qzdo7g3ysxz6gq4g5x,N. Larsen,,,5669936321,213,5.59,5669936317,141,25.6,5669936315,140,35.6,5669936319,212,13.7,5669936313,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403737,25,1,1,1,59,ahnt9ejgwj58ul8auzdvi3czf,1,38.1,29.1,2025-04-21T12:02:58.112Z,2025-04-21T12:21:42Z,7zaveckhldl5rieo5ddsqtt2i,P. Rödin,,,5669936407,141,39.5,5669936411,212,12.5,5669936401,56,Back,5669936403,140,47.9,5669936413,213,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403745,26,1,1,2,1,ahnt9ejgwj58ul8auzdvi3czf,0,47.9,39.5,2025-04-21T12:02:59.632Z,2025-04-21T12:03:00Z,lioz4hr2umpne2bwar18qa96,A. Klynge,,,5669936465,155,,5669936469,140,68.8,5669936471,141,17.3,5669936475,213,5.68,5669936473,212,26.6,5669936467,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403767,17,1,1,2,4,c165yjiny1qnmfdvefxvflnkc,0,35.0,95.0,2025-04-21T12:03:02.759Z,2025-04-21T12:03:03Z,6xjbcik3a56d0vqy4vrq5eokp,D. Čolina,,,5669936595,141,94.8,5669936593,140,44.0,5669936599,213,6.27,5669936591,56,Back,5669936597,212,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403787,27,1,1,2,8,ahnt9ejgwj58ul8auzdvi3czf,1,63.0,6.8,2025-04-21T12:03:06.397Z,2025-04-21T16:39:30Z,349g9rdismqpb1aarjp011bd,C. McCowatt,,,5671239207,141,4.7,5669936743,56,Right,5671239211,213,5.78,5671239209,212,3.0,5671239205,140,65.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403849,31,43,1,2,9,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2025-04-21T12:03:07.857Z,2025-04-21T16:39:45Z,6wrch4yhbs6utcc0doguj90q,M. Larsen,,,5671240157,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403813,28,1,1,2,10,ahnt9ejgwj58ul8auzdvi3czf,1,63.1,8.3,2025-04-21T12:03:08.304Z,2025-04-21T12:11:37Z,6wrch4yhbs6utcc0doguj90q,M. Larsen,,,5669936851,56,Right,5669936857,212,8.4,5669936855,141,20.0,5669936861,213,1.25,5669936853,140,65.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403829,29,1,1,2,12,ahnt9ejgwj58ul8auzdvi3czf,1,65.6,20.0,2025-04-21T12:03:10.288Z,2025-04-21T12:11:44Z,lioz4hr2umpne2bwar18qa96,A. Klynge,,,5669936931,56,Right,5669936943,212,16.3,5669936945,213,5.60,5669936935,140,77.7,5669936939,141,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403845,30,1,1,2,13,ahnt9ejgwj58ul8auzdvi3czf,1,77.7,4.9,2025-04-21T12:03:11.728Z,2025-04-21T12:03:13Z,9zhmwx3g0m6xi2oh57g4z35nu,R. Østrøm,,,5669937029,140,61.7,5669937035,213,2.96,5669937033,212,17.1,5669937031,141,9.5,5669937027,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403867,32,1,1,2,15,ahnt9ejgwj58ul8auzdvi3czf,1,61.7,9.5,2025-04-21T12:03:14Z,2025-04-21T12:03:16Z,6wrch4yhbs6utcc0doguj90q,M. Larsen,,,5669937133,56,Center,5669937137,141,32.5,5669937141,213,1.62,5669937135,140,60.9,5669937139,212,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403879,33,1,1,2,18,ahnt9ejgwj58ul8auzdvi3czf,1,62.6,34.9,2025-04-21T12:03:16.704Z,2025-04-21T12:03:19Z,349g9rdismqpb1aarjp011bd,C. McCowatt,,,5669937205,141,61.2,5669937209,213,1.68,5669937201,56,Center,5669937207,212,18.0,5669937203,140,60.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403897,34,1,1,2,21,ahnt9ejgwj58ul8auzdvi3czf,1,61.2,61.5,2025-04-21T12:03:19.424Z,2025-04-21T12:03:22Z,4qo7eu3xwhkpssbuyk4n70fe1,Pedro Ganchas,,,5669937305,212,25.8,5669937303,141,93.5,5669937307,213,1.00,5669937301,140,74.4,5669937299,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403913,35,1,1,2,24,ahnt9ejgwj58ul8auzdvi3czf,1,71.2,94.5,2025-04-21T12:03:22.464Z,2025-04-21T12:03:24Z,7h39w16zvj1lbfb0rqr7kvt1x,J. Gammelby,,,5669937377,56,Center,5669937385,213,4.60,5669937383,212,12.7,5669937381,141,76.0,5669937379,140,69.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403915,36,1,1,2,26,ahnt9ejgwj58ul8auzdvi3czf,0,69.8,76.0,2025-04-21T12:03:24.480Z,2025-04-21T12:03:25Z,bb8q9cgqzw9n2tmkl8s3bth0q,Y. Bakiz,,,5669937401,141,90.0,5669937399,140,76.7,5669937403,212,12.0,5669937405,213,0.92,5669937397,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403957,18,8,1,2,29,c165yjiny1qnmfdvefxvflnkc,1,22.5,13.7,2025-04-21T12:03:27.176Z,2025-04-21T16:40:16Z,1ykl08k2c2kwxukw0gvslf6qd,S. Velkov,,,5671242173,385,,5669937619,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403975,37,61,1,2,29,ahnt9ejgwj58ul8auzdvi3czf,1,75.7,92.7,2025-04-21T12:03:27.800Z,2025-04-21T12:21:38Z,lioz4hr2umpne2bwar18qa96,A. Klynge,,,5669937713,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
