id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2746813525,7,5,1,0,9,36g6ifzjliec1jqnbtf7yesme,1,62.8,-1.8,2024-11-10T13:01:19.145Z,2024-11-10T14:03:13Z,5hw5sfiqhzg7mnghdp52f7fqi,J. Iredale,,,5355732267,233,5,5355732255,56,Right,5355732257,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746813557,8,1,1,0,16,36g6ifzjliec1jqnbtf7yesme,1,64.8,0.0,2024-11-10T13:01:25.935Z,2024-11-10T13:01:28Z,de0dokhb6u6hts2hu5aupgiga,K. Jørgensen,,,5355732473,212,21.5,5355732469,140,55.6,5355732467,56,Center,5355732465,107,,5355732477,1,,5355732475,213,2.04,5355732471,141,26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746813579,9,1,1,0,19,36g6ifzjliec1jqnbtf7yesme,1,55.6,26.4,2024-11-10T13:01:28.751Z,2024-11-10T13:01:30Z,8vi3l756ez0e96k7muvg4ekbu,B. Pudel,,,5355732593,213,4.65,5355732585,56,Right,5355732587,140,55.3,5355732589,141,18.5,5355732591,212,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746813629,10,1,1,0,21,36g6ifzjliec1jqnbtf7yesme,0,56.6,16.1,2024-11-10T13:01:30.368Z,2024-11-10T13:01:34Z,7yst1mucy7jynmpzu1thox2i,L. Kramer,,,5355732807,56,Center,5355732805,157,,5355732813,212,46.2,5355732817,1,,5355732815,213,0.69,5355732811,141,59.3,5355732809,140,90.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746813633,6,12,1,0,24,anga7587r1zv4ey71ge9zxol3,1,11.7,30.9,2024-11-10T13:01:34.047Z,2024-11-10T13:01:36Z,6v4ykv7aw86ql22oksh682kus,W. Kumado,,,5355732835,141,19.4,5355732843,213,3.66,5355732831,140,0.0,5355732827,56,Back,5355732839,212,15.9,5355732943,167,,5355732863,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746813647,7,6,1,0,26,anga7587r1zv4ey71ge9zxol3,0,0.0,21.8,2024-11-10T13:01:35.998Z,2024-11-10T17:17:14Z,6v4ykv7aw86ql22oksh682kus,W. Kumado,,,5355733159,233,11,5355733127,56,Back,5355733129,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746813667,11,6,1,0,26,36g6ifzjliec1jqnbtf7yesme,1,100.0,78.2,2024-11-10T13:01:35.998Z,2024-11-10T14:00:52Z,7yst1mucy7jynmpzu1thox2i,L. Kramer,,,5355733081,56,Center,5355733141,233,7,5355733083,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746814215,12,1,1,1,5,36g6ifzjliec1jqnbtf7yesme,0,99.5,99.5,2024-11-10T13:02:14.432Z,2024-11-10T17:17:18Z,3q4tnk1z46lop4rbdpjtfoc2c,M. Widell,,,5355735901,223,,5355735907,141,58.8,5357546589,20,,5355735895,6,,5355735905,140,96.8,5355735911,213,4.61,5355735903,56,Center,5355735893,2,,5355735899,155,5355735909,212,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746814277,8,12,1,1,10,anga7587r1zv4ey71ge9zxol3,1,3.1,37.2,2024-11-10T13:02:19.695Z,2024-11-10T17:17:38Z,bpw4cd5vmghjhelb3uxupmqjt,S. Magnússon,,,5355736255,141,22.3,5355736257,212,30.8,5355736251,56,Back,5355736259,213,5.95,5355736289,15,,5355736253,140,30.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746814331,13,1,1,1,12,36g6ifzjliec1jqnbtf7yesme,1,65.4,84.8,2024-11-10T13:02:21.408Z,2024-11-10T13:02:24Z,ejixz16616b7krftxyzv9yiac,M. Bomholt,,,5355736541,140,79.7,5355736547,213,0.11,5355736545,212,15.1,5355736539,56,Left,5355736543,141,87.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746836599,264,43,1,1,13,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2024-11-10T13:02:22.867Z,2024-11-10T13:26:53Z,5kghds186740jygx97bihh6mt,B. Hämäläinen,,,5355861115,144,1,5355854351,213,3.95,5355854345,140,37.5,5355854347,141,90.5,5355854343,56,Back,5355854349,212,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746814407,14,1,1,1,14,36g6ifzjliec1jqnbtf7yesme,0,86.0,87.2,2024-11-10T13:02:23.952Z,2024-11-10T17:17:46Z,3q4tnk1z46lop4rbdpjtfoc2c,M. Widell,,,5357549573,20,,5355736929,212,26.2,5355736919,2,,5357549569,223,,5355736931,213,4.79,5355736923,56,Center,5355736925,140,88.0,5355736927,141,48.8,5355736921,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746836511,263,12,1,1,15,anga7587r1zv4ey71ge9zxol3,1,12.7,39.5,2024-11-10T13:02:24.779Z,2024-11-10T13:26:17Z,6ul2nma4j0a7e2li6wyyrpal1,M. Jensen,,,5355858603,15,,5355858469,212,4.6,5355858463,141,46.2,5355858473,213,1.73,5355858455,56,Back,5355858457,140,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746814415,15,15,1,1,16,36g6ifzjliec1jqnbtf7yesme,1,86.8,53.6,2024-11-10T13:02:26.010Z,2024-11-10T17:18:02Z,5hw5sfiqhzg7mnghdp52f7fqi,J. Iredale,,,5355738449,25,,5355739337,233,9,5355739283,146,98.4,5355736957,17,,5355739269,78,,5355738451,15,,5355736959,56,Center,5355739279,102,48.3,5355738457,328,5355739285,147,48.9,5355739281,103,17.1,5355859135,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746814355,9,10,1,1,16,anga7587r1zv4ey71ge9zxol3,1,1.7000000000000002,50.9,2024-11-10T13:02:26.110Z,2024-11-10T17:18:08Z,15fo180vixn0lb65fujttit3p,J. Storch,,,5355736681,178,,5355736685,182,,5355736687,56,Back,5355736829,177,,5357552241,377,,5355738563,233,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746814389,10,52,1,1,16,anga7587r1zv4ey71ge9zxol3,1,1.7000000000000002,48.8,2024-11-10T13:02:26.120Z,2024-11-10T17:18:11Z,15fo180vixn0lb65fujttit3p,J. Storch,,,5357552559,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746814697,11,1,1,1,33,anga7587r1zv4ey71ge9zxol3,1,3.2,44.5,2024-11-10T13:02:42.990Z,2024-11-10T13:02:45Z,15fo180vixn0lb65fujttit3p,J. Storch,,,5355738375,189,,5355738353,213,0.45,5355738343,199,,5355738349,141,75.9,5355738345,56,Back,5355738347,140,45.1,5355738355,1,,5355738351,212,48.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746814735,12,1,1,1,37,anga7587r1zv4ey71ge9zxol3,1,43.2,74.5,2024-11-10T13:02:46.240Z,2024-11-10T13:02:47Z,diwrq7ulrey4juxk4dafct0q1,M. Warming,,,5355738529,56,Back,5355738535,212,20.3,5355738537,213,2.52,5355738531,140,27.5,5355738533,141,91.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746814759,13,1,1,1,37,anga7587r1zv4ey71ge9zxol3,1,27.5,91.8,2024-11-10T13:02:47.134Z,2024-11-10T13:06:39Z,5kghds186740jygx97bihh6mt,B. Hämäläinen,,,5355738665,140,15.0,5355738667,141,80.5,5355738671,213,3.67,5355758555,189,,5355738663,56,Back,5355738669,212,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746814787,14,1,1,1,39,anga7587r1zv4ey71ge9zxol3,1,14.7,78.2,2024-11-10T13:02:48.239Z,2024-11-10T13:02:50Z,5is9bcj143orulo4biogwxzl6,L. Lissens,,,5355738795,56,Back,5355738797,140,21.1,5355738803,213,0.93,5355738799,141,91.5,5355738801,212,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746814827,15,1,1,1,41,anga7587r1zv4ey71ge9zxol3,1,18.5,87.4,2024-11-10T13:02:50.462Z,2024-11-10T13:02:52Z,5kghds186740jygx97bihh6mt,B. Hämäläinen,,,5355739021,141,82.0,5355739015,140,29.8,5355739011,56,Back,5355739025,213,5.98,5355739023,212,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746814891,16,1,1,1,43,anga7587r1zv4ey71ge9zxol3,1,31.2,79.0,2024-11-10T13:02:52.238Z,2024-11-10T17:18:46Z,6d0lxiep13vdv32bdb0xwyrys,L. Sandgrav,,,5355739365,213,2.81,5355739361,141,89.6,5357556843,156,,5355739359,140,11.4,5355739357,56,Back,5355739363,212,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746814911,17,1,1,1,46,anga7587r1zv4ey71ge9zxol3,0,2.3,83.2,2024-11-10T13:02:56.062Z,2024-11-10T17:18:53Z,5is9bcj143orulo4biogwxzl6,L. Lissens,,,5355739443,157,,5355739449,141,82.8,5355739453,213,6.05,5355765325,233,40,5355765323,236,,5355739455,1,,5355739451,212,1.2,5355765329,286,,5355739445,56,5355739447,140,3.4,,,,,,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746819325,40,74,1,1,46,36g6ifzjliec1jqnbtf7yesme,1,95.7,17.4,2024-11-10T13:02:56.063Z,2024-11-10T14:00:55Z,5lz41celw55rz3zh8pohclw5w,O. Ross,,,5355764815,56,Right,5355764817,285,,5355765347,233,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746814979,17,1,1,1,50,36g6ifzjliec1jqnbtf7yesme,0,80.6,26.0,2024-11-10T13:02:59.329Z,2024-11-10T17:19:12Z,6v1kpakd3t0jhnoh1eh75ev4k,K. Davidsen,,,5355739775,213,1.26,5355739769,140,85.0,5355739771,141,47.0,5355739767,56,Center,5355739773,212,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746814985,18,12,1,1,51,anga7587r1zv4ey71ge9zxol3,1,13.5,55.6,2024-11-10T13:03:00.430Z,2024-11-10T13:08:36Z,6ul2nma4j0a7e2li6wyyrpal1,M. Jensen,,,5355739789,56,Back,5355769057,212,41.1,5355769055,141,90.8,5355769053,140,45.3,5355769059,213,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746815073,18,1,1,1,55,36g6ifzjliec1jqnbtf7yesme,1,52.8,6.6,2024-11-10T13:03:04.943Z,2024-11-10T17:19:23Z,de0dokhb6u6hts2hu5aupgiga,K. Jørgensen,,,5357560471,1,,5355740269,141,29.1,5355740273,212,34.0,5355740279,213,2.67,5355740267,140,23.9,5355740265,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746815199,19,1,1,1,57,36g6ifzjliec1jqnbtf7yesme,1,22.8,36.0,2024-11-10T13:03:06.912Z,2024-11-10T13:03:13Z,a2l4ep71txn2edtjjcgewai5m,V. Müller,,,5355740879,212,16.0,5355740873,56,Back,5355740883,213,1.15,5355740877,141,57.5,5355740875,140,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746815187,19,83,1,2,3,anga7587r1zv4ey71ge9zxol3,0,25.5,41.2,2024-11-10T13:03:12.942Z,2024-11-10T13:03:18Z,39f0bq9uk4etkf75uzu6qyrmy,M. Abubakari,,,5355741353,399,8vi3l756ez0e96k7muvg4ekbu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746815271,20,1,1,2,8,36g6ifzjliec1jqnbtf7yesme,0,46.4,70.3,2024-11-10T13:03:17.807Z,2024-11-10T17:19:45Z,8vi3l756ez0e96k7muvg4ekbu,B. Pudel,,,5355741307,141,53.2,5355741295,56,Center,5355741317,212,43.0,5355741323,213,6.01,5355741439,1,,5355741303,140,85.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746815537,21,1,1,2,21,anga7587r1zv4ey71ge9zxol3,0,18.8,36.6,2024-11-10T13:03:30.543Z,2024-11-10T13:11:30Z,15fo180vixn0lb65fujttit3p,J. Storch,,,5355742789,212,52.0,5355742783,56,Center,5355742795,1,,5355742791,213,0.09,5355742785,140,68.1,5355742787,141,43.4,5355742781,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746815563,21,1,1,2,24,36g6ifzjliec1jqnbtf7yesme,1,27.5,57.9,2024-11-10T13:03:34Z,2024-11-10T17:20:10Z,8vi3l756ez0e96k7muvg4ekbu,B. Pudel,,,5355742927,140,42.2,5355742925,56,Back,5355742933,213,0.33,5355742929,141,65.8,5355742923,3,,5355742931,212,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746815607,22,1,1,2,26,36g6ifzjliec1jqnbtf7yesme,1,41.0,65.2,2024-11-10T13:03:35.360Z,2024-11-10T17:20:16Z,3q4tnk1z46lop4rbdpjtfoc2c,M. Widell,,,5355743181,3,,5355743187,141,48.5,5355743185,140,53.4,5355743183,56,Center,5355743189,212,17.3,5355743191,213,5.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746815641,24,1,1,2,29,36g6ifzjliec1jqnbtf7yesme,1,55.0,48.9,2024-11-10T13:03:38.959Z,2024-11-10T17:20:28Z,5hw5sfiqhzg7mnghdp52f7fqi,J. Iredale,,,5355743357,213,5.59,5355743355,212,8.6,5355743351,140,61.3,5355743349,56,Center,5355743353,141,40.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746815659,25,1,1,2,31,36g6ifzjliec1jqnbtf7yesme,0,61.1,43.1,2024-11-10T13:03:40.816Z,2024-11-10T13:03:42Z,3q4tnk1z46lop4rbdpjtfoc2c,M. Widell,,,5355743451,212,25.6,5355743449,141,45.5,5355743453,213,0.06,5355743447,140,85.4,5355743445,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746815687,22,52,1,2,34,anga7587r1zv4ey71ge9zxol3,1,11.5,51.5,2024-11-10T13:03:43.694Z,2024-11-10T17:20:34Z,15fo180vixn0lb65fujttit3p,J. Storch,,,5357567179,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746815785,24,1,1,2,40,anga7587r1zv4ey71ge9zxol3,1,14.2,50.3,2024-11-10T13:03:49.806Z,2024-11-10T17:20:40Z,15fo180vixn0lb65fujttit3p,J. Storch,,,5355744077,212,9.9,5355744075,141,35.8,5355744071,56,Back,5355744079,213,4.63,5355744073,140,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746815811,25,1,1,2,42,anga7587r1zv4ey71ge9zxol3,1,20.1,33.6,2024-11-10T13:03:51.295Z,2024-11-10T13:03:53Z,6ul2nma4j0a7e2li6wyyrpal1,M. Jensen,,,5355744241,141,13.1,5355744245,213,5.19,5355744239,140,26.9,5355744243,212,15.7,5355744237,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746815835,26,1,1,2,43,anga7587r1zv4ey71ge9zxol3,1,24.8,12.6,2024-11-10T13:03:53.054Z,2024-11-10T13:03:55Z,6v4ykv7aw86ql22oksh682kus,W. Kumado,,,5355744387,140,17.9,5355744385,56,Back,5355744393,213,1.95,5355744391,212,19.8,5355744389,141,39.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746815965,27,1,1,2,45,anga7587r1zv4ey71ge9zxol3,1,21.8,31.9,2024-11-10T13:03:55.070Z,2024-11-10T13:04:02Z,6ul2nma4j0a7e2li6wyyrpal1,M. Jensen,,,5355745049,56,Back,5355745051,140,8.6,5355745057,213,2.32,5355745055,212,20.2,5355745053,141,53.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746816009,28,1,1,2,53,anga7587r1zv4ey71ge9zxol3,1,10.7,53.6,2024-11-10T13:04:02.686Z,2024-11-10T17:20:56Z,15fo180vixn0lb65fujttit3p,J. Storch,,,5355745241,56,Back,5355745247,212,15.6,5355745245,141,76.1,5355745243,140,13.7,5355745249,213,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746816123,29,1,1,2,56,anga7587r1zv4ey71ge9zxol3,1,12.5,65.6,2024-11-10T13:04:05.406Z,2024-11-10T13:13:25Z,5is9bcj143orulo4biogwxzl6,L. Lissens,,,5355745887,141,51.9,5355745885,140,6.3,5355745889,212,11.4,5355745883,56,Back,5355745891,213,4.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746816159,30,1,1,3,4,anga7587r1zv4ey71ge9zxol3,1,17.7,50.9,2024-11-10T13:04:13.534Z,2024-11-10T17:21:12Z,15fo180vixn0lb65fujttit3p,J. Storch,,,5355746099,141,73.0,5355746101,212,15.1,5355746097,140,16.5,5355746095,56,Back,5355746103,213,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746816251,31,1,1,3,7,anga7587r1zv4ey71ge9zxol3,1,14.6,66.7,2024-11-10T13:04:16.478Z,2024-11-10T13:15:31Z,5is9bcj143orulo4biogwxzl6,L. Lissens,,,5355746609,212,11.5,5355746603,56,Back,5355746605,140,5.5,5355746607,141,57.2,5355746611,213,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
