id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/14/value,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2711907411,13,5,1,0,31,36g6ifzjliec1jqnbtf7yesme,1,81.4,-1.4,2024-08-23T17:02:51.249Z,2024-08-23T17:10:09Z,de0dokhb6u6hts2hu5aupgiga,K. Jørgensen,,5164966419,347,,5164966433,233,7,5164966417,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907451,14,1,1,0,52,36g6ifzjliec1jqnbtf7yesme,1,83.4,0.0,2024-08-23T17:03:11.519Z,2024-08-23T17:03:16Z,de0dokhb6u6hts2hu5aupgiga,K. Jørgensen,,5164966615,140,89.1,5164966611,107,,5164966619,212,20.9,5164966621,213,1.28,5164966617,141,27.4,5164966613,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907455,15,44,1,0,54,36g6ifzjliec1jqnbtf7yesme,1,90.0,34.6,2024-08-23T17:03:14.184Z,2024-08-23T17:33:03Z,hpzxgnwobdttfgd04dykf26t,O. Diakhité,,5164966639,286,,5164966655,233,8,5164966637,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907427,8,44,1,0,54,5rz9enoyknpg8ji78za5b82p0,0,10.0,65.4,2024-08-23T17:03:14.185Z,2024-08-23T17:53:32Z,3sadup8mjwu4dc96wz6lmixn9,P. Mortensen,,5164966511,285,,5164966687,233,15,5164966509,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907475,16,1,1,0,54,36g6ifzjliec1jqnbtf7yesme,1,87.9,32.7,2024-08-23T17:03:14.250Z,2024-08-23T17:08:10Z,hpzxgnwobdttfgd04dykf26t,O. Diakhité,1.0,5164971499,154,,5164966719,56,Center,5164966721,140,91.2,5164966725,212,18.7,5164971497,210,15,5164966717,168,,5164966715,3,,5164966727,213,1.38,5164966723,141,59.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907479,17,15,1,0,59,36g6ifzjliec1jqnbtf7yesme,1,89.6,56.9,2024-08-23T17:03:19.168Z,2024-08-23T17:17:48Z,5hw5sfiqhzg7mnghdp52f7fqi,J. Iredale,,5164971525,328,,5164971539,233,35,5164971507,55,16,5164971535,230,97.7,5164971531,146,90.8,5164971327,160,,5164971533,147,55.8,5164966755,56,Center,5164971329,20,,5164971503,29,5164971519,103,19,5164971171,17,5164971515,102,47.5,5164971537,231,51.6,5164971505,154,5164971501,80,5164971333,82,,,,,,,,,,
2711908317,35,10,1,0,59,5rz9enoyknpg8ji78za5b82p0,1,9.2,44.2,2024-08-23T17:03:19.268Z,2024-08-23T17:53:54Z,aswmi1pnkzkvkexp8ngief6j9,F. Beijmo,,5164971071,94,,5164971559,233,17,5164971073,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907499,9,12,1,1,0,5rz9enoyknpg8ji78za5b82p0,1,6.0,47.3,2024-08-23T17:03:20.041Z,2024-08-23T17:08:05Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Emil Madsen,,5164966871,213,5.92,5164966863,56,Right,5164966867,141,7.0,5164966865,140,73.8,5164966869,212,76.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907527,18,1,1,1,4,36g6ifzjliec1jqnbtf7yesme,1,28.6,90.5,2024-08-23T17:03:23.616Z,2024-08-23T17:03:28Z,8mkrj5bnkyhx8kutc4656cy96,M. Jiménez,,5164967015,56,Back,5164967023,213,4.12,5164967021,212,27.8,5164967019,141,56.6,5164967017,140,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907551,19,1,1,1,8,36g6ifzjliec1jqnbtf7yesme,0,17.6,55.2,2024-08-23T17:03:28.240Z,2024-08-23T17:03:31Z,a2l4ep71txn2edtjjcgewai5m,V. Müller,,5164967119,56,Center,5164967121,140,56.4,5164967125,212,41.3,5164967117,157,,5164967127,213,0.17,5164967123,141,65.4,5164967129,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907571,10,1,1,1,13,5rz9enoyknpg8ji78za5b82p0,0,43.2,33.5,2024-08-23T17:03:32.712Z,2024-08-23T17:03:33Z,8og8nxbkcb63van4llvpkbe8l,N. Poulsen,,5164967255,213,6.17,5164967247,56,Center,5164967249,140,60.2,5164967253,212,18.0,5164967245,3,,5164967251,141,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907595,20,1,1,1,15,36g6ifzjliec1jqnbtf7yesme,0,39.6,66.0,2024-08-23T17:03:34.329Z,2024-08-23T17:54:33Z,dq2eqqywinhsh9ijg8amqyp78,S. Otoa,,5164967373,56,Back,5164967377,141,52.5,5164967371,3,,5164967379,212,11.3,5164967381,213,5.33,5164967375,140,45.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907599,11,1,1,1,15,5rz9enoyknpg8ji78za5b82p0,1,52.1,34.0,2024-08-23T17:03:34.876Z,2024-08-23T17:03:36Z,8og8nxbkcb63van4llvpkbe8l,N. Poulsen,,5164967401,56,Back,5164967403,140,43.9,5164967407,212,23.1,5164967405,141,65.6,5164967409,213,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907641,13,1,1,1,18,5rz9enoyknpg8ji78za5b82p0,1,42.5,71.6,2024-08-23T17:03:38.057Z,2024-08-23T17:03:41Z,cgkvw4q8ddcjl0po181upzwx6,E. Kahl,,5164967573,212,12.6,5164967567,56,Back,5164967569,140,47.9,5164967571,141,88.2,5164967575,213,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907685,14,1,1,1,21,5rz9enoyknpg8ji78za5b82p0,1,55.3,88.5,2024-08-23T17:03:41.257Z,2024-08-23T17:03:44Z,4vmgmzg2004twoc39sk7zkzqh,G. Links,,5164967771,141,95.6,5164967775,213,0.18,5164967767,56,Left,5164967773,212,26.3,5164967769,140,79.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907727,15,1,1,1,25,5rz9enoyknpg8ji78za5b82p0,1,80.3,95.7,2024-08-23T17:03:44.505Z,2024-08-23T17:03:48Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Emil Madsen,,5164967991,140,97.6,5164967997,213,5.49,5164967989,56,Center,5164967993,141,68.4,5164967995,212,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907743,16,1,1,1,29,5rz9enoyknpg8ji78za5b82p0,0,97.5,68.0,2024-08-23T17:03:48.393Z,2024-08-23T17:55:07Z,4vmgmzg2004twoc39sk7zkzqh,G. Links,,5164968065,140,97.2,5164968071,213,4.70,5164968069,212,29.2,5164968067,141,25.0,5164968063,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907783,17,1,1,1,31,5rz9enoyknpg8ji78za5b82p0,0,96.8,25.4,2024-08-23T17:03:50.944Z,2024-08-23T17:26:19Z,aswmi1pnkzkvkexp8ngief6j9,F. Beijmo,,5164968249,155,,5164968251,56,Center,5164968253,140,96.3,5164968257,212,14.9,5164968255,141,47.3,5164968259,213,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711917285,213,44,1,1,32,36g6ifzjliec1jqnbtf7yesme,1,4.5,53.3,2024-08-23T17:03:51.334Z,2024-08-23T17:54:54Z,8mkrj5bnkyhx8kutc4656cy96,M. Jiménez,,5165018661,285,,5165018671,233,18,5165018659,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907789,18,44,1,1,32,5rz9enoyknpg8ji78za5b82p0,0,95.5,46.7,2024-08-23T17:03:51.335Z,2024-08-23T17:33:04Z,3uytpqx0e0jr6zgbfl1znsm7e,T. Bech,,5164968287,286,,5165018689,233,213,5164968285,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907771,21,12,1,1,32,36g6ifzjliec1jqnbtf7yesme,1,6.3,54.9,2024-08-23T17:03:52.136Z,2024-08-23T17:54:56Z,8mkrj5bnkyhx8kutc4656cy96,M. Jiménez,,5164968213,212,15.5,5164968211,141,42.5,5164968209,140,18.7,5164968221,15,,5164968215,213,5.71,5164968207,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907811,22,4,1,1,38,36g6ifzjliec1jqnbtf7yesme,1,20.7,44.2,2024-08-23T17:03:57.936Z,2024-08-23T17:55:47Z,8bi1tlz62rjwyak4pnnzgp562,A. Jasson,,5164968477,12,,5164968481,241,,5164968483,285,,5164968479,56,Back,5164971473,233,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907877,19,4,1,1,38,5rz9enoyknpg8ji78za5b82p0,0,79.3,55.8,2024-08-23T17:03:57.937Z,2024-08-23T17:55:46Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Emil Madsen,,5164968865,286,,5164971405,12,,5164968861,152,,5164968859,56,Center,5164971481,233,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907969,23,1,1,2,10,36g6ifzjliec1jqnbtf7yesme,0,10.1,39.7,2024-08-23T17:04:29.440Z,2024-08-23T17:04:33Z,a2l4ep71txn2edtjjcgewai5m,V. Müller,,5164969317,157,,5164969325,141,35.2,5164969319,241,,5164969321,56,Center,5164969329,213,6.23,5164969323,140,70.3,5164969327,212,63.3,5164969331,1,,5164969315,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711908047,22,44,1,2,12,5rz9enoyknpg8ji78za5b82p0,1,28.1,56.4,2024-08-23T17:04:31.776Z,2024-08-23T17:04:44Z,6my7s0ezr6jldotm1w6nk7b9x,F. Tingager,,5164969739,233,24,5164969723,285,,5164969721,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907975,24,44,1,2,12,36g6ifzjliec1jqnbtf7yesme,0,71.9,43.6,2024-08-23T17:04:31.777Z,2024-08-23T17:32:47Z,5hw5sfiqhzg7mnghdp52f7fqi,J. Iredale,,5164969365,56,Center,5165027707,233,22,5164969367,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907989,21,1,1,2,12,5rz9enoyknpg8ji78za5b82p0,0,34.0,62.4,2024-08-23T17:04:31.825Z,2024-08-23T17:56:10Z,6my7s0ezr6jldotm1w6nk7b9x,F. Tingager,,5164969421,140,39.5,5164969419,56,Back,5164969425,212,5.9,5164969417,3,,5164969423,141,60.6,5164969427,213,6.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907981,20,43,1,2,13,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-08-23T17:04:32.335Z,2024-08-23T17:32:46Z,6my7s0ezr6jldotm1w6nk7b9x,F. Tingager,,5164969381,285,0,5164969377,56,Back,5164969443,233,24,5165027671,144,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711908039,25,1,1,2,22,36g6ifzjliec1jqnbtf7yesme,1,77.7,82.1,2024-08-23T17:04:41.331Z,2024-08-23T17:04:43Z,8bi1tlz62rjwyak4pnnzgp562,A. Jasson,,5164969701,213,3.00,5164969693,56,Left,5164969697,141,85.7,5164969699,212,17.1,5164969695,140,61.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711908049,26,1,1,2,24,36g6ifzjliec1jqnbtf7yesme,0,64.2,89.7,2024-08-23T17:04:43.695Z,2024-08-23T17:04:44Z,8mkrj5bnkyhx8kutc4656cy96,M. Jiménez,,5164969733,213,5.73,5164969727,140,78.5,5164969731,212,17.7,5164969729,141,76.0,5164969725,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711908057,23,8,1,2,26,5rz9enoyknpg8ji78za5b82p0,1,20.2,16.7,2024-08-23T17:04:45.561Z,2024-08-23T17:57:21Z,8og8nxbkcb63van4llvpkbe8l,N. Poulsen,,5164969765,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711908069,27,1,1,2,27,36g6ifzjliec1jqnbtf7yesme,1,80.3,85.7,2024-08-23T17:04:46.448Z,2024-08-23T17:04:47Z,1arzd8hqj73byhduozscqz5uy,M. Jørgensen,,5164969815,212,11.5,5164969809,56,Center,5164969813,141,77.6,5164969817,213,3.64,5164969811,140,70.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711908075,28,1,1,2,27,36g6ifzjliec1jqnbtf7yesme,1,71.4,77.5,2024-08-23T17:04:47.199Z,2024-08-23T17:04:48Z,8bi1tlz62rjwyak4pnnzgp562,A. Jasson,,5164969865,212,10.2,5164969859,56,Center,5164969861,140,81.0,5164969863,141,75.7,5164969867,213,6.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711908079,29,1,1,2,28,36g6ifzjliec1jqnbtf7yesme,0,81.3,75.6,2024-08-23T17:04:47.903Z,2024-08-23T17:04:48Z,1arzd8hqj73byhduozscqz5uy,M. Jørgensen,,5164969875,56,Left,5164969883,212,8.9,5164969879,141,86.2,5164969885,213,0.95,5164969877,140,86.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711908089,30,83,1,2,30,36g6ifzjliec1jqnbtf7yesme,0,85.3,84.7,2024-08-23T17:04:49.407Z,2024-08-23T17:56:34Z,8bi1tlz62rjwyak4pnnzgp562,A. Jasson,,5164970011,399,aswmi1pnkzkvkexp8ngief6j9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711908095,25,1,1,2,30,5rz9enoyknpg8ji78za5b82p0,1,13.4,17.9,2024-08-23T17:04:49.624Z,2024-08-23T17:56:31Z,aswmi1pnkzkvkexp8ngief6j9,F. Beijmo,,5164969971,213,1.25,5164969965,140,14.6,5164969967,141,23.5,5164969963,56,Back,5164969969,212,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711908097,26,61,1,2,31,5rz9enoyknpg8ji78za5b82p0,1,14.6,23.6,2024-08-23T17:04:51.010Z,2024-08-23T17:04:51Z,8og8nxbkcb63van4llvpkbe8l,N. Poulsen,,5164969977,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
