id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/11/value,qualifier/17/value
2751200651,17,5,1,1,13,36g6ifzjliec1jqnbtf7yesme,0,100.7,41.2,2024-11-24T13:03:43.820Z,2024-11-24T16:12:14Z,5lz41celw55rz3zh8pohclw5w,O. Ross,,5379725329,56,Center,5379725331,346,,5379725729,233,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751200975,15,1,1,1,40,cftj6g399tknheudaxsdpfdgb,1,4.1,48.7,2024-11-24T13:04:11.326Z,2024-11-24T14:03:42Z,dk9nlp77b6q38p751f8w3o8np,O. Hedvall,,5379726935,141,31.8,5379726939,213,5.36,5379726933,140,12.4,5379726929,124,,5379726937,212,14.4,5379999707,189,,5379726943,237,,5379726931,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751200985,16,1,1,1,41,cftj6g399tknheudaxsdpfdgb,1,12.4,31.8,2024-11-24T13:04:11.998Z,2024-11-24T13:04:13Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,5379726971,56,Back,5379726977,212,19.9,5379726979,213,5.09,5379726975,141,4.6,5379726973,140,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751200991,17,1,1,1,42,cftj6g399tknheudaxsdpfdgb,0,19.7,3.7,2024-11-24T13:04:12.878Z,2024-11-24T13:04:13Z,bitixkzgt5p65rlo2bnllcf6x,J. Mbom,,5379727017,56,Back,5379727019,140,22.1,5379727021,141,4.0,5379727023,212,2.5,5379727025,213,0.08,5379727065,236,,5379727067,233,19,5379727071,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751200995,19,74,1,1,42,36g6ifzjliec1jqnbtf7yesme,1,78.2,96.5,2024-11-24T13:04:12.879Z,2024-11-24T13:58:27Z,8bi1tlz62rjwyak4pnnzgp562,A. Jasson,,5379727045,285,,5379727041,56,Left,5379727077,233,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751201167,18,5,1,1,43,cftj6g399tknheudaxsdpfdgb,1,23.5,-1.8,2024-11-24T13:04:13.727Z,2024-11-24T13:40:20Z,bitixkzgt5p65rlo2bnllcf6x,J. Mbom,,5379727865,56,Back,5379727951,233,20,5379727867,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751201031,20,5,1,1,43,36g6ifzjliec1jqnbtf7yesme,0,76.5,101.8,2024-11-24T13:04:13.727Z,2024-11-24T13:40:20Z,8bi1tlz62rjwyak4pnnzgp562,A. Jasson,,5379727213,347,,5379727981,233,18,5379727211,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751201277,19,1,1,1,54,cftj6g399tknheudaxsdpfdgb,1,24.7,0.0,2024-11-24T13:04:25.502Z,2024-11-24T13:04:30Z,bitixkzgt5p65rlo2bnllcf6x,J. Mbom,,5379728429,56,Back,5379728437,213,1.06,5379728427,107,,5379728435,212,23.6,5379728433,141,28.5,5379728441,1,,5379728431,140,35.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751201301,20,1,1,2,0,cftj6g399tknheudaxsdpfdgb,1,35.3,37.9,2024-11-24T13:04:30.702Z,2024-11-24T13:04:32Z,akxcr1xe62dyl5jmh3ataq13o,Renato Júnior,,5379728551,213,1.60,5379728541,140,34.7,5379728539,56,Back,5379728543,141,67.9,5379728549,212,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751201319,21,1,1,2,1,cftj6g399tknheudaxsdpfdgb,1,35.6,76.1,2024-11-24T13:04:32.286Z,2024-11-24T13:04:33Z,acp1ba2irpv5wfmxke7ucmaga,O. Bundgaard,,5379728661,213,0.97,5379728657,141,92.9,5379728655,140,43.1,5379728659,212,13.9,5379728653,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751201325,22,3,1,2,2,cftj6g399tknheudaxsdpfdgb,0,43.6,93.2,2024-11-24T13:04:33.406Z,2024-11-24T16:12:39Z,73lwz4he5erpp25zi8crjvztg,I. Jensen,,5379728677,56,Back,5380797417,464,,5379728833,233,21,5379728679,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751201357,21,7,1,2,2,36g6ifzjliec1jqnbtf7yesme,1,56.4,6.8,2024-11-24T13:04:33.407Z,2024-11-24T18:25:54Z,de0dokhb6u6hts2hu5aupgiga,K. Jørgensen,,5379728813,233,22,5379728811,285,,5379728807,167,,5380797643,385,,5379728809,56,Right,5381436609,389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751201393,22,5,1,2,3,36g6ifzjliec1jqnbtf7yesme,0,59.7,-1.7000000000000002,2024-11-24T13:04:34.238Z,2024-11-24T13:40:21Z,de0dokhb6u6hts2hu5aupgiga,K. Jørgensen,,5379729471,233,23,5379728979,56,Right,5379728981,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751201505,23,5,1,2,3,cftj6g399tknheudaxsdpfdgb,1,40.3,101.7,2024-11-24T13:04:34.238Z,2024-11-24T13:40:21Z,73lwz4he5erpp25zi8crjvztg,I. Jensen,,5379729427,56,Back,5379729447,233,22,5379729429,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751201547,24,1,1,2,13,cftj6g399tknheudaxsdpfdgb,1,42.9,100.0,2024-11-24T13:04:43.646Z,2024-11-24T14:04:20Z,73lwz4he5erpp25zi8crjvztg,I. Jensen,,5379729751,140,20.1,5379729743,107,,5379729753,141,92.1,5379729759,1,,5379729755,212,24.7,5379729757,213,3.39,5379729747,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751201625,25,1,1,2,15,cftj6g399tknheudaxsdpfdgb,1,14.9,83.8,2024-11-24T13:04:46.429Z,2024-11-24T13:04:50Z,9qskwuil30g48xr3ax5p9j6j9,I. Näsberg,,5379730107,212,24.2,5379730099,140,6.7,5379730109,213,4.35,5379730093,56,Back,5379730103,141,50.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751201701,26,1,1,2,19,cftj6g399tknheudaxsdpfdgb,1,6.7,49.6,2024-11-24T13:04:50.110Z,2024-11-24T13:04:53Z,dk9nlp77b6q38p751f8w3o8np,O. Hedvall,,5379730457,213,1.32,5379730449,56,Back,5379730453,141,73.6,5379730455,212,16.9,5379730451,140,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751201777,27,1,1,2,22,cftj6g399tknheudaxsdpfdgb,1,12.0,75.7,2024-11-24T13:04:53.550Z,2024-11-24T13:04:57Z,9qskwuil30g48xr3ax5p9j6j9,I. Näsberg,,5379730851,141,48.4,5379730847,56,Back,5379730849,140,9.7,5379730853,212,18.7,5379730855,213,4.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751201815,28,1,1,2,26,cftj6g399tknheudaxsdpfdgb,1,9.7,47.9,2024-11-24T13:04:56.878Z,2024-11-24T13:04:58Z,dk9nlp77b6q38p751f8w3o8np,O. Hedvall,,5379731027,212,18.3,5379731021,56,Back,5379731023,140,14.5,5379731025,141,22.1,5379731029,213,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751201847,29,1,1,2,28,cftj6g399tknheudaxsdpfdgb,1,14.6,21.3,2024-11-24T13:04:58.814Z,2024-11-24T13:05:01Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,5379731195,212,16.4,5379731193,141,1.0,5379731197,213,5.29,5379731187,56,Back,5379731191,140,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751201899,30,1,1,2,30,cftj6g399tknheudaxsdpfdgb,1,23.1,2.2,2024-11-24T13:05:01.069Z,2024-11-24T13:05:03Z,bitixkzgt5p65rlo2bnllcf6x,J. Mbom,,5379731473,212,10.7,5379731475,213,1.58,5379731471,141,18.0,5379731467,56,Back,5379731469,140,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751201975,31,1,1,2,32,cftj6g399tknheudaxsdpfdgb,0,23.0,18.0,2024-11-24T13:05:03.454Z,2024-11-24T16:13:12Z,5f3wfx327z9hef9k9l37c90wl,J. Grønning,,5379731807,56,Right,5379731811,141,7.0,5379731809,140,58.9,5379731817,1,,5379731965,155,,5379731815,213,6.09,5379731813,212,38.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751202105,24,1,1,2,42,36g6ifzjliec1jqnbtf7yesme,1,27.0,67.2,2024-11-24T13:05:12.631Z,2024-11-24T13:05:14Z,7yst1mucy7jynmpzu1thox2i,L. Kramer,,5379732425,212,10.2,5379732423,141,67.3,5379732427,213,0.01,5379732421,140,36.7,5379732419,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751202171,25,1,1,2,43,36g6ifzjliec1jqnbtf7yesme,1,36.7,67.3,2024-11-24T13:05:14.412Z,2024-11-24T13:05:18Z,6v1kpakd3t0jhnoh1eh75ev4k,K. Davidsen,,5379732803,213,4.00,5379732795,56,Back,5379732799,141,47.6,5379732801,212,17.8,5379732797,140,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
