id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/10/value,qualifier/14/value,qualifier/12/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value
2780064321,9,1,1,0,15,77tfx9me4aaqhzv78bmgsy9bg,0,22.5,90.0,2025-02-23T13:01:53.832Z,2025-02-23T15:03:03Z,179f3j88wnmze82aicikkez9,E. Marxen,,,5536363083,140,77.2,5536363081,56,Left,5536363087,212,57.6,5536363085,141,83.9,5536363089,213,6.21,5536363091,1,,5536363079,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780064359,3,12,1,0,19,aljua8crr0vkwit0j3m59jw9j,1,23.1,15.2,2025-02-23T13:01:57.708Z,2025-02-23T13:01:59Z,dshwz1df0rbe0fztksawvd0wl,M. Olsen,,,5536363271,212,8.0,5536363273,213,3.71,5536363263,56,Back,5536363265,140,16.7,5536363269,141,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780064349,10,61,1,0,19,77tfx9me4aaqhzv78bmgsy9bg,0,89.1,93.3,2025-02-23T13:01:58.423Z,2025-02-23T13:01:58Z,3qcjzsb466tfri5yrj35wztw4,L. Nene,,,5536363227,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780064385,5,1,1,0,21,aljua8crr0vkwit0j3m59jw9j,1,13.9,11.0,2025-02-23T13:01:59.747Z,2025-02-23T13:02:02Z,dshwz1df0rbe0fztksawvd0wl,M. Olsen,,,5536363343,141,34.6,5536363341,140,2.8,5536363347,213,2.20,5536363345,212,19.8,5536363339,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780064411,6,1,1,0,23,aljua8crr0vkwit0j3m59jw9j,0,2.7,34.3,2025-02-23T13:02:01.987Z,2025-02-23T13:02:05Z,dcocgxtuabo0rwzwukvqky9uy,M. Bundgaard,,,5536363521,213,5.86,5536363507,157,,5536363515,140,46.2,5536363523,1,,5536363519,212,50.0,5536363511,56,Back,5536363517,141,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780064425,11,44,1,0,25,77tfx9me4aaqhzv78bmgsy9bg,1,55.3,94.7,2025-02-23T13:02:03.658Z,2025-02-23T15:03:29Z,179f3j88wnmze82aicikkez9,E. Marxen,,,5536364291,233,7,5536363603,286,,5536363601,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780064417,7,44,1,0,25,aljua8crr0vkwit0j3m59jw9j,0,44.7,5.3,2025-02-23T13:02:03.659Z,2025-02-23T15:03:15Z,3ejggtt1du1cui3wc1f8oqx62,L. Qamili,,,5536363549,56,Back,5536363551,285,,5536364303,233,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780177115,886,1,1,0,26,77tfx9me4aaqhzv78bmgsy9bg,0,55.3,93.2,2025-02-23T13:02:04.608Z,2025-02-23T15:03:28Z,179f3j88wnmze82aicikkez9,E. Marxen,,,5536969347,212,17.3,5536969341,56,Left,5536969339,3,,5536969345,141,85.2,5536969349,213,5.96,5536969343,140,70.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780064449,8,1,1,0,27,aljua8crr0vkwit0j3m59jw9j,1,38.6,13.1,2025-02-23T13:02:06.523Z,2025-02-23T13:59:14Z,3361cs2j60yxzy9mir80byqc5,A. Oggesen,,,5536363713,56,Center,5536363721,213,0.55,5536363711,3,,5536363717,141,27.7,5536363715,140,54.1,5536363719,212,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780064451,9,4,1,0,28,aljua8crr0vkwit0j3m59jw9j,1,55.4,29.7,2025-02-23T13:02:07.019Z,2025-02-23T16:44:14Z,828b7y3phhpb62srvtrjhtgk4,I. Djantou,,,5536363855,152,,5536363851,294,,5536363857,286,,5536363853,56,Center,5536363849,13,,5536396217,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780064529,12,4,1,0,28,77tfx9me4aaqhzv78bmgsy9bg,0,44.6,70.3,2025-02-23T13:02:07.020Z,2025-02-23T16:44:15Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,,5536506463,294,,5536364133,13,,5536364141,285,,5536364137,152,,5536396227,233,9,5536364135,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780064655,10,1,1,0,52,aljua8crr0vkwit0j3m59jw9j,1,48.3,20.1,2025-02-23T13:02:30.891Z,2025-02-23T13:02:32Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5536364733,213,5.46,5536364723,152,,5536364731,212,12.9,5536364725,56,Right,5536364729,141,6.2,5536364727,140,56.7,5536364721,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780064693,11,1,1,0,53,aljua8crr0vkwit0j3m59jw9j,1,56.1,6.8,2025-02-23T13:02:32.491Z,2025-02-23T16:44:52Z,3361cs2j60yxzy9mir80byqc5,A. Oggesen,,,5536364901,141,19.7,5536364905,213,2.86,5536364903,212,31.9,5536364897,56,Back,5536364899,140,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780064919,12,1,1,0,57,aljua8crr0vkwit0j3m59jw9j,1,27.0,18.2,2025-02-23T13:02:36.315Z,2025-02-23T13:02:55Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5536366009,213,2.29,5536366005,141,45.1,5536366001,56,Back,5536366007,212,24.3,5536366003,140,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780064941,13,1,1,1,17,aljua8crr0vkwit0j3m59jw9j,1,25.9,42.7,2025-02-23T13:02:55.765Z,2025-02-23T13:02:58Z,dcocgxtuabo0rwzwukvqky9uy,M. Bundgaard,,,5536366153,213,4.87,5536366151,212,19.1,5536366149,141,15.0,5536366145,56,Back,5536366147,140,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780064955,14,1,1,1,19,aljua8crr0vkwit0j3m59jw9j,1,29.4,10.7,2025-02-23T13:02:58.290Z,2025-02-23T13:02:59Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5536366253,140,35.8,5536366259,213,5.61,5536366255,141,2.8,5536366257,212,8.6,5536366251,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780064971,15,1,1,1,21,aljua8crr0vkwit0j3m59jw9j,1,35.8,2.8,2025-02-23T13:02:59.826Z,2025-02-23T13:03:02Z,3361cs2j60yxzy9mir80byqc5,A. Oggesen,,,5536366351,140,37.1,5536366357,213,1.36,5536366349,56,Back,5536366355,212,6.6,5536366353,141,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780064977,16,1,1,1,23,aljua8crr0vkwit0j3m59jw9j,0,37.3,12.3,2025-02-23T13:03:02.443Z,2025-02-23T13:03:03Z,5x8064b3yr7txk0czddfjtffu,S. Emini,,,5536366393,141,9.8,5536366389,56,Right,5536366387,157,,5536366395,212,24.3,5536366399,1,,5536366391,140,60.4,5536366397,213,6.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780065041,14,1,1,1,27,77tfx9me4aaqhzv78bmgsy9bg,1,51.0,87.7,2025-02-23T13:03:05.991Z,2025-02-23T16:45:20Z,5ucbttulfcdufwr751zj0zcic,J. Lähteenmäki,,,5536366709,212,13.6,5536366705,140,52.0,5536366707,141,67.7,5536366703,56,Center,5536366711,213,4.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780065053,15,1,1,1,28,77tfx9me4aaqhzv78bmgsy9bg,1,48.3,64.9,2025-02-23T13:03:07.607Z,2025-02-23T13:03:09Z,4cubrfqgrc5ivbd6fdj3k3zf8,M. Dorgeles,,,5536366791,213,4.28,5536366789,212,23.6,5536366785,140,38.9,5536366781,56,Back,5536366787,141,33.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780065103,16,1,1,1,30,77tfx9me4aaqhzv78bmgsy9bg,1,38.9,33.4,2025-02-23T13:03:09.335Z,2025-02-23T13:03:12Z,7cpkykvmy8ujrahzdz7ksk2c5,P. Ankersen,,,5536367017,141,45.8,5536367019,212,9.8,5536367015,140,34.2,5536367013,56,Back,5536367021,213,2.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780065157,17,1,1,1,33,77tfx9me4aaqhzv78bmgsy9bg,1,33.8,52.3,2025-02-23T13:03:12.519Z,2025-02-23T16:45:42Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,,5536367331,213,0.96,5536367325,140,52.8,5536367329,212,34.9,5536367327,141,94.4,5536367321,56,Left,5536367333,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780065209,18,1,1,1,38,77tfx9me4aaqhzv78bmgsy9bg,1,54.2,94.8,2025-02-23T13:03:16.743Z,2025-02-23T13:03:21Z,5ucbttulfcdufwr751zj0zcic,J. Lähteenmäki,,,5536367563,141,79.0,5536367565,212,16.1,5536367561,140,42.8,5536367567,213,3.87,5536367559,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780065257,19,1,1,1,41,77tfx9me4aaqhzv78bmgsy9bg,1,43.7,76.9,2025-02-23T13:03:19.832Z,2025-02-23T16:46:01Z,179f3j88wnmze82aicikkez9,E. Marxen,1.0,,5536367837,1,,5536975613,4,,5536367827,56,Center,5536370967,154,,5536367833,212,43.4,5536367835,213,5.85,5536367831,141,50.3,5536367829,140,81.3,5536367825,155,5536370965,210,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780065261,20,15,1,1,42,77tfx9me4aaqhzv78bmgsy9bg,1,80.8,48.5,2025-02-23T13:03:20.926Z,2025-02-23T16:47:38Z,4cubrfqgrc5ivbd6fdj3k3zf8,M. Dorgeles,,,5536371021,147,47.8,5536371009,214,,5536370999,55,19,5537532237,108,,5536367843,22,,5536974541,18,,5536371011,89,,5536370511,72,,5536371063,233,5536370997,154,,17,5536370993,78,5536371005,103,16.5,5536371017,328,5536371003,102,50.0,5536370995,29,5536367847,56,Center,5536371019,146,90.4,5537532235,114,,,,,,,,,,
2780065295,17,10,1,1,42,aljua8crr0vkwit0j3m59jw9j,1,12.0,51.2,2025-02-23T13:03:21.026Z,2025-02-23T16:47:41Z,dcocgxtuabo0rwzwukvqky9uy,M. Bundgaard,,,5536371101,233,20,5536368021,56,Back,5537532455,377,,5536368017,178,,5536368133,177,,5536368019,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780065311,18,52,1,1,51,aljua8crr0vkwit0j3m59jw9j,1,13.4,47.0,2025-02-23T13:03:29.677Z,2025-02-23T16:47:43Z,dcocgxtuabo0rwzwukvqky9uy,M. Bundgaard,,,5537532551,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780065413,19,1,1,2,1,aljua8crr0vkwit0j3m59jw9j,1,15.2,59.1,2025-02-23T13:03:39.642Z,2025-02-23T13:03:41Z,dcocgxtuabo0rwzwukvqky9uy,M. Bundgaard,,,5536368629,123,,5536368641,212,18.0,5536368637,140,14.8,5536368639,141,85.6,5536368643,213,1.59,5536368633,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780065431,20,1,1,2,2,aljua8crr0vkwit0j3m59jw9j,1,11.0,85.6,2025-02-23T13:03:40.875Z,2025-02-23T16:48:16Z,dshwz1df0rbe0fztksawvd0wl,M. Olsen,,,5536368743,56,Back,5536368747,141,92.9,5536368749,212,9.5,5536368745,140,18.7,5536368751,213,0.55,5537535357,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780065517,21,1,1,2,3,aljua8crr0vkwit0j3m59jw9j,1,17.0,96.5,2025-02-23T13:03:42.282Z,2025-02-23T13:03:49Z,7sbdudf1vycn8hinw0giakpyi,E. Duru,,,5536369125,141,96.8,5536369129,213,0.01,5536369127,212,15.9,5536369121,56,Back,5536369123,140,32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780065519,22,61,1,2,6,aljua8crr0vkwit0j3m59jw9j,0,32.1,96.0,2025-02-23T13:03:45.202Z,2025-02-23T13:38:20Z,1902oagnhlo7x9xpumxvg1t78,L. Björklund,,,5536369137,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780065547,21,5,1,2,7,77tfx9me4aaqhzv78bmgsy9bg,1,73.0,-1.8,2025-02-23T13:03:46.343Z,2025-02-23T13:10:11Z,4cubrfqgrc5ivbd6fdj3k3zf8,M. Dorgeles,,,5536369243,347,,5536369241,56,Right,5536369271,233,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780065523,23,5,1,2,7,aljua8crr0vkwit0j3m59jw9j,0,27.0,101.8,2025-02-23T13:03:46.343Z,2025-02-23T13:10:11Z,1902oagnhlo7x9xpumxvg1t78,L. Björklund,,,5536369145,56,Back,5536369147,347,,5536369285,233,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780065605,22,1,1,2,12,77tfx9me4aaqhzv78bmgsy9bg,1,74.9,0.0,2025-02-23T13:03:51.302Z,2025-02-23T13:03:55Z,7cpkykvmy8ujrahzdz7ksk2c5,P. Ankersen,,,5536369503,212,18.5,5536369495,107,,5536369499,140,57.9,5536369497,56,Right,5536369501,141,5.2,5536369505,213,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780065629,23,1,1,2,16,77tfx9me4aaqhzv78bmgsy9bg,1,56.8,7.1,2025-02-23T13:03:55.094Z,2025-02-23T13:03:57Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,,5536369669,213,0.84,5536369665,141,14.9,5536369667,212,7.1,5536369661,56,Right,5536369663,140,61.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780065663,24,1,1,2,18,77tfx9me4aaqhzv78bmgsy9bg,1,61.3,14.9,2025-02-23T13:03:56.998Z,2025-02-23T13:03:58Z,5r1v2w303bvj0vv1893qr5d5h,M. Brink,,,5536369821,213,5.11,5536369813,56,Right,5536369815,140,64.0,5536369819,212,7.4,5536369817,141,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780065709,25,1,1,2,19,77tfx9me4aaqhzv78bmgsy9bg,1,64.0,4.9,2025-02-23T13:03:58.534Z,2025-02-23T13:04:01Z,7cpkykvmy8ujrahzdz7ksk2c5,P. Ankersen,,,5536370071,56,Right,5536370077,212,12.1,5536370073,140,52.9,5536370079,213,2.88,5536370075,141,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780065749,26,1,1,2,23,77tfx9me4aaqhzv78bmgsy9bg,0,53.0,9.4,2025-02-23T13:04:01.654Z,2025-02-23T13:04:03Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,,5536370217,140,91.6,5536370223,213,0.46,5536370215,56,Center,5536370219,141,39.2,5536370213,155,,5536370225,1,,5536370221,212,45.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780065765,24,52,1,2,26,aljua8crr0vkwit0j3m59jw9j,1,9.5,60.3,2025-02-23T13:04:05.114Z,2025-02-23T16:48:57Z,dcocgxtuabo0rwzwukvqky9uy,M. Bundgaard,,,5537538175,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780065813,25,1,1,2,27,aljua8crr0vkwit0j3m59jw9j,1,9.5,59.7,2025-02-23T13:04:06.073Z,2025-02-23T16:49:06Z,dcocgxtuabo0rwzwukvqky9uy,M. Bundgaard,,,5536370565,1,,5536370557,140,21.1,5536370583,287,,5536370559,141,8.6,5536370561,212,36.8,5536370555,56,Back,5536370553,123,,5536370563,213,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780065845,26,1,1,2,31,aljua8crr0vkwit0j3m59jw9j,1,22.8,7.3,2025-02-23T13:04:10.066Z,2025-02-23T13:04:12Z,3361cs2j60yxzy9mir80byqc5,A. Oggesen,,,5536370703,212,16.7,5536370697,56,Back,5536370699,140,38.7,5536370701,141,8.0,5536370705,213,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780065865,27,1,1,2,33,aljua8crr0vkwit0j3m59jw9j,0,38.8,7.3,2025-02-23T13:04:12.050Z,2025-02-23T13:04:13Z,5x8064b3yr7txk0czddfjtffu,S. Emini,,,5536370783,213,6.28,5536370781,212,23.3,5536370777,140,61.0,5536370775,56,Right,5536370779,141,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780065949,27,1,1,2,36,77tfx9me4aaqhzv78bmgsy9bg,1,42.8,92.6,2025-02-23T13:04:15.439Z,2025-02-23T16:49:38Z,5ucbttulfcdufwr751zj0zcic,J. Lähteenmäki,,,5536371357,212,24.6,5536371349,56,Left,5536371347,157,,5536371361,1,,5536371355,141,89.1,5536371359,213,6.19,5536371353,140,66.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780280393,889,61,1,2,37,77tfx9me4aaqhzv78bmgsy9bg,0,56.6,87.0,2025-02-23T13:04:15.852Z,2025-02-23T16:49:37Z,5r1v2w303bvj0vv1893qr5d5h,M. Brink,,,5537541791,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
