id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value
2794308255,7,1,1,0,20,b3r6d8ydtmtjckam6pku9y400,1,75.2,12.8,2025-03-31T17:03:10.800Z,2025-03-31T17:03:12Z,ftw3io63hk5vuoa3lyfgowes,W. Clem,,,5614384603,56,Right,5614384607,141,8.3,5614384611,213,4.24,5614384605,140,73.7,5614384609,212,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308287,8,1,1,0,22,b3r6d8ydtmtjckam6pku9y400,1,72.9,5.0,2025-03-31T17:03:12.832Z,2025-03-31T17:03:16Z,6b8vhoisrfwkljhz4u7pduej8,R. Huescas,,,5614384753,56,Center,5614384757,141,24.4,5614384755,140,60.5,5614384761,213,2.35,5614384759,212,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308295,9,1,1,0,25,b3r6d8ydtmtjckam6pku9y400,0,60.0,26.4,2025-03-31T17:03:16.289Z,2025-03-31T17:03:17Z,ayqy2vql1oumokqly9ahfrnx1,P. Hatzidiakos,,,5614384811,140,67.8,5614384815,212,9.1,5614384809,56,Right,5614384817,213,5.84,5614384813,141,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308299,5,8,1,0,27,9w3sjm5ml4sjr2v81oxzdrt8v,1,36.9,74.1,2025-03-31T17:03:17.628Z,2025-03-31T20:44:53Z,6uj3c69lgu6boblkjiuhoy6eh,J. Björkengren,,,5614384833,56,Back,5615121359,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308315,6,5,1,0,28,9w3sjm5ml4sjr2v81oxzdrt8v,0,39.0,101.7,2025-03-31T17:03:18.588Z,2025-03-31T17:07:21Z,6uj3c69lgu6boblkjiuhoy6eh,J. Björkengren,,,5614384885,56,Back,5614385123,233,10,5614384887,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308357,10,5,1,0,28,b3r6d8ydtmtjckam6pku9y400,1,61.0,-1.7,2025-03-31T17:03:18.588Z,2025-03-31T17:07:21Z,ayqy2vql1oumokqly9ahfrnx1,P. Hatzidiakos,,,5614385087,233,6,5614385071,347,,5614385069,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308391,11,1,1,0,35,b3r6d8ydtmtjckam6pku9y400,1,62.8,0.0,2025-03-31T17:03:26.352Z,2025-03-31T17:03:27Z,6b8vhoisrfwkljhz4u7pduej8,R. Huescas,,,5614385257,212,3.9,5614385253,140,62.7,5614385255,141,3.8,5614385249,107,,5614385251,56,Right,5614385259,213,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308403,12,1,1,0,36,b3r6d8ydtmtjckam6pku9y400,1,62.7,3.8,2025-03-31T17:03:27.264Z,2025-03-31T17:03:29Z,c9u2w9ikckbrra8vln2ucbf9w,V. Froholdt,,,5614385341,213,3.40,5614385339,212,5.0,5614385333,56,Right,5614385337,141,1.9,5614385335,140,58.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308457,13,1,1,0,38,b3r6d8ydtmtjckam6pku9y400,1,58.1,1.9,2025-03-31T17:03:29.120Z,2025-03-31T17:03:35Z,6b8vhoisrfwkljhz4u7pduej8,R. Huescas,,,5614385609,196,,5614385619,213,2.25,5614385621,1,,5614385613,140,23.3,5614385617,212,58.3,5614385615,141,68.7,5614385607,155,,5614385611,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308495,14,1,1,0,46,b3r6d8ydtmtjckam6pku9y400,1,23.8,81.1,2025-03-31T17:03:37.280Z,2025-03-31T17:03:38Z,f2ibn3ej2doay3b4u8ezeix62,D. Ramaj,,,5614385839,1,,5614385837,213,6.02,5614385833,141,68.8,5614385829,56,Center,5614385831,140,53.6,5614385835,212,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308513,15,1,1,0,47,b3r6d8ydtmtjckam6pku9y400,1,53.6,68.8,2025-03-31T17:03:38.399Z,2025-03-31T17:03:40Z,823p7p1amx8lp445bo6bi01lg,A. Chiakha,,,5614385989,141,64.6,5614385987,140,42.0,5614385993,213,3.37,5614385985,56,Back,5614385991,212,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308523,16,1,1,0,49,b3r6d8ydtmtjckam6pku9y400,0,47.6,59.7,2025-03-31T17:03:40.416Z,2025-03-31T20:45:34Z,ftw3io63hk5vuoa3lyfgowes,W. Clem,,,5614386031,140,48.9,5614386035,212,1.6,5614386055,236,,5614386033,141,58.5,5614386037,213,5.74,5614386029,56,Back,5614386057,233,7,5614386061,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308521,7,74,1,0,49,9w3sjm5ml4sjr2v81oxzdrt8v,1,51.1,40.7,2025-03-31T17:03:40.417Z,2025-03-31T20:45:38Z,6uj3c69lgu6boblkjiuhoy6eh,J. Björkengren,,,5614386065,233,16,5614386025,285,,5614386023,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308547,17,43,1,0,51,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2025-03-31T17:03:41.904Z,2025-03-31T18:04:39Z,8inyievyp1az6q3dtlkpynf56,M. Mattsson,,,5614565683,144,1,5614386157,140,52.1,5614386155,56,Center,5614386161,141,42.5,5614386165,213,4.09,5614386163,212,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308557,8,1,1,0,52,9w3sjm5ml4sjr2v81oxzdrt8v,0,45.0,57.5,2025-03-31T17:03:42.668Z,2025-03-31T20:45:47Z,606hufq6dapf3qxcgilbc8tt5,S. Nordli,,,5614386223,212,13.4,5614386217,56,Center,5614386219,140,53.3,5614386221,141,42.5,5614386225,213,5.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308583,18,1,1,0,55,b3r6d8ydtmtjckam6pku9y400,1,44.9,58.1,2025-03-31T17:03:46.081Z,2025-03-31T20:45:52Z,7xc0qldxpidl07vij2wgu1sk5,K. Diks,,,5614386381,157,,5614386391,213,0.93,5614386385,140,63.0,5614386393,1,,5614386387,141,95.9,5614386383,56,Left,5614386389,212,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308621,19,1,1,1,0,b3r6d8ydtmtjckam6pku9y400,1,72.8,77.9,2025-03-31T17:03:50.640Z,2025-03-31T17:03:55Z,ssluj1c3ft94nkfs58dc8cq2,E. Achouri,,,5614386607,213,5.92,5614386603,141,69.6,5614386601,140,87.1,5614386605,212,16.0,5614386599,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308627,9,83,1,1,3,9w3sjm5ml4sjr2v81oxzdrt8v,1,9.8,19.4,2025-03-31T17:03:53.876Z,2025-03-31T17:04:43Z,effgiwtme6eu08o1ninlnqqqd,D. Høegh,,,5614388765,399,823p7p1amx8lp445bo6bi01lg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308623,20,61,1,1,4,b3r6d8ydtmtjckam6pku9y400,0,92.4,81.6,2025-03-31T17:03:54.875Z,2025-03-31T17:07:25Z,823p7p1amx8lp445bo6bi01lg,A. Chiakha,,,5614386619,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308639,10,1,1,1,5,9w3sjm5ml4sjr2v81oxzdrt8v,0,6.2,9.1,2025-03-31T17:03:56.412Z,2025-03-31T17:03:57Z,effgiwtme6eu08o1ninlnqqqd,D. Høegh,,,5614386681,141,7.6,5614386685,213,6.00,5614386677,56,Back,5614386679,140,9.6,5614386683,212,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308651,21,61,1,1,6,b3r6d8ydtmtjckam6pku9y400,1,85.5,89.9,2025-03-31T17:03:56.640Z,2025-03-31T17:19:21Z,2ubad2kxha6n1c8c8sr2ogmad,B. Meling,,,5614386759,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308749,11,5,1,1,7,9w3sjm5ml4sjr2v81oxzdrt8v,1,17.8,-1.2,2025-03-31T17:03:57.820Z,2025-03-31T17:07:21Z,effgiwtme6eu08o1ninlnqqqd,D. Høegh,,,5614387313,233,22,5614387305,56,Back,5614387307,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308653,22,5,1,1,7,b3r6d8ydtmtjckam6pku9y400,0,82.2,101.2,2025-03-31T17:03:57.820Z,2025-03-31T17:07:22Z,2ubad2kxha6n1c8c8sr2ogmad,B. Meling,,,5614386763,56,Left,5614386765,347,,5614387321,233,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308777,12,1,1,1,22,9w3sjm5ml4sjr2v81oxzdrt8v,1,24.2,0.0,2025-03-31T17:04:13.244Z,2025-03-31T17:04:15Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5614387455,56,Right,5614387453,107,,5614387457,140,54.3,5614387463,213,0.26,5614387459,141,10.7,5614387465,1,,5614387461,212,32.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308793,13,1,1,1,25,9w3sjm5ml4sjr2v81oxzdrt8v,0,54.3,10.7,2025-03-31T17:04:15.756Z,2025-03-31T17:04:16Z,1329qhvvxpp6j4q5esh4n3hii,M. Touré,,,5614387553,140,54.1,5614387557,212,15.2,5614387555,141,33.0,5614387549,3,,5614387551,56,Center,5614387559,213,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308795,23,8,1,1,27,b3r6d8ydtmtjckam6pku9y400,1,45.4,64.8,2025-03-31T17:04:18.304Z,2025-03-31T20:46:29Z,6b8vhoisrfwkljhz4u7pduej8,R. Huescas,,,5615124833,384,,5614387569,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308807,24,1,1,1,29,b3r6d8ydtmtjckam6pku9y400,1,54.6,68.7,2025-03-31T17:04:19.807Z,2025-03-31T20:46:46Z,8inyievyp1az6q3dtlkpynf56,M. Mattsson,,,5614570329,212,6.2,5614570325,140,48.7,5614387617,56,Back,5614570327,141,68.5,5614570331,213,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308839,26,1,1,1,30,b3r6d8ydtmtjckam6pku9y400,1,48.7,75.2,2025-03-31T17:04:21.155Z,2025-03-31T20:46:41Z,ftw3io63hk5vuoa3lyfgowes,W. Clem,,,5614387771,212,9.8,5614387767,140,55.0,5614387773,213,5.45,5614387769,141,64.6,5614387765,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308879,27,1,1,1,32,b3r6d8ydtmtjckam6pku9y400,1,64.0,52.4,2025-03-31T17:04:22.688Z,2025-03-31T17:04:27Z,aahyom322jdc6f21960ycuzth,J. Larsson,,,5614388059,141,13.8,5614388063,213,4.79,5614388061,212,26.3,5614388055,56,Right,5614388057,140,65.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308893,28,1,1,1,36,b3r6d8ydtmtjckam6pku9y400,1,69.5,8.8,2025-03-31T17:04:27.424Z,2025-03-31T17:04:30Z,6b8vhoisrfwkljhz4u7pduej8,R. Huescas,,,5614388143,140,67.6,5614388147,212,11.8,5614388145,141,25.9,5614388141,56,Center,5614388149,213,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308903,14,43,1,1,40,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2025-03-31T17:04:30.800Z,2025-03-31T17:04:41Z,2mawaijd9czgtd5jh9myk434l,A. Rømer,,,5614388183,56,Back,5614388187,285,0,5614388721,144,45,5614388267,233,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308913,29,43,1,1,40,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2025-03-31T17:04:30.800Z,2025-03-31T17:06:22Z,c9u2w9ikckbrra8vln2ucbf9w,V. Froholdt,,,5614393763,144,3,5614388233,56,Center,5614388237,286,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308919,30,61,1,1,41,b3r6d8ydtmtjckam6pku9y400,1,78.9,40.3,2025-03-31T17:04:31.854Z,2025-03-31T20:46:57Z,c9u2w9ikckbrra8vln2ucbf9w,V. Froholdt,,,5614388255,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308943,31,61,1,1,42,b3r6d8ydtmtjckam6pku9y400,1,79.3,49.9,2025-03-31T17:04:32.959Z,2025-03-31T17:59:15Z,823p7p1amx8lp445bo6bi01lg,A. Chiakha,,,5614388401,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308953,32,61,1,1,43,b3r6d8ydtmtjckam6pku9y400,1,78.0,50.4,2025-03-31T17:04:33.640Z,2025-03-31T17:59:16Z,c9u2w9ikckbrra8vln2ucbf9w,V. Froholdt,,,5614388459,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308969,33,1,1,1,44,b3r6d8ydtmtjckam6pku9y400,0,81.6,49.5,2025-03-31T17:04:35.127Z,2025-03-31T20:47:09Z,823p7p1amx8lp445bo6bi01lg,A. Chiakha,,,5614388513,56,Center,5614388517,141,55.2,5614388515,140,74.9,5614388519,212,8.0,5614388521,213,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308961,16,1,1,1,46,9w3sjm5ml4sjr2v81oxzdrt8v,0,35.4,29.2,2025-03-31T17:04:36.605Z,2025-03-31T17:04:37Z,8domjmewnw5h6b19vef8w0afp,M. Greve,,,5614388487,56,Back,5614388493,212,13.3,5614388491,141,15.3,5614388489,140,44.3,5614388495,213,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308979,34,8,1,1,49,b3r6d8ydtmtjckam6pku9y400,1,55.9,82.9,2025-03-31T17:04:39.855Z,2025-03-31T20:47:36Z,2ubad2kxha6n1c8c8sr2ogmad,B. Meling,,,5614388597,56,Left,5615127181,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794309015,36,1,1,1,51,b3r6d8ydtmtjckam6pku9y400,1,59.0,81.1,2025-03-31T17:04:42.207Z,2025-03-31T17:04:43Z,2ubad2kxha6n1c8c8sr2ogmad,B. Meling,,,5614388775,212,12.8,5614388771,140,60.4,5614388777,213,4.83,5614388773,141,62.4,5614388769,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794309071,37,1,1,1,52,b3r6d8ydtmtjckam6pku9y400,1,60.3,61.4,2025-03-31T17:04:43.440Z,2025-03-31T17:04:48Z,ftw3io63hk5vuoa3lyfgowes,W. Clem,,,5614389041,155,,5614389045,140,69.4,5614389047,141,15.2,5614389043,56,Right,5614389049,212,32.8,5614389051,213,5.01,5614389053,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794309093,38,1,1,1,58,b3r6d8ydtmtjckam6pku9y400,1,72.3,34.6,2025-03-31T17:04:48.639Z,2025-03-31T17:04:50Z,6b8vhoisrfwkljhz4u7pduej8,R. Huescas,,,5614389159,140,78.1,5614389163,212,9.8,5614389161,141,23.3,5614389157,56,Center,5614389165,213,5.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794309113,39,1,1,1,59,b3r6d8ydtmtjckam6pku9y400,1,76.0,23.7,2025-03-31T17:04:50.416Z,2025-03-31T17:04:51Z,aahyom322jdc6f21960ycuzth,J. Larsson,,,5614389251,56,Center,5614389259,213,2.80,5614389255,141,29.7,5614389253,140,65.2,5614389257,212,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794309151,40,1,1,2,0,b3r6d8ydtmtjckam6pku9y400,1,65.2,29.7,2025-03-31T17:04:51.376Z,2025-03-31T17:04:55Z,c9u2w9ikckbrra8vln2ucbf9w,V. Froholdt,,,5614389439,141,10.9,5614389441,212,13.0,5614389443,213,4.89,5614389435,56,Right,5614389437,140,67.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794309157,41,1,1,2,4,b3r6d8ydtmtjckam6pku9y400,1,67.4,10.9,2025-03-31T17:04:55.296Z,2025-03-31T17:04:56Z,aahyom322jdc6f21960ycuzth,J. Larsson,,,5614389499,213,1.28,5614389495,141,16.5,5614389491,56,Right,5614389497,212,4.0,5614389493,140,68.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794309191,42,1,1,2,5,b3r6d8ydtmtjckam6pku9y400,1,68.5,16.5,2025-03-31T17:04:56.527Z,2025-03-31T17:05:01Z,8inyievyp1az6q3dtlkpynf56,M. Mattsson,,,5614389667,56,Right,5614389675,213,4.47,5614389671,141,14.0,5614389669,140,68.1,5614389673,212,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794309199,43,1,1,2,10,b3r6d8ydtmtjckam6pku9y400,1,71.4,12.2,2025-03-31T17:05:00.928Z,2025-03-31T17:05:02Z,6b8vhoisrfwkljhz4u7pduej8,R. Huescas,,,5614389725,212,12.6,5614389721,140,83.4,5614389719,56,Right,5614389723,141,12.5,5614389727,213,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794309211,44,1,1,2,13,b3r6d8ydtmtjckam6pku9y400,0,89.0,16.2,2025-03-31T17:05:04.176Z,2025-03-31T17:05:04Z,c9u2w9ikckbrra8vln2ucbf9w,V. Froholdt,,,5614389793,140,84.5,5614389797,212,8.1,5614389795,141,25.9,5614389791,56,Center,5614389799,213,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
