id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2743878899,7,1,1,0,13,36g6ifzjliec1jqnbtf7yesme,1,65.5,10.1,2024-11-03T17:02:12.363Z,2024-11-03T17:09:50Z,6v1kpakd3t0jhnoh1eh75ev4k,K. Davidsen,,,5339711639,213,4.11,5339711631,56,Right,5339711633,140,62.8,5339711637,212,5.0,5339711635,141,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743878949,8,1,1,0,15,36g6ifzjliec1jqnbtf7yesme,1,59.1,3.5,2024-11-03T17:02:14.531Z,2024-11-03T17:02:17Z,de0dokhb6u6hts2hu5aupgiga,K. Jørgensen,,,5339711869,212,19.6,5339711871,213,3.01,5339711863,56,Back,5339711867,141,7.3,5339711865,140,40.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743878973,9,1,1,0,18,36g6ifzjliec1jqnbtf7yesme,1,39.3,31.0,2024-11-03T17:02:17.427Z,2024-11-03T17:02:19Z,7yst1mucy7jynmpzu1thox2i,L. Kramer,,,5339711965,56,Back,5339711969,141,61.2,5339711967,140,34.7,5339711973,213,1.80,5339711971,212,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743878993,10,1,1,0,20,36g6ifzjliec1jqnbtf7yesme,1,34.7,61.2,2024-11-03T17:02:19.099Z,2024-11-03T17:02:28Z,8vi3l756ez0e96k7muvg4ekbu,B. Pudel,,,5339712065,140,26.6,5339712071,213,4.29,5339712063,56,Back,5339712067,141,33.7,5339712069,212,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743879045,11,1,1,0,23,36g6ifzjliec1jqnbtf7yesme,1,26.9,36.0,2024-11-03T17:02:22.187Z,2024-11-03T17:02:24Z,7yst1mucy7jynmpzu1thox2i,L. Kramer,,,5339712331,141,56.6,5339712333,212,21.5,5339712335,213,2.43,5339712329,140,11.4,5339712327,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743879109,12,1,1,0,25,36g6ifzjliec1jqnbtf7yesme,1,12.1,56.6,2024-11-03T17:02:24.139Z,2024-11-03T17:02:28Z,a2l4ep71txn2edtjjcgewai5m,V. Müller,,,5339712661,213,1.38,5339712655,140,15.3,5339712653,56,Back,5339712657,141,82.3,5339712659,212,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743879185,13,1,1,0,30,36g6ifzjliec1jqnbtf7yesme,1,15.3,82.3,2024-11-03T17:02:29.083Z,2024-11-03T17:02:33Z,8vi3l756ez0e96k7muvg4ekbu,B. Pudel,,,5339713049,213,3.86,5339713039,141,67.0,5339713035,140,3.9,5339713029,56,Back,5339713045,212,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743879231,14,1,1,0,34,36g6ifzjliec1jqnbtf7yesme,1,4.2,65.4,2024-11-03T17:02:33.147Z,2024-11-03T17:02:36Z,a2l4ep71txn2edtjjcgewai5m,V. Müller,,,5339713275,140,21.5,5339713281,213,0.17,5339713273,56,Back,5339713277,141,69.9,5339713279,212,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743879265,15,1,1,0,37,36g6ifzjliec1jqnbtf7yesme,1,21.5,69.9,2024-11-03T17:02:36.187Z,2024-11-03T17:02:37Z,ejixz16616b7krftxyzv9yiac,M. Bomholt,,,5339713433,56,Back,5339713437,140,14.4,5339713439,141,90.8,5339713443,213,2.05,5339713441,212,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743879297,16,1,1,0,39,36g6ifzjliec1jqnbtf7yesme,1,15.3,88.6,2024-11-03T17:02:37.755Z,2024-11-03T17:02:40Z,8vi3l756ez0e96k7muvg4ekbu,B. Pudel,,,5339713585,56,Back,5339713591,212,22.3,5339713593,213,4.53,5339713589,141,56.3,5339713587,140,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743879373,17,1,1,0,41,36g6ifzjliec1jqnbtf7yesme,1,14.5,49.9,2024-11-03T17:02:40.427Z,2024-11-03T17:02:45Z,a2l4ep71txn2edtjjcgewai5m,V. Müller,,,5339714055,213,5.12,5339714049,140,19.9,5339714047,56,Back,5339714053,212,14.3,5339714051,141,30.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743879413,18,1,1,0,46,36g6ifzjliec1jqnbtf7yesme,1,28.3,33.9,2024-11-03T17:02:45.339Z,2024-11-03T17:02:47Z,7yst1mucy7jynmpzu1thox2i,L. Kramer,,,5339714255,212,17.1,5339714237,56,Back,5339714243,140,14.5,5339714247,141,47.2,5339714257,213,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743879545,19,1,1,0,48,36g6ifzjliec1jqnbtf7yesme,1,16.8,47.7,2024-11-03T17:02:47.139Z,2024-11-03T19:48:39Z,a2l4ep71txn2edtjjcgewai5m,V. Müller,,,5339714915,141,76.7,5339714919,213,0.91,5339714913,140,31.3,5339714917,212,24.9,5339714911,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743879615,20,1,1,0,53,36g6ifzjliec1jqnbtf7yesme,1,32.6,71.8,2024-11-03T17:02:52.483Z,2024-11-03T17:02:56Z,8vi3l756ez0e96k7muvg4ekbu,B. Pudel,,,5339715293,56,Back,5339715297,141,56.7,5339715299,212,20.2,5339715301,213,3.67,5339715295,140,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743879683,21,1,1,0,57,36g6ifzjliec1jqnbtf7yesme,1,19.1,53.0,2024-11-03T17:02:56.259Z,2024-11-03T17:03:00Z,a2l4ep71txn2edtjjcgewai5m,V. Müller,,,5339715635,141,24.9,5339715639,213,5.31,5339715631,56,Back,5339715633,140,31.5,5339715637,212,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743879775,22,1,1,1,1,36g6ifzjliec1jqnbtf7yesme,1,35.3,30.0,2024-11-03T17:03:00.611Z,2024-11-03T17:03:05Z,7yst1mucy7jynmpzu1thox2i,L. Kramer,,,5339716085,140,75.6,5339716079,155,,5339716091,213,0.78,5339716093,1,,5339716089,212,59.4,5339716087,141,91.4,5339716081,196,,5339716083,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743879801,23,1,1,1,6,36g6ifzjliec1jqnbtf7yesme,1,75.6,91.4,2024-11-03T17:03:05.363Z,2024-11-03T17:10:03Z,dj2f6zk2cd8u9lt6odoei9cdl,A. Bruus,,,5339716215,3,,5339716225,213,5.15,5339716223,212,11.8,5339716221,141,75.7,5339716217,56,Center,5339716219,140,80.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743879883,24,1,1,1,9,36g6ifzjliec1jqnbtf7yesme,1,78.4,73.5,2024-11-03T17:03:08.323Z,2024-11-03T17:12:20Z,1arzd8hqj73byhduozscqz5uy,M. Jørgensen,,,5339716585,56,Center,5339716587,140,77.7,5339716589,141,54.5,5339716591,212,12.9,5339716593,213,4.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743879893,5,43,1,1,11,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2024-11-03T17:03:10Z,2024-11-03T19:49:22Z,94hei5v2f93ga4b0iwxxisbu1,D. Emmanouilidis,,,5339717167,399,3q4tnk1z46lop4rbdpjtfoc2c,5340565867,144,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743879987,25,1,1,1,11,36g6ifzjliec1jqnbtf7yesme,1,78.9,51.7,2024-11-03T17:03:10.227Z,2024-11-03T17:03:31Z,3q4tnk1z46lop4rbdpjtfoc2c,M. Widell,,,5339718873,1,,5339717147,213,4.21,5339717135,140,64.0,5339717143,212,32.7,5339717129,56,Right,5339717139,141,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743880145,26,1,1,1,17,36g6ifzjliec1jqnbtf7yesme,0,66.5,12.6,2024-11-03T17:03:16.331Z,2024-11-03T17:03:22Z,de0dokhb6u6hts2hu5aupgiga,K. Jørgensen,,,5339717887,212,32.9,5339717881,56,Center,5339717883,140,97.0,5339717889,213,0.23,5339717891,1,,5339717885,141,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743881813,17,12,1,1,24,c165yjiny1qnmfdvefxvflnkc,1,2.2,75.1,2024-11-03T17:03:23.024Z,2024-11-03T17:04:42Z,7hukebiijqntuvetwzralzuju,O. Provstgaard,,,5339726569,141,76.0,5339726573,212,0.7,5339726561,56,Back,5339726575,213,2.17,5339726565,140,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743880191,27,61,1,1,24,36g6ifzjliec1jqnbtf7yesme,1,97.2,24.2,2024-11-03T17:03:23.203Z,2024-11-03T17:14:56Z,3q4tnk1z46lop4rbdpjtfoc2c,M. Widell,,,5339718149,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743880213,6,5,1,1,25,c165yjiny1qnmfdvefxvflnkc,1,-0.9,71.8,2024-11-03T17:03:24.202Z,2024-11-03T17:15:01Z,7hukebiijqntuvetwzralzuju,O. Provstgaard,,,5339718239,56,Back,5339721553,346,,5339719773,233,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743880483,28,5,1,1,25,36g6ifzjliec1jqnbtf7yesme,0,100.9,28.2,2024-11-03T17:03:24.202Z,2024-11-03T17:15:01Z,3q4tnk1z46lop4rbdpjtfoc2c,M. Widell,,,5339719589,56,Center,5339719791,233,6,5339721599,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743880577,7,1,1,1,43,c165yjiny1qnmfdvefxvflnkc,1,4.6,50.9,2024-11-03T17:03:42Z,2024-11-03T17:04:10Z,53y263xxfdf1itytiqhg3v6c5,I. Vekić,,,5339722955,213,1.19,5339722961,237,,5339722943,124,,5339722947,140,9.7,5339722949,141,70.7,5339722945,56,Back,5339722951,212,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743880621,8,1,1,1,46,c165yjiny1qnmfdvefxvflnkc,1,23.2,82.0,2024-11-03T17:03:45.536Z,2024-11-03T17:03:47Z,7hukebiijqntuvetwzralzuju,O. Provstgaard,,,5339720325,56,Back,5339720339,213,1.14,5339720331,140,27.5,5339720337,212,10.7,5339720335,141,96.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743880625,9,3,1,1,49,c165yjiny1qnmfdvefxvflnkc,0,27.8,94.8,2024-11-03T17:03:47.777Z,2024-11-03T19:50:05Z,6xjbcik3a56d0vqy4vrq5eokp,D. Čolina,,,5339720353,285,,5339720351,56,Back,5340569131,465,,5339720569,233,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743880657,29,7,1,1,49,36g6ifzjliec1jqnbtf7yesme,0,72.2,5.2,2024-11-03T17:03:47.778Z,2024-11-03T19:50:08Z,5lz41celw55rz3zh8pohclw5w,O. Ross,,,5339720545,233,9,5340569289,385,,5339720511,56,Right,5339720515,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743880699,10,50,1,1,51,c165yjiny1qnmfdvefxvflnkc,1,24.6,95.2,2024-11-03T17:03:50.688Z,2024-11-03T17:03:54Z,6xjbcik3a56d0vqy4vrq5eokp,D. Čolina,,,5339720689,285,,5339720687,56,Back,5339720995,233,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743880741,30,7,1,1,51,36g6ifzjliec1jqnbtf7yesme,1,75.4,4.8,2024-11-03T17:03:50.689Z,2024-11-03T19:50:19Z,5hw5sfiqhzg7mnghdp52f7fqi,J. Iredale,,,5339720931,167,,5339720965,233,10,5339720933,56,Right,5339720935,286,,5340570031,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743880869,11,5,1,1,54,c165yjiny1qnmfdvefxvflnkc,1,23.0,101.8,2024-11-03T17:03:53.067Z,2024-11-03T17:14:49Z,6xjbcik3a56d0vqy4vrq5eokp,D. Čolina,,,5339721641,233,31,5339721547,347,,5339721545,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743880779,31,5,1,1,54,36g6ifzjliec1jqnbtf7yesme,0,77.0,-1.8,2024-11-03T17:03:53.067Z,2024-11-03T17:04:01Z,5hw5sfiqhzg7mnghdp52f7fqi,J. Iredale,,,5339721075,56,Right,5339721669,233,11,5339721077,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743881173,12,1,1,2,12,c165yjiny1qnmfdvefxvflnkc,1,31.3,100.0,2024-11-03T17:04:11.090Z,2024-11-03T19:50:39Z,6xjbcik3a56d0vqy4vrq5eokp,D. Čolina,,,5339723159,141,86.3,5339723151,56,Back,5339723165,213,3.94,5339723163,212,13.7,5339723147,107,,5339723155,140,22.2,5340571445,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743881191,13,1,1,2,12,c165yjiny1qnmfdvefxvflnkc,1,22.2,86.3,2024-11-03T17:04:11.568Z,2024-11-03T19:50:41Z,7hukebiijqntuvetwzralzuju,O. Provstgaard,,,5339723265,141,55.7,5339723259,56,Back,5340571599,189,,5339723269,212,24.8,5339723271,213,4.14,5339723261,140,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743881283,14,1,1,2,13,c165yjiny1qnmfdvefxvflnkc,1,9.4,55.7,2024-11-03T17:04:12.399Z,2024-11-03T17:04:15Z,53y263xxfdf1itytiqhg3v6c5,I. Vekić,,,5339723753,212,19.5,5339723751,141,28.0,5339723749,140,14.3,5339723747,56,Back,5339723755,213,4.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743881335,15,1,1,2,17,c165yjiny1qnmfdvefxvflnkc,1,20.1,26.8,2024-11-03T17:04:15.839Z,2024-11-03T17:04:18Z,6ylzm57bvpufg3cenadtv7qhh,D. van Bruggen,,,5339724031,213,6.24,5339724025,141,25.3,5339724019,155,,5339724021,56,Back,5339724023,140,44.5,5339724027,212,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743881341,16,1,1,2,19,c165yjiny1qnmfdvefxvflnkc,0,44.5,25.3,2024-11-03T17:04:17.967Z,2024-11-03T17:04:18Z,1hbucfyn2l3bxcw5r4zcb1dlg,C. Gammelgaard,,,5339724071,56,Center,5339724077,212,20.9,5339724073,140,64.4,5339724069,3,,5339724079,213,6.27,5339724075,141,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743881415,32,1,1,2,20,36g6ifzjliec1jqnbtf7yesme,1,37.7,73.6,2024-11-03T17:04:18.843Z,2024-11-03T17:12:37Z,7yst1mucy7jynmpzu1thox2i,L. Kramer,,,5339724545,3,,5339724553,212,8.7,5339724551,141,63.6,5339724555,213,5.39,5339724549,140,42.9,5339724547,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743881425,33,1,1,2,23,36g6ifzjliec1jqnbtf7yesme,1,42.9,63.6,2024-11-03T17:04:22.051Z,2024-11-03T17:14:01Z,6v1kpakd3t0jhnoh1eh75ev4k,K. Davidsen,,,5339724607,213,5.41,5339724603,141,41.2,5339724601,140,55.1,5339724599,56,Center,5339724605,212,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743881499,35,1,1,2,25,36g6ifzjliec1jqnbtf7yesme,1,55.1,41.2,2024-11-03T17:04:24.043Z,2024-11-03T17:14:02Z,5lz41celw55rz3zh8pohclw5w,O. Ross,,,5339724885,140,54.7,5339724891,213,4.70,5339724889,212,24.5,5339724883,56,Right,5339724887,141,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743881607,36,1,1,2,30,36g6ifzjliec1jqnbtf7yesme,1,42.0,24.1,2024-11-03T17:04:29.658Z,2024-11-03T17:04:32Z,de0dokhb6u6hts2hu5aupgiga,K. Jørgensen,,,5339725475,141,42.5,5339725473,140,20.7,5339725471,56,Back,5339725477,212,25.6,5339725479,213,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743881681,37,1,1,2,33,36g6ifzjliec1jqnbtf7yesme,1,20.8,42.4,2024-11-03T17:04:32.130Z,2024-11-03T17:04:35Z,a2l4ep71txn2edtjjcgewai5m,V. Müller,,,5339725815,212,12.0,5339725811,141,28.3,5339725809,140,27.7,5339725819,213,5.36,5339725803,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743881743,38,1,1,2,36,36g6ifzjliec1jqnbtf7yesme,1,28.9,34.5,2024-11-03T17:04:35.651Z,2024-11-03T17:04:39Z,7yst1mucy7jynmpzu1thox2i,L. Kramer,,,5339726213,212,24.2,5339726211,141,69.7,5339726215,213,1.42,5339726209,140,32.3,5339726207,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
