id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/14/value,qualifier/16/value
2706068669,5,5,1,0,14,9qsmopgutr7ut5g6workk8w4i,0,4.2,101.0,2024-08-04T16:02:36.385Z,2024-08-04T16:02:39Z,bnar4f48vnx4oaz2lzch48es5,J. Rasmussen,,,5132514127,233,7,5132514031,56,Back,5132514033,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706068679,7,5,1,0,14,anga7587r1zv4ey71ge9zxol3,1,95.8,-1.0,2024-08-04T16:02:36.385Z,2024-08-04T16:17:37Z,4bstdc3zla1sn85ev3bcmw1lg,T. Storm,,,5132514093,347,,5132514091,56,Right,5132514109,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706069047,8,1,1,0,38,anga7587r1zv4ey71ge9zxol3,1,91.6,0.0,2024-08-04T16:03:00.960Z,2024-08-04T16:57:17Z,bpw4cd5vmghjhelb3uxupmqjt,S. Magnússon,,,5132515981,140,85.3,5132515983,141,35.7,5132515987,213,1.82,5132515979,56,Center,5132515985,212,26.4,5132515989,1,,5132515977,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706069049,9,61,1,0,40,anga7587r1zv4ey71ge9zxol3,0,85.3,35.7,2024-08-04T16:03:02.752Z,2024-08-04T16:57:24Z,5is9bcj143orulo4biogwxzl6,L. Lissens,,,5132515993,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706069025,6,3,1,0,41,9qsmopgutr7ut5g6workk8w4i,0,11.7,81.0,2024-08-04T16:03:03.752Z,2024-08-04T19:04:10Z,1gr0k94d0nh7msa32f6728aok,C. Bischoff,,,5132516125,233,10,5132515879,56,Back,5133119273,465,,5132515883,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706069077,10,7,1,0,41,anga7587r1zv4ey71ge9zxol3,1,88.3,19.0,2024-08-04T16:03:03.753Z,2024-08-04T19:04:14Z,bpw4cd5vmghjhelb3uxupmqjt,S. Magnússon,,,5132516117,233,6,5132516105,56,Right,5133119537,384,,5132516109,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706069091,11,1,1,0,42,anga7587r1zv4ey71ge9zxol3,0,89.0,23.6,2024-08-04T16:03:05.088Z,2024-08-04T19:04:24Z,5is9bcj143orulo4biogwxzl6,L. Lissens,,,5132516193,141,45.7,5132516191,140,89.9,5132516189,56,Center,5133120009,224,,5132516187,155,,5132516185,2,,5132516197,213,1.51,5132516195,212,15.1,5133120011,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706069065,7,8,1,0,44,9qsmopgutr7ut5g6workk8w4i,1,11.8,59.8,2024-08-04T16:03:06.938Z,2024-08-04T19:04:33Z,etz3rjq7chhaomst5u28nnff9,D. Wass,,,5132516041,56,Back,5133120555,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706069121,9,1,1,0,46,9qsmopgutr7ut5g6workk8w4i,1,2.5,68.2,2024-08-04T16:03:08.345Z,2024-08-04T19:05:11Z,bnar4f48vnx4oaz2lzch48es5,J. Rasmussen,,,5132516389,213,1.48,5132516387,212,16.7,5132516385,141,92.7,5132516383,140,4.0,5132516381,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706174609,843,3,1,0,47,9qsmopgutr7ut5g6workk8w4i,0,6.8,88.2,2024-08-04T16:03:10.118Z,2024-08-04T19:04:55Z,1gr0k94d0nh7msa32f6728aok,C. Bischoff,,,5133122155,467,5is9bcj143orulo4biogwxzl6,5133122153,465,,5133122151,285,,5133122149,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706069123,10,4,1,0,49,9qsmopgutr7ut5g6workk8w4i,1,13.7,91.9,2024-08-04T16:03:11.817Z,2024-08-04T16:03:50Z,1gr0k94d0nh7msa32f6728aok,C. Bischoff,,,5132516409,56,Back,5132518971,295,,5132516407,13,,5132516413,152,,5132516659,233,12,5132516421,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706069167,12,4,1,0,49,anga7587r1zv4ey71ge9zxol3,0,86.3,8.1,2024-08-04T16:03:11.818Z,2024-08-04T16:03:25Z,5is9bcj143orulo4biogwxzl6,L. Lissens,,,5132516631,286,,5132516627,152,,5132517267,295,,5132516625,56,Right,5132516689,233,10,5132516623,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706069309,11,1,1,1,1,9qsmopgutr7ut5g6workk8w4i,1,19.9,86.9,2024-08-04T16:03:23.340Z,2024-08-04T17:05:30Z,bnar4f48vnx4oaz2lzch48es5,J. Rasmussen,,,5132517375,5,,5132517389,213,4.70,5132517379,152,,5132517387,212,25.6,5132517385,141,49.3,5132518083,189,,5132517383,140,19.7,5132517381,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706111713,385,1,1,1,3,9qsmopgutr7ut5g6workk8w4i,1,19.1,49.6,2024-08-04T16:03:25.271Z,2024-08-04T17:05:38Z,bmkq3hz1z7lsji7wgr3j8978p,R. Lauritsen,,,5132760445,213,4.93,5132760441,141,13.9,5132760443,212,24.9,5132760437,56,Back,5132760435,189,,5132760439,140,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706069319,12,1,1,1,4,9qsmopgutr7ut5g6workk8w4i,0,30.6,9.2,2024-08-04T16:03:26.450Z,2024-08-04T18:19:39Z,56sjqxlsf5iitgww0hogez8ph,J. Vanlerberghe,,,5132517423,56,Back,5132517437,213,0.25,5132517435,212,18.3,5132517433,141,15.8,5132517427,140,47.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706069339,13,1,1,1,6,anga7587r1zv4ey71ge9zxol3,1,56.1,95.9,2024-08-04T16:03:29.191Z,2024-08-04T16:58:00Z,5kghds186740jygx97bihh6mt,B. Hämäläinen,,,5132517563,56,Left,5132517571,213,5.46,5132517565,140,60.3,5132517567,141,88.9,5132517569,212,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706108063,455,61,1,1,7,anga7587r1zv4ey71ge9zxol3,0,62.9,90.0,2024-08-04T16:03:29.271Z,2024-08-04T16:58:08Z,6d0lxiep13vdv32bdb0xwyrys,L. Sandgrav,,,5132739481,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706069379,13,1,1,1,7,9qsmopgutr7ut5g6workk8w4i,1,22.0,17.3,2024-08-04T16:03:30.185Z,2024-08-04T17:06:03Z,56sjqxlsf5iitgww0hogez8ph,J. Vanlerberghe,,,5132517779,141,35.4,5132517777,140,26.9,5132517775,56,Back,5132517781,212,13.3,5132517783,213,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706069401,14,1,1,1,10,9qsmopgutr7ut5g6workk8w4i,1,34.0,26.0,2024-08-04T16:03:32.505Z,2024-08-04T17:06:12Z,etz3rjq7chhaomst5u28nnff9,D. Wass,,,5132517881,141,25.4,5132517883,212,9.8,5132517879,140,43.3,5132517885,213,6.24,5132517877,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706069407,15,61,1,1,11,9qsmopgutr7ut5g6workk8w4i,0,35.3,36.0,2024-08-04T16:03:33.801Z,2024-08-04T17:06:22Z,7z1pv1wezn5rydamnknklv2ay,M. Kvistgaarden,,,5132517907,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706069445,15,1,1,1,13,anga7587r1zv4ey71ge9zxol3,1,62.0,89.3,2024-08-04T16:03:35.335Z,2024-08-04T16:58:32Z,9pnirb3qt48zeui3su8cvu1ka,J. Amon,,,5132518073,212,15.5,5132518071,141,69.7,5132518067,56,Center,5132518069,140,54.4,5132518075,213,4.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706069463,16,1,1,1,14,anga7587r1zv4ey71ge9zxol3,1,54.2,69.6,2024-08-04T16:03:36.919Z,2024-08-04T16:58:33Z,d854rlweyk5wq6d2veyviukq2,C. Winther,,,5132518167,141,64.2,5132518165,140,41.9,5132518169,212,13.4,5132518171,213,3.42,5132518163,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706069525,17,1,1,1,16,anga7587r1zv4ey71ge9zxol3,1,42.0,64.6,2024-08-04T16:03:38.775Z,2024-08-04T16:58:40Z,5q5ph311bi310zt1e45u7i7dh,A. Bjelland,,,5132518449,140,55.2,5132518451,141,95.7,5132518453,212,25.3,5132518447,56,Left,5132518455,213,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706069545,18,1,1,1,20,anga7587r1zv4ey71ge9zxol3,1,58.5,95.1,2024-08-04T16:03:42.871Z,2024-08-04T16:58:41Z,2sgey1g99rmupumezjo9rkxcl,K. Finnsson,,,5132518579,213,3.23,5132518577,212,17.6,5132518575,141,92.7,5132518573,140,41.8,5132518571,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706069553,19,1,1,1,22,anga7587r1zv4ey71ge9zxol3,1,40.9,92.1,2024-08-04T16:03:44.583Z,2024-08-04T16:58:52Z,5kghds186740jygx97bihh6mt,B. Hämäläinen,,,5132518609,56,Left,5132518611,140,52.2,5132518613,141,87.2,5132518615,212,12.3,5132518617,213,6.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706069579,20,1,1,1,23,anga7587r1zv4ey71ge9zxol3,1,52.2,87.2,2024-08-04T16:03:45.495Z,2024-08-04T16:58:56Z,6d0lxiep13vdv32bdb0xwyrys,L. Sandgrav,,,5132518779,212,14.3,5132518775,140,38.8,5132518777,141,90.6,5132518773,56,Back,5132518781,213,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706069621,21,1,1,1,25,anga7587r1zv4ey71ge9zxol3,1,37.3,89.9,2024-08-04T16:03:47.591Z,2024-08-04T16:58:59Z,5kghds186740jygx97bihh6mt,B. Hämäläinen,,,5132519013,56,Back,5132519021,213,4.53,5132519019,212,24.8,5132519017,141,54.0,5132519015,140,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706069689,22,1,1,1,29,anga7587r1zv4ey71ge9zxol3,1,34.4,56.1,2024-08-04T16:03:51.479Z,2024-08-04T16:59:05Z,5q5ph311bi310zt1e45u7i7dh,A. Bjelland,,,5132519385,212,29.4,5132519387,213,1.15,5132519379,56,Back,5132519381,140,45.9,5132519383,141,95.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706069725,23,1,1,1,35,anga7587r1zv4ey71ge9zxol3,1,63.1,93.9,2024-08-04T16:03:57.511Z,2024-08-04T16:59:08Z,2sgey1g99rmupumezjo9rkxcl,K. Finnsson,,,5132519561,56,Center,5132519571,213,4.66,5132519565,140,62.4,5132519567,141,71.5,5132519569,212,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706069789,24,1,1,1,38,anga7587r1zv4ey71ge9zxol3,1,64.8,75.7,2024-08-04T16:04:00.966Z,2024-08-04T16:04:06Z,6d0lxiep13vdv32bdb0xwyrys,L. Sandgrav,,,5132519961,56,Center,5132519963,140,52.6,5132519967,212,12.8,5132519965,141,77.0,5132519969,213,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706069803,25,1,1,1,43,anga7587r1zv4ey71ge9zxol3,1,53.5,72.7,2024-08-04T16:04:06.214Z,2024-08-04T16:59:31Z,5kghds186740jygx97bihh6mt,B. Hämäläinen,,,5132520043,56,Back,5132520049,212,32.2,5132520051,213,4.48,5132520047,141,26.7,5132520053,1,,5132520045,140,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706069825,26,1,1,1,45,anga7587r1zv4ey71ge9zxol3,1,46.3,26.7,2024-08-04T16:04:07.350Z,2024-08-04T16:59:37Z,5is9bcj143orulo4biogwxzl6,L. Lissens,,,5132520189,212,13.9,5132520187,141,46.3,5132520185,140,42.6,5132520183,56,Back,5132520191,213,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706069913,27,1,1,1,47,anga7587r1zv4ey71ge9zxol3,1,43.1,46.7,2024-08-04T16:04:10.134Z,2024-08-04T16:04:16Z,5q5ph311bi310zt1e45u7i7dh,A. Bjelland,,,5132520593,56,Right,5132520601,213,5.90,5132520591,155,,5132520603,1,,5132520599,212,61.1,5132520597,141,13.1,5132520595,140,97.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706069947,28,1,1,1,54,anga7587r1zv4ey71ge9zxol3,0,98.3,12.8,2024-08-04T16:04:16.742Z,2024-08-04T19:06:59Z,bpw4cd5vmghjhelb3uxupmqjt,S. Magnússon,,,5132520827,1,,5133130307,224,,5132520813,2,,5132520817,56,Center,5132520823,212,39.1,5133130309,20,,5132520825,213,1.61,5133130475,345,,5132520815,155,5132520819,140,96.8,5132520821,141,70.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706070631,16,12,1,1,56,9qsmopgutr7ut5g6workk8w4i,1,3.7,32.0,2024-08-04T16:04:19.163Z,2024-08-04T16:05:17Z,hsobzlp177f9755mpsi7szmy,S. Sebulonsen,,,5132524759,141,5.3,5132524757,140,9.5,5132524755,56,Back,5132524761,212,19.2,5132524763,213,5.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706070067,29,1,1,2,2,anga7587r1zv4ey71ge9zxol3,1,96.8,95.9,2024-08-04T16:04:24.982Z,2024-08-04T19:07:14Z,9pnirb3qt48zeui3su8cvu1ka,J. Amon,,,5132521607,140,88.0,5132521613,213,4.56,5133131351,72,,5132521603,155,,5133131429,345,,5132521605,56,Right,5132521609,141,8.6,5132521611,212,60.1,5132521615,1,5132521601,2,,5133131349,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706070081,30,1,1,2,9,anga7587r1zv4ey71ge9zxol3,1,88.0,8.6,2024-08-04T16:04:31.478Z,2024-08-04T17:00:02Z,bpw4cd5vmghjhelb3uxupmqjt,S. Magnússon,,,5132521693,56,Right,5132521701,213,3.10,5132521699,212,16.4,5132521697,141,9.7,5132521695,140,72.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706070113,31,1,1,2,13,anga7587r1zv4ey71ge9zxol3,1,69.4,6.2,2024-08-04T16:04:35.317Z,2024-08-04T17:00:04Z,5is9bcj143orulo4biogwxzl6,L. Lissens,,,5132521921,212,7.8,5132521923,213,1.81,5132521915,56,Right,5132521917,140,67.6,5132521919,141,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706070183,32,1,1,2,15,anga7587r1zv4ey71ge9zxol3,1,67.3,17.6,2024-08-04T16:04:37.525Z,2024-08-04T17:00:08Z,d854rlweyk5wq6d2veyviukq2,C. Winther,,,5132522229,56,Center,5132522231,140,52.3,5132522233,141,24.1,5132522237,213,2.87,5132522235,212,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706070205,33,1,1,2,19,anga7587r1zv4ey71ge9zxol3,1,47.9,26.2,2024-08-04T16:04:42.101Z,2024-08-04T17:00:19Z,5q5ph311bi310zt1e45u7i7dh,A. Bjelland,,,5132522377,141,47.0,5132522375,140,43.3,5132522379,212,14.9,5132522373,56,Back,5132522381,213,1.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706070241,34,1,1,2,22,anga7587r1zv4ey71ge9zxol3,1,43.4,47.0,2024-08-04T16:04:44.677Z,2024-08-04T17:00:20Z,5kghds186740jygx97bihh6mt,B. Hämäläinen,,,5132522623,140,52.6,5132522621,56,Center,5132522629,213,6.20,5132522627,212,9.7,5132522625,141,45.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706070269,35,1,1,2,25,anga7587r1zv4ey71ge9zxol3,1,47.3,32.4,2024-08-04T16:04:47.653Z,2024-08-04T17:00:27Z,6d0lxiep13vdv32bdb0xwyrys,L. Sandgrav,,,5132522767,213,5.54,5132522759,56,Right,5132522765,212,19.9,5132522763,141,12.6,5132522761,140,61.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706070319,36,1,1,2,27,anga7587r1zv4ey71ge9zxol3,1,61.4,10.0,2024-08-04T16:04:50.229Z,2024-08-04T17:00:28Z,4bstdc3zla1sn85ev3bcmw1lg,T. Storm,,,5132523083,213,5.82,5132523081,212,8.9,5132523075,56,Right,5132523077,140,69.0,5132523079,141,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706070341,37,1,1,2,32,anga7587r1zv4ey71ge9zxol3,1,68.7,6.8,2024-08-04T16:04:55.045Z,2024-08-04T16:04:57Z,bpw4cd5vmghjhelb3uxupmqjt,S. Magnússon,,,5132523189,141,10.6,5132523187,140,47.3,5132523185,56,Back,5132523193,213,3.03,5132523191,212,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706070361,38,1,1,2,34,anga7587r1zv4ey71ge9zxol3,1,46.0,10.1,2024-08-04T16:04:57.044Z,2024-08-04T16:04:59Z,5q5ph311bi310zt1e45u7i7dh,A. Bjelland,,,5132523301,212,16.0,5132523299,141,25.5,5132523297,140,57.5,5132523295,56,Center,5132523303,213,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
