id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/13/value,qualifier/15/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/14/value,qualifier/18/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2795595373,4,12,1,0,12,59as3grjvj19voay31j3yfgni,1,24.8,3.5,2025-04-04T17:02:04.299Z,2025-04-04T21:50:31Z,fwu0bja02waqct7l682s5mfp,K. Mbabu,,,5621666579,141,3.5,5621661351,56,Back,5621666577,140,25.8,5621666583,213,0.00,5621666581,212,1.1,5622779571,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595385,8,61,1,0,13,9w3sjm5ml4sjr2v81oxzdrt8v,1,62.3,91.7,2025-04-04T17:02:05.365Z,2025-04-04T18:08:35Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5621661405,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595405,5,5,1,0,14,59as3grjvj19voay31j3yfgni,1,34.0,-2.0,2025-04-04T17:02:06.700Z,2025-04-04T17:13:10Z,fwu0bja02waqct7l682s5mfp,K. Mbabu,,,5621661503,56,Back,5621661505,347,,5621662249,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595505,10,5,1,0,14,9w3sjm5ml4sjr2v81oxzdrt8v,0,66.0,102.0,2025-04-04T17:02:06.700Z,2025-04-04T17:13:10Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5621661987,56,Left,5621661989,347,,5621662277,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595677,6,1,1,0,35,59as3grjvj19voay31j3yfgni,1,34.7,0.0,2025-04-04T17:02:27.203Z,2025-04-04T17:02:30Z,fwu0bja02waqct7l682s5mfp,K. Mbabu,,,5621662877,213,0.24,5621662875,212,23.3,5621662879,1,,5621662871,140,56.2,5621662873,141,6.2,5621662869,56,Right,5621662867,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595691,7,1,1,0,38,59as3grjvj19voay31j3yfgni,0,56.3,6.2,2025-04-04T17:02:30.356Z,2025-04-04T20:08:43Z,1sdsqfn743j5tqem8ra7sppn8,Franculino Djú,,,5621662945,213,1.32,5622781069,168,,5621662943,212,15.7,5621662937,56,Center,5621662941,141,28.5,5621662935,3,,5621662939,140,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595749,12,1,1,0,40,9w3sjm5ml4sjr2v81oxzdrt8v,1,36.1,61.1,2025-04-04T17:02:32.927Z,2025-04-04T17:02:35Z,effgiwtme6eu08o1ninlnqqqd,D. Høegh,,,5621663225,213,5.72,5621663217,56,Center,5621663219,140,55.9,5621663221,141,41.6,5621663223,212,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595753,8,45,1,0,43,59as3grjvj19voay31j3yfgni,0,43.7,59.3,2025-04-04T17:02:35.821Z,2025-04-04T17:46:04Z,ajhd3cqclubmexhscpd4w4ez9,Paulinho,,,5621663641,233,13,5621663237,56,Back,5621663239,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595825,13,3,1,0,43,9w3sjm5ml4sjr2v81oxzdrt8v,1,56.3,40.7,2025-04-04T17:02:35.821Z,2025-04-04T20:08:53Z,ag40mk09zc8tzbkr7dnnqumay,N. Campbell,,,5621663603,286,,5622781775,465,,5621663627,233,8,5621663599,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595877,14,1,1,0,49,9w3sjm5ml4sjr2v81oxzdrt8v,1,89.9,8.1,2025-04-04T17:02:41.533Z,2025-04-04T17:02:44Z,ag40mk09zc8tzbkr7dnnqumay,N. Campbell,,,5621663845,213,3.07,5621663841,141,10.0,5621663837,56,Right,5621663843,212,18.8,5621663839,140,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595881,15,3,1,0,52,9w3sjm5ml4sjr2v81oxzdrt8v,0,72.0,13.0,2025-04-04T17:02:44.594Z,2025-04-04T20:09:04Z,3cdo7b8vwb5kzeoaxzqm6esk4,S. Hansen,,,5621663861,56,Right,5621663863,286,,5622782461,465,,5621663913,233,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595885,9,7,1,0,52,59as3grjvj19voay31j3yfgni,1,28.0,87.0,2025-04-04T17:02:44.595Z,2025-04-04T20:09:18Z,drlp4xtkta08jiu0px6m4ocq2,O. Sørensen,,,5621663905,233,15,5622783401,178,,5622783399,383,,5621663873,56,Back,5621663875,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595897,10,1,1,0,53,59as3grjvj19voay31j3yfgni,0,28.6,84.8,2025-04-04T17:02:45.459Z,2025-04-04T17:08:55Z,drlp4xtkta08jiu0px6m4ocq2,O. Sørensen,,,5621663973,56,Back,5621664123,286,,5621663979,212,1.1,5621663975,140,28.8,5621664117,236,,5621664119,233,16,5621663977,141,83.2,5621663981,213,4.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595919,16,74,1,0,53,9w3sjm5ml4sjr2v81oxzdrt8v,1,73.1,8.9,2025-04-04T17:02:45.460Z,2025-04-04T18:09:03Z,brsecgiiou4wcogoimzawyhp0,L. Pedersen,,,5621664089,56,Right,5621664093,285,,5621664159,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595953,17,61,1,0,54,9w3sjm5ml4sjr2v81oxzdrt8v,1,76.8,12.1,2025-04-04T17:02:46.726Z,2025-04-04T18:10:14Z,ag40mk09zc8tzbkr7dnnqumay,N. Campbell,,,5621946941,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595965,18,61,1,0,55,9w3sjm5ml4sjr2v81oxzdrt8v,1,80.3,9.6,2025-04-04T17:02:47.949Z,2025-04-04T18:10:16Z,brsecgiiou4wcogoimzawyhp0,L. Pedersen,,,5621947349,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595971,19,43,1,0,56,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2025-04-04T17:02:49.093Z,2025-04-04T20:09:45Z,ag40mk09zc8tzbkr7dnnqumay,N. Campbell,,,5621949405,56,Right,5622785491,144,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595931,11,12,1,0,57,59as3grjvj19voay31j3yfgni,1,24.8,94.7,2025-04-04T17:02:50.036Z,2025-04-04T20:09:54Z,ajhd3cqclubmexhscpd4w4ez9,Paulinho,,,5621664177,141,93.3,5621664175,140,34.9,5621664179,212,10.6,5621664173,56,Back,5621664181,213,6.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795650255,446,1,1,0,58,9w3sjm5ml4sjr2v81oxzdrt8v,1,62.1,8.0,2025-04-04T17:02:50.988Z,2025-04-04T18:11:07Z,8domjmewnw5h6b19vef8w0afp,M. Greve,,,5621960051,140,64.8,5621960053,141,18.2,5621960049,56,Right,5621960055,212,7.5,5621960057,213,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795650267,447,1,1,0,59,9w3sjm5ml4sjr2v81oxzdrt8v,1,63.8,28.9,2025-04-04T17:02:51.418Z,2025-04-04T18:11:16Z,3cdo7b8vwb5kzeoaxzqm6esk4,S. Hansen,,,5621960825,56,Right,5621960839,212,13.4,5621960835,141,13.9,5621960843,213,5.42,5621960831,140,72.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795596039,20,1,1,1,1,9w3sjm5ml4sjr2v81oxzdrt8v,1,72.3,7.4,2025-04-04T17:02:53.813Z,2025-04-04T18:10:35Z,8domjmewnw5h6b19vef8w0afp,M. Greve,,,5621664693,56,Right,5621664701,213,3.44,5621664699,212,9.8,5621664695,140,63.4,5621664697,141,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795596069,21,1,1,1,3,9w3sjm5ml4sjr2v81oxzdrt8v,1,63.4,3.2,2025-04-04T17:02:55.718Z,2025-04-04T18:10:35Z,3cdo7b8vwb5kzeoaxzqm6esk4,S. Hansen,,,5621664835,56,Right,5621664839,141,20.7,5621664841,212,17.2,5621664843,213,2.38,5621664837,140,51.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795596107,22,1,1,1,4,9w3sjm5ml4sjr2v81oxzdrt8v,1,47.1,23.3,2025-04-04T17:02:56.862Z,2025-04-04T17:02:59Z,effgiwtme6eu08o1ninlnqqqd,D. Høegh,,,5621665021,56,Back,5621665023,140,32.3,5621665031,213,2.33,5621665025,141,47.2,5621665027,212,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795596229,23,1,1,1,7,9w3sjm5ml4sjr2v81oxzdrt8v,1,32.5,39.0,2025-04-04T17:02:59.629Z,2025-04-04T17:03:07Z,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,,5621665573,56,Right,5621665571,157,,5621665583,1,,5621665581,213,5.91,5621665577,141,2.5,5621665575,140,93.6,5621665579,212,68.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795596239,24,3,1,1,15,9w3sjm5ml4sjr2v81oxzdrt8v,0,92.4,5.1,2025-04-04T17:03:07.263Z,2025-04-04T20:10:55Z,8domjmewnw5h6b19vef8w0afp,M. Greve,,,5621665627,56,Right,5622791015,465,,5621665629,286,,5621665893,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795596283,12,7,1,1,15,59as3grjvj19voay31j3yfgni,0,7.6,94.9,2025-04-04T17:03:07.264Z,2025-04-04T20:11:02Z,ajhd3cqclubmexhscpd4w4ez9,Paulinho,,,5622791549,178,,5621665803,56,Back,5622791547,385,,5621665805,285,,5621665865,233,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795596251,25,61,1,1,16,9w3sjm5ml4sjr2v81oxzdrt8v,1,93.9,2.5,2025-04-04T17:03:08.292Z,2025-04-04T18:11:44Z,8domjmewnw5h6b19vef8w0afp,M. Greve,,,5621665667,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795596293,13,4,1,1,17,59as3grjvj19voay31j3yfgni,1,6.6,92.2,2025-04-04T17:03:09.259Z,2025-04-04T20:11:09Z,ajhd3cqclubmexhscpd4w4ez9,Paulinho,,,5621665989,233,26,5621665953,13,,5621665957,56,Back,5621665961,285,,5621665955,295,,5621665959,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795596289,26,4,1,1,17,9w3sjm5ml4sjr2v81oxzdrt8v,0,93.4,7.8,2025-04-04T17:03:09.260Z,2025-04-04T20:11:10Z,8domjmewnw5h6b19vef8w0afp,M. Greve,,,5621665907,56,Right,5621665905,295,,5621665909,152,,5621666039,233,13,5621665903,13,,5621665911,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795596701,14,1,1,1,44,59as3grjvj19voay31j3yfgni,1,8.5,89.1,2025-04-04T17:03:36.405Z,2025-04-04T17:03:42Z,7yim2aepctujr2m4p20a97755,E. Ólafsson,,,5621668193,152,,5621668189,5,,5621668191,157,,5621668205,1,,5621668195,56,Center,5621668199,141,75.9,5621668203,213,6.12,5621668197,140,62.0,5621668201,212,56.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795596705,15,44,1,1,50,59as3grjvj19voay31j3yfgni,1,67.5,69.3,2025-04-04T17:03:42.613Z,2025-04-04T17:46:09Z,bwfg9frq2ecbzg7wlzqjtnv2s,P. Bravo,,,5621668249,233,27,5621668221,56,Center,5621668223,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795596709,27,44,1,1,50,9w3sjm5ml4sjr2v81oxzdrt8v,0,32.5,30.7,2025-04-04T17:03:42.614Z,2025-04-04T18:21:07Z,brsecgiiou4wcogoimzawyhp0,L. Pedersen,,,5621668241,285,,5621668267,233,15,5621668239,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795596707,16,1,1,1,50,59as3grjvj19voay31j3yfgni,0,62.0,75.9,2025-04-04T17:03:42.693Z,2025-04-04T17:09:45Z,bwfg9frq2ecbzg7wlzqjtnv2s,P. Bravo,,,5621668237,213,6.26,5621668235,212,9.5,5621668227,168,,5621668229,56,Center,5621668225,3,,5621668233,141,75.6,5621668231,140,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795596747,28,1,1,1,52,9w3sjm5ml4sjr2v81oxzdrt8v,0,26.9,34.4,2025-04-04T17:03:44.399Z,2025-04-04T17:03:46Z,effgiwtme6eu08o1ninlnqqqd,D. Høegh,,,5621668423,56,Center,5621668421,157,,5621668433,1,,5621668431,213,0.35,5621668425,140,53.0,5621668429,212,29.2,5621668427,141,49.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795596737,17,44,1,1,53,59as3grjvj19voay31j3yfgni,1,46.4,52.4,2025-04-04T17:03:45.173Z,2025-04-04T17:46:09Z,ddl5g7raihnc9s4u3wetz8v10,O. Diao,,,5621668359,285,,5621668357,56,Back,5621668551,233,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795596757,29,44,1,1,53,9w3sjm5ml4sjr2v81oxzdrt8v,0,53.6,47.6,2025-04-04T17:03:45.174Z,2025-04-04T18:13:29Z,54ipja7wrxji6kn8yw5uhr6ga,F. Danho,,,5621668485,286,,5621668563,233,17,5621668483,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795596751,18,1,1,1,53,59as3grjvj19voay31j3yfgni,0,45.5,55.4,2025-04-04T17:03:45.462Z,2025-04-04T17:03:46Z,ddl5g7raihnc9s4u3wetz8v10,O. Diao,,,5621668451,56,Center,5621668453,140,62.0,5621668449,3,,5621668457,212,18.9,5621668459,213,0.41,5621668455,141,66.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795596771,30,1,1,1,55,9w3sjm5ml4sjr2v81oxzdrt8v,0,43.2,41.5,2025-04-04T17:03:47.647Z,2025-04-04T18:15:47Z,brsecgiiou4wcogoimzawyhp0,L. Pedersen,,,5621668617,213,5.31,5621668607,3,,5621668609,56,Back,5621668615,212,8.7,5621668611,140,47.9,5621668613,141,30.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795803813,887,8,1,1,55,59as3grjvj19voay31j3yfgni,1,55.8,70.0,2025-04-04T17:03:47.745Z,2025-04-04T20:12:41Z,ajhd3cqclubmexhscpd4w4ez9,Paulinho,,,5622798665,383,,5622797943,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795596799,19,1,1,1,56,59as3grjvj19voay31j3yfgni,0,54.1,75.2,2025-04-04T17:03:49.029Z,2025-04-04T17:23:20Z,ajhd3cqclubmexhscpd4w4ez9,Paulinho,,,5621668723,56,Center,5621743687,212,1.7,5621743685,141,73.6,5621744271,236,,5621743689,213,5.57,5621744273,233,31,5621744277,286,,5621743683,140,55.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795596833,31,74,1,1,56,9w3sjm5ml4sjr2v81oxzdrt8v,1,46.2,26.3,2025-04-04T17:03:49.030Z,2025-04-04T19:18:42Z,8domjmewnw5h6b19vef8w0afp,M. Greve,,,5621668929,56,Back,5621744291,233,19,5621668931,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795596869,20,1,1,1,58,59as3grjvj19voay31j3yfgni,1,52.2,65.2,2025-04-04T17:03:51.029Z,2025-04-04T17:03:55Z,1qcf5gb8wf8f4tu94xh96yqy,Dani Silva,,,5621669135,213,4.81,5621669129,140,54.7,5621669127,56,Center,5621669133,212,27.9,5621669131,141,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795596939,21,1,1,2,5,59as3grjvj19voay31j3yfgni,1,58.1,15.6,2025-04-04T17:03:57.238Z,2025-04-04T17:04:00Z,fwu0bja02waqct7l682s5mfp,K. Mbabu,,,5621669465,141,26.1,5621669469,213,2.77,5621669467,212,19.5,5621669463,140,40.8,5621669461,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795596993,22,1,1,2,8,59as3grjvj19voay31j3yfgni,1,40.8,26.1,2025-04-04T17:04:01.078Z,2025-04-04T17:04:03Z,ddl5g7raihnc9s4u3wetz8v10,O. Diao,,,5621669693,56,Back,5621669701,213,1.50,5621669699,212,28.0,5621669695,140,42.6,5621669697,141,67.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795597009,23,1,1,2,10,59as3grjvj19voay31j3yfgni,0,45.6,69.7,2025-04-04T17:04:02.254Z,2025-04-04T20:14:56Z,a87w6l9zsbahdi4knm1347zs9,M. Bech,,,5621669781,141,68.1,5621669773,56,Back,5621669777,140,49.6,5621669787,212,4.3,5621669791,213,6.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
