id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2750084419,8,5,1,0,12,5rz9enoyknpg8ji78za5b82p0,0,88.2,100.6,2024-11-22T18:02:24.773Z,2024-11-22T18:02:27Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Madsen,,5373840565,233,3,5373840499,56,Left,5373840501,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750084487,4,1,1,0,24,77tfx9me4aaqhzv78bmgsy9bg,0,16.3,0.0,2024-11-22T18:02:37.249Z,2024-11-22T18:02:39Z,7cpkykvmy8ujrahzdz7ksk2c5,P. Ankersen,,5373840885,212,16.9,5373840881,140,31.1,5373840887,213,0.40,5373840877,107,,5373840883,141,8.2,5373840879,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750084507,9,43,1,0,28,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-11-22T18:02:40.793Z,2024-11-22T18:02:49Z,61sojkdsmaz9hbwaskt4rws15,M. Anderson,,5373840977,3,0,5373840983,141,90.2,5373841175,144,1,5373840981,140,66.6,5373840979,56,Left,5373840985,212,5.7,5373840987,213,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750084505,5,4,1,0,29,77tfx9me4aaqhzv78bmgsy9bg,1,34.1,9.0,2024-11-22T18:02:42.062Z,2024-11-22T18:50:41Z,c9e54hwefvwos94ri459uylbe,D. Svensson,,5373840993,13,,5373841057,286,,5373840999,56,Back,5373841003,152,,5373841053,233,10,5373840995,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750084511,10,4,1,0,29,5rz9enoyknpg8ji78za5b82p0,0,65.9,91.0,2024-11-22T18:02:42.063Z,2024-11-22T18:50:41Z,61sojkdsmaz9hbwaskt4rws15,M. Anderson,,5373841045,294,,5373841051,285,,5373841059,233,5,5373841047,56,Left,5373841043,13,,5373841049,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750084521,6,1,1,0,32,77tfx9me4aaqhzv78bmgsy9bg,1,26.0,10.9,2024-11-22T18:02:45.007Z,2024-11-22T18:02:46Z,7cpkykvmy8ujrahzdz7ksk2c5,P. Ankersen,,5373841077,140,22.5,5373841083,213,1.91,5373841075,56,Back,5373841081,212,11.0,5373841071,5,,5373841079,141,26.1,5373841073,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750084545,7,1,1,0,33,77tfx9me4aaqhzv78bmgsy9bg,1,20.2,24.8,2024-11-22T18:02:45.983Z,2024-11-22T20:42:10Z,ddsv1cx4vopu1xis5xwkx2qz8,L. Hey,,5373841159,212,16.0,5373841153,56,Back,5373841157,141,48.3,5373841155,140,19.2,5373841161,213,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750084569,8,1,1,0,36,77tfx9me4aaqhzv78bmgsy9bg,1,22.6,54.3,2024-11-22T18:02:49.199Z,2024-11-22T18:02:54Z,55gunqozsj8gs6oua7ee5xxhx,K. Hansen,,5373841255,141,33.4,5373841257,212,14.3,5373841253,140,23.9,5373841251,56,Back,5373841259,213,4.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750084579,9,1,1,0,41,77tfx9me4aaqhzv78bmgsy9bg,1,30.6,32.7,2024-11-22T18:02:54.511Z,2024-11-22T18:02:57Z,ddsv1cx4vopu1xis5xwkx2qz8,L. Hey,,5373841307,141,65.7,5373841305,140,30.4,5373841311,213,1.58,5373841309,212,22.4,5373841303,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750084593,10,1,1,0,44,77tfx9me4aaqhzv78bmgsy9bg,1,28.8,63.7,2024-11-22T18:02:57.039Z,2024-11-22T18:03:00Z,55gunqozsj8gs6oua7ee5xxhx,K. Hansen,,5373841375,56,Back,5373841383,213,4.57,5373841377,140,26.0,5373841379,141,33.3,5373841381,212,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750084603,11,1,1,0,47,77tfx9me4aaqhzv78bmgsy9bg,1,24.6,32.4,2024-11-22T18:03:00.287Z,2024-11-22T18:03:03Z,ddsv1cx4vopu1xis5xwkx2qz8,L. Hey,,5373841453,141,44.6,5373841451,140,15.3,5373841455,212,12.8,5373841457,213,2.44,5373841449,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750084637,12,1,1,0,50,77tfx9me4aaqhzv78bmgsy9bg,1,15.0,46.4,2024-11-22T18:03:03.134Z,2024-11-22T18:03:07Z,49wkw0wkn4ta18b6657vjvglx,A. Hansen,,5373841641,1,,5373841635,141,93.3,5373841637,212,34.3,5373841633,140,27.0,5373841639,213,1.19,5373841631,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750084645,13,1,1,0,55,77tfx9me4aaqhzv78bmgsy9bg,1,24.8,92.4,2024-11-22T18:03:07.663Z,2024-11-22T18:03:09Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,5373841673,141,82.4,5373841669,56,Back,5373841671,140,16.0,5373841677,213,3.78,5373841675,212,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750084657,14,1,1,0,56,77tfx9me4aaqhzv78bmgsy9bg,1,15.2,80.3,2024-11-22T18:03:09.295Z,2024-11-22T18:03:12Z,55gunqozsj8gs6oua7ee5xxhx,K. Hansen,,5373841741,141,69.4,5373841745,213,5.49,5373841737,56,Back,5373841743,212,10.4,5373841739,140,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750084697,15,1,1,0,59,77tfx9me4aaqhzv78bmgsy9bg,1,24.4,69.1,2024-11-22T18:03:12.159Z,2024-11-22T18:03:17Z,5r1v2w303bvj0vv1893qr5d5h,M. Brink,,5373841915,212,23.3,5373841917,213,4.69,5373841913,141,34.9,5373841911,140,24.0,5373841909,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750084713,16,1,1,1,5,77tfx9me4aaqhzv78bmgsy9bg,1,30.1,34.9,2024-11-22T18:03:17.806Z,2024-11-22T18:03:20Z,ddsv1cx4vopu1xis5xwkx2qz8,L. Hey,,5373841975,141,64.2,5373841979,213,1.50,5373841971,56,Back,5373841977,212,20.0,5373841973,140,31.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750084745,17,1,1,1,7,77tfx9me4aaqhzv78bmgsy9bg,1,34.6,66.1,2024-11-22T18:03:20.287Z,2024-11-22T18:03:25Z,55gunqozsj8gs6oua7ee5xxhx,K. Hansen,,5373842133,212,11.4,5373842125,140,42.0,5373842129,141,78.4,5373842121,56,Back,5373842135,213,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750084763,18,1,1,1,12,77tfx9me4aaqhzv78bmgsy9bg,1,42.0,78.4,2024-11-22T18:03:25.294Z,2024-11-22T18:03:27Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,5373842229,56,Back,5373842235,212,18.0,5373842237,213,4.31,5373842233,141,54.0,5373842231,140,35.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750084775,19,1,1,1,14,77tfx9me4aaqhzv78bmgsy9bg,1,35.6,50.9,2024-11-22T18:03:27.535Z,2024-11-22T18:03:29Z,55gunqozsj8gs6oua7ee5xxhx,K. Hansen,,5373842307,141,23.9,5373842305,140,45.4,5373842311,213,5.22,5373842309,212,21.0,5373842303,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750084789,20,1,1,1,17,77tfx9me4aaqhzv78bmgsy9bg,1,47.3,16.4,2024-11-22T18:03:29.791Z,2024-11-22T18:03:31Z,ddsv1cx4vopu1xis5xwkx2qz8,L. Hey,,5373842397,212,12.9,5373842391,56,Right,5373842399,213,0.21,5373842395,141,20.4,5373842393,140,59.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750084795,21,1,1,1,18,77tfx9me4aaqhzv78bmgsy9bg,1,56.6,15.3,2024-11-22T18:03:31.471Z,2024-11-22T20:43:25Z,7a1vtc0e7ubua2t0dwx9ufk7o,S. Egeli,,5373842439,212,7.3,5373842433,56,Right,5373842437,141,5.2,5373842435,140,54.2,5373842441,213,4.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750084803,22,1,1,1,20,77tfx9me4aaqhzv78bmgsy9bg,1,54.2,5.2,2024-11-22T18:03:32.734Z,2024-11-22T18:03:34Z,7cpkykvmy8ujrahzdz7ksk2c5,P. Ankersen,,5373842481,212,13.2,5373842473,56,Back,5373842485,213,2.00,5373842477,141,22.8,5373842475,140,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750084823,23,1,1,1,21,77tfx9me4aaqhzv78bmgsy9bg,1,51.4,23.5,2024-11-22T18:03:34.239Z,2024-11-22T18:04:48Z,5r1v2w303bvj0vv1893qr5d5h,M. Brink,,5373842603,213,0.98,5373842595,140,59.0,5373842597,141,41.1,5373842599,212,14.4,5373842593,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750085521,28,1,1,1,23,77tfx9me4aaqhzv78bmgsy9bg,1,59.4,38.5,2024-11-22T18:03:36.534Z,2024-11-22T18:05:00Z,c9e54hwefvwos94ri459uylbe,D. Svensson,,5373846031,141,35.2,5373846035,213,5.88,5373846033,212,5.7,5373846029,140,64.4,5373846027,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750084835,24,1,1,1,25,77tfx9me4aaqhzv78bmgsy9bg,1,63.1,39.7,2024-11-22T18:03:37.711Z,2024-11-22T20:43:59Z,4rgz5z372h6sbwhpxl69cb6c5,M. Ingvartsen,,5373842655,212,12.0,5373842649,56,Center,5373842657,213,1.76,5373842651,140,61.0,5373842653,141,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750084851,25,1,1,1,26,77tfx9me4aaqhzv78bmgsy9bg,1,58.4,59.5,2024-11-22T18:03:39.167Z,2024-11-22T20:44:05Z,5uqf7a0y0fd1hf2rrmgx11tuy,B. Nygren,,5373842733,212,4.7,5373842729,140,54.6,5373842727,56,Center,5373842731,141,55.8,5373842735,213,3.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750085781,29,1,1,1,27,77tfx9me4aaqhzv78bmgsy9bg,1,55.1,51.3,2024-11-22T18:03:39.774Z,2024-11-22T20:44:11Z,c9e54hwefvwos94ri459uylbe,D. Svensson,,5373847347,213,1.22,5373847345,212,14.2,5373847339,56,Center,5373847341,140,59.7,5373847343,141,70.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750084885,26,1,1,1,28,77tfx9me4aaqhzv78bmgsy9bg,0,63.6,74.8,2024-11-22T18:03:40.799Z,2024-11-22T20:45:14Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,5373842875,140,96.9,5373842877,141,41.2,5373842883,1,,5374519155,20,,5373842881,213,5.70,5374519153,223,,5373842871,155,,5373842879,212,41.8,5373842869,2,5373842873,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750084889,11,52,1,1,31,5rz9enoyknpg8ji78za5b82p0,1,2.1,58.5,2024-11-22T18:03:44.409Z,2024-11-22T20:45:27Z,1h31bvtbae4q0edlp0u672hn9,J. Hansen,,5374520375,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750084981,12,1,1,1,36,5rz9enoyknpg8ji78za5b82p0,1,15.1,55.6,2024-11-22T18:03:49.226Z,2024-11-22T20:45:40Z,1h31bvtbae4q0edlp0u672hn9,J. Hansen,,5373843277,212,25.7,5373843275,141,17.8,5373843273,140,15.8,5373843269,123,,5373843271,56,Back,5373843279,213,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750213315,802,3,1,1,39,5rz9enoyknpg8ji78za5b82p0,0,14.3,17.0,2024-11-22T18:03:51.762Z,2024-11-22T20:46:15Z,e9lrzsiy94y46h62rnawi3sgl,H. Dalsgaard,,5374524567,56,Back,5374524569,285,,5374524573,467,c9e54hwefvwos94ri459uylbe,5374524571,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750084987,13,4,1,1,42,5rz9enoyknpg8ji78za5b82p0,1,20.2,19.8,2024-11-22T18:03:55.578Z,2024-11-22T18:04:11Z,e9lrzsiy94y46h62rnawi3sgl,H. Dalsgaard,,5373843461,56,Back,5373843465,285,,5373843481,233,27,5373843463,152,,5373843457,13,,5373843969,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750085011,27,4,1,1,42,77tfx9me4aaqhzv78bmgsy9bg,0,79.8,80.2,2024-11-22T18:03:55.579Z,2024-11-22T18:04:10Z,c9e54hwefvwos94ri459uylbe,D. Svensson,,5373843511,233,13,5373843903,265,,5373843433,13,,5373843435,56,Left,5373843437,152,,5373843441,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750085295,14,27,1,2,16,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-11-22T18:04:29.371Z,2024-11-22T18:11:42Z,,,,5373844819,41,Injury,5373844821,53,8og8nxbkcb63van4llvpkbe8l,5373865457,233,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750089437,65,27,1,2,16,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2024-11-22T18:04:29.371Z,2024-11-22T18:11:42Z,,,,5373865437,233,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750086117,15,18,1,3,59,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-11-22T18:06:12.043Z,2024-11-22T18:06:12Z,8og8nxbkcb63van4llvpkbe8l,N. Poulsen,,5373848947,41,,5373848951,59,6,5373848949,44,Midfielder,5373848987,55,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750086119,16,19,1,3,59,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-11-22T18:06:12.044Z,2024-11-22T18:06:12Z,7je01bs3a4q6c2gd02ee6da3u,K. Arnstad,,5373848961,292,7,5373848957,145,11,5373848963,293,3,5373848967,55,15,5373848953,41,,5373848965,44,Midfielder,5373848959,59,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750086187,17,28,1,4,9,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-11-22T18:06:22.434Z,2024-11-22T18:11:43Z,,,,5373865497,233,66,5373849397,55,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750089443,66,28,1,4,9,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2024-11-22T18:06:22.434Z,2024-11-22T18:11:43Z,,,,5373865397,55,65,5373865483,233,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750086247,18,1,1,4,11,5rz9enoyknpg8ji78za5b82p0,1,22.3,25.0,2024-11-22T18:06:23.912Z,2024-11-22T18:06:29Z,e9lrzsiy94y46h62rnawi3sgl,H. Dalsgaard,,5373849713,152,,5373849719,141,53.9,5373849711,5,,5373849723,213,2.33,5373849715,56,Back,5373849717,140,4.6,5373849721,212,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750086269,19,1,1,4,16,5rz9enoyknpg8ji78za5b82p0,1,5.6,49.4,2024-11-22T18:06:29.193Z,2024-11-22T18:06:31Z,1h31bvtbae4q0edlp0u672hn9,J. Hansen,,5373849847,141,6.8,5373849851,213,5.07,5373849849,212,31.0,5373849845,140,16.0,5373849843,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750086315,20,1,1,4,19,5rz9enoyknpg8ji78za5b82p0,0,16.0,6.8,2024-11-22T18:06:31.594Z,2024-11-22T20:49:30Z,e9lrzsiy94y46h62rnawi3sgl,H. Dalsgaard,,5373850081,1,,5373850077,212,30.4,5373850075,141,0.0,5373850073,140,44.4,5373850069,157,,5373850071,56,Back,5373850079,213,6.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750086319,21,5,1,4,21,5rz9enoyknpg8ji78za5b82p0,0,42.2,-2.0,2024-11-22T18:06:33.819Z,2024-11-22T18:11:37Z,aswmi1pnkzkvkexp8ngief6j9,F. Beijmo,,5373850093,347,,5373850091,56,Back,5373850693,233,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750086421,30,5,1,4,21,77tfx9me4aaqhzv78bmgsy9bg,1,57.8,102.0,2024-11-22T18:06:33.819Z,2024-11-22T18:11:36Z,7a1vtc0e7ubua2t0dwx9ufk7o,S. Egeli,,5373850617,56,Left,5373850619,347,,5373850645,233,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750086451,31,1,1,4,34,77tfx9me4aaqhzv78bmgsy9bg,0,63.0,100.0,2024-11-22T18:06:47.565Z,2024-11-22T18:06:49Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,5373850733,107,,5373850739,141,96.3,5373850741,212,12.6,5373850743,213,5.99,5373850737,140,74.5,5373850735,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
