id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/12/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId
2814171431,8,1,1,0,16,czkf5t3ai00ghwbga03i5aqxw,1,32.9,66.0,2025-05-12T17:10:44.757Z,2025-05-12T17:10:48Z,dkc69jkzi4e9ysgmwldz249as,M. Siltanen,,,5723871247,56,Back,5723871255,213,4.54,5723871249,140,29.3,5723871253,212,22.2,5723871251,141,33.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814171463,9,1,1,0,20,czkf5t3ai00ghwbga03i5aqxw,0,30.0,34.6,2025-05-12T17:10:48.796Z,2025-05-12T17:10:53Z,ebhyx7fm13sy9qjf4vylzg89h,J. Une Larsson,,,5723871447,212,46.8,5723871441,56,Right,5723871443,140,71.1,5723871439,155,,5723871451,1,,5723871449,213,5.88,5723871445,141,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814171471,4,44,1,0,24,evf5hhqgnjhwjsth1m6pawxdp,1,29.0,89.5,2025-05-12T17:10:52.422Z,2025-05-12T17:10:54Z,ckwgkqxv6u28byqau4rz47efp,A. Trondsen,,,5723871487,233,10,5723871479,285,,5723871477,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814171467,10,44,1,0,24,czkf5t3ai00ghwbga03i5aqxw,0,71.4,12.2,2025-05-12T17:10:52.423Z,2025-05-12T17:10:54Z,a3jetivxcnpp4z36nhboz5ysq,S. Haarala,,,5723871459,56,Right,5723871509,233,4,5723871461,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814171487,5,1,1,0,25,evf5hhqgnjhwjsth1m6pawxdp,0,27.8,84.4,2025-05-12T17:10:53.306Z,2025-05-12T17:10:55Z,ckwgkqxv6u28byqau4rz47efp,A. Trondsen,,,5723871557,3,,5723871563,141,78.1,5723871561,140,37.7,5723871567,213,5.89,5723871565,212,11.2,5723871559,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814171493,11,61,1,0,28,czkf5t3ai00ghwbga03i5aqxw,0,61.7,18.8,2025-05-12T17:10:55.941Z,2025-05-12T17:10:56Z,6051gs5j7d6zss35h2twoqnd,H. Finndell,,,5723871611,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814171585,7,1,1,0,33,evf5hhqgnjhwjsth1m6pawxdp,1,40.4,71.1,2025-05-12T17:11:01.227Z,2025-05-12T17:11:02Z,1dy0207jxgg8gvuygsd95wdn8,D. Kruse,,,5723872031,56,Left,5723872037,141,86.8,5723872035,140,63.7,5723872041,213,0.41,5723872027,155,,5723872039,212,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814171605,8,1,1,0,34,evf5hhqgnjhwjsth1m6pawxdp,1,60.5,86.0,2025-05-12T17:11:02.666Z,2025-05-12T17:11:04Z,d9ta7wtarys9urr5lzoxqv3d,T. Heintz,,,5723872177,140,42.5,5723872175,56,Back,5723872179,141,73.9,5723872183,213,3.55,5723872181,212,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814175533,78,1,1,0,35,evf5hhqgnjhwjsth1m6pawxdp,1,44.6,72.2,2025-05-12T17:11:03.021Z,2025-05-12T17:18:08Z,1dy0207jxgg8gvuygsd95wdn8,D. Kruse,,,5723895285,141,78.1,5723895275,56,Back,5723895289,212,8.4,5723895291,213,2.64,5723895279,140,37.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814171639,9,1,1,0,36,evf5hhqgnjhwjsth1m6pawxdp,1,41.1,77.0,2025-05-12T17:11:04.299Z,2025-05-12T17:11:07Z,3tbz518udos9vb9bqypn9il7t,A. Erlingmark,,,5723872299,212,7.3,5723872295,140,40.2,5723872301,213,1.70,5723872293,56,Back,5723872297,141,87.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814171667,10,1,1,0,39,evf5hhqgnjhwjsth1m6pawxdp,1,38.0,90.5,2025-05-12T17:11:07.091Z,2025-05-12T17:11:10Z,ckwgkqxv6u28byqau4rz47efp,A. Trondsen,,,5723872477,213,3.68,5723872469,56,Back,5723872473,141,66.9,5723872471,140,12.3,5723872475,212,31.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814171771,11,1,1,0,42,evf5hhqgnjhwjsth1m6pawxdp,1,15.8,66.0,2025-05-12T17:11:10.315Z,2025-05-12T17:11:18Z,1k2svnzs4woe6gpegqlrxjjf8,E. Bishesari,,,5723873063,212,21.4,5723873061,141,90.2,5723873059,140,28.9,5723873065,213,0.87,5723873055,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814171791,12,1,1,0,50,evf5hhqgnjhwjsth1m6pawxdp,0,29.9,80.3,2025-05-12T17:11:18.515Z,2025-05-12T17:18:57Z,3tbz518udos9vb9bqypn9il7t,A. Erlingmark,,,5723873141,213,5.62,5723873143,1,,5723873135,140,66.3,5723873137,141,36.3,5723873131,155,,5723873133,56,Center,5723873139,212,48.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814171803,12,12,1,0,51,czkf5t3ai00ghwbga03i5aqxw,1,30.8,78.4,2025-05-12T17:11:19.173Z,2025-05-12T17:19:35Z,ab3og2sas7q4czd31wbdbnro,K. Kosugi,,,5723873201,212,10.2,5723873203,213,5.99,5723873195,56,Back,5723873239,15,,5723873199,141,74.1,5723873197,140,40.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814171855,13,1,1,0,51,evf5hhqgnjhwjsth1m6pawxdp,1,61.1,28.9,2025-05-12T17:11:19.723Z,2025-05-12T17:19:36Z,1vla5l510mtb859zevvplneju,F. Eriksson,,,5723873467,141,38.2,5723873463,56,Center,5723873465,140,62.7,5723873471,213,1.31,5723873469,212,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814171863,14,1,1,0,52,evf5hhqgnjhwjsth1m6pawxdp,0,63.0,36.3,2025-05-12T17:11:20.002Z,2025-05-12T17:19:37Z,2vfhae70oyyzm0qttlckworqi,A. Carlén,,,5723873503,56,Center,5723873507,141,25.0,5723873505,140,72.2,5723873509,212,12.3,5723873511,213,5.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814171869,13,61,1,0,57,czkf5t3ai00ghwbga03i5aqxw,0,28.3,75.4,2025-05-12T17:11:25.340Z,2025-05-12T17:11:25Z,ebhyx7fm13sy9qjf4vylzg89h,J. Une Larsson,,,5723873529,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814171899,15,1,1,0,59,evf5hhqgnjhwjsth1m6pawxdp,0,68.4,15.2,2025-05-12T17:11:27.691Z,2025-05-12T17:19:32Z,4w0adddkbx4642lkebbcmxbzd,E. Marković,,,5723873675,141,17.6,5723899585,286,,5723900007,233,14,5723873671,56,Right,5723873677,212,2.7,5723873673,140,66.3,5723873679,213,2.50,5723899579,236,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814171891,14,74,1,0,59,czkf5t3ai00ghwbga03i5aqxw,1,29.4,86.0,2025-05-12T17:11:27.692Z,2025-05-12T17:19:32Z,3bepi58wwope38a478y7jwlxw,A. Priske,,,5723873627,285,,5723899935,233,15,5723873625,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814171909,15,12,1,1,0,czkf5t3ai00ghwbga03i5aqxw,1,27.4,92.6,2025-05-12T17:11:28.860Z,2025-05-12T17:19:53Z,ab3og2sas7q4czd31wbdbnro,K. Kosugi,,,5723873731,212,7.5,5723873733,213,1.02,5723873725,56,Back,5723873727,140,31.1,5723873777,167,,5723873729,141,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814171935,16,5,1,1,1,evf5hhqgnjhwjsth1m6pawxdp,1,66.6,-2.0,2025-05-12T17:11:29.343Z,2025-05-12T17:56:43Z,4w0adddkbx4642lkebbcmxbzd,E. Marković,,,5723873863,233,16,5723873827,347,,5723873825,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814171913,16,5,1,1,1,czkf5t3ai00ghwbga03i5aqxw,0,33.4,102.0,2025-05-12T17:11:29.343Z,2025-05-12T17:11:33Z,23p0dby12ymf55wwi0xz2fnx1,M. Danielson,,,5723873745,347,,5723873897,233,16,5723873743,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814172023,17,1,1,1,6,evf5hhqgnjhwjsth1m6pawxdp,1,63.3,0.0,2025-05-12T17:11:34.667Z,2025-05-12T17:11:37Z,1vla5l510mtb859zevvplneju,F. Eriksson,,,5723874273,56,Back,5723874277,141,22.2,5723874271,107,,5723874275,140,37.7,5723874281,213,2.59,5723874283,1,,5723874279,212,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814172061,18,1,1,1,9,evf5hhqgnjhwjsth1m6pawxdp,1,44.3,36.3,2025-05-12T17:11:37.691Z,2025-05-12T17:11:42Z,2erjnb3l5mngpxyicnzhk7phx,G. Svensson,,,5723874467,141,66.7,5723874463,140,42.8,5723874459,56,Back,5723874475,213,1.65,5723874473,212,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814172089,19,1,1,1,14,evf5hhqgnjhwjsth1m6pawxdp,1,56.4,66.3,2025-05-12T17:11:42.116Z,2025-05-12T17:11:44Z,3tbz518udos9vb9bqypn9il7t,A. Erlingmark,,,5723874599,56,Left,5723874603,141,92.6,5723874607,213,1.04,5723874601,140,66.5,5723874605,212,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814172111,20,1,1,1,16,evf5hhqgnjhwjsth1m6pawxdp,1,65.9,90.2,2025-05-12T17:11:44.730Z,2025-05-12T17:11:46Z,ckwgkqxv6u28byqau4rz47efp,A. Trondsen,,,5723874677,140,66.6,5723874679,141,73.0,5723874681,212,11.7,5723874683,213,4.78,5723874675,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814172155,21,1,1,1,18,evf5hhqgnjhwjsth1m6pawxdp,1,66.1,71.8,2025-05-12T17:11:46.547Z,2025-05-12T17:11:50Z,bm0bafkutd9qb9qee06cys9re,I. Jagne,,,5723874883,212,14.7,5723874881,141,89.4,5723874885,213,2.19,5723874877,56,Left,5723874879,140,57.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814172171,22,1,1,1,22,evf5hhqgnjhwjsth1m6pawxdp,1,42.3,84.1,2025-05-12T17:11:50.819Z,2025-05-12T17:11:52Z,3tbz518udos9vb9bqypn9il7t,A. Erlingmark,,,5723874949,56,Back,5723874955,212,25.3,5723874951,140,29.5,5723874957,213,4.15,5723874953,141,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814172203,23,1,1,1,24,evf5hhqgnjhwjsth1m6pawxdp,1,30.2,50.4,2025-05-12T17:11:51.914Z,2025-05-12T17:11:55Z,1k2svnzs4woe6gpegqlrxjjf8,E. Bishesari,,,5723875129,212,13.4,5723875131,213,5.06,5723875125,140,34.6,5723875123,56,Back,5723875127,141,31.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814172251,24,1,1,1,27,evf5hhqgnjhwjsth1m6pawxdp,1,40.0,34.9,2025-05-12T17:11:55.602Z,2025-05-12T17:12:01Z,2erjnb3l5mngpxyicnzhk7phx,G. Svensson,,,5723875419,1,,5723875415,212,34.9,5723875413,141,11.3,5723875417,213,5.81,5723875409,56,Right,5723875411,140,69.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814172301,25,1,1,1,33,evf5hhqgnjhwjsth1m6pawxdp,1,68.4,13.4,2025-05-12T17:12:01.371Z,2025-05-12T17:12:06Z,4w0adddkbx4642lkebbcmxbzd,E. Marković,,,5723875651,212,35.9,5723875653,213,2.72,5723875655,1,,5723875649,141,34.9,5723875647,140,37.2,5723875645,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814172361,26,1,1,1,38,evf5hhqgnjhwjsth1m6pawxdp,1,59.4,29.4,2025-05-12T17:12:06.267Z,2025-05-12T17:12:12Z,2erjnb3l5mngpxyicnzhk7phx,G. Svensson,,,5723876003,212,21.0,5723876001,141,11.6,5723876005,213,5.67,5723875997,56,Right,5723875999,140,75.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814172367,27,1,1,1,44,evf5hhqgnjhwjsth1m6pawxdp,0,92.4,12.8,2025-05-12T17:12:12.093Z,2025-05-12T17:12:13Z,4w0adddkbx4642lkebbcmxbzd,E. Marković,,,5723876047,141,47.0,5723876041,155,,5723876043,56,Center,5723876051,213,1.58,5723876039,2,,5723876049,212,23.3,5723876045,140,92.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814172391,17,12,1,1,45,czkf5t3ai00ghwbga03i5aqxw,1,9.7,61.2,2025-05-12T17:12:13.396Z,2025-05-12T17:12:17Z,23p0dby12ymf55wwi0xz2fnx1,M. Danielson,,,5723876235,212,35.0,5723876267,167,,5723876237,213,0.92,5723876233,141,100.0,5723876229,56,Back,5723876231,140,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814172397,18,5,1,1,49,czkf5t3ai00ghwbga03i5aqxw,0,32.2,101.8,2025-05-12T17:12:17.263Z,2025-05-12T17:12:23Z,23p0dby12ymf55wwi0xz2fnx1,M. Danielson,,,5723876253,347,,5723876251,56,Back,5723876437,233,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814172425,28,5,1,1,49,evf5hhqgnjhwjsth1m6pawxdp,1,67.8,-1.8,2025-05-12T17:12:17.263Z,2025-05-12T17:56:43Z,2vfhae70oyyzm0qttlckworqi,A. Carlén,,,5723876405,56,Right,5723876411,233,18,5723876407,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814172515,29,1,1,2,0,evf5hhqgnjhwjsth1m6pawxdp,1,65.5,0.0,2025-05-12T17:12:28.651Z,2025-05-12T17:21:15Z,1vla5l510mtb859zevvplneju,F. Eriksson,,,5723905993,189,,5723876929,141,10.7,5723876923,107,,5723876927,140,75.6,5723876933,213,0.65,5723876931,212,13.3,5723876925,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814172519,19,83,1,2,2,czkf5t3ai00ghwbga03i5aqxw,0,32.2,83.2,2025-05-12T17:12:30.012Z,2025-05-12T17:21:36Z,ab3og2sas7q4czd31wbdbnro,K. Kosugi,,,5723877339,399,4w0adddkbx4642lkebbcmxbzd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814172535,30,1,1,2,3,evf5hhqgnjhwjsth1m6pawxdp,1,73.9,8.8,2025-05-12T17:12:30.930Z,2025-05-12T17:12:33Z,4w0adddkbx4642lkebbcmxbzd,E. Marković,,,5723877047,56,Right,5723877049,140,68.9,5723877055,213,2.66,5723877053,212,5.9,5723877051,141,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814172533,20,83,1,2,4,czkf5t3ai00ghwbga03i5aqxw,0,35.2,78.1,2025-05-12T17:12:32.108Z,2025-05-12T17:12:38Z,2zjl0xu23wp9j6ciq25irsq38,I. Alemayehu,,,5723877313,399,1vla5l510mtb859zevvplneju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814172543,31,1,1,2,4,evf5hhqgnjhwjsth1m6pawxdp,1,68.9,12.8,2025-05-12T17:12:32.171Z,2025-05-12T17:12:34Z,1vla5l510mtb859zevvplneju,F. Eriksson,,,5723877137,140,64.3,5723877139,141,25.9,5723877135,56,Center,5723877143,213,2.07,5723877141,212,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814172557,32,1,1,2,6,evf5hhqgnjhwjsth1m6pawxdp,1,64.4,32.2,2025-05-12T17:12:34.476Z,2025-05-12T17:12:37Z,1dy0207jxgg8gvuygsd95wdn8,D. Kruse,,,5723877245,141,78.8,5723877249,213,1.44,5723877247,212,32.0,5723877241,56,Center,5723877243,140,68.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814172561,33,1,1,2,9,evf5hhqgnjhwjsth1m6pawxdp,1,68.5,79.0,2025-05-12T17:12:36.954Z,2025-05-12T17:12:40Z,ckwgkqxv6u28byqau4rz47efp,A. Trondsen,,,5723877265,56,Left,5723877273,213,0.16,5723877269,141,81.1,5723877271,212,8.7,5723877267,140,76.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814172617,34,1,1,2,11,evf5hhqgnjhwjsth1m6pawxdp,1,77.0,83.8,2025-05-12T17:12:39.003Z,2025-05-12T17:12:44Z,bm0bafkutd9qb9qee06cys9re,I. Jagne,,,5723877575,140,82.3,5723877581,213,0.98,5723877577,141,95.9,5723877573,56,Left,5723877579,212,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814172625,21,45,1,2,16,czkf5t3ai00ghwbga03i5aqxw,0,19.2,13.4,2025-05-12T17:12:43.963Z,2025-05-12T17:12:45Z,6051gs5j7d6zss35h2twoqnd,H. Finndell,,,5723877717,233,35,5723877627,56,Back,5723877629,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814172633,35,3,1,2,16,evf5hhqgnjhwjsth1m6pawxdp,1,79.8,84.6,2025-05-12T17:12:43.963Z,2025-05-12T17:12:46Z,d9ta7wtarys9urr5lzoxqv3d,T. Heintz,,,5723877671,286,,5723877707,233,21,5723877669,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814172649,36,1,1,2,17,evf5hhqgnjhwjsth1m6pawxdp,1,81.6,93.9,2025-05-12T17:12:44.915Z,2025-05-12T17:12:47Z,d9ta7wtarys9urr5lzoxqv3d,T. Heintz,,,5723877761,141,87.8,5723877763,212,6.1,5723877765,213,5.54,5723877759,140,85.9,5723877757,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814172663,37,1,1,2,19,evf5hhqgnjhwjsth1m6pawxdp,0,85.5,84.1,2025-05-12T17:12:46.971Z,2025-05-12T17:12:48Z,ckwgkqxv6u28byqau4rz47efp,A. Trondsen,,,5723877825,212,7.5,5723877819,56,Center,5723877827,213,4.03,5723877821,140,81.0,5723877823,141,75.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814172673,22,1,1,2,21,czkf5t3ai00ghwbga03i5aqxw,0,25.2,24.7,2025-05-12T17:12:49.252Z,2025-05-12T17:12:50Z,2zjl0xu23wp9j6ciq25irsq38,I. Alemayehu,,,5723877917,213,4.99,5723877913,141,13.2,5723877909,56,Back,5723877911,140,27.3,5723877915,212,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
