id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value
2796084573,6,1,1,0,14,evf5hhqgnjhwjsth1m6pawxdp,0,17.5,94.4,2025-04-05T13:01:13.865Z,2025-04-05T13:01:15Z,8s2p8s6huogpkao0lce8m5n8,N. Tolf,,5624304819,140,40.0,5624304821,141,68.8,5624304815,157,,5624304823,212,29.3,5624304827,1,,5624304825,213,5.65,5624304817,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796084607,6,1,1,0,16,6i936isoyj6d0uuxdj537uc97,0,46.7,40.3,2025-04-05T13:01:16.397Z,2025-04-05T13:01:17Z,c36ffo382u9flu5foebt4di39,P. Gregor,,5624304961,3,,5624304969,212,13.7,5624304967,141,37.1,5624304963,56,Center,5624304965,140,59.6,5624304971,213,6.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796084677,7,1,1,0,19,evf5hhqgnjhwjsth1m6pawxdp,1,32.4,75.6,2025-04-05T13:01:19.080Z,2025-04-05T13:08:19Z,b4bzaam658g6wf3knwxlghas5,R. Lundqvist,,5624305321,56,Center,5624305327,212,24.2,5624305323,140,55.4,5624305325,141,75.4,5624305329,213,6.28,5624305319,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796084635,7,43,1,0,19,6i936isoyj6d0uuxdj537uc97,1,0.0,0.0,2025-04-05T13:01:19.173Z,2025-04-05T13:01:27Z,c36ffo382u9flu5foebt4di39,P. Gregor,,5624305115,285,0,5624305759,144,44,5624305113,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796084685,8,4,1,0,21,evf5hhqgnjhwjsth1m6pawxdp,1,52.8,68.4,2025-04-05T13:01:21.316Z,2025-04-05T13:09:34Z,80s55a7uw8kypoikefwhtdm5m,M. Fenger,,5624305543,13,,5624305549,152,,5624305547,56,Center,5624305573,233,8,5624305551,286,,5624356429,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796084661,8,4,1,0,21,6i936isoyj6d0uuxdj537uc97,0,47.2,31.6,2025-04-05T13:01:21.317Z,2025-04-05T13:09:32Z,c36ffo382u9flu5foebt4di39,P. Gregor,,5624305517,152,,5624305511,13,,5624305515,56,Back,5624305519,285,,5624305589,233,8,5624356197,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796085271,9,27,1,0,54,6i936isoyj6d0uuxdj537uc97,1,0.0,0.0,2025-04-05T13:01:54.263Z,2025-04-05T13:01:59Z,,,,5624308481,53,c36ffo382u9flu5foebt4di39,5624308561,233,9,5624308479,41,Injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796085255,9,27,1,0,54,evf5hhqgnjhwjsth1m6pawxdp,1,0.0,0.0,2025-04-05T13:01:54.263Z,2025-04-05T13:01:59Z,,,,5624308515,233,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796085641,10,28,1,1,14,evf5hhqgnjhwjsth1m6pawxdp,1,0.0,0.0,2025-04-05T13:02:14.143Z,2025-04-05T13:02:16Z,,,,5624310539,233,10,5624310501,55,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796085615,10,28,1,1,14,6i936isoyj6d0uuxdj537uc97,1,0.0,0.0,2025-04-05T13:02:14.143Z,2025-04-05T13:02:17Z,,,,5624310571,233,10,5624310357,55,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796085999,11,1,1,1,37,evf5hhqgnjhwjsth1m6pawxdp,1,53.5,76.3,2025-04-05T13:02:37.609Z,2025-04-05T13:10:08Z,1dy0207jxgg8gvuygsd95wdn8,D. Kruse,,5624312489,213,4.37,5624312479,152,,5624312481,56,Back,5624312487,212,19.9,5624312483,140,47.2,5624312477,5,,5624312485,141,48.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796086037,12,1,1,1,40,evf5hhqgnjhwjsth1m6pawxdp,1,45.9,45.7,2025-04-05T13:02:39.929Z,2025-04-05T13:02:43Z,2erjnb3l5mngpxyicnzhk7phx,G. Svensson,,5624312743,213,1.52,5624312739,212,15.5,5624312735,141,68.5,5624312731,140,46.7,5624312727,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796086105,13,1,1,1,43,evf5hhqgnjhwjsth1m6pawxdp,1,45.6,75.0,2025-04-05T13:02:42.921Z,2025-04-05T13:02:46Z,3tbz518udos9vb9bqypn9il7t,A. Erlingmark,,5624313129,140,59.5,5624313131,141,96.3,5624313127,56,Left,5624313133,212,20.6,5624313135,213,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796086181,14,1,1,1,46,evf5hhqgnjhwjsth1m6pawxdp,1,56.4,84.7,2025-04-05T13:02:46.104Z,2025-04-05T13:10:55Z,d9ta7wtarys9urr5lzoxqv3d,T. Heintz,,5624313517,56,Back,5624313525,212,20.4,5624313527,213,2.93,5624313523,141,90.9,5624313521,140,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796086217,15,1,1,1,50,evf5hhqgnjhwjsth1m6pawxdp,0,38.8,84.5,2025-04-05T13:02:49.882Z,2025-04-05T13:02:51Z,3tbz518udos9vb9bqypn9il7t,A. Erlingmark,,5624313719,155,,5624313729,212,57.4,5624313725,140,70.4,5624313721,196,,5624313731,213,5.33,5624313723,56,Right,5624313733,1,,5624313727,141,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796086249,11,44,1,1,52,6i936isoyj6d0uuxdj537uc97,1,29.4,84.4,2025-04-05T13:02:52.080Z,2025-04-05T13:54:40Z,9bmo8w8t7slkzbb5owilyoqju,G. Friberg,,5624313927,285,,5624313925,56,Back,5624313977,233,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796086255,16,44,1,1,52,evf5hhqgnjhwjsth1m6pawxdp,0,70.6,15.6,2025-04-05T13:02:52.081Z,2025-04-05T13:54:40Z,4w0adddkbx4642lkebbcmxbzd,E. Marković,,5624313945,56,Right,5624366115,233,11,5624313947,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796086309,12,12,1,1,53,6i936isoyj6d0uuxdj537uc97,1,23.8,84.5,2025-04-05T13:02:52.653Z,2025-04-05T13:11:19Z,9bmo8w8t7slkzbb5owilyoqju,G. Friberg,,5624314219,141,80.2,5624314215,56,Back,5624367323,15,,5624314221,212,14.9,5624314223,213,6.09,5624314217,140,37.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796096413,72,1,1,1,53,6i936isoyj6d0uuxdj537uc97,1,33.8,77.5,2025-04-05T13:02:53.559Z,2025-04-05T13:12:06Z,e9q5sweea5ymhqqwh5tucuzth,N. Mäenpää,,5624372181,212,14.5,5624372177,140,31.5,5624372183,213,4.55,5624372175,56,Back,5624372179,141,56.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796086351,13,1,1,1,56,6i936isoyj6d0uuxdj537uc97,1,36.6,63.6,2025-04-05T13:02:56.061Z,2025-04-05T13:12:29Z,edzj7i715cpyuuumcttajkc0l,J. Allansson,,5624314429,56,Center,5624314431,140,54.3,5624374515,155,,5624314437,213,0.28,5624314433,141,71.4,5624314435,212,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796086365,14,3,1,1,58,6i936isoyj6d0uuxdj537uc97,0,56.9,68.2,2025-04-05T13:02:58.126Z,2025-04-05T13:24:27Z,8uzx6yb66zjn0ke2rwqlg7wus,Y. Agnero,,5624314559,56,Center,5624315129,233,17,5624314561,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796086467,17,7,1,1,58,evf5hhqgnjhwjsth1m6pawxdp,0,43.1,31.8,2025-04-05T13:02:58.127Z,2025-04-05T13:24:27Z,94i0qwhb3xu4pu37gofme9mnd,K. Þórðarson,,5624315053,285,,5624315051,56,Back,5624315099,233,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796097691,81,61,1,1,59,6i936isoyj6d0uuxdj537uc97,1,50.1,66.0,2025-04-05T13:02:59.175Z,2025-04-05T13:13:06Z,8uzx6yb66zjn0ke2rwqlg7wus,Y. Agnero,,5624378615,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796098473,130,1,1,2,0,evf5hhqgnjhwjsth1m6pawxdp,1,50.4,36.4,2025-04-05T13:02:59.764Z,2025-04-05T13:14:44Z,1dy0207jxgg8gvuygsd95wdn8,D. Kruse,,5624388547,213,3.38,5624388543,141,32.9,5624388541,140,41.2,5624388539,56,Back,5624388545,212,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796098479,131,1,1,2,0,evf5hhqgnjhwjsth1m6pawxdp,1,38.2,30.9,2025-04-05T13:02:59.955Z,2025-04-05T13:15:04Z,2erjnb3l5mngpxyicnzhk7phx,G. Svensson,,5624390685,140,50.0,5624390689,212,20.1,5624390683,56,Center,5624390687,141,54.2,5624390691,213,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796086495,18,1,1,2,4,evf5hhqgnjhwjsth1m6pawxdp,1,40.1,58.2,2025-04-05T13:03:04.633Z,2025-04-05T13:03:06Z,d9ta7wtarys9urr5lzoxqv3d,T. Heintz,,5624315167,140,34.1,5624315169,141,50.1,5624315165,56,Back,5624315171,212,8.4,5624315173,213,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796086533,19,1,1,2,6,evf5hhqgnjhwjsth1m6pawxdp,1,33.2,49.7,2025-04-05T13:03:05.832Z,2025-04-05T13:03:08Z,2erjnb3l5mngpxyicnzhk7phx,G. Svensson,,5624315327,141,75.9,5624315333,213,1.56,5624315323,56,Back,5624315331,212,17.8,5624315325,140,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796086625,20,1,1,2,8,evf5hhqgnjhwjsth1m6pawxdp,1,33.5,76.7,2025-04-05T13:03:08.185Z,2025-04-05T13:03:12Z,3tbz518udos9vb9bqypn9il7t,A. Erlingmark,,5624315769,140,57.5,5624315775,213,0.45,5624315773,212,28.0,5624315765,56,Left,5624315771,141,94.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796086643,21,1,1,2,12,evf5hhqgnjhwjsth1m6pawxdp,0,59.4,86.9,2025-04-05T13:03:12.218Z,2025-04-05T13:03:13Z,8s2p8s6huogpkao0lce8m5n8,N. Tolf,,5624315903,56,Center,5624315907,140,75.1,5624315911,141,22.4,5624315899,196,,5624315917,213,5.07,5624315921,1,,5624315915,212,46.9,5624315897,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796086681,15,12,1,2,13,6i936isoyj6d0uuxdj537uc97,1,27.3,81.8,2025-04-05T13:03:13.406Z,2025-04-05T13:03:15Z,9bmo8w8t7slkzbb5owilyoqju,G. Friberg,,5624316109,141,81.2,5624316113,213,6.25,5624316111,212,11.7,5624316107,140,38.4,5624316105,56,Back,5624316133,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796086717,16,1,1,2,16,6i936isoyj6d0uuxdj537uc97,0,38.4,81.2,2025-04-05T13:03:15.742Z,2025-04-05T13:03:16Z,e9q5sweea5ymhqqwh5tucuzth,N. Mäenpää,,5624316321,212,9.4,5624316315,56,Back,5624316323,213,3.78,5624316319,141,72.9,5624316317,140,31.2,5624316313,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796101061,98,83,1,2,18,6i936isoyj6d0uuxdj537uc97,0,24.6,78.1,2025-04-05T13:03:18.063Z,2025-04-05T13:16:35Z,eikthetfmpxyeqsisa7vs3hsl,G. Eyjólfsson,,5624400059,399,94i0qwhb3xu4pu37gofme9mnd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796086767,22,1,1,2,19,evf5hhqgnjhwjsth1m6pawxdp,0,74.4,21.7,2025-04-05T13:03:19.612Z,2025-04-05T13:16:44Z,94i0qwhb3xu4pu37gofme9mnd,K. Þórðarson,,5624400801,212,1.1,5624401093,236,,5624400799,141,21.3,5624400803,213,6.03,5624401095,233,17,5624401099,286,,5624316557,56,Center,5624400797,140,75.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796087019,17,74,1,2,19,6i936isoyj6d0uuxdj537uc97,1,31.4,77.8,2025-04-05T13:03:19.613Z,2025-04-05T13:16:44Z,9bmo8w8t7slkzbb5owilyoqju,G. Friberg,,5624317805,56,Back,5624401125,233,22,5624317807,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796086913,23,1,1,2,24,evf5hhqgnjhwjsth1m6pawxdp,1,54.7,23.4,2025-04-05T13:03:23.881Z,2025-04-05T13:03:26Z,1dy0207jxgg8gvuygsd95wdn8,D. Kruse,,5624317333,56,Right,5624317337,140,61.1,5624317343,213,5.31,5624317341,212,12.0,5624317339,141,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796086953,24,1,1,2,26,evf5hhqgnjhwjsth1m6pawxdp,1,60.0,14.9,2025-04-05T13:03:26.521Z,2025-04-05T13:03:28Z,dp55sn2vl9mg3tpjby7peun3e,T. Santos,,5624317529,212,13.8,5624317525,140,57.2,5624317523,56,Center,5624317527,141,34.8,5624317531,213,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796087007,25,1,1,2,29,evf5hhqgnjhwjsth1m6pawxdp,1,57.1,38.3,2025-04-05T13:03:28.698Z,2025-04-05T13:03:31Z,1dy0207jxgg8gvuygsd95wdn8,D. Kruse,,5624317759,1,,5624317749,56,Left,5624317755,212,42.2,5624317757,213,1.09,5624317753,141,93.2,5624317751,140,75.8,5624317747,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796087011,26,61,1,2,31,evf5hhqgnjhwjsth1m6pawxdp,0,75.8,93.8,2025-04-05T13:03:31.418Z,2025-04-05T13:03:31Z,d9ta7wtarys9urr5lzoxqv3d,T. Heintz,,5624317767,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796087395,18,5,1,2,31,6i936isoyj6d0uuxdj537uc97,1,21.2,-1.6,2025-04-05T13:03:31.448Z,2025-04-05T13:57:44Z,5h0by2ot7i2z6daqdqj6nyiqy,A. Boman,,5624319765,347,,5624319801,233,27,5624319763,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796087033,27,5,1,2,31,evf5hhqgnjhwjsth1m6pawxdp,0,78.8,101.6,2025-04-05T13:03:31.448Z,2025-04-05T13:57:44Z,d9ta7wtarys9urr5lzoxqv3d,T. Heintz,,5624319833,233,18,5624317911,56,Left,5624317913,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796087525,19,1,1,2,34,6i936isoyj6d0uuxdj537uc97,0,18.7,0.0,2025-04-05T13:03:34.189Z,2025-04-05T13:57:17Z,9uumw2ntt4397bee2p3m2qdt6,G. Wallentin,,5624320509,212,44.6,5624320513,1,,5624320501,107,,5624320503,56,Right,5624320511,213,0.12,5624320507,141,5.6,5624320505,140,60.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796087651,29,1,1,2,59,evf5hhqgnjhwjsth1m6pawxdp,1,34.9,86.5,2025-04-05T13:03:58.922Z,2025-04-05T13:04:06Z,3tbz518udos9vb9bqypn9il7t,A. Erlingmark,,5624321251,140,18.5,5624321247,56,Back,5624321265,213,3.91,5624321257,141,62.0,5624321261,212,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796087663,30,1,1,3,0,evf5hhqgnjhwjsth1m6pawxdp,0,21.3,57.2,2025-04-05T13:04:00.154Z,2025-04-05T13:19:38Z,b6xqk78ndtb9qmjtlavgj02qx,P. Dahlberg,,5624321353,56,Left,5624321357,140,68.3,5624321365,213,0.37,5624321349,155,,5624321361,141,85.6,5624321367,1,,5624321363,212,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796087709,20,12,1,3,9,6i936isoyj6d0uuxdj537uc97,1,22.1,12.6,2025-04-05T13:04:09.446Z,2025-04-05T13:04:12Z,5h0by2ot7i2z6daqdqj6nyiqy,A. Boman,,5624321635,141,0.0,5624321663,15,,5624321631,140,21.9,5624321801,167,,5624321637,212,9.9,5624321627,56,Back,5624321639,213,4.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796087737,21,5,1,3,10,6i936isoyj6d0uuxdj537uc97,0,24.8,-2.0,2025-04-05T13:04:10.267Z,2025-04-05T13:57:45Z,5h0by2ot7i2z6daqdqj6nyiqy,A. Boman,,5624321807,233,31,5624321721,56,Back,5624321723,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796087719,31,5,1,3,10,evf5hhqgnjhwjsth1m6pawxdp,1,75.2,102.0,2025-04-05T13:04:10.267Z,2025-04-05T13:57:45Z,b6xqk78ndtb9qmjtlavgj02qx,P. Dahlberg,,5624321789,233,21,5624321675,347,,5624321673,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796087801,32,1,1,3,14,evf5hhqgnjhwjsth1m6pawxdp,1,70.4,100.0,2025-04-05T13:04:13.657Z,2025-04-05T13:17:56Z,d9ta7wtarys9urr5lzoxqv3d,T. Heintz,,5624322099,140,62.0,5624322105,213,4.03,5624322103,212,14.1,5624322101,141,85.9,5624408729,189,,5624322097,56,Left,5624322095,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796087843,33,1,1,3,16,evf5hhqgnjhwjsth1m6pawxdp,1,62.0,85.9,2025-04-05T13:04:15.913Z,2025-04-05T13:04:18Z,94i0qwhb3xu4pu37gofme9mnd,K. Þórðarson,,5624322329,212,7.8,5624322327,141,95.0,5624322323,56,Left,5624322331,213,2.23,5624322325,140,57.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
