id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2818865719,5,5,1,0,13,5mbo4f0vps12dr0fcvjn3wyp5,1,33.6,-1.9,2025-05-25T14:30:43.380Z,2025-05-25T14:35:41Z,b11ffe62rpm020r3u6t1lhvx1,M. Thychosen,,5749939715,347,,5749939713,56,Back,5749939717,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818865717,7,5,1,0,13,ac8jow4mdkvnsv5s0och4qqm,0,66.4,101.9,2025-05-25T14:30:43.380Z,2025-05-25T14:30:48Z,7qgiqoaaarr6c2bs4yffqwju2,V. Lind,,5749939711,347,,5749939739,233,5,5749939709,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818865789,6,1,1,0,23,5mbo4f0vps12dr0fcvjn3wyp5,1,41.5,0.0,2025-05-25T14:30:52.858Z,2025-05-25T14:30:56Z,b11ffe62rpm020r3u6t1lhvx1,M. Thychosen,,5749940161,213,0.46,5749940159,212,27.4,5749940163,1,,5749940147,107,,5749940149,56,Right,5749940155,141,16.1,5749940151,140,64.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818865799,7,44,1,0,26,5mbo4f0vps12dr0fcvjn3wyp5,1,63.7,9.4,2025-05-25T14:30:56.249Z,2025-05-25T15:41:38Z,azvjk1schroxi2dq22hwnqr1m,A. Kakoullis,,5749940193,286,,5749940313,233,8,5749940189,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818865815,8,44,1,0,26,ac8jow4mdkvnsv5s0och4qqm,0,36.3,90.6,2025-05-25T14:30:56.250Z,2025-05-25T15:41:38Z,4smb0sorl9dms1k26si6tbqzu,F. Christensen,,5749940331,233,7,5749940299,56,Back,5749940301,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818865807,8,1,1,0,27,5mbo4f0vps12dr0fcvjn3wyp5,0,65.0,16.1,2025-05-25T14:30:56.747Z,2025-05-25T14:30:57Z,azvjk1schroxi2dq22hwnqr1m,A. Kakoullis,,5749940259,141,27.1,5749940261,212,7.8,5749940263,213,1.86,5749940255,56,Center,5749940253,3,,5749940257,140,62.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818865817,9,83,1,0,28,5mbo4f0vps12dr0fcvjn3wyp5,0,62.8,31.6,2025-05-25T14:30:58.424Z,2025-05-25T14:31:03Z,8ez1awevbmegf1z0kgjtp048a,Á. Csongvai,,5749940541,399,aykbbz6l05b9t5n8uaxp6n2fo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818865895,10,1,1,0,30,ac8jow4mdkvnsv5s0och4qqm,1,42.9,68.8,2025-05-25T14:31:00.331Z,2025-05-25T14:31:08Z,aykbbz6l05b9t5n8uaxp6n2fo,L. Arrhov,,5749940711,212,31.4,5749940713,213,4.73,5749940709,141,22.7,5749940705,56,Back,5749940707,140,43.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818865903,11,1,1,0,38,ac8jow4mdkvnsv5s0och4qqm,0,90.9,3.8,2025-05-25T14:31:08.027Z,2025-05-25T14:31:09Z,aqjwz3wm0it916o2vb5tz9vxl,A. Timossi Andersson,,5749940771,213,1.49,5749940769,212,23.9,5749940765,140,92.7,5749940759,2,,5749940761,155,,5749940763,56,Center,5749940767,141,38.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818865905,10,12,1,0,39,5mbo4f0vps12dr0fcvjn3wyp5,1,7.7,60.8,2025-05-25T14:31:08.841Z,2025-05-25T14:31:14Z,cwkz9uxtres4bockr3spd4hxx,S. Papagiannopoulos,,5749940777,140,23.5,5749940781,212,25.2,5749940783,213,0.85,5749940779,141,88.7,5749940789,15,,5749940775,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818865933,12,61,1,0,44,ac8jow4mdkvnsv5s0och4qqm,0,86.0,2.3,2025-05-25T14:31:13.659Z,2025-05-25T14:31:13Z,aykbbz6l05b9t5n8uaxp6n2fo,L. Arrhov,,5749940931,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818865951,11,5,1,0,44,5mbo4f0vps12dr0fcvjn3wyp5,1,14.6,101.4,2025-05-25T14:31:14.249Z,2025-05-25T14:31:17Z,8ez1awevbmegf1z0kgjtp048a,Á. Csongvai,,5749941023,233,13,5749941011,347,,5749941009,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818865943,13,5,1,0,44,ac8jow4mdkvnsv5s0och4qqm,0,85.4,-1.4,2025-05-25T14:31:14.249Z,2025-05-25T14:35:42Z,aykbbz6l05b9t5n8uaxp6n2fo,L. Arrhov,,5749940975,347,,5749941029,233,11,5749940973,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818866069,12,1,1,1,4,5mbo4f0vps12dr0fcvjn3wyp5,1,17.7,100.0,2025-05-25T14:31:34.345Z,2025-05-25T14:31:37Z,eyqeg6wzhjibkt4zs5dfgzc9h,D. Beširović,,5749941691,140,33.5,5749941695,212,18.0,5749941693,141,91.7,5749941689,56,Back,5749941697,213,5.88,5749941687,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818866071,13,44,1,1,7,5mbo4f0vps12dr0fcvjn3wyp5,1,31.6,94.8,2025-05-25T14:31:36.954Z,2025-05-25T15:41:39Z,prvbf3gxwflgzxuvgvb7ls5x,B. Celina,,5749941709,233,14,5749941701,56,Back,5749941703,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818866073,14,44,1,1,7,ac8jow4mdkvnsv5s0och4qqm,0,68.4,5.2,2025-05-25T14:31:36.955Z,2025-05-25T15:41:39Z,aqjwz3wm0it916o2vb5tz9vxl,A. Timossi Andersson,,5749941753,233,13,5749941707,286,,5749941705,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818866081,14,1,1,1,7,5mbo4f0vps12dr0fcvjn3wyp5,1,33.5,91.7,2025-05-25T14:31:37.017Z,2025-05-25T14:44:37Z,prvbf3gxwflgzxuvgvb7ls5x,B. Celina,,5749941769,212,4.0,5749941765,141,89.4,5749941759,168,,5749941761,56,Back,5749941757,3,,5749941763,140,37.0,5749941773,213,5.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818866085,15,50,1,1,9,5mbo4f0vps12dr0fcvjn3wyp5,1,38.3,87.9,2025-05-25T14:31:38.486Z,2025-05-25T15:31:33Z,azvjk1schroxi2dq22hwnqr1m,A. Kakoullis,,5749941785,56,Back,5749975635,233,127,5749941787,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818871827,127,7,1,1,9,ac8jow4mdkvnsv5s0och4qqm,1,61.7,12.1,2025-05-25T14:31:38.487Z,2025-05-25T15:31:33Z,253za05jf3mmaqkjndm10d2lm,H. Karlsson,,5749975617,233,15,5749975591,285,,5749975589,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818866115,15,1,1,1,9,ac8jow4mdkvnsv5s0och4qqm,1,68.8,15.5,2025-05-25T14:31:39.067Z,2025-05-25T14:46:00Z,hm7w2b4a6j0q3bprq118r5uy,A. Jakobsen,,5749941917,141,6.4,5749941919,212,10.3,5749941921,213,3.78,5749941913,56,Right,5749941915,140,60.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818866125,17,1,1,1,12,ac8jow4mdkvnsv5s0och4qqm,1,60.9,6.4,2025-05-25T14:31:41.707Z,2025-05-25T14:45:19Z,253za05jf3mmaqkjndm10d2lm,H. Karlsson,,5749941987,141,28.8,5749941989,212,22.2,5749941983,56,Back,5749941991,213,2.39,5749941985,140,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818866173,18,1,1,1,13,ac8jow4mdkvnsv5s0och4qqm,1,45.4,28.8,2025-05-25T14:31:42.763Z,2025-05-25T14:45:12Z,8unnvgvft6knxupbp9oxh621h,E. Hovland,,5749942309,1,,5749942297,196,,5749942307,213,1.32,5749942299,56,Left,5749942303,141,95.4,5749942301,140,56.4,5749942305,212,46.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818866201,19,1,1,1,18,ac8jow4mdkvnsv5s0och4qqm,1,56.5,95.6,2025-05-25T14:31:48.395Z,2025-05-25T14:32:15Z,4smb0sorl9dms1k26si6tbqzu,F. Christensen,1.0,5749942449,141,71.8,5749942455,1,,5749942451,212,42.4,5749942453,213,5.89,5749943347,210,13,5749943349,154,,5749942447,140,93.8,5749942445,56,Center,5749942443,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818866205,20,13,1,1,21,ac8jow4mdkvnsv5s0och4qqm,1,93.0,71.3,2025-05-25T14:31:50.915Z,2025-05-25T14:46:39Z,7qgiqoaaarr6c2bs4yffqwju2,V. Lind,,5749942475,56,Center,5749942471,22,,5749943389,328,,5749943393,231,53.6,5749943375,29,,5749943387,108,,5749943383,102,56.6,5749942771,72,,5749942473,64,5749943379,55,19,5749943391,230,99.0,5749943373,86,5749943385,103,48.6,5749943377,154,,,,,,,,,,,,,,,
2818866197,16,5,1,1,22,5mbo4f0vps12dr0fcvjn3wyp5,1,-0.9,51.0,2025-05-25T14:31:51.930Z,2025-05-25T14:35:42Z,azvjk1schroxi2dq22hwnqr1m,A. Kakoullis,,5749942565,233,21,5749942429,346,,5749942427,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818866229,21,5,1,1,22,ac8jow4mdkvnsv5s0och4qqm,0,100.9,49.0,2025-05-25T14:31:51.930Z,2025-05-25T14:35:42Z,7qgiqoaaarr6c2bs4yffqwju2,V. Lind,,5749942581,233,16,5749942555,56,Center,5749942557,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818866529,17,1,1,2,3,5mbo4f0vps12dr0fcvjn3wyp5,1,5.4,43.3,2025-05-25T14:32:32.633Z,2025-05-25T14:32:38Z,eahcgnvlq1tkswvjuovyzxxw5,F. Benković,,5749944207,56,Center,5749944205,124,,5749944217,1,,5749944209,140,70.2,5749944221,74,,5749944213,212,68.2,5749944215,213,6.22,5749944211,141,36.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818866535,18,44,1,2,7,5mbo4f0vps12dr0fcvjn3wyp5,1,67.0,27.7,2025-05-25T14:32:37.002Z,2025-05-25T15:41:39Z,azvjk1schroxi2dq22hwnqr1m,A. Kakoullis,,5749944263,286,,5749944261,56,Center,5749944277,233,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818866523,22,44,1,2,7,ac8jow4mdkvnsv5s0och4qqm,0,33.0,72.3,2025-05-25T14:32:37.003Z,2025-05-25T15:41:40Z,17zz0x6tm20e9yfh4q5ehaf9x,S. Martinsson Ngouali,,5749944191,285,,5749944291,233,18,5749944189,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818866551,19,1,1,2,8,5mbo4f0vps12dr0fcvjn3wyp5,0,70.2,36.3,2025-05-25T14:32:37.473Z,2025-05-25T14:48:38Z,azvjk1schroxi2dq22hwnqr1m,A. Kakoullis,,5749944333,3,,5749944335,168,,5749944337,56,Center,5749944343,212,1.4,5749981849,189,,5749944345,213,0.00,5749944341,141,36.3,5749944339,140,71.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818866575,21,43,1,2,8,5mbo4f0vps12dr0fcvjn3wyp5,1,0.0,0.0,2025-05-25T14:32:38.233Z,2025-05-25T14:48:47Z,b0rem4wo1p6sumrp6mb77f11w,K. Karlsson,,5749982191,144,61,5749981781,189,0,5749944497,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818873201,184,61,1,2,9,ac8jow4mdkvnsv5s0och4qqm,1,32.9,75.2,2025-05-25T14:32:39.019Z,2025-05-25T14:49:01Z,17zz0x6tm20e9yfh4q5ehaf9x,S. Martinsson Ngouali,,5749982527,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818866571,20,1,1,2,10,5mbo4f0vps12dr0fcvjn3wyp5,0,69.9,32.8,2025-05-25T14:32:40.073Z,2025-05-25T14:48:41Z,99i96gbkvesmh3wspv8rl1ln9,A. Salétros,,5749944475,213,0.94,5749944465,3,,5749944471,141,38.5,5749944473,212,4.8,5749944469,140,72.6,5749944467,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818866567,23,43,1,2,12,ac8jow4mdkvnsv5s0och4qqm,1,0.0,0.0,2025-05-25T14:32:41.757Z,2025-05-25T14:32:58Z,17zz0x6tm20e9yfh4q5ehaf9x,S. Martinsson Ngouali,,5749945063,144,83,5749944597,399,azvjk1schroxi2dq22hwnqr1m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818866609,24,4,1,2,15,ac8jow4mdkvnsv5s0och4qqm,1,29.2,70.4,2025-05-25T14:32:45.113Z,2025-05-25T14:32:49Z,,,,5749944737,285,,5749944725,10,,5749944761,233,22,5749944733,152,,5749944727,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818866605,22,4,1,2,15,5mbo4f0vps12dr0fcvjn3wyp5,0,70.8,29.6,2025-05-25T14:32:45.114Z,2025-05-25T14:32:49Z,azvjk1schroxi2dq22hwnqr1m,A. Kakoullis,,5749944767,233,24,5749944693,56,Center,5749944695,152,,5749944691,10,,5749944697,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818866685,25,1,1,2,29,ac8jow4mdkvnsv5s0och4qqm,0,29.6,73.8,2025-05-25T14:32:59.155Z,2025-05-25T14:33:07Z,8unnvgvft6knxupbp9oxh621h,E. Hovland,,5749945159,5,,5749945163,196,,5749945167,56,Right,5749945309,189,,5749945173,212,67.7,5749945169,140,71.4,5749945177,1,,5749945165,152,,5749945161,155,5749945171,141,0.0,5749945175,213,5.42,,,,,,,,,,,,,,,,,,,,,,
2818866691,23,5,1,2,34,5mbo4f0vps12dr0fcvjn3wyp5,1,24.6,102.0,2025-05-25T14:33:03.600Z,2025-05-25T14:35:43Z,eyqeg6wzhjibkt4zs5dfgzc9h,D. Beširović,,5749945211,56,Back,5749945213,347,,5749945219,233,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818866687,26,5,1,2,34,ac8jow4mdkvnsv5s0och4qqm,0,75.4,-2.0,2025-05-25T14:33:03.600Z,2025-05-25T14:33:07Z,8unnvgvft6knxupbp9oxh621h,E. Hovland,,5749945179,56,Right,5749945227,233,23,5749945181,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818866795,24,1,1,2,51,5mbo4f0vps12dr0fcvjn3wyp5,1,18.7,100.0,2025-05-25T14:33:20.731Z,2025-05-25T14:33:22Z,eyqeg6wzhjibkt4zs5dfgzc9h,D. Beširović,,5749945847,140,26.1,5749945843,107,,5749945845,56,Back,5749945853,213,5.41,5749945849,141,88.4,5749945851,212,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818866819,25,1,1,2,52,5mbo4f0vps12dr0fcvjn3wyp5,0,26.1,88.4,2025-05-25T14:33:22.122Z,2025-05-25T14:33:27Z,8ez1awevbmegf1z0kgjtp048a,Á. Csongvai,,5749945979,213,6.19,5749945973,140,39.1,5749945975,141,86.5,5749945971,56,Back,5749945981,1,,5749945977,212,13.7,5749945969,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818866807,27,44,1,2,55,ac8jow4mdkvnsv5s0och4qqm,1,60.4,14.9,2025-05-25T14:33:24.748Z,2025-05-25T15:41:40Z,17zz0x6tm20e9yfh4q5ehaf9x,S. Martinsson Ngouali,,5749945915,56,Right,5749946035,233,26,5749945917,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818866821,26,44,1,2,55,5mbo4f0vps12dr0fcvjn3wyp5,0,39.6,85.1,2025-05-25T14:33:24.749Z,2025-05-25T15:41:40Z,alxccjq2y6il5yjw108a0axnt,J. Hove,,5749946041,233,27,5749945987,285,,5749945985,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818866813,28,1,1,2,55,ac8jow4mdkvnsv5s0och4qqm,0,59.2,17.3,2025-05-25T14:33:25.117Z,2025-05-25T14:33:26Z,17zz0x6tm20e9yfh4q5ehaf9x,S. Martinsson Ngouali,,5749945945,140,70.2,5749945941,3,,5749945943,56,Right,5749945951,213,0.20,5749945949,212,11.8,5749945947,141,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818866857,27,1,1,2,56,5mbo4f0vps12dr0fcvjn3wyp5,0,34.2,85.9,2025-05-25T14:33:25.505Z,2025-05-25T14:51:05Z,8ez1awevbmegf1z0kgjtp048a,Á. Csongvai,,5749946171,56,Back,5749946175,141,91.8,5749946173,140,36.8,5749946179,213,0.97,5749946169,3,,5749946177,212,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818866861,28,44,1,2,57,5mbo4f0vps12dr0fcvjn3wyp5,1,36.8,88.2,2025-05-25T14:33:27.251Z,2025-05-25T14:53:00Z,prvbf3gxwflgzxuvgvb7ls5x,B. Celina,,5749946205,285,,5749946203,56,Back,5749989541,233,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818866839,29,44,1,2,57,ac8jow4mdkvnsv5s0och4qqm,0,63.2,11.8,2025-05-25T14:33:27.252Z,2025-05-25T14:53:00Z,aykbbz6l05b9t5n8uaxp6n2fo,L. Arrhov,,5749946089,56,Right,5749989561,233,28,5749946091,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818874297,149,1,1,2,57,5mbo4f0vps12dr0fcvjn3wyp5,0,41.0,91.4,2025-05-25T14:33:27.279Z,2025-05-25T14:54:02Z,prvbf3gxwflgzxuvgvb7ls5x,B. Celina,,5749989343,56,Back,5749989341,3,,5749989345,140,41.6,5749989347,141,69.7,5749989349,212,14.8,5749989351,213,4.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
