id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/10/value,qualifier/14/value,qualifier/16/value
2813583895,7,1,1,0,15,46yo78zak2j7kaxc5ak1fnm60,1,64.3,95.4,2025-05-11T14:31:31.031Z,2025-05-11T14:31:33Z,7qsp3fm0wkymgiej6s7jj06p5,M. Diaby,,,5720639661,141,96.2,5720639655,56,Left,5720639665,213,0.03,5720639663,212,17.1,5720639659,140,80.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813583901,8,61,1,0,17,46yo78zak2j7kaxc5ak1fnm60,0,80.9,96.2,2025-05-11T14:31:32.823Z,2025-05-11T14:31:33Z,2mk86jc25lu7lqklnvntxmtxw,M. Rafferty,,,5720639689,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813583953,6,1,1,0,18,93ohqui2qgqm8408viwmm1ken,1,24.2,6.7,2025-05-11T14:31:34.378Z,2025-05-11T14:31:36Z,4yg4i2wvdz87rrxpn0rqn2xg5,J. Stryger Larsen,,,5720639899,56,Back,5720639907,213,2.20,5720639901,140,9.4,5720639905,212,26.5,5720639903,141,38.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813583983,7,1,1,0,20,93ohqui2qgqm8408viwmm1ken,0,9.3,38.2,2025-05-11T14:31:36.537Z,2025-05-11T14:31:39Z,cj7aybqox4kzoicnzea7b64t1,Ricardo Friedrich,,,5720640091,157,,5720640099,212,42.2,5720640093,56,Back,5720640095,140,49.3,5720640097,141,44.3,5720640103,1,,5720640101,213,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584023,9,12,1,0,25,46yo78zak2j7kaxc5ak1fnm60,1,45.3,54.0,2025-05-11T14:31:41.289Z,2025-05-11T14:31:44Z,b5kncgqkpiofwduo2snjz74dl,J. Pikkarainen,,,5720640395,15,,5720640355,140,64.7,5720640361,212,24.6,5720640351,56,Center,5720640363,213,5.69,5720640359,141,33.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584075,8,1,1,0,28,93ohqui2qgqm8408viwmm1ken,1,42.2,82.0,2025-05-11T14:31:44.666Z,2025-05-11T14:31:47Z,carpl05zgalgbsd6gnk3akc89,Gabriel Busanello,,,5720640627,213,0.43,5720640623,141,93.8,5720640625,212,19.3,5720640619,56,Left,5720640621,140,58.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584081,9,3,1,0,31,93ohqui2qgqm8408viwmm1ken,0,58.2,93.0,2025-05-11T14:31:47.069Z,2025-05-11T14:31:52Z,7hugqbtot3c8fmxtfqld9l15g,H. Bolin,,,5720640665,286,,5720640663,56,Left,5720640797,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584099,10,7,1,0,31,46yo78zak2j7kaxc5ak1fnm60,1,41.8,7.0,2025-05-11T14:31:47.070Z,2025-05-11T14:41:20Z,ec6qqle54cq9gck2jhnbpjzs9,E. Lindell,,,5720640767,167,,5720640785,233,9,5720640771,285,,5720640769,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584103,10,5,1,0,32,93ohqui2qgqm8408viwmm1ken,1,56.2,102.0,2025-05-11T14:31:48.551Z,2025-05-11T14:32:50Z,7hugqbtot3c8fmxtfqld9l15g,H. Bolin,,,5720640937,233,11,5720640805,347,,5720640803,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584127,11,5,1,0,32,46yo78zak2j7kaxc5ak1fnm60,0,43.8,-2.0,2025-05-11T14:31:48.551Z,2025-05-11T14:32:50Z,3n6cx9whi75ybd9h6pv7i3mga,L. Hien,,,5720640927,347,,5720640925,56,Back,5720640941,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584203,11,1,1,0,38,93ohqui2qgqm8408viwmm1ken,1,46.9,100.0,2025-05-11T14:31:54.363Z,2025-05-11T14:32:00Z,carpl05zgalgbsd6gnk3akc89,Gabriel Busanello,,,5720641341,140,33.5,5720641349,213,3.81,5720641339,56,Back,5720641343,141,85.1,5720641345,212,18.0,5720641371,189,,5720641337,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584215,12,1,1,0,44,93ohqui2qgqm8408viwmm1ken,1,35.6,82.9,2025-05-11T14:32:00.362Z,2025-05-11T14:32:01Z,7si8brq1p8o6fvw93hq9v9bmc,N. Zätterström,,,5720641419,141,47.3,5720641421,212,24.9,5720641415,56,Back,5720641423,213,4.47,5720641451,189,,5720641417,140,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584227,13,1,1,0,45,93ohqui2qgqm8408viwmm1ken,1,30.0,47.3,2025-05-11T14:32:01.786Z,2025-05-11T14:32:02Z,as6coaak724tr7igyz1wwlfc9,C. Rösler,,,5720641527,213,5.02,5720641521,140,34.4,5720641519,56,Back,5720641523,141,25.8,5720641525,212,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584287,14,1,1,0,46,93ohqui2qgqm8408viwmm1ken,1,34.4,25.8,2025-05-11T14:32:02.731Z,2025-05-11T14:32:07Z,4yg4i2wvdz87rrxpn0rqn2xg5,J. Stryger Larsen,,,5720641861,213,5.41,5720641857,141,8.9,5720641859,212,15.0,5720641853,56,Back,5720641855,140,43.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584305,15,1,1,0,51,93ohqui2qgqm8408viwmm1ken,1,44.0,10.0,2025-05-11T14:32:07.578Z,2025-05-11T14:32:55Z,4az5n8aekw6ipzu7fagqhkys4,E. Ekong,,,5720641961,141,35.7,5720641965,213,2.25,5720641959,140,30.5,5720641963,212,22.5,5720641957,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584339,16,1,1,0,53,93ohqui2qgqm8408viwmm1ken,1,30.5,35.7,2025-05-11T14:32:09.323Z,2025-05-11T14:32:12Z,as6coaak724tr7igyz1wwlfc9,C. Rösler,,,5720642195,140,31.1,5720642193,56,Back,5720642199,212,28.6,5720642201,213,1.55,5720642197,141,77.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584439,17,1,1,0,59,93ohqui2qgqm8408viwmm1ken,1,46.0,82.4,2025-05-11T14:32:15.499Z,2025-05-11T14:32:18Z,7si8brq1p8o6fvw93hq9v9bmc,N. Zätterström,,,5720642693,140,36.7,5720642695,141,59.7,5720642691,56,Back,5720642699,213,4.15,5720642697,212,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584489,18,1,1,1,2,93ohqui2qgqm8408viwmm1ken,1,41.0,60.8,2025-05-11T14:32:17.995Z,2025-05-11T14:32:21Z,as6coaak724tr7igyz1wwlfc9,C. Rösler,,,5720642901,56,Back,5720642909,213,0.86,5720642905,141,68.8,5720642903,140,45.5,5720642907,212,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584531,19,1,1,1,5,93ohqui2qgqm8408viwmm1ken,1,45.9,59.1,2025-05-11T14:32:21.354Z,2025-05-11T14:32:24Z,azcjwvw9799e6bawnlcb0lt2i,L. Berg Johnsen,,,5720643205,56,Back,5720643213,213,4.71,5720643209,141,32.5,5720643207,140,45.8,5720643211,212,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584573,20,1,1,1,8,93ohqui2qgqm8408viwmm1ken,1,45.7,28.9,2025-05-11T14:32:24.315Z,2025-05-11T14:32:27Z,4yg4i2wvdz87rrxpn0rqn2xg5,J. Stryger Larsen,,,5720643443,56,Right,5720643445,140,58.5,5720643449,212,18.5,5720643451,213,5.52,5720643447,141,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584613,21,1,1,1,11,93ohqui2qgqm8408viwmm1ken,0,59.6,10.1,2025-05-11T14:32:27.548Z,2025-05-11T14:32:30Z,d58ji96mcnebbci6skc46x9uc,O. Rosengren,,,5720643669,155,,5720643671,56,Center,5720643681,1,,5720643679,213,0.77,5720643675,141,50.3,5720643673,140,86.2,5720643677,212,39.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584685,13,1,1,1,18,46yo78zak2j7kaxc5ak1fnm60,1,10.4,49.0,2025-05-11T14:32:34.519Z,2025-05-11T14:32:36Z,6pdqmo7vuzy9lt7v6vvmqybu2,R. Forsell,,,5720644049,212,30.1,5720644041,123,,5720644045,140,24.4,5720644043,56,Back,5720644047,141,87.7,5720644051,213,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584727,14,1,1,1,20,46yo78zak2j7kaxc5ak1fnm60,1,24.4,87.7,2025-05-11T14:32:36.649Z,2025-05-11T14:32:39Z,a4f6z4alegkvrhm4k864w9lg5,Sebastian Jonas Ohlsson,,,5720644327,140,37.3,5720644325,56,Back,5720644331,212,15.2,5720644329,141,97.7,5720644333,213,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584737,15,1,1,1,23,46yo78zak2j7kaxc5ak1fnm60,1,38.2,95.7,2025-05-11T14:32:38.872Z,2025-05-11T14:32:39Z,7qsp3fm0wkymgiej6s7jj06p5,M. Diaby,,,5720644377,212,8.0,5720644373,140,36.7,5720644375,141,84.2,5720644371,56,Back,5720644379,213,4.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584749,16,1,1,1,23,46yo78zak2j7kaxc5ak1fnm60,1,36.7,84.2,2025-05-11T14:32:39.593Z,2025-05-11T14:32:40Z,9ajfpzjfipsub15tats3mo2j9,C. Gravius,,,5720644451,212,9.4,5720644449,141,92.7,5720644443,56,Back,5720644453,213,0.67,5720644447,140,43.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584783,17,1,1,1,24,46yo78zak2j7kaxc5ak1fnm60,1,43.7,92.7,2025-05-11T14:32:40.727Z,2025-05-11T14:42:53Z,2mk86jc25lu7lqklnvntxmtxw,M. Rafferty,,,5720644667,213,4.92,5720644665,212,8.1,5720644663,141,81.1,5720644659,56,Back,5720644661,140,45.3,5720695283,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813585129,19,61,1,1,25,46yo78zak2j7kaxc5ak1fnm60,0,63.5,93.0,2025-05-11T14:32:41.783Z,2025-05-11T14:33:09Z,c2pfggtw5hreyomdwogbhjpqs,E. Barsoum,,,5720646539,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584785,18,5,1,1,28,46yo78zak2j7kaxc5ak1fnm60,0,61.2,101.6,2025-05-11T14:32:44.199Z,2025-05-11T14:32:47Z,c2pfggtw5hreyomdwogbhjpqs,E. Barsoum,,,5720644673,347,,5720644671,56,Left,5720644769,233,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584789,22,5,1,1,28,93ohqui2qgqm8408viwmm1ken,1,38.8,-1.6,2025-05-11T14:32:44.199Z,2025-05-11T14:32:51Z,4yg4i2wvdz87rrxpn0rqn2xg5,J. Stryger Larsen,,,5720644717,233,18,5720644691,347,,5720644689,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813585075,23,1,1,1,46,93ohqui2qgqm8408viwmm1ken,1,43.7,0.0,2025-05-11T14:33:02.796Z,2025-05-11T14:33:04Z,4yg4i2wvdz87rrxpn0rqn2xg5,J. Stryger Larsen,,,5720646201,141,15.2,5720646195,107,,5720646199,140,46.7,5720646205,213,1.31,5720646197,56,Back,5720646203,212,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813585103,24,1,1,1,48,93ohqui2qgqm8408viwmm1ken,1,46.7,15.2,2025-05-11T14:33:04.093Z,2025-05-11T14:33:05Z,329r6jq5pn0m174v3berarh90,D. Guðjohnsen,,,5720646373,213,2.36,5720646365,56,Back,5720646369,141,25.5,5720646371,212,9.9,5720646367,140,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813585137,25,1,1,1,49,93ohqui2qgqm8408viwmm1ken,1,40.0,25.5,2025-05-11T14:33:05.788Z,2025-05-11T14:33:08Z,azcjwvw9799e6bawnlcb0lt2i,L. Berg Johnsen,,,5720646571,140,30.8,5720646567,56,Back,5720646581,213,2.29,5720646579,212,14.6,5720646577,141,41.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813585163,26,1,1,1,52,93ohqui2qgqm8408viwmm1ken,1,30.0,51.6,2025-05-11T14:33:07.916Z,2025-05-11T14:33:11Z,7si8brq1p8o6fvw93hq9v9bmc,N. Zätterström,,,5720646721,212,22.6,5720646725,213,0.91,5720646713,140,43.2,5720646709,56,Back,5720646717,141,77.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813585209,27,1,1,1,55,93ohqui2qgqm8408viwmm1ken,1,53.1,87.2,2025-05-11T14:33:11.680Z,2025-05-11T14:33:16Z,carpl05zgalgbsd6gnk3akc89,Gabriel Busanello,,,5720646933,140,68.7,5720646935,141,95.6,5720646929,56,Left,5720646943,213,0.34,5720646939,212,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813585201,20,83,1,1,59,46yo78zak2j7kaxc5ak1fnm60,0,34.2,7.0,2025-05-11T14:33:15.336Z,2025-05-11T14:33:17Z,ec6qqle54cq9gck2jhnbpjzs9,E. Lindell,,,5720647031,399,dvi2tleym136aqpvwfi4lustm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813585211,28,1,1,2,0,93ohqui2qgqm8408viwmm1ken,1,52.2,94.7,2025-05-11T14:33:16.492Z,2025-05-11T14:33:18Z,dvi2tleym136aqpvwfi4lustm,T. Ali,,,5720646957,141,72.6,5720646955,140,44.1,5720646953,56,Back,5720646959,212,17.3,5720646961,213,4.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813585365,29,1,1,2,2,93ohqui2qgqm8408viwmm1ken,1,44.5,70.3,2025-05-11T14:33:18.556Z,2025-05-11T14:33:28Z,azcjwvw9799e6bawnlcb0lt2i,L. Berg Johnsen,,,5720647737,213,5.46,5720647739,1,,5720647733,141,20.1,5720647735,212,46.6,5720647727,155,,5720647731,140,74.7,5720647729,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813585375,30,1,1,2,12,93ohqui2qgqm8408viwmm1ken,1,93.1,25.5,2025-05-11T14:33:28.351Z,2025-05-11T14:33:29Z,4az5n8aekw6ipzu7fagqhkys4,E. Ekong,,,5720647791,140,79.3,5720647797,213,3.50,5720647793,141,17.6,5720647795,212,15.5,5720647789,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813585397,31,1,1,2,13,93ohqui2qgqm8408viwmm1ken,1,80.1,19.1,2025-05-11T14:33:29.436Z,2025-05-11T14:33:31Z,4yg4i2wvdz87rrxpn0rqn2xg5,J. Stryger Larsen,,,5720647941,56,Center,5720647949,213,2.02,5720647943,140,75.4,5720647945,141,34.0,5720647947,212,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813585491,32,1,1,2,15,93ohqui2qgqm8408viwmm1ken,1,75.4,34.0,2025-05-11T14:33:31.373Z,2025-05-11T14:33:40Z,azcjwvw9799e6bawnlcb0lt2i,L. Berg Johnsen,,,5720648545,1,,5720648535,141,81.5,5720648537,212,40.1,5720648529,56,Left,5720648531,140,98.0,5720648541,213,0.94,5720648527,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813585485,21,83,1,2,24,46yo78zak2j7kaxc5ak1fnm60,0,9.4,25.5,2025-05-11T14:33:40.008Z,2025-05-11T14:33:42Z,ec6qqle54cq9gck2jhnbpjzs9,E. Lindell,,,5720648729,399,dvi2tleym136aqpvwfi4lustm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813585513,33,1,1,2,24,93ohqui2qgqm8408viwmm1ken,1,94.0,76.3,2025-05-11T14:33:40.509Z,2025-05-11T14:33:41Z,dvi2tleym136aqpvwfi4lustm,T. Ali,,,5720648655,140,92.7,5720648661,213,4.53,5720648653,56,Center,5720648659,212,7.3,5720648657,141,65.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813585519,34,61,1,2,25,93ohqui2qgqm8408viwmm1ken,0,92.7,65.7,2025-05-11T14:33:41.742Z,2025-05-11T14:44:34Z,carpl05zgalgbsd6gnk3akc89,Gabriel Busanello,,,5720648685,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813585605,23,1,1,2,28,46yo78zak2j7kaxc5ak1fnm60,1,3.1,8.9,2025-05-11T14:33:44.616Z,2025-05-11T14:33:48Z,ec6qqle54cq9gck2jhnbpjzs9,E. Lindell,,,5720649127,212,41.3,5720649119,157,,5720649131,213,0.26,5720649123,140,41.1,5720649125,141,24.4,5720649121,56,Back,5720649135,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813585617,24,44,1,2,32,46yo78zak2j7kaxc5ak1fnm60,1,39.7,29.6,2025-05-11T14:33:48.811Z,2025-05-11T14:33:53Z,cxq6miltbekjrfil30uuo0tn8,A. Fisic,,,5720649275,233,35,5720649223,56,Back,5720649225,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813585615,35,44,1,2,32,93ohqui2qgqm8408viwmm1ken,0,60.3,70.4,2025-05-11T14:33:48.812Z,2025-05-11T14:33:54Z,7si8brq1p8o6fvw93hq9v9bmc,N. Zätterström,,,5720649215,56,Center,5720649299,233,24,5720649217,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
