id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/9/value,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2796084153,5,1,1,0,15,4jg5vd59i24chckyua90dr1lg,1,39.8,69.7,2025-04-05T13:00:49.079Z,2025-04-05T13:00:50Z,di0z3rihhkz11o1ccqo2b654a,L. Walta,,,5624302645,212,5.4,5624302639,56,Back,5624302643,141,75.7,5624302641,140,43.1,5624302647,213,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796084159,6,1,1,0,16,4jg5vd59i24chckyua90dr1lg,1,43.1,75.7,2025-04-05T13:00:49.966Z,2025-04-05T13:05:04Z,546vmchsyl1wt10pr13r5oup6,M. Heier,,,5624302673,212,14.0,5624302675,213,3.68,5624302667,56,Back,5624302671,141,65.2,5624302669,140,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796084201,7,1,1,0,17,4jg5vd59i24chckyua90dr1lg,1,31.6,65.2,2025-04-05T13:00:50.462Z,2025-04-05T13:00:52Z,10lj2qekb1e4c8ful68b1pazt,T. Anker,,,5624302861,213,5.29,5624302857,141,56.1,5624302859,212,7.4,5624302853,56,Back,5624302855,140,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796084205,8,83,1,0,18,czkf5t3ai00ghwbga03i5aqxw,0,64.7,40.4,2025-04-05T13:00:51.831Z,2025-04-05T13:05:37Z,dkc69jkzi4e9ysgmwldz249as,M. Siltanen,,,5624303507,399,3xrja99d4b0jewfjzelq4rspg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796084259,8,1,1,0,19,4jg5vd59i24chckyua90dr1lg,1,34.1,56.3,2025-04-05T13:00:52.590Z,2025-04-05T13:00:56Z,3xrja99d4b0jewfjzelq4rspg,A. Vikman,,,5624303203,213,3.25,5624303201,212,26.3,5624303195,56,Back,5624303197,140,9.2,5624303199,141,52.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796084303,9,1,1,0,23,4jg5vd59i24chckyua90dr1lg,1,10.1,49.1,2025-04-05T13:00:56.262Z,2025-04-05T13:00:59Z,dsw7clrtv93nkdnppqhfm1n9,I. Diawara,,,5624303401,141,2.6,5624303407,1,,5624303403,212,36.0,5624303399,140,26.5,5624303397,56,Back,5624303405,213,5.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796084311,10,1,1,0,25,4jg5vd59i24chckyua90dr1lg,1,26.5,2.6,2025-04-05T13:00:59.103Z,2025-04-05T13:01:01Z,bdgqvvkpadpthmlm40wa6dcyx,B. Milovanov,,,5624303435,141,7.9,5624303433,140,32.9,5624303439,213,0.49,5624303437,212,7.6,5624303431,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796084417,11,1,1,0,28,4jg5vd59i24chckyua90dr1lg,1,32.9,8.0,2025-04-05T13:01:01.742Z,2025-04-05T13:06:39Z,451liwl34giar3r8y7b295w16,M. Lindberg,,,5624303945,56,Back,5624303953,213,0.02,5624303951,212,6.7,5624303947,140,39.3,5624303949,141,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796084429,12,1,1,0,31,4jg5vd59i24chckyua90dr1lg,0,41.3,6.2,2025-04-05T13:01:04.335Z,2025-04-05T13:01:06Z,21ht7s882is4sisnr8dpf61yi,J. Persson,,,5624304035,56,Back,5624304055,233,9,5624304043,213,3.57,5624304041,212,1.6,5624304053,236,,5624304059,286,,5624304039,141,5.2,5624304037,140,39.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796084407,9,74,1,0,31,czkf5t3ai00ghwbga03i5aqxw,1,61.6,97.5,2025-04-05T13:01:04.336Z,2025-04-05T13:01:06Z,5t5ib5l818gj98xrztrj0kbca,O. Fallenius,,,5624303921,56,Left,5624304069,233,12,5624303923,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796084425,10,5,1,0,32,czkf5t3ai00ghwbga03i5aqxw,0,60.4,102.0,2025-04-05T13:01:05.207Z,2025-04-05T13:01:08Z,5t5ib5l818gj98xrztrj0kbca,O. Fallenius,,,5624304009,347,,5624304253,233,13,5624304003,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796084457,13,5,1,0,32,4jg5vd59i24chckyua90dr1lg,1,39.6,-2.0,2025-04-05T13:01:05.207Z,2025-04-05T13:44:56Z,21ht7s882is4sisnr8dpf61yi,J. Persson,,,5624304219,347,,5624304217,56,Back,5624304239,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796084555,14,1,1,0,39,4jg5vd59i24chckyua90dr1lg,1,39.4,0.0,2025-04-05T13:01:13.006Z,2025-04-05T13:01:14Z,bdgqvvkpadpthmlm40wa6dcyx,B. Milovanov,,,5624304719,107,,5624304725,141,8.9,5624304721,56,Back,5624304729,213,1.46,5624304727,212,7.5,5624304723,140,40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796084599,15,1,1,0,41,4jg5vd59i24chckyua90dr1lg,1,40.2,8.9,2025-04-05T13:01:14.486Z,2025-04-05T13:01:16Z,3xrja99d4b0jewfjzelq4rspg,A. Vikman,,,5624304909,56,Back,5624304915,212,6.7,5624304913,141,4.1,5624304911,140,34.6,5624304917,213,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796084615,16,2,1,0,43,4jg5vd59i24chckyua90dr1lg,1,35.9,3.2,2025-04-05T13:01:16.526Z,2025-04-05T13:01:24Z,bdgqvvkpadpthmlm40wa6dcyx,B. Milovanov,,,5624305437,7,9mvwnz2zlvx54nggvvw3l9ega,5624305441,56,Right,5624305439,1,,5624305023,140,66.5,5624305025,141,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796084621,11,43,1,0,45,czkf5t3ai00ghwbga03i5aqxw,1,0.0,0.0,2025-04-05T13:01:18.623Z,2025-04-05T13:01:31Z,ebhyx7fm13sy9qjf4vylzg89h,J. Une Larsson,,,5624305061,56,Back,5624305063,285,0,5624306185,144,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796084625,17,43,1,0,45,4jg5vd59i24chckyua90dr1lg,1,0.0,0.0,2025-04-05T13:01:18.624Z,2025-04-05T13:01:22Z,9mvwnz2zlvx54nggvvw3l9ega,R. Ure,,,5624305085,286,0,5624305315,144,44,5624305083,56,Right,5624305139,233,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796084651,12,43,1,0,45,czkf5t3ai00ghwbga03i5aqxw,1,0.0,0.0,2025-04-05T13:01:19.007Z,2025-04-05T13:01:35Z,ebhyx7fm13sy9qjf4vylzg89h,J. Une Larsson,,,5624305203,212,2.0,5624305201,141,89.0,5624305195,3,0,5624305197,56,Back,5624305205,213,5.56,5624305199,140,33.0,5624306395,144,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796084757,14,1,1,0,49,czkf5t3ai00ghwbga03i5aqxw,1,31.3,82.7,2025-04-05T13:01:23.192Z,2025-04-05T13:07:42Z,7pel84swlqfux6obt6lznze1h,R. Schüller,,,5624305775,141,53.1,5624305773,140,30.4,5624305763,5,,5624305769,241,,5624305771,56,Back,5624305777,212,20.2,5624305779,213,4.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796084791,15,1,1,0,53,czkf5t3ai00ghwbga03i5aqxw,1,44.0,45.2,2025-04-05T13:01:27.086Z,2025-04-05T13:01:29Z,5jos8v6hr086q8at9iuyhwded,M. Tenho,,,5624305953,212,16.3,5624305955,213,2.16,5624305947,56,Back,5624305951,141,65.1,5624305949,140,35.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796084843,16,1,1,0,56,czkf5t3ai00ghwbga03i5aqxw,1,36.1,65.2,2025-04-05T13:01:29.303Z,2025-04-05T13:01:32Z,ebhyx7fm13sy9qjf4vylzg89h,J. Une Larsson,,,5624306217,213,1.24,5624306211,140,41.7,5624306213,141,90.6,5624306215,212,18.2,5624306209,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796084905,17,1,1,0,58,czkf5t3ai00ghwbga03i5aqxw,1,41.8,90.6,2025-04-05T13:01:31.914Z,2025-04-05T13:01:36Z,ab3og2sas7q4czd31wbdbnro,K. Kosugi,,,5624306515,212,16.1,5624306509,56,Back,5624306513,141,73.3,5624306517,213,3.96,5624306511,140,31.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796084945,18,1,1,1,2,czkf5t3ai00ghwbga03i5aqxw,1,30.4,64.8,2025-04-05T13:01:36.111Z,2025-04-05T13:01:39Z,ebhyx7fm13sy9qjf4vylzg89h,J. Une Larsson,,,5624306757,140,32.5,5624306759,141,35.4,5624306761,212,20.1,5624306755,56,Back,5624306763,213,4.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796084995,19,1,1,1,5,czkf5t3ai00ghwbga03i5aqxw,1,29.6,35.4,2025-04-05T13:01:38.887Z,2025-04-05T13:01:42Z,5jos8v6hr086q8at9iuyhwded,M. Tenho,,,5624307025,212,28.1,5624307019,56,Back,5624307023,141,49.6,5624307021,140,4.5,5624307027,213,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796085029,20,1,1,1,9,czkf5t3ai00ghwbga03i5aqxw,1,3.7,45.4,2025-04-05T13:01:42.695Z,2025-04-05T13:01:45Z,d5jgrd0clyl4rskqu6j8hcwkp,F. Manojlović,,,5624307245,213,5.00,5624307243,212,19.2,5624307241,141,18.3,5624307239,140,8.8,5624307237,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796085051,21,1,1,1,12,czkf5t3ai00ghwbga03i5aqxw,1,9.8,11.4,2025-04-05T13:01:45.319Z,2025-04-05T13:01:47Z,5jos8v6hr086q8at9iuyhwded,M. Tenho,,,5624307387,213,6.10,5624307377,140,27.9,5624307379,141,6.2,5624307381,212,19.3,5624307375,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796085069,22,1,1,1,14,czkf5t3ai00ghwbga03i5aqxw,0,27.9,6.2,2025-04-05T13:01:47.239Z,2025-04-05T13:01:49Z,bv57jiquzqjnzuxzw5r663aad,A. Ståhl,,,5624307463,140,32.4,5624307469,213,0.71,5624307467,212,6.2,5624307459,168,,5624307461,56,Back,5624307465,141,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796085107,18,8,1,1,17,4jg5vd59i24chckyua90dr1lg,1,69.6,76.9,2025-04-05T13:01:50.527Z,2025-04-05T13:01:50Z,77767sxrg8n7kfm58qf1wq32s,S. Mamatsashvili,,,5624307651,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796085193,20,3,1,1,18,4jg5vd59i24chckyua90dr1lg,0,76.6,87.8,2025-04-05T13:01:51.966Z,2025-04-05T13:09:58Z,di0z3rihhkz11o1ccqo2b654a,L. Walta,,,5624358423,233,23,5624308059,56,Left,5624308061,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796085199,23,7,1,1,18,czkf5t3ai00ghwbga03i5aqxw,0,23.4,12.2,2025-04-05T13:01:51.967Z,2025-04-05T13:10:09Z,bv57jiquzqjnzuxzw5r663aad,A. Ståhl,,,5624358391,233,20,5624308093,56,Back,5624308095,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796085135,19,61,1,1,19,4jg5vd59i24chckyua90dr1lg,0,71.0,75.4,2025-04-05T13:01:52.830Z,2025-04-05T13:09:59Z,di0z3rihhkz11o1ccqo2b654a,L. Walta,,,5624307761,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796095053,104,45,1,1,21,4jg5vd59i24chckyua90dr1lg,0,71.3,96.1,2025-04-05T13:01:54.740Z,2025-04-05T13:54:57Z,di0z3rihhkz11o1ccqo2b654a,L. Walta,,,5624365435,56,Left,5624365437,286,,5624365509,233,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796095073,117,3,1,1,21,czkf5t3ai00ghwbga03i5aqxw,1,28.7,3.9,2025-04-05T13:01:54.740Z,2025-04-05T13:54:57Z,7pel84swlqfux6obt6lznze1h,R. Schüller,,,5624364655,56,Back,5624364657,285,,5624365481,233,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796085257,24,1,1,1,22,czkf5t3ai00ghwbga03i5aqxw,1,22.2,6.1,2025-04-05T13:01:55.399Z,2025-04-05T13:01:58Z,7pel84swlqfux6obt6lznze1h,R. Schüller,,,5624308399,213,1.79,5624308387,56,Back,5624308391,141,25.2,5624308389,140,19.4,5624308395,212,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796085277,25,1,1,1,25,czkf5t3ai00ghwbga03i5aqxw,0,19.4,25.2,2025-04-05T13:01:58.223Z,2025-04-05T13:01:59Z,5jos8v6hr086q8at9iuyhwded,M. Tenho,,,5624308501,56,Back,5624308509,213,0.01,5624308507,212,31.3,5624308503,140,49.2,5624308499,157,,5624308505,141,25.6,5624308511,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796085367,22,1,1,1,27,4jg5vd59i24chckyua90dr1lg,1,55.8,74.8,2025-04-05T13:02:00.239Z,2025-04-05T13:02:03Z,77767sxrg8n7kfm58qf1wq32s,S. Mamatsashvili,,,5624308997,56,Back,5624309001,141,79.3,5624308999,140,43.0,5624309005,213,2.92,5624309003,212,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796085395,23,1,1,1,29,4jg5vd59i24chckyua90dr1lg,1,41.8,78.7,2025-04-05T13:02:03.143Z,2025-04-05T13:02:04Z,10lj2qekb1e4c8ful68b1pazt,T. Anker,,,5624309141,212,7.1,5624309139,141,70.0,5624309137,140,45.6,5624309143,213,5.31,5624309135,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796085441,24,1,1,1,31,4jg5vd59i24chckyua90dr1lg,1,43.4,75.4,2025-04-05T13:02:04.607Z,2025-04-05T13:02:06Z,3xrja99d4b0jewfjzelq4rspg,A. Vikman,,,5624309389,141,92.4,5624309391,212,11.9,5624309387,140,46.2,5624309393,213,1.32,5624309385,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796085491,25,1,1,1,33,4jg5vd59i24chckyua90dr1lg,0,47.5,95.7,2025-04-05T13:02:06.655Z,2025-04-05T13:02:08Z,77767sxrg8n7kfm58qf1wq32s,S. Mamatsashvili,,,5624309681,140,70.4,5624309679,56,Left,5624309687,213,5.86,5624309683,141,79.9,5624309675,155,,5624309685,212,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796085513,26,1,1,1,35,czkf5t3ai00ghwbga03i5aqxw,1,27.9,24.9,2025-04-05T13:02:08.518Z,2025-04-05T13:02:09Z,5jos8v6hr086q8at9iuyhwded,M. Tenho,,,5624309801,141,16.5,5624309805,213,5.64,5624309803,212,9.5,5624309797,56,Back,5624309799,140,35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796085531,27,1,1,1,36,czkf5t3ai00ghwbga03i5aqxw,1,33.7,17.7,2025-04-05T13:02:09.479Z,2025-04-05T13:02:10Z,bv57jiquzqjnzuxzw5r663aad,A. Ståhl,,,5624309919,213,1.71,5624309917,212,7.0,5624309911,56,Back,5624309915,141,27.9,5624309913,140,32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796085561,29,1,1,1,37,czkf5t3ai00ghwbga03i5aqxw,1,32.8,27.9,2025-04-05T13:02:10.783Z,2025-04-05T13:02:11Z,7pel84swlqfux6obt6lznze1h,R. Schüller,,,5624310073,212,12.0,5624310071,141,10.3,5624310067,56,Back,5624310069,140,31.5,5624310079,213,4.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796085613,30,1,1,1,38,czkf5t3ai00ghwbga03i5aqxw,1,31.2,10.3,2025-04-05T13:02:11.774Z,2025-04-05T13:02:14Z,bv57jiquzqjnzuxzw5r663aad,A. Ståhl,,,5624310353,213,6.20,5624310345,56,Back,5624310347,140,43.9,5624310351,212,13.4,5624310349,141,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796085619,31,50,1,1,41,czkf5t3ai00ghwbga03i5aqxw,1,37.8,8.4,2025-04-05T13:02:14.447Z,2025-04-05T13:54:48Z,1utyorvutnk14hp6dr079t1m2,Z. Sawo,,,5624310369,56,Back,5624310371,286,,5624310547,233,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796085627,26,7,1,1,41,4jg5vd59i24chckyua90dr1lg,1,62.2,91.6,2025-04-05T13:02:14.448Z,2025-04-05T13:54:47Z,77767sxrg8n7kfm58qf1wq32s,S. Mamatsashvili,,,5624310469,233,31,5624310477,285,,5624310425,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796085665,27,1,1,1,42,4jg5vd59i24chckyua90dr1lg,0,59.8,92.2,2025-04-05T13:02:15.527Z,2025-04-05T13:12:23Z,3xrja99d4b0jewfjzelq4rspg,A. Vikman,,,5624310629,140,69.5,5624310631,141,95.3,5624310627,56,Left,5624310633,212,10.4,5624310635,213,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796085659,32,61,1,1,43,czkf5t3ai00ghwbga03i5aqxw,0,32.1,8.5,2025-04-05T13:02:16.838Z,2025-04-05T13:02:17Z,bv57jiquzqjnzuxzw5r663aad,A. Ståhl,,,5624310605,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796085685,28,5,1,1,44,4jg5vd59i24chckyua90dr1lg,1,66.8,101.2,2025-04-05T13:02:17.751Z,2025-04-05T13:44:56Z,3xrja99d4b0jewfjzelq4rspg,A. Vikman,,,5624311013,233,33,5624310741,347,,5624310739,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
