id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/14/value,qualifier/15/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId
2809487455,5,12,1,0,40,6i936isoyj6d0uuxdj537uc97,1,12.5,53.7,2025-05-03T15:31:25.286Z,2025-05-03T15:31:26Z,bdw87kq6mx8rdkkpb9w5nar1m,F. Schyberg,,,5698107449,56,Back,5698107459,212,28.9,5698107451,140,37.3,5698107463,213,0.45,5698107487,15,,5698107455,141,72.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809487581,7,1,1,0,44,durq4oppf7c08tnbzrlebt0uz,0,67.4,39.4,2025-05-03T15:31:29.211Z,2025-05-03T15:31:31Z,174tz9lh744fhcxzabu00746h,L. Le Roux,,,5698108179,141,50.3,5698108177,140,83.2,5698108173,56,Center,5698108181,212,18.2,5698108183,213,0.42,5698108169,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809487603,6,44,1,0,45,6i936isoyj6d0uuxdj537uc97,1,15.0,47.3,2025-05-03T15:31:30.823Z,2025-05-03T16:48:56Z,9uumw2ntt4397bee2p3m2qdt6,G. Wallentin,,,5698108291,285,,5698108491,233,8,5698108289,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809487591,8,44,1,0,45,durq4oppf7c08tnbzrlebt0uz,0,85.0,52.7,2025-05-03T15:31:30.824Z,2025-05-03T16:48:58Z,1t67kvg37jg2elz9voix5kcet,H. Andersson,,,5698108225,56,Center,5698108229,286,,5698108551,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809487625,7,12,1,0,46,6i936isoyj6d0uuxdj537uc97,1,12.2,43.3,2025-05-03T15:31:31.543Z,2025-05-03T15:48:19Z,9uumw2ntt4397bee2p3m2qdt6,G. Wallentin,,,5698264301,15,,5698108405,56,Back,5698108413,213,5.68,5698108411,212,10.9,5698108407,140,20.7,5698108409,141,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809487713,9,1,1,0,49,durq4oppf7c08tnbzrlebt0uz,0,73.5,73.0,2025-05-03T15:31:34.779Z,2025-05-03T15:31:50Z,2mfqgk982ky4y88ddcljx25n8,J. Rapp,,,5698108909,56,Center,5698108915,212,14.5,5698108903,2,,5698108913,141,54.2,5698108911,140,80.0,5698108917,213,5.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809487847,8,12,1,0,49,6i936isoyj6d0uuxdj537uc97,1,13.0,45.4,2025-05-03T15:31:34.936Z,2025-05-03T15:31:40Z,edzj7i715cpyuuumcttajkc0l,J. Allansson,,,5698109673,141,9.7,5698109671,140,18.7,5698109677,213,4.95,5698109669,56,Back,5698109675,212,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809487805,10,1,1,0,52,durq4oppf7c08tnbzrlebt0uz,0,76.3,92.4,2025-05-03T15:31:37.403Z,2025-05-03T15:31:52Z,2mfqgk982ky4y88ddcljx25n8,J. Rapp,,,5698109435,213,5.26,5698109425,3,,5698109433,212,20.3,5698109427,56,Center,5698109431,141,67.0,5698109429,140,86.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809487867,9,12,1,0,54,6i936isoyj6d0uuxdj537uc97,1,10.7,33.6,2025-05-03T15:31:39.231Z,2025-05-03T15:49:27Z,bdw87kq6mx8rdkkpb9w5nar1m,F. Schyberg,,,5698109769,213,4.34,5698109767,212,4.4,5698109763,140,9.2,5698109799,15,,5698109761,56,Back,5698109765,141,27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809517421,187,61,1,0,55,6i936isoyj6d0uuxdj537uc97,1,11.8,38.9,2025-05-03T15:31:40.361Z,2025-05-03T15:49:40Z,bpzni5riygngh99pfbcu8f78q,A. Damnjanovic Nilsson,,,5698277247,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809487885,11,1,1,0,56,durq4oppf7c08tnbzrlebt0uz,0,88.3,73.3,2025-05-03T15:31:41.309Z,2025-05-03T15:31:42Z,cntz26i7p4q9fyzh55xswpudw,J. Kalu,,,5698109877,141,74.4,5698109873,56,Center,5698109879,212,5.7,5698109875,140,82.9,5698109881,213,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809487937,10,43,1,0,58,6i936isoyj6d0uuxdj537uc97,1,0.0,0.0,2025-05-03T15:31:43.959Z,2025-05-03T15:31:49Z,bpzni5riygngh99pfbcu8f78q,A. Damnjanovic Nilsson,,,5698111063,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809487985,11,61,1,0,59,6i936isoyj6d0uuxdj537uc97,0,20.3,9.8,2025-05-03T15:31:44.912Z,2025-05-03T15:49:23Z,bpzni5riygngh99pfbcu8f78q,A. Damnjanovic Nilsson,,,5698110393,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809488013,12,5,1,1,0,6i936isoyj6d0uuxdj537uc97,0,25.7,-2.0,2025-05-03T15:31:45.738Z,2025-05-03T16:23:57Z,bpzni5riygngh99pfbcu8f78q,A. Damnjanovic Nilsson,,,5698110613,233,12,5698110505,347,,5698110503,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809487991,12,5,1,1,0,durq4oppf7c08tnbzrlebt0uz,1,74.3,102.0,2025-05-03T15:31:45.738Z,2025-05-03T15:31:47Z,cntz26i7p4q9fyzh55xswpudw,J. Kalu,,,5698110407,56,Left,5698110559,233,12,5698110409,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809488389,13,1,1,1,13,durq4oppf7c08tnbzrlebt0uz,1,75.2,100.0,2025-05-03T15:31:58.235Z,2025-05-03T15:31:59Z,reelt18o0lhvy8vl8h33glpl,A. Björnström,,,5698112603,107,,5698112607,140,82.4,5698112609,141,89.4,5698112605,56,Left,5698112617,213,5.44,5698112613,212,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809488433,14,1,1,1,14,durq4oppf7c08tnbzrlebt0uz,1,82.4,89.4,2025-05-03T15:31:59.419Z,2025-05-03T15:32:00Z,cntz26i7p4q9fyzh55xswpudw,J. Kalu,,,5698112827,56,Left,5698112835,141,94.1,5698112839,212,5.9,5698112831,140,77.7,5698112879,156,,5698112843,213,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809488497,15,1,1,1,15,durq4oppf7c08tnbzrlebt0uz,1,78.6,95.0,2025-05-03T15:32:00.619Z,2025-05-03T15:32:02Z,reelt18o0lhvy8vl8h33glpl,A. Björnström,,,5698113175,140,80.4,5698113181,212,3.8,5698113183,213,5.24,5698113171,56,Left,5698113179,141,90.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809488601,16,1,1,1,17,durq4oppf7c08tnbzrlebt0uz,1,78.8,87.4,2025-05-03T15:32:02.234Z,2025-05-03T15:32:05Z,cntz26i7p4q9fyzh55xswpudw,J. Kalu,,,5698113717,140,71.6,5698113719,141,88.9,5698113725,213,3.01,5698113715,56,Left,5698113721,212,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809488681,17,1,1,1,19,durq4oppf7c08tnbzrlebt0uz,1,67.7,89.6,2025-05-03T15:32:05.035Z,2025-05-03T15:32:07Z,8wz2m0yj4f0ci90m0wjftnoid,S. Thern,,,5698114141,141,92.1,5698114143,212,11.8,5698114147,213,3.00,5698114135,56,Left,5698114139,140,56.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809488745,18,1,1,1,22,durq4oppf7c08tnbzrlebt0uz,1,55.4,90.5,2025-05-03T15:32:07.147Z,2025-05-03T15:32:09Z,8ebx705t6jvq53z6tjk0ke1d6,E. Grozdanić,,,5698114463,140,48.0,5698114467,212,18.3,5698114469,213,4.27,5698114459,56,Back,5698114465,141,66.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809488871,19,1,1,1,24,durq4oppf7c08tnbzrlebt0uz,1,46.9,64.0,2025-05-03T15:32:09.179Z,2025-05-03T15:32:13Z,1t67kvg37jg2elz9voix5kcet,H. Andersson,,,5698115245,56,Back,5698115253,213,4.52,5698115251,212,13.9,5698115249,141,43.9,5698115247,140,44.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809488977,20,1,1,1,28,durq4oppf7c08tnbzrlebt0uz,1,44.4,43.9,2025-05-03T15:32:13.115Z,2025-05-03T15:32:16Z,2mfqgk982ky4y88ddcljx25n8,J. Rapp,,,5698115789,141,17.7,5698115797,212,18.2,5698115787,140,48.0,5698115783,56,Back,5698115799,213,4.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809489041,21,1,1,1,31,durq4oppf7c08tnbzrlebt0uz,1,47.5,40.4,2025-05-03T15:32:16.219Z,2025-05-03T15:32:19Z,40l3vtezw1ofwk2occi4z5w45,Carl Johansson,,,5698116123,212,15.6,5698116115,140,36.6,5698116125,213,3.89,5698116113,56,Back,5698116117,141,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809489137,22,1,1,1,34,durq4oppf7c08tnbzrlebt0uz,1,37.2,23.0,2025-05-03T15:32:19.227Z,2025-05-03T15:32:23Z,2mfqgk982ky4y88ddcljx25n8,J. Rapp,,,5698116787,56,Right,5698116799,213,5.58,5698116789,140,51.6,5698116793,141,4.3,5698116797,212,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809489211,23,1,1,1,38,durq4oppf7c08tnbzrlebt0uz,1,61.8,3.7,2025-05-03T15:32:23.131Z,2025-05-03T15:32:26Z,6vy0wrnn1jz4tjp9ofxr9qesq,Wenderson,,,5698117225,140,77.2,5698117233,213,0.41,5698117231,212,17.6,5698117227,141,14.0,5698117223,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809489221,24,50,1,1,41,durq4oppf7c08tnbzrlebt0uz,1,80.2,14.0,2025-05-03T15:32:26.794Z,2025-05-03T16:49:10Z,40l3vtezw1ofwk2occi4z5w45,Carl Johansson,,,5698117613,233,13,5698117281,286,,5698117279,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809489263,13,7,1,1,41,6i936isoyj6d0uuxdj537uc97,1,19.8,86.0,2025-05-03T15:32:26.795Z,2025-05-03T16:49:10Z,9bmo8w8t7slkzbb5owilyoqju,G. Friberg,,,5698117545,233,24,5698117479,285,,5698117475,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809489229,25,61,1,1,42,durq4oppf7c08tnbzrlebt0uz,1,82.8,10.6,2025-05-03T15:32:27.316Z,2025-05-03T15:32:27Z,40l3vtezw1ofwk2occi4z5w45,Carl Johansson,,,5698117315,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809489271,14,61,1,1,43,6i936isoyj6d0uuxdj537uc97,1,23.8,82.6,2025-05-03T15:32:28.965Z,2025-05-03T15:32:29Z,bdw87kq6mx8rdkkpb9w5nar1m,F. Schyberg,,,5698117509,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809489311,15,1,1,1,45,6i936isoyj6d0uuxdj537uc97,1,15.9,78.7,2025-05-03T15:32:30.471Z,2025-05-03T15:51:07Z,b248ue8bteo0awvp627dokd0,B. Kurtulus,,,5698117761,56,Back,5698117763,140,23.3,5698117767,212,7.8,5698117769,213,6.20,5698117759,157,,5698117765,141,77.8,5698117771,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809489479,16,61,1,1,46,6i936isoyj6d0uuxdj537uc97,1,24.3,77.3,2025-05-03T15:32:31.127Z,2025-05-03T15:51:51Z,9bmo8w8t7slkzbb5owilyoqju,G. Friberg,,,5698118693,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809489315,26,43,1,1,46,durq4oppf7c08tnbzrlebt0uz,1,0.0,0.0,2025-05-03T15:32:31.227Z,2025-05-03T15:52:07Z,6vy0wrnn1jz4tjp9ofxr9qesq,Wenderson,,,5698299609,144,61,5698117777,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809489401,27,1,1,1,47,durq4oppf7c08tnbzrlebt0uz,1,80.8,26.1,2025-05-03T15:32:32.427Z,2025-05-03T15:32:34Z,30117qloj2vhnxq4djfktp7u1,A. Zeljković,,,5698118275,212,8.9,5698118269,56,Center,5698118273,141,32.4,5698118271,140,73.4,5698118277,213,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809489537,28,1,1,1,48,durq4oppf7c08tnbzrlebt0uz,1,71.4,33.6,2025-05-03T15:32:34.027Z,2025-05-03T15:32:38Z,6vy0wrnn1jz4tjp9ofxr9qesq,Wenderson,,,5698119015,141,78.2,5698119009,56,Center,5698119017,212,30.4,5698119013,140,73.2,5698119019,213,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809489557,29,1,1,1,53,durq4oppf7c08tnbzrlebt0uz,1,73.7,76.6,2025-05-03T15:32:38.859Z,2025-05-03T15:32:39Z,reelt18o0lhvy8vl8h33glpl,A. Björnström,,,5698119155,212,8.7,5698119149,56,Center,5698119157,213,4.59,5698119151,140,72.7,5698119153,141,63.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809489603,30,1,1,1,54,durq4oppf7c08tnbzrlebt0uz,1,72.7,63.9,2025-05-03T15:32:39.499Z,2025-05-03T15:32:41Z,174tz9lh744fhcxzabu00746h,L. Le Roux,,,5698119397,140,61.8,5698119403,213,2.62,5698119399,141,73.6,5698119401,212,13.2,5698119395,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809489697,31,1,1,1,57,durq4oppf7c08tnbzrlebt0uz,1,58.2,71.8,2025-05-03T15:32:43.035Z,2025-05-03T15:32:44Z,8ebx705t6jvq53z6tjk0ke1d6,E. Grozdanić,,,5698119919,141,38.9,5698119917,140,62.3,5698119923,213,4.90,5698119921,212,22.8,5698119915,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809489801,32,1,1,1,59,durq4oppf7c08tnbzrlebt0uz,1,62.7,36.7,2025-05-03T15:32:44.795Z,2025-05-03T15:32:48Z,2mfqgk982ky4y88ddcljx25n8,J. Rapp,,,5698120461,141,10.9,5698120463,212,19.9,5698120457,56,Right,5698120459,140,71.6,5698120465,213,5.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809489883,33,1,1,2,2,durq4oppf7c08tnbzrlebt0uz,1,67.2,13.2,2025-05-03T15:32:47.995Z,2025-05-03T15:32:50Z,40l3vtezw1ofwk2occi4z5w45,Carl Johansson,,,5698120879,213,2.72,5698120877,212,18.9,5698120871,56,Center,5698120873,140,50.8,5698120875,141,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809490101,34,1,1,2,5,durq4oppf7c08tnbzrlebt0uz,1,53.9,21.8,2025-05-03T15:32:50.763Z,2025-05-03T15:32:59Z,1t67kvg37jg2elz9voix5kcet,H. Andersson,,,5698122141,213,5.61,5698122125,140,68.5,5698122119,56,Right,5698122137,212,19.7,5698122131,141,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809490121,17,83,1,2,14,6i936isoyj6d0uuxdj537uc97,0,38.2,96.4,2025-05-03T15:32:59.179Z,2025-05-03T15:33:32Z,bzm752bvefjt54nj6ruf9tbtg,L. Arvidsson,,,5698126863,399,2mfqgk982ky4y88ddcljx25n8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809490155,18,43,1,2,14,6i936isoyj6d0uuxdj537uc97,1,0.0,0.0,2025-05-03T15:32:59.179Z,2025-05-03T15:53:23Z,bzm752bvefjt54nj6ruf9tbtg,L. Arvidsson,,,5698310079,144,45,5698122433,285,0,5698122429,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809490125,35,43,1,2,14,durq4oppf7c08tnbzrlebt0uz,1,0.0,0.0,2025-05-03T15:32:59.179Z,2025-05-03T15:53:22Z,2mfqgk982ky4y88ddcljx25n8,J. Rapp,,,5698309939,144,3,5698126631,233,17,5698122225,286,0,5698122223,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809490187,36,1,1,2,14,durq4oppf7c08tnbzrlebt0uz,1,65.0,6.5,2025-05-03T15:32:59.835Z,2025-05-03T15:33:03Z,2mfqgk982ky4y88ddcljx25n8,J. Rapp,,,5698122611,213,2.17,5698122605,140,58.5,5698122609,212,12.1,5698122607,141,21.2,5698122601,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809490255,37,1,1,2,16,durq4oppf7c08tnbzrlebt0uz,1,57.5,21.2,2025-05-03T15:33:01.851Z,2025-05-03T15:53:39Z,174tz9lh744fhcxzabu00746h,L. Le Roux,,,5698123031,1,,5698123025,141,76.7,5698123019,56,Center,5698123029,213,1.62,5698123021,140,55.7,5698123027,212,37.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
