id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId
2797266695,6,8,1,0,13,spvvjmk37iid7hsky9g3nce7,1,67.6,42.5,2025-04-06T14:31:26.531Z,2025-04-06T14:41:06Z,5h6xr50d54zcxnktz7q58oa1h,T. Pettersson,,,5630658605,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797266745,5,1,1,0,16,33hzf6j2rd9r50g2n4agsytkd,0,33.8,54.9,2025-04-06T14:31:29.752Z,2025-04-06T14:41:09Z,7ctf2925tg7mc3a05unhxsd1w,H. Ibrahim,,,5630658889,212,42.1,5630658891,213,0.19,5630658885,140,73.2,5630658881,157,,5630658883,56,Center,5630658893,1,,5630658887,141,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797266777,7,1,1,0,18,spvvjmk37iid7hsky9g3nce7,1,20.2,29.5,2025-04-06T14:31:31.587Z,2025-04-06T14:31:34Z,507n9mr51v21q8isz9ll3m6eh,A. Norén,,,5630659095,3,,5630659101,141,35.5,5630659105,213,2.78,5630659097,56,Back,5630659103,212,11.7,5630659099,140,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797266983,10,1,1,0,32,spvvjmk37iid7hsky9g3nce7,1,11.8,40.3,2025-04-06T14:31:45.987Z,2025-04-06T14:31:48Z,4cytj4f9uirlo8vb8mcsv6v6y,N. Törnqvist,,,5630660345,140,16.5,5630660347,141,15.9,5630660351,213,5.00,5630660343,56,Back,5630660349,212,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797267091,11,1,1,0,35,spvvjmk37iid7hsky9g3nce7,1,17.0,13.4,2025-04-06T14:31:48.676Z,2025-04-06T14:31:54Z,507n9mr51v21q8isz9ll3m6eh,A. Norén,,,5630660927,213,0.11,5630660923,141,22.2,5630660925,212,55.3,5630660921,140,69.4,5630660919,56,Center,5630660929,1,,5630660917,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797267103,12,44,1,0,41,spvvjmk37iid7hsky9g3nce7,1,66.2,34.6,2025-04-06T14:31:54.063Z,2025-04-06T16:04:17Z,dgxqp83lhb316dec1rpi5op62,A. Johansson,,,5630660979,56,Center,5630661035,233,6,5630660981,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797267085,6,44,1,0,41,33hzf6j2rd9r50g2n4agsytkd,0,33.8,65.4,2025-04-06T14:31:54.064Z,2025-04-06T16:04:18Z,b3jbj4ayr4x1x0ynt9dcu5u6s,F. Beckman,,,5630661077,233,12,5630660899,285,,5630660897,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797267131,13,1,1,0,41,spvvjmk37iid7hsky9g3nce7,0,68.3,26.4,2025-04-06T14:31:54.163Z,2025-04-06T15:31:03Z,dgxqp83lhb316dec1rpi5op62,A. Johansson,,,5630661127,213,6.15,5630661123,141,24.1,5630661121,140,79.4,5630661119,56,Center,5630661125,212,11.8,5630661117,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797267203,8,1,1,0,45,33hzf6j2rd9r50g2n4agsytkd,1,21.8,60.6,2025-04-06T14:31:58.240Z,2025-04-06T14:32:01Z,7wesnkwthjcluc9b83s8ab1g4,O. Ågren,,,5630661563,141,56.6,5630661559,56,Back,5630661567,213,3.38,5630661561,140,11.1,5630661565,212,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797267265,9,1,1,0,48,33hzf6j2rd9r50g2n4agsytkd,0,10.7,55.7,2025-04-06T14:32:01.312Z,2025-04-06T14:32:05Z,kod0xzh15xxa52700ufz7kyd,M. Krasniqi,,,5630661891,212,61.5,5630661885,56,Center,5630661895,1,,5630661883,157,,5630661889,141,47.9,5630661893,213,6.20,5630661887,140,69.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797267269,14,44,1,0,51,spvvjmk37iid7hsky9g3nce7,1,39.2,45.8,2025-04-06T14:32:04.107Z,2025-04-06T14:42:22Z,c1kv9ybtguhs625d1vwlwa6ay,J. Kiilerich,,,5630662125,233,10,5630661919,56,Back,5630661921,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797267281,10,44,1,0,51,33hzf6j2rd9r50g2n4agsytkd,0,60.8,54.2,2025-04-06T14:32:04.108Z,2025-04-06T14:42:27Z,6dljoel48bfd9nsmmnkck3owl,L. Hedlund,,,5630661959,56,Center,5630661961,286,,5630662153,233,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797267273,15,8,1,0,51,spvvjmk37iid7hsky9g3nce7,1,32.6,44.9,2025-04-06T14:32:04.531Z,2025-04-06T14:32:05Z,c1kv9ybtguhs625d1vwlwa6ay,J. Kiilerich,,,5630661941,56,Back,5630662003,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797267307,11,61,1,0,53,33hzf6j2rd9r50g2n4agsytkd,0,68.5,47.0,2025-04-06T14:32:06.193Z,2025-04-06T14:43:17Z,7d9e5tvw9ghew36m4mh2nr23u,W. Milovanovic,,,5630662103,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797267367,16,1,1,0,54,spvvjmk37iid7hsky9g3nce7,1,28.5,54.4,2025-04-06T14:32:07.395Z,2025-04-06T14:32:50Z,c1kv9ybtguhs625d1vwlwa6ay,J. Kiilerich,,,5630665785,140,48.3,5630665791,213,0.28,5630665783,157,,5630665793,1,,5630665787,141,63.2,5630665789,212,21.6,5630662483,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797267489,18,1,1,1,1,spvvjmk37iid7hsky9g3nce7,1,41.7,33.1,2025-04-06T14:32:14.635Z,2025-04-06T14:32:18Z,f0iow2x82mfh6x1olrrjo5puc,A. Manneh,,,5630663199,141,17.6,5630663193,155,,5630663197,140,78.1,5630663201,212,39.6,5630663205,1,,5630663203,213,6.01,5630663195,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797267499,19,1,1,1,5,spvvjmk37iid7hsky9g3nce7,0,82.3,7.3,2025-04-06T14:32:18.226Z,2025-04-06T14:32:18Z,93qjy2eilbuufwu2kbwpfng7p,V. Gustafson,,,5630663247,213,2.60,5630663243,141,14.0,5630663245,212,8.8,5630663241,140,75.1,5630663239,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797267549,13,1,1,1,7,33hzf6j2rd9r50g2n4agsytkd,1,17.8,88.1,2025-04-06T14:32:20.545Z,2025-04-06T14:32:22Z,b3jbj4ayr4x1x0ynt9dcu5u6s,F. Beckman,,,5630663519,56,Back,5630663525,141,80.5,5630663527,212,5.5,5630663523,140,19.7,5630663529,213,5.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797267623,14,1,1,1,9,33hzf6j2rd9r50g2n4agsytkd,1,27.6,75.6,2025-04-06T14:32:22.192Z,2025-04-06T14:44:48Z,7d9e5tvw9ghew36m4mh2nr23u,W. Milovanovic,,,5630663917,140,24.4,5630663915,56,Back,5630663921,212,6.5,5630663919,141,67.5,5630663927,213,4.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797281573,130,1,1,1,10,33hzf6j2rd9r50g2n4agsytkd,1,19.8,71.8,2025-04-06T14:32:23.792Z,2025-04-06T14:44:59Z,7ctf2925tg7mc3a05unhxsd1w,H. Ibrahim,,,5630743617,140,16.8,5630743621,212,11.2,5630743619,141,56.0,5630743623,213,4.43,5630743615,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797267653,15,1,1,1,13,33hzf6j2rd9r50g2n4agsytkd,1,19.3,49.1,2025-04-06T14:32:26.960Z,2025-04-06T14:32:28Z,7wesnkwthjcluc9b83s8ab1g4,O. Ågren,,,5630664115,140,18.2,5630664113,56,Back,5630664121,213,4.61,5630664119,212,11.0,5630664117,141,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797267701,16,1,1,1,15,33hzf6j2rd9r50g2n4agsytkd,1,18.0,34.6,2025-04-06T14:32:28.576Z,2025-04-06T14:32:31Z,5ijbt4bhic3y1zasavky12311,A. Wängberg,,,5630664423,140,13.5,5630664427,212,7.8,5630664421,56,Back,5630664425,141,43.7,5630664429,213,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797267773,17,1,1,1,18,33hzf6j2rd9r50g2n4agsytkd,1,11.0,46.7,2025-04-06T14:32:31.504Z,2025-04-06T14:32:36Z,7wesnkwthjcluc9b83s8ab1g4,O. Ågren,,,5630664777,212,9.3,5630664779,213,2.38,5630664773,140,4.6,5630664771,56,Back,5630664775,141,56.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797267805,18,1,1,1,23,33hzf6j2rd9r50g2n4agsytkd,0,8.3,59.1,2025-04-06T14:32:36.369Z,2025-04-06T14:32:39Z,kod0xzh15xxa52700ufz7kyd,M. Krasniqi,,,5630664983,56,Center,5630664993,1,,5630664987,141,70.9,5630664985,140,62.7,5630664991,213,0.14,5630664981,157,,5630664989,212,57.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797267821,20,1,1,1,26,spvvjmk37iid7hsky9g3nce7,0,34.8,16.5,2025-04-06T14:32:39.563Z,2025-04-06T14:32:40Z,507n9mr51v21q8isz9ll3m6eh,A. Norén,,,5630665119,213,0.05,5630665109,3,,5630665117,212,22.4,5630665113,140,56.1,5630665111,56,Right,5630665115,141,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797267827,19,8,1,1,27,33hzf6j2rd9r50g2n4agsytkd,1,48.1,71.7,2025-04-06T14:32:40.304Z,2025-04-06T14:32:40Z,7d9e5tvw9ghew36m4mh2nr23u,W. Milovanovic,,,5630665139,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797267853,20,1,1,1,30,33hzf6j2rd9r50g2n4agsytkd,0,44.1,85.7,2025-04-06T14:32:43.104Z,2025-04-06T14:32:44Z,7d9e5tvw9ghew36m4mh2nr23u,W. Milovanovic,,,5630665289,140,41.5,5630665369,233,21,5630665373,286,,5630665287,56,Back,5630665293,212,2.8,5630665291,141,84.5,5630665295,213,3.43,5630665367,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797267863,21,74,1,1,30,spvvjmk37iid7hsky9g3nce7,1,55.8,6.5,2025-04-06T14:32:43.105Z,2025-04-06T15:28:59Z,23iwje6cgkgc05szzf2l5z97u,H. Johansson,,,5630665337,285,,5630665399,233,20,5630665335,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797267879,21,5,1,1,31,33hzf6j2rd9r50g2n4agsytkd,1,44.8,101.6,2025-04-06T14:32:44.707Z,2025-04-06T15:28:24Z,7d9e5tvw9ghew36m4mh2nr23u,W. Milovanovic,,,5630665457,347,,5630665487,233,22,5630665455,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797267873,22,5,1,1,31,spvvjmk37iid7hsky9g3nce7,0,55.2,-1.6,2025-04-06T14:32:44.707Z,2025-04-06T15:28:25Z,23iwje6cgkgc05szzf2l5z97u,H. Johansson,,,5630665413,347,,5630665411,56,Right,5630665525,233,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797267943,22,1,1,1,34,33hzf6j2rd9r50g2n4agsytkd,1,48.9,100.0,2025-04-06T14:32:47.184Z,2025-04-06T14:32:51Z,7d9e5tvw9ghew36m4mh2nr23u,W. Milovanovic,,,5630665851,141,95.0,5630665855,213,3.55,5630665847,56,Back,5630665845,107,,5630665853,212,10.2,5630665849,140,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797267945,23,1,1,1,35,33hzf6j2rd9r50g2n4agsytkd,1,39.1,93.8,2025-04-06T14:32:48.656Z,2025-04-06T14:32:51Z,4nx0njulsjs2hegiee011dxpl,R. Frej,,,5630665861,56,Back,5630665865,141,80.6,5630665863,140,39.2,5630665867,212,9.0,5630665869,213,4.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797267963,24,1,1,1,37,33hzf6j2rd9r50g2n4agsytkd,1,38.6,75.0,2025-04-06T14:32:50.528Z,2025-04-06T14:32:52Z,7ctf2925tg7mc3a05unhxsd1w,H. Ibrahim,,,5630665965,140,31.9,5630665967,141,57.5,5630665963,56,Back,5630665971,213,4.18,5630665969,212,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797268019,25,1,1,1,39,33hzf6j2rd9r50g2n4agsytkd,1,27.7,47.0,2025-04-06T14:32:52.400Z,2025-04-06T14:32:57Z,7wesnkwthjcluc9b83s8ab1g4,O. Ågren,,,5630666325,56,Back,5630666333,213,5.05,5630666329,141,23.4,5630666331,212,17.0,5630666327,140,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797268065,26,1,1,1,43,33hzf6j2rd9r50g2n4agsytkd,1,57.8,11.4,2025-04-06T14:32:56.848Z,2025-04-06T14:33:00Z,5ijbt4bhic3y1zasavky12311,A. Wängberg,,,5630666595,212,4.9,5630666591,140,55.9,5630666597,213,1.99,5630666593,141,18.0,5630666589,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797268059,23,45,1,1,46,spvvjmk37iid7hsky9g3nce7,0,44.5,81.6,2025-04-06T14:32:59.716Z,2025-04-06T15:31:11Z,drzdo6ouxi5n4jafhfajpor85,N. Røjkjær,,,5630666559,56,Back,5630666891,233,27,5630666563,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797268109,27,3,1,1,46,33hzf6j2rd9r50g2n4agsytkd,1,55.5,18.4,2025-04-06T14:32:59.716Z,2025-04-06T15:31:11Z,7ctf2925tg7mc3a05unhxsd1w,H. Ibrahim,,,5630666841,233,23,5630666833,56,Right,5630666835,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797268189,28,1,1,1,49,33hzf6j2rd9r50g2n4agsytkd,1,69.0,16.4,2025-04-06T14:33:02.799Z,2025-04-06T14:33:07Z,7ctf2925tg7mc3a05unhxsd1w,H. Ibrahim,,,5630667225,56,Right,5630667235,212,12.4,5630667229,140,78.9,5630667237,213,5.70,5630667233,141,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797268247,29,1,1,1,54,33hzf6j2rd9r50g2n4agsytkd,1,85.5,17.3,2025-04-06T14:33:07.232Z,2025-04-06T14:33:09Z,6ivuk1j53ybmv5hhzp55ybzzd,G. Lundgren,,,5630667519,212,10.4,5630667521,213,2.04,5630667513,56,Center,5630667517,141,30.9,5630667515,140,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797268277,30,1,1,1,56,33hzf6j2rd9r50g2n4agsytkd,1,80.2,30.9,2025-04-06T14:33:09.744Z,2025-04-06T14:33:12Z,7ctf2925tg7mc3a05unhxsd1w,H. Ibrahim,,,5630667715,140,75.4,5630667713,56,Right,5630667721,213,4.16,5630667719,212,9.6,5630667717,141,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797268255,24,83,1,1,57,spvvjmk37iid7hsky9g3nce7,0,30.9,72.0,2025-04-06T14:33:10.156Z,2025-04-06T14:33:13Z,93qjy2eilbuufwu2kbwpfng7p,V. Gustafson,,,5630667873,399,6ivuk1j53ybmv5hhzp55ybzzd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797268287,31,1,1,1,59,33hzf6j2rd9r50g2n4agsytkd,0,73.9,18.3,2025-04-06T14:33:12.272Z,2025-04-06T14:33:13Z,6ivuk1j53ybmv5hhzp55ybzzd,G. Lundgren,,,5630667765,155,,5630667763,2,,5630667767,56,Right,5630667771,141,21.0,5630667775,213,0.83,5630667773,212,2.5,5630667769,140,75.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797268291,25,61,1,2,0,spvvjmk37iid7hsky9g3nce7,1,26.8,80.3,2025-04-06T14:33:13.435Z,2025-04-06T14:33:13Z,czfitwajt0sayki90i3fk5n85,J. Gustavsson,,,5630667797,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797268347,32,1,1,2,1,33hzf6j2rd9r50g2n4agsytkd,1,59.4,26.2,2025-04-06T14:33:14.560Z,2025-04-06T14:33:16Z,b3jbj4ayr4x1x0ynt9dcu5u6s,F. Beckman,,,5630668181,212,9.6,5630668179,141,15.5,5630668183,213,5.43,5630668175,56,Right,5630668173,3,,5630668177,140,65.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797268403,33,1,1,2,3,33hzf6j2rd9r50g2n4agsytkd,1,65.4,15.5,2025-04-06T14:33:16.464Z,2025-04-06T14:33:19Z,7wesnkwthjcluc9b83s8ab1g4,O. Ågren,,,5630668489,213,5.38,5630668483,140,68.8,5630668487,212,5.8,5630668485,141,8.8,5630668481,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797268439,34,1,1,2,6,33hzf6j2rd9r50g2n4agsytkd,1,69.9,9.8,2025-04-06T14:33:19.744Z,2025-04-06T14:33:21Z,6ivuk1j53ybmv5hhzp55ybzzd,G. Lundgren,,,5630668703,212,6.9,5630668699,140,76.4,5630668697,56,Right,5630668705,213,6.11,5630668701,141,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
