id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/value
2819955121,92,7,1,0,7,czkf5t3ai00ghwbga03i5aqxw,0,19.1,23.8,2025-05-29T16:00:38.634Z,2025-05-29T16:57:55Z,5jos8v6hr086q8at9iuyhwded,M. Tenho,,,5756033035,56,Back,5756033051,233,69,5756033037,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819955119,70,61,1,0,8,ac8jow4mdkvnsv5s0och4qqm,1,81.1,74.8,2025-05-29T16:00:40.474Z,2025-05-29T16:10:20Z,9niqy9wbsy6b03fa5iyx22gic,E. Alladoh,,,5756033225,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819953255,4,12,1,0,9,czkf5t3ai00ghwbga03i5aqxw,1,22.4,16.0,2025-05-29T16:00:41.019Z,2025-05-29T16:10:12Z,2zjl0xu23wp9j6ciq25irsq38,I. Alemayehu,,,5756021747,141,8.2,5756021751,213,5.73,5756021743,56,Back,5756021749,212,10.0,5756021745,140,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819955931,115,61,1,0,10,czkf5t3ai00ghwbga03i5aqxw,1,22.8,17.2,2025-05-29T16:00:41.773Z,2025-05-29T16:13:33Z,a3jetivxcnpp4z36nhboz5ysq,S. Haarala,,,5756037125,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819953253,8,1,1,0,11,ac8jow4mdkvnsv5s0och4qqm,1,68.9,90.4,2025-05-29T16:00:43.039Z,2025-05-29T16:13:39Z,4smb0sorl9dms1k26si6tbqzu,F. Christensen,,,5756021735,141,79.3,5756021737,212,9.1,5756021733,140,73.8,5756021731,56,Left,5756021739,213,5.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819955857,97,1,1,0,12,ac8jow4mdkvnsv5s0och4qqm,1,76.9,80.1,2025-05-29T16:00:44.235Z,2025-05-29T16:13:48Z,c9qk8n9d4130okk9go1brzskq,K. Ackermann,,,5756037427,213,2.25,5756037423,141,92.8,5756037421,140,70.2,5756037419,56,Left,5756037425,212,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819955853,96,1,1,0,14,ac8jow4mdkvnsv5s0och4qqm,1,69.9,83.0,2025-05-29T16:00:46.060Z,2025-05-29T16:14:00Z,4smb0sorl9dms1k26si6tbqzu,F. Christensen,,,5756037669,213,3.63,5756037661,56,Center,5756037667,212,13.2,5756037663,140,58.8,5756037665,141,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819953259,9,1,1,0,15,ac8jow4mdkvnsv5s0och4qqm,1,58.3,79.1,2025-05-29T16:00:47.495Z,2025-05-29T16:00:51Z,17zz0x6tm20e9yfh4q5ehaf9x,S. Martinsson Ngouali,,,5756021773,213,3.22,5756021765,56,Back,5756021767,140,37.2,5756021771,212,22.2,5756021769,141,76.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819953273,10,1,1,0,19,ac8jow4mdkvnsv5s0och4qqm,1,23.5,71.2,2025-05-29T16:00:50.935Z,2025-05-29T16:00:57Z,8unnvgvft6knxupbp9oxh621h,E. Hovland,,,5756021817,56,Back,5756021821,141,30.9,5756021825,213,4.77,5756021819,140,25.1,5756021823,212,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819953279,11,1,1,0,25,ac8jow4mdkvnsv5s0och4qqm,0,38.0,22.1,2025-05-29T16:00:57.352Z,2025-05-29T16:01:01Z,253za05jf3mmaqkjndm10d2lm,H. Karlsson,,,5756021861,140,86.7,5756021865,212,51.1,5756021859,56,Center,5756021869,1,,5756021867,213,6.27,5756021863,141,21.3,5756021857,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819953281,5,1,1,0,28,czkf5t3ai00ghwbga03i5aqxw,1,13.4,77.5,2025-05-29T16:01:00.532Z,2025-05-29T16:01:02Z,ebhyx7fm13sy9qjf4vylzg89h,J. Une Larsson,,,5756021879,141,95.6,5756021889,213,1.08,5756021871,56,Back,5756021883,212,14.0,5756021875,140,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819953291,7,1,1,0,31,czkf5t3ai00ghwbga03i5aqxw,1,19.7,95.6,2025-05-29T16:01:02.818Z,2025-05-29T16:01:06Z,ab3og2sas7q4czd31wbdbnro,K. Kosugi,,,5756021917,213,6.26,5756021909,56,Back,5756021913,141,95.1,5756021911,140,36.4,5756021915,212,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819953293,8,1,1,0,34,czkf5t3ai00ghwbga03i5aqxw,0,37.7,99.1,2025-05-29T16:01:05.938Z,2025-05-29T16:15:50Z,dkc69jkzi4e9ysgmwldz249as,M. Siltanen,,,5756021933,212,2.5,5756039933,233,112,5756021929,140,36.9,5756039783,286,,5756021935,213,4.36,5756039781,236,,5756021927,56,Back,5756021931,141,95.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819956273,112,74,1,0,34,ac8jow4mdkvnsv5s0och4qqm,1,63.0,1.9,2025-05-29T16:01:05.939Z,2025-05-29T16:15:50Z,aqjwz3wm0it916o2vb5tz9vxl,A. Timossi Andersson,,,5756039929,285,,5756039937,233,8,5756039927,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819953305,13,1,1,0,36,ac8jow4mdkvnsv5s0och4qqm,1,74.6,14.0,2025-05-29T16:01:08.552Z,2025-05-29T16:01:12Z,hm7w2b4a6j0q3bprq118r5uy,A. Jakobsen,,,5756021983,140,73.8,5756021979,56,Right,5756021987,141,8.2,5756021991,212,4.0,5756021995,213,4.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819956753,124,50,1,0,38,ac8jow4mdkvnsv5s0och4qqm,1,74.6,17.8,2025-05-29T16:01:09.798Z,2025-05-29T16:57:56Z,ci5y030e6r9umgyjbupwske7d,Daleho Irandust,,,5756044227,233,153,5756044015,56,Right,5756044017,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819956765,153,7,1,0,38,czkf5t3ai00ghwbga03i5aqxw,1,25.4,82.2,2025-05-29T16:01:09.799Z,2025-05-29T16:57:56Z,dkc69jkzi4e9ysgmwldz249as,M. Siltanen,,,5756044219,233,124,5756044203,56,Back,5756044205,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819953307,14,43,1,0,40,ac8jow4mdkvnsv5s0och4qqm,1,0.0,0.0,2025-05-29T16:01:11.864Z,2025-05-29T16:01:21Z,ci5y030e6r9umgyjbupwske7d,Daleho Irandust,,,5756022123,144,61,5756022005,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819956767,154,50,1,0,43,czkf5t3ai00ghwbga03i5aqxw,1,22.5,97.5,2025-05-29T16:01:14.974Z,2025-05-29T16:18:58Z,ab3og2sas7q4czd31wbdbnro,K. Kosugi,,,5756045513,56,Back,5756045809,233,125,5756045899,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819956761,125,7,1,0,43,ac8jow4mdkvnsv5s0och4qqm,1,77.5,2.5,2025-05-29T16:01:14.975Z,2025-05-29T16:18:54Z,ci5y030e6r9umgyjbupwske7d,Daleho Irandust,,,5756045907,286,,5756045785,56,Right,5756045803,233,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819953323,15,50,1,0,45,ac8jow4mdkvnsv5s0och4qqm,1,88.2,5.6,2025-05-29T16:01:17.237Z,2025-05-29T16:01:23Z,ci5y030e6r9umgyjbupwske7d,Daleho Irandust,,,5756022065,56,Right,5756022067,286,,5756022085,233,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819953325,9,7,1,0,45,czkf5t3ai00ghwbga03i5aqxw,1,11.8,94.4,2025-05-29T16:01:17.238Z,2025-05-29T16:01:22Z,ab3og2sas7q4czd31wbdbnro,K. Kosugi,,,5756022077,285,,5756022079,233,15,5756022075,56,Back,5756022069,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819953339,10,5,1,0,47,czkf5t3ai00ghwbga03i5aqxw,0,15.6,101.8,2025-05-29T16:01:18.688Z,2025-05-29T16:30:45Z,ab3og2sas7q4czd31wbdbnro,K. Kosugi,,,5756022131,56,Back,5756022147,233,16,5756022133,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819953329,16,5,1,0,47,ac8jow4mdkvnsv5s0och4qqm,1,84.4,-1.8,2025-05-29T16:01:18.688Z,2025-05-29T16:30:45Z,ci5y030e6r9umgyjbupwske7d,Daleho Irandust,,,5756022143,233,10,5756022087,56,Right,5756022089,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819953361,17,1,1,1,5,ac8jow4mdkvnsv5s0och4qqm,1,87.7,0.0,2025-05-29T16:01:36.825Z,2025-05-29T16:19:22Z,aqjwz3wm0it916o2vb5tz9vxl,A. Timossi Andersson,,,5756022305,141,9.7,5756022299,107,,5756022307,212,8.0,5756022303,140,90.1,5756022301,56,Right,5756022309,213,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819953363,18,1,1,1,6,ac8jow4mdkvnsv5s0och4qqm,1,90.0,9.8,2025-05-29T16:01:37.879Z,2025-05-29T16:01:39Z,ci5y030e6r9umgyjbupwske7d,Daleho Irandust,,,5756022321,213,3.71,5756022319,212,7.0,5756022349,156,,5756022315,140,84.4,5756022317,141,4.3,5756022313,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819957771,150,1,1,1,9,ac8jow4mdkvnsv5s0och4qqm,1,88.2,2.1,2025-05-29T16:01:40.998Z,2025-05-29T16:20:07Z,aqjwz3wm0it916o2vb5tz9vxl,A. Timossi Andersson,,,5756048137,56,Right,5756048141,141,5.2,5756048139,140,76.1,5756048145,213,2.98,5756048143,212,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819953375,19,1,1,1,10,ac8jow4mdkvnsv5s0och4qqm,0,83.2,6.7,2025-05-29T16:01:41.607Z,2025-05-29T16:20:12Z,17zz0x6tm20e9yfh4q5ehaf9x,S. Martinsson Ngouali,,,5756022379,2,,5756022389,212,31.7,5756022385,140,97.4,5756022391,213,1.08,5756022387,141,47.9,5756022383,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819953391,12,80,1,1,19,czkf5t3ai00ghwbga03i5aqxw,0,6.4,47.2,2025-05-29T16:01:50.818Z,2025-05-29T16:20:27Z,d5jgrd0clyl4rskqu6j8hcwkp,F. Manojlović,,,5756048793,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819953427,13,1,1,1,28,czkf5t3ai00ghwbga03i5aqxw,1,14.4,43.4,2025-05-29T16:01:59.762Z,2025-05-29T16:02:03Z,d5jgrd0clyl4rskqu6j8hcwkp,F. Manojlović,,,5756022649,56,Back,5756022655,212,14.6,5756022651,140,18.8,5756022653,141,23.0,5756022657,213,5.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819953439,14,1,1,1,31,czkf5t3ai00ghwbga03i5aqxw,0,19.9,16.7,2025-05-29T16:02:03.106Z,2025-05-29T16:02:05Z,5jos8v6hr086q8at9iuyhwded,M. Tenho,,,5756022719,141,33.9,5756022721,212,44.8,5756022723,213,0.26,5756022715,56,Center,5756022725,1,,5756022713,155,,5756022717,140,61.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819953445,20,1,1,1,36,ac8jow4mdkvnsv5s0och4qqm,1,26.4,59.1,2025-05-29T16:02:08.201Z,2025-05-29T16:21:48Z,8unnvgvft6knxupbp9oxh621h,E. Hovland,,,5756022759,140,53.4,5756022761,141,67.9,5756022757,56,Center,5756022763,212,29.0,5756051493,3,,5756022765,213,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819958283,170,1,1,1,37,ac8jow4mdkvnsv5s0och4qqm,1,51.3,69.3,2025-05-29T16:02:09.005Z,2025-05-29T16:21:41Z,c9qk8n9d4130okk9go1brzskq,K. Ackermann,,,5756050835,141,82.0,5756051269,168,,5756050841,213,0.93,5756050829,56,Left,5756050831,140,57.4,5756050839,212,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819953461,22,1,1,1,39,ac8jow4mdkvnsv5s0och4qqm,1,60.5,85.9,2025-05-29T16:02:10.632Z,2025-05-29T16:02:14Z,9niqy9wbsy6b03fa5iyx22gic,E. Alladoh,,,5756022831,140,43.8,5756022835,212,17.9,5756022837,213,2.93,5756022829,56,Back,5756022833,141,91.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819953469,23,1,1,1,42,ac8jow4mdkvnsv5s0och4qqm,1,43.0,93.2,2025-05-29T16:02:13.880Z,2025-05-29T16:22:08Z,4smb0sorl9dms1k26si6tbqzu,F. Christensen,,,5756022871,56,Left,5756022875,141,91.1,5756022877,212,17.1,5756022873,140,59.2,5756022879,213,6.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819953479,24,1,1,1,44,ac8jow4mdkvnsv5s0och4qqm,1,62.4,93.2,2025-05-29T16:02:16.040Z,2025-05-29T16:02:17Z,c9qk8n9d4130okk9go1brzskq,K. Ackermann,,,5756022933,212,8.2,5756022929,140,66.7,5756022927,56,Left,5756022931,141,83.2,5756022935,213,5.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819953483,25,1,1,1,46,ac8jow4mdkvnsv5s0och4qqm,1,71.7,82.0,2025-05-29T16:02:17.608Z,2025-05-29T16:02:20Z,hm7w2b4a6j0q3bprq118r5uy,A. Jakobsen,,,5756022957,140,78.4,5756022963,213,0.95,5756022959,141,96.6,5756022955,56,Left,5756022961,212,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819953489,26,1,1,1,49,ac8jow4mdkvnsv5s0och4qqm,0,82.2,91.2,2025-05-29T16:02:20.759Z,2025-05-29T16:02:22Z,7qgiqoaaarr6c2bs4yffqwju2,V. Lind,,,5756022991,2,,5756022999,141,52.8,5756023003,213,4.98,5756023001,212,27.0,5756022995,56,Center,5756022997,140,88.9,5756022993,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819953493,15,12,1,1,50,czkf5t3ai00ghwbga03i5aqxw,1,14.1,48.5,2025-05-29T16:02:22.274Z,2025-05-29T16:02:28Z,ebhyx7fm13sy9qjf4vylzg89h,J. Une Larsson,,,5756023015,212,19.9,5756023017,213,0.21,5756023031,15,,5756023013,141,54.6,5756023009,56,Back,5756023011,140,32.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819953509,27,1,1,1,55,ac8jow4mdkvnsv5s0och4qqm,0,65.0,38.0,2025-05-29T16:02:27.383Z,2025-05-29T16:02:28Z,17zz0x6tm20e9yfh4q5ehaf9x,S. Martinsson Ngouali,,,5756023097,157,,5756023103,141,47.2,5756023107,213,0.58,5756023109,1,,5756023099,56,Center,5756023105,212,11.3,5756023101,140,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819953519,16,1,1,1,57,czkf5t3ai00ghwbga03i5aqxw,0,22.1,47.6,2025-05-29T16:02:28.771Z,2025-05-29T16:02:31Z,ebhyx7fm13sy9qjf4vylzg89h,J. Une Larsson,,,5756023161,140,31.8,5756023165,212,13.1,5756023167,213,5.60,5756023163,141,35.5,5756023157,3,,5756023159,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819953523,28,44,1,1,58,ac8jow4mdkvnsv5s0och4qqm,1,67.5,61.8,2025-05-29T16:02:30.321Z,2025-05-29T16:22:58Z,4smb0sorl9dms1k26si6tbqzu,F. Christensen,,,5756023175,56,Center,5756023177,286,,5756023179,233,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819953521,17,44,1,1,58,czkf5t3ai00ghwbga03i5aqxw,0,32.5,38.2,2025-05-29T16:02:30.322Z,2025-05-29T16:22:59Z,a3jetivxcnpp4z36nhboz5ysq,S. Haarala,,,5756023195,233,28,5756023171,56,Back,5756023173,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819953537,29,1,1,1,59,ac8jow4mdkvnsv5s0och4qqm,0,65.4,54.0,2025-05-29T16:02:31.032Z,2025-05-29T16:02:37Z,4smb0sorl9dms1k26si6tbqzu,F. Christensen,,,5756023271,213,5.03,5756023269,212,3.4,5756023261,3,,5756023267,141,49.3,5756023263,56,Center,5756023265,140,66.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819959037,189,1,1,2,0,ac8jow4mdkvnsv5s0och4qqm,0,66.8,45.6,2025-05-29T16:02:31.640Z,2025-05-29T16:23:38Z,c9qk8n9d4130okk9go1brzskq,K. Ackermann,,,5756055111,56,Center,5756055115,141,50.3,5756055117,212,4.6,5756055109,3,,5756055113,140,69.9,5756055119,213,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819953539,18,44,1,2,1,czkf5t3ai00ghwbga03i5aqxw,1,29.4,42.8,2025-05-29T16:02:33.538Z,2025-05-29T16:02:37Z,csd7qb9u0a9am2ltse9w31uz8,T. Bergvall,,,5756023275,56,Back,5756023337,233,31,5756023277,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819953545,31,44,1,2,1,ac8jow4mdkvnsv5s0och4qqm,0,72.2,62.6,2025-05-29T16:02:33.539Z,2025-05-29T16:02:37Z,ci5y030e6r9umgyjbupwske7d,Daleho Irandust,,,5756023307,56,Center,5756023309,286,,5756023371,233,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819953541,30,43,1,2,2,ac8jow4mdkvnsv5s0och4qqm,1,0.0,0.0,2025-05-29T16:02:33.799Z,2025-05-29T16:24:07Z,ci5y030e6r9umgyjbupwske7d,Daleho Irandust,,,5756023289,213,0.65,5756023279,3,0,5756023281,56,Center,5756056413,144,1,5756023287,212,2.9,5756023283,140,68.9,5756023285,141,51.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819953547,19,1,1,2,2,czkf5t3ai00ghwbga03i5aqxw,1,27.6,36.4,2025-05-29T16:02:34.067Z,2025-05-29T16:23:56Z,csd7qb9u0a9am2ltse9w31uz8,T. Bergvall,,,5756023311,3,,5756023315,140,39.0,5756023317,141,38.7,5756023313,56,Back,5756023321,213,0.13,5756023319,212,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
