id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value
2813584949,16,1,1,0,39,cfvya7igkhkas7wvsktwz6j8k,1,43.1,93.8,2025-05-11T14:32:52.595Z,2025-05-11T14:32:54Z,6bri5bqx4wq8jy49qf5hjney2,D. Ljung,,,5720645503,56,Back,5720645507,141,76.6,5720645509,212,11.7,5720645505,140,42.9,5720645511,213,4.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813585029,17,1,1,0,42,cfvya7igkhkas7wvsktwz6j8k,1,37.2,74.1,2025-05-11T14:32:55.282Z,2025-05-11T14:32:59Z,dl3faj0dj1z16de9rb63nxyp5,M. Christensen,,,5720645945,213,4.31,5720645941,141,40.4,5720645937,56,Back,5720645939,140,27.8,5720645943,212,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813585051,18,1,1,0,47,cfvya7igkhkas7wvsktwz6j8k,1,39.4,20.3,2025-05-11T14:32:59.810Z,2025-05-11T14:33:02Z,e96wc563k8h3w7049l1nvcokq,M. Adolfsson,,,5720646079,213,5.59,5720646075,141,5.3,5720646071,56,Right,5720646073,140,51.2,5720646077,212,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813585089,18,45,1,0,50,1939bnru25svvgv15k2c7tw2y,0,38.6,96.8,2025-05-11T14:33:02.802Z,2025-05-11T16:35:25Z,2d1dh619cfgvel4bv7tpfxjo5,N. Hult,,,5720646287,56,Back,5720646355,233,19,5720646289,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813585069,19,3,1,0,50,cfvya7igkhkas7wvsktwz6j8k,1,61.4,3.2,2025-05-11T14:33:02.802Z,2025-05-11T16:35:25Z,99dbjsnn2lagcp44boyghq9zo,K. Gyamfi,,,5720646171,56,Right,5720646343,233,18,5720646173,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813585107,20,1,1,0,52,cfvya7igkhkas7wvsktwz6j8k,1,65.7,5.0,2025-05-11T14:33:05.238Z,2025-05-11T14:33:06Z,99dbjsnn2lagcp44boyghq9zo,K. Gyamfi,,,5720646403,213,2.15,5720646397,140,62.6,5720646399,141,12.3,5720646395,56,Right,5720646401,212,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813585133,21,1,1,0,53,cfvya7igkhkas7wvsktwz6j8k,1,62.6,12.0,2025-05-11T14:33:06.147Z,2025-05-11T14:33:08Z,bs0mkqzsgcrk6tswsxj5a83c9,A. Mörfelt,,,5720646545,56,Back,5720646551,212,19.3,5720646549,141,11.7,5720646553,213,3.15,5720646547,140,44.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813585185,22,1,1,0,55,cfvya7igkhkas7wvsktwz6j8k,1,44.2,13.4,2025-05-11T14:33:07.938Z,2025-05-11T14:33:13Z,e96wc563k8h3w7049l1nvcokq,M. Adolfsson,,,5720646823,56,Back,5720646839,213,1.91,5720646835,212,29.7,5720646831,141,54.5,5720646825,140,34.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813585223,23,1,1,1,2,cfvya7igkhkas7wvsktwz6j8k,1,32.8,60.0,2025-05-11T14:33:14.867Z,2025-05-11T14:33:17Z,4kmd502s272vf5wgkx8hk4vl5,I. Kričak,,,5720647019,56,Back,5720647025,212,7.6,5720647021,140,39.5,5720647023,141,55.7,5720647027,213,5.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813585239,24,1,1,1,4,cfvya7igkhkas7wvsktwz6j8k,1,39.1,53.0,2025-05-11T14:33:17.411Z,2025-05-11T14:33:19Z,4p1gi0hkamzt27nm2nf1j90bt,D. Seger,,,5720647113,213,4.38,5720647107,141,33.4,5720647099,56,Back,5720647103,140,34.7,5720647109,212,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813585301,25,1,1,1,6,cfvya7igkhkas7wvsktwz6j8k,1,36.9,34.3,2025-05-11T14:33:18.851Z,2025-05-11T14:33:24Z,e96wc563k8h3w7049l1nvcokq,M. Adolfsson,,,5720647423,141,52.4,5720647427,213,1.60,5720647419,56,Back,5720647425,212,12.3,5720647421,140,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813585363,26,1,1,1,11,cfvya7igkhkas7wvsktwz6j8k,1,36.3,66.1,2025-05-11T14:33:24.019Z,2025-05-11T14:33:28Z,4p1gi0hkamzt27nm2nf1j90bt,D. Seger,,,5720647711,56,Back,5720647723,213,4.67,5720647721,212,13.9,5720647713,140,35.8,5720647717,141,45.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813585389,27,1,1,1,15,cfvya7igkhkas7wvsktwz6j8k,1,33.5,44.5,2025-05-11T14:33:28.018Z,2025-05-11T14:33:30Z,dl3faj0dj1z16de9rb63nxyp5,M. Christensen,,,5720647885,213,4.92,5720647881,141,6.7,5720647879,140,38.6,5720647877,56,Back,5720647883,212,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813585427,28,1,1,1,17,cfvya7igkhkas7wvsktwz6j8k,1,38.6,6.5,2025-05-11T14:33:30.275Z,2025-05-11T14:33:34Z,99dbjsnn2lagcp44boyghq9zo,K. Gyamfi,,,5720648149,56,Back,5720648155,212,17.5,5720648151,140,25.2,5720648157,213,2.50,5720648153,141,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813585467,29,1,1,1,21,cfvya7igkhkas7wvsktwz6j8k,1,23.7,22.4,2025-05-11T14:33:34.083Z,2025-05-11T14:45:36Z,e96wc563k8h3w7049l1nvcokq,M. Adolfsson,,,5720648399,213,2.41,5720648387,140,3.5,5720648395,212,28.6,5720648391,141,50.6,5720648381,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813585501,30,1,1,1,25,cfvya7igkhkas7wvsktwz6j8k,1,4.2,52.1,2025-05-11T14:33:38.019Z,2025-05-11T14:33:41Z,aadwnc8p356rns7i7nyttyy5m,R. Wallinder,,,5720648593,213,1.18,5720648587,140,10.2,5720648585,56,Back,5720648589,141,74.8,5720648591,212,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813585521,31,1,1,1,28,cfvya7igkhkas7wvsktwz6j8k,1,10.2,74.8,2025-05-11T14:33:40.755Z,2025-05-11T14:33:42Z,4kmd502s272vf5wgkx8hk4vl5,I. Kričak,,,5720648693,140,20.9,5720648697,212,15.1,5720648695,141,89.6,5720648691,56,Back,5720648699,213,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813585535,32,1,1,1,29,cfvya7igkhkas7wvsktwz6j8k,1,20.9,89.6,2025-05-11T14:33:42.114Z,2025-05-11T14:33:42Z,c09quzlxh0hscffbfzbtohi7e,L. Bergquist,,,5720648769,212,6.8,5720648765,140,26.7,5720648771,213,0.47,5720648763,56,Back,5720648767,141,94.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813585565,33,1,1,1,30,cfvya7igkhkas7wvsktwz6j8k,1,27.8,95.4,2025-05-11T14:33:42.739Z,2025-05-11T14:33:45Z,6bri5bqx4wq8jy49qf5hjney2,D. Ljung,,,5720648913,212,5.5,5720648909,140,30.3,5720648907,56,Back,5720648915,213,5.21,5720648911,141,88.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813585611,34,1,1,1,32,cfvya7igkhkas7wvsktwz6j8k,1,41.5,93.3,2025-05-11T14:33:45.618Z,2025-05-11T14:33:49Z,c09quzlxh0hscffbfzbtohi7e,L. Bergquist,,,5720649185,56,Center,5720649189,140,58.9,5720649195,141,69.9,5720649199,212,24.2,5720649203,213,5.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813585619,35,61,1,1,34,cfvya7igkhkas7wvsktwz6j8k,0,68.9,73.8,2025-05-11T14:33:47.533Z,2025-05-11T14:46:35Z,4p1gi0hkamzt27nm2nf1j90bt,D. Seger,,,5720649233,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813585867,20,43,1,1,34,1939bnru25svvgv15k2c7tw2y,1,0.0,0.0,2025-05-11T14:33:47.534Z,2025-05-11T14:46:32Z,6legryh9z8lvc4bq4s456m09h,S. Holmén,,,5720650923,233,35,5720650639,285,0,5720650637,56,Back,5720713507,144,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813585627,19,4,1,1,37,1939bnru25svvgv15k2c7tw2y,1,29.8,28.6,2025-05-11T14:33:50.190Z,2025-05-11T16:35:06Z,6legryh9z8lvc4bq4s456m09h,S. Holmén,,,5720649267,56,Back,5720650053,152,,5720650055,265,,5720650049,13,,5720650675,233,36,5720649269,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813585741,36,4,1,1,37,cfvya7igkhkas7wvsktwz6j8k,0,70.2,71.4,2025-05-11T14:33:50.191Z,2025-05-11T16:35:07Z,4p1gi0hkamzt27nm2nf1j90bt,D. Seger,,,5720650035,56,Center,5720650039,265,,5720650767,233,19,5720650041,286,,5720650033,13,,5720650037,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813585947,21,1,1,2,0,1939bnru25svvgv15k2c7tw2y,1,29.8,28.3,2025-05-11T14:34:13.616Z,2025-05-11T14:34:15Z,21abg7evjtjt6kzisu43jckmi,B. Zeneli,,,5720651137,152,,5720651145,212,10.0,5720651141,140,22.5,5720651143,141,18.8,5720651147,213,3.84,5720651135,5,,5720651139,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813585957,22,1,1,2,2,1939bnru25svvgv15k2c7tw2y,1,23.1,18.8,2025-05-11T14:34:14.894Z,2025-05-11T14:34:15Z,6legryh9z8lvc4bq4s456m09h,S. Holmén,,,5720651181,140,40.7,5720651185,212,18.5,5720651179,56,Back,5720651187,213,6.22,5720651183,141,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
