id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/8/value,qualifier/14/value,qualifier/15/value,qualifier/16/value
2814692783,5,43,1,0,12,2nnlsjfbcea40t4jeclcbw9lk,1,0.0,0.0,2025-05-14T17:01:26.493Z,2025-05-14T17:10:52Z,,,,,5726847239,344,0,5726867273,144,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814696425,57,1,1,0,12,4jg5vd59i24chckyua90dr1lg,1,76.2,34.4,2025-05-14T17:01:26.501Z,2025-05-14T17:11:35Z,9mvwnz2zlvx54nggvvw3l9ega,R. Ure,,,5726868857,213,2.08,5726868851,140,72.4,5726868855,212,8.2,5726868849,56,Center,5726868853,141,45.0,5726868847,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814692789,6,43,1,0,13,2nnlsjfbcea40t4jeclcbw9lk,1,0.0,0.0,2025-05-14T17:01:27.132Z,2025-05-14T17:10:54Z,,,,,5726867363,144,79,5726847257,344,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814692799,6,1,1,0,13,4jg5vd59i24chckyua90dr1lg,0,77.5,43.3,2025-05-14T17:01:27.915Z,2025-05-14T17:11:48Z,2cvq4wyrr0xtelibpirkxqpsk,N. Milleskog,,,5726847287,56,Center,5726847285,157,,5726847293,212,19.6,5726847295,213,0.53,5726847289,140,93.6,5726847297,1,,5726847291,141,57.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814692837,8,1,1,0,17,2nnlsjfbcea40t4jeclcbw9lk,1,14.9,41.9,2025-05-14T17:01:31.163Z,2025-05-14T17:01:36Z,ch1ehgr9guufs2wmz5dbvmvo5,W. Hahn,,,5726847501,1,,5726847491,56,Center,5726847493,140,59.0,5726847499,213,0.29,5726847497,212,48.3,5726847489,199,,5726847495,141,62.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814692885,9,1,1,0,21,2nnlsjfbcea40t4jeclcbw9lk,1,59.0,62.3,2025-05-14T17:01:35.867Z,2025-05-14T17:01:43Z,83uml6n0wlgtirmi30sa2ihd6,S. Tounekti,,,5726847757,212,17.9,5726847751,56,Center,5726847755,141,36.9,5726847753,140,63.3,5726847759,213,4.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814692889,10,4,1,0,29,2nnlsjfbcea40t4jeclcbw9lk,1,64.8,27.6,2025-05-14T17:01:43.450Z,2025-05-14T17:12:24Z,chzhwdk4l54t2kf606bkuiaqd,N. Besara,,,5726847883,233,7,5726847783,152,,5726847787,286,,5726870905,294,,5726847781,56,Center,5726847779,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814692883,7,4,1,0,29,4jg5vd59i24chckyua90dr1lg,0,35.2,72.4,2025-05-14T17:01:43.451Z,2025-05-14T17:12:24Z,546vmchsyl1wt10pr13r5oup6,M. Heier,,,5726847887,233,10,5726847861,152,,5726847859,56,Back,5726847863,285,,5726847857,294,,5726847855,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693001,11,1,1,0,47,2nnlsjfbcea40t4jeclcbw9lk,1,61.8,34.3,2025-05-14T17:02:01.740Z,2025-05-14T17:02:03Z,cp6wq9yycl773piudi3we5b84,W. Uhrström,,,5726848347,141,28.5,5726848345,140,59.1,5726848349,212,4.9,5726848339,5,,5726848343,56,Center,5726848351,213,4.09,5726848341,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693011,12,1,1,0,48,2nnlsjfbcea40t4jeclcbw9lk,1,59.1,28.5,2025-05-14T17:02:02.955Z,2025-05-14T17:02:05Z,cyfvxg9z9aqfsoydhz7sr3qxg,M. Karlsson,,,5726848431,213,1.48,5726848427,141,33.4,5726848425,140,59.4,5726848423,56,Center,5726848429,212,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693025,13,1,1,0,51,2nnlsjfbcea40t4jeclcbw9lk,1,63.0,41.2,2025-05-14T17:02:05.147Z,2025-05-14T17:02:07Z,cp6wq9yycl773piudi3we5b84,W. Uhrström,,,5726848499,140,54.9,5726848503,212,20.0,5726848497,56,Center,5726848505,213,2.01,5726848501,141,67.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693047,14,1,1,0,53,2nnlsjfbcea40t4jeclcbw9lk,1,55.9,70.3,2025-05-14T17:02:07.659Z,2025-05-14T17:02:12Z,b1sztx2xd79amygbbvdia24et,S. Strand,,,5726848623,213,1.01,5726848619,141,91.7,5726848621,212,17.2,5726848615,56,Left,5726848617,140,64.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693051,15,1,1,0,58,2nnlsjfbcea40t4jeclcbw9lk,0,61.0,83.0,2025-05-14T17:02:12.811Z,2025-05-14T17:02:13Z,83uml6n0wlgtirmi30sa2ihd6,S. Tounekti,,,5726848637,212,2.4,5726848635,141,86.6,5726848631,56,Left,5726848633,140,61.0,5726848639,213,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693069,9,1,1,1,0,4jg5vd59i24chckyua90dr1lg,1,40.2,4.3,2025-05-14T17:02:14.348Z,2025-05-14T17:02:16Z,21ht7s882is4sisnr8dpf61yi,J. Persson,,,5726848747,141,11.9,5726848745,140,30.1,5726848749,212,11.8,5726848743,56,Back,5726848751,213,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693073,10,1,1,1,2,4jg5vd59i24chckyua90dr1lg,0,29.3,10.9,2025-05-14T17:02:16.244Z,2025-05-14T17:02:18Z,dcewpavwmjbplo5fahrzfxega,J. Voelkerling Persson,,,5726848771,140,70.3,5726848775,212,43.9,5726848769,56,Right,5726848777,213,6.08,5726848773,141,0.0,5726848779,1,,5726848767,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693075,11,5,1,1,4,4jg5vd59i24chckyua90dr1lg,0,74.0,-1.6,2025-05-14T17:02:18.759Z,2025-05-14T17:02:25Z,dcewpavwmjbplo5fahrzfxega,J. Voelkerling Persson,,,5726848855,233,16,5726848781,56,Right,5726848783,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693087,16,5,1,1,7,2nnlsjfbcea40t4jeclcbw9lk,1,26.0,101.6,2025-05-14T17:02:21.147Z,2025-05-14T17:02:24Z,5s647zr10m1nxt4xxpxkpgmw9,P. Vagić,,,5726848839,233,11,5726848823,56,Back,5726848825,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693119,17,1,1,1,8,2nnlsjfbcea40t4jeclcbw9lk,1,20.7,100.0,2025-05-14T17:02:22.780Z,2025-05-14T17:02:26Z,b1sztx2xd79amygbbvdia24et,S. Strand,,,5726848995,140,13.1,5726849001,213,3.78,5726848997,141,92.6,5726848993,56,Back,5726848999,212,9.9,5726848991,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693135,18,1,1,1,12,2nnlsjfbcea40t4jeclcbw9lk,1,13.1,92.6,2025-05-14T17:02:26.731Z,2025-05-14T17:02:28Z,5s647zr10m1nxt4xxpxkpgmw9,P. Vagić,,,5726849089,212,10.0,5726849091,213,0.31,5726849083,56,Back,5726849085,140,22.2,5726849087,141,97.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693173,19,1,1,1,14,2nnlsjfbcea40t4jeclcbw9lk,1,22.2,97.1,2025-05-14T17:02:28.716Z,2025-05-14T17:02:36Z,b1sztx2xd79amygbbvdia24et,S. Strand,,,5726849263,213,5.61,5726849259,141,83.0,5726849261,212,15.4,5726849255,56,Back,5726849257,140,33.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693175,12,83,1,1,20,4jg5vd59i24chckyua90dr1lg,0,68.3,4.9,2025-05-14T17:02:35.044Z,2025-05-14T17:13:33Z,21ht7s882is4sisnr8dpf61yi,J. Persson,,,5726849467,399,cp6wq9yycl773piudi3we5b84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693189,20,1,1,1,21,2nnlsjfbcea40t4jeclcbw9lk,1,27.3,94.2,2025-05-14T17:02:35.995Z,2025-05-14T17:02:38Z,cp6wq9yycl773piudi3we5b84,W. Uhrström,,,5726849349,56,Back,5726849353,140,15.8,5726849359,213,3.43,5726849357,212,12.6,5726849355,141,88.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693211,21,1,1,1,24,2nnlsjfbcea40t4jeclcbw9lk,1,15.6,88.7,2025-05-14T17:02:38.220Z,2025-05-14T17:02:41Z,5s647zr10m1nxt4xxpxkpgmw9,P. Vagić,,,5726849461,212,20.6,5726849463,213,4.69,5726849459,141,58.4,5726849455,56,Back,5726849457,140,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693221,22,1,1,1,27,2nnlsjfbcea40t4jeclcbw9lk,1,14.7,51.5,2025-05-14T17:02:41.580Z,2025-05-14T17:02:44Z,9s3boszvqn3fzsx0r1xswqyqy,V. Eriksson,,,5726849519,56,Back,5726849523,141,15.5,5726849525,212,27.6,5726849521,140,26.8,5726849527,213,5.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693229,23,1,1,1,30,2nnlsjfbcea40t4jeclcbw9lk,1,27.0,14.3,2025-05-14T17:02:44.316Z,2025-05-14T17:02:47Z,1ojl4m8rsuzsjufucdotav4es,H. Skoglund,,,5726849601,141,32.5,5726849605,213,2.35,5726849599,140,15.4,5726849603,212,17.4,5726849597,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693237,24,1,1,1,33,2nnlsjfbcea40t4jeclcbw9lk,1,16.8,33.3,2025-05-14T17:02:47.739Z,2025-05-14T17:02:49Z,9s3boszvqn3fzsx0r1xswqyqy,V. Eriksson,,,5726849651,212,16.0,5726849649,141,56.0,5726849645,56,Back,5726849647,140,12.9,5726849653,213,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693243,25,1,1,1,35,2nnlsjfbcea40t4jeclcbw9lk,1,13.4,57.2,2025-05-14T17:02:49.515Z,2025-05-14T17:02:51Z,5s647zr10m1nxt4xxpxkpgmw9,P. Vagić,,,5726849689,141,75.7,5726849685,56,Back,5726849687,140,21.2,5726849693,213,0.99,5726849691,212,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693253,26,1,1,1,37,2nnlsjfbcea40t4jeclcbw9lk,1,21.2,75.7,2025-05-14T17:02:51.165Z,2025-05-14T17:02:53Z,b1sztx2xd79amygbbvdia24et,S. Strand,,,5726849735,56,Back,5726849737,140,14.3,5726849743,213,4.02,5726849739,141,62.9,5726849741,212,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693283,27,1,1,1,39,2nnlsjfbcea40t4jeclcbw9lk,1,14.3,62.9,2025-05-14T17:02:53.404Z,2025-05-14T17:02:58Z,5s647zr10m1nxt4xxpxkpgmw9,P. Vagić,,,5726849923,56,Back,5726849929,212,31.0,5726849925,140,24.5,5726849931,213,5.07,5726849927,141,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693299,28,1,1,1,44,2nnlsjfbcea40t4jeclcbw9lk,1,26.7,8.6,2025-05-14T17:02:58.428Z,2025-05-14T17:03:00Z,1ojl4m8rsuzsjufucdotav4es,H. Skoglund,,,5726850019,212,13.6,5726850013,56,Back,5726850011,155,,5726850015,140,39.6,5726850017,141,6.7,5726850021,213,6.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693311,29,1,1,1,46,2nnlsjfbcea40t4jeclcbw9lk,1,39.6,6.7,2025-05-14T17:03:00.332Z,2025-05-14T17:03:02Z,chzhwdk4l54t2kf606bkuiaqd,N. Besara,,,5726850093,212,15.9,5726850087,56,Right,5726850091,141,20.9,5726850095,213,0.65,5726850089,140,51.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693321,30,1,1,1,48,2nnlsjfbcea40t4jeclcbw9lk,1,51.6,20.9,2025-05-14T17:03:02.604Z,2025-05-14T17:03:05Z,2v1tnyzorjyx7pyf3auj73ytw,Montader Madjed,,,5726850161,213,2.72,5726850155,140,43.1,5726850157,141,26.8,5726850153,56,Back,5726850159,212,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693353,31,1,1,1,50,2nnlsjfbcea40t4jeclcbw9lk,1,43.0,28.2,2025-05-14T17:03:05.100Z,2025-05-14T17:03:10Z,cyfvxg9z9aqfsoydhz7sr3qxg,M. Karlsson,,,5726850317,56,Back,5726850321,141,56.9,5726850325,213,1.32,5726850319,140,47.7,5726850323,212,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693375,32,1,1,1,55,2nnlsjfbcea40t4jeclcbw9lk,1,59.0,71.8,2025-05-14T17:03:10.028Z,2025-05-14T17:03:15Z,cp6wq9yycl773piudi3we5b84,W. Uhrström,,,5726850401,140,73.7,5726850405,212,20.2,5726850399,56,Left,5726850407,213,0.70,5726850403,141,90.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693393,33,1,1,2,0,2nnlsjfbcea40t4jeclcbw9lk,1,86.2,83.9,2025-05-14T17:03:15.003Z,2025-05-14T17:03:17Z,83uml6n0wlgtirmi30sa2ihd6,S. Tounekti,,,5726850505,141,71.7,5726850501,56,Center,5726850507,212,9.5,5726850503,140,81.8,5726850509,213,4.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693403,34,1,1,2,3,2nnlsjfbcea40t4jeclcbw9lk,1,80.1,67.8,2025-05-14T17:03:17.516Z,2025-05-14T17:03:19Z,cp6wq9yycl773piudi3we5b84,W. Uhrström,,,5726850567,141,36.3,5726850565,140,80.3,5726850563,56,Center,5726850569,212,21.4,5726850571,213,4.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693437,35,1,1,2,4,2nnlsjfbcea40t4jeclcbw9lk,1,80.3,36.3,2025-05-14T17:03:19.035Z,2025-05-14T17:03:24Z,chzhwdk4l54t2kf606bkuiaqd,N. Besara,,,5726850783,56,Center,5726850791,213,5.68,5726850789,212,13.9,5726850787,141,24.7,5726850785,140,91.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693445,36,1,1,2,9,2nnlsjfbcea40t4jeclcbw9lk,0,96.4,30.9,2025-05-14T17:03:23.996Z,2025-05-14T17:14:31Z,2v1tnyzorjyx7pyf3auj73ytw,Montader Madjed,,,5726850839,212,47.6,5726850833,56,Left,5726850843,1,,5726850837,141,100.0,5726850841,213,1.65,5726850835,140,92.6,5726875881,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693447,37,5,1,2,11,2nnlsjfbcea40t4jeclcbw9lk,0,90.1,101.2,2025-05-14T17:03:25.373Z,2025-05-14T17:03:28Z,2v1tnyzorjyx7pyf3auj73ytw,Montader Madjed,,,5726850845,56,Left,5726850891,233,13,5726850847,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693455,13,5,1,2,11,4jg5vd59i24chckyua90dr1lg,1,9.9,-1.2,2025-05-14T17:03:25.996Z,2025-05-14T17:03:28Z,dcewpavwmjbplo5fahrzfxega,J. Voelkerling Persson,,,5726850885,233,37,5726850881,56,Back,5726850883,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693609,14,1,1,2,37,4jg5vd59i24chckyua90dr1lg,1,10.6,0.0,2025-05-14T17:03:51.227Z,2025-05-14T17:16:16Z,dcewpavwmjbplo5fahrzfxega,J. Voelkerling Persson,,,5726851721,107,,5726851731,213,2.16,5726851725,140,5.6,5726851727,141,10.0,5726880167,189,,5726851729,212,9.5,5726851723,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693615,15,1,1,2,38,4jg5vd59i24chckyua90dr1lg,0,5.6,10.0,2025-05-14T17:03:52.516Z,2025-05-14T17:16:24Z,4ly7t29cozmc49wu7avkvv3yt,T. Carlsson,,,5726851771,140,44.5,5726851775,212,41.4,5726851777,213,0.16,5726851769,56,Back,5726851779,1,,5726851767,157,,5726851773,141,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693671,38,1,1,2,40,2nnlsjfbcea40t4jeclcbw9lk,0,54.1,72.9,2025-05-14T17:03:55.076Z,2025-05-14T17:16:30Z,9s3boszvqn3fzsx0r1xswqyqy,V. Eriksson,,,5726852051,3,,5726852059,140,61.9,5726852069,212,8.4,5726852073,213,6.06,5726852055,56,Center,5726852065,141,70.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693677,16,1,1,2,41,4jg5vd59i24chckyua90dr1lg,1,38.5,23.6,2025-05-14T17:03:55.612Z,2025-05-14T17:03:59Z,451liwl34giar3r8y7b295w16,M. Lindberg,,,5726852101,213,5.38,5726852091,155,,5726852093,56,Back,5726852099,212,13.6,5726852095,140,46.5,5726852097,141,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693681,17,4,1,2,44,4jg5vd59i24chckyua90dr1lg,1,48.4,6.5,2025-05-14T17:03:59.075Z,2025-05-14T17:16:53Z,21ht7s882is4sisnr8dpf61yi,J. Persson,,,5726852221,152,,5726852217,56,Back,5726852267,233,39,5726852213,294,,5726852225,286,,5726852211,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693699,39,4,1,2,44,2nnlsjfbcea40t4jeclcbw9lk,0,51.6,93.5,2025-05-14T17:03:59.076Z,2025-05-14T17:16:53Z,b1sztx2xd79amygbbvdia24et,S. Strand,,,5726852245,56,Left,5726852247,152,,5726852251,285,,5726852243,13,,5726852287,233,17,5726881501,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693747,18,1,1,2,52,4jg5vd59i24chckyua90dr1lg,0,46.5,6.8,2025-05-14T17:04:06.268Z,2025-05-14T17:04:07Z,di0z3rihhkz11o1ccqo2b654a,L. Walta,,,5726852467,140,70.9,5726852465,56,Center,5726852461,155,,5726852473,213,0.43,5726852469,141,24.1,5726852471,212,28.2,5726852463,152,,5726852459,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693757,40,8,1,2,53,2nnlsjfbcea40t4jeclcbw9lk,1,32.3,67.8,2025-05-14T17:04:07.235Z,2025-05-14T17:17:30Z,9s3boszvqn3fzsx0r1xswqyqy,V. Eriksson,,,5726852521,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814699107,109,61,1,2,53,4jg5vd59i24chckyua90dr1lg,1,74.5,49.3,2025-05-14T17:04:07.662Z,2025-05-14T17:18:15Z,9mvwnz2zlvx54nggvvw3l9ega,R. Ure,,,5726883777,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
