id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/14/value,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2794312423,5,5,1,0,10,33hzf6j2rd9r50g2n4agsytkd,1,-1.2,66.7,2025-03-31T17:11:48.279Z,2025-03-31T17:19:06Z,b3jbj4ayr4x1x0ynt9dcu5u6s,F. Beckman,,,5614408761,346,,5614426387,233,7,5614408759,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794312325,7,5,1,0,10,5mbo4f0vps12dr0fcvjn3wyp5,0,101.2,33.3,2025-03-31T17:11:48.279Z,2025-03-31T17:22:43Z,b11ffe62rpm020r3u6t1lhvx1,M. Thychosen,,,5614426359,233,5,5614408147,56,Center,5614408149,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794312461,6,1,1,0,29,33hzf6j2rd9r50g2n4agsytkd,0,5.2,50.6,2025-03-31T17:12:07.448Z,2025-03-31T17:12:12Z,kod0xzh15xxa52700ufz7kyd,M. Krasniqi,,,5614408961,141,35.2,5614408955,124,,5614408965,213,6.11,5614408963,212,59.3,5614408957,56,Center,5614408967,1,,5614408959,140,60.8,5614408969,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794312479,8,4,1,0,35,5mbo4f0vps12dr0fcvjn3wyp5,1,37.0,60.7,2025-03-31T17:12:13.856Z,2025-03-31T17:26:34Z,cwkz9uxtres4bockr3spd4hxx,S. Papagiannopoulos,,,5614409177,233,7,5614409161,286,,5614409157,56,Back,5614428213,294,,5614409153,13,,5614409159,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794312493,7,4,1,0,35,33hzf6j2rd9r50g2n4agsytkd,0,63.0,39.3,2025-03-31T17:12:13.857Z,2025-03-31T17:26:34Z,6dljoel48bfd9nsmmnkck3owl,L. Hedlund,,,5614409169,56,Center,5614409175,285,,5614409187,233,8,5614409167,13,,5614428139,294,,5614409171,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794312541,9,1,1,0,43,5mbo4f0vps12dr0fcvjn3wyp5,1,37.1,49.1,2025-03-31T17:12:21.088Z,2025-03-31T17:12:23Z,99i96gbkvesmh3wspv8rl1ln9,A. Salétros,,,5614409459,152,,5614409469,213,4.46,5614409457,5,,5614409463,140,33.6,5614409467,212,14.7,5614409465,141,28.2,5614409461,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794312569,10,1,1,0,45,5mbo4f0vps12dr0fcvjn3wyp5,1,33.6,28.2,2025-03-31T17:12:23.280Z,2025-03-31T17:12:26Z,eahcgnvlq1tkswvjuovyzxxw5,F. Benković,,,5614409627,212,8.9,5614409623,140,39.0,5614409629,213,0.88,5614409621,56,Back,5614409625,141,38.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794312587,11,1,1,0,47,5mbo4f0vps12dr0fcvjn3wyp5,1,39.0,42.7,2025-03-31T17:12:25.888Z,2025-03-31T17:12:28Z,99i96gbkvesmh3wspv8rl1ln9,A. Salétros,,,5614409703,56,Back,5614409707,141,54.6,5614409705,140,44.5,5614409711,213,0.95,5614409709,212,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794312593,12,1,1,0,50,5mbo4f0vps12dr0fcvjn3wyp5,1,44.2,53.4,2025-03-31T17:12:28.256Z,2025-03-31T17:20:28Z,8ez1awevbmegf1z0kgjtp048a,Á. Csongvai,,,5614409745,141,32.9,5614409741,56,Back,5614409749,213,3.91,5614409743,140,30.5,5614409747,212,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794312603,13,43,1,0,51,5mbo4f0vps12dr0fcvjn3wyp5,1,0.0,0.0,2025-03-31T17:12:29.232Z,2025-03-31T17:20:25Z,99i96gbkvesmh3wspv8rl1ln9,A. Salétros,,,5614409805,141,32.1,5614409801,56,Back,5614429151,144,1,5614409809,213,3.67,5614409807,212,8.8,5614409803,140,30.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794312639,14,1,1,0,52,5mbo4f0vps12dr0fcvjn3wyp5,1,30.2,32.1,2025-03-31T17:12:30.320Z,2025-03-31T17:12:34Z,cwkz9uxtres4bockr3spd4hxx,S. Papagiannopoulos,,,5614409985,56,Back,5614409989,141,17.1,5614409991,212,10.2,5614409987,140,30.8,5614409993,213,4.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794312655,15,1,1,0,56,5mbo4f0vps12dr0fcvjn3wyp5,1,39.3,21.3,2025-03-31T17:12:34.368Z,2025-03-31T17:12:36Z,eahcgnvlq1tkswvjuovyzxxw5,F. Benković,,,5614410073,56,Back,5614410077,141,33.6,5614410079,212,8.8,5614410075,140,36.6,5614410081,213,1.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794312679,16,1,1,0,57,5mbo4f0vps12dr0fcvjn3wyp5,1,38.0,34.5,2025-03-31T17:12:35.937Z,2025-03-31T17:12:39Z,cwkz9uxtres4bockr3spd4hxx,S. Papagiannopoulos,,,5614410233,140,74.6,5614410237,212,55.0,5614410239,213,0.80,5614410241,1,,5614410231,56,Left,5614410229,155,,5614410235,141,92.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794312683,17,61,1,1,1,5mbo4f0vps12dr0fcvjn3wyp5,0,75.2,92.4,2025-03-31T17:12:39.792Z,2025-03-31T17:12:40Z,6oaqk4pdojnlefa3zubsysmvp,J. Uronen,,,5614410265,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794312715,9,1,1,1,3,33hzf6j2rd9r50g2n4agsytkd,1,12.4,15.2,2025-03-31T17:12:41.752Z,2025-03-31T17:12:43Z,5ijbt4bhic3y1zasavky12311,A. Wängberg,,,5614410427,140,12.4,5614410433,213,1.57,5614410431,212,10.9,5614410429,141,31.2,5614410425,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794312723,10,1,1,1,5,33hzf6j2rd9r50g2n4agsytkd,0,12.0,29.8,2025-03-31T17:12:43.352Z,2025-03-31T17:12:45Z,7wesnkwthjcluc9b83s8ab1g4,O. Ågren,,,5614410459,213,5.76,5614410457,212,41.9,5614410453,140,46.5,5614410455,141,0.0,5614410449,157,,5614410451,56,Back,5614410461,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794312729,11,5,1,1,6,33hzf6j2rd9r50g2n4agsytkd,0,46.0,-1.6,2025-03-31T17:12:44.850Z,2025-03-31T17:12:49Z,7wesnkwthjcluc9b83s8ab1g4,O. Ågren,,,5614410467,347,,5614410523,233,18,5614410465,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794312741,18,5,1,1,6,5mbo4f0vps12dr0fcvjn3wyp5,1,54.0,101.6,2025-03-31T17:12:44.850Z,2025-03-31T17:22:43Z,6oaqk4pdojnlefa3zubsysmvp,J. Uronen,,,5614410513,56,Left,5614410517,233,11,5614410515,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794312845,19,1,1,1,19,5mbo4f0vps12dr0fcvjn3wyp5,1,66.1,100.0,2025-03-31T17:12:57.505Z,2025-03-31T17:21:38Z,6oaqk4pdojnlefa3zubsysmvp,J. Uronen,,,5614411083,141,91.8,5614411087,213,4.21,5614411079,56,Left,5614411077,107,,5614411081,140,62.5,5614411085,212,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794312859,20,1,1,1,21,5mbo4f0vps12dr0fcvjn3wyp5,1,64.6,88.1,2025-03-31T17:12:59.345Z,2025-03-31T17:13:01Z,99i96gbkvesmh3wspv8rl1ln9,A. Salétros,,,5614411169,56,Left,5614411175,212,5.7,5614411171,140,69.9,5614411173,141,86.2,5614411177,213,6.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794312867,21,1,1,1,23,5mbo4f0vps12dr0fcvjn3wyp5,0,69.9,86.2,2025-03-31T17:13:01.200Z,2025-03-31T17:13:08Z,67w8t2dyivgz6muc431ofsb2s,A. Redkin,,,5614411215,156,,5614411191,141,100.0,5614411187,56,Left,5614411195,213,1.74,5614411189,140,68.1,5614411193,212,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794312951,12,5,1,1,24,33hzf6j2rd9r50g2n4agsytkd,1,30.8,-2.0,2025-03-31T17:13:02.402Z,2025-03-31T17:22:43Z,7wesnkwthjcluc9b83s8ab1g4,O. Ågren,,,5614411649,233,22,5614411643,347,,5614411641,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794312875,22,5,1,1,24,5mbo4f0vps12dr0fcvjn3wyp5,0,69.2,102.0,2025-03-31T17:13:02.402Z,2025-03-31T17:22:44Z,6oaqk4pdojnlefa3zubsysmvp,J. Uronen,,,5614411669,233,12,5614411243,56,Left,5614411247,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794312989,13,1,1,1,32,33hzf6j2rd9r50g2n4agsytkd,0,29.0,0.0,2025-03-31T17:13:10.311Z,2025-03-31T17:13:13Z,5ijbt4bhic3y1zasavky12311,A. Wängberg,,,5614411845,140,64.2,5614411853,1,,5614411841,107,,5614411849,212,38.5,5614411847,141,13.8,5614411851,213,0.28,5614411843,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794313051,24,1,1,1,38,5mbo4f0vps12dr0fcvjn3wyp5,1,25.9,83.8,2025-03-31T17:13:16.016Z,2025-03-31T17:13:19Z,cwkz9uxtres4bockr3spd4hxx,S. Papagiannopoulos,,,5614412149,141,70.9,5614412145,56,Back,5614412153,213,3.49,5614412147,140,2.6,5614412151,212,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794313085,25,1,1,1,41,5mbo4f0vps12dr0fcvjn3wyp5,1,2.6,70.9,2025-03-31T17:13:19.392Z,2025-03-31T17:13:23Z,a0vo94v0vvnojrnvvscd7zp3p,K. Nordfeldt,,,5614412353,213,0.28,5614412341,140,29.8,5614412339,56,Back,5614412357,1,,5614412337,157,,5614412345,141,82.9,5614412349,212,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794313093,26,4,1,1,45,5mbo4f0vps12dr0fcvjn3wyp5,1,33.0,80.5,2025-03-31T17:13:23.231Z,2025-03-31T17:26:35Z,8ez1awevbmegf1z0kgjtp048a,Á. Csongvai,,,5614412463,233,14,5614412421,152,,5614443195,285,,5614412419,56,Back,5614412423,265,,5614412417,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794313099,14,4,1,1,45,33hzf6j2rd9r50g2n4agsytkd,0,67.0,19.5,2025-03-31T17:13:23.232Z,2025-03-31T17:26:35Z,6dljoel48bfd9nsmmnkck3owl,L. Hedlund,,,5614412459,265,,5614412457,152,,5614412499,286,,5614412453,13,,5614412455,56,Right,5614412495,233,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794313193,27,1,1,1,54,5mbo4f0vps12dr0fcvjn3wyp5,1,30.3,79.7,2025-03-31T17:13:32.465Z,2025-03-31T17:22:19Z,eqfhoh81e8uj2as95ev3yfnx1,T. Isherwood,,,5614413095,189,,5614412977,213,4.56,5614412973,141,64.4,5614412975,212,10.5,5614412969,56,Back,5614412963,5,,5614412971,140,28.8,5614412967,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794316719,115,1,1,1,55,5mbo4f0vps12dr0fcvjn3wyp5,1,29.1,54.4,2025-03-31T17:13:32.993Z,2025-03-31T17:22:36Z,cwkz9uxtres4bockr3spd4hxx,S. Papagiannopoulos,,,5614433699,56,Back,5614433705,212,18.4,5614433701,140,29.6,5614433703,141,27.4,5614433707,213,4.74,5614433903,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794313205,28,1,1,1,58,5mbo4f0vps12dr0fcvjn3wyp5,1,29.8,22.8,2025-03-31T17:13:36.904Z,2025-03-31T17:13:54Z,eahcgnvlq1tkswvjuovyzxxw5,F. Benković,,,5614413039,213,0.71,5614413037,212,10.4,5614413033,140,37.3,5614413059,189,,5614413035,141,32.8,5614413031,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794313237,29,1,1,2,5,5mbo4f0vps12dr0fcvjn3wyp5,1,40.9,30.7,2025-03-31T17:13:43.088Z,2025-03-31T17:13:45Z,99i96gbkvesmh3wspv8rl1ln9,A. Salétros,,,5614413253,140,36.2,5614413257,212,13.3,5614413259,213,4.33,5614413251,56,Back,5614413255,141,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794313269,30,1,1,2,7,5mbo4f0vps12dr0fcvjn3wyp5,0,36.2,12.3,2025-03-31T17:13:45.025Z,2025-03-31T17:13:50Z,eahcgnvlq1tkswvjuovyzxxw5,F. Benković,,,5614413443,212,58.0,5614413441,141,32.4,5614413439,140,89.9,5614413435,155,,5614413447,1,,5614413437,56,Center,5614413445,213,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794313429,17,1,1,2,26,33hzf6j2rd9r50g2n4agsytkd,1,13.0,43.3,2025-03-31T17:14:04.520Z,2025-03-31T17:14:09Z,kod0xzh15xxa52700ufz7kyd,M. Krasniqi,,,5614414277,157,,5614414289,213,0.05,5614414283,140,62.0,5614414287,212,51.5,5614414291,1,,5614414279,198,,5614414285,141,47.2,5614414281,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794313433,18,43,1,2,31,33hzf6j2rd9r50g2n4agsytkd,1,0.0,0.0,2025-03-31T17:14:09.781Z,2025-03-31T17:23:07Z,6dljoel48bfd9nsmmnkck3owl,L. Hedlund,,,5614435181,144,61,5614414315,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794313457,31,4,1,2,36,5mbo4f0vps12dr0fcvjn3wyp5,1,32.9,52.9,2025-03-31T17:14:14.241Z,2025-03-31T17:26:35Z,,,,,5614414491,56,Back,5614414493,152,,5614435325,285,,5614415275,10,,5614435321,233,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794313479,19,4,1,2,36,33hzf6j2rd9r50g2n4agsytkd,0,67.1,47.1,2025-03-31T17:14:14.242Z,2025-03-31T17:26:36Z,6dljoel48bfd9nsmmnkck3owl,L. Hedlund,,,5614414659,56,Center,5614415391,286,,5614415389,10,,5614435329,233,31,5614414661,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794313655,32,1,1,2,57,5mbo4f0vps12dr0fcvjn3wyp5,1,32.0,47.6,2025-03-31T17:14:35.200Z,2025-03-31T17:14:36Z,cwkz9uxtres4bockr3spd4hxx,S. Papagiannopoulos,,,5614415521,152,,5614415533,212,9.0,5614415525,140,37.5,5614415523,56,Back,5614415535,213,5.41,5614415529,141,37.4,5614415519,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794313717,33,1,1,2,58,5mbo4f0vps12dr0fcvjn3wyp5,1,37.5,37.4,2025-03-31T17:14:36.545Z,2025-03-31T17:14:44Z,99i96gbkvesmh3wspv8rl1ln9,A. Salétros,,,5614415803,56,Back,5614415807,141,50.6,5614415805,140,28.6,5614415811,213,2.38,5614415809,212,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794313745,34,1,1,3,6,5mbo4f0vps12dr0fcvjn3wyp5,1,33.4,40.3,2025-03-31T17:14:44.225Z,2025-03-31T17:14:47Z,cwkz9uxtres4bockr3spd4hxx,S. Papagiannopoulos,,,5614415953,56,Back,5614415961,213,4.40,5614415957,141,18.2,5614415959,212,15.8,5614415955,140,28.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794313771,35,1,1,3,9,5mbo4f0vps12dr0fcvjn3wyp5,1,28.8,18.2,2025-03-31T17:14:47.105Z,2025-03-31T17:14:53Z,eahcgnvlq1tkswvjuovyzxxw5,F. Benković,,,5614416113,56,Back,5614416117,141,35.4,5614416119,212,11.9,5614416121,213,1.39,5614416115,140,30.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794313825,36,1,1,3,15,5mbo4f0vps12dr0fcvjn3wyp5,1,25.1,20.9,2025-03-31T17:14:53.073Z,2025-03-31T17:15:00Z,cwkz9uxtres4bockr3spd4hxx,S. Papagiannopoulos,,,5614416437,141,50.4,5614416433,56,Back,5614416441,213,2.33,5614416435,140,6.8,5614416439,212,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794313865,37,1,1,3,21,5mbo4f0vps12dr0fcvjn3wyp5,1,8.6,41.9,2025-03-31T17:14:59.936Z,2025-03-31T17:15:06Z,a0vo94v0vvnojrnvvscd7zp3p,K. Nordfeldt,,,5614416629,141,6.1,5614416625,56,Back,5614416631,212,27.5,5614416633,213,5.20,5614416627,140,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794313883,38,1,1,3,28,5mbo4f0vps12dr0fcvjn3wyp5,1,23.9,6.2,2025-03-31T17:15:06.224Z,2025-03-31T17:15:08Z,eahcgnvlq1tkswvjuovyzxxw5,F. Benković,,,5614416769,213,6.16,5614416765,141,4.6,5614416763,140,32.5,5614416761,56,Back,5614416767,212,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794313889,39,1,1,3,30,5mbo4f0vps12dr0fcvjn3wyp5,0,32.5,3.4,2025-03-31T17:15:08.624Z,2025-03-31T17:15:09Z,99i96gbkvesmh3wspv8rl1ln9,A. Salétros,,,5614416799,213,6.25,5614416797,212,9.7,5614416793,140,41.7,5614416789,155,,5614416795,141,2.9,5614416791,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794313903,20,61,1,3,31,33hzf6j2rd9r50g2n4agsytkd,1,59.3,94.1,2025-03-31T17:15:09.919Z,2025-03-31T17:15:18Z,4nx0njulsjs2hegiee011dxpl,R. Frej,,,5614416869,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
