id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2805491849,4,27,1,0,13,cfvya7igkhkas7wvsktwz6j8k,1,0.0,0.0,2025-04-24T17:00:54.918Z,2025-04-24T17:04:12Z,,,,5676094209,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491789,8,27,1,0,13,czkf5t3ai00ghwbga03i5aqxw,1,0.0,0.0,2025-04-24T17:00:54.918Z,2025-04-24T17:04:11Z,,,,5676094189,233,4,5676088297,41,Injury,5676088299,53,3bepi58wwope38a478y7jwlxw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491873,6,28,1,0,38,cfvya7igkhkas7wvsktwz6j8k,1,0.0,0.0,2025-04-24T17:01:19.447Z,2025-04-24T17:04:28Z,,,,5676088695,55,4,5676094789,189,,5676094793,233,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491837,9,28,1,0,38,czkf5t3ai00ghwbga03i5aqxw,1,0.0,0.0,2025-04-24T17:01:19.447Z,2025-04-24T17:04:30Z,,,,5676094723,233,6,5676088543,55,8,5676094845,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491855,10,68,1,0,40,czkf5t3ai00ghwbga03i5aqxw,1,35.6,41.8,2025-04-24T17:01:21.429Z,2025-04-24T17:04:39Z,,,,5676095159,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491859,5,43,1,0,40,cfvya7igkhkas7wvsktwz6j8k,1,0.0,0.0,2025-04-24T17:01:21.447Z,2025-04-24T17:01:32Z,,,,5676088617,55,4,5676088633,233,9,5676088865,144,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491879,7,68,1,0,40,cfvya7igkhkas7wvsktwz6j8k,1,59.9,75.1,2025-04-24T17:01:22.331Z,2025-04-24T17:04:36Z,,,,5676095059,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805493057,57,1,1,0,41,czkf5t3ai00ghwbga03i5aqxw,1,53.7,22.7,2025-04-24T17:01:22.840Z,2025-04-24T17:05:01Z,bhaqw4112j43c753dlxhy61ud,D. Stensson,,5676095753,212,21.2,5676095747,56,Back,5676095755,213,2.42,5676095751,141,43.4,5676095783,189,,5676095749,140,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491875,11,1,1,0,45,czkf5t3ai00ghwbga03i5aqxw,1,34.6,55.1,2025-04-24T17:01:26.758Z,2025-04-24T17:01:27Z,23p0dby12ymf55wwi0xz2fnx1,M. Danielson,,5676088703,140,33.2,5676088717,213,1.68,5676088699,56,Back,5676088713,212,13.6,5676088707,141,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491895,12,1,1,0,46,czkf5t3ai00ghwbga03i5aqxw,1,33.5,74.8,2025-04-24T17:01:27.669Z,2025-04-24T17:01:30Z,ab3og2sas7q4czd31wbdbnro,K. Kosugi,,5676088821,141,55.5,5676088823,212,31.0,5676088825,213,3.58,5676088819,140,6.8,5676088817,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491903,13,1,1,0,49,czkf5t3ai00ghwbga03i5aqxw,1,6.4,55.8,2025-04-24T17:01:30.477Z,2025-04-24T17:01:33Z,d5jgrd0clyl4rskqu6j8hcwkp,F. Manojlović,,5676088889,56,Back,5676088893,141,85.4,5676088897,213,1.43,5676088895,212,20.3,5676088891,140,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491919,14,1,1,0,51,czkf5t3ai00ghwbga03i5aqxw,0,9.6,88.4,2025-04-24T17:01:32.997Z,2025-04-24T17:01:35Z,ab3og2sas7q4czd31wbdbnro,K. Kosugi,,5676088955,140,29.8,5676088953,56,Back,5676088957,141,100.0,5676088961,213,0.41,5676088959,212,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491931,8,5,1,0,54,cfvya7igkhkas7wvsktwz6j8k,1,68.8,-1.6,2025-04-24T17:01:35.538Z,2025-04-24T17:52:32Z,1dvhwhz4n5f9cf4ts58rfu21,D. Ask,,5676089003,56,Right,5676089005,347,,5676089013,233,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491925,15,5,1,0,54,czkf5t3ai00ghwbga03i5aqxw,0,31.2,101.6,2025-04-24T17:01:35.538Z,2025-04-24T17:01:39Z,ab3og2sas7q4czd31wbdbnro,K. Kosugi,,5676088967,347,,5676089035,233,8,5676088965,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492001,9,1,1,1,8,cfvya7igkhkas7wvsktwz6j8k,1,68.8,0.0,2025-04-24T17:01:50.373Z,2025-04-24T17:01:53Z,6son8ikuumxto9h6yiy7ylckp,T. Varmanen,,5676089459,213,1.10,5676089453,140,71.7,5676089449,107,,5676089457,212,6.7,5676089451,56,Right,5676089455,141,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492003,10,61,1,1,11,cfvya7igkhkas7wvsktwz6j8k,1,71.6,5.3,2025-04-24T17:01:53.297Z,2025-04-24T17:01:53Z,32bvga34o0hleev3duw2342ui,Noah Söderberg,,5676089465,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492015,11,1,1,1,12,cfvya7igkhkas7wvsktwz6j8k,1,68.3,2.6,2025-04-24T17:01:54.395Z,2025-04-24T17:01:56Z,6son8ikuumxto9h6yiy7ylckp,T. Varmanen,,5676089517,141,8.2,5676089515,140,71.0,5676089519,212,4.7,5676089521,213,0.93,5676089513,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492021,12,1,1,1,15,cfvya7igkhkas7wvsktwz6j8k,0,69.4,17.8,2025-04-24T17:01:56.619Z,2025-04-24T17:06:01Z,bmdhp0p1sqy48a5algqcdv6qx,A. Aliev,,5676089549,213,1.11,5676089547,212,7.3,5676089545,141,27.4,5676089541,56,Center,5676089543,140,72.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492017,16,8,1,1,15,czkf5t3ai00ghwbga03i5aqxw,1,24.6,66.1,2025-04-24T17:01:56.957Z,2025-04-24T17:01:57Z,bhaqw4112j43c753dlxhy61ud,D. Stensson,,5676089525,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492025,17,1,1,1,17,czkf5t3ai00ghwbga03i5aqxw,1,31.5,41.6,2025-04-24T17:01:58.781Z,2025-04-24T17:01:59Z,3bepi58wwope38a478y7jwlxw,A. Priske,,5676089581,213,0.57,5676089571,168,,5676089575,140,33.3,5676089577,141,43.4,5676089573,56,Back,5676089579,212,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492057,19,61,1,1,18,czkf5t3ai00ghwbga03i5aqxw,1,40.7,57.5,2025-04-24T17:02:00.404Z,2025-04-24T17:06:47Z,370kkwnidcltqyooh51z6uzqi,T. Gulliksen,,5676089789,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492073,20,1,1,1,24,czkf5t3ai00ghwbga03i5aqxw,1,79.5,9.5,2025-04-24T17:02:06.357Z,2025-04-24T17:02:08Z,1utyorvutnk14hp6dr079t1m2,Z. Sawo,,5676089887,213,1.56,5676089879,56,Center,5676089883,141,29.5,5676089881,140,79.7,5676089885,212,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492075,21,1,1,1,27,czkf5t3ai00ghwbga03i5aqxw,0,79.4,30.0,2025-04-24T17:02:08.666Z,2025-04-24T17:07:18Z,bhaqw4112j43c753dlxhy61ud,D. Stensson,,5676089899,213,0.57,5676089893,140,80.1,5676089983,236,,5676100647,233,13,5676089897,212,0.9,5676089891,56,Center,5676089989,286,,5676089895,141,30.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492089,13,74,1,1,27,cfvya7igkhkas7wvsktwz6j8k,1,22.7,54.5,2025-04-24T17:02:08.667Z,2025-04-24T17:07:17Z,32bvga34o0hleev3duw2342ui,Noah Söderberg,,5676100641,233,21,5676089969,285,,5676089967,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492113,14,61,1,1,28,cfvya7igkhkas7wvsktwz6j8k,1,23.0,56.6,2025-04-24T17:02:10.182Z,2025-04-24T17:07:08Z,6bri5bqx4wq8jy49qf5hjney2,D. Ljung,,5676090049,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492129,15,45,1,1,29,cfvya7igkhkas7wvsktwz6j8k,0,15.0,69.4,2025-04-24T17:02:11.318Z,2025-04-24T17:08:06Z,e96wc563k8h3w7049l1nvcokq,M. Adolfsson,,5676090101,56,Back,5676090103,285,,5676090111,233,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492101,22,3,1,1,29,czkf5t3ai00ghwbga03i5aqxw,1,85.0,30.6,2025-04-24T17:02:11.318Z,2025-04-24T17:08:06Z,1utyorvutnk14hp6dr079t1m2,Z. Sawo,,5676090015,286,,5676090107,233,15,5676090013,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492115,23,1,1,1,30,czkf5t3ai00ghwbga03i5aqxw,0,88.1,26.5,2025-04-24T17:02:11.565Z,2025-04-24T17:02:12Z,1utyorvutnk14hp6dr079t1m2,Z. Sawo,,5676090057,212,1.9,5676090059,213,0.85,5676090055,141,28.6,5676090053,140,89.3,5676090051,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492143,16,1,1,1,33,cfvya7igkhkas7wvsktwz6j8k,1,17.7,60.8,2025-04-24T17:02:15.115Z,2025-04-24T17:02:17Z,99dbjsnn2lagcp44boyghq9zo,K. Gyamfi,,5676090207,212,13.8,5676090201,56,Back,5676090205,141,80.3,5676090209,213,1.84,5676090203,140,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492169,18,1,1,1,36,cfvya7igkhkas7wvsktwz6j8k,0,12.5,86.9,2025-04-24T17:02:17.468Z,2025-04-24T17:02:19Z,c09quzlxh0hscffbfzbtohi7e,L. Bergquist,,5676090331,56,Center,5676090335,141,74.7,5676090329,157,,5676090337,212,45.8,5676090333,140,55.4,5676090339,213,6.10,5676090341,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492179,24,1,1,1,39,czkf5t3ai00ghwbga03i5aqxw,1,44.4,25.8,2025-04-24T17:02:20.846Z,2025-04-24T17:08:45Z,23p0dby12ymf55wwi0xz2fnx1,M. Danielson,,5676090371,140,45.7,5676090373,141,38.7,5676090375,212,8.9,5676090369,56,Back,5676090377,213,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492203,26,1,1,1,40,czkf5t3ai00ghwbga03i5aqxw,1,50.2,42.1,2025-04-24T17:02:22.342Z,2025-04-24T17:02:25Z,dkc69jkzi4e9ysgmwldz249as,M. Siltanen,,5676090489,213,5.77,5676090483,140,59.2,5676090487,212,10.8,5676090485,141,34.3,5676090481,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492221,27,1,1,1,43,czkf5t3ai00ghwbga03i5aqxw,1,56.0,36.4,2025-04-24T17:02:24.917Z,2025-04-24T17:02:27Z,bhaqw4112j43c753dlxhy61ud,D. Stensson,,5676090585,212,8.6,5676090583,141,41.0,5676090581,140,48.4,5676090587,213,2.77,5676090579,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492235,28,1,1,1,45,czkf5t3ai00ghwbga03i5aqxw,1,49.5,41.5,2025-04-24T17:02:27.181Z,2025-04-24T17:02:30Z,dkc69jkzi4e9ysgmwldz249as,M. Siltanen,,5676090665,213,4.38,5676090657,56,Back,5676090661,141,24.0,5676090663,212,12.6,5676090659,140,45.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492237,29,1,1,1,48,czkf5t3ai00ghwbga03i5aqxw,1,44.8,24.4,2025-04-24T17:02:30.390Z,2025-04-24T17:02:31Z,5jos8v6hr086q8at9iuyhwded,M. Tenho,,5676090681,141,27.7,5676090685,213,0.19,5676090677,56,Center,5676090683,212,11.9,5676090679,140,55.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492243,30,1,1,1,49,czkf5t3ai00ghwbga03i5aqxw,1,54.1,27.9,2025-04-24T17:02:30.910Z,2025-04-24T17:02:33Z,dkc69jkzi4e9ysgmwldz249as,M. Siltanen,,5676090719,140,58.6,5676090717,56,Right,5676090721,141,6.8,5676090723,212,15.1,5676090725,213,5.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492273,31,1,1,1,51,czkf5t3ai00ghwbga03i5aqxw,1,61.7,6.7,2025-04-24T17:02:33.165Z,2025-04-24T17:02:39Z,bv57jiquzqjnzuxzw5r663aad,A. Ståhl,,5676090909,141,22.8,5676090911,212,32.5,5676090913,213,0.34,5676090907,140,90.8,5676090915,1,,5676090905,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492277,32,1,1,1,57,czkf5t3ai00ghwbga03i5aqxw,0,95.3,21.3,2025-04-24T17:02:39.350Z,2025-04-24T17:10:41Z,a3jetivxcnpp4z36nhboz5ysq,S. Haarala,,5676090939,213,1.61,5676090937,212,11.1,5676090927,2,,5676090935,141,37.6,5676090931,56,Center,5676090933,140,94.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492313,19,12,1,1,58,cfvya7igkhkas7wvsktwz6j8k,1,2.7,58.7,2025-04-24T17:02:40.195Z,2025-04-24T17:10:36Z,99dbjsnn2lagcp44boyghq9zo,K. Gyamfi,,5676091079,15,,5676091099,167,,5676091069,56,Back,5676091073,141,64.9,5676091077,213,2.39,5676091071,140,0.0,5676091075,212,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492317,20,6,1,1,59,cfvya7igkhkas7wvsktwz6j8k,0,0.8,67.5,2025-04-24T17:02:40.926Z,2025-04-24T17:52:49Z,99dbjsnn2lagcp44boyghq9zo,K. Gyamfi,,5676091151,73,,5676091179,233,33,5676091149,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492295,33,6,1,1,59,czkf5t3ai00ghwbga03i5aqxw,1,99.2,32.5,2025-04-24T17:02:40.926Z,2025-04-24T17:52:49Z,bhaqw4112j43c753dlxhy61ud,D. Stensson,,5676091153,233,20,5676091051,56,Center,5676091053,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492503,34,1,1,2,31,czkf5t3ai00ghwbga03i5aqxw,0,99.5,0.5,2025-04-24T17:03:12.783Z,2025-04-24T17:03:14Z,bhaqw4112j43c753dlxhy61ud,D. Stensson,,5676092101,224,,5676092097,6,,5676092095,2,,5676092121,213,1.70,5676092113,141,38.5,5676092117,212,26.1,5676092103,56,Center,5676092099,155,,5676092109,140,96.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492511,35,43,1,2,32,czkf5t3ai00ghwbga03i5aqxw,1,0.0,0.0,2025-04-24T17:03:14.040Z,2025-04-24T17:12:04Z,bv57jiquzqjnzuxzw5r663aad,A. Ståhl,,5676092147,56,Center,5676110383,144,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492515,21,61,1,2,32,cfvya7igkhkas7wvsktwz6j8k,1,3.8,63.6,2025-04-24T17:03:14.334Z,2025-04-24T17:12:21Z,32bvga34o0hleev3duw2342ui,Noah Söderberg,,5676092165,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805495739,90,61,1,2,33,cfvya7igkhkas7wvsktwz6j8k,1,4.0,54.2,2025-04-24T17:03:15.113Z,2025-04-24T17:12:26Z,99dbjsnn2lagcp44boyghq9zo,K. Gyamfi,,5676110977,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492533,22,12,1,2,34,cfvya7igkhkas7wvsktwz6j8k,1,9.7,57.0,2025-04-24T17:03:15.709Z,2025-04-24T17:11:49Z,bmdhp0p1sqy48a5algqcdv6qx,A. Aliev,,5676092267,141,50.4,5676092269,212,8.7,5676092271,213,5.74,5676092263,56,Back,5676092265,140,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492519,36,1,1,2,35,czkf5t3ai00ghwbga03i5aqxw,0,78.3,53.1,2025-04-24T17:03:17.406Z,2025-04-24T17:03:18Z,ab3og2sas7q4czd31wbdbnro,K. Kosugi,,5676092191,212,15.8,5676092185,56,Center,5676092187,140,91.3,5676092193,213,0.53,5676092183,3,,5676092189,141,64.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492541,24,1,1,2,39,cfvya7igkhkas7wvsktwz6j8k,0,26.6,23.9,2025-04-24T17:03:21.388Z,2025-04-24T17:03:22Z,dl3faj0dj1z16de9rb63nxyp5,M. Christensen,,5676092291,56,Back,5676092293,140,32.2,5676092295,141,11.0,5676092299,213,5.30,5676092297,212,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492577,38,1,1,2,42,czkf5t3ai00ghwbga03i5aqxw,1,68.6,90.0,2025-04-24T17:03:23.651Z,2025-04-24T17:07:59Z,dkc69jkzi4e9ysgmwldz249as,M. Siltanen,,5676092497,141,62.1,5676092501,213,3.55,5676092495,140,27.1,5676092499,212,47.5,5676092503,1,,5676092493,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492607,39,1,1,2,47,czkf5t3ai00ghwbga03i5aqxw,1,27.5,59.4,2025-04-24T17:03:28.440Z,2025-04-24T17:03:35Z,d5jgrd0clyl4rskqu6j8hcwkp,F. Manojlović,,5676092737,212,25.7,5676092731,56,Back,5676092735,141,22.5,5676092739,213,4.93,5676092733,140,32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
