id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value
2807001705,6,5,1,0,7,spvvjmk37iid7hsky9g3nce7,0,82.2,-1.6,2025-04-27T12:01:20.278Z,2025-04-27T12:02:34Z,93qjy2eilbuufwu2kbwpfng7p,V. Gustafson,,,5684291507,233,3,5684291451,56,Right,5684291453,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807001857,4,1,1,0,18,46yo78zak2j7kaxc5ak1fnm60,0,18.4,100.0,2025-04-27T12:01:30.712Z,2025-04-27T12:01:37Z,b5kncgqkpiofwduo2snjz74dl,J. Pikkarainen,,,5684292241,56,Back,5684292243,140,40.6,5684292683,238,,5684292239,107,,5684292245,141,90.9,5684292255,1,,5684292249,212,24.4,5684292253,213,5.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807001877,7,8,1,0,18,spvvjmk37iid7hsky9g3nce7,1,61.3,8.3,2025-04-27T12:01:31.071Z,2025-04-27T12:02:29Z,czfitwajt0sayki90i3fk5n85,J. Gustavsson,,,5684292411,56,Right,5684292459,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002067,5,5,1,0,21,46yo78zak2j7kaxc5ak1fnm60,1,24.7,102.0,2025-04-27T12:01:34.016Z,2025-04-27T12:02:30Z,7qsp3fm0wkymgiej6s7jj06p5,M. Diaby,,,5684293363,347,,5684294155,233,8,5684293361,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807001925,8,5,1,0,21,spvvjmk37iid7hsky9g3nce7,0,75.3,-2.0,2025-04-27T12:01:34.016Z,2025-04-27T12:02:34Z,czfitwajt0sayki90i3fk5n85,J. Gustavsson,,,5684292647,56,Right,5684294195,233,5,5684292649,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002091,6,1,1,0,33,46yo78zak2j7kaxc5ak1fnm60,1,26.3,100.0,2025-04-27T12:01:45.760Z,2025-04-27T12:01:47Z,7qsp3fm0wkymgiej6s7jj06p5,M. Diaby,,,5684293453,107,,5684293455,56,Back,5684293459,141,90.6,5684293463,213,5.62,5684293461,212,12.6,5684293457,140,35.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002101,7,1,1,0,34,46yo78zak2j7kaxc5ak1fnm60,0,35.8,90.6,2025-04-27T12:01:46.871Z,2025-04-27T12:01:48Z,59dtrk7ly4lepf7s0gywhu51w,E. Pihlström,,,5684293525,212,12.9,5684293517,56,Back,5684293521,141,96.5,5684293545,156,,5684293519,140,24.1,5684293529,213,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002107,9,8,1,0,35,spvvjmk37iid7hsky9g3nce7,1,72.4,9.4,2025-04-27T12:01:47.847Z,2025-04-27T12:01:48Z,bqravo7lm21jq5m4cz8uhx638,B. Bang-Kittilsen,,,5684293557,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002147,8,61,1,0,36,46yo78zak2j7kaxc5ak1fnm60,1,24.8,96.6,2025-04-27T12:01:48.974Z,2025-04-27T12:02:23Z,7qsp3fm0wkymgiej6s7jj06p5,M. Diaby,,,5684293731,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002169,9,5,1,0,36,46yo78zak2j7kaxc5ak1fnm60,0,25.5,101.8,2025-04-27T12:01:49.384Z,2025-04-27T12:02:35Z,7qsp3fm0wkymgiej6s7jj06p5,M. Diaby,,,5684293825,56,Back,5684293831,347,,5684293887,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002141,10,5,1,0,36,spvvjmk37iid7hsky9g3nce7,1,74.5,-1.8,2025-04-27T12:01:49.384Z,2025-04-27T12:02:35Z,bqravo7lm21jq5m4cz8uhx638,B. Bang-Kittilsen,,,5684293705,56,Right,5684293707,347,,5684293871,233,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002307,11,1,1,0,44,spvvjmk37iid7hsky9g3nce7,1,70.8,0.0,2025-04-27T12:01:57.352Z,2025-04-27T12:01:59Z,507n9mr51v21q8isz9ll3m6eh,A. Norén,,,5684294567,1,,5684294555,107,,5684294565,213,1.96,5684294557,56,Center,5684294561,141,28.6,5684294563,212,22.5,5684294559,140,62.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002317,12,1,1,0,46,spvvjmk37iid7hsky9g3nce7,1,62.6,28.6,2025-04-27T12:01:59.304Z,2025-04-27T12:02:00Z,czfitwajt0sayki90i3fk5n85,J. Gustavsson,,,5684294627,212,10.4,5684294629,213,4.58,5684294625,141,13.4,5684294619,155,,5684294621,56,Right,5684294623,140,61.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002325,13,1,1,0,47,spvvjmk37iid7hsky9g3nce7,0,61.3,13.4,2025-04-27T12:02:00.262Z,2025-04-27T12:02:01Z,507n9mr51v21q8isz9ll3m6eh,A. Norén,,,5684294659,140,44.3,5684294663,212,19.0,5684294661,141,23.0,5684294657,56,Back,5684294665,213,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002351,10,8,1,0,50,46yo78zak2j7kaxc5ak1fnm60,1,61.9,71.4,2025-04-27T12:02:02.944Z,2025-04-27T12:02:03Z,8e8v25kjfqsohkczqxj5xsmj8,Z. Salifu,,,5684294799,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002425,12,61,1,0,55,46yo78zak2j7kaxc5ak1fnm60,1,85.4,68.8,2025-04-27T12:02:08.293Z,2025-04-27T12:02:08Z,8e8v25kjfqsohkczqxj5xsmj8,Z. Salifu,,,5684295141,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002483,13,3,1,0,58,46yo78zak2j7kaxc5ak1fnm60,0,87.6,74.8,2025-04-27T12:02:11.634Z,2025-04-27T14:20:36Z,59dtrk7ly4lepf7s0gywhu51w,E. Pihlström,,,5684295423,286,,5684295421,56,Center,5684295551,233,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002503,14,7,1,0,58,spvvjmk37iid7hsky9g3nce7,1,12.4,25.2,2025-04-27T12:02:11.635Z,2025-04-27T14:20:36Z,czfitwajt0sayki90i3fk5n85,J. Gustavsson,,,5684295543,233,13,5684295507,285,,5684295505,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002567,14,43,1,1,4,46yo78zak2j7kaxc5ak1fnm60,1,0.0,0.0,2025-04-27T12:02:17.495Z,2025-04-27T12:02:26Z,9469qatlpe6rdqko8c6ha4out,N. Girmai Netabay,,,5684296483,144,83,5684296097,399,23iwje6cgkgc05szzf2l5z97u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002607,16,4,1,1,7,spvvjmk37iid7hsky9g3nce7,1,34.4,30.3,2025-04-27T12:02:20.473Z,2025-04-27T12:48:45Z,23iwje6cgkgc05szzf2l5z97u,H. Johansson,,,5684296045,286,,5684296037,13,,5684296043,265,,5684296041,152,,5684296039,56,Back,5684296401,233,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002655,15,4,1,1,7,46yo78zak2j7kaxc5ak1fnm60,0,65.6,69.7,2025-04-27T12:02:20.474Z,2025-04-27T12:48:45Z,7qsp3fm0wkymgiej6s7jj06p5,M. Diaby,,,5684296329,152,,5684296333,285,,5684296331,265,,5684296327,56,Center,5684296325,13,,5684296431,233,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002907,17,1,1,1,28,spvvjmk37iid7hsky9g3nce7,1,41.6,12.9,2025-04-27T12:02:41.480Z,2025-04-27T12:02:43Z,507n9mr51v21q8isz9ll3m6eh,A. Norén,,,5684297595,140,37.7,5684297593,56,Back,5684297591,152,,5684297597,141,37.6,5684297601,213,1.81,5684297599,212,17.3,5684297589,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807003001,18,1,1,1,30,spvvjmk37iid7hsky9g3nce7,1,37.2,39.2,2025-04-27T12:02:42.872Z,2025-04-27T12:02:51Z,c1kv9ybtguhs625d1vwlwa6ay,J. Kiilerich,,,5684298067,157,,5684298069,56,Right,5684298081,213,6.02,5684298083,1,,5684298077,212,63.6,5684298073,140,95.7,5684298075,141,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002999,16,83,1,1,38,46yo78zak2j7kaxc5ak1fnm60,0,5.2,86.6,2025-04-27T12:02:51.265Z,2025-04-27T12:13:30Z,96v3rv4y74yt6ukwh2churhbe,Bernardo Morgado,,,5684298165,399,15mg49mqn215ce4ojukev0o2x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807003015,19,1,1,1,38,spvvjmk37iid7hsky9g3nce7,1,96.1,7.4,2025-04-27T12:02:51.384Z,2025-04-27T12:13:28Z,15mg49mqn215ce4ojukev0o2x,J. Bergström,,,5684298151,212,13.2,5684298153,213,3.13,5684298145,56,Right,5684298147,140,83.5,5684298149,141,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807003069,20,1,1,1,40,spvvjmk37iid7hsky9g3nce7,1,84.6,9.2,2025-04-27T12:02:53.448Z,2025-04-27T12:02:55Z,23iwje6cgkgc05szzf2l5z97u,H. Johansson,,,5684298349,212,10.4,5684298353,213,1.09,5684298347,141,22.8,5684298341,56,Center,5684298345,140,89.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807003133,21,1,1,1,43,spvvjmk37iid7hsky9g3nce7,0,90.1,26.2,2025-04-27T12:02:55.735Z,2025-04-27T14:20:18Z,507n9mr51v21q8isz9ll3m6eh,A. Norén,,,5684298649,141,37.3,5684298653,213,1.64,5684298645,56,Center,5684298651,212,7.6,5684298647,140,89.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807003473,17,12,1,1,45,46yo78zak2j7kaxc5ak1fnm60,1,7.1,48.5,2025-04-27T12:02:58.145Z,2025-04-27T12:14:25Z,3n6cx9whi75ybd9h6pv7i3mga,L. Hien,,,5684300285,212,2.1,5684300279,56,Back,5684300283,141,50.3,5684300281,140,8.7,5684300287,213,0.63,5684300297,397,,5684300299,233,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807003137,22,74,1,1,45,spvvjmk37iid7hsky9g3nce7,1,89.6,37.3,2025-04-27T12:02:58.146Z,2025-04-27T12:03:27Z,f0iow2x82mfh6x1olrrjo5puc,A. Manneh,,,5684300317,233,17,5684298681,56,Center,5684300199,397,,5684300201,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807003513,23,16,1,1,46,spvvjmk37iid7hsky9g3nce7,1,90.1,44.6,2025-04-27T12:02:59.167Z,2025-04-27T18:29:39Z,f0iow2x82mfh6x1olrrjo5puc,A. Manneh,,,5684300481,56,Center,5684300479,17,,5684302891,102,53.6,5684302889,76,,5684302899,230,98.2,5684300477,22,,5684302895,214,,5684302893,103,7.0,5684300743,20,5684300747,374,2025-04-27 13:02:58.506,5684302901,231,46.9,5684300751,375,01:45.822,5684302897,458,,,,,,,,,,,,,,,,,,,
2807004013,18,1,1,2,47,46yo78zak2j7kaxc5ak1fnm60,1,50.1,50.0,2025-04-27T12:04:00.281Z,2025-04-27T12:15:04Z,8e8v25kjfqsohkczqxj5xsmj8,Z. Salifu,,,5684302967,141,41.6,5684302969,212,25.9,5684302965,140,26.0,5684302973,279,G,5684302971,213,3.36,5684373161,189,,5684302963,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807004055,19,1,1,2,49,46yo78zak2j7kaxc5ak1fnm60,0,26.2,41.9,2025-04-27T12:04:02.313Z,2025-04-27T12:04:04Z,96v3rv4y74yt6ukwh2churhbe,Bernardo Morgado,,,5684303207,1,,5684303197,140,84.6,5684303199,141,100.0,5684303195,56,Left,5684303203,213,0.58,5684303193,157,,5684303201,212,73.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807004061,20,5,1,2,52,46yo78zak2j7kaxc5ak1fnm60,0,84.0,101.2,2025-04-27T12:04:04.734Z,2025-04-27T12:04:07Z,96v3rv4y74yt6ukwh2churhbe,Bernardo Morgado,,,5684303235,347,,5684303335,233,24,5684303233,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807004065,24,5,1,2,52,spvvjmk37iid7hsky9g3nce7,1,16.0,-1.2,2025-04-27T12:04:04.734Z,2025-04-27T14:32:11Z,23iwje6cgkgc05szzf2l5z97u,H. Johansson,,,5684303243,56,Back,5684303285,233,20,5684303245,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807004239,25,1,1,2,58,spvvjmk37iid7hsky9g3nce7,1,18.8,0.0,2025-04-27T12:04:10.696Z,2025-04-27T12:04:15Z,23iwje6cgkgc05szzf2l5z97u,H. Johansson,,,5684304099,141,36.6,5684304101,212,26.6,5684304103,213,1.73,5684304097,140,14.8,5684304105,1,,5684304093,107,,5684304095,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807004263,26,1,1,3,2,spvvjmk37iid7hsky9g3nce7,1,16.2,53.9,2025-04-27T12:04:15.383Z,2025-04-27T12:04:17Z,c1kv9ybtguhs625d1vwlwa6ay,J. Kiilerich,,,5684304237,56,Back,5684304247,212,12.0,5684304241,140,27.6,5684304243,141,55.4,5684304249,213,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807004333,27,1,1,3,4,spvvjmk37iid7hsky9g3nce7,1,29.8,55.7,2025-04-27T12:04:17.080Z,2025-04-27T12:04:21Z,czfitwajt0sayki90i3fk5n85,J. Gustavsson,,,5684304479,213,1.88,5684304477,212,16.5,5684304471,56,Back,5684304473,140,25.0,5684304475,141,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807004453,28,1,1,3,8,spvvjmk37iid7hsky9g3nce7,1,24.2,93.2,2025-04-27T12:04:21.224Z,2025-04-27T12:16:08Z,a0i74nqik3lbi02ngno0m0ys4,Abdullah Iqbal,,,5684305073,56,Back,5684305075,140,30.6,5684305079,212,6.9,5684305081,213,6.04,5684305077,141,90.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807006865,61,1,1,3,9,spvvjmk37iid7hsky9g3nce7,0,35.3,94.4,2025-04-27T12:04:22.466Z,2025-04-27T12:16:26Z,f0iow2x82mfh6x1olrrjo5puc,A. Manneh,,,5684381525,140,34.5,5684381533,212,7.1,5684381537,213,4.59,5684381529,141,84.0,5684317695,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807004417,22,1,1,3,11,46yo78zak2j7kaxc5ak1fnm60,1,66.6,19.1,2025-04-27T12:04:24.204Z,2025-04-27T12:04:27Z,9ajfpzjfipsub15tats3mo2j9,C. Gravius,,,5684304941,213,0.60,5684304939,212,7.7,5684304937,141,25.5,5684304933,56,Center,5684304935,140,72.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807004423,23,61,1,3,12,46yo78zak2j7kaxc5ak1fnm60,0,72.7,25.5,2025-04-27T12:04:25.258Z,2025-04-27T12:17:45Z,9469qatlpe6rdqko8c6ha4out,N. Girmai Netabay,,,5684304969,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807005529,45,1,1,3,13,spvvjmk37iid7hsky9g3nce7,1,28.1,61.1,2025-04-27T12:04:26.137Z,2025-04-27T12:17:58Z,93qjy2eilbuufwu2kbwpfng7p,V. Gustafson,,,5684322617,56,Back,5684390409,212,3.4,5684390407,141,64.4,5684390413,213,0.73,5684390405,140,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807004485,29,1,1,3,16,spvvjmk37iid7hsky9g3nce7,1,29.2,58.2,2025-04-27T12:04:29.480Z,2025-04-27T12:04:31Z,f0iow2x82mfh6x1olrrjo5puc,A. Manneh,,,5684305279,141,50.0,5684305277,140,17.0,5684305283,213,3.55,5684305281,212,14.0,5684305275,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807004565,31,1,1,3,18,spvvjmk37iid7hsky9g3nce7,1,17.2,50.0,2025-04-27T12:04:31.352Z,2025-04-27T12:04:34Z,c1kv9ybtguhs625d1vwlwa6ay,J. Kiilerich,,,5684305623,140,23.8,5684305621,56,Back,5684305625,141,23.6,5684305629,213,5.08,5684305627,212,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807004585,32,1,1,3,21,spvvjmk37iid7hsky9g3nce7,1,23.1,24.3,2025-04-27T12:04:34.312Z,2025-04-27T12:04:36Z,507n9mr51v21q8isz9ll3m6eh,A. Norén,,,5684305747,212,16.1,5684305749,213,0.36,5684305745,141,32.7,5684305741,56,Back,5684305743,140,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807004617,33,1,1,3,23,spvvjmk37iid7hsky9g3nce7,1,38.9,32.5,2025-04-27T12:04:35.864Z,2025-04-27T12:04:37Z,93qjy2eilbuufwu2kbwpfng7p,V. Gustafson,,,5684305925,212,12.8,5684305927,213,5.40,5684305919,56,Back,5684305923,141,17.9,5684305921,140,46.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807004675,34,1,1,3,24,spvvjmk37iid7hsky9g3nce7,1,47.0,16.2,2025-04-27T12:04:37.159Z,2025-04-27T12:04:40Z,bqravo7lm21jq5m4cz8uhx638,B. Bang-Kittilsen,,,5684306321,56,Right,5684306323,140,58.4,5684306325,141,6.7,5684306329,213,5.79,5684306327,212,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
