id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2815027835,9,43,1,0,35,cfvya7igkhkas7wvsktwz6j8k,1,0.0,0.0,2025-05-15T17:01:05.341Z,2025-05-15T17:20:54Z,9401ndwivx7fpdplnv57v965m,M. Tamminen,,5728792519,144,61,5728746733,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815035915,214,61,1,0,35,evf5hhqgnjhwjsth1m6pawxdp,1,29.6,86.7,2025-05-15T17:01:06.046Z,2025-05-15T17:21:14Z,1dy0207jxgg8gvuygsd95wdn8,D. Kruse,,5728793087,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027887,8,12,1,0,36,evf5hhqgnjhwjsth1m6pawxdp,1,28.4,92.4,2025-05-15T17:01:07.102Z,2025-05-15T17:21:24Z,8s2p8s6huogpkao0lce8m5n8,N. Tolf,,5728746975,140,75.2,5728746979,212,49.9,5728746973,56,Left,5728746981,213,6.11,5728746977,141,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027883,10,1,1,0,40,cfvya7igkhkas7wvsktwz6j8k,1,24.4,45.5,2025-05-15T17:01:10.441Z,2025-05-15T17:01:13Z,4kmd502s272vf5wgkx8hk4vl5,I. Kričak,,5728746961,140,12.1,5728746963,141,51.6,5728746967,213,2.83,5728746959,56,Back,5728746965,212,13.6,5728746957,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027909,12,1,1,0,44,cfvya7igkhkas7wvsktwz6j8k,1,11.5,51.0,2025-05-15T17:01:14.536Z,2025-05-15T17:01:18Z,aadwnc8p356rns7i7nyttyy5m,R. Wallinder,,5728747075,56,Back,5728747073,123,,5728747077,140,16.6,5728747081,212,15.1,5728747083,213,1.21,5728747079,141,71.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027919,13,1,1,0,48,cfvya7igkhkas7wvsktwz6j8k,0,14.1,66.4,2025-05-15T17:01:18.361Z,2025-05-15T17:01:20Z,4kmd502s272vf5wgkx8hk4vl5,I. Kričak,,5728747141,56,Center,5728747151,1,,5728747149,213,0.09,5728747147,212,47.9,5728747143,140,59.5,5728747139,157,,5728747145,141,72.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027939,9,12,1,0,52,evf5hhqgnjhwjsth1m6pawxdp,1,40.2,31.8,2025-05-15T17:01:22.574Z,2025-05-15T17:01:23Z,7hi9yit8aifyojt7i0kg69as5,J. Bager,,5728747261,213,0.81,5728747251,56,Center,5728747269,15,,5728747255,141,55.1,5728747257,212,21.8,5728747253,140,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027961,14,1,1,0,53,cfvya7igkhkas7wvsktwz6j8k,1,42.6,48.7,2025-05-15T17:01:23.993Z,2025-05-15T17:01:27Z,4p1gi0hkamzt27nm2nf1j90bt,D. Seger,,5728747375,213,0.46,5728747367,56,Center,5728747371,141,58.1,5728747373,212,14.4,5728747365,3,,5728747369,140,54.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027973,15,1,1,0,56,cfvya7igkhkas7wvsktwz6j8k,1,58.5,62.4,2025-05-15T17:01:27.304Z,2025-05-15T17:21:55Z,bmdhp0p1sqy48a5algqcdv6qx,A. Aliev,,5728747411,56,Center,5728747419,213,3.46,5728747409,3,,5728747417,212,8.1,5728747413,140,51.2,5728747415,141,58.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027993,16,1,1,0,58,cfvya7igkhkas7wvsktwz6j8k,1,51.7,63.7,2025-05-15T17:01:29.129Z,2025-05-15T17:22:35Z,32bvga34o0hleev3duw2342ui,Noah Söderberg,,5728747523,56,Left,5728747527,141,80.6,5728747525,140,64.7,5728747529,212,17.8,5728747531,213,0.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027979,10,83,1,1,0,evf5hhqgnjhwjsth1m6pawxdp,0,26.0,8.6,2025-05-15T17:01:30.669Z,2025-05-15T17:22:34Z,1vla5l510mtb859zevvplneju,F. Eriksson,,5728747591,399,4p1gi0hkamzt27nm2nf1j90bt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027997,17,1,1,1,1,cfvya7igkhkas7wvsktwz6j8k,1,65.0,80.8,2025-05-15T17:01:32.265Z,2025-05-15T17:22:32Z,4p1gi0hkamzt27nm2nf1j90bt,D. Seger,,5728747561,213,3.27,5728747559,212,20.3,5728747555,140,45.8,5728747557,141,77.0,5728747553,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028001,18,1,1,1,2,cfvya7igkhkas7wvsktwz6j8k,1,45.8,77.0,2025-05-15T17:01:33.225Z,2025-05-15T17:01:33Z,3cplil800nf4znsypobvc22qy,D. Olsson,,5728747575,140,47.2,5728747573,56,Back,5728747577,141,64.0,5728747581,213,4.88,5728747579,212,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028013,19,1,1,1,4,cfvya7igkhkas7wvsktwz6j8k,1,47.2,64.0,2025-05-15T17:01:34.586Z,2025-05-15T17:01:35Z,32bvga34o0hleev3duw2342ui,Noah Söderberg,,5728747651,56,Back,5728747659,213,3.46,5728747655,141,53.6,5728747657,212,22.4,5728747653,140,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028039,20,1,1,1,5,cfvya7igkhkas7wvsktwz6j8k,1,26.9,53.6,2025-05-15T17:01:35.833Z,2025-05-15T17:01:41Z,4kmd502s272vf5wgkx8hk4vl5,I. Kričak,,5728747819,141,27.0,5728747823,213,4.62,5728747815,56,Back,5728747821,212,18.2,5728747817,140,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028051,21,1,1,1,10,cfvya7igkhkas7wvsktwz6j8k,0,29.1,18.0,2025-05-15T17:01:40.937Z,2025-05-15T17:01:48Z,7x9rvw3fkbdq9ape85thu5pzp,S. Hedlund,,5728747879,141,51.9,5728747883,213,0.33,5728747873,157,,5728747881,212,70.5,5728747877,140,92.6,5728747875,56,Center,5728747885,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028089,12,1,1,1,19,evf5hhqgnjhwjsth1m6pawxdp,1,7.8,35.2,2025-05-15T17:01:49.983Z,2025-05-15T17:01:53Z,1k2svnzs4woe6gpegqlrxjjf8,E. Bishesari,,5728748159,213,1.10,5728748149,123,,5728748151,56,Back,5728748153,140,19.3,5728748157,212,26.7,5728748155,141,70.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028119,13,1,1,1,23,evf5hhqgnjhwjsth1m6pawxdp,1,31.2,75.6,2025-05-15T17:01:53.374Z,2025-05-15T17:01:57Z,3tbz518udos9vb9bqypn9il7t,A. Erlingmark,,5728748285,140,7.5,5728748283,56,Back,5728748287,141,55.2,5728748291,213,3.65,5728748289,212,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028139,14,1,1,1,27,evf5hhqgnjhwjsth1m6pawxdp,1,6.8,56.1,2025-05-15T17:01:57.342Z,2025-05-15T17:02:01Z,1k2svnzs4woe6gpegqlrxjjf8,E. Bishesari,,5728748381,140,14.0,5728748379,56,Back,5728748383,141,84.7,5728748387,213,1.20,5728748385,212,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028143,15,1,1,1,31,evf5hhqgnjhwjsth1m6pawxdp,1,27.9,89.0,2025-05-15T17:02:01.455Z,2025-05-15T17:02:02Z,3tbz518udos9vb9bqypn9il7t,A. Erlingmark,,5728748397,141,95.4,5728748393,56,Back,5728748401,213,2.57,5728748399,212,8.1,5728748395,140,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028163,16,1,1,1,32,evf5hhqgnjhwjsth1m6pawxdp,1,21.5,95.3,2025-05-15T17:02:02.830Z,2025-05-15T17:02:05Z,8s2p8s6huogpkao0lce8m5n8,N. Tolf,,5728748491,140,4.9,5728748489,56,Back,5728748493,141,71.5,5728748497,213,3.89,5728748495,212,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028169,17,1,1,1,34,evf5hhqgnjhwjsth1m6pawxdp,0,6.2,71.4,2025-05-15T17:02:05.215Z,2025-05-15T17:02:06Z,1k2svnzs4woe6gpegqlrxjjf8,E. Bishesari,,5728748523,140,30.5,5728748519,157,,5728748527,212,25.6,5728748529,213,0.06,5728748521,56,Back,5728748531,1,,5728748525,141,73.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028173,22,1,1,1,36,cfvya7igkhkas7wvsktwz6j8k,0,76.2,34.6,2025-05-15T17:02:06.536Z,2025-05-15T17:02:07Z,dl3faj0dj1z16de9rb63nxyp5,M. Christensen,,5728748559,140,94.6,5728748555,3,,5728748565,213,0.12,5728748561,141,38.0,5728748563,212,19.5,5728748557,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028181,18,1,1,1,39,evf5hhqgnjhwjsth1m6pawxdp,0,20.6,64.8,2025-05-15T17:02:09.373Z,2025-05-15T17:02:10Z,1dy0207jxgg8gvuygsd95wdn8,D. Kruse,,5728748635,141,75.1,5728748631,56,Back,5728748639,213,0.28,5728748629,3,,5728748637,212,25.2,5728748633,140,43.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028191,23,1,1,1,40,cfvya7igkhkas7wvsktwz6j8k,1,66.0,30.6,2025-05-15T17:02:10.602Z,2025-05-15T17:24:15Z,99dbjsnn2lagcp44boyghq9zo,K. Gyamfi,,5728748703,212,15.0,5728748699,140,70.5,5728748697,56,Center,5728800783,155,,5728748701,141,51.5,5728748705,213,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028205,25,1,1,1,41,cfvya7igkhkas7wvsktwz6j8k,1,66.8,49.1,2025-05-15T17:02:11.945Z,2025-05-15T17:02:14Z,4p1gi0hkamzt27nm2nf1j90bt,D. Seger,,5728748779,56,Back,5728748783,141,49.0,5728748787,213,3.14,5728748781,140,43.1,5728748785,212,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028235,26,1,1,1,44,cfvya7igkhkas7wvsktwz6j8k,1,40.0,43.7,2025-05-15T17:02:14.681Z,2025-05-15T17:02:17Z,4kmd502s272vf5wgkx8hk4vl5,I. Kričak,,5728748887,56,Back,5728748893,212,15.0,5728748889,140,33.6,5728748891,141,24.0,5728748895,213,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028249,27,1,1,1,47,cfvya7igkhkas7wvsktwz6j8k,1,34.2,23.7,2025-05-15T17:02:17.481Z,2025-05-15T17:02:19Z,7x9rvw3fkbdq9ape85thu5pzp,S. Hedlund,,5728748979,140,44.0,5728748983,212,17.5,5728748981,141,44.6,5728748977,56,Back,5728748985,213,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028297,28,1,1,1,49,cfvya7igkhkas7wvsktwz6j8k,1,42.0,40.6,2025-05-15T17:02:19.769Z,2025-05-15T17:02:25Z,4p1gi0hkamzt27nm2nf1j90bt,D. Seger,,5728749237,212,30.2,5728749233,140,63.8,5728749231,56,Right,5728749239,213,5.57,5728749229,155,,5728749235,141,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028299,29,50,1,1,54,cfvya7igkhkas7wvsktwz6j8k,1,61.3,8.0,2025-05-15T17:02:24.541Z,2025-05-15T17:02:29Z,9401ndwivx7fpdplnv57v965m,M. Tamminen,,5728749243,56,Right,5728749275,233,19,5728749247,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028303,19,7,1,1,54,evf5hhqgnjhwjsth1m6pawxdp,1,38.7,92.0,2025-05-15T17:02:24.542Z,2025-05-15T17:02:28Z,8s2p8s6huogpkao0lce8m5n8,N. Tolf,,5728749263,233,29,5728749261,285,,5728749259,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028339,20,12,1,1,55,evf5hhqgnjhwjsth1m6pawxdp,1,36.2,93.8,2025-05-15T17:02:26.254Z,2025-05-15T17:02:31Z,8s2p8s6huogpkao0lce8m5n8,N. Tolf,,5728749443,140,52.3,5728749447,212,16.9,5728749449,213,6.26,5728749445,141,93.2,5728749441,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028317,30,61,1,1,57,cfvya7igkhkas7wvsktwz6j8k,0,45.1,13.1,2025-05-15T17:02:28.253Z,2025-05-15T17:25:25Z,7x9rvw3fkbdq9ape85thu5pzp,S. Hedlund,,5728749343,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028341,21,1,1,2,0,evf5hhqgnjhwjsth1m6pawxdp,0,55.6,86.5,2025-05-15T17:02:30.742Z,2025-05-15T17:25:04Z,2vfhae70oyyzm0qttlckworqi,A. Carlén,,5728749455,141,92.1,5728749459,213,0.50,5728749451,56,Left,5728749453,140,62.3,5728749457,212,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028355,31,1,1,2,0,cfvya7igkhkas7wvsktwz6j8k,1,40.5,12.0,2025-05-15T17:02:31.193Z,2025-05-15T17:25:25Z,7x9rvw3fkbdq9ape85thu5pzp,S. Hedlund,,5728749515,141,15.3,5728749511,56,Right,5728749519,213,0.12,5728749517,212,18.6,5728749513,140,58.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028361,32,1,1,2,3,cfvya7igkhkas7wvsktwz6j8k,1,46.5,14.6,2025-05-15T17:02:34.296Z,2025-05-15T17:02:36Z,32bvga34o0hleev3duw2342ui,Noah Söderberg,,5728749559,140,13.2,5728749565,213,3.12,5728749557,56,Back,5728749561,141,15.8,5728749555,155,,5728749567,1,,5728749563,212,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028367,33,1,1,2,6,cfvya7igkhkas7wvsktwz6j8k,1,14.5,15.6,2025-05-15T17:02:36.488Z,2025-05-15T17:02:38Z,7x9rvw3fkbdq9ape85thu5pzp,S. Hedlund,,5728749601,141,33.0,5728749597,56,Back,5728749605,213,2.18,5728749603,212,14.4,5728749599,140,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028373,34,1,1,2,8,cfvya7igkhkas7wvsktwz6j8k,1,6.9,38.3,2025-05-15T17:02:38.537Z,2025-05-15T17:02:41Z,aadwnc8p356rns7i7nyttyy5m,R. Wallinder,,5728749649,140,36.0,5728749651,141,35.2,5728749657,1,,5728749647,56,Back,5728749653,212,30.6,5728749645,157,,5728749655,213,6.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028393,35,1,1,2,10,cfvya7igkhkas7wvsktwz6j8k,1,38.6,34.2,2025-05-15T17:02:41.129Z,2025-05-15T17:02:43Z,bmdhp0p1sqy48a5algqcdv6qx,A. Aliev,,5728749759,212,14.6,5728749751,56,Back,5728749747,3,,5728749757,141,14.9,5728749755,140,32.6,5728749761,213,4.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028399,36,1,1,2,12,cfvya7igkhkas7wvsktwz6j8k,0,33.7,12.9,2025-05-15T17:02:43.064Z,2025-05-15T17:26:00Z,32bvga34o0hleev3duw2342ui,Noah Söderberg,,5728749799,212,26.4,5728749795,140,58.6,5728749797,141,7.6,5728749801,213,6.15,5728749793,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028419,22,1,1,2,15,evf5hhqgnjhwjsth1m6pawxdp,0,41.4,96.0,2025-05-15T17:02:46.077Z,2025-05-15T17:02:46Z,8s2p8s6huogpkao0lce8m5n8,N. Tolf,,5728749913,212,24.1,5728749907,56,Left,5728749909,140,63.8,5728749915,213,6.06,5728749911,141,88.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028429,37,1,1,2,16,cfvya7igkhkas7wvsktwz6j8k,1,37.6,17.1,2025-05-15T17:02:47.161Z,2025-05-15T17:02:48Z,dl3faj0dj1z16de9rb63nxyp5,M. Christensen,,5728749965,140,19.3,5728749969,212,19.9,5728749963,56,Back,5728749971,213,3.40,5728749967,141,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
