id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2820313769,7,12,1,0,39,2nnlsjfbcea40t4jeclcbw9lk,1,12.1,80.8,2025-05-31T13:02:00.946Z,2025-05-31T13:02:02Z,ch1ehgr9guufs2wmz5dbvmvo5,W. Hahn,,,5758042055,212,15.0,5758042049,56,Back,5758042051,140,17.1,5758042091,167,,5758042059,213,1.21,5758042053,141,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313775,5,5,1,0,40,1939bnru25svvgv15k2c7tw2y,1,78.4,-1.6,2025-05-31T13:02:01.764Z,2025-05-31T13:50:43Z,2qac7z5bt0grylf296n67j384,S. Eriksson,,,5758042097,233,8,5758042075,56,Right,5758042077,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313773,8,5,1,0,40,2nnlsjfbcea40t4jeclcbw9lk,0,21.6,101.6,2025-05-31T13:02:01.764Z,2025-05-31T13:02:06Z,ch1ehgr9guufs2wmz5dbvmvo5,W. Hahn,,,5758042069,347,,5758042067,56,Back,5758042103,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313805,6,1,1,0,48,1939bnru25svvgv15k2c7tw2y,1,79.1,0.0,2025-05-31T13:02:10.708Z,2025-05-31T13:02:13Z,5l4q2q8nszqp6k8exo9eyqnrp,S. Hedlund,,,5758042231,141,26.8,5758042235,213,0.92,5758042229,140,93.4,5758042233,212,24.7,5758042227,56,Center,5758042237,1,,5758042225,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313853,7,1,1,0,51,1939bnru25svvgv15k2c7tw2y,1,95.6,18.6,2025-05-31T13:02:13.732Z,2025-05-31T13:02:19Z,wv67qz43iwolqireq2ttfx1w,L. Östman,,,5758042461,212,6.0,5758042459,141,10.4,5758042463,213,4.32,5758042455,56,Right,5758042457,140,93.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313857,8,61,1,0,57,1939bnru25svvgv15k2c7tw2y,0,96.2,4.4,2025-05-31T13:02:19.252Z,2025-05-31T13:02:19Z,21abg7evjtjt6kzisu43jckmi,B. Zeneli,,,5758042479,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313889,9,1,1,0,59,2nnlsjfbcea40t4jeclcbw9lk,1,11.6,89.1,2025-05-31T13:02:21.330Z,2025-05-31T13:15:30Z,b1sztx2xd79amygbbvdia24et,S. Strand,,,5758042645,213,5.79,5758042637,56,Back,5758042641,141,84.2,5758042639,140,17.5,5758042643,212,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313895,11,1,1,1,2,2nnlsjfbcea40t4jeclcbw9lk,1,17.6,82.4,2025-05-31T13:02:24.673Z,2025-05-31T13:15:44Z,4mroygq2ruxkml5c5j4awwted,T. Tekie,,,5758042671,213,5.48,5758042663,56,Back,5758042669,212,7.6,5758042665,140,22.6,5758042667,141,74.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313903,12,1,1,1,3,2nnlsjfbcea40t4jeclcbw9lk,1,22.6,74.4,2025-05-31T13:02:25.409Z,2025-05-31T13:02:27Z,chzhwdk4l54t2kf606bkuiaqd,N. Besara,,,5758042699,141,75.3,5758042701,212,11.7,5758042703,213,3.09,5758042697,140,11.5,5758042695,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313907,13,1,1,1,5,2nnlsjfbcea40t4jeclcbw9lk,1,11.5,75.3,2025-05-31T13:02:27.026Z,2025-05-31T13:02:27Z,7eo3ceto09y3x4j4gh9m91kvd,S. Pinas,,,5758042727,141,85.7,5758042729,212,8.9,5758042731,213,0.92,5758042725,140,16.6,5758042723,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313917,14,1,1,1,5,2nnlsjfbcea40t4jeclcbw9lk,1,16.6,85.7,2025-05-31T13:02:27.714Z,2025-05-31T13:16:01Z,b1sztx2xd79amygbbvdia24et,S. Strand,,,5758042777,213,4.16,5758042773,141,75.1,5758042775,212,8.5,5758042771,140,12.4,5758042769,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313933,15,1,1,1,7,2nnlsjfbcea40t4jeclcbw9lk,1,12.4,75.1,2025-05-31T13:02:28.849Z,2025-05-31T13:02:32Z,7eo3ceto09y3x4j4gh9m91kvd,S. Pinas,,,5758042853,141,84.8,5758042849,140,29.6,5758042855,212,19.2,5758042845,56,Back,5758042857,213,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313937,16,1,1,1,8,2nnlsjfbcea40t4jeclcbw9lk,0,35.9,94.6,2025-05-31T13:02:30.194Z,2025-05-31T13:17:03Z,83uml6n0wlgtirmi30sa2ihd6,S. Tounekti,,,5758042867,56,Back,5758068355,140,35.9,5758068365,213,4.71,5758068457,236,,5758068359,141,91.2,5758068463,286,,5758068459,233,9,5758068363,212,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313929,9,74,1,1,8,1939bnru25svvgv15k2c7tw2y,1,67.7,10.1,2025-05-31T13:02:30.195Z,2025-05-31T13:18:19Z,6legryh9z8lvc4bq4s456m09h,S. Holmén,,,5758068479,233,16,5758042837,56,Right,5758068417,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313951,17,83,1,1,13,2nnlsjfbcea40t4jeclcbw9lk,0,30.6,75.0,2025-05-31T13:02:34.881Z,2025-05-31T13:02:38Z,chzhwdk4l54t2kf606bkuiaqd,N. Besara,,,5758043101,399,60fbyywnjiz6l8n7gmi2mjld5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313967,11,1,1,1,14,1939bnru25svvgv15k2c7tw2y,1,70.2,15.3,2025-05-31T13:02:36.196Z,2025-05-31T13:02:37Z,60fbyywnjiz6l8n7gmi2mjld5,S. Olsson,,,5758043055,213,0.29,5758043049,140,78.4,5758043051,141,19.1,5758043053,212,9.0,5758043047,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313979,12,1,1,1,15,1939bnru25svvgv15k2c7tw2y,1,78.4,19.1,2025-05-31T13:02:37.684Z,2025-05-31T13:02:39Z,21abg7evjtjt6kzisu43jckmi,B. Zeneli,,,5758043147,140,75.4,5758043153,213,2.13,5758043145,56,Center,5758043149,141,26.5,5758043151,212,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313985,13,3,1,1,17,1939bnru25svvgv15k2c7tw2y,1,74.3,32.7,2025-05-31T13:02:39.556Z,2025-05-31T13:18:16Z,60fbyywnjiz6l8n7gmi2mjld5,S. Olsson,,,5758043171,56,Center,5758043189,233,18,5758043173,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313981,18,45,1,1,17,2nnlsjfbcea40t4jeclcbw9lk,0,25.7,67.3,2025-05-31T13:02:39.556Z,2025-05-31T13:18:17Z,cyfvxg9z9aqfsoydhz7sr3qxg,M. Karlsson,,,5758043193,233,13,5758043157,56,Back,5758043159,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313999,19,83,1,1,18,2nnlsjfbcea40t4jeclcbw9lk,0,23.2,62.6,2025-05-31T13:02:39.897Z,2025-05-31T13:17:54Z,4mroygq2ruxkml5c5j4awwted,T. Tekie,,,5758043643,399,60fbyywnjiz6l8n7gmi2mjld5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313987,14,61,1,1,19,1939bnru25svvgv15k2c7tw2y,1,81.5,36.3,2025-05-31T13:02:41.353Z,2025-05-31T13:03:04Z,60fbyywnjiz6l8n7gmi2mjld5,S. Olsson,1.0,,5758043175,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820314003,15,13,1,1,21,1939bnru25svvgv15k2c7tw2y,1,85.3,45.2,2025-05-31T13:02:43.204Z,2025-05-31T13:18:12Z,116vh3v105pa9vyw10hpvuwdm,F. Ihler,,,5758043619,20,,5758043789,102,37.1,5758043793,230,98.1,5758043795,231,49.5,5758043791,103,59.7,5758043259,22,,5758043261,17,,5758070397,81,,5758043263,56,Center,5758043783,29,5758043785,55,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820314009,16,5,1,1,22,1939bnru25svvgv15k2c7tw2y,0,101.2,39.3,2025-05-31T13:02:44.274Z,2025-05-31T13:50:44Z,116vh3v105pa9vyw10hpvuwdm,F. Ihler,,,5758043325,346,,5758043381,233,20,5758043323,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820314007,20,5,1,1,22,2nnlsjfbcea40t4jeclcbw9lk,1,-1.2,60.7,2025-05-31T13:02:44.274Z,2025-05-31T13:50:43Z,4mroygq2ruxkml5c5j4awwted,T. Tekie,,,5758043315,56,Back,5758043317,346,,5758043349,233,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820314151,21,1,1,1,46,2nnlsjfbcea40t4jeclcbw9lk,1,4.5,49.7,2025-05-31T13:03:07.761Z,2025-05-31T13:03:16Z,ch1ehgr9guufs2wmz5dbvmvo5,W. Hahn,,,5758044163,212,5.9,5758044157,56,Back,5758044161,141,56.9,5758044165,213,0.97,5758044159,140,7.7,5758044155,124,,5758044169,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820314181,22,1,1,1,54,2nnlsjfbcea40t4jeclcbw9lk,1,19.4,57.5,2025-05-31T13:03:16.018Z,2025-05-31T13:03:20Z,4mroygq2ruxkml5c5j4awwted,T. Tekie,,,5758044331,212,18.4,5758044329,141,82.6,5758044333,213,1.19,5758044327,140,25.9,5758044325,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820314193,23,1,1,1,58,2nnlsjfbcea40t4jeclcbw9lk,0,29.7,85.9,2025-05-31T13:03:20.338Z,2025-05-31T13:03:21Z,7eo3ceto09y3x4j4gh9m91kvd,S. Pinas,,,5758044395,157,,5758044407,1,,5758044397,56,Left,5758044403,212,33.1,5758044405,213,0.06,5758044401,141,88.7,5758044399,140,61.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820314209,17,12,1,1,59,1939bnru25svvgv15k2c7tw2y,1,29.9,10.1,2025-05-31T13:03:21.348Z,2025-05-31T13:03:23Z,6legryh9z8lvc4bq4s456m09h,S. Holmén,,,5758044479,140,67.6,5758044485,213,0.01,5758044481,141,10.9,5758044477,56,Right,5758044483,212,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820314223,19,1,1,2,1,1939bnru25svvgv15k2c7tw2y,1,67.6,10.9,2025-05-31T13:03:23.397Z,2025-05-31T13:03:24Z,wv67qz43iwolqireq2ttfx1w,L. Östman,,,5758044519,56,Center,5758044523,141,29.1,5758044525,212,12.4,5758044521,140,68.1,5758044527,213,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820314225,20,1,1,2,2,1939bnru25svvgv15k2c7tw2y,0,68.1,29.1,2025-05-31T13:03:24.645Z,2025-05-31T13:03:25Z,21abg7evjtjt6kzisu43jckmi,B. Zeneli,,,5758044533,140,80.7,5758044539,213,0.06,5758044535,141,30.3,5758044537,212,13.3,5758044531,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820314249,25,1,1,2,6,2nnlsjfbcea40t4jeclcbw9lk,1,32.3,62.4,2025-05-31T13:03:28.625Z,2025-05-31T13:03:31Z,4mroygq2ruxkml5c5j4awwted,T. Tekie,,,5758044679,140,32.4,5758044677,56,Back,5758044681,141,32.2,5758044685,213,4.72,5758044683,212,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820314275,26,1,1,2,9,2nnlsjfbcea40t4jeclcbw9lk,1,33.9,30.1,2025-05-31T13:03:31.570Z,2025-05-31T13:03:35Z,8fle9xgnd83jth2i2d6vh0k16,I. Fofana,,,5758044813,141,43.0,5758044811,140,29.1,5758044815,212,10.1,5758044817,213,2.09,5758044809,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820314293,27,1,1,2,13,2nnlsjfbcea40t4jeclcbw9lk,1,31.1,41.3,2025-05-31T13:03:35.490Z,2025-05-31T13:03:38Z,9s3boszvqn3fzsx0r1xswqyqy,V. Eriksson,,,5758044915,212,4.6,5758044911,140,32.2,5758044913,141,47.9,5758044909,56,Back,5758044917,213,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820314307,28,1,1,2,16,2nnlsjfbcea40t4jeclcbw9lk,1,31.7,51.6,2025-05-31T13:03:38.641Z,2025-05-31T13:03:40Z,4mroygq2ruxkml5c5j4awwted,T. Tekie,,,5758044989,213,5.29,5758044983,140,37.2,5758044981,56,Back,5758044987,212,10.6,5758044985,141,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820314327,29,1,1,2,18,2nnlsjfbcea40t4jeclcbw9lk,1,36.1,34.6,2025-05-31T13:03:40.722Z,2025-05-31T13:03:44Z,cyfvxg9z9aqfsoydhz7sr3qxg,M. Karlsson,,,5758045117,141,9.1,5758045115,140,43.6,5758045121,213,5.14,5758045113,56,Back,5758045119,212,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820314333,30,1,1,2,22,2nnlsjfbcea40t4jeclcbw9lk,0,50.8,10.3,2025-05-31T13:03:43.906Z,2025-05-31T13:03:46Z,chzhwdk4l54t2kf606bkuiaqd,N. Besara,,,5758045185,155,,5758045197,1,,5758045191,141,39.1,5758045195,213,0.41,5758045187,56,Center,5758045193,212,49.1,5758045189,140,93.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820314375,22,1,1,2,29,1939bnru25svvgv15k2c7tw2y,1,9.8,55.2,2025-05-31T13:03:50.965Z,2025-05-31T13:03:52Z,2qac7z5bt0grylf296n67j384,S. Eriksson,,,5758045427,212,23.7,5758045429,213,1.09,5758045425,141,86.2,5758045457,189,,5758045421,56,Back,5758045419,123,,5758045423,140,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820314383,23,1,1,2,31,1939bnru25svvgv15k2c7tw2y,1,20.2,86.2,2025-05-31T13:03:53.604Z,2025-05-31T13:03:55Z,amgtzrnw9lmo9o506a0mhzip6,R. Wikström,,,5758045493,213,5.63,5758045489,141,57.2,5758045491,212,32.2,5758045495,1,,5758045485,140,44.5,5758045481,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820314385,24,61,1,2,33,1939bnru25svvgv15k2c7tw2y,0,44.5,57.2,2025-05-31T13:03:55.350Z,2025-05-31T13:03:55Z,116vh3v105pa9vyw10hpvuwdm,F. Ihler,,,5758045499,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820314421,32,1,1,2,37,2nnlsjfbcea40t4jeclcbw9lk,1,63.7,66.6,2025-05-31T13:03:59.490Z,2025-05-31T13:04:04Z,b1sztx2xd79amygbbvdia24et,S. Strand,,,5758045679,141,93.8,5758045677,140,76.5,5758045681,212,22.9,5758045675,56,Left,5758045683,213,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820314423,33,1,1,2,42,2nnlsjfbcea40t4jeclcbw9lk,0,77.9,78.5,2025-05-31T13:04:04.049Z,2025-05-31T13:04:05Z,83uml6n0wlgtirmi30sa2ihd6,S. Tounekti,,,5758045749,236,,5758045751,233,25,5758045755,286,,5758045695,213,4.02,5758045687,56,Center,5758045691,141,77.2,5758045689,140,77.2,5758045693,212,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820314433,25,74,1,2,42,1939bnru25svvgv15k2c7tw2y,1,18.5,9.8,2025-05-31T13:04:04.050Z,2025-05-31T13:18:19Z,21abg7evjtjt6kzisu43jckmi,B. Zeneli,,,5758045721,56,Back,5758045723,285,,5758045761,233,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820314431,34,61,1,2,43,2nnlsjfbcea40t4jeclcbw9lk,1,77.2,77.2,2025-05-31T13:04:05.099Z,2025-05-31T13:04:05Z,83uml6n0wlgtirmi30sa2ihd6,S. Tounekti,,,5758045709,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820314441,27,1,1,2,44,1939bnru25svvgv15k2c7tw2y,1,18.0,8.9,2025-05-31T13:04:06.386Z,2025-05-31T13:04:07Z,21abg7evjtjt6kzisu43jckmi,B. Zeneli,,,5758045799,213,2.47,5758045793,212,5.7,5758045781,56,Back,5758045791,141,14.1,5758045785,140,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820314451,28,1,1,2,45,1939bnru25svvgv15k2c7tw2y,1,13.8,14.1,2025-05-31T13:04:07.508Z,2025-05-31T13:21:23Z,5l4q2q8nszqp6k8exo9eyqnrp,S. Hedlund,,,5758045843,213,0.00,5758045839,141,14.1,5758045841,212,11.8,5758045837,140,25.0,5758045835,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820314459,29,1,1,2,46,1939bnru25svvgv15k2c7tw2y,1,25.0,14.1,2025-05-31T13:04:08.596Z,2025-05-31T13:04:10Z,wv67qz43iwolqireq2ttfx1w,L. Östman,,,5758045877,212,6.5,5758045871,56,Back,5758045875,141,4.6,5758045873,140,24.3,5758045879,213,4.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
