id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/8/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2820313463,6,1,1,0,10,33hzf6j2rd9r50g2n4agsytkd,1,26.7,79.1,2025-05-31T13:00:50.944Z,2025-05-31T13:07:01Z,1a112nxaob06fjynlat625u96,K. Holmén,,,5758040569,213,1.21,5758040565,141,88.0,5758040567,212,6.5,5758040563,140,28.9,5758040561,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820315425,72,1,1,0,11,33hzf6j2rd9r50g2n4agsytkd,1,27.9,96.5,2025-05-31T13:00:52.304Z,2025-05-31T13:07:48Z,f10q2mnvhe30a9au85fjnnt3o,R. Wendin Thomasson,,,5758051885,213,6.26,5758051877,56,Back,5758051881,141,96.1,5758051879,140,38.2,5758051883,212,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313465,7,3,1,0,12,33hzf6j2rd9r50g2n4agsytkd,0,34.6,89.7,2025-05-31T13:00:53.266Z,2025-05-31T14:01:40Z,aybt4s09eeonv6pdk2v9c9v6c,A. Boudri,,,5758040599,233,6,5758040603,286,,5758040573,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313469,6,7,1,0,12,7hlumphk42363z3i2nry2wrzj,1,65.4,10.3,2025-05-31T13:00:53.267Z,2025-05-31T14:01:40Z,3hn1o03lxsjzju3uorl6rnpxw,Y. Kalley,,,5758040595,233,7,5758119485,285,,5758040591,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313475,7,1,1,0,14,7hlumphk42363z3i2nry2wrzj,1,57.7,8.8,2025-05-31T13:00:54.797Z,2025-05-31T13:00:57Z,3hn1o03lxsjzju3uorl6rnpxw,Y. Kalley,,,5758040623,141,13.2,5758040627,213,1.40,5758040621,140,58.2,5758040625,212,3.0,5758040619,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313481,9,1,1,0,16,7hlumphk42363z3i2nry2wrzj,0,58.2,13.2,2025-05-31T13:00:57.064Z,2025-05-31T13:00:57Z,3kgwkv2bjw5h244h675kmsclx,A. Fransson,,,5758040649,141,16.4,5758040653,213,0.52,5758040645,56,Right,5758040651,212,4.4,5758040647,140,61.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820315715,91,83,1,0,18,7hlumphk42363z3i2nry2wrzj,0,68.0,29.7,2025-05-31T13:00:58.502Z,2025-05-31T13:09:16Z,3v40cf58jryvu4l4cxu4w9ht6,T. Prica,,,5758054329,399,f10q2mnvhe30a9au85fjnnt3o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313501,9,1,1,0,19,33hzf6j2rd9r50g2n4agsytkd,1,26.9,70.0,2025-05-31T13:01:00.140Z,2025-05-31T13:08:45Z,f10q2mnvhe30a9au85fjnnt3o,R. Wendin Thomasson,,,5758040749,141,53.6,5758040753,213,3.69,5758040745,56,Back,5758040751,212,21.5,5758040747,140,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313507,10,1,1,0,22,33hzf6j2rd9r50g2n4agsytkd,1,6.6,50.3,2025-05-31T13:01:03.328Z,2025-05-31T13:01:05Z,kod0xzh15xxa52700ufz7kyd,M. Krasniqi,,,5758040781,155,,5758040787,141,26.2,5758040783,56,Back,5758040789,212,42.9,5758040793,1,,5758040791,213,5.89,5758040785,140,44.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313511,11,61,1,0,25,33hzf6j2rd9r50g2n4agsytkd,0,44.4,26.2,2025-05-31T13:01:05.537Z,2025-05-31T13:01:05Z,6ivuk1j53ybmv5hhzp55ybzzd,G. Lundgren,,,5758040799,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313523,10,1,1,0,26,7hlumphk42363z3i2nry2wrzj,1,61.1,75.2,2025-05-31T13:01:07.260Z,2025-05-31T13:09:50Z,ez7xc7vakt4fmabtp61w72yju,I. Lushaku,,,5758040865,56,Center,5758040871,212,7.3,5758040873,213,2.93,5758040869,141,77.5,5758040867,140,54.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313533,12,1,1,0,29,7hlumphk42363z3i2nry2wrzj,1,56.6,67.3,2025-05-31T13:01:10.060Z,2025-05-31T13:10:03Z,2lafgzvhv0er31i6c2nb6xqfo,M. Baggesen,,,5758040909,141,75.0,5758040911,212,12.9,5758040905,56,Back,5758040913,213,2.72,5758040907,140,45.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313537,13,1,1,0,30,7hlumphk42363z3i2nry2wrzj,1,45.7,75.2,2025-05-31T13:01:11.260Z,2025-05-31T13:10:08Z,sxahqo62pj3wu3yfeah4fiay,A. Sögaard,,,5758040935,212,16.8,5758040937,213,0.90,5758040933,141,94.6,5758040931,140,55.6,5758040929,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313539,14,1,1,0,31,7hlumphk42363z3i2nry2wrzj,1,53.3,85.4,2025-05-31T13:01:12.141Z,2025-05-31T13:10:19Z,ez7xc7vakt4fmabtp61w72yju,I. Lushaku,,,5758040949,213,6.04,5758040945,141,82.9,5758040941,56,Left,5758040943,140,59.8,5758040947,212,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313577,15,1,1,0,32,7hlumphk42363z3i2nry2wrzj,1,59.8,82.9,2025-05-31T13:01:12.972Z,2025-05-31T13:10:34Z,2lafgzvhv0er31i6c2nb6xqfo,M. Baggesen,,,5758041123,140,60.9,5758041127,141,95.7,5758041119,56,Left,5758041131,212,8.8,5758041133,213,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313567,12,45,1,0,38,33hzf6j2rd9r50g2n4agsytkd,0,19.2,12.0,2025-05-31T13:01:19.106Z,2025-05-31T14:01:45Z,7d9e5tvw9ghew36m4mh2nr23u,W. Milovanovic,,,5758041087,285,,5758041157,233,16,5758041085,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313581,16,3,1,0,38,7hlumphk42363z3i2nry2wrzj,1,80.8,88.0,2025-05-31T13:01:19.106Z,2025-05-31T14:01:45Z,ay6mgdylpu08d9pydxejbd562,Í. Sigurgeirsson,,,5758041139,56,Left,5758041141,286,,5758041153,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313589,17,1,1,0,40,7hlumphk42363z3i2nry2wrzj,1,71.3,91.8,2025-05-31T13:01:20.701Z,2025-05-31T13:11:06Z,ay6mgdylpu08d9pydxejbd562,Í. Sigurgeirsson,,,5758041181,212,1.9,5758041179,141,90.8,5758041183,213,3.51,5758041175,56,Left,5758041177,140,69.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313599,18,1,1,0,41,7hlumphk42363z3i2nry2wrzj,0,75.9,90.5,2025-05-31T13:01:21.613Z,2025-05-31T13:11:01Z,2lafgzvhv0er31i6c2nb6xqfo,M. Baggesen,,,5758041219,141,68.7,5758041215,56,Center,5758041213,155,,5758041223,213,5.20,5758041217,140,83.4,5758041221,212,16.8,5758041211,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313593,13,44,1,0,42,33hzf6j2rd9r50g2n4agsytkd,1,3.9,42.2,2025-05-31T13:01:23.265Z,2025-05-31T14:01:51Z,7wesnkwthjcluc9b83s8ab1g4,O. Ågren,,,5758041191,56,Back,5758041193,285,,5758058849,233,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820316699,131,44,1,0,42,7hlumphk42363z3i2nry2wrzj,0,96.1,57.8,2025-05-31T13:01:23.266Z,2025-05-31T14:01:51Z,9d08simhpio6vi217mqtro6ad,A. Traustason,,,5758058795,56,Center,5758058797,286,,5758058853,233,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313595,14,12,1,0,43,33hzf6j2rd9r50g2n4agsytkd,1,4.6,39.5,2025-05-31T13:01:23.698Z,2025-05-31T13:01:26Z,7wesnkwthjcluc9b83s8ab1g4,O. Ågren,,,5758041203,213,1.23,5758041197,140,7.7,5758041201,212,9.8,5758041195,56,Back,5758041209,15,,5758041199,141,53.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313643,15,12,1,0,46,33hzf6j2rd9r50g2n4agsytkd,1,11.5,63.4,2025-05-31T13:01:26.481Z,2025-05-31T13:11:58Z,bi57bgog4e5pmkde5tl4bvxg4,R. Niklasson Petrovic,,,5758041457,140,29.1,5758041459,141,64.0,5758041461,212,18.5,5758041463,213,0.02,5758041455,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313629,19,1,1,0,48,7hlumphk42363z3i2nry2wrzj,1,65.0,28.2,2025-05-31T13:01:28.605Z,2025-05-31T13:01:34Z,3hn1o03lxsjzju3uorl6rnpxw,Y. Kalley,,,5758041397,56,Back,5758041399,140,36.5,5758041405,213,2.81,5758041403,212,31.7,5758041401,141,43.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313641,20,1,1,0,54,7hlumphk42363z3i2nry2wrzj,1,35.9,43.0,2025-05-31T13:01:34.798Z,2025-05-31T13:01:37Z,sxahqo62pj3wu3yfeah4fiay,A. Sögaard,,,5758041447,212,22.9,5758041443,140,14.3,5758041441,56,Back,5758041445,141,47.5,5758041449,213,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313655,21,1,1,0,56,7hlumphk42363z3i2nry2wrzj,0,13.8,48.8,2025-05-31T13:01:36.956Z,2025-05-31T13:01:40Z,3qlfkqrawehngfhe1zmy1a61g,D. Andersson,,,5758041523,1,,5758041513,56,Back,5758041517,141,100.0,5758041521,213,0.92,5758041519,212,45.3,5758041515,140,39.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313667,16,5,1,1,0,33hzf6j2rd9r50g2n4agsytkd,1,59.3,-2.0,2025-05-31T13:01:40.377Z,2025-05-31T14:01:58Z,bi57bgog4e5pmkde5tl4bvxg4,R. Niklasson Petrovic,,,5758041575,233,22,5758041573,347,,5758041571,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313657,22,5,1,1,0,7hlumphk42363z3i2nry2wrzj,0,40.7,102.0,2025-05-31T13:01:40.377Z,2025-05-31T13:01:46Z,3qlfkqrawehngfhe1zmy1a61g,D. Andersson,,,5758041581,233,16,5758041527,347,,5758041525,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313711,17,1,1,1,6,33hzf6j2rd9r50g2n4agsytkd,1,58.1,0.0,2025-05-31T13:01:47.121Z,2025-05-31T13:01:51Z,5ijbt4bhic3y1zasavky12311,A. Wängberg,,,5758041763,141,15.5,5758041767,213,2.64,5758041759,56,Back,5758041761,140,37.3,5758041765,212,24.9,5758041757,107,,5758041769,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313719,18,1,1,1,11,33hzf6j2rd9r50g2n4agsytkd,1,32.0,25.8,2025-05-31T13:01:51.825Z,2025-05-31T13:01:54Z,4nx0njulsjs2hegiee011dxpl,R. Frej,,,5758041797,212,9.0,5758041793,140,28.6,5758041791,56,Back,5758041795,141,38.0,5758041799,213,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313743,19,1,1,1,14,33hzf6j2rd9r50g2n4agsytkd,1,26.7,39.7,2025-05-31T13:01:54.576Z,2025-05-31T13:12:55Z,kod0xzh15xxa52700ufz7kyd,M. Krasniqi,,,5758061263,155,,5758041919,213,5.93,5758041915,212,51.8,5758041909,56,Right,5758041913,141,13.1,5758041911,140,72.9,5758041921,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313745,20,61,1,1,17,33hzf6j2rd9r50g2n4agsytkd,0,72.9,13.1,2025-05-31T13:01:57.675Z,2025-05-31T13:13:07Z,6ivuk1j53ybmv5hhzp55ybzzd,G. Lundgren,,,5758041929,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313757,23,12,1,1,18,7hlumphk42363z3i2nry2wrzj,1,28.0,90.3,2025-05-31T13:01:59.183Z,2025-05-31T13:02:00Z,2lafgzvhv0er31i6c2nb6xqfo,M. Baggesen,,,5758042029,167,,5758042007,140,25.1,5758042009,141,100.0,5758042013,213,1.94,5758042005,56,Back,5758042011,212,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313767,21,5,1,1,19,33hzf6j2rd9r50g2n4agsytkd,1,76.4,-1.6,2025-05-31T13:01:59.612Z,2025-05-31T13:13:05Z,6ivuk1j53ybmv5hhzp55ybzzd,G. Lundgren,,,5758042045,233,24,5758042037,56,Right,5758042039,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313759,24,5,1,1,19,7hlumphk42363z3i2nry2wrzj,0,23.6,101.6,2025-05-31T13:01:59.612Z,2025-05-31T14:01:59Z,2lafgzvhv0er31i6c2nb6xqfo,M. Baggesen,,,5758042061,233,21,5758042017,347,,5758042015,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313791,22,1,1,1,26,33hzf6j2rd9r50g2n4agsytkd,1,78.9,0.0,2025-05-31T13:02:06.785Z,2025-05-31T13:02:11Z,5ijbt4bhic3y1zasavky12311,A. Wängberg,,,5758042175,213,0.39,5758042173,212,11.4,5758042171,141,5.6,5758042167,56,Right,5758042165,107,,5758042169,140,88.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313793,25,83,1,1,29,7hlumphk42363z3i2nry2wrzj,0,9.3,88.4,2025-05-31T13:02:09.349Z,2025-05-31T13:13:28Z,2lafgzvhv0er31i6c2nb6xqfo,M. Baggesen,,,5758062111,399,6ivuk1j53ybmv5hhzp55ybzzd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313799,23,1,1,1,30,33hzf6j2rd9r50g2n4agsytkd,1,88.9,5.6,2025-05-31T13:02:11.074Z,2025-05-31T13:02:12Z,6ivuk1j53ybmv5hhzp55ybzzd,G. Lundgren,,,5758042211,141,3.1,5758042213,212,1.9,5758042209,140,88.0,5758042207,56,Right,5758042215,213,4.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313823,24,1,1,1,32,33hzf6j2rd9r50g2n4agsytkd,0,88.0,3.1,2025-05-31T13:02:12.705Z,2025-05-31T15:00:44Z,5ijbt4bhic3y1zasavky12311,A. Wängberg,,,5758042295,155,,5758042303,212,25.5,5758042299,140,90.8,5758042301,141,40.3,5758042293,2,,5758042297,56,Center,5758042305,213,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820317575,166,44,1,1,33,7hlumphk42363z3i2nry2wrzj,1,7.7,50.8,2025-05-31T13:02:14.070Z,2025-05-31T15:01:23Z,4er21aspnwqojlenu6lhc2b4l,M. Watson,,,5758063929,56,Back,5758063937,233,25,5758063931,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313835,25,44,1,1,33,33hzf6j2rd9r50g2n4agsytkd,0,92.3,49.2,2025-05-31T13:02:14.071Z,2025-05-31T15:00:44Z,4psxc0t1nm2o7a984utuzwciy,I. Diabate,,,5758042345,286,,5758063933,233,166,5758042343,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313817,26,12,1,1,33,7hlumphk42363z3i2nry2wrzj,1,6.7,50.5,2025-05-31T13:02:14.229Z,2025-05-31T15:00:51Z,4er21aspnwqojlenu6lhc2b4l,M. Watson,,,5758222643,213,5.66,5758222641,212,2.6,5758042271,56,Back,5758222639,141,48.3,5758222797,15,,5758222637,140,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313837,26,61,1,1,33,33hzf6j2rd9r50g2n4agsytkd,1,91.8,53.8,2025-05-31T13:02:14.329Z,2025-05-31T15:01:21Z,4psxc0t1nm2o7a984utuzwciy,I. Diabate,,,5758042361,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313855,27,13,1,1,34,33hzf6j2rd9r50g2n4agsytkd,1,89.0,43.9,2025-05-31T13:02:15.265Z,2025-05-31T13:15:43Z,4psxc0t1nm2o7a984utuzwciy,I. Diabate,,,5758043407,20,,5758042469,17,,5758043427,146,96.2,5758043421,458,,5758065715,153,,5758065713,391,,5758042471,56,Center,5758065711,328,,5758065709,75,5758043437,231,49.5,5758043431,147,41.0,5758043435,230,99.1,5758043413,103,9.7,5758043411,102,38.5,5758065707,160,,,,,,,,,,,
2820313833,27,43,1,1,36,7hlumphk42363z3i2nry2wrzj,1,0.0,0.0,2025-05-31T13:02:16.365Z,2025-05-31T13:15:26Z,4er21aspnwqojlenu6lhc2b4l,M. Watson,,,5758042335,56,Back,5758065781,144,10,5758042333,94,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313961,29,1,1,1,55,7hlumphk42363z3i2nry2wrzj,0,8.8,55.1,2025-05-31T13:02:35.933Z,2025-05-31T13:16:16Z,3qlfkqrawehngfhe1zmy1a61g,D. Andersson,,,5758067281,189,,5758043019,141,62.7,5758043025,1,,5758043015,56,Center,5758043017,140,56.5,5758043023,213,0.10,5758043013,199,,5758043021,212,50.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313975,28,12,1,1,57,33hzf6j2rd9r50g2n4agsytkd,1,29.2,23.3,2025-05-31T13:02:37.651Z,2025-05-31T13:16:29Z,4nx0njulsjs2hegiee011dxpl,R. Frej,,,5758043119,56,Back,5758043125,212,18.9,5758043127,213,5.38,5758043123,141,1.5,5758043121,140,40.3,5758067543,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313991,30,1,1,1,59,7hlumphk42363z3i2nry2wrzj,1,53.7,93.3,2025-05-31T13:02:39.885Z,2025-05-31T13:02:42Z,ay6mgdylpu08d9pydxejbd562,Í. Sigurgeirsson,,,5758043199,140,42.3,5758043205,213,3.02,5758043203,212,12.1,5758043197,56,Back,5758043201,141,95.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
