id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2807005139,17,61,1,0,46,2nnlsjfbcea40t4jeclcbw9lk,0,71.7,95.4,2025-04-27T12:05:07.469Z,2025-04-27T12:05:10Z,83uml6n0wlgtirmi30sa2ihd6,S. Tounekti,,,5684308815,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807005221,12,1,1,0,48,9zqn9ugvg64it0lr5z8cq4g9v,1,20.1,8.5,2025-04-27T12:05:09.430Z,2025-04-27T12:05:11Z,8kkbwlif9496fekfraadrws9g,F. Öhman,,,5684309159,140,15.0,5684309165,213,2.58,5684309163,212,6.3,5684309161,141,13.4,5684309157,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807005237,13,1,1,0,51,9zqn9ugvg64it0lr5z8cq4g9v,0,15.0,13.4,2025-04-27T12:05:11.853Z,2025-04-27T12:05:18Z,17jltcnnaha4707duh52hirit,M. Lode,,,5684309293,141,25.3,5684309291,140,55.6,5684309289,56,Center,5684309299,1,,5684309287,157,,5684309295,212,43.4,5684309297,213,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807005401,19,1,1,0,59,2nnlsjfbcea40t4jeclcbw9lk,1,28.4,42.1,2025-04-27T12:05:20.269Z,2025-04-27T12:05:23Z,9s3boszvqn3fzsx0r1xswqyqy,V. Eriksson,,,5684310153,212,18.3,5684310151,141,15.3,5684310147,56,Back,5684310155,213,4.78,5684310149,140,29.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807005449,20,1,1,1,2,2nnlsjfbcea40t4jeclcbw9lk,1,30.6,13.7,2025-04-27T12:05:22.925Z,2025-04-27T12:05:25Z,1ojl4m8rsuzsjufucdotav4es,H. Skoglund,,,5684310409,213,2.31,5684310401,56,Back,5684310403,140,22.0,5684310407,212,13.4,5684310405,141,28.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807005611,21,1,1,1,4,2nnlsjfbcea40t4jeclcbw9lk,1,22.1,29.5,2025-04-27T12:05:25.053Z,2025-04-27T12:05:34Z,9s3boszvqn3fzsx0r1xswqyqy,V. Eriksson,,,5684311215,56,Back,5684311223,213,1.57,5684311221,212,19.7,5684311219,141,58.4,5684311217,140,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807005641,22,1,1,1,13,2nnlsjfbcea40t4jeclcbw9lk,1,31.2,61.2,2025-04-27T12:05:34.108Z,2025-04-27T12:05:36Z,5s647zr10m1nxt4xxpxkpgmw9,P. Vagić,,,5684311347,213,4.32,5684311343,141,44.5,5684311341,140,26.7,5684311339,56,Back,5684311345,212,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807005669,23,1,1,1,15,2nnlsjfbcea40t4jeclcbw9lk,1,26.7,41.8,2025-04-27T12:05:35.996Z,2025-04-27T12:05:38Z,9s3boszvqn3fzsx0r1xswqyqy,V. Eriksson,,,5684311527,140,30.6,5684311529,141,32.1,5684311533,213,5.27,5684311531,212,7.8,5684311525,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807005725,24,1,1,1,17,2nnlsjfbcea40t4jeclcbw9lk,1,25.4,34.9,2025-04-27T12:05:38.589Z,2025-04-27T12:05:44Z,4mroygq2ruxkml5c5j4awwted,T. Tekie,,,5684311817,213,1.97,5684311815,212,38.2,5684311807,56,Back,5684311819,1,,5684311811,140,11.1,5684311813,141,86.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807005767,25,1,1,1,23,2nnlsjfbcea40t4jeclcbw9lk,1,10.8,87.1,2025-04-27T12:05:43.949Z,2025-04-27T12:05:46Z,5s647zr10m1nxt4xxpxkpgmw9,P. Vagić,,,5684312019,213,5.66,5684312013,141,79.4,5684312011,140,17.8,5684312009,56,Back,5684312015,212,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807005809,26,1,1,1,25,2nnlsjfbcea40t4jeclcbw9lk,1,19.6,80.3,2025-04-27T12:05:46.142Z,2025-04-27T12:05:48Z,4mroygq2ruxkml5c5j4awwted,T. Tekie,,,5684312247,140,33.4,5684312245,56,Back,5684312253,213,0.56,5684312251,212,17.2,5684312249,141,93.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807005909,27,1,1,1,27,2nnlsjfbcea40t4jeclcbw9lk,1,33.5,95.1,2025-04-27T12:05:48.317Z,2025-04-27T12:05:55Z,7eo3ceto09y3x4j4gh9m91kvd,S. Pinas,,,5684312895,212,22.7,5684312897,213,0.02,5684312893,141,95.9,5684312889,56,Left,5684312891,140,55.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807005917,28,3,1,1,34,2nnlsjfbcea40t4jeclcbw9lk,0,87.9,86.6,2025-04-27T12:05:54.972Z,2025-04-27T12:35:50Z,83uml6n0wlgtirmi30sa2ihd6,S. Tounekti,,,5684312919,56,Left,5684475871,233,14,5684312921,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807006001,14,7,1,1,34,9zqn9ugvg64it0lr5z8cq4g9v,0,12.1,13.4,2025-04-27T12:05:54.973Z,2025-04-27T12:35:50Z,8kkbwlif9496fekfraadrws9g,F. Öhman,,,5684313285,285,,5684475897,233,28,5684313283,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807005985,29,61,1,1,35,2nnlsjfbcea40t4jeclcbw9lk,1,87.8,87.2,2025-04-27T12:05:56.302Z,2025-04-27T12:06:00Z,83uml6n0wlgtirmi30sa2ihd6,S. Tounekti,,,5684313211,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807006043,15,5,1,1,37,9zqn9ugvg64it0lr5z8cq4g9v,1,-1.6,19.6,2025-04-27T12:05:58.006Z,2025-04-27T13:04:40Z,17jltcnnaha4707duh52hirit,M. Lode,,,5684313565,346,,5684313773,233,30,5684313523,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807006005,30,5,1,1,37,2nnlsjfbcea40t4jeclcbw9lk,0,101.6,80.4,2025-04-27T12:05:58.006Z,2025-04-27T13:04:40Z,83uml6n0wlgtirmi30sa2ihd6,S. Tounekti,,,5684313807,233,15,5684313299,346,,5684313295,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807006485,16,1,1,1,56,9zqn9ugvg64it0lr5z8cq4g9v,1,5.1,60.9,2025-04-27T12:06:17.039Z,2025-04-27T12:06:21Z,8h4jv2n2b8w3hmn4oec3tvevo,A. Faye,,,5684315811,237,,5684315801,212,6.7,5684315803,213,4.28,5684315793,140,2.4,5684315789,124,,5684315791,56,Back,5684315797,141,51.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807006559,17,1,1,2,0,9zqn9ugvg64it0lr5z8cq4g9v,1,2.3,52.1,2025-04-27T12:06:21.133Z,2025-04-27T12:06:24Z,42p4op3tm9umpwxyxde5xjefp,E. Berisha,,,5684316157,212,18.1,5684316155,141,25.5,5684316159,213,4.72,5684316151,56,Back,5684316153,140,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807006651,18,1,1,2,3,9zqn9ugvg64it0lr5z8cq4g9v,1,2.7,22.7,2025-04-27T12:06:24.479Z,2025-04-27T12:06:28Z,17jltcnnaha4707duh52hirit,M. Lode,,,5684316645,140,34.0,5684316649,212,42.1,5684316655,1,,5684316651,213,0.68,5684316647,141,61.4,5684316643,56,Back,5684316641,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807006655,19,61,1,2,7,9zqn9ugvg64it0lr5z8cq4g9v,0,31.4,62.1,2025-04-27T12:06:28.509Z,2025-04-27T12:06:28Z,3durmgxmp7tzxsr234mlhot1,S. Gustafson,,,5684316679,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807006697,31,50,1,2,9,2nnlsjfbcea40t4jeclcbw9lk,1,64.2,21.2,2025-04-27T12:06:30.428Z,2025-04-27T14:15:42Z,8hq0so8nzsuzmsffae5nwdwmi,P. Abraham,,,5684317107,233,20,5684316887,286,,5684316883,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807006725,20,7,1,2,9,9zqn9ugvg64it0lr5z8cq4g9v,1,35.8,78.8,2025-04-27T12:06:30.429Z,2025-04-27T14:15:42Z,3durmgxmp7tzxsr234mlhot1,S. Gustafson,,,5684317061,233,31,5684317007,285,,5684317005,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807006761,21,1,1,2,11,9zqn9ugvg64it0lr5z8cq4g9v,1,33.8,82.1,2025-04-27T12:06:32.142Z,2025-04-27T12:06:33Z,4iguik2n53ywq82altuqoouwa,J. Lindberg,,,5684317207,212,6.8,5684317205,141,91.5,5684317201,56,Back,5684317203,140,31.6,5684317209,213,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807006769,22,1,1,2,12,9zqn9ugvg64it0lr5z8cq4g9v,1,31.6,91.5,2025-04-27T12:06:33.117Z,2025-04-27T12:06:33Z,3ks6pxe94hk9l4q46do2c628l,A. Lundkvist,,,5684317253,56,Back,5684317259,212,9.0,5684317261,213,3.96,5684317257,141,81.8,5684317255,140,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807006793,23,1,1,2,12,9zqn9ugvg64it0lr5z8cq4g9v,0,26.2,81.8,2025-04-27T12:06:33.726Z,2025-04-27T12:37:14Z,8h4jv2n2b8w3hmn4oec3tvevo,A. Faye,,,5684317357,56,Back,5684317369,213,5.93,5684317363,140,31.0,5684317367,212,5.4,5684317365,141,79.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807039289,359,61,1,2,13,2nnlsjfbcea40t4jeclcbw9lk,1,61.4,24.2,2025-04-27T12:06:34.140Z,2025-04-27T12:38:56Z,cyfvxg9z9aqfsoydhz7sr3qxg,M. Karlsson,,,5684493037,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807006907,24,1,1,2,16,9zqn9ugvg64it0lr5z8cq4g9v,1,43.3,75.1,2025-04-27T12:06:37.262Z,2025-04-27T12:06:39Z,bar5tlyxm2vim2ewqauywgb85,M. Rygaard,,,5684317905,141,64.2,5684317907,212,7.4,5684317903,140,43.7,5684317901,56,Back,5684317909,213,4.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807006977,25,1,1,2,18,9zqn9ugvg64it0lr5z8cq4g9v,1,60.4,60.2,2025-04-27T12:06:39.741Z,2025-04-27T12:06:43Z,4iguik2n53ywq82altuqoouwa,J. Lindberg,,,5684318371,213,4.95,5684318369,212,28.5,5684318363,140,66.8,5684318361,56,Right,5684318367,141,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807007109,26,1,1,2,24,9zqn9ugvg64it0lr5z8cq4g9v,1,74.4,25.6,2025-04-27T12:06:45.326Z,2025-04-27T12:06:48Z,dmj5oe18blqnxozkfd8q5myfp,A. Layouni,,,5684319025,56,Right,5684319031,212,17.5,5684319033,213,5.67,5684319029,141,10.7,5684319027,140,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807007151,27,1,1,2,27,9zqn9ugvg64it0lr5z8cq4g9v,1,89.0,14.0,2025-04-27T12:06:47.886Z,2025-04-27T12:06:50Z,8kkbwlif9496fekfraadrws9g,F. Öhman,,,5684319275,56,Right,5684319279,140,72.1,5684319295,213,2.92,5684319287,212,18.2,5684319281,141,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807007245,28,1,1,2,29,9zqn9ugvg64it0lr5z8cq4g9v,1,72.2,20.6,2025-04-27T12:06:50.462Z,2025-04-27T12:06:55Z,8j55jduxd0jfxrxh88kdqgcq2,S. Andersen,,,5684319737,141,53.4,5684319733,56,Center,5684319735,140,61.5,5684319741,213,2.04,5684319739,212,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
