id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2805491719,6,5,1,0,13,ac8jow4mdkvnsv5s0och4qqm,0,31.4,101.4,2025-04-24T17:00:48.985Z,2025-04-24T17:00:52Z,7qgiqoaaarr6c2bs4yffqwju2,V. Lind,,5676087943,347,,5676087941,56,Back,5676087957,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491723,6,5,1,0,13,33hzf6j2rd9r50g2n4agsytkd,1,68.6,-1.4,2025-04-24T17:00:48.985Z,2025-04-24T19:04:29Z,5ijbt4bhic3y1zasavky12311,A. Wängberg,,5676087947,56,Right,5676087949,347,,5676087951,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491761,7,1,1,0,17,33hzf6j2rd9r50g2n4agsytkd,1,68.9,0.0,2025-04-24T17:00:53.522Z,2025-04-24T17:00:59Z,5ijbt4bhic3y1zasavky12311,A. Wängberg,,5676088149,107,,5676088157,212,7.5,5676088153,140,65.3,5676088151,56,Right,5676088159,213,2.10,5676088155,141,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491757,7,83,1,0,18,ac8jow4mdkvnsv5s0och4qqm,0,56.8,86.2,2025-04-24T17:00:54.343Z,2025-04-24T17:12:52Z,aykbbz6l05b9t5n8uaxp6n2fo,L. Arrhov,,5676088209,399,7ctf2925tg7mc3a05unhxsd1w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491763,8,83,1,0,19,ac8jow4mdkvnsv5s0och4qqm,0,56.8,86.2,2025-04-24T17:00:55.337Z,2025-04-24T17:13:12Z,aykbbz6l05b9t5n8uaxp6n2fo,L. Arrhov,,5676088331,399,7ctf2925tg7mc3a05unhxsd1w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491767,9,83,1,0,20,ac8jow4mdkvnsv5s0och4qqm,0,56.8,86.2,2025-04-24T17:00:56.752Z,2025-04-24T17:13:26Z,aykbbz6l05b9t5n8uaxp6n2fo,L. Arrhov,,5676088329,399,7ctf2925tg7mc3a05unhxsd1w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491771,8,1,1,0,22,33hzf6j2rd9r50g2n4agsytkd,1,54.1,9.1,2025-04-24T17:00:58.835Z,2025-04-24T17:01:01Z,7ctf2925tg7mc3a05unhxsd1w,H. Ibrahim,,5676088203,212,21.4,5676088201,141,14.7,5676088199,140,34.0,5676088205,213,2.96,5676088197,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491781,9,1,1,0,26,33hzf6j2rd9r50g2n4agsytkd,1,32.8,16.5,2025-04-24T17:01:02.035Z,2025-04-24T17:01:05Z,4nx0njulsjs2hegiee011dxpl,R. Frej,,5676088267,212,20.8,5676088263,140,19.1,5676088261,56,Back,5676088265,141,38.6,5676088269,213,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491791,10,1,1,0,29,33hzf6j2rd9r50g2n4agsytkd,1,19.0,39.7,2025-04-24T17:01:05.187Z,2025-04-24T17:01:06Z,kod0xzh15xxa52700ufz7kyd,M. Krasniqi,,5676088301,56,Back,5676088303,140,26.5,5676088309,212,14.7,5676088313,213,5.28,5676088305,141,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491815,11,1,1,0,35,33hzf6j2rd9r50g2n4agsytkd,1,29.5,25.3,2025-04-24T17:01:11.058Z,2025-04-24T17:01:14Z,4nx0njulsjs2hegiee011dxpl,R. Frej,,5676088443,212,19.3,5676088439,140,28.9,5676088441,141,53.7,5676088437,56,Back,5676088445,213,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491829,12,1,1,0,38,33hzf6j2rd9r50g2n4agsytkd,1,25.0,53.0,2025-04-24T17:01:14.578Z,2025-04-24T17:01:19Z,b3jbj4ayr4x1x0ynt9dcu5u6s,F. Beckman,,5676088505,141,33.4,5676088507,212,14.0,5676088509,213,5.02,5676088501,56,Back,5676088503,140,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491835,13,1,1,0,43,33hzf6j2rd9r50g2n4agsytkd,1,40.7,31.5,2025-04-24T17:01:19.442Z,2025-04-24T17:01:21Z,4nx0njulsjs2hegiee011dxpl,R. Frej,,5676088537,212,17.7,5676088535,141,8.8,5676088531,56,Back,5676088533,140,48.9,5676088539,213,5.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491843,14,1,1,0,45,33hzf6j2rd9r50g2n4agsytkd,0,51.9,10.6,2025-04-24T17:01:21.346Z,2025-04-24T17:01:22Z,6ivuk1j53ybmv5hhzp55ybzzd,G. Lundgren,,5676088571,213,0.49,5676088569,212,19.0,5676088565,140,67.9,5676088567,141,23.7,5676088563,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491867,10,12,1,0,47,ac8jow4mdkvnsv5s0och4qqm,1,19.5,79.3,2025-04-24T17:01:22.904Z,2025-04-24T17:14:51Z,17zz0x6tm20e9yfh4q5ehaf9x,S. Martinsson Ngouali,,5676088657,140,26.2,5676088659,141,78.1,5676088655,56,Back,5676088663,213,6.17,5676088661,212,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491865,15,1,1,0,48,33hzf6j2rd9r50g2n4agsytkd,0,62.2,28.2,2025-04-24T17:01:24.562Z,2025-04-24T17:01:25Z,6ivuk1j53ybmv5hhzp55ybzzd,G. Lundgren,,5676088643,212,13.8,5676088641,141,37.7,5676088639,140,73.8,5676088645,213,0.49,5676088637,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491877,11,1,1,0,51,ac8jow4mdkvnsv5s0och4qqm,0,27.1,50.3,2025-04-24T17:01:27.240Z,2025-04-24T17:01:27Z,253za05jf3mmaqkjndm10d2lm,H. Karlsson,,5676088701,157,,5676088715,212,23.5,5676088709,140,44.8,5676088719,213,0.66,5676088705,56,Back,5676088711,141,71.5,5676088721,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491891,16,1,1,0,52,33hzf6j2rd9r50g2n4agsytkd,1,54.4,33.4,2025-04-24T17:01:28.099Z,2025-04-24T17:01:30Z,7ctf2925tg7mc3a05unhxsd1w,H. Ibrahim,,5676088805,141,29.5,5676088807,212,17.6,5676088809,213,3.29,5676088803,140,37.8,5676088801,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491901,17,1,1,0,54,33hzf6j2rd9r50g2n4agsytkd,1,36.6,27.4,2025-04-24T17:01:30.147Z,2025-04-24T17:01:32Z,4nx0njulsjs2hegiee011dxpl,R. Frej,,5676088877,140,38.0,5676088883,213,4.80,5676088881,212,16.1,5676088875,56,Back,5676088879,141,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491915,18,1,1,0,56,33hzf6j2rd9r50g2n4agsytkd,1,33.2,8.5,2025-04-24T17:01:32.658Z,2025-04-24T17:01:35Z,5ijbt4bhic3y1zasavky12311,A. Wängberg,,5676088945,213,2.50,5676088937,56,Back,5676088939,140,22.6,5676088941,141,20.6,5676088943,212,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491953,19,1,1,0,59,33hzf6j2rd9r50g2n4agsytkd,1,20.6,26.8,2025-04-24T17:01:35.330Z,2025-04-24T17:01:44Z,4nx0njulsjs2hegiee011dxpl,R. Frej,,5676089165,56,Back,5676089169,141,38.3,5676089173,213,2.48,5676089171,212,12.8,5676089167,140,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491965,20,1,1,1,8,33hzf6j2rd9r50g2n4agsytkd,1,24.2,30.3,2025-04-24T17:01:44.515Z,2025-04-24T17:01:48Z,kod0xzh15xxa52700ufz7kyd,M. Krasniqi,,5676089255,1,,5676089247,140,65.7,5676089245,56,Center,5676089243,157,,5676089253,213,6.17,5676089251,212,43.9,5676089249,141,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491969,21,44,1,1,12,33hzf6j2rd9r50g2n4agsytkd,1,73.0,13.0,2025-04-24T17:01:48.119Z,2025-04-24T19:04:05Z,bqid9rom7z7zb9kf10ft9ao7o,A. Henriksson,,5676089283,233,12,5676089271,56,Right,5676089273,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491963,12,44,1,1,12,ac8jow4mdkvnsv5s0och4qqm,0,27.0,87.0,2025-04-24T17:01:48.120Z,2025-04-24T19:04:05Z,2lyhi7j3id7emsh54ehdva3ca,O. Zandén,,5676089235,56,Back,5676089293,233,21,5676089237,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491977,22,1,1,1,12,33hzf6j2rd9r50g2n4agsytkd,0,65.7,22.8,2025-04-24T17:01:48.507Z,2025-04-24T17:01:50Z,bqid9rom7z7zb9kf10ft9ao7o,A. Henriksson,,5676089335,213,6.27,5676089325,168,,5676089327,56,Center,5676089329,140,72.6,5676089331,141,22.7,5676089333,212,7.2,5676089323,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491975,13,12,1,1,13,ac8jow4mdkvnsv5s0och4qqm,1,10.9,84.4,2025-04-24T17:01:49.191Z,2025-04-24T17:01:50Z,8unnvgvft6knxupbp9oxh621h,E. Hovland,,5676089343,167,,5676089319,212,24.6,5676089315,140,31.6,5676089337,15,,5676089321,213,0.49,5676089313,56,Back,5676089317,141,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491979,14,5,1,1,14,ac8jow4mdkvnsv5s0och4qqm,0,32.8,101.6,2025-04-24T17:01:49.992Z,2025-04-24T17:01:54Z,8unnvgvft6knxupbp9oxh621h,E. Hovland,,5676089341,347,,5676089339,56,Back,5676089395,233,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491985,23,5,1,1,14,33hzf6j2rd9r50g2n4agsytkd,1,67.2,-1.6,2025-04-24T17:01:49.992Z,2025-04-24T19:04:30Z,bqid9rom7z7zb9kf10ft9ao7o,A. Henriksson,,5676089381,233,14,5676089361,56,Right,5676089363,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492019,24,1,1,1,18,33hzf6j2rd9r50g2n4agsytkd,1,65.1,0.0,2025-04-24T17:01:54.530Z,2025-04-24T17:16:04Z,6ivuk1j53ybmv5hhzp55ybzzd,G. Lundgren,,5676089529,56,Right,5676089533,141,9.8,5676089531,140,59.1,5676118383,189,,5676089535,212,10.0,5676089537,213,2.25,5676089527,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492029,25,1,1,1,21,33hzf6j2rd9r50g2n4agsytkd,1,57.6,16.2,2025-04-24T17:01:57.091Z,2025-04-24T17:02:00Z,7ctf2925tg7mc3a05unhxsd1w,H. Ibrahim,,5676089601,141,5.6,5676089597,56,Right,5676089603,212,8.1,5676089605,213,4.23,5676089599,140,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492037,26,1,1,1,24,33hzf6j2rd9r50g2n4agsytkd,0,54.0,5.6,2025-04-24T17:02:00.530Z,2025-04-24T17:16:19Z,6ivuk1j53ybmv5hhzp55ybzzd,G. Lundgren,,5676089655,213,0.21,5676089647,56,Right,5676089691,286,,5676089685,236,,5676089651,141,6.2,5676089653,212,1.9,5676089649,140,55.8,5676089687,233,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492035,15,74,1,1,24,ac8jow4mdkvnsv5s0och4qqm,1,40.2,93.9,2025-04-24T17:02:00.531Z,2025-04-24T17:02:03Z,7qgiqoaaarr6c2bs4yffqwju2,V. Lind,,5676089669,233,26,5676089645,285,,5676089643,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492047,27,1,1,1,27,33hzf6j2rd9r50g2n4agsytkd,1,54.9,6.4,2025-04-24T17:02:03.011Z,2025-04-24T17:16:30Z,6ivuk1j53ybmv5hhzp55ybzzd,G. Lundgren,,5676089719,56,Back,5676089729,212,19.3,5676089733,213,2.79,5676089727,141,16.1,5676089723,140,37.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492063,28,1,1,1,28,33hzf6j2rd9r50g2n4agsytkd,1,36.9,18.6,2025-04-24T17:02:04.723Z,2025-04-24T17:02:07Z,4nx0njulsjs2hegiee011dxpl,R. Frej,,5676089835,140,28.8,5676089837,141,43.1,5676089841,213,2.04,5676089839,212,18.7,5676089833,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492091,29,1,1,1,31,33hzf6j2rd9r50g2n4agsytkd,1,28.1,48.8,2025-04-24T17:02:07.154Z,2025-04-24T17:02:10Z,b3jbj4ayr4x1x0ynt9dcu5u6s,F. Beckman,,5676089979,213,1.62,5676089975,141,73.2,5676089977,212,16.6,5676089971,56,Back,5676089973,140,27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492127,30,1,1,1,34,33hzf6j2rd9r50g2n4agsytkd,1,29.7,58.2,2025-04-24T17:02:10.787Z,2025-04-24T17:02:13Z,f10q2mnvhe30a9au85fjnnt3o,R. Wendin Thomasson,,5676090095,212,12.4,5676090091,140,23.7,5676090097,213,4.18,5676090093,141,42.5,5676090089,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492167,31,1,1,1,36,33hzf6j2rd9r50g2n4agsytkd,1,17.5,47.2,2025-04-24T17:02:12.834Z,2025-04-24T17:17:42Z,4nx0njulsjs2hegiee011dxpl,R. Frej,,5676090319,140,27.3,5676090321,141,12.5,5676090323,212,25.7,5676090325,213,5.12,5676090317,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805498135,146,83,1,1,40,ac8jow4mdkvnsv5s0och4qqm,1,67.8,95.1,2025-04-24T17:02:16.812Z,2025-04-24T17:19:15Z,7qgiqoaaarr6c2bs4yffqwju2,V. Lind,,5676124359,399,6ivuk1j53ybmv5hhzp55ybzzd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492175,32,3,1,1,43,33hzf6j2rd9r50g2n4agsytkd,0,36.7,11.1,2025-04-24T17:02:19.300Z,2025-04-24T17:18:20Z,6ivuk1j53ybmv5hhzp55ybzzd,G. Lundgren,,5676090359,211,,5676090355,56,Back,5676090357,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492193,16,1,1,1,45,ac8jow4mdkvnsv5s0och4qqm,0,53.2,96.2,2025-04-24T17:02:21.673Z,2025-04-24T17:02:22Z,2lyhi7j3id7emsh54ehdva3ca,O. Zandén,,5676090435,56,Left,5676090445,1,,5676090437,140,100.0,5676090439,141,93.9,5676090443,213,6.25,5676090441,212,49.9,5676090433,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492249,17,5,1,1,46,ac8jow4mdkvnsv5s0och4qqm,0,100.8,91.3,2025-04-24T17:02:22.765Z,2025-04-24T19:04:30Z,2lyhi7j3id7emsh54ehdva3ca,O. Zandén,,5676090747,346,,5676090759,233,33,5676090745,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492201,33,5,1,1,46,33hzf6j2rd9r50g2n4agsytkd,1,-0.8,8.7,2025-04-24T17:02:22.765Z,2025-04-24T19:04:30Z,4nx0njulsjs2hegiee011dxpl,R. Frej,,5676090477,346,,5676090475,56,Back,5676090749,233,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492265,34,1,1,1,55,33hzf6j2rd9r50g2n4agsytkd,1,4.6,40.1,2025-04-24T17:02:31.203Z,2025-04-24T17:02:37Z,kod0xzh15xxa52700ufz7kyd,M. Krasniqi,,5676090859,237,,5676090849,140,13.6,5676090853,212,13.7,5676090851,141,25.5,5676090847,56,Back,5676090855,213,5.47,5676090845,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492335,35,1,1,2,1,33hzf6j2rd9r50g2n4agsytkd,1,15.1,27.6,2025-04-24T17:02:37.267Z,2025-04-24T17:02:47Z,4nx0njulsjs2hegiee011dxpl,R. Frej,,5676091207,213,2.34,5676091203,141,44.6,5676091201,140,4.5,5676091199,56,Back,5676091205,212,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492357,36,1,1,2,11,33hzf6j2rd9r50g2n4agsytkd,0,23.2,38.6,2025-04-24T17:02:47.300Z,2025-04-24T17:02:51Z,kod0xzh15xxa52700ufz7kyd,M. Krasniqi,,5676091327,213,6.13,5676091317,56,Center,5676091315,157,,5676091325,212,45.0,5676091321,141,28.8,5676091319,140,65.6,5676091329,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492369,18,1,1,2,16,ac8jow4mdkvnsv5s0och4qqm,1,22.9,66.6,2025-04-24T17:02:51.880Z,2025-04-24T17:02:53Z,8unnvgvft6knxupbp9oxh621h,E. Hovland,,5676091369,56,Back,5676091371,140,31.5,5676091373,141,59.4,5676091367,3,,5676091375,212,10.3,5676091377,213,5.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492415,20,1,1,2,20,ac8jow4mdkvnsv5s0och4qqm,1,28.1,63.3,2025-04-24T17:02:56.456Z,2025-04-24T17:03:01Z,aw75jdzi3u012jkwj7t0eln2s,W. Odefalk,,5676091663,212,38.6,5676091661,141,97.7,5676091659,140,57.4,5676091667,1,,5676091655,155,,5676091665,213,0.65,5676091657,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805492419,21,1,1,2,25,ac8jow4mdkvnsv5s0och4qqm,0,57.4,97.8,2025-04-24T17:03:01.288Z,2025-04-24T17:03:02Z,7qgiqoaaarr6c2bs4yffqwju2,V. Lind,,5676091691,212,14.5,5676091693,213,5.95,5676091685,56,Left,5676091689,141,90.9,5676091687,140,70.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
