id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/10/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2800751313,8,1,1,0,25,33hzf6j2rd9r50g2n4agsytkd,1,23.8,74.2,2025-04-13T14:31:25.527Z,2025-04-13T14:31:27Z,7wesnkwthjcluc9b83s8ab1g4,O. Ågren,,,5649830741,56,Back,5649830751,212,14.7,5649830753,213,1.18,5649830747,141,94.2,5649830745,140,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800751345,9,1,1,0,26,33hzf6j2rd9r50g2n4agsytkd,1,28.5,92.9,2025-04-13T14:31:26.599Z,2025-04-13T14:31:30Z,f1qvh9qszr743tj8zb3kcvaei,M. de Brienne,,,5649830955,140,20.8,5649830957,141,80.0,5649830961,213,3.97,5649830959,212,11.9,5649830953,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800751479,10,1,1,0,29,33hzf6j2rd9r50g2n4agsytkd,1,23.2,68.1,2025-04-13T14:31:29.382Z,2025-04-13T14:31:35Z,7wesnkwthjcluc9b83s8ab1g4,O. Ågren,,,5649831667,140,25.0,5649831669,141,46.6,5649831665,56,Back,5649831673,213,4.84,5649831671,212,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800751515,11,1,1,0,34,33hzf6j2rd9r50g2n4agsytkd,1,27.7,27.3,2025-04-13T14:31:34.823Z,2025-04-13T14:31:37Z,4nx0njulsjs2hegiee011dxpl,R. Frej,,,5649831875,141,14.6,5649831879,213,5.83,5649831871,56,Back,5649831877,212,19.6,5649831873,140,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800751559,12,1,1,0,36,33hzf6j2rd9r50g2n4agsytkd,1,48.4,14.1,2025-04-13T14:31:36.679Z,2025-04-13T14:31:39Z,5ijbt4bhic3y1zasavky12311,A. Wängberg,,,5649832133,56,Back,5649832139,212,12.5,5649832141,213,2.64,5649832137,141,23.0,5649832135,140,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800751609,13,1,1,0,39,33hzf6j2rd9r50g2n4agsytkd,1,33.6,23.9,2025-04-13T14:31:38.999Z,2025-04-13T14:31:42Z,4nx0njulsjs2hegiee011dxpl,R. Frej,,,5649832455,140,26.7,5649832457,141,43.9,5649832459,212,15.4,5649832461,213,2.06,5649832453,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800751653,14,1,1,0,41,33hzf6j2rd9r50g2n4agsytkd,1,24.4,44.5,2025-04-13T14:31:41.847Z,2025-04-13T14:31:45Z,7wesnkwthjcluc9b83s8ab1g4,O. Ågren,,,5649832743,56,Back,5649832749,212,8.7,5649832751,213,0.51,5649832747,141,50.7,5649832745,140,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800751765,15,1,1,0,44,33hzf6j2rd9r50g2n4agsytkd,1,37.4,53.6,2025-04-13T14:31:44.823Z,2025-04-13T14:31:50Z,7ctf2925tg7mc3a05unhxsd1w,H. Ibrahim,,,5649833345,140,37.8,5649833339,56,Back,5649833349,141,84.8,5649833353,213,1.55,5649833351,212,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800751837,16,1,1,0,50,33hzf6j2rd9r50g2n4agsytkd,1,38.1,91.1,2025-04-13T14:31:50.216Z,2025-04-13T14:31:54Z,f1qvh9qszr743tj8zb3kcvaei,M. de Brienne,,,5649833735,212,11.9,5649833729,56,Back,5649833731,140,32.2,5649833737,213,4.17,5649833733,141,76.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800751903,17,1,1,0,54,33hzf6j2rd9r50g2n4agsytkd,1,33.0,68.7,2025-04-13T14:31:54.023Z,2025-04-13T14:31:57Z,7wesnkwthjcluc9b83s8ab1g4,O. Ågren,,,5649834025,56,Back,5649834029,141,45.8,5649834027,140,31.2,5649834033,213,4.59,5649834031,212,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800751977,18,1,1,0,57,33hzf6j2rd9r50g2n4agsytkd,1,32.5,38.2,2025-04-13T14:31:56.999Z,2025-04-13T14:32:02Z,4nx0njulsjs2hegiee011dxpl,R. Frej,,,5649834487,56,Right,5649834497,213,5.60,5649834489,140,51.6,5649834491,141,14.3,5649834493,212,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800752041,19,1,1,1,2,33hzf6j2rd9r50g2n4agsytkd,0,39.6,26.1,2025-04-13T14:32:02.186Z,2025-04-13T14:32:22Z,6ivuk1j53ybmv5hhzp55ybzzd,G. Lundgren,,,5649834867,141,94.5,5649834877,1,,5649834865,140,65.6,5649834859,155,,5649834863,56,Left,5649834861,196,,5649834873,213,1.04,5649834869,212,53.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800752053,20,43,1,1,5,33hzf6j2rd9r50g2n4agsytkd,1,0.0,0.0,2025-04-13T14:32:05.639Z,2025-04-13T14:32:14Z,f1qvh9qszr743tj8zb3kcvaei,M. de Brienne,,,5649834911,56,Left,5649834913,286,0,5649835713,144,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800752079,6,4,1,1,5,46yo78zak2j7kaxc5ak1fnm60,1,35.7,10.4,2025-04-13T14:32:05.640Z,2025-04-13T14:32:17Z,3ihcnb7xmqlsefg10xbdraqqd,Carl-Robert Sebastian Ohlsson,,,5649835921,265,,5649835923,286,,5649835917,13,,5649835949,233,21,5649835919,152,,5649835061,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800752123,21,4,1,1,5,33hzf6j2rd9r50g2n4agsytkd,0,64.3,89.6,2025-04-13T14:32:05.641Z,2025-04-13T14:40:54Z,f1qvh9qszr743tj8zb3kcvaei,M. de Brienne,,,5649835447,152,,5649835455,285,,5649835437,13,,5649835441,56,Left,5649835975,233,6,5649835451,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800752601,7,1,1,1,34,46yo78zak2j7kaxc5ak1fnm60,1,29.5,11.1,2025-04-13T14:32:34.849Z,2025-04-13T14:41:14Z,3n6cx9whi75ybd9h6pv7i3mga,L. Hien,,,5649838087,5,,5649838095,141,34.6,5649838097,212,17.7,5649903309,189,,5649838099,213,2.02,5649838091,56,Back,5649838093,140,22.2,5649838089,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800752615,8,1,1,1,35,46yo78zak2j7kaxc5ak1fnm60,1,22.2,34.6,2025-04-13T14:32:35.488Z,2025-04-13T14:41:47Z,96v3rv4y74yt6ukwh2churhbe,Bernardo Morgado,,,5649838183,1,,5649838181,213,1.33,5649838177,141,80.8,5649838175,140,29.5,5649838173,56,Back,5649838179,212,32.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800752665,10,1,1,1,36,46yo78zak2j7kaxc5ak1fnm60,1,21.4,71.1,2025-04-13T14:32:36.611Z,2025-04-13T14:41:49Z,a4f6z4alegkvrhm4k864w9lg5,Sebastian Jonas Ohlsson,,,5649906395,140,26.2,5649906401,213,1.26,5649906397,141,94.0,5649906399,212,16.4,5649906393,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800752645,9,1,1,1,37,46yo78zak2j7kaxc5ak1fnm60,0,29.5,80.8,2025-04-13T14:32:37.504Z,2025-04-13T14:41:51Z,ec6qqle54cq9gck2jhnbpjzs9,E. Lindell,,,5649838359,1,,5649838349,56,Left,5649838351,140,62.0,5649838353,141,79.3,5649838347,155,,5649838355,212,34.1,5649838357,213,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800752677,11,61,1,1,38,46yo78zak2j7kaxc5ak1fnm60,0,61.1,77.7,2025-04-13T14:32:38.776Z,2025-04-13T14:43:05Z,43qtylo4kl50nmdiiu5hufqj8,T. Grönborg,,,5649912073,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800767131,130,1,1,1,39,33hzf6j2rd9r50g2n4agsytkd,1,36.0,18.4,2025-04-13T14:32:39.869Z,2025-04-13T14:43:43Z,5ijbt4bhic3y1zasavky12311,A. Wängberg,,,5649920653,3,,5649920659,141,28.9,5649920663,212,8.7,5649920657,140,31.2,5649920655,56,Back,5649920667,213,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800752751,22,1,1,1,41,33hzf6j2rd9r50g2n4agsytkd,1,36.1,29.7,2025-04-13T14:32:41.759Z,2025-04-13T14:44:16Z,7ctf2925tg7mc3a05unhxsd1w,H. Ibrahim,,,5649838879,212,12.0,5649838873,56,Back,5649838875,140,25.6,5649838881,213,2.74,5649838877,141,36.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800752783,23,1,1,1,43,33hzf6j2rd9r50g2n4agsytkd,1,24.6,35.4,2025-04-13T14:32:43.399Z,2025-04-13T14:32:46Z,7wesnkwthjcluc9b83s8ab1g4,O. Ågren,,,5649839107,56,Back,5649839113,212,10.8,5649839111,141,19.5,5649839115,213,4.71,5649839109,140,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800752869,24,1,1,1,46,33hzf6j2rd9r50g2n4agsytkd,1,25.2,21.0,2025-04-13T14:32:46.023Z,2025-04-13T14:32:51Z,4nx0njulsjs2hegiee011dxpl,R. Frej,,,5649839585,140,21.9,5649839587,141,41.9,5649839591,213,1.81,5649839589,212,14.6,5649839583,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800752963,25,1,1,1,51,33hzf6j2rd9r50g2n4agsytkd,1,32.2,60.3,2025-04-13T14:32:51.223Z,2025-04-13T14:32:56Z,7wesnkwthjcluc9b83s8ab1g4,O. Ågren,,,5649840037,141,86.2,5649840035,140,34.7,5649840033,56,Back,5649840041,213,1.42,5649840039,212,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800753059,26,1,1,1,56,33hzf6j2rd9r50g2n4agsytkd,1,36.2,72.6,2025-04-13T14:32:55.959Z,2025-04-13T14:33:03Z,f1qvh9qszr743tj8zb3kcvaei,M. de Brienne,,,5649840557,56,Back,5649840565,213,4.35,5649840559,140,29.5,5649840561,141,45.1,5649840563,212,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800753089,27,1,1,2,2,33hzf6j2rd9r50g2n4agsytkd,1,30.1,30.3,2025-04-13T14:33:02.456Z,2025-04-13T14:33:05Z,4nx0njulsjs2hegiee011dxpl,R. Frej,,,5649840729,56,Back,5649840761,213,5.50,5649840741,141,20.1,5649840733,140,36.7,5649840751,212,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800753157,28,1,1,2,4,33hzf6j2rd9r50g2n4agsytkd,0,37.4,19.4,2025-04-13T14:33:04.504Z,2025-04-13T14:33:07Z,7ctf2925tg7mc3a05unhxsd1w,H. Ibrahim,,,5649841075,213,5.56,5649841067,56,Right,5649841071,141,0.0,5649841073,212,21.4,5649841069,140,52.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800753169,13,5,1,2,7,46yo78zak2j7kaxc5ak1fnm60,1,46.4,101.6,2025-04-13T14:33:07.169Z,2025-04-13T15:33:43Z,c2pfggtw5hreyomdwogbhjpqs,E. Barsoum,,,5649841127,56,Back,5649841129,347,,5649841209,233,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800753161,29,5,1,2,7,33hzf6j2rd9r50g2n4agsytkd,0,53.6,-1.6,2025-04-13T14:33:07.169Z,2025-04-13T14:33:10Z,7ctf2925tg7mc3a05unhxsd1w,H. Ibrahim,,,5649841089,347,,5649841273,233,13,5649841087,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800753427,14,1,1,2,16,46yo78zak2j7kaxc5ak1fnm60,1,42.5,100.0,2025-04-13T14:33:16.184Z,2025-04-13T14:33:20Z,a4f6z4alegkvrhm4k864w9lg5,Sebastian Jonas Ohlsson,,,5649842615,56,Back,5649842625,1,,5649842617,140,26.7,5649842619,141,81.5,5649842623,213,3.84,5649842621,212,21.7,5649842613,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800753517,15,1,1,2,20,46yo78zak2j7kaxc5ak1fnm60,1,24.5,66.1,2025-04-13T14:33:20.024Z,2025-04-13T14:33:23Z,96v3rv4y74yt6ukwh2churhbe,Bernardo Morgado,,,5649843127,212,16.1,5649843121,56,Back,5649843123,140,15.7,5649843129,213,4.10,5649843125,141,46.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800753575,16,1,1,2,23,46yo78zak2j7kaxc5ak1fnm60,0,16.9,54.8,2025-04-13T14:33:23.248Z,2025-04-13T14:33:26Z,6pdqmo7vuzy9lt7v6vvmqybu2,R. Forsell,,,5649843409,140,81.2,5649843417,1,,5649843415,213,0.07,5649843413,212,67.7,5649843411,141,62.1,5649843405,157,,5649843407,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800753749,31,1,1,2,29,33hzf6j2rd9r50g2n4agsytkd,1,24.5,39.1,2025-04-13T14:33:29Z,2025-04-13T14:33:35Z,kod0xzh15xxa52700ufz7kyd,M. Krasniqi,,,5649844477,56,Back,5649844487,213,1.33,5649844481,140,29.5,5649844483,141,70.2,5649844485,212,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800753877,32,1,1,2,35,33hzf6j2rd9r50g2n4agsytkd,1,54.2,76.4,2025-04-13T14:33:35.320Z,2025-04-13T14:33:41Z,7wesnkwthjcluc9b83s8ab1g4,O. Ågren,,,5649845159,213,0.91,5649845155,141,91.8,5649845153,140,61.9,5649845157,212,13.2,5649845151,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800753939,33,1,1,2,41,33hzf6j2rd9r50g2n4agsytkd,1,61.4,84.7,2025-04-13T14:33:40.952Z,2025-04-13T14:33:46Z,f1qvh9qszr743tj8zb3kcvaei,M. de Brienne,,,5649845511,56,Back,5649845513,140,44.5,5649845519,213,3.06,5649845517,212,17.8,5649845515,141,86.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800754021,34,1,1,2,45,33hzf6j2rd9r50g2n4agsytkd,1,46.8,77.8,2025-04-13T14:33:45.463Z,2025-04-13T14:33:49Z,7wesnkwthjcluc9b83s8ab1g4,O. Ågren,,,5649845953,213,4.59,5649845951,212,23.8,5649845949,141,43.1,5649845947,140,44.0,5649845945,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800754119,35,1,1,2,48,33hzf6j2rd9r50g2n4agsytkd,1,46.5,39.8,2025-04-13T14:33:48.552Z,2025-04-13T14:33:53Z,4nx0njulsjs2hegiee011dxpl,R. Frej,,,5649846475,213,5.53,5649846467,56,Right,5649846473,212,27.9,5649846471,141,11.6,5649846469,140,65.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800754089,17,43,1,2,51,46yo78zak2j7kaxc5ak1fnm60,1,0.0,0.0,2025-04-13T14:33:51.584Z,2025-04-13T14:33:55Z,ec6qqle54cq9gck2jhnbpjzs9,E. Lindell,,,5649846729,144,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800754127,36,4,1,2,52,33hzf6j2rd9r50g2n4agsytkd,1,66.4,14.4,2025-04-13T14:33:52.855Z,2025-04-13T14:33:58Z,6ivuk1j53ybmv5hhzp55ybzzd,G. Lundgren,,,5649846535,152,,5649846539,286,,5649846609,233,18,5649846537,265,,5649846533,56,Right,5649846531,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800754107,18,4,1,2,52,46yo78zak2j7kaxc5ak1fnm60,0,33.6,85.6,2025-04-13T14:33:52.856Z,2025-04-13T14:33:59Z,ec6qqle54cq9gck2jhnbpjzs9,E. Lindell,,,5649846429,13,,5649846433,152,,5649846431,56,Back,5649846641,233,36,5649846435,265,,5649846437,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800755389,37,1,1,3,43,33hzf6j2rd9r50g2n4agsytkd,0,62.3,14.1,2025-04-13T14:34:43.160Z,2025-04-13T14:34:45Z,6ivuk1j53ybmv5hhzp55ybzzd,G. Lundgren,,,5649853547,140,81.7,5649853555,1,,5649853545,56,Center,5649853537,2,,5649853543,152,,5649853539,5,,5649853541,155,,5649853551,212,32.3,5649853553,213,0.89,5649853549,141,51.0,,,,,,,,,,,,,,,,,,,,,
2800755461,19,12,1,3,47,46yo78zak2j7kaxc5ak1fnm60,1,18.0,50.7,2025-04-13T14:34:46.919Z,2025-04-13T14:35:05Z,5dxrx40pty4wtwdrd341p0aju,O. Faraj,,,5649853913,141,65.7,5649853911,140,29.7,5649853969,15,,5649853917,213,0.69,5649853909,56,Back,5649853915,212,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800755587,38,1,1,3,47,33hzf6j2rd9r50g2n4agsytkd,1,66.7,33.3,2025-04-13T14:34:47.624Z,2025-04-13T14:34:52Z,7ctf2925tg7mc3a05unhxsd1w,H. Ibrahim,,,5649854599,212,14.5,5649854593,56,Center,5649854591,3,,5649854595,140,79.1,5649854603,213,5.83,5649854597,141,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800755601,39,44,1,3,51,33hzf6j2rd9r50g2n4agsytkd,1,76.2,21.4,2025-04-13T14:34:51.143Z,2025-04-13T16:31:07Z,bqid9rom7z7zb9kf10ft9ao7o,A. Henriksson,,,5649854727,233,20,5649854681,56,Center,5649854683,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800755567,20,44,1,3,51,46yo78zak2j7kaxc5ak1fnm60,0,23.8,78.6,2025-04-13T14:34:51.144Z,2025-04-13T16:31:07Z,ec6qqle54cq9gck2jhnbpjzs9,E. Lindell,,,5649854463,285,,5649854461,56,Back,5649854763,233,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800755681,40,1,1,3,52,33hzf6j2rd9r50g2n4agsytkd,0,78.0,23.4,2025-04-13T14:34:51.960Z,2025-04-13T14:34:55Z,bqid9rom7z7zb9kf10ft9ao7o,A. Henriksson,,,5649855083,140,93.0,5649855089,212,16.9,5649855091,213,5.91,5649855075,3,,5649855085,141,14.3,5649855079,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
