id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2815027729,6,1,1,0,10,1939bnru25svvgv15k2c7tw2y,0,61.6,31.9,2025-05-15T17:00:44.463Z,2025-05-15T17:00:49Z,60fbyywnjiz6l8n7gmi2mjld5,S. Olsson,,,5728746185,1,,5728746177,140,73.9,5728746183,213,1.26,5728746173,157,,5728746181,212,41.9,5728746179,141,90.5,5728746175,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027731,4,44,1,0,14,ac8jow4mdkvnsv5s0och4qqm,1,26.2,14.5,2025-05-15T17:00:48.171Z,2025-05-15T17:52:07Z,aqjwz3wm0it916o2vb5tz9vxl,A. Timossi Andersson,,,5728746239,233,7,5728746191,285,,5728746189,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027735,7,44,1,0,14,1939bnru25svvgv15k2c7tw2y,0,73.8,85.5,2025-05-15T17:00:48.172Z,2025-05-15T17:52:08Z,6tqclthbz4m9kqiukixum1mhg,G. Rapp,,,5728746207,286,,5728746243,233,4,5728746205,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027737,5,1,1,0,15,ac8jow4mdkvnsv5s0och4qqm,1,20.0,21.0,2025-05-15T17:00:48.762Z,2025-05-15T17:00:49Z,aqjwz3wm0it916o2vb5tz9vxl,A. Timossi Andersson,,,5728746221,212,7.5,5728746213,3,,5728746217,140,26.8,5728746223,213,0.31,5728746219,141,24.4,5728746215,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027771,7,1,1,0,17,ac8jow4mdkvnsv5s0och4qqm,1,29.3,23.3,2025-05-15T17:00:51.386Z,2025-05-15T17:00:56Z,ci5y030e6r9umgyjbupwske7d,Daleho Irandust,,,5728746421,213,6.06,5728746413,56,Right,5728746419,212,26.5,5728746415,140,53.9,5728746417,141,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027799,8,1,1,0,22,ac8jow4mdkvnsv5s0och4qqm,1,42.2,8.2,2025-05-15T17:00:56.418Z,2025-05-15T17:00:59Z,9niqy9wbsy6b03fa5iyx22gic,E. Alladoh,,,5728746561,141,25.6,5728746559,140,27.9,5728746565,213,2.47,5728746557,56,Back,5728746563,212,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027847,9,1,1,0,26,ac8jow4mdkvnsv5s0och4qqm,1,27.7,29.5,2025-05-15T17:00:59.842Z,2025-05-15T17:01:06Z,253za05jf3mmaqkjndm10d2lm,H. Karlsson,,,5728746783,212,18.7,5728746785,213,1.64,5728746781,141,57.0,5728746775,56,Back,5728746779,140,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027871,10,1,1,0,32,ac8jow4mdkvnsv5s0och4qqm,1,38.2,54.2,2025-05-15T17:01:06.235Z,2025-05-15T17:01:11Z,8unnvgvft6knxupbp9oxh621h,E. Hovland,,,5728746911,155,,5728746923,1,,5728746917,141,8.2,5728746915,140,53.9,5728746919,212,35.4,5728746913,56,Right,5728746921,213,5.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027889,11,1,1,0,37,ac8jow4mdkvnsv5s0och4qqm,1,45.3,7.0,2025-05-15T17:01:11.362Z,2025-05-15T17:01:14Z,ci5y030e6r9umgyjbupwske7d,Daleho Irandust,,,5728746991,213,1.78,5728746985,140,42.9,5728746989,212,12.1,5728746983,56,Back,5728746987,141,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027917,12,1,1,0,40,ac8jow4mdkvnsv5s0och4qqm,1,30.8,30.1,2025-05-15T17:01:14.347Z,2025-05-15T17:01:20Z,aw75jdzi3u012jkwj7t0eln2s,W. Odefalk,,,5728747127,141,67.8,5728747123,56,Back,5728747131,213,1.96,5728747129,212,27.7,5728747125,140,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027925,13,1,1,0,46,ac8jow4mdkvnsv5s0och4qqm,0,33.8,71.8,2025-05-15T17:01:19.874Z,2025-05-15T17:01:21Z,8unnvgvft6knxupbp9oxh621h,E. Hovland,,,5728747181,56,Back,5728747187,212,20.9,5728747183,140,37.4,5728747189,213,1.39,5728747185,141,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027937,9,5,1,0,47,1939bnru25svvgv15k2c7tw2y,1,62.2,-2.0,2025-05-15T17:01:21.421Z,2025-05-15T17:51:43Z,116vh3v105pa9vyw10hpvuwdm,F. Ihler,,,5728747249,347,,5728747259,233,14,5728747247,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027931,14,5,1,0,47,ac8jow4mdkvnsv5s0och4qqm,0,37.8,102.0,2025-05-15T17:01:21.421Z,2025-05-15T17:01:25Z,8unnvgvft6knxupbp9oxh621h,E. Hovland,,,5728747215,56,Back,5728747267,233,9,5728747217,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027981,10,1,1,0,55,1939bnru25svvgv15k2c7tw2y,1,64.2,0.0,2025-05-15T17:01:28.736Z,2025-05-15T17:01:30Z,5l4q2q8nszqp6k8exo9eyqnrp,S. Hedlund,,,5728747453,56,Back,5728747463,1,,5728747455,140,41.1,5728747461,213,2.92,5728747459,212,24.8,5728747457,141,6.5,5728747451,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027995,11,1,1,0,57,1939bnru25svvgv15k2c7tw2y,1,40.9,8.3,2025-05-15T17:01:30.751Z,2025-05-15T17:01:33Z,amgtzrnw9lmo9o506a0mhzip6,R. Wikström,,,5728747543,140,30.9,5728747549,213,2.27,5728747545,141,26.7,5728747541,56,Back,5728747547,212,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028019,12,1,1,0,59,1939bnru25svvgv15k2c7tw2y,1,31.0,28.2,2025-05-15T17:01:32.974Z,2025-05-15T17:01:36Z,6legryh9z8lvc4bq4s456m09h,S. Holmén,,,5728747695,140,35.4,5728747701,213,1.39,5728747699,212,25.4,5728747693,56,Back,5728747697,141,64.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028037,13,1,1,1,2,1939bnru25svvgv15k2c7tw2y,1,37.1,71.1,2025-05-15T17:01:36.495Z,2025-05-15T17:01:39Z,agsollzstr45ee0z17tle8d1w,T. Yegbe,,,5728747805,213,0.94,5728747797,56,Back,5728747803,212,19.7,5728747799,140,48.1,5728747801,141,94.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028055,14,1,1,1,6,1939bnru25svvgv15k2c7tw2y,1,44.1,94.2,2025-05-15T17:01:39.727Z,2025-05-15T17:01:44Z,2d1dh619cfgvel4bv7tpfxjo5,N. Hult,,,5728747899,213,3.32,5728747895,141,88.9,5728747893,140,24.6,5728747897,212,20.8,5728747891,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028065,15,1,1,1,10,1939bnru25svvgv15k2c7tw2y,0,27.3,90.5,2025-05-15T17:01:44.271Z,2025-05-15T17:01:46Z,agsollzstr45ee0z17tle8d1w,T. Yegbe,,,5728747991,155,,5728747997,141,100.0,5728747995,140,71.9,5728748001,213,0.15,5728747999,212,47.4,5728748003,1,,5728747993,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028069,15,5,1,1,12,ac8jow4mdkvnsv5s0och4qqm,1,30.0,-1.2,2025-05-15T17:01:46.547Z,2025-05-15T17:51:44Z,9niqy9wbsy6b03fa5iyx22gic,E. Alladoh,,,5728748019,233,16,5728748015,56,Back,5728748017,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028067,16,5,1,1,12,1939bnru25svvgv15k2c7tw2y,0,70.0,101.2,2025-05-15T17:01:46.547Z,2025-05-15T17:01:49Z,agsollzstr45ee0z17tle8d1w,T. Yegbe,,,5728748027,233,15,5728748009,56,Left,5728748011,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028105,16,1,1,1,18,ac8jow4mdkvnsv5s0och4qqm,1,63.0,0.0,2025-05-15T17:01:52.691Z,2025-05-15T17:15:04Z,aqjwz3wm0it916o2vb5tz9vxl,A. Timossi Andersson,,,5728748231,141,25.4,5728748225,107,,5728748229,140,73.4,5728748235,213,1.02,5728748227,56,Center,5728749523,189,,5728748233,212,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028107,17,61,1,1,19,ac8jow4mdkvnsv5s0och4qqm,0,68.0,30.3,2025-05-15T17:01:53.506Z,2025-05-15T17:15:12Z,hm7w2b4a6j0q3bprq118r5uy,A. Jakobsen,,,5728778919,189,,5728748241,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028109,17,1,1,1,21,1939bnru25svvgv15k2c7tw2y,1,29.0,77.6,2025-05-15T17:01:55.646Z,2025-05-15T17:01:57Z,agsollzstr45ee0z17tle8d1w,T. Yegbe,,,5728748251,213,4.50,5728748243,56,Back,5728748247,141,50.0,5728748249,212,19.2,5728748245,140,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028149,19,1,1,1,23,1939bnru25svvgv15k2c7tw2y,1,25.1,50.0,2025-05-15T17:01:57.167Z,2025-05-15T17:02:29Z,amgtzrnw9lmo9o506a0mhzip6,R. Wikström,,,5728748425,140,6.6,5728748429,212,19.6,5728748431,213,3.27,5728748423,56,Back,5728748427,141,46.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028175,20,1,1,1,29,1939bnru25svvgv15k2c7tw2y,1,9.2,47.9,2025-05-15T17:02:03.583Z,2025-05-15T17:02:08Z,2qac7z5bt0grylf296n67j384,S. Eriksson,,,5728748605,212,16.2,5728748607,213,1.37,5728748601,140,12.2,5728748603,141,71.2,5728748599,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028197,21,1,1,1,34,1939bnru25svvgv15k2c7tw2y,1,10.6,72.0,2025-05-15T17:02:07.999Z,2025-05-15T17:02:12Z,agsollzstr45ee0z17tle8d1w,T. Yegbe,,,5728748719,56,Back,5728748723,141,95.4,5728748727,213,1.01,5728748721,140,20.1,5728748725,212,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028215,22,1,1,1,38,1939bnru25svvgv15k2c7tw2y,1,22.9,93.6,2025-05-15T17:02:12.239Z,2025-05-15T17:02:15Z,2d1dh619cfgvel4bv7tpfxjo5,N. Hult,,,5728748811,141,70.6,5728748807,56,Back,5728748809,140,21.3,5728748813,212,15.7,5728748815,213,4.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028221,23,61,1,1,42,1939bnru25svvgv15k2c7tw2y,0,29.1,74.4,2025-05-15T17:02:15.759Z,2025-05-15T17:15:44Z,60fbyywnjiz6l8n7gmi2mjld5,S. Olsson,,,5728748825,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028231,18,43,1,1,42,ac8jow4mdkvnsv5s0och4qqm,1,0.0,0.0,2025-05-15T17:02:15.760Z,2025-05-15T17:15:46Z,9niqy9wbsy6b03fa5iyx22gic,E. Alladoh,,,5728748879,56,Center,5728748881,286,0,5728780503,144,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028243,20,1,1,1,43,ac8jow4mdkvnsv5s0och4qqm,1,67.3,22.7,2025-05-15T17:02:17.458Z,2025-05-15T17:02:18Z,9niqy9wbsy6b03fa5iyx22gic,E. Alladoh,,,5728748949,56,Center,5728748953,141,30.7,5728748957,213,2.51,5728748951,140,60.2,5728748955,212,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028253,21,1,1,1,44,ac8jow4mdkvnsv5s0och4qqm,1,60.2,30.7,2025-05-15T17:02:18.514Z,2025-05-15T17:16:04Z,c9qk8n9d4130okk9go1brzskq,K. Ackermann,,,5728749001,140,60.0,5728749007,213,4.70,5728748999,56,Right,5728749005,212,14.9,5728749003,141,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028271,22,1,1,1,46,ac8jow4mdkvnsv5s0och4qqm,1,60.0,8.8,2025-05-15T17:02:20.106Z,2025-05-15T17:02:22Z,aw75jdzi3u012jkwj7t0eln2s,W. Odefalk,,,5728749083,140,73.6,5728749079,56,Right,5728749085,141,18.8,5728749089,213,0.44,5728749087,212,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028277,23,4,1,1,48,ac8jow4mdkvnsv5s0och4qqm,1,72.8,17.8,2025-05-15T17:02:22.303Z,2025-05-15T17:02:25Z,ci5y030e6r9umgyjbupwske7d,Daleho Irandust,,,5728749133,152,,5728749131,56,Right,5728749129,13,,5728749137,286,,5728749161,233,24,5728749135,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028263,24,4,1,1,48,1939bnru25svvgv15k2c7tw2y,0,27.2,82.2,2025-05-15T17:02:22.304Z,2025-05-15T17:02:37Z,agsollzstr45ee0z17tle8d1w,T. Yegbe,,,5728749121,56,Back,5728749127,285,,5728749125,265,,5728749119,13,,5728749123,152,,5728749201,233,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028613,24,1,1,2,35,ac8jow4mdkvnsv5s0och4qqm,1,69.6,21.3,2025-05-15T17:03:08.994Z,2025-05-15T17:03:14Z,7qgiqoaaarr6c2bs4yffqwju2,V. Lind,,,5728750903,2,,5728750917,141,88.6,5728750911,56,Left,5728750923,213,1.13,5728750913,140,90.4,5728750909,152,,5728750905,5,,5728750921,212,50.7,5728750925,1,5728750907,155,,,,,,,,,,,,,,,,,,,,,,,
2815028635,25,1,1,2,40,ac8jow4mdkvnsv5s0och4qqm,1,89.8,90.5,2025-05-15T17:03:14.409Z,2025-05-15T17:03:17Z,8unnvgvft6knxupbp9oxh621h,E. Hovland,,,5728751015,140,71.7,5728751019,141,92.1,5728751011,56,Left,5728751029,213,3.08,5728751025,212,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028651,26,1,1,2,43,ac8jow4mdkvnsv5s0och4qqm,0,75.2,89.3,2025-05-15T17:03:17.249Z,2025-05-15T17:05:00Z,2lyhi7j3id7emsh54ehdva3ca,O. Zandén,,,5728751147,141,54.0,5728751141,155,,5728751145,140,92.4,5728751149,212,30.0,5728751151,213,5.36,5728751139,2,,5728751143,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028655,25,12,1,2,46,1939bnru25svvgv15k2c7tw2y,1,4.5,44.3,2025-05-15T17:03:20.143Z,2025-05-15T17:03:28Z,6legryh9z8lvc4bq4s456m09h,S. Holmén,,,5728751169,56,Back,5728751175,212,11.3,5728751177,213,5.79,5728751191,15,,5728751171,140,14.0,5728751173,141,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028673,27,13,1,2,48,ac8jow4mdkvnsv5s0och4qqm,1,89.0,60.9,2025-05-15T17:03:22.082Z,2025-05-15T17:57:37Z,9niqy9wbsy6b03fa5iyx22gic,E. Alladoh,,,5728752153,24,,5728752181,231,50.9,5728752173,328,,5728783689,72,,5728751911,153,,5728752177,147,42.1,5728752171,108,,5728752155,75,,5728752179,230,5728752175,146,99.1,96.0,5728751301,56,Center,5728752167,103,18.1,5728752165,102,33.3,5728754901,458,5728752169,215,5728783691,17,,,,,,
2815028709,28,83,1,2,55,ac8jow4mdkvnsv5s0och4qqm,0,95.7,8.0,2025-05-15T17:03:29.010Z,2025-05-15T17:03:35Z,hm7w2b4a6j0q3bprq118r5uy,A. Jakobsen,,,5728751747,399,2d1dh619cfgvel4bv7tpfxjo5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028733,27,50,1,2,57,1939bnru25svvgv15k2c7tw2y,1,5.9,94.8,2025-05-15T17:03:31.601Z,2025-05-15T17:03:34Z,2d1dh619cfgvel4bv7tpfxjo5,N. Hult,,,5728751615,285,,5728751661,233,29,5728751613,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028739,29,7,1,2,57,ac8jow4mdkvnsv5s0och4qqm,1,94.1,5.2,2025-05-15T17:03:31.602Z,2025-05-15T17:03:33Z,hm7w2b4a6j0q3bprq118r5uy,A. Jakobsen,,,5728751649,286,,5728751645,167,,5728751647,56,Right,5728751651,233,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028751,28,5,1,2,59,1939bnru25svvgv15k2c7tw2y,1,8.8,100.6,2025-05-15T17:03:32.761Z,2025-05-15T17:51:44Z,2d1dh619cfgvel4bv7tpfxjo5,N. Hult,,,5728751691,56,Back,5728751697,233,30,5728751693,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028747,30,5,1,2,59,ac8jow4mdkvnsv5s0och4qqm,0,91.2,-0.6,2025-05-15T17:03:32.761Z,2025-05-15T17:03:36Z,hm7w2b4a6j0q3bprq118r5uy,A. Jakobsen,,,5728751679,56,Right,5728751681,347,,5728751707,233,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028867,29,1,1,3,18,1939bnru25svvgv15k2c7tw2y,1,9.6,100.0,2025-05-15T17:03:52.192Z,2025-05-15T17:03:56Z,agsollzstr45ee0z17tle8d1w,T. Yegbe,,,5728752441,1,,5728752433,140,11.6,5728752431,56,Back,5728752429,107,,5728752437,212,39.7,5728752439,213,4.77,5728752435,141,43.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028887,30,1,1,3,22,1939bnru25svvgv15k2c7tw2y,1,12.5,40.1,2025-05-15T17:03:56.255Z,2025-05-15T17:03:59Z,amgtzrnw9lmo9o506a0mhzip6,R. Wikström,,,5728752539,141,10.0,5728752543,213,5.52,5728752535,56,Back,5728752537,140,32.7,5728752541,212,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028901,31,1,1,3,25,1939bnru25svvgv15k2c7tw2y,1,34.8,10.1,2025-05-15T17:03:59.279Z,2025-05-15T17:04:01Z,5l4q2q8nszqp6k8exo9eyqnrp,S. Hedlund,,,5728752607,212,17.7,5728752601,56,Back,5728752609,213,0.86,5728752605,141,29.8,5728752603,140,45.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028945,32,1,1,3,28,1939bnru25svvgv15k2c7tw2y,1,50.5,26.8,2025-05-15T17:04:01.744Z,2025-05-15T17:04:06Z,116vh3v105pa9vyw10hpvuwdm,F. Ihler,,,5728752849,213,5.46,5728752845,141,6.8,5728752837,56,Right,5728752841,140,62.4,5728752847,212,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
