id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/9/value,qualifier/12/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId
2813114449,8,1,1,0,26,aj8ytsr2ap33tod0hd8ofzaw9,0,62.4,67.7,2025-05-11T00:07:51.281Z,2025-05-11T03:15:20Z,1e1wh213cg8q6lsqa3kvbjdka,G. Colli,,,5718159781,213,3.20,5718159995,286,,5718159777,141,67.5,5718159987,233,6,5718159775,140,60.0,5718159773,56,Center,5718159779,212,2.5,5718159983,236,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813114477,6,74,1,0,26,5h878vnmkbuy2ummddprusxgq,1,39.6,28.3,2025-05-11T00:07:51.282Z,2025-05-11T01:08:32Z,7vs1eqm82fwwuhwfqodb3dyw9,R. Ruiz,,,5718159949,285,,5718159947,56,Back,5718160003,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813114467,9,1,1,0,28,aj8ytsr2ap33tod0hd8ofzaw9,1,56.5,78.4,2025-05-11T00:07:53.197Z,2025-05-11T00:07:54Z,8td51fzpdl6c1yrz6r0igle22,D. Pierre,,,5718159895,140,57.6,5718159897,141,84.4,5718159891,3,,5718159893,56,Left,5718159903,213,1.29,5718159899,212,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813114489,10,1,1,0,29,aj8ytsr2ap33tod0hd8ofzaw9,0,57.6,84.4,2025-05-11T00:07:54.277Z,2025-05-11T00:07:56Z,2giowiodzndu5m2gwn79iiui1,L. Batista,,,5718160015,140,66.8,5718160021,213,0.01,5718160013,56,Left,5718160019,212,9.7,5718160017,141,84.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813114487,7,43,1,0,30,5h878vnmkbuy2ummddprusxgq,1,0.0,0.0,2025-05-11T00:07:55.242Z,2025-05-11T01:04:28Z,2mgcta30puk8kuwb5mo4zvcnp,A. Moreno,,,5718394883,144,56,5718160001,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813114501,8,8,1,0,32,5h878vnmkbuy2ummddprusxgq,1,29.8,9.5,2025-05-11T00:07:57.588Z,2025-05-11T02:15:24Z,1jhs3g95t0ah1hx3fwlo14kmi,G. Diaz,,,5718160071,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813114505,11,61,1,0,32,aj8ytsr2ap33tod0hd8ofzaw9,1,66.2,82.1,2025-05-11T00:07:57.691Z,2025-05-11T00:09:01Z,64amlcisr3cr924jwy25rjs9h,L. Stauffer,,,5718160077,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813114547,10,1,1,0,36,5h878vnmkbuy2ummddprusxgq,1,31.9,12.2,2025-05-11T00:08:00.946Z,2025-05-11T00:08:02Z,7ajceczjsu9ci4nqv9gg2860a,F. Daroma,,,5718160331,212,6.1,5718160325,56,Back,5718160333,213,3.27,5718160327,140,26.1,5718160329,141,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813114559,11,1,1,0,37,5h878vnmkbuy2ummddprusxgq,1,26.1,11.0,2025-05-11T00:08:02.003Z,2025-05-11T01:08:43Z,8gy9wgqywaqi9uy6i31i0q21h,A. Ortíz,,,5718160397,212,11.9,5718160395,141,0.8,5718160393,140,35.3,5718160399,213,5.66,5718160391,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813114565,12,43,1,0,38,5h878vnmkbuy2ummddprusxgq,1,0.0,0.0,2025-05-11T00:08:03.506Z,2025-05-11T02:08:04Z,2dbik29e0m9bil2ofn2yhrget,T. Alfaro,,,5718627715,144,1,5718160447,140,31.8,5718160445,56,Back,5718160453,213,1.60,5718160449,141,20.6,5718160451,212,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813159959,514,1,1,0,39,5h878vnmkbuy2ummddprusxgq,1,21.7,5.0,2025-05-11T00:08:03.784Z,2025-05-11T01:09:17Z,1jhs3g95t0ah1hx3fwlo14kmi,G. Diaz,,,5718419883,141,24.5,5718419881,140,22.9,5718419887,213,1.48,5718419879,56,Back,5718419885,212,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813114605,13,1,1,0,40,5h878vnmkbuy2ummddprusxgq,1,31.8,20.6,2025-05-11T00:08:05.363Z,2025-05-11T00:08:08Z,7ajceczjsu9ci4nqv9gg2860a,F. Daroma,,,5718160635,141,47.2,5718160631,56,Back,5718160633,140,8.3,5718160639,213,2.51,5718160637,212,30.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813114637,14,1,1,0,43,5h878vnmkbuy2ummddprusxgq,1,7.3,47.3,2025-05-11T00:08:08.082Z,2025-05-11T00:08:10Z,8y556fvv7asmfouaica4nbai1,J. Waite,,,5718160797,212,15.7,5718160795,141,70.2,5718160799,213,1.43,5718160793,140,9.4,5718160791,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813114645,15,1,1,0,45,5h878vnmkbuy2ummddprusxgq,1,9.3,71.6,2025-05-11T00:08:10.554Z,2025-05-11T02:15:26Z,2dbik29e0m9bil2ofn2yhrget,T. Alfaro,,,5718160845,141,89.9,5718160839,56,Back,5718160847,212,13.1,5718160843,140,13.1,5718160849,213,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813114679,16,1,1,0,47,5h878vnmkbuy2ummddprusxgq,1,14.4,90.3,2025-05-11T00:08:12.754Z,2025-05-11T01:09:20Z,28cixms5w9uu1e38kcc8o2j9w,N. Dollenmayer,,,5718161033,213,0.09,5718161027,140,26.7,5718161029,141,92.0,5718161031,212,13.0,5718161025,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813114703,17,50,1,0,51,5h878vnmkbuy2ummddprusxgq,1,22.4,90.1,2025-05-11T00:08:16.572Z,2025-05-11T00:08:21Z,2mgcta30puk8kuwb5mo4zvcnp,A. Moreno,,,5718161273,233,12,5718161191,56,Back,5718161193,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813114709,12,7,1,0,51,aj8ytsr2ap33tod0hd8ofzaw9,0,77.6,9.9,2025-05-11T00:08:16.573Z,2025-05-11T00:08:59Z,5ku33b8dbb20fhqdg8h83rdyi,A. Rogers,,,5718161239,233,17,5718161217,286,,5718161215,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813114773,18,1,1,0,54,5h878vnmkbuy2ummddprusxgq,1,19.1,84.6,2025-05-11T00:08:18.834Z,2025-05-11T01:09:30Z,2dbik29e0m9bil2ofn2yhrget,T. Alfaro,,,5718161543,213,6.27,5718161533,157,,5718161537,140,49.2,5718161539,141,83.9,5718161541,212,31.6,5718161545,1,,5718161535,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813114849,19,1,1,0,57,5h878vnmkbuy2ummddprusxgq,1,47.2,86.0,2025-05-11T00:08:22.531Z,2025-05-11T00:08:28Z,7ajceczjsu9ci4nqv9gg2860a,F. Daroma,,,5718161933,213,0.04,5718161929,212,30.7,5718161917,56,Left,5718161921,140,76.4,5718161925,141,87.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813114861,20,1,1,1,3,5h878vnmkbuy2ummddprusxgq,0,94.6,91.2,2025-05-11T00:08:28.747Z,2025-05-11T01:04:37Z,2mgcta30puk8kuwb5mo4zvcnp,A. Moreno,,,5718161983,213,4.36,5718161981,212,14.9,5718161979,141,70.7,5718161977,140,89.7,5718161973,56,Center,5718161967,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813155925,309,61,1,1,4,aj8ytsr2ap33tod0hd8ofzaw9,1,9.0,25.2,2025-05-11T00:08:28.784Z,2025-05-11T01:04:24Z,2giowiodzndu5m2gwn79iiui1,L. Batista,,,5718394623,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813156061,310,61,1,1,6,aj8ytsr2ap33tod0hd8ofzaw9,1,13.8,33.7,2025-05-11T00:08:30.784Z,2025-05-11T01:04:38Z,8td51fzpdl6c1yrz6r0igle22,D. Pierre,,,5718395533,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813114923,13,43,1,1,7,aj8ytsr2ap33tod0hd8ofzaw9,1,0.0,0.0,2025-05-11T00:08:32.732Z,2025-05-11T01:04:41Z,8td51fzpdl6c1yrz6r0igle22,D. Pierre,,,5718162247,56,Back,5718395689,144,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813114995,15,1,1,1,11,aj8ytsr2ap33tod0hd8ofzaw9,0,11.4,42.4,2025-05-11T00:08:36.020Z,2025-05-11T01:04:58Z,64amlcisr3cr924jwy25rjs9h,L. Stauffer,,,5718162567,213,0.28,5718162557,157,,5718162565,212,22.1,5718162569,1,,5718162563,141,51.5,5718162559,56,Back,5718162561,140,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813115027,21,1,1,1,11,5h878vnmkbuy2ummddprusxgq,1,56.6,24.5,2025-05-11T00:08:36.171Z,2025-05-11T00:08:39Z,8gy9wgqywaqi9uy6i31i0q21h,A. Ortíz,,,5718162711,3,,5718162713,56,Center,5718162719,212,16.0,5718162715,140,70.1,5718162721,213,0.48,5718162717,141,35.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813115029,22,61,1,1,14,5h878vnmkbuy2ummddprusxgq,1,70.1,35.3,2025-05-11T00:08:39.202Z,2025-05-11T00:08:39Z,2mgcta30puk8kuwb5mo4zvcnp,A. Moreno,,,5718162731,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813115057,23,1,1,1,15,5h878vnmkbuy2ummddprusxgq,1,70.3,44.6,2025-05-11T00:08:40.570Z,2025-05-11T02:25:15Z,c4g35kho1qirnu4q420knnl9m,R. Coronado,1.0,,5718669865,210,15,5718162879,141,79.5,5718162883,213,1.02,5718162875,56,Left,5718162881,212,27.9,5718162877,140,84.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813115069,24,15,1,1,17,5h878vnmkbuy2ummddprusxgq,1,80.3,71.1,2025-05-11T00:08:42.369Z,2025-05-11T02:25:16Z,2mgcta30puk8kuwb5mo4zvcnp,A. Moreno,,,5718669869,78,,5718162935,22,,5718163329,230,98.6,5718163373,233,16,5718163331,231,50.9,5718669873,55,23,5718163107,82,,5718163319,102,49.1,5718163321,103,19,5718669877,215,5718163103,20,5718162939,56,Center,5718669871,29,5718163325,146,83.8,5718669867,18,5718163327,147,67.2,,,,,,
2813115077,16,10,1,1,17,aj8ytsr2ap33tod0hd8ofzaw9,1,10.6,31.6,2025-05-11T00:08:42.469Z,2025-05-11T00:08:48Z,dgpphcc9ql3pv3b4chhchml90,O. Damm,,,5718162969,56,Back,5718162967,94,,5718163439,233,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813115293,17,12,1,1,20,aj8ytsr2ap33tod0hd8ofzaw9,1,11.4,31.6,2025-05-11T00:08:44.988Z,2025-05-11T00:08:59Z,5ku33b8dbb20fhqdg8h83rdyi,A. Rogers,,,5718164067,213,5.86,5718164063,141,2.5,5718164059,56,Right,5718164061,140,53.2,5718164065,212,48.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813115201,25,1,1,1,25,5h878vnmkbuy2ummddprusxgq,1,45.8,89.1,2025-05-11T00:08:50.068Z,2025-05-11T00:08:52Z,28cixms5w9uu1e38kcc8o2j9w,N. Dollenmayer,,,5718163633,213,3.90,5718163627,140,37.1,5718163629,141,76.4,5718163631,212,12.6,5718163625,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813115211,26,1,1,1,27,5h878vnmkbuy2ummddprusxgq,1,37.1,76.4,2025-05-11T00:08:52.001Z,2025-05-11T02:08:58Z,2dbik29e0m9bil2ofn2yhrget,T. Alfaro,,,5718163695,213,5.97,5718163691,141,71.6,5718163693,212,10.7,5718163689,140,46.8,5718163687,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813115277,27,1,1,1,28,5h878vnmkbuy2ummddprusxgq,1,46.8,71.6,2025-05-11T00:08:53.057Z,2025-05-11T00:08:58Z,7ajceczjsu9ci4nqv9gg2860a,F. Daroma,,,5718163993,140,31.2,5718163997,212,16.6,5718163999,213,2.99,5718163995,141,75.3,5718163991,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813115283,28,1,1,1,33,5h878vnmkbuy2ummddprusxgq,1,31.4,74.9,2025-05-11T00:08:57.961Z,2025-05-11T00:08:58Z,2dbik29e0m9bil2ofn2yhrget,T. Alfaro,,,5718164013,56,Back,5718164019,212,11.8,5718164021,213,5.68,5718164015,140,40.7,5718164017,141,65.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813115319,29,1,1,1,33,5h878vnmkbuy2ummddprusxgq,1,40.7,65.1,2025-05-11T00:08:58.753Z,2025-05-11T00:09:02Z,7ajceczjsu9ci4nqv9gg2860a,F. Daroma,,,5718164217,140,31.2,5718164215,56,Back,5718164221,141,69.2,5718164227,213,2.87,5718164225,212,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813115363,30,1,1,1,37,5h878vnmkbuy2ummddprusxgq,1,31.2,69.2,2025-05-11T00:09:01.785Z,2025-05-11T00:09:06Z,2dbik29e0m9bil2ofn2yhrget,T. Alfaro,,,5718164425,212,22.7,5718164413,56,Back,5718164427,213,3.95,5718164417,140,16.3,5718164419,141,45.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813115419,31,1,1,1,41,5h878vnmkbuy2ummddprusxgq,0,14.9,42.5,2025-05-11T00:09:06.033Z,2025-05-11T00:09:10Z,8y556fvv7asmfouaica4nbai1,J. Waite,,,5718164675,56,Right,5718164683,213,5.90,5718164673,155,,5718164679,141,7.0,5718164677,140,71.4,5718164685,1,,5718164681,212,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813115577,18,5,1,1,46,aj8ytsr2ap33tod0hd8ofzaw9,1,33.8,101.7,2025-05-11T00:09:10.841Z,2025-05-11T00:09:23Z,5ku33b8dbb20fhqdg8h83rdyi,A. Rogers,,,5718165469,56,Back,5718165545,233,32,5718165471,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813115439,32,5,1,1,46,5h878vnmkbuy2ummddprusxgq,0,65.2,-1.8,2025-05-11T00:09:10.946Z,2025-05-11T00:09:22Z,8y556fvv7asmfouaica4nbai1,J. Waite,,,5718164787,56,Right,5718164789,347,,5718165573,233,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813115631,19,1,1,1,56,aj8ytsr2ap33tod0hd8ofzaw9,0,47.8,100.0,2025-05-11T00:09:21.571Z,2025-05-11T00:09:24Z,2giowiodzndu5m2gwn79iiui1,L. Batista,,,5718165727,212,17.2,5718165719,140,61.6,5718165729,213,5.71,5718165723,141,88.3,5718165717,56,Left,5718165715,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813115647,33,12,1,2,0,5h878vnmkbuy2ummddprusxgq,1,33.0,15.5,2025-05-11T00:09:25.138Z,2025-05-11T00:09:26Z,8gy9wgqywaqi9uy6i31i0q21h,A. Ortíz,,,5718165809,141,18.8,5718165811,212,8.6,5718165807,140,40.9,5718165885,15,,5718165813,213,0.26,5718165805,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813115693,20,1,1,2,1,aj8ytsr2ap33tod0hd8ofzaw9,1,53.6,79.7,2025-05-11T00:09:26.452Z,2025-05-11T00:09:28Z,do5q14naxm61jw8px8qvacn4k,B. Diallo,,,5718166071,140,53.2,5718166067,3,,5718166073,141,72.1,5718166075,212,5.2,5718166069,56,Center,5718166077,213,4.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813115705,21,1,1,2,3,aj8ytsr2ap33tod0hd8ofzaw9,0,53.2,72.1,2025-05-11T00:09:27.892Z,2025-05-11T00:09:28Z,dgpphcc9ql3pv3b4chhchml90,O. Damm,,,5718166145,212,6.4,5718166135,140,58.8,5718166131,56,Center,5718166153,213,0.39,5718166139,141,75.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813115747,35,1,1,2,6,5h878vnmkbuy2ummddprusxgq,0,35.2,21.7,2025-05-11T00:09:30.794Z,2025-05-11T00:09:31Z,1jhs3g95t0ah1hx3fwlo14kmi,G. Diaz,,,5718166375,212,16.4,5718166371,140,44.1,5718166369,56,Back,5718166373,141,41.6,5718166367,155,,5718166377,213,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813115775,22,8,1,2,8,aj8ytsr2ap33tod0hd8ofzaw9,1,53.4,53.9,2025-05-11T00:09:33.308Z,2025-05-11T00:09:38Z,1e1wh213cg8q6lsqa3kvbjdka,G. Colli,,,5718166509,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813115875,36,1,1,2,12,5h878vnmkbuy2ummddprusxgq,1,55.3,81.5,2025-05-11T00:09:37.129Z,2025-05-11T00:09:41Z,2mgcta30puk8kuwb5mo4zvcnp,A. Moreno,,,5718167035,212,22.9,5718167037,213,3.67,5718167029,56,Back,5718167031,140,36.5,5718167033,141,64.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813115923,37,1,1,2,16,5h878vnmkbuy2ummddprusxgq,1,40.2,61.2,2025-05-11T00:09:41.265Z,2025-05-11T00:09:44Z,7ajceczjsu9ci4nqv9gg2860a,F. Daroma,,,5718167287,212,19.3,5718167289,213,4.29,5718167283,140,32.7,5718167281,56,Back,5718167285,141,35.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813115965,38,1,1,2,19,5h878vnmkbuy2ummddprusxgq,1,34.2,30.8,2025-05-11T00:09:44.297Z,2025-05-11T00:09:47Z,8gy9wgqywaqi9uy6i31i0q21h,A. Ortíz,,,5718167495,212,11.0,5718167485,56,Back,5718167497,213,1.73,5718167487,140,32.5,5718167493,141,46.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813115987,39,1,1,2,22,5h878vnmkbuy2ummddprusxgq,1,32.2,52.4,2025-05-11T00:09:46.993Z,2025-05-11T00:09:49Z,2dbik29e0m9bil2ofn2yhrget,T. Alfaro,,,5718167609,140,52.5,5718167611,141,47.9,5718167615,213,6.14,5718167605,56,Center,5718167613,212,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
