id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/8/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2793220301,5,43,1,0,8,ck22dnk93ng8ax7wonlff7yms,1,0.0,0.0,2025-03-29T23:06:45.673Z,2025-03-29T23:06:51Z,csx9pmpibyblftludnkd6j36x,M. Epps,,,5608492497,56,Center,5608492847,144,44,5608492499,286,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793220385,5,1,1,0,10,87c66ubwpzykovmkaf1t46bis,1,39.0,36.0,2025-03-29T23:06:47.923Z,2025-03-29T23:55:47Z,61rlxmejof8zjv8uw3sk1l045,J. Medranda,,,5608492875,213,1.73,5608492869,140,38.0,5608492873,212,6.5,5608492867,56,Back,5608492871,141,45.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793220397,7,1,1,0,14,87c66ubwpzykovmkaf1t46bis,1,41.7,53.0,2025-03-29T23:06:51.355Z,2025-03-29T23:56:11Z,zd582wgzhdcz8n6oipywt3vt,J. Hernández,,,5608720511,141,58.7,5608720515,213,2.15,5608720507,56,Back,5608720509,140,39.3,5608720513,212,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793261607,343,1,1,0,15,87c66ubwpzykovmkaf1t46bis,1,35.2,54.3,2025-03-29T23:06:51.958Z,2025-03-29T23:56:33Z,4ceaxb019rb6flsigsqo80rca,L. Haakenson,,,5608721277,56,Back,5608721283,212,19.4,5608721279,140,16.7,5608721281,141,54.0,5608721285,213,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793220455,8,1,1,0,16,87c66ubwpzykovmkaf1t46bis,1,23.7,50.3,2025-03-29T23:06:53.683Z,2025-03-29T23:06:57Z,ks7omik17xov44i4hhjrldyh,M. Taintor,,,5608493335,56,Back,5608493339,141,17.6,5608493333,155,,5608493337,140,33.9,5608493341,212,24.7,5608493343,213,5.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793220459,9,61,1,0,19,87c66ubwpzykovmkaf1t46bis,0,31.5,10.0,2025-03-29T23:06:56.763Z,2025-03-30T00:06:30Z,5ynru0652guk8hl45ltxo0dwq,R. Buckmaster,,,5608493357,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793220559,8,5,1,0,20,ck22dnk93ng8ax7wonlff7yms,1,70.0,101.0,2025-03-29T23:06:57.356Z,2025-03-30T00:06:43Z,1b9b97pxox77ia41cilqqm4iy,Nick Firmino,,,5608493923,347,,5608493921,56,Left,5608493949,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793220479,10,5,1,0,20,87c66ubwpzykovmkaf1t46bis,0,30.0,-1.0,2025-03-29T23:06:57.356Z,2025-03-30T00:06:44Z,5ynru0652guk8hl45ltxo0dwq,R. Buckmaster,,,5608493471,56,Back,5608493985,233,8,5608493473,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793220593,9,1,1,0,29,ck22dnk93ng8ax7wonlff7yms,1,70.8,100.0,2025-03-29T23:07:06.756Z,2025-03-29T23:07:09Z,2wj1w4opn7f0jyz1ps6ebvc6i,K. Sargeant,,,5608494133,213,4.21,5608494123,107,,5608494127,140,66.3,5608494131,212,9.8,5608494125,56,Left,5608494129,141,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793220639,10,1,1,0,32,ck22dnk93ng8ax7wonlff7yms,1,62.8,88.6,2025-03-29T23:07:09.809Z,2025-03-29T23:07:13Z,chiwsyjdyk4sn4vxqu9mdr0x6,Braudílio Rodrigues,,,5608494395,141,84.5,5608494399,213,3.27,5608494391,56,Back,5608494393,140,42.3,5608494397,212,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793220719,11,1,1,0,36,ck22dnk93ng8ax7wonlff7yms,1,40.7,79.7,2025-03-29T23:07:13.360Z,2025-03-29T23:07:18Z,rtercnq9nn7y0814ghe7wo2x,D. Barbir,,,5608494845,141,37.4,5608494849,213,4.46,5608494841,140,33.6,5608494839,56,Back,5608494847,212,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793220761,12,1,1,0,41,ck22dnk93ng8ax7wonlff7yms,0,32.7,37.0,2025-03-29T23:07:18.264Z,2025-03-29T23:07:21Z,16ndalf4kfr7e6rd9mwj7gfmc,K. Burks,,,5608495077,213,6.17,5608495067,155,,5608495073,141,29.4,5608495083,1,,5608495069,56,Center,5608495075,212,47.6,5608495071,140,77.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793220813,12,1,1,0,46,87c66ubwpzykovmkaf1t46bis,1,26.0,73.0,2025-03-29T23:07:23.299Z,2025-03-29T23:07:24Z,ks7omik17xov44i4hhjrldyh,M. Taintor,,,5608495331,212,17.5,5608495327,140,11.1,5608495329,141,61.5,5608495333,213,3.61,5608495325,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793220853,13,1,1,0,47,87c66ubwpzykovmkaf1t46bis,0,7.5,58.1,2025-03-29T23:07:24.723Z,2025-03-29T23:07:27Z,h4nbagq5dsdltn9x62oi0t05,R. Sánchez,,,5608495551,213,0.67,5608495539,56,Back,5608495547,212,47.7,5608495541,140,43.0,5608495537,157,,5608495545,141,100.0,5608495553,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221089,13,5,1,0,50,ck22dnk93ng8ax7wonlff7yms,1,63.6,-1.8,2025-03-29T23:07:26.976Z,2025-03-30T00:06:44Z,16ndalf4kfr7e6rd9mwj7gfmc,K. Burks,,,5608496655,56,Right,5608496731,233,14,5608496657,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793220861,14,5,1,0,50,87c66ubwpzykovmkaf1t46bis,0,36.4,101.8,2025-03-29T23:07:26.976Z,2025-03-30T00:06:44Z,h4nbagq5dsdltn9x62oi0t05,R. Sánchez,,,5608495569,56,Back,5608495573,347,,5608496767,233,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221131,14,1,1,1,5,ck22dnk93ng8ax7wonlff7yms,1,70.5,0.0,2025-03-29T23:07:42.368Z,2025-03-29T23:07:45Z,2l6v8ab245wzmb1litvkir1ii,G. Gibert,,,5608496919,56,Right,5608496917,107,,5608496921,140,65.0,5608496927,213,2.20,5608496923,141,9.8,5608496925,212,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221225,15,1,1,1,8,ck22dnk93ng8ax7wonlff7yms,1,61.0,8.9,2025-03-29T23:07:45.307Z,2025-03-29T23:07:52Z,csx9pmpibyblftludnkd6j36x,M. Epps,,,5608497457,213,2.70,5608497449,56,Back,5608497453,141,28.0,5608497455,212,30.7,5608497451,140,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221285,16,1,1,1,15,ck22dnk93ng8ax7wonlff7yms,1,35.2,32.7,2025-03-29T23:07:52.320Z,2025-03-29T23:07:56Z,16ndalf4kfr7e6rd9mwj7gfmc,K. Burks,,,5608497803,212,11.4,5608497797,56,Back,5608497801,141,17.1,5608497805,213,5.08,5608497799,140,39.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221291,17,61,1,1,19,ck22dnk93ng8ax7wonlff7yms,0,41.0,23.1,2025-03-29T23:07:56.328Z,2025-03-29T23:07:56Z,2l6v8ab245wzmb1litvkir1ii,G. Gibert,,,5608497819,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221317,15,3,1,1,20,87c66ubwpzykovmkaf1t46bis,1,58.8,72.0,2025-03-29T23:07:57.296Z,2025-03-30T01:10:16Z,zd582wgzhdcz8n6oipywt3vt,J. Hernández,,,5608497963,286,,5608497961,56,Center,5608498037,233,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221299,18,45,1,1,20,ck22dnk93ng8ax7wonlff7yms,0,41.2,28.0,2025-03-29T23:07:57.296Z,2025-03-30T01:10:16Z,2l6v8ab245wzmb1litvkir1ii,G. Gibert,,,5608498063,233,15,5608497867,285,,5608497865,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221409,17,1,1,1,22,87c66ubwpzykovmkaf1t46bis,0,61.3,68.4,2025-03-29T23:07:59.491Z,2025-03-29T23:08:03Z,zd582wgzhdcz8n6oipywt3vt,J. Hernández,,,5608498453,155,,5608498469,1,,5608498455,56,Center,5608498463,212,50.0,5608498459,140,100.0,5608498467,213,5.70,5608498461,141,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221737,18,5,1,1,26,87c66ubwpzykovmkaf1t46bis,0,101.0,25.0,2025-03-29T23:08:03.326Z,2025-03-30T00:06:45Z,zd582wgzhdcz8n6oipywt3vt,J. Hernández,,,5608500301,233,19,5608500221,346,,5608500219,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221463,19,5,1,1,26,ck22dnk93ng8ax7wonlff7yms,1,-1.0,75.0,2025-03-29T23:08:03.326Z,2025-03-30T00:06:45Z,2l6v8ab245wzmb1litvkir1ii,G. Gibert,,,5608498709,346,,5608500267,233,18,5608498707,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221653,20,1,1,1,36,ck22dnk93ng8ax7wonlff7yms,1,4.3,56.1,2025-03-29T23:08:13.544Z,2025-03-29T23:08:17Z,16ndalf4kfr7e6rd9mwj7gfmc,K. Burks,,,5608499747,124,,5608499755,212,9.9,5608499751,140,4.4,5608499753,141,41.5,5608499749,56,Back,5608499757,213,4.72,5608499761,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221707,21,1,1,1,40,ck22dnk93ng8ax7wonlff7yms,0,7.8,32.2,2025-03-29T23:08:17.472Z,2025-03-29T23:08:20Z,4o2odluv4usimcdtryht04zjd,L. Ketterer,,,5608500085,1,,5608500081,212,56.6,5608500075,56,Center,5608500079,141,69.4,5608500083,213,0.46,5608500073,157,,5608500077,140,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221765,20,1,1,1,45,87c66ubwpzykovmkaf1t46bis,1,42.3,32.5,2025-03-29T23:08:22.133Z,2025-03-29T23:08:24Z,5ynru0652guk8hl45ltxo0dwq,R. Buckmaster,,,5608500417,212,21.6,5608500413,140,62.9,5608500411,56,Center,5608500419,213,6.26,5608500415,141,31.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221867,21,1,1,1,46,87c66ubwpzykovmkaf1t46bis,1,70.2,30.6,2025-03-29T23:08:23.843Z,2025-03-29T23:57:13Z,2ug51dfg4oerpnbudnkw497je,J. LaCava,,,5608500889,56,Center,5608500891,140,69.5,5608500895,212,5.4,5608500893,141,38.5,5608500897,213,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221887,22,1,1,1,52,87c66ubwpzykovmkaf1t46bis,1,62.7,41.9,2025-03-29T23:08:29.579Z,2025-03-29T23:57:25Z,61rlxmejof8zjv8uw3sk1l045,J. Medranda,,,5608501015,212,22.6,5608501011,140,53.2,5608501009,56,Center,5608501013,141,71.8,5608501017,213,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221893,23,43,1,1,54,87c66ubwpzykovmkaf1t46bis,1,0.0,0.0,2025-03-29T23:08:31.483Z,2025-03-29T23:08:41Z,c481wk3de3opu190d8z99w8yy,N. Flores,,,5608501983,144,56,5608501059,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221955,24,1,1,1,55,87c66ubwpzykovmkaf1t46bis,1,43.2,81.5,2025-03-29T23:08:32.916Z,2025-03-29T23:08:35Z,c481wk3de3opu190d8z99w8yy,N. Flores,,,5608501399,140,60.6,5608501401,141,76.3,5608501407,213,6.09,5608501397,56,Center,5608501403,212,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221963,25,61,1,1,57,87c66ubwpzykovmkaf1t46bis,0,63.4,75.7,2025-03-29T23:08:34.451Z,2025-03-30T00:08:58Z,8pg5wiwxujx3hnir5wie9xgfe,Diogo Pacheco,,,5608501443,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222017,23,1,1,1,58,ck22dnk93ng8ax7wonlff7yms,1,35.8,34.9,2025-03-29T23:08:35.474Z,2025-03-29T23:08:38Z,97rumgrdtahzassy8weq13dyi,E. Cáceres,,,5608501711,56,Back,5608501715,141,33.3,5608501719,213,3.27,5608501713,140,27.8,5608501717,212,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222071,24,1,1,2,1,ck22dnk93ng8ax7wonlff7yms,1,10.3,28.0,2025-03-29T23:08:38.522Z,2025-03-29T23:08:42Z,rtercnq9nn7y0814ghe7wo2x,D. Barbir,,,5608502047,141,41.8,5608502043,140,5.9,5608502049,212,10.5,5608502041,56,Back,5608502053,213,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222127,25,1,1,2,4,ck22dnk93ng8ax7wonlff7yms,1,5.7,41.8,2025-03-29T23:08:41.922Z,2025-03-29T23:08:45Z,4o2odluv4usimcdtryht04zjd,L. Ketterer,,,5608502351,213,5.86,5608502343,56,Back,5608502347,141,15.2,5608502345,140,43.6,5608502349,212,43.7,5608502341,155,,5608502353,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222155,26,1,1,2,8,ck22dnk93ng8ax7wonlff7yms,1,38.7,12.3,2025-03-29T23:08:45.706Z,2025-03-29T23:08:47Z,1b9b97pxox77ia41cilqqm4iy,Nick Firmino,,,5608502465,56,Back,5608502475,212,10.2,5608502469,141,10.9,5608502477,213,3.23,5608502467,140,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222179,27,1,1,2,10,ck22dnk93ng8ax7wonlff7yms,1,30.8,11.4,2025-03-29T23:08:47.305Z,2025-03-29T23:08:49Z,2l6v8ab245wzmb1litvkir1ii,G. Gibert,,,5608502671,213,0.45,5608502667,141,18.0,5608502663,56,Back,5608502669,212,10.3,5608502665,140,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222187,28,1,1,2,12,ck22dnk93ng8ax7wonlff7yms,0,38.0,16.5,2025-03-29T23:08:49.096Z,2025-03-29T23:08:49Z,khvgxqohya7mawca1qx5q590,S. Djeffal,,,5608502707,213,4.89,5608502703,141,12.2,5608502705,212,3.0,5608502699,56,Back,5608502701,140,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222201,26,8,1,2,13,87c66ubwpzykovmkaf1t46bis,1,62.0,80.2,2025-03-29T23:08:50.674Z,2025-03-29T23:08:50Z,bzu3rjr0r2qmxluguyseq5sdl,A. Soto,,,5608502813,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222231,27,3,1,2,15,87c66ubwpzykovmkaf1t46bis,0,61.8,71.9,2025-03-29T23:08:52.348Z,2025-03-30T01:10:06Z,zd582wgzhdcz8n6oipywt3vt,J. Hernández,,,5608503421,233,29,5608502951,56,Center,5608502953,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222289,29,7,1,2,15,ck22dnk93ng8ax7wonlff7yms,1,38.2,28.1,2025-03-29T23:08:52.349Z,2025-03-30T01:10:05Z,97rumgrdtahzassy8weq13dyi,E. Cáceres,,,5608503359,233,27,5608503299,285,,5608503295,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222263,28,83,1,2,17,87c66ubwpzykovmkaf1t46bis,0,61.7,63.1,2025-03-29T23:08:54.339Z,2025-03-29T23:09:00Z,bzu3rjr0r2qmxluguyseq5sdl,A. Soto,,,5608503551,399,1b9b97pxox77ia41cilqqm4iy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222329,30,1,1,2,20,ck22dnk93ng8ax7wonlff7yms,1,39.2,14.4,2025-03-29T23:08:57.344Z,2025-03-29T23:09:00Z,1b9b97pxox77ia41cilqqm4iy,Nick Firmino,,,5608503513,213,2.83,5608503505,56,Back,5608503509,141,19.4,5608503511,212,11.0,5608503507,140,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222403,31,1,1,2,23,ck22dnk93ng8ax7wonlff7yms,1,30.8,20.6,2025-03-29T23:09:00.160Z,2025-03-29T23:09:05Z,2l6v8ab245wzmb1litvkir1ii,G. Gibert,,,5608503871,56,Back,5608503877,212,18.6,5608503873,140,27.6,5608503879,213,1.75,5608503875,141,47.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222433,32,1,1,2,27,ck22dnk93ng8ax7wonlff7yms,1,28.1,48.1,2025-03-29T23:09:04.957Z,2025-03-29T23:09:08Z,16ndalf4kfr7e6rd9mwj7gfmc,K. Burks,,,5608504071,141,60.6,5608504067,56,Back,5608504073,212,11.6,5608504069,140,35.6,5608504075,213,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222489,33,1,1,2,31,ck22dnk93ng8ax7wonlff7yms,0,36.8,60.9,2025-03-29T23:09:08.440Z,2025-03-29T23:09:12Z,97rumgrdtahzassy8weq13dyi,E. Cáceres,,,5608504421,212,54.3,5608504417,140,88.0,5608504413,155,,5608504419,141,72.1,5608504415,56,Center,5608504425,1,,5608504423,213,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
