id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2793220603,7,1,1,0,10,c9xffml4i7ihblp1qhus9w3fu,0,29.3,37.3,2025-03-29T23:07:10.137Z,2025-03-29T23:07:39Z,5uv1a9rj5wot3wcgefjoxhkdm,J. Rufe,,,5608494191,213,1.13,5608494187,141,58.4,5608494185,140,35.7,5608494189,212,15.8,5608494183,56,Back,5608494181,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793220669,5,1,1,0,12,224tl8u2smnbyliroayk69nt0,1,50.4,40.6,2025-03-29T23:07:11.950Z,2025-03-29T23:07:15Z,5h4ldsd3uwkk4wxr9iqi5kqy2,A. O'Toole,,,5608494593,141,42.4,5608494591,140,43.4,5608494595,212,7.5,5608494597,213,2.98,5608494589,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793220733,7,1,1,0,16,224tl8u2smnbyliroayk69nt0,1,43.4,45.5,2025-03-29T23:07:15.614Z,2025-03-30T00:04:06Z,1l26kd7tulii6x999b3fdxi0a,B. Sample,,,5608494929,212,15.5,5608494933,213,1.69,5608494925,141,68.1,5608494921,56,Back,5608494923,140,41.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793220749,8,1,1,0,20,224tl8u2smnbyliroayk69nt0,1,43.8,76.1,2025-03-29T23:07:19.533Z,2025-03-29T23:07:20Z,3g0rdzkjns986gn34vg3umiqy,S. Suber,,,5608495025,213,0.73,5608495015,140,54.0,5608495019,141,90.2,5608495023,212,14.4,5608495013,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793220807,9,1,1,0,21,224tl8u2smnbyliroayk69nt0,1,54.0,90.8,2025-03-29T23:07:20.701Z,2025-03-29T23:07:24Z,cxrjwzo1fmvgcw8i820hwn07p,J. Etou,,,5608495293,212,7.9,5608495291,141,88.1,5608495287,56,Back,5608495297,213,3.38,5608495289,140,46.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793220885,10,1,1,0,25,224tl8u2smnbyliroayk69nt0,1,43.8,73.9,2025-03-29T23:07:24.375Z,2025-03-29T23:07:29Z,3g0rdzkjns986gn34vg3umiqy,S. Suber,,,5608495695,56,Left,5608495699,141,95.3,5608495697,140,59.9,5608495701,212,22.3,5608495703,213,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793220959,11,1,1,0,30,224tl8u2smnbyliroayk69nt0,1,60.9,91.2,2025-03-29T23:07:29.797Z,2025-03-29T23:07:34Z,cxrjwzo1fmvgcw8i820hwn07p,J. Etou,,,5608496019,140,54.5,5608496025,213,3.30,5608496021,141,89.6,5608496023,212,6.8,5608496017,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793220987,12,1,1,0,34,224tl8u2smnbyliroayk69nt0,1,51.0,80.8,2025-03-29T23:07:34.062Z,2025-03-29T23:07:36Z,3g0rdzkjns986gn34vg3umiqy,S. Suber,,,5608496173,212,27.5,5608496171,141,41.6,5608496167,56,Back,5608496175,213,4.46,5608496169,140,44.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221011,13,1,1,0,36,224tl8u2smnbyliroayk69nt0,1,44.2,35.5,2025-03-29T23:07:36.029Z,2025-03-29T23:07:38Z,1445ppxg007udzcj6t20ceyju,R. Ydrach,,,5608496339,213,5.18,5608496337,212,14.3,5608496331,56,Right,5608496333,140,50.4,5608496335,141,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221067,14,1,1,0,38,224tl8u2smnbyliroayk69nt0,1,48.7,12.9,2025-03-29T23:07:38.301Z,2025-03-29T23:07:41Z,69pe2d0b9ughzcn3iqarracr8,L. Biasi,,,5608496575,56,Back,5608496579,141,19.5,5608496581,212,12.0,5608496583,213,2.76,5608496577,140,38.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221139,15,1,1,0,41,224tl8u2smnbyliroayk69nt0,1,36.0,24.4,2025-03-29T23:07:41.207Z,2025-03-29T23:07:45Z,1445ppxg007udzcj6t20ceyju,R. Ydrach,,,5608496977,212,22.8,5608496979,213,1.67,5608496975,141,57.8,5608496971,56,Back,5608496973,140,33.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221189,16,1,1,0,46,224tl8u2smnbyliroayk69nt0,1,34.4,53.1,2025-03-29T23:07:45.781Z,2025-03-29T23:07:49Z,6jsu34146kbtoeco3ue1a7ok4,J. Wälti,,,5608497269,141,44.0,5608497271,212,10.6,5608497273,213,5.66,5608497265,56,Back,5608497267,140,42.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221213,17,1,1,0,50,224tl8u2smnbyliroayk69nt0,1,43.2,41.5,2025-03-29T23:07:49.565Z,2025-03-30T00:05:00Z,c4va4gt5g10zm05qtucgyt889,D. Griffin,,,5608497399,140,34.0,5608497403,212,11.0,5608497401,141,33.7,5608742147,156,,5608497405,213,3.64,5608497397,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221273,18,1,1,0,52,224tl8u2smnbyliroayk69nt0,1,34.3,40.1,2025-03-29T23:07:51.365Z,2025-03-29T23:07:55Z,1445ppxg007udzcj6t20ceyju,R. Ydrach,,,5608497727,141,65.8,5608497725,140,42.9,5608497723,56,Back,5608497729,212,19.7,5608497731,213,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221349,19,1,1,0,57,224tl8u2smnbyliroayk69nt0,1,49.5,75.9,2025-03-29T23:07:56.485Z,2025-03-29T23:08:00Z,3g0rdzkjns986gn34vg3umiqy,S. Suber,,,5608498107,140,59.4,5608498113,213,0.83,5608498111,212,15.4,5608498109,141,92.7,5608498105,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221381,20,1,1,1,0,224tl8u2smnbyliroayk69nt0,1,60.4,93.3,2025-03-29T23:07:59.885Z,2025-03-29T23:08:02Z,e8rbnbqkrxia3lgt7agaid4kq,R. Mertz,,,5608498331,213,3.84,5608498329,212,7.1,5608498327,141,86.6,5608498323,56,Left,5608498325,140,55.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221459,21,1,1,1,3,224tl8u2smnbyliroayk69nt0,1,53.0,77.8,2025-03-29T23:08:02.453Z,2025-03-29T23:08:06Z,3g0rdzkjns986gn34vg3umiqy,S. Suber,,,5608498681,196,,5608498683,56,Right,5608498685,140,81.0,5608498687,141,5.5,5608498689,212,57.3,5608498679,155,,5608498691,213,5.25,5608498693,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221525,22,1,1,1,6,224tl8u2smnbyliroayk69nt0,1,79.7,5.3,2025-03-29T23:08:06.261Z,2025-03-29T23:08:10Z,5h4ldsd3uwkk4wxr9iqi5kqy2,A. O'Toole,,,5608499033,213,3.25,5608499031,212,5.7,5608499023,140,74.3,5608499019,56,Right,5608499027,141,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221621,23,1,1,1,10,224tl8u2smnbyliroayk69nt0,1,70.5,4.9,2025-03-29T23:08:10.126Z,2025-03-29T23:08:15Z,69pe2d0b9ughzcn3iqarracr8,L. Biasi,,,5608499565,140,80.3,5608499561,56,Right,5608499577,213,0.80,5608499569,141,20.6,5608499557,155,,5608499575,212,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221627,24,1,1,1,12,224tl8u2smnbyliroayk69nt0,1,76.8,26.6,2025-03-29T23:08:11.800Z,2025-03-30T00:06:36Z,c4va4gt5g10zm05qtucgyt889,D. Griffin,,,5608746319,213,1.82,5608746317,212,8.0,5608746315,141,38.0,5608746311,56,Center,5608746313,140,74.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221641,25,50,1,1,13,224tl8u2smnbyliroayk69nt0,1,74.4,35.6,2025-03-29T23:08:12.849Z,2025-03-30T01:21:57Z,1l26kd7tulii6x999b3fdxi0a,B. Sample,,,5608746715,286,,5608746713,56,Center,5608746723,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221577,8,7,1,1,13,c9xffml4i7ihblp1qhus9w3fu,1,25.6,64.4,2025-03-29T23:08:12.850Z,2025-03-30T01:21:57Z,272w5ezobn1o53b3yxnbgjckq,K. Hernández-Foster,,,5608746717,233,25,5608499359,285,,5608499357,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221635,10,1,1,1,14,c9xffml4i7ihblp1qhus9w3fu,1,28.5,67.6,2025-03-29T23:08:13.913Z,2025-03-30T00:03:32Z,8t6b8q53ovws370a1b27s85jo,R. Torres,,,5608499671,213,3.28,5608499669,212,11.2,5608499667,141,65.4,5608499663,56,Back,5608499665,140,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793264817,363,1,1,1,15,c9xffml4i7ihblp1qhus9w3fu,0,19.1,69.4,2025-03-29T23:08:14.340Z,2025-03-30T00:03:25Z,8lk5ve59333boqzpcmd0yidck,E. Kos,,,5608737857,141,73.0,5608737861,213,0.08,5608737855,140,48.5,5608737859,212,31.0,5608737853,56,Back,5608737851,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221713,26,1,1,1,20,224tl8u2smnbyliroayk69nt0,0,46.8,4.7,2025-03-29T23:08:19.366Z,2025-03-29T23:08:20Z,1445ppxg007udzcj6t20ceyju,R. Ydrach,,,5608500109,140,81.8,5608500119,213,0.31,5608500123,1,,5608500103,157,,5608500107,56,Center,5608500115,212,38.6,5608500111,141,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221741,11,1,1,1,22,c9xffml4i7ihblp1qhus9w3fu,0,21.4,66.7,2025-03-29T23:08:21.667Z,2025-03-29T23:08:22Z,8lk5ve59333boqzpcmd0yidck,E. Kos,,,5608500243,3,,5608500249,141,57.5,5608500245,56,Back,5608500247,140,34.5,5608500253,213,5.86,5608500251,212,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793266899,442,1,1,1,24,224tl8u2smnbyliroayk69nt0,1,68.6,49.7,2025-03-29T23:08:23.340Z,2025-03-30T00:07:04Z,1l26kd7tulii6x999b3fdxi0a,B. Sample,,,5608748079,56,Center,5608748087,213,1.87,5608748085,212,6.8,5608748077,3,,5608748083,141,59.3,5608748081,140,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221853,27,1,1,1,27,224tl8u2smnbyliroayk69nt0,1,67.1,61.2,2025-03-29T23:08:26.460Z,2025-03-30T00:07:09Z,e8rbnbqkrxia3lgt7agaid4kq,R. Mertz,,,5608500837,141,88.3,5608500843,212,18.5,5608500847,213,1.63,5608500831,140,66.1,5608500825,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221913,28,1,1,1,29,224tl8u2smnbyliroayk69nt0,1,68.0,94.4,2025-03-29T23:08:29.028Z,2025-03-29T23:08:32Z,cxrjwzo1fmvgcw8i820hwn07p,J. Etou,,,5608501147,212,9.4,5608501145,141,80.8,5608501149,213,4.51,5608501143,140,66.2,5608501137,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221891,12,43,1,1,32,c9xffml4i7ihblp1qhus9w3fu,1,0.0,0.0,2025-03-29T23:08:31.721Z,2025-03-30T00:04:04Z,e6uww9a9ssp0n20ksoolesa8l,E. Martínez,,,5608739547,144,83,5608501361,399,e8rbnbqkrxia3lgt7agaid4kq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221929,29,1,1,1,33,224tl8u2smnbyliroayk69nt0,1,64.7,73.9,2025-03-29T23:08:32.749Z,2025-03-30T00:07:21Z,e8rbnbqkrxia3lgt7agaid4kq,R. Mertz,,,5608501239,141,63.7,5608501235,56,Center,5608501243,213,4.19,5608501241,212,8.0,5608501237,140,60.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221947,30,1,1,1,34,224tl8u2smnbyliroayk69nt0,1,60.4,63.1,2025-03-29T23:08:33.764Z,2025-03-29T23:08:34Z,6jsu34146kbtoeco3ue1a7ok4,J. Wälti,,,5608501337,213,0.54,5608501333,141,68.2,5608501331,140,65.9,5608501335,212,6.7,5608501329,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222027,31,1,1,1,37,224tl8u2smnbyliroayk69nt0,1,68.6,65.5,2025-03-29T23:08:37.020Z,2025-03-30T00:07:33Z,1l26kd7tulii6x999b3fdxi0a,B. Sample,,,5608501793,213,0.06,5608501791,212,7.0,5608501789,141,66.1,5608501787,140,75.3,5608501785,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222045,32,1,1,1,39,224tl8u2smnbyliroayk69nt0,1,75.8,65.5,2025-03-29T23:08:39.014Z,2025-03-29T23:08:40Z,c4va4gt5g10zm05qtucgyt889,D. Griffin,,,5608501889,140,88.8,5608501893,212,16.4,5608501891,141,78.8,5608501887,56,Center,5608501895,213,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222061,33,1,1,1,40,224tl8u2smnbyliroayk69nt0,0,88.8,78.8,2025-03-29T23:08:40.268Z,2025-03-30T00:08:21Z,cxrjwzo1fmvgcw8i820hwn07p,J. Etou,,,5608501987,213,5.12,5608501979,140,95.5,5608501981,141,54.6,5608501977,56,Center,5608501985,212,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222281,14,1,1,1,54,c9xffml4i7ihblp1qhus9w3fu,1,11.5,47.2,2025-03-29T23:08:53.393Z,2025-03-29T23:08:56Z,dlcxvrsqhiz8ce0nqnh6h6dw5,M. Van Oekel,,,5608503249,140,18.8,5608503245,123,,5608503251,141,68.1,5608503253,212,16.1,5608503247,56,Back,5608503255,213,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222311,15,1,1,1,57,c9xffml4i7ihblp1qhus9w3fu,0,18.9,69.4,2025-03-29T23:08:56.481Z,2025-03-29T23:08:58Z,8lk5ve59333boqzpcmd0yidck,E. Kos,,,5608503427,140,29.5,5608503429,141,84.7,5608503425,56,Back,5608503431,212,15.2,5608503433,213,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222319,34,8,1,2,0,224tl8u2smnbyliroayk69nt0,1,60.7,9.4,2025-03-29T23:08:59.485Z,2025-03-29T23:08:59Z,69pe2d0b9ughzcn3iqarracr8,L. Biasi,,,5608503477,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222361,36,1,1,2,1,224tl8u2smnbyliroayk69nt0,1,60.8,15.2,2025-03-29T23:09:00.882Z,2025-03-29T23:09:02Z,1445ppxg007udzcj6t20ceyju,R. Ydrach,,,5608503667,141,27.1,5608503663,56,Center,5608503665,140,60.7,5608503673,213,1.58,5608503669,212,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222369,37,1,1,2,2,224tl8u2smnbyliroayk69nt0,0,62.7,29.5,2025-03-29T23:09:02.181Z,2025-03-29T23:09:02Z,c4va4gt5g10zm05qtucgyt889,D. Griffin,,,5608503727,213,1.20,5608503721,140,66.3,5608503723,141,43.9,5608503719,56,Center,5608503725,212,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222399,16,1,1,2,4,c9xffml4i7ihblp1qhus9w3fu,1,37.6,33.6,2025-03-29T23:09:03.705Z,2025-03-29T23:09:04Z,5uv1a9rj5wot3wcgefjoxhkdm,J. Rufe,,,5608503849,141,30.4,5608503853,213,6.08,5608503851,212,10.6,5608503855,1,,5608503847,140,47.5,5608503845,56,Back,5608503843,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222407,17,1,1,2,5,c9xffml4i7ihblp1qhus9w3fu,0,47.5,30.4,2025-03-29T23:09:04.713Z,2025-03-29T23:09:05Z,dlhfyk6fgvqt3zrr5qfj7c6w9,D. McCartney,,,5608503901,56,Center,5608503903,140,57.6,5608503909,213,1.15,5608503905,141,65.4,5608503899,155,,5608503907,212,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222511,38,1,1,2,12,224tl8u2smnbyliroayk69nt0,1,42.9,23.9,2025-03-29T23:09:11.959Z,2025-03-29T23:09:17Z,1l26kd7tulii6x999b3fdxi0a,B. Sample,,,5608504539,140,39.4,5608504543,212,6.9,5608504541,141,15.3,5608504537,56,Back,5608504545,213,4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222519,39,1,1,2,13,224tl8u2smnbyliroayk69nt0,0,39.2,11.1,2025-03-29T23:09:12.917Z,2025-03-30T01:23:18Z,69pe2d0b9ughzcn3iqarracr8,L. Biasi,,,5608504583,141,0.0,5608504589,213,4.97,5608504579,140,41.4,5608504587,212,8.9,5608504575,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222653,18,5,1,2,14,c9xffml4i7ihblp1qhus9w3fu,1,57.4,101.6,2025-03-29T23:09:13.610Z,2025-03-30T01:23:20Z,dglf4uhg5wnc68cg8ijovfmy1,T. Preston,,,5608505269,347,,5608505267,56,Left,5608505317,233,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222529,40,5,1,2,14,224tl8u2smnbyliroayk69nt0,0,42.6,-1.6,2025-03-29T23:09:13.610Z,2025-03-30T01:27:23Z,69pe2d0b9ughzcn3iqarracr8,L. Biasi,,,5608504623,347,,5608504619,56,Back,5608505359,233,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222687,19,1,1,2,22,c9xffml4i7ihblp1qhus9w3fu,1,57.6,100.0,2025-03-29T23:09:22.193Z,2025-03-29T23:09:24Z,bxlh35ww96wgrsgfc8blou50p,M. Mensah,,,5608505421,213,4.60,5608505419,212,11.6,5608505413,56,Left,5608505411,107,,5608505415,140,56.4,5608505417,141,84.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222699,20,1,1,2,24,c9xffml4i7ihblp1qhus9w3fu,0,57.0,81.4,2025-03-29T23:09:24.017Z,2025-03-29T23:10:42Z,dglf4uhg5wnc68cg8ijovfmy1,T. Preston,,,5608512109,189,,5608505779,286,,5608505467,56,Left,5608505775,233,41,5608505469,140,55.3,5608505773,236,,5608505475,213,2.20,5608505471,141,85.0,5608505473,212,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
