id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2792321915,9,1,1,1,29,7neuneh44n9rtsfsh6r0sb9no,1,68.8,76.4,2025-03-29T00:09:05.828Z,2025-03-29T00:09:10Z,23vdzclmewq139wius9oy3m51,S. Herrera,,,5603664289,140,66.7,5603664287,56,Left,5603664295,213,1.94,5603664285,3,,5603664293,212,6.1,5603664291,141,84.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792321921,10,3,1,1,32,7neuneh44n9rtsfsh6r0sb9no,0,76.0,86.2,2025-03-29T00:09:08.760Z,2025-03-29T00:09:16Z,t8bq7sttljbcrrspxz5tnm5l,D. Wanner,,,5603664347,233,9,5603664313,56,Left,5603664315,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792321925,9,7,1,1,32,aj8ytsr2ap33tod0hd8ofzaw9,1,24.0,13.8,2025-03-29T00:09:08.761Z,2025-03-29T00:09:15Z,2imizu6je16b3ssheijycxjh1,H. St Clair,,,5603664337,233,10,5603664335,285,,5603664333,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792321967,11,1,1,1,34,aj8ytsr2ap33tod0hd8ofzaw9,1,29.5,25.9,2025-03-29T00:09:11.017Z,2025-03-29T00:09:15Z,1e1wh213cg8q6lsqa3kvbjdka,G. Colli,,,5603664557,213,6.04,5603664549,56,Back,5603664553,141,25.6,5603664555,212,0.9,5603664551,140,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792321971,12,50,1,1,36,aj8ytsr2ap33tod0hd8ofzaw9,1,30.2,17.2,2025-03-29T00:09:12.369Z,2025-03-29T01:06:50Z,1o7iht0ow216jvo5qm64akup6,S. Stojanovic,,,5603664575,285,,5603664573,56,Back,5603664619,233,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792321947,11,7,1,1,36,7neuneh44n9rtsfsh6r0sb9no,1,69.8,82.8,2025-03-29T00:09:12.370Z,2025-03-29T01:06:50Z,7y9k549gjh2183ylplvwg2q5l,M. Benítez,,,5603664579,233,12,5603664419,167,,5603664421,56,Left,5603664423,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792321953,12,5,1,1,37,7neuneh44n9rtsfsh6r0sb9no,0,69.2,101.4,2025-03-29T00:09:13.418Z,2025-03-29T01:07:30Z,7y9k549gjh2183ylplvwg2q5l,M. Benítez,,,5603664443,56,Left,5603664445,347,,5603664789,233,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792322003,13,5,1,1,37,aj8ytsr2ap33tod0hd8ofzaw9,1,30.8,-1.4,2025-03-29T00:09:13.418Z,2025-03-29T01:07:29Z,1o7iht0ow216jvo5qm64akup6,S. Stojanovic,,,5603664741,56,Back,5603664743,347,,5603664775,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792322025,14,1,1,1,44,aj8ytsr2ap33tod0hd8ofzaw9,1,34.7,0.0,2025-03-29T00:09:20.889Z,2025-03-29T00:09:23Z,5ku33b8dbb20fhqdg8h83rdyi,A. Rogers,,,5603664879,212,18.8,5603664873,56,Back,5603664871,107,,5603664877,141,14.3,5603664881,213,2.55,5603664875,140,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792322047,15,1,1,1,47,aj8ytsr2ap33tod0hd8ofzaw9,1,21.2,18.5,2025-03-29T00:09:23.817Z,2025-03-29T00:09:27Z,d99eakp27bro9g50wpzti8rca,A. Cissoko,,,5603664997,140,10.2,5603664999,141,39.4,5603665001,212,18.3,5603665003,213,2.25,5603664995,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792322075,16,1,1,1,51,aj8ytsr2ap33tod0hd8ofzaw9,1,8.8,47.3,2025-03-29T00:09:27.513Z,2025-03-29T00:09:30Z,4r4a2d3piuh8wusw8ftrsh016,B. Dowd,,,5603665135,212,24.3,5603665133,141,83.0,5603665131,140,8.0,5603665129,56,Back,5603665137,213,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792322125,17,1,1,1,54,aj8ytsr2ap33tod0hd8ofzaw9,1,8.0,83.0,2025-03-29T00:09:30.425Z,2025-03-29T00:09:37Z,2giowiodzndu5m2gwn79iiui1,L. Batista,,,5603665379,1,,5603665371,140,76.0,5603665373,141,36.3,5603665369,56,Center,5603665367,155,,5603665377,213,5.86,5603665375,212,78.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792322129,13,4,1,2,1,7neuneh44n9rtsfsh6r0sb9no,1,21.8,64.6,2025-03-29T00:09:37.395Z,2025-03-29T01:07:00Z,7y9k549gjh2183ylplvwg2q5l,M. Benítez,,,5603665509,233,18,5603665455,285,,5603665447,13,,5603665451,56,Back,5603665453,152,,5603665449,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792322131,18,4,1,2,1,aj8ytsr2ap33tod0hd8ofzaw9,0,78.2,35.4,2025-03-29T00:09:37.396Z,2025-03-29T01:07:00Z,1o7iht0ow216jvo5qm64akup6,S. Stojanovic,,,5603665527,233,13,5603665475,152,,5603665477,286,,5603665469,13,,5603665473,56,Center,5603665471,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792322393,14,1,1,2,33,7neuneh44n9rtsfsh6r0sb9no,1,19.2,71.8,2025-03-29T00:10:09.950Z,2025-03-29T00:10:13Z,9l35nvd07jhy457u1yehm3gx6,D. Vitiello,,,5603666789,152,,5603666795,141,85.9,5603666787,157,,5603666797,212,49.7,5603666785,5,,5603666791,56,Left,5603666793,140,65.6,5603666799,213,0.19,5603666801,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792322397,15,1,1,2,37,7neuneh44n9rtsfsh6r0sb9no,0,65.6,85.9,2025-03-29T00:10:13.790Z,2025-03-29T00:10:15Z,t8bq7sttljbcrrspxz5tnm5l,D. Wanner,,,5603666825,212,10.0,5603666823,141,71.7,5603666821,140,68.2,5603666819,56,Center,5603666817,3,,5603666827,213,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792322423,20,1,1,2,40,aj8ytsr2ap33tod0hd8ofzaw9,0,27.3,46.0,2025-03-29T00:10:16.433Z,2025-03-29T00:21:52Z,do5q14naxm61jw8px8qvacn4k,B. Diallo,,,5603666945,141,57.3,5603666939,157,,5603666943,140,60.1,5603666941,56,Center,5603666951,1,,5603666949,213,0.22,5603666947,212,35.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792322447,16,1,1,2,45,7neuneh44n9rtsfsh6r0sb9no,1,29.0,38.5,2025-03-29T00:10:21.862Z,2025-03-29T00:10:26Z,6e7vgxyzx00c79hw1wg4d01sk,C. Ukaegbu,,,5603667157,213,1.70,5603667155,212,12.5,5603667153,141,56.7,5603667151,140,27.5,5603667149,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792322455,17,1,1,2,49,7neuneh44n9rtsfsh6r0sb9no,0,31.2,65.8,2025-03-29T00:10:26.169Z,2025-03-29T00:10:29Z,b7hyxpaqt3ymfbuah1yop5rai,F. Kleemann,,,5603667215,140,73.1,5603667217,141,81.1,5603667213,56,Left,5603667211,155,,5603667221,213,0.23,5603667223,1,,5603667219,212,45.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792322471,21,12,1,2,54,aj8ytsr2ap33tod0hd8ofzaw9,1,25.1,19.7,2025-03-29T00:10:30.872Z,2025-03-29T00:10:33Z,2imizu6je16b3ssheijycxjh1,H. St Clair,,,5603667307,140,35.3,5603667313,213,1.09,5603667311,212,23.3,5603667305,56,Back,5603667309,141,50.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792322479,22,1,1,2,57,aj8ytsr2ap33tod0hd8ofzaw9,0,35.3,50.1,2025-03-29T00:10:33.432Z,2025-03-29T00:10:34Z,do5q14naxm61jw8px8qvacn4k,B. Diallo,,,5603667371,213,1.03,5603667369,212,14.7,5603667365,140,42.5,5603667361,3,,5603667363,56,Back,5603667367,141,68.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792322505,18,1,1,3,0,7neuneh44n9rtsfsh6r0sb9no,0,53.3,21.9,2025-03-29T00:10:37.181Z,2025-03-29T00:10:38Z,ea8jgqvyafx5wvgd5d70mgx9m,J. Gurr,,,5603667545,56,Center,5603667555,1,,5603667547,140,95.0,5603667549,141,23.6,5603667543,157,,5603667553,213,0.03,5603667551,212,43.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792322575,24,1,1,3,8,aj8ytsr2ap33tod0hd8ofzaw9,1,6.7,59.9,2025-03-29T00:10:44.914Z,2025-03-29T00:10:50Z,4r4a2d3piuh8wusw8ftrsh016,B. Dowd,,,5603667863,56,Back,5603667871,213,4.98,5603667869,212,24.3,5603667867,141,25.5,5603667865,140,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792322595,25,1,1,3,14,aj8ytsr2ap33tod0hd8ofzaw9,1,23.8,22.5,2025-03-29T00:10:50.632Z,2025-03-29T00:10:53Z,5ku33b8dbb20fhqdg8h83rdyi,A. Rogers,,,5603667967,1,,5603667959,140,59.9,5603667963,212,38.3,5603667961,141,30.3,5603667955,56,Center,5603667965,213,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792322601,26,1,1,3,17,aj8ytsr2ap33tod0hd8ofzaw9,1,59.9,30.3,2025-03-29T00:10:53.608Z,2025-03-29T00:33:14Z,1o7iht0ow216jvo5qm64akup6,S. Stojanovic,,,5603667987,141,31.6,5603667983,56,Center,5603667989,212,10.9,5603667991,213,0.08,5603667985,140,70.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792322607,27,1,1,3,17,aj8ytsr2ap33tod0hd8ofzaw9,1,70.2,31.6,2025-03-29T00:10:54.224Z,2025-03-29T00:10:55Z,1d20nyyvmp0doobj6heejkowk,T. Calheira,,,5603668009,140,73.9,5603668015,213,1.15,5603668013,212,9.5,5603668011,141,44.3,5603668007,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792322649,28,1,1,3,18,aj8ytsr2ap33tod0hd8ofzaw9,1,73.9,44.3,2025-03-29T00:10:55.177Z,2025-03-29T00:11:01Z,1o7iht0ow216jvo5qm64akup6,S. Stojanovic,,,5603668205,140,87.1,5603668203,56,Center,5603668209,212,18.3,5603668207,141,26.7,5603668211,213,5.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792322661,29,1,1,3,24,aj8ytsr2ap33tod0hd8ofzaw9,1,86.1,26.7,2025-03-29T00:11:00.848Z,2025-03-29T00:11:03Z,1d20nyyvmp0doobj6heejkowk,T. Calheira,,,5603668309,213,3.44,5603668301,56,Right,5603668305,141,17.0,5603668303,140,65.8,5603668307,212,22.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792322669,30,1,1,3,27,aj8ytsr2ap33tod0hd8ofzaw9,0,65.8,17.0,2025-03-29T00:11:03.536Z,2025-03-29T00:33:39Z,1e1wh213cg8q6lsqa3kvbjdka,G. Colli,,,5603668345,56,Center,5603668355,213,0.67,5603668337,2,,5603668349,140,93.1,5603668341,155,,5603668351,141,50.1,5603668353,212,36.4,5603668357,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792322695,19,12,1,3,33,7neuneh44n9rtsfsh6r0sb9no,1,10.3,51.0,2025-03-29T00:11:10.157Z,2025-03-29T00:34:14Z,9r38gjqqpwb3jue2rna0nwdsl,J. Portillo,,,5603668481,212,12.1,5603668483,213,0.39,5603668477,140,20.9,5603668495,15,,5603668479,141,57.8,5603668475,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792322711,21,61,1,3,34,7neuneh44n9rtsfsh6r0sb9no,1,24.1,56.4,2025-03-29T00:11:10.705Z,2025-03-29T00:35:34Z,9lqozbr0ghw2fhep938p8snah,R. Cicerone,,,5603668539,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792322731,22,61,1,3,35,7neuneh44n9rtsfsh6r0sb9no,1,22.8,70.5,2025-03-29T00:11:11.502Z,2025-03-29T00:35:35Z,do8svqsgqomasmzdwwsgg7qlm,C. Parano,,,5603668661,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792330829,207,1,1,3,37,7neuneh44n9rtsfsh6r0sb9no,1,28.2,41.7,2025-03-29T00:11:13.334Z,2025-03-29T00:36:08Z,9lqozbr0ghw2fhep938p8snah,R. Cicerone,,,5603713917,212,12.9,5603713919,213,4.61,5603713915,141,22.9,5603713911,56,Back,5603713913,140,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792322725,31,4,1,3,38,aj8ytsr2ap33tod0hd8ofzaw9,1,44.0,71.6,2025-03-29T00:11:14.877Z,2025-03-29T01:07:00Z,d99eakp27bro9g50wpzti8rca,A. Cissoko,,,5603668799,233,23,5603668693,56,Back,5603668695,152,,5603668691,13,,5603669097,286,,5603669421,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792322741,23,4,1,3,38,7neuneh44n9rtsfsh6r0sb9no,0,56.0,28.4,2025-03-29T00:11:14.878Z,2025-03-29T00:11:35Z,23vdzclmewq139wius9oy3m51,S. Herrera,,,5603668745,56,Center,5603669295,295,,5603669263,285,,5603668743,13,,5603668777,233,31,5603668747,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792322941,32,1,1,4,8,aj8ytsr2ap33tod0hd8ofzaw9,1,44.5,70.9,2025-03-29T00:11:44.423Z,2025-03-29T00:11:48Z,d99eakp27bro9g50wpzti8rca,A. Cissoko,,,5603669839,5,,5603669845,140,47.4,5603669847,141,43.6,5603669851,213,4.87,5603669843,56,Back,5603669841,152,,5603669849,212,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792322961,33,1,1,4,12,aj8ytsr2ap33tod0hd8ofzaw9,0,47.3,42.7,2025-03-29T00:11:48.367Z,2025-03-29T00:11:51Z,5ku33b8dbb20fhqdg8h83rdyi,A. Rogers,,,5603669947,56,Right,5603669957,1,,5603669953,212,59.8,5603669951,141,13.4,5603669949,140,100.0,5603669955,213,5.94,5603669945,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792323013,24,5,1,4,14,7neuneh44n9rtsfsh6r0sb9no,1,-1.2,79.4,2025-03-29T00:11:51.242Z,2025-03-29T01:07:30Z,do8svqsgqomasmzdwwsgg7qlm,C. Parano,,,5603670205,56,Back,5603671125,233,34,5603670207,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792323173,34,5,1,4,14,aj8ytsr2ap33tod0hd8ofzaw9,0,101.2,20.6,2025-03-29T00:11:51.242Z,2025-03-29T01:07:30Z,5ku33b8dbb20fhqdg8h83rdyi,A. Rogers,,,5603671133,233,24,5603671059,56,Right,5603671061,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792323175,25,1,1,4,43,7neuneh44n9rtsfsh6r0sb9no,0,3.7,50.1,2025-03-29T00:12:20.139Z,2025-03-29T00:12:23Z,9l35nvd07jhy457u1yehm3gx6,D. Vitiello,,,5603671077,74,,5603671067,140,59.0,5603671073,213,0.35,5603671071,212,61.8,5603671069,141,81.2,5603671063,124,,5603671075,1,,5603671065,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792323179,35,1,1,4,47,aj8ytsr2ap33tod0hd8ofzaw9,0,27.6,17.3,2025-03-29T00:12:23.543Z,2025-03-29T00:12:24Z,2imizu6je16b3ssheijycxjh1,H. St Clair,,,5603671095,56,Back,5603671103,212,11.6,5603671101,141,32.5,5603671099,140,32.7,5603671091,3,,5603671105,213,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
