id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2812954985,6,5,1,0,9,kfq8fhwnmycbtad1u0fyefx0,1,28.2,101.3,2025-05-10T20:06:32.295Z,2025-05-10T22:11:19Z,isauuse3yqdwymvfne6ci385,Nico Campuzano,,,5717263937,347,,5717264055,233,6,5717263935,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812954853,6,5,1,0,9,daicfonrbj124lu2la2rctxck,0,71.8,-1.3,2025-05-10T20:06:32.295Z,2025-05-10T20:59:26Z,9ch7zgxlcjiio0xbo2hhl2yvo,N. Fuson,,,5717263281,56,Right,5717264111,233,6,5717263283,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812955033,7,1,1,0,18,kfq8fhwnmycbtad1u0fyefx0,1,37.8,100.0,2025-05-10T20:06:41.403Z,2025-05-10T20:06:43Z,1vnfc466lc01fdfhyvzt8fhii,S. Guediri,,,5717264203,140,43.8,5717264207,212,14.5,5717264201,56,Back,5717264199,107,,5717264209,213,5.16,5717264205,141,82.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812955067,8,1,1,0,20,kfq8fhwnmycbtad1u0fyefx0,0,43.3,81.8,2025-05-10T20:06:43.619Z,2025-05-10T20:06:45Z,2m28wyud6xi78nt8e92p9keay,M. Malango,,,5717264399,56,Center,5717264397,157,,5717264401,140,72.0,5717264403,141,67.5,5717264405,212,31.7,5717264409,1,,5717264407,213,5.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812955107,7,1,1,0,23,daicfonrbj124lu2la2rctxck,1,40.6,22.3,2025-05-10T20:06:46.524Z,2025-05-10T21:03:31Z,f472o0229a6xev8qudf1tyf6y,F. Nodarse,,,5717264619,1,,5717264615,212,29.2,5717264607,157,,5717264617,213,6.25,5717264609,56,Right,5717264613,141,20.7,5717264611,140,68.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812955127,8,1,1,0,25,daicfonrbj124lu2la2rctxck,0,71.3,20.1,2025-05-10T20:06:48.804Z,2025-05-10T20:06:49Z,9txqixk3uycvort3ntzkva1g5,Z. Herivaux,,,5717264739,212,10.4,5717264735,141,33.3,5717264727,56,Center,5717264745,1,,5717264741,213,1.04,5717264723,157,,5717264731,140,76.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812955173,9,1,1,0,26,kfq8fhwnmycbtad1u0fyefx0,1,26.5,68.8,2025-05-10T20:06:49.875Z,2025-05-10T20:06:51Z,2ozy3ijlcknjqk0omzwd58x2i,A. Lara,,,5717264991,141,75.7,5717264987,56,Back,5717264993,212,7.7,5717264989,140,32.3,5717264983,3,,5717264995,213,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812955183,10,44,1,0,28,kfq8fhwnmycbtad1u0fyefx0,1,33.2,80.6,2025-05-10T20:06:51.715Z,2025-05-10T22:13:34Z,6hdas9nshfgbjhj91y3ob8b11,M. Fehr,,,5717265037,285,,5717265143,233,9,5717265035,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812955187,9,44,1,0,28,daicfonrbj124lu2la2rctxck,0,66.8,19.4,2025-05-10T20:06:51.716Z,2025-05-10T22:13:34Z,1diaoqi51gzx23j4d5f8xc8b8,A. Shapiro-Thompson,,,5717265059,286,,5717265057,56,Right,5717265181,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812955191,11,1,1,0,28,kfq8fhwnmycbtad1u0fyefx0,0,31.0,75.9,2025-05-10T20:06:52.043Z,2025-05-10T20:06:53Z,6hdas9nshfgbjhj91y3ob8b11,M. Fehr,,,5717265095,140,34.7,5717265075,3,,5717265101,141,79.9,5717265081,168,,5717265105,212,4.7,5717265089,56,Back,5717265107,213,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812955227,10,61,1,0,30,daicfonrbj124lu2la2rctxck,1,65.4,16.7,2025-05-10T20:06:54.182Z,2025-05-10T21:04:00Z,1diaoqi51gzx23j4d5f8xc8b8,A. Shapiro-Thompson,,,5717265243,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812955335,12,1,1,0,32,daicfonrbj124lu2la2rctxck,1,64.6,11.3,2025-05-10T20:06:55.501Z,2025-05-10T20:06:58Z,dltmx3e4llkcszs22cbfz92xg,J. Kwizera,,,5717265773,56,Back,5717265783,1,,5717265777,141,62.7,5717265781,213,2.19,5717265775,140,40.8,5717265779,212,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812955405,13,1,1,0,35,daicfonrbj124lu2la2rctxck,1,39.5,71.4,2025-05-10T20:06:58.508Z,2025-05-10T20:07:02Z,eg5pbxm7emj77mdcub4xp6m3u,A. Sanchez,,,5717266187,140,20.6,5717266193,213,3.54,5717266191,212,21.5,5717266185,56,Back,5717266189,141,59.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812955523,14,1,1,0,38,daicfonrbj124lu2la2rctxck,1,19.3,56.3,2025-05-10T20:07:02.212Z,2025-05-10T20:07:10Z,arrnspfznjcs9fmng4finp87p,Koke Vegas,,,5717266793,56,Back,5717266801,213,4.84,5717266797,141,31.6,5717266795,140,21.4,5717266799,212,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812955565,15,1,1,0,49,daicfonrbj124lu2la2rctxck,0,21.4,23.0,2025-05-10T20:07:12.396Z,2025-05-10T20:07:13Z,couplbg5c1wzrb14ycd8f7h0p,G. Stoneman,,,5717266989,140,68.9,5717266985,155,,5717267001,1,,5717266991,141,0.0,5717266987,56,Right,5717266993,212,52.5,5717266997,213,5.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812955873,12,5,1,0,50,kfq8fhwnmycbtad1u0fyefx0,1,30.7,101.5,2025-05-10T20:07:13.412Z,2025-05-10T22:11:19Z,ewibb8s7p2l6f5sekvkqu4a5m,A. Rebollar,,,5717268749,56,Back,5717268787,233,16,5717268751,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812955575,16,5,1,0,50,daicfonrbj124lu2la2rctxck,0,69.3,-1.5,2025-05-10T20:07:13.412Z,2025-05-10T22:11:20Z,couplbg5c1wzrb14ycd8f7h0p,G. Stoneman,,,5717267047,347,,5717267045,56,Right,5717268815,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812955895,13,1,1,1,6,kfq8fhwnmycbtad1u0fyefx0,1,32.9,100.0,2025-05-10T20:07:29.467Z,2025-05-10T20:07:31Z,1vnfc466lc01fdfhyvzt8fhii,S. Guediri,,,5717268857,107,,5717268871,213,4.90,5717268861,140,35.3,5717268867,212,13.2,5717268859,56,Back,5717268865,141,82.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812955909,14,1,1,1,7,kfq8fhwnmycbtad1u0fyefx0,1,35.3,82.3,2025-05-10T20:07:30.667Z,2025-05-10T22:21:46Z,9x7teazvqgbnj3pnam6rf2xgp,W. Fonguck,,,5717268961,213,2.30,5717268953,141,86.6,5717268957,212,3.9,5717269007,156,,5717268947,56,Back,5717268949,140,32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812955931,15,43,1,1,8,kfq8fhwnmycbtad1u0fyefx0,1,0.0,0.0,2025-05-10T20:07:31.971Z,2025-05-10T20:08:11Z,1vnfc466lc01fdfhyvzt8fhii,S. Guediri,,,5717273623,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812955977,16,1,1,1,9,kfq8fhwnmycbtad1u0fyefx0,1,32.8,86.6,2025-05-10T20:07:32.651Z,2025-05-10T20:07:35Z,1vnfc466lc01fdfhyvzt8fhii,S. Guediri,,,5717269397,1,,5717269395,213,6.10,5717269391,141,76.4,5717269387,56,Center,5717269393,212,37.1,5717269385,155,,5717269389,140,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812955991,17,61,1,1,11,kfq8fhwnmycbtad1u0fyefx0,0,64.4,80.0,2025-05-10T20:07:34.978Z,2025-05-10T20:07:35Z,6d45ccicyo6dregi9cm4ad4kq,I. Paul,,,5717269457,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812956051,18,1,1,1,12,daicfonrbj124lu2la2rctxck,1,41.9,22.4,2025-05-10T20:07:35.652Z,2025-05-10T21:04:37Z,bug5x187ehj0apzl11lrl3ip6,R. Hope-Gund,,,5717269779,213,2.15,5717269775,212,17.5,5717269769,140,32.8,5717269771,141,43.9,5717269767,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812956123,19,1,1,1,14,daicfonrbj124lu2la2rctxck,1,31.4,49.6,2025-05-10T20:07:38.091Z,2025-05-10T20:07:41Z,f472o0229a6xev8qudf1tyf6y,F. Nodarse,,,5717270135,213,3.27,5717270127,56,Back,5717270129,140,11.4,5717270131,141,45.5,5717270133,212,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812956197,20,1,1,1,20,daicfonrbj124lu2la2rctxck,1,11.7,36.1,2025-05-10T20:07:44.238Z,2025-05-10T20:07:46Z,arrnspfznjcs9fmng4finp87p,Koke Vegas,,,5717270557,155,,5717270567,213,5.82,5717270559,56,Back,5717270565,212,42.9,5717270569,1,,5717270563,141,7.9,5717270561,140,48.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812956203,21,1,1,1,22,daicfonrbj124lu2la2rctxck,0,48.3,7.9,2025-05-10T20:07:45.860Z,2025-05-10T20:07:47Z,dltmx3e4llkcszs22cbfz92xg,J. Kwizera,,,5717270583,168,,5717270587,140,64.4,5717270593,213,0.15,5717270591,212,17.1,5717270585,56,Right,5717270589,141,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812956217,18,1,1,1,22,kfq8fhwnmycbtad1u0fyefx0,0,33.5,83.5,2025-05-10T20:07:46.243Z,2025-05-10T20:07:47Z,b32tamno8dpk5te2oq7d9a6t,C. Guzmán,,,5717270687,213,6.22,5717270685,212,36.7,5717270689,1,,5717270677,157,,5717270681,140,68.4,5717270683,141,80.0,5717270679,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812956257,22,1,1,1,24,daicfonrbj124lu2la2rctxck,0,41.0,15.9,2025-05-10T20:07:47.948Z,2025-05-10T20:07:48Z,bug5x187ehj0apzl11lrl3ip6,R. Hope-Gund,,,5717270849,3,,5717270855,141,24.6,5717270859,213,0.57,5717270853,140,49.7,5717270857,212,10.9,5717270851,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812956287,19,1,1,1,26,kfq8fhwnmycbtad1u0fyefx0,0,56.1,81.8,2025-05-10T20:07:49.301Z,2025-05-10T20:07:50Z,9x7teazvqgbnj3pnam6rf2xgp,W. Fonguck,,,5717271063,212,11.6,5717271051,140,65.3,5717271057,141,72.3,5717271067,213,5.69,5717271045,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812956325,23,1,1,1,27,daicfonrbj124lu2la2rctxck,0,38.9,26.4,2025-05-10T20:07:50.804Z,2025-05-10T20:07:51Z,bug5x187ehj0apzl11lrl3ip6,R. Hope-Gund,,,5717271251,56,Center,5717271257,212,28.7,5717271253,140,66.1,5717271259,213,0.11,5717271255,141,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812956395,20,1,1,1,28,kfq8fhwnmycbtad1u0fyefx0,0,35.6,79.1,2025-05-10T20:07:51.779Z,2025-05-10T20:07:56Z,b32tamno8dpk5te2oq7d9a6t,C. Guzmán,,,5717271657,1,,5717271647,56,Center,5717271645,157,,5717271655,213,5.51,5717271649,140,67.6,5717271653,212,46.7,5717271651,141,31.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812956421,24,44,1,1,32,daicfonrbj124lu2la2rctxck,1,30.1,65.0,2025-05-10T20:07:55.402Z,2025-05-10T22:13:35Z,f472o0229a6xev8qudf1tyf6y,F. Nodarse,,,5717271801,285,,5717271799,56,Back,5717271869,233,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812956411,21,44,1,1,32,kfq8fhwnmycbtad1u0fyefx0,0,69.9,35.0,2025-05-10T20:07:55.403Z,2025-05-10T22:13:35Z,a8ngovgs2qfu5udzb97kelg16,E. Bryant,,,5717271907,233,24,5717271743,56,Center,5717271745,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812956505,25,1,1,1,32,daicfonrbj124lu2la2rctxck,1,26.8,59.9,2025-05-10T20:07:55.499Z,2025-05-10T22:14:33Z,f472o0229a6xev8qudf1tyf6y,F. Nodarse,,,5717272267,141,45.2,5717272271,212,11.3,5717272273,213,5.20,5717272263,140,31.8,5717272255,3,,5717272259,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812956511,26,4,1,1,36,daicfonrbj124lu2la2rctxck,1,32.7,28.8,2025-05-10T20:08:00.228Z,2025-05-10T22:10:56Z,1diaoqi51gzx23j4d5f8xc8b8,A. Shapiro-Thompson,,,5717272365,265,,5717272359,13,,5717272367,285,,5717272521,233,22,5717272361,56,Back,5717272363,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812956521,22,4,1,1,36,kfq8fhwnmycbtad1u0fyefx0,0,67.3,71.2,2025-05-10T20:08:00.229Z,2025-05-10T22:10:56Z,9x7teazvqgbnj3pnam6rf2xgp,W. Fonguck,,,5717272499,13,,5717272503,152,,5717272571,233,26,5717272501,56,Center,5717272575,286,,5717272505,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812956757,27,1,1,1,44,daicfonrbj124lu2la2rctxck,1,31.5,33.7,2025-05-10T20:08:07.556Z,2025-05-10T20:08:12Z,bug5x187ehj0apzl11lrl3ip6,R. Hope-Gund,,,5717273699,213,1.70,5717273695,141,75.3,5717273683,5,,5717273697,212,28.5,5717273685,155,,5717273689,152,,5717273693,140,28.1,5717273691,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812956791,28,1,1,1,48,daicfonrbj124lu2la2rctxck,1,28.9,76.9,2025-05-10T20:08:12.180Z,2025-05-10T20:08:13Z,f472o0229a6xev8qudf1tyf6y,F. Nodarse,,,5717273879,213,1.22,5717273875,141,94.1,5717273877,212,12.5,5717273873,140,33.0,5717273871,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812956815,29,1,1,1,50,daicfonrbj124lu2la2rctxck,1,33.0,93.6,2025-05-10T20:08:13.644Z,2025-05-10T20:08:14Z,eg5pbxm7emj77mdcub4xp6m3u,A. Sanchez,,,5717273995,212,6.8,5717273989,56,Back,5717273991,140,34.2,5717273997,213,4.90,5717273993,141,83.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812956953,30,1,1,1,51,daicfonrbj124lu2la2rctxck,1,34.2,83.8,2025-05-10T20:08:14.492Z,2025-05-10T20:08:20Z,9txqixk3uycvort3ntzkva1g5,Z. Herivaux,,,5717274741,141,95.0,5717274737,140,43.7,5717274745,212,12.6,5717274733,56,Back,5717274749,213,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812956963,31,1,1,1,56,daicfonrbj124lu2la2rctxck,0,43.3,95.4,2025-05-10T20:08:20.124Z,2025-05-10T21:05:29Z,9ch7zgxlcjiio0xbo2hhl2yvo,N. Fuson,,,5717274797,213,0.47,5717274793,141,100.0,5717274795,212,9.1,5717274785,56,Left,5717274789,140,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812957165,23,5,1,1,57,kfq8fhwnmycbtad1u0fyefx0,1,50.7,-1.2,2025-05-10T20:08:20.895Z,2025-05-10T22:11:20Z,f2nxaemhqi8kbtbejnqekgd4a,J. Garcia,,,5717275995,347,,5717276043,233,32,5717275993,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812956977,32,5,1,1,57,daicfonrbj124lu2la2rctxck,0,49.3,101.2,2025-05-10T20:08:20.895Z,2025-05-10T22:11:20Z,1diaoqi51gzx23j4d5f8xc8b8,A. Shapiro-Thompson,,,5717274865,56,Back,5717274867,347,,5717276065,233,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812957247,24,1,1,2,8,kfq8fhwnmycbtad1u0fyefx0,1,52.9,0.0,2025-05-10T20:08:31.434Z,2025-05-10T20:08:35Z,f2nxaemhqi8kbtbejnqekgd4a,J. Garcia,,,5717276451,1,,5717276441,56,Center,5717276443,140,71.6,5717276445,141,25.0,5717276449,213,0.74,5717276447,212,26.6,5717276439,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812957283,25,61,1,2,10,kfq8fhwnmycbtad1u0fyefx0,1,70.7,26.7,2025-05-10T20:08:33.379Z,2025-05-10T22:16:21Z,ewibb8s7p2l6f5sekvkqu4a5m,A. Rebollar,,,5717276609,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812957295,26,1,1,2,11,kfq8fhwnmycbtad1u0fyefx0,0,69.5,18.5,2025-05-10T20:08:34.418Z,2025-05-10T22:16:27Z,a8ngovgs2qfu5udzb97kelg16,E. Bryant,,,5717276655,56,Center,5717276665,212,7.3,5717276669,213,0.47,5717276657,140,75.7,5717276661,141,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812957307,33,1,1,2,13,daicfonrbj124lu2la2rctxck,0,32.4,86.6,2025-05-10T20:08:37.252Z,2025-05-10T22:15:10Z,f472o0229a6xev8qudf1tyf6y,F. Nodarse,,,5717276709,213,0.39,5717276705,141,94.7,5717276707,212,14.6,5717276711,1,,5717276699,157,,5717276701,56,Back,5717276703,140,45.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813013457,382,61,1,2,14,kfq8fhwnmycbtad1u0fyefx0,1,65.8,11.1,2025-05-10T20:08:37.466Z,2025-05-10T22:15:11Z,ewibb8s7p2l6f5sekvkqu4a5m,A. Rebollar,,,5717598087,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
