id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2800387775,9,1,1,0,22,b1rpb2ox52uxcmjrsnqd95pk5,1,29.8,45.3,2025-04-13T02:09:24.009Z,2025-04-13T02:09:26Z,28a0n53jofx4bk7vd74yqcb11,S. Carroll,,,5647930963,212,14.9,5647930965,213,5.06,5647930957,56,Back,5647930959,140,34.6,5647930961,141,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800387871,10,1,1,0,24,b1rpb2ox52uxcmjrsnqd95pk5,1,35.2,18.6,2025-04-13T02:09:26.520Z,2025-04-13T02:09:35Z,9jc85hbpruze4v8u1pjzsjt62,M. Bryant,,,5647931375,141,30.7,5647931381,1,,5647931371,56,Center,5647931369,155,,5647931373,140,94.7,5647931379,213,0.13,5647931377,212,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800387875,11,61,1,0,30,b1rpb2ox52uxcmjrsnqd95pk5,0,95.2,31.9,2025-04-13T02:09:32.168Z,2025-04-13T02:09:42Z,70axpxvnx40ax7oxri5pmz9qs,C. Rutz,,,5647931397,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800387849,3,61,1,0,31,2iwybwokic7nmr1t33abdbjoq,0,6.0,70.8,2025-04-13T02:09:33.297Z,2025-04-13T02:09:33Z,8pwslovfo5ostdhvpx53cxclw,P. Boye,,,5647931281,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800387879,4,6,1,0,33,2iwybwokic7nmr1t33abdbjoq,0,1.0,66.2,2025-04-13T02:09:35.456Z,2025-04-13T02:09:42Z,8pwslovfo5ostdhvpx53cxclw,P. Boye,,,5647931409,56,Back,5647931523,233,12,5647931411,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800387883,12,6,1,0,33,b1rpb2ox52uxcmjrsnqd95pk5,1,99.0,33.8,2025-04-13T02:09:35.456Z,2025-04-13T04:33:32Z,70axpxvnx40ax7oxri5pmz9qs,C. Rutz,,,5647931489,75,,5647931487,56,Center,5647931499,233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800388141,13,1,1,1,3,b1rpb2ox52uxcmjrsnqd95pk5,0,99.5,0.5,2025-04-13T02:10:05.207Z,2025-04-13T02:10:07Z,9irc1xmfpa2395qef78rfyjje,J. Cedeño,,,5647932657,2,,5647932659,6,,5647932665,56,Center,5647932675,1,,5647932661,155,,5647932673,213,1.88,5647932663,223,,5647932669,141,66.7,5647932667,140,85.8,5647932671,212,47.3,,,,,,,,,,,,,,,,,,,,,,,,
2800388147,5,12,1,1,5,2iwybwokic7nmr1t33abdbjoq,1,12.9,34.4,2025-04-13T02:10:07.431Z,2025-04-13T02:10:18Z,8pwslovfo5ostdhvpx53cxclw,P. Boye,,,5647932705,140,23.9,5647932711,213,5.63,5647932709,212,14.5,5647932707,141,21.5,5647932735,15,,5647932703,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800388201,14,1,1,1,12,b1rpb2ox52uxcmjrsnqd95pk5,0,59.5,77.4,2025-04-13T02:10:13.992Z,2025-04-13T04:46:59Z,7jizpx7yu2zxvcrnf9z4408vd,R. Williams,,,5647932995,212,25.1,5647932987,3,,5647932989,56,Left,5647932991,140,82.6,5647932993,141,86.8,5647932997,213,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800388245,6,12,1,1,16,2iwybwokic7nmr1t33abdbjoq,1,5.8,13.3,2025-04-13T02:10:18.056Z,2025-04-13T02:10:20Z,9xjixcn3jhf7m75dl49u0qe7e,C. Smith,,,5647933179,212,14.0,5647933177,141,0.0,5647933173,56,Back,5647933193,167,,5647933175,140,15.2,5647933181,213,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800388281,15,5,1,1,16,b1rpb2ox52uxcmjrsnqd95pk5,1,79.6,101.4,2025-04-13T02:10:18.632Z,2025-04-13T02:10:24Z,7jizpx7yu2zxvcrnf9z4408vd,R. Williams,,,5647933319,56,Left,5647933353,233,7,5647933321,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800388249,7,5,1,1,17,2iwybwokic7nmr1t33abdbjoq,0,25.6,-1.5,2025-04-13T02:10:19.313Z,2025-04-13T02:10:23Z,9xjixcn3jhf7m75dl49u0qe7e,C. Smith,,,5647933187,347,,5647933377,233,15,5647933185,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800388317,16,1,1,1,20,b1rpb2ox52uxcmjrsnqd95pk5,1,64.1,100.0,2025-04-13T02:10:22.849Z,2025-04-13T02:10:26Z,7lnb14nmxv9gggyedv3tydvdg,D. Amoo-Mensah,,,5647933515,56,Left,5647933521,212,11.5,5647933513,107,,5647933519,141,85.8,5647933517,140,60.5,5647933523,213,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800388335,17,1,1,1,24,b1rpb2ox52uxcmjrsnqd95pk5,1,60.4,89.8,2025-04-13T02:10:26.466Z,2025-04-13T03:08:20Z,62d3tsany7t5t2bwm4cx9pbai,A. Villanueva,,,5647933583,140,61.0,5647933589,213,4.77,5647933587,212,11.8,5647933581,56,Center,5647933585,141,72.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800388347,18,1,1,1,26,b1rpb2ox52uxcmjrsnqd95pk5,1,61.0,72.4,2025-04-13T02:10:28.479Z,2025-04-13T02:10:30Z,1nw1tmtpagpr647obkvygwgr9,Ryan Williams,,,5647933653,212,12.8,5647933651,141,89.2,5647933649,140,55.6,5647933655,213,2.03,5647933647,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800388373,19,1,1,1,27,b1rpb2ox52uxcmjrsnqd95pk5,1,55.6,89.2,2025-04-13T02:10:29.815Z,2025-04-13T03:08:23Z,62d3tsany7t5t2bwm4cx9pbai,A. Villanueva,,,5647933785,141,76.0,5647933781,56,Back,5647933793,213,3.55,5647933783,140,35.9,5647933787,212,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800388389,20,1,1,1,29,b1rpb2ox52uxcmjrsnqd95pk5,1,33.4,66.7,2025-04-13T02:10:31.760Z,2025-04-13T02:10:35Z,28a0n53jofx4bk7vd74yqcb11,S. Carroll,,,5647933847,140,38.7,5647933849,141,40.3,5647933851,212,18.8,5647933853,213,5.01,5647933845,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800388425,21,1,1,1,33,b1rpb2ox52uxcmjrsnqd95pk5,1,43.6,33.1,2025-04-13T02:10:35.783Z,2025-04-13T02:10:42Z,9jc85hbpruze4v8u1pjzsjt62,M. Bryant,,,5647934041,56,Right,5647934045,141,12.6,5647934049,213,5.60,5647934047,212,22.0,5647934043,140,59.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800388427,22,1,1,1,40,b1rpb2ox52uxcmjrsnqd95pk5,0,62.6,11.2,2025-04-13T02:10:42.367Z,2025-04-13T02:10:48Z,7jizpx7yu2zxvcrnf9z4408vd,R. Williams,,,5647934061,213,6.19,5647934275,189,,5647934119,286,,5647934055,140,66.7,5647934113,236,,5647934057,141,10.6,5647934059,212,4.3,5647934115,233,8,5647934053,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800388437,8,74,1,1,40,2iwybwokic7nmr1t33abdbjoq,1,25.6,95.6,2025-04-13T02:10:42.368Z,2025-04-13T04:57:43Z,7lzda1yh1eixs7rqn46y1ulpm,E. Cuello,,,5647934097,285,,5647934263,189,,5647934137,233,22,5647934095,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800388449,9,5,1,1,43,2iwybwokic7nmr1t33abdbjoq,0,29.1,100.6,2025-04-13T02:10:45.119Z,2025-04-13T04:33:56Z,7lzda1yh1eixs7rqn46y1ulpm,E. Cuello,,,5647934145,56,Back,5647934327,233,23,5647934147,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800388489,23,5,1,1,43,b1rpb2ox52uxcmjrsnqd95pk5,1,70.9,-0.6000000000000001,2025-04-13T02:10:45.575Z,2025-04-13T04:33:55Z,7jizpx7yu2zxvcrnf9z4408vd,R. Williams,,,5647934267,347,,5647934265,56,Right,5647934277,233,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800388539,24,1,1,1,46,b1rpb2ox52uxcmjrsnqd95pk5,1,70.2,0.0,2025-04-13T02:10:48.876Z,2025-04-13T02:10:52Z,7jizpx7yu2zxvcrnf9z4408vd,R. Williams,,,5647934525,141,7.2,5647934515,107,,5647934517,56,Right,5647934521,140,59.2,5647934529,213,2.71,5647934527,212,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800388551,25,1,1,1,50,b1rpb2ox52uxcmjrsnqd95pk5,1,57.8,9.7,2025-04-13T02:10:52.043Z,2025-04-13T02:10:54Z,9jc85hbpruze4v8u1pjzsjt62,M. Bryant,,,5647934593,140,36.4,5647934597,212,30.1,5647934599,213,2.41,5647934595,141,39.1,5647934591,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800388563,26,1,1,1,52,b1rpb2ox52uxcmjrsnqd95pk5,1,36.3,39.1,2025-04-13T02:10:54.209Z,2025-04-13T02:10:56Z,28a0n53jofx4bk7vd74yqcb11,S. Carroll,,,5647934665,212,21.1,5647934659,56,Back,5647934661,140,41.0,5647934663,141,69.3,5647934667,213,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800388587,27,1,1,1,53,b1rpb2ox52uxcmjrsnqd95pk5,1,41.0,69.3,2025-04-13T02:10:55.919Z,2025-04-13T02:10:59Z,7lnb14nmxv9gggyedv3tydvdg,D. Amoo-Mensah,,,5647934785,56,Left,5647934793,213,0.94,5647934791,212,19.1,5647934789,141,91.9,5647934787,140,51.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800388645,28,1,1,1,57,b1rpb2ox52uxcmjrsnqd95pk5,1,51.8,91.9,2025-04-13T02:10:59.615Z,2025-04-13T02:11:05Z,62d3tsany7t5t2bwm4cx9pbai,A. Villanueva,,,5647935105,212,15.8,5647935099,56,Back,5647935101,140,38.3,5647935103,141,81.7,5647935107,213,3.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800388653,29,1,1,2,3,b1rpb2ox52uxcmjrsnqd95pk5,1,40.8,81.9,2025-04-13T02:11:05.503Z,2025-04-13T02:11:06Z,7lnb14nmxv9gggyedv3tydvdg,D. Amoo-Mensah,,,5647935133,56,Back,5647935139,212,15.0,5647935137,141,62.8,5647935141,213,4.19,5647935135,140,33.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800388681,30,1,1,2,4,b1rpb2ox52uxcmjrsnqd95pk5,1,33.6,62.8,2025-04-13T02:11:06.559Z,2025-04-13T02:11:11Z,28a0n53jofx4bk7vd74yqcb11,S. Carroll,,,5647935303,212,63.5,5647935307,1,,5647935297,56,Right,5647935299,140,84.9,5647935301,141,13.3,5647935295,155,,5647935305,213,5.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800388685,31,50,1,2,8,b1rpb2ox52uxcmjrsnqd95pk5,1,81.7,10.2,2025-04-13T02:11:10.853Z,2025-04-13T04:57:45Z,7jizpx7yu2zxvcrnf9z4408vd,R. Williams,,,5647935315,56,Right,5647935369,233,10,5647935317,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800388683,10,7,1,2,8,2iwybwokic7nmr1t33abdbjoq,1,18.3,89.8,2025-04-13T02:11:10.854Z,2025-04-13T04:57:45Z,7lzda1yh1eixs7rqn46y1ulpm,E. Cuello,,,5647935337,233,31,5647935311,56,Back,5647935313,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800388701,12,1,1,2,10,2iwybwokic7nmr1t33abdbjoq,0,23.9,87.2,2025-04-13T02:11:12.096Z,2025-04-13T02:11:13Z,7lzda1yh1eixs7rqn46y1ulpm,E. Cuello,,,5647935413,213,0.03,5647935411,212,32.6,5647935405,56,Left,5647935407,140,54.9,5647935409,141,88.7,5647935415,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800388731,33,1,1,2,14,b1rpb2ox52uxcmjrsnqd95pk5,0,39.5,16.0,2025-04-13T02:11:16.519Z,2025-04-13T02:11:17Z,9jc85hbpruze4v8u1pjzsjt62,M. Bryant,,,5647935529,140,43.6,5647935527,56,Back,5647935533,212,11.4,5647935535,213,1.18,5647935531,141,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800388737,13,8,1,2,16,2iwybwokic7nmr1t33abdbjoq,1,44.7,66.2,2025-04-13T02:11:18.055Z,2025-04-13T02:11:18Z,74bhj4xi5zgq6evsr4c766p04,H. Avayevu,,,5647935553,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800388751,14,3,1,2,18,2iwybwokic7nmr1t33abdbjoq,1,62.1,77.1,2025-04-13T02:11:19.961Z,2025-04-13T04:57:58Z,6dpxvfpnaua6y4gevop02qc8a,J. Margaritha,,,5647935595,286,,5647935675,233,34,5647935593,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800388761,34,45,1,2,18,b1rpb2ox52uxcmjrsnqd95pk5,0,37.9,22.9,2025-04-13T02:11:19.961Z,2025-04-13T04:57:58Z,1nw1tmtpagpr647obkvygwgr9,Ryan Williams,,,5647935665,285,,5647935691,233,14,5647935663,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800389035,18,3,1,2,23,2iwybwokic7nmr1t33abdbjoq,1,63.0,61.9,2025-04-13T02:11:25.527Z,2025-04-13T04:57:59Z,6dpxvfpnaua6y4gevop02qc8a,J. Margaritha,,,5647937015,56,Center,5647937893,233,42,5647937017,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800389191,42,45,1,2,23,b1rpb2ox52uxcmjrsnqd95pk5,0,37.0,38.1,2025-04-13T02:11:25.527Z,2025-04-13T04:57:59Z,6rnuvzwbmj7qv80xlwkjvqnkl,J. Chapman,,,5647937841,285,,5647937917,233,18,5647937839,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800388809,16,13,1,2,25,2iwybwokic7nmr1t33abdbjoq,1,78.8,49.0,2025-04-13T02:11:27.928Z,2025-04-13T02:12:29Z,6dpxvfpnaua6y4gevop02qc8a,J. Margaritha,,,5647936115,20,,5647935913,56,Center,5647936245,458,,5647936243,215,,5647935911,18,,5647936237,81,,5647936239,102,42.4,5647936249,231,50.4,5647935909,22,,5647936247,230,99.0,5647936241,103,61.1,,,,,,,,,,,,,,,,,,,,,
2800389023,35,5,1,2,26,b1rpb2ox52uxcmjrsnqd95pk5,1,-0.6000000000000001,47.7,2025-04-13T02:11:28.042Z,2025-04-13T02:11:56Z,6rnuvzwbmj7qv80xlwkjvqnkl,J. Chapman,,,5647936981,56,Back,5647937001,233,17,5647936983,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800388839,17,5,1,2,28,2iwybwokic7nmr1t33abdbjoq,0,100.6,53.6,2025-04-13T02:11:30.191Z,2025-04-13T02:11:55Z,6dpxvfpnaua6y4gevop02qc8a,J. Margaritha,,,5647936083,56,Center,5647936085,346,,5647937011,233,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800389045,36,1,1,2,53,b1rpb2ox52uxcmjrsnqd95pk5,1,3.6,45.7,2025-04-13T02:11:55.551Z,2025-04-13T02:11:57Z,974nt2pay3nvbe8uyzx0qdhxw,C. Herrera,,,5647937053,141,37.0,5647937059,213,5.74,5647937057,212,11.4,5647937041,124,,5647937049,140,12.9,5647937045,56,Back,5647937067,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800389057,37,1,1,2,55,b1rpb2ox52uxcmjrsnqd95pk5,1,14.0,36.7,2025-04-13T02:11:56.991Z,2025-04-13T02:11:58Z,28a0n53jofx4bk7vd74yqcb11,S. Carroll,,,5647937113,212,17.1,5647937111,141,61.8,5647937107,56,Back,5647937109,140,15.4,5647937115,213,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800389097,38,1,1,2,58,b1rpb2ox52uxcmjrsnqd95pk5,1,18.4,62.4,2025-04-13T02:12:00.015Z,2025-04-13T02:12:03Z,7lnb14nmxv9gggyedv3tydvdg,D. Amoo-Mensah,,,5647937375,56,Back,5647937383,213,0.79,5647937381,212,29.0,5647937377,140,37.9,5647937379,141,92.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800389121,39,1,1,3,1,b1rpb2ox52uxcmjrsnqd95pk5,1,39.0,93.1,2025-04-13T02:12:03.807Z,2025-04-13T03:10:10Z,62d3tsany7t5t2bwm4cx9pbai,A. Villanueva,,,5647937535,212,47.4,5647937531,140,83.7,5647937533,141,82.9,5647937539,1,,5647937537,213,6.14,5647937529,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800389149,40,61,1,3,5,b1rpb2ox52uxcmjrsnqd95pk5,0,83.7,82.9,2025-04-13T02:12:07.118Z,2025-04-13T04:45:27Z,tc5nl1hz1w06jobp5ckktr3e,J. Adebayo-Smith,,,5647937707,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800389141,19,12,1,3,6,2iwybwokic7nmr1t33abdbjoq,1,13.6,15.2,2025-04-13T02:12:08.815Z,2025-04-13T02:12:11Z,8pwslovfo5ostdhvpx53cxclw,P. Boye,,,5647937673,212,12.6,5647937711,167,,5647937671,141,0.0,5647937669,140,18.3,5647937675,213,5.11,5647937667,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
