id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value
2793221137,4,61,1,0,9,8cpjplodpphtkbt0hq8sr8mqs,1,15.2,87.3,2025-03-29T23:07:37.452Z,2025-03-29T23:08:14Z,637c2iedo7modc3ekt36c2m7d,A. Stanley,,,5608496961,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221153,5,6,1,0,12,8cpjplodpphtkbt0hq8sr8mqs,0,16.0,95.6,2025-03-29T23:07:40.601Z,2025-03-30T01:21:30Z,637c2iedo7modc3ekt36c2m7d,A. Stanley,,,5608497103,73,,5608782187,233,8,5608497101,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221111,8,6,1,0,12,ak0rmms5xl49w57i2rvid1tk9,1,84.0,4.4,2025-03-29T23:07:40.601Z,2025-03-30T01:21:30Z,4ccmn07kk0thmg6apfxgivmc5,J. Dhillon,,,5608782147,233,5,5608497327,73,,5608496807,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221779,9,1,1,0,53,ak0rmms5xl49w57i2rvid1tk9,0,99.5,0.7,2025-03-29T23:08:21.830Z,2025-03-29T23:08:26Z,6lehq7bt5okf4y9lbxan577x1,C. Adams,,,5608500515,212,34.7,5608500507,140,97.8,5608500497,223,,5608500521,1,,5608500493,6,,5608500503,56,Center,5608500495,155,,5608500517,213,1.62,5608500491,2,5608500575,233,6,5608500511,141,51.6,,,,,,,,,,,,,,,,,,,,,,,
2793221785,6,11,1,0,57,8cpjplodpphtkbt0hq8sr8mqs,1,3.2,51.6,2025-03-29T23:08:25.649Z,2025-03-29T23:08:26Z,d38osra1p83cgtmrwqt6w60yy,H. Sulte,,,5608500541,88,,5608500593,233,9,5608500539,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221911,7,1,1,1,1,8cpjplodpphtkbt0hq8sr8mqs,0,15.1,46.6,2025-03-29T23:08:29.649Z,2025-03-29T23:08:32Z,d38osra1p83cgtmrwqt6w60yy,H. Sulte,,,5608501129,56,Center,5608501127,199,,5608501135,212,61.6,5608501141,1,,5608501139,213,6.14,5608501133,141,34.0,5608501131,140,73.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221941,10,12,1,1,6,ak0rmms5xl49w57i2rvid1tk9,1,24.5,73.0,2025-03-29T23:08:34.150Z,2025-03-30T00:16:00Z,2h53fzt0ubszmkuwfnez8n622,A. Ward,,,5608501349,15,,5608501297,56,Back,5608501303,212,17.1,5608501305,213,1.17,5608501301,141,96.2,5608501299,140,30.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222025,11,1,1,1,10,ak0rmms5xl49w57i2rvid1tk9,0,30.8,96.2,2025-03-29T23:08:38.553Z,2025-03-30T00:19:41Z,drbcpa8qvrgin42q3it10nieh,Z. Zandi,,,5608501759,155,,5608501761,56,Left,5608501775,1,,5608501769,213,6.11,5608501767,212,37.9,5608501763,140,66.3,5608501765,141,86.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222067,8,1,1,1,12,8cpjplodpphtkbt0hq8sr8mqs,1,26.7,14.9,2025-03-29T23:08:40.097Z,2025-03-29T23:08:41Z,97d0drjb3zqkh5ozfufg17nys,P. Hogan,,,5608502013,155,,5608502017,140,57.4,5608502021,212,32.6,5608502015,56,Center,5608502025,1,,5608502019,141,22.1,5608502023,213,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222107,10,1,1,1,13,8cpjplodpphtkbt0hq8sr8mqs,1,57.4,22.1,2025-03-29T23:08:41.765Z,2025-03-29T23:09:30Z,2co6fedrz8anjzy9ise76dplh,J. Blake,,,5608502247,213,2.85,5608502241,140,39.8,5608502243,141,30.3,5608502245,212,19.3,5608502239,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222133,11,1,1,1,16,8cpjplodpphtkbt0hq8sr8mqs,1,40.7,29.4,2025-03-29T23:08:44.953Z,2025-03-29T23:09:28Z,e93nozniig2wriw9doit6a4tl,J. Murphy,,,5608502385,141,55.7,5608502383,140,26.6,5608502387,212,23.2,5608502389,213,2.26,5608502381,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222171,12,1,1,1,17,8cpjplodpphtkbt0hq8sr8mqs,1,26.6,55.7,2025-03-29T23:08:46.002Z,2025-03-29T23:08:48Z,54yx5xkqrktd2hp0sxjx6hm8l,J. Musa,,,5608502615,212,14.6,5608502609,56,Back,5608502617,213,0.34,5608502611,140,39.7,5608502613,141,62.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222223,13,1,1,1,20,8cpjplodpphtkbt0hq8sr8mqs,1,37.6,68.2,2025-03-29T23:08:48.736Z,2025-03-29T23:08:52Z,9tispdm7tc3te31awsfcmd905,A. Quinn,,,5608502929,56,Left,5608502935,212,30.1,5608502933,141,93.3,5608502931,140,61.2,5608502937,213,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222259,14,1,1,1,24,8cpjplodpphtkbt0hq8sr8mqs,0,65.2,92.7,2025-03-29T23:08:52.297Z,2025-03-29T23:09:57Z,637c2iedo7modc3ekt36c2m7d,A. Stanley,,,5608503109,213,5.21,5608503095,56,Center,5608503099,141,64.0,5608503105,212,22.2,5608503097,140,75.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222345,13,1,1,1,25,ak0rmms5xl49w57i2rvid1tk9,1,24.9,26.1,2025-03-29T23:08:53.437Z,2025-03-30T00:22:40Z,drbcpa8qvrgin42q3it10nieh,Z. Zandi,,,5608503597,141,33.1,5608503599,212,15.0,5608503593,56,Back,5608503595,140,38.4,5608503601,213,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222265,15,43,1,1,26,8cpjplodpphtkbt0hq8sr8mqs,1,0.0,0.0,2025-03-29T23:08:54.169Z,2025-03-29T23:09:55Z,2co6fedrz8anjzy9ise76dplh,J. Blake,,,5608508275,144,61,5608503131,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222347,14,50,1,1,26,ak0rmms5xl49w57i2rvid1tk9,1,39.6,31.4,2025-03-29T23:08:54.965Z,2025-03-30T00:22:42Z,4ccmn07kk0thmg6apfxgivmc5,J. Dhillon,,,5608809479,286,,5608503609,56,Back,5608809537,233,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793224603,33,7,1,1,26,8cpjplodpphtkbt0hq8sr8mqs,1,60.4,68.6,2025-03-29T23:08:54.966Z,2025-03-30T00:21:42Z,54yx5xkqrktd2hp0sxjx6hm8l,J. Musa,,,5608515965,56,Center,5608809509,233,14,5608515967,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222355,17,1,1,1,32,8cpjplodpphtkbt0hq8sr8mqs,1,64.8,73.6,2025-03-29T23:09:00.194Z,2025-03-29T23:09:02Z,2co6fedrz8anjzy9ise76dplh,J. Blake,,,5608503645,140,55.4,5608503647,141,55.1,5608503651,213,4.05,5608503643,56,Center,5608503649,212,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222405,18,1,1,1,33,8cpjplodpphtkbt0hq8sr8mqs,1,55.4,55.1,2025-03-29T23:09:01.880Z,2025-03-29T23:09:05Z,e93nozniig2wriw9doit6a4tl,J. Murphy,,,5608503891,212,27.5,5608503887,141,22.8,5608503883,56,Back,5608503893,213,4.07,5608503885,140,39.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222429,19,1,1,1,36,8cpjplodpphtkbt0hq8sr8mqs,1,42.1,23.9,2025-03-29T23:09:04.967Z,2025-03-29T23:09:07Z,arxprecroj7kqwx1tmkhhfsdm,B. Ofeimu,,,5608504041,141,41.8,5608504043,212,15.5,5608504037,56,Back,5608504045,213,2.24,5608504039,140,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222455,20,1,1,1,38,8cpjplodpphtkbt0hq8sr8mqs,1,32.2,43.6,2025-03-29T23:09:07.016Z,2025-03-29T23:09:09Z,97d0drjb3zqkh5ozfufg17nys,P. Hogan,,,5608504195,141,58.1,5608504193,140,47.9,5608504197,212,19.2,5608504199,213,0.54,5608504191,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222491,21,1,1,1,41,8cpjplodpphtkbt0hq8sr8mqs,0,46.6,58.8,2025-03-29T23:09:09.703Z,2025-03-29T23:09:12Z,9tispdm7tc3te31awsfcmd905,A. Quinn,,,5608504431,140,92.0,5608504437,213,0.10,5608504439,1,,5608504433,141,65.7,5608504435,212,47.9,5608504427,155,,5608504429,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222649,16,1,1,1,49,ak0rmms5xl49w57i2rvid1tk9,1,8.2,40.1,2025-03-29T23:09:17.989Z,2025-03-29T23:09:22Z,8m19c2e0raanzp3dzf7aaf6jt,A. Romero,,,5608505245,212,23.2,5608505237,123,,5608505243,141,73.8,5608505239,56,Back,5608505241,140,11.9,5608505249,213,1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222711,17,1,1,1,53,ak0rmms5xl49w57i2rvid1tk9,1,17.8,73.0,2025-03-29T23:09:21.885Z,2025-03-29T23:09:25Z,7i29w1zl3m6xdnurdll08jsvd,M. Mahoney,,,5608505557,141,95.6,5608505551,56,Back,5608505553,140,23.8,5608505567,213,1.18,5608505561,212,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222747,18,1,1,1,57,ak0rmms5xl49w57i2rvid1tk9,1,25.6,93.6,2025-03-29T23:09:25.605Z,2025-03-29T23:09:27Z,6oj55tf7cdnnnft350f9fyhnt,M. Real,,,5608505723,56,Back,5608505735,213,5.23,5608505727,141,75.3,5608505725,140,32.4,5608505731,212,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222797,19,1,1,1,59,ak0rmms5xl49w57i2rvid1tk9,1,32.4,75.3,2025-03-29T23:09:27.021Z,2025-03-29T23:09:29Z,cnqxbvy77blk2ulx06t65it49,A. Fontana,,,5608505995,141,80.3,5608505993,140,19.3,5608505997,212,14.2,5608505999,213,2.90,5608505991,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222915,20,1,1,2,1,ak0rmms5xl49w57i2rvid1tk9,1,19.3,80.0,2025-03-29T23:09:29.541Z,2025-03-29T23:09:36Z,7i29w1zl3m6xdnurdll08jsvd,M. Mahoney,,,5608506525,141,56.3,5608506529,213,4.26,5608506523,140,11.8,5608506521,56,Back,5608506527,212,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222945,21,1,1,2,7,ak0rmms5xl49w57i2rvid1tk9,1,15.6,48.2,2025-03-29T23:09:35.909Z,2025-03-29T23:09:37Z,8m19c2e0raanzp3dzf7aaf6jt,A. Romero,,,5608506681,56,Back,5608506689,213,5.00,5608506685,141,29.4,5608506687,212,13.3,5608506683,140,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793223025,22,1,1,2,9,ak0rmms5xl49w57i2rvid1tk9,1,19.2,29.4,2025-03-29T23:09:37.397Z,2025-03-29T23:09:41Z,dqekbs06e79n3vapj437pwyc,G. Metusala,,,5608507081,141,45.2,5608507075,56,Back,5608507083,212,15.7,5608507079,140,8.3,5608507085,213,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793223135,23,1,1,2,13,ak0rmms5xl49w57i2rvid1tk9,1,8.8,46.6,2025-03-29T23:09:41.077Z,2025-03-29T23:09:48Z,8m19c2e0raanzp3dzf7aaf6jt,A. Romero,,,5608507679,56,Back,5608507685,212,27.4,5608507681,140,10.5,5608507687,213,1.51,5608507683,141,86.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793223285,24,1,1,2,20,ak0rmms5xl49w57i2rvid1tk9,1,20.0,84.5,2025-03-29T23:09:48.693Z,2025-03-29T23:09:58Z,7i29w1zl3m6xdnurdll08jsvd,M. Mahoney,,,5608508477,140,11.2,5608508485,212,23.7,5608508475,56,Back,5608508487,213,4.31,5608508481,141,52.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793223379,25,1,1,2,29,ak0rmms5xl49w57i2rvid1tk9,1,21.7,47.3,2025-03-29T23:09:58.004Z,2025-03-29T23:10:02Z,8m19c2e0raanzp3dzf7aaf6jt,A. Romero,,,5608508989,213,1.57,5608508981,56,Back,5608508985,141,87.1,5608508983,140,21.8,5608508987,212,27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793223447,26,1,1,2,34,ak0rmms5xl49w57i2rvid1tk9,1,29.7,88.1,2025-03-29T23:10:02.821Z,2025-03-29T23:10:06Z,7i29w1zl3m6xdnurdll08jsvd,M. Mahoney,,,5608509293,212,17.4,5608509287,56,Back,5608509295,213,5.72,5608509289,140,43.7,5608509291,141,74.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793223467,27,1,1,2,37,ak0rmms5xl49w57i2rvid1tk9,1,44.4,71.7,2025-03-29T23:10:05.901Z,2025-03-30T00:23:56Z,dio84sg1k4gsedcpordxs69lg,Q. Huerman,,,5608509377,213,4.95,5608509379,1,,5608509373,141,16.8,5608509367,56,Right,5608509375,212,38.4,5608509369,140,52.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793223563,28,1,1,2,43,ak0rmms5xl49w57i2rvid1tk9,1,54.6,6.4,2025-03-29T23:10:11.780Z,2025-03-29T23:10:14Z,ody1ty0csq2lnatvjwdrrv11,J. Fjeldberg,,,5608509955,213,2.59,5608509939,56,Back,5608509951,212,21.2,5608509947,141,22.8,5608509943,140,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793223605,29,1,1,2,45,ak0rmms5xl49w57i2rvid1tk9,1,37.4,22.8,2025-03-29T23:10:13.853Z,2025-03-29T23:10:16Z,dqekbs06e79n3vapj437pwyc,G. Metusala,,,5608510151,56,Back,5608510159,213,1.80,5608510155,141,38.8,5608510157,212,11.2,5608510153,140,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793223663,30,1,1,2,48,ak0rmms5xl49w57i2rvid1tk9,1,35.0,38.8,2025-03-29T23:10:16.245Z,2025-03-29T23:10:22Z,6lehq7bt5okf4y9lbxan577x1,C. Adams,,,5608510527,141,81.5,5608510523,56,Back,5608510525,140,34.7,5608510533,213,1.58,5608510529,212,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793223685,31,1,1,2,54,ak0rmms5xl49w57i2rvid1tk9,0,38.5,90.2,2025-03-29T23:10:22.284Z,2025-03-29T23:10:24Z,7i29w1zl3m6xdnurdll08jsvd,M. Mahoney,,,5608510673,1,,5608510671,213,6.03,5608510665,140,72.0,5608510663,56,Center,5608510669,212,36.4,5608510667,141,76.6,5608510661,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793223721,23,1,1,2,57,8cpjplodpphtkbt0hq8sr8mqs,1,22.8,32.8,2025-03-29T23:10:25.502Z,2025-03-29T23:10:26Z,97d0drjb3zqkh5ozfufg17nys,P. Hogan,,,5608510867,213,4.64,5608510861,140,21.7,5608510859,56,Back,5608510863,141,8.2,5608510865,212,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793223737,24,1,1,2,58,8cpjplodpphtkbt0hq8sr8mqs,1,21.7,8.2,2025-03-29T23:10:26.358Z,2025-03-29T23:10:27Z,arxprecroj7kqwx1tmkhhfsdm,B. Ofeimu,,,5608510955,56,Back,5608510957,140,29.2,5608510963,213,0.65,5608510961,212,9.9,5608510959,141,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793223807,25,4,1,3,2,8cpjplodpphtkbt0hq8sr8mqs,1,32.4,12.5,2025-03-29T23:10:30.836Z,2025-03-29T23:10:41Z,e93nozniig2wriw9doit6a4tl,J. Murphy,,,5608511579,152,,5608511619,233,32,5608511581,285,,5608511577,56,Back,5608511573,13,,5608511575,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793223787,32,4,1,3,2,ak0rmms5xl49w57i2rvid1tk9,0,67.6,87.5,2025-03-29T23:10:30.837Z,2025-03-30T00:24:20Z,cnqxbvy77blk2ulx06t65it49,A. Fontana,,,5608511353,56,Left,5608511907,294,,5608511355,152,,5608511351,13,,5608511359,286,,5608511787,233,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793223949,26,1,1,3,12,8cpjplodpphtkbt0hq8sr8mqs,1,29.1,14.0,2025-03-29T23:10:40.527Z,2025-03-29T23:10:44Z,e93nozniig2wriw9doit6a4tl,J. Murphy,,,5608512245,140,20.5,5608512237,5,,5608512249,141,31.8,5608512253,212,15.1,5608512241,56,Back,5608512257,213,2.21,5608512239,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793223987,27,1,1,3,16,8cpjplodpphtkbt0hq8sr8mqs,1,19.2,34.5,2025-03-29T23:10:44.085Z,2025-03-29T23:10:46Z,97d0drjb3zqkh5ozfufg17nys,P. Hogan,,,5608512457,213,5.38,5608512453,141,17.1,5608512449,56,Back,5608512455,212,15.1,5608512451,140,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793224031,28,1,1,3,18,8cpjplodpphtkbt0hq8sr8mqs,1,29.2,17.9,2025-03-29T23:10:46.070Z,2025-03-29T23:10:48Z,e93nozniig2wriw9doit6a4tl,J. Murphy,,,5608512657,213,1.26,5608512641,56,Back,5608512653,212,14.1,5608512649,141,37.7,5608512645,140,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793224091,29,1,1,3,19,8cpjplodpphtkbt0hq8sr8mqs,1,34.1,37.6,2025-03-29T23:10:47.845Z,2025-03-29T23:10:51Z,9tispdm7tc3te31awsfcmd905,A. Quinn,,,5608512979,212,25.0,5608512971,140,20.8,5608512981,213,2.16,5608512967,56,Back,5608512975,141,68.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
