id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2822657249,7,1,1,0,8,daicfonrbj124lu2la2rctxck,1,69.5,34.6,2025-06-14T23:06:27.312Z,2025-06-14T23:06:28Z,711t32tk6qwl567dngcldfw15,M. Rodriguez,,,5771209743,141,18.5,5771209741,140,67.8,5771209739,56,Right,5771209747,213,4.55,5771209745,212,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657243,6,1,1,0,10,daicfonrbj124lu2la2rctxck,1,63.9,35.4,2025-06-14T23:06:28.873Z,2025-06-14T23:08:04Z,4vdbw63j0s7npezknabq6p7xm,J. Brito,,,5771209715,140,69.5,5771209719,212,5.9,5771209717,141,34.6,5771209721,213,6.19,5771209713,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657279,9,1,1,0,11,daicfonrbj124lu2la2rctxck,1,58.4,15.0,2025-06-14T23:06:30.222Z,2025-06-14T23:06:32Z,bug5x187ehj0apzl11lrl3ip6,R. Hope-Gund,,,5771209861,56,Back,5771209863,140,44.0,5771209867,212,17.3,5771209869,213,2.63,5771209865,141,27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657293,10,1,1,0,13,daicfonrbj124lu2la2rctxck,1,44.1,29.2,2025-06-14T23:06:32.390Z,2025-06-14T23:06:34Z,c8svt3yazcfaq478j0cpbmbfu,K. Yao,,,5771209955,212,16.4,5771209951,140,43.7,5771209953,141,53.3,5771209957,213,1.60,5771209949,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657301,11,1,1,0,15,daicfonrbj124lu2la2rctxck,1,43.8,53.3,2025-06-14T23:06:34.342Z,2025-06-14T23:06:37Z,3tb7ycl6z32sevjo8rxa590,A. Mabika,,,5771210039,213,1.31,5771210035,141,86.2,5771210031,56,Back,5771210033,140,49.6,5771210037,212,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657325,12,1,1,0,18,daicfonrbj124lu2la2rctxck,1,51.4,85.9,2025-06-14T23:06:37.495Z,2025-06-14T23:06:40Z,eg5pbxm7emj77mdcub4xp6m3u,A. Sanchez,,,5771210183,56,Back,5771210187,141,76.4,5771210191,213,3.59,5771210189,212,14.8,5771210185,140,38.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657349,13,1,1,0,21,daicfonrbj124lu2la2rctxck,1,37.4,66.9,2025-06-14T23:06:40.439Z,2025-06-14T23:06:45Z,3tb7ycl6z32sevjo8rxa590,A. Mabika,,,5771210323,56,Back,5771210331,213,4.34,5771210325,140,30.5,5771210329,212,20.1,5771210327,141,39.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657369,14,1,1,0,27,daicfonrbj124lu2la2rctxck,1,31.8,31.0,2025-06-14T23:06:45.662Z,2025-06-14T23:06:48Z,c8svt3yazcfaq478j0cpbmbfu,K. Yao,,,5771210423,140,35.7,5771210425,141,10.1,5771210429,213,4.99,5771210427,212,14.8,5771210421,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657395,15,1,1,0,29,daicfonrbj124lu2la2rctxck,1,31.0,10.6,2025-06-14T23:06:47.894Z,2025-06-14T23:06:52Z,bug5x187ehj0apzl11lrl3ip6,R. Hope-Gund,,,5771210561,140,36.7,5771210563,141,26.4,5771210567,213,1.06,5771210559,56,Back,5771210565,212,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657399,16,1,1,0,33,daicfonrbj124lu2la2rctxck,1,36.7,26.4,2025-06-14T23:06:52.109Z,2025-06-14T23:13:50Z,1diaoqi51gzx23j4d5f8xc8b8,A. Shapiro-Thompson,,,5771210579,56,Right,5771210585,212,17.7,5771210581,140,52.9,5771210583,141,19.2,5771210587,213,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657403,17,1,1,0,34,daicfonrbj124lu2la2rctxck,0,52.9,19.2,2025-06-14T23:06:52.869Z,2025-06-14T23:06:53Z,9txqixk3uycvort3ntzkva1g5,Z. Herivaux,,,5771210599,56,Center,5771210633,236,,5771210603,141,23.3,5771210605,212,7.2,5771210639,286,,5771210607,213,0.40,5771210601,140,59.2,5771210635,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657401,5,74,1,0,34,6597wqy6gmpv3zjx7rp8cdj46,1,43.5,77.5,2025-06-14T23:06:52.870Z,2025-06-14T23:06:54Z,blkq1t8y0wnos6jxb0uwowwk5,P. Burner,,,5771210591,56,Back,5771210593,285,,5771210649,233,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657413,18,1,1,0,36,daicfonrbj124lu2la2rctxck,1,43.3,19.7,2025-06-14T23:06:54.926Z,2025-06-14T23:06:57Z,bug5x187ehj0apzl11lrl3ip6,R. Hope-Gund,,,5771210703,140,59.4,5771210705,141,21.0,5771210709,213,0.05,5771210701,56,Right,5771210707,212,16.9,5771210699,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657417,19,1,1,0,38,daicfonrbj124lu2la2rctxck,1,55.7,14.4,2025-06-14T23:06:57.029Z,2025-06-14T23:06:58Z,9txqixk3uycvort3ntzkva1g5,Z. Herivaux,,,5771210729,141,5.2,5771210725,56,Back,5771210731,212,11.9,5771210733,213,3.70,5771210727,140,46.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657423,20,1,1,0,39,daicfonrbj124lu2la2rctxck,1,46.1,5.2,2025-06-14T23:06:57.989Z,2025-06-14T23:07:02Z,bug5x187ehj0apzl11lrl3ip6,R. Hope-Gund,,,5771210797,56,Right,5771210803,212,16.3,5771210801,141,3.8,5771210805,213,6.22,5771210799,140,61.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657425,21,61,1,0,43,daicfonrbj124lu2la2rctxck,0,61.5,4.3,2025-06-14T23:07:02.013Z,2025-06-14T23:07:02Z,4vdbw63j0s7npezknabq6p7xm,J. Brito,,,5771210813,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657471,6,5,1,0,43,6597wqy6gmpv3zjx7rp8cdj46,1,41.4,101.3,2025-06-14T23:07:02.343Z,2025-06-15T01:09:22Z,blkq1t8y0wnos6jxb0uwowwk5,P. Burner,,,5771211117,56,Back,5771211121,233,22,5771211119,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657429,22,5,1,0,43,daicfonrbj124lu2la2rctxck,0,58.6,-1.3,2025-06-14T23:07:02.343Z,2025-06-15T01:09:23Z,4vdbw63j0s7npezknabq6p7xm,J. Brito,,,5771210835,347,,5771210833,56,Right,5771211125,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657481,7,1,1,0,56,6597wqy6gmpv3zjx7rp8cdj46,0,40.9,100.0,2025-06-14T23:07:15.257Z,2025-06-14T23:07:17Z,blkq1t8y0wnos6jxb0uwowwk5,P. Burner,,,5771211179,107,,5771211185,141,86.9,5771211191,1,,5771211189,213,5.92,5771211187,212,28.0,5771211181,56,Left,5771211183,140,65.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657499,23,1,1,0,59,daicfonrbj124lu2la2rctxck,1,22.8,8.2,2025-06-14T23:07:17.773Z,2025-06-14T23:07:22Z,bug5x187ehj0apzl11lrl3ip6,R. Hope-Gund,,,5771211317,140,28.9,5771211315,56,Back,5771211323,213,0.28,5771211319,141,10.9,5771211313,3,,5771211321,212,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657497,8,83,1,1,3,6597wqy6gmpv3zjx7rp8cdj46,0,64.8,86.3,2025-06-14T23:07:21.543Z,2025-06-14T23:07:24Z,69wq859yz6wzirpbvpnt3n8bt,L. Perez,,,5771211399,399,9txqixk3uycvort3ntzkva1g5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657503,24,61,1,1,3,daicfonrbj124lu2la2rctxck,0,28.9,10.7,2025-06-14T23:07:22.237Z,2025-06-14T23:07:22Z,9txqixk3uycvort3ntzkva1g5,Z. Herivaux,,,5771211327,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657507,9,1,1,1,4,6597wqy6gmpv3zjx7rp8cdj46,1,65.6,85.4,2025-06-14T23:07:22.896Z,2025-06-15T01:12:56Z,3cj2fww973bv21rfjlnu15yc4,A. Luckhurst,,,5771211341,213,3.72,5771211339,212,6.5,5771211335,140,60.4,5771211337,141,80.2,5771211333,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657513,10,1,1,1,5,6597wqy6gmpv3zjx7rp8cdj46,1,60.7,80.3,2025-06-14T23:07:23.583Z,2025-06-14T23:07:24Z,69wq859yz6wzirpbvpnt3n8bt,L. Perez,,,5771211383,213,5.42,5771211381,212,5.5,5771211377,140,64.1,5771211379,141,74.2,5771211375,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657541,11,1,1,1,5,6597wqy6gmpv3zjx7rp8cdj46,1,64.3,74.2,2025-06-14T23:07:24.183Z,2025-06-14T23:07:29Z,7ejohb009byubwiqv36vag5jo,Pedro Dolabella,,,5771211565,212,16.8,5771211567,213,0.79,5771211559,56,Left,5771211561,140,75.6,5771211563,141,91.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657539,25,83,1,1,10,daicfonrbj124lu2la2rctxck,0,20.9,12.5,2025-06-14T23:07:28.781Z,2025-06-14T23:17:04Z,c8svt3yazcfaq478j0cpbmbfu,K. Yao,,,5771211661,399,3cj2fww973bv21rfjlnu15yc4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657553,12,1,1,1,10,6597wqy6gmpv3zjx7rp8cdj46,1,74.8,91.1,2025-06-14T23:07:29.247Z,2025-06-14T23:07:31Z,3cj2fww973bv21rfjlnu15yc4,A. Luckhurst,,,5771211609,213,3.87,5771211605,141,77.2,5771211603,140,64.8,5771211601,56,Center,5771211607,212,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657557,13,61,1,1,12,6597wqy6gmpv3zjx7rp8cdj46,0,64.8,77.0,2025-06-14T23:07:31.103Z,2025-06-15T01:12:54Z,1tsiml56f2xxym8h4tfjmho2c,M. Maldonado,,,5771211619,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657601,27,1,1,1,17,daicfonrbj124lu2la2rctxck,1,63.0,62.9,2025-06-14T23:07:36.214Z,2025-06-14T23:07:41Z,449e2muutlpvx9lhv1t2tcsmh,A. Dikwa,,,5771211889,213,0.85,5771211885,141,81.1,5771211887,212,16.5,5771211883,140,73.4,5771211881,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657605,28,3,1,1,22,daicfonrbj124lu2la2rctxck,0,82.2,68.6,2025-06-14T23:07:40.941Z,2025-06-15T01:09:17Z,9ch7zgxlcjiio0xbo2hhl2yvo,N. Fuson,,,5771211899,286,,5771212045,233,14,5771211897,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657625,14,7,1,1,22,6597wqy6gmpv3zjx7rp8cdj46,1,17.8,31.4,2025-06-14T23:07:40.942Z,2025-06-15T01:09:16Z,vg3ha8h2d35wgexer2i6ao0k,F. Sundstrom,,,5771212019,285,,5771212041,233,28,5771212017,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657733,16,1,1,1,47,6597wqy6gmpv3zjx7rp8cdj46,0,12.9,35.4,2025-06-14T23:08:05.879Z,2025-06-14T23:08:10Z,ac5zpx8c09rtmidm654e67xsl,J. McGuire,,,5771212597,199,,5771212607,213,6.09,5771212603,141,18.8,5771212601,140,67.3,5771212609,1,,5771212605,212,58.2,5771212599,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657739,29,44,1,1,50,daicfonrbj124lu2la2rctxck,1,34.8,86.2,2025-06-14T23:08:09.279Z,2025-06-15T01:09:35Z,eg5pbxm7emj77mdcub4xp6m3u,A. Sanchez,,,5771212621,285,,5771212619,56,Back,5771212675,233,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657735,17,44,1,1,50,6597wqy6gmpv3zjx7rp8cdj46,0,65.2,13.8,2025-06-14T23:08:09.280Z,2025-06-15T01:09:35Z,411grh3cytippnnanb767qvsa,Rafa Mentzingen,,,5771212613,56,Right,5771212615,286,,5771212699,233,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657751,30,1,1,1,51,daicfonrbj124lu2la2rctxck,1,38.5,94.1,2025-06-14T23:08:09.956Z,2025-06-14T23:08:12Z,eg5pbxm7emj77mdcub4xp6m3u,A. Sanchez,,,5771212709,56,Back,5771212715,212,23.1,5771212713,141,64.6,5771212711,140,49.4,5771212717,213,5.23,5771212707,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657757,31,1,1,1,53,daicfonrbj124lu2la2rctxck,0,49.4,64.6,2025-06-14T23:08:11.798Z,2025-06-14T23:08:12Z,9txqixk3uycvort3ntzkva1g5,Z. Herivaux,,,5771212733,3,,5771212743,213,0.61,5771212737,140,58.5,5771212739,141,74.5,5771212741,212,11.7,5771212735,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657777,18,1,1,1,54,6597wqy6gmpv3zjx7rp8cdj46,1,39.9,27.3,2025-06-14T23:08:12.942Z,2025-06-14T23:08:16Z,vg3ha8h2d35wgexer2i6ao0k,F. Sundstrom,,,5771212849,212,23.8,5771212845,140,62.6,5771212851,213,0.02,5771212847,141,28.0,5771212841,157,,5771212853,1,,5771212843,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657781,19,61,1,1,57,6597wqy6gmpv3zjx7rp8cdj46,0,62.6,28.0,2025-06-14T23:08:16.342Z,2025-06-14T23:08:16Z,7ejohb009byubwiqv36vag5jo,Pedro Dolabella,,,5771212869,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657853,33,1,1,2,1,daicfonrbj124lu2la2rctxck,1,35.8,67.5,2025-06-14T23:08:20.325Z,2025-06-14T23:18:49Z,1diaoqi51gzx23j4d5f8xc8b8,A. Shapiro-Thompson,,,5771213209,141,39.8,5771213205,56,Back,5771213213,213,4.39,5771213211,212,19.8,5771213207,140,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657861,34,1,1,2,6,daicfonrbj124lu2la2rctxck,1,27.2,48.4,2025-06-14T23:08:25.357Z,2025-06-14T23:08:28Z,bug5x187ehj0apzl11lrl3ip6,R. Hope-Gund,,,5771213269,213,1.56,5771213265,212,15.8,5771213259,56,Back,5771213263,141,71.7,5771213261,140,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657883,35,1,1,2,9,daicfonrbj124lu2la2rctxck,1,29.6,67.5,2025-06-14T23:08:28.061Z,2025-06-14T23:08:30Z,3tb7ycl6z32sevjo8rxa590,A. Mabika,,,5771213343,212,23.5,5771213339,140,44.7,5771213341,141,41.9,5771213345,213,5.45,5771213337,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657887,36,1,1,2,11,daicfonrbj124lu2la2rctxck,0,44.7,41.9,2025-06-14T23:08:30.004Z,2025-06-14T23:08:30Z,9txqixk3uycvort3ntzkva1g5,Z. Herivaux,,,5771213357,140,47.2,5771213355,56,Back,5771213361,212,9.5,5771213363,213,1.29,5771213359,141,55.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657905,20,1,1,2,13,6597wqy6gmpv3zjx7rp8cdj46,0,47.2,47.0,2025-06-14T23:08:31.775Z,2025-06-14T23:08:32Z,1tsiml56f2xxym8h4tfjmho2c,M. Maldonado,,,5771213437,141,42.7,5771213433,56,Back,5771213441,213,4.99,5771213439,212,3.0,5771213435,140,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822661563,133,8,1,2,14,daicfonrbj124lu2la2rctxck,1,47.3,55.6,2025-06-14T23:08:33.232Z,2025-06-15T01:12:53Z,711t32tk6qwl567dngcldfw15,M. Rodriguez,,,5771235225,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657945,37,1,1,2,18,daicfonrbj124lu2la2rctxck,1,34.1,75.1,2025-06-14T23:08:37.202Z,2025-06-14T23:20:36Z,711t32tk6qwl567dngcldfw15,M. Rodriguez,,,5771213639,140,40.1,5771213641,141,95.9,5771213637,56,Back,5771213645,213,1.15,5771213643,212,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657953,38,1,1,2,20,daicfonrbj124lu2la2rctxck,1,40.1,95.9,2025-06-14T23:08:38.756Z,2025-06-14T23:08:40Z,eg5pbxm7emj77mdcub4xp6m3u,A. Sanchez,,,5771213703,213,3.68,5771213697,140,32.3,5771213695,56,Back,5771213701,212,9.5,5771213699,141,88.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657969,39,1,1,2,21,daicfonrbj124lu2la2rctxck,1,32.3,88.7,2025-06-14T23:08:40.469Z,2025-06-14T23:21:02Z,711t32tk6qwl567dngcldfw15,M. Rodriguez,,,5771213799,141,43.1,5771213795,56,Back,5771213803,213,4.50,5771213801,212,31.7,5771213797,140,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657979,40,1,1,2,26,daicfonrbj124lu2la2rctxck,1,23.8,42.5,2025-06-14T23:08:44.950Z,2025-06-14T23:08:46Z,3tb7ycl6z32sevjo8rxa590,A. Mabika,,,5771213843,56,Back,5771213851,213,2.76,5771213845,140,13.4,5771213849,212,11.8,5771213847,141,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
