id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2809950639,6,1,1,0,40,bk3zg8yaj5uoqhxzwons3bo8a,1,48.7,79.2,2025-05-04T01:08:26.976Z,2025-05-04T01:08:28Z,52rcg38mijjjusfwqxa2l7hex,J. Lindsey,,,5700658569,140,71.8,5700658571,141,94.8,5700658567,56,Left,5700658575,213,0.41,5700658573,212,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809950657,7,1,1,0,41,bk3zg8yaj5uoqhxzwons3bo8a,1,71.8,94.8,2025-05-04T01:08:27.812Z,2025-05-04T01:08:29Z,7b346y8ad54mkc0h1343ybs2x,Luiz Fernando,,,5700658681,140,61.3,5700658685,212,11.2,5700658687,213,3.31,5700658679,56,Left,5700658683,141,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809950725,8,1,1,0,42,bk3zg8yaj5uoqhxzwons3bo8a,1,58.6,90.9,2025-05-04T01:08:29.412Z,2025-05-04T01:08:33Z,52rcg38mijjjusfwqxa2l7hex,J. Lindsey,,,5700659035,213,3.56,5700659029,140,32.2,5700659027,56,Back,5700659033,212,30.3,5700659031,141,72.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809950777,9,1,1,0,46,bk3zg8yaj5uoqhxzwons3bo8a,1,34.2,76.5,2025-05-04T01:08:33.109Z,2025-05-04T01:08:36Z,cvdn34vl3zje5uq54nvg77sut,K. Ryden,,,5700659331,56,Left,5700659333,140,56.7,5700659337,141,87.6,5700659339,212,24.8,5700659341,213,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809950813,10,1,1,0,49,bk3zg8yaj5uoqhxzwons3bo8a,1,55.2,93.3,2025-05-04T01:08:36.508Z,2025-05-04T01:08:38Z,akgtib8zyv5lrvh9mxunj2rdg,T. Pondeca,,,5700659539,141,85.7,5700659541,212,9.7,5700659537,140,47.4,5700659543,213,3.70,5700659535,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809950841,11,1,1,0,51,bk3zg8yaj5uoqhxzwons3bo8a,1,47.5,79.2,2025-05-04T01:08:38.437Z,2025-05-04T01:08:40Z,52rcg38mijjjusfwqxa2l7hex,J. Lindsey,,,5700659725,213,5.74,5700659723,212,13.8,5700659721,141,68.7,5700659719,140,58.8,5700659717,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809950869,12,1,1,0,53,bk3zg8yaj5uoqhxzwons3bo8a,1,58.8,68.7,2025-05-04T01:08:40.364Z,2025-05-04T01:08:41Z,7b346y8ad54mkc0h1343ybs2x,Luiz Fernando,,,5700659881,141,81.2,5700659879,140,48.3,5700659887,212,13.9,5700659877,56,Back,5700659889,213,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809950935,13,1,1,0,55,bk3zg8yaj5uoqhxzwons3bo8a,1,45.5,84.3,2025-05-04T01:08:41.717Z,2025-05-04T01:08:45Z,52rcg38mijjjusfwqxa2l7hex,J. Lindsey,,,5700660233,56,Back,5700660245,213,3.67,5700660235,140,26.8,5700660241,212,22.7,5700660239,141,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809950995,14,1,1,0,58,bk3zg8yaj5uoqhxzwons3bo8a,1,27.0,68.1,2025-05-04T01:08:45.589Z,2025-05-04T01:08:49Z,cvdn34vl3zje5uq54nvg77sut,K. Ryden,,,5700660589,141,86.6,5700660591,212,15.7,5700660587,140,36.0,5700660585,56,Back,5700660593,213,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809951055,15,1,1,1,2,bk3zg8yaj5uoqhxzwons3bo8a,1,38.8,92.4,2025-05-04T01:08:49.573Z,2025-05-04T01:08:53Z,52rcg38mijjjusfwqxa2l7hex,J. Lindsey,,,5700660921,155,,5700660927,141,80.1,5700660929,212,11.3,5700660933,213,5.45,5700660925,140,46.0,5700660923,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809951051,6,83,1,1,6,5h878vnmkbuy2ummddprusxgq,0,48.5,36.0,2025-05-04T01:08:53.243Z,2025-05-04T01:08:56Z,3lndo247f4br8t6xxdvlij4a2,W. Cabrera,,,5700661165,399,bhzsz7pbe6pbwojtc1mi8m28l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809951065,16,1,1,1,6,bk3zg8yaj5uoqhxzwons3bo8a,0,46.2,79.1,2025-05-04T01:08:53.589Z,2025-05-04T03:30:11Z,bhzsz7pbe6pbwojtc1mi8m28l,M. Akale,,,5700661003,213,3.32,5700660997,140,37.8,5700660999,141,76.7,5700661001,212,9.0,5700660995,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809951079,17,56,1,1,8,bk3zg8yaj5uoqhxzwons3bo8a,1,37.5,76.7,2025-05-04T01:08:55.333Z,2025-05-04T01:08:55Z,bhzsz7pbe6pbwojtc1mi8m28l,M. Akale,,,5700661103,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809951129,8,1,1,1,11,5h878vnmkbuy2ummddprusxgq,0,86.2,18.4,2025-05-04T01:08:58.228Z,2025-05-04T01:08:59Z,cqmvrx028gh19yh8qh7w01y0a,R. Avila,,,5700661387,56,Center,5700661391,141,58.9,5700661389,140,87.1,5700661399,213,1.54,5700661383,2,,5700661395,212,27.6,5700661385,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809951167,18,12,1,1,16,bk3zg8yaj5uoqhxzwons3bo8a,1,6.2,42.5,2025-05-04T01:09:02.893Z,2025-05-04T01:09:06Z,9imj5ig0i01uljnd3gd2cz1m,T. Maples,,,5700661673,15,,5700661657,213,6.08,5700661653,212,13.4,5700661651,141,38.5,5700661647,140,18.7,5700661643,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809951233,9,15,1,1,19,5h878vnmkbuy2ummddprusxgq,1,75.7,64.4,2025-05-04T01:09:06.128Z,2025-05-04T03:53:01Z,6fgxgq77v66va16tcuqvyn6x,Gabi Torres,,,5700663265,103,8.2,5700663267,458,,5700663269,146,96.3,5700663061,20,,5700663261,76,,5700663329,233,19,5700663263,102,52.4,5701081429,133,,5700662037,18,5700662039,56,Center,5700663271,147,54.3,5700662035,22,5701081431,215,,,,,,,,,,,,,,,
2809951195,19,10,1,1,19,bk3zg8yaj5uoqhxzwons3bo8a,1,4.0,47.8,2025-05-04T01:09:06.228Z,2025-05-04T01:09:22Z,zczt4alpawz5522hff8x39p1,A. Tambakis,,,5700661827,56,Back,5700661919,177,,5700663351,233,9,5700661823,178,,5700661825,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809951257,21,1,1,1,21,bk3zg8yaj5uoqhxzwons3bo8a,1,5.6,35.2,2025-05-04T01:09:08.621Z,2025-05-04T01:09:20Z,zczt4alpawz5522hff8x39p1,A. Tambakis,,,5700662175,212,37.7,5700662225,287,,5700662173,141,6.7,5700662169,56,Back,5700663177,1,,5700662167,123,,5700662171,140,36.4,5700662177,213,5.74,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809951453,22,1,1,1,33,bk3zg8yaj5uoqhxzwons3bo8a,1,57.6,12.1,2025-05-04T01:09:20.004Z,2025-05-04T01:09:21Z,caxfn5xu1taewgtxil6ah2rjd,Z. Bailey,,,5700663305,140,52.2,5700663311,213,3.69,5700663309,212,6.6,5700663303,56,Right,5700663307,141,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809951461,23,56,1,1,34,bk3zg8yaj5uoqhxzwons3bo8a,1,52.2,7.0,2025-05-04T01:09:21.428Z,2025-05-04T01:09:22Z,2o86bp6u8hbr8q43mea7srco9,W. Seymore,,,5700663345,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809991275,405,3,1,1,39,bk3zg8yaj5uoqhxzwons3bo8a,0,56.5,20.0,2025-05-04T01:09:25.626Z,2025-05-04T03:15:00Z,caxfn5xu1taewgtxil6ah2rjd,Z. Bailey,,,5700879085,56,Right,5700879089,286,,5700879087,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809951619,10,61,1,1,42,5h878vnmkbuy2ummddprusxgq,0,33.4,95.8,2025-05-04T01:09:28.675Z,2025-05-04T02:07:33Z,6fgxgq77v66va16tcuqvyn6x,Gabi Torres,,,5700664195,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809951643,11,43,1,1,43,5h878vnmkbuy2ummddprusxgq,1,0.0,0.0,2025-05-04T01:09:30.218Z,2025-05-04T01:09:34Z,6fgxgq77v66va16tcuqvyn6x,Gabi Torres,,,5700664327,56,Back,5700664741,144,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809951687,12,5,1,1,45,5h878vnmkbuy2ummddprusxgq,0,36.8,101.6,2025-05-04T01:09:31.797Z,2025-05-04T03:31:01Z,6fgxgq77v66va16tcuqvyn6x,Gabi Torres,,,5700664511,347,,5701025813,233,27,5700664509,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809951809,27,5,1,1,45,bk3zg8yaj5uoqhxzwons3bo8a,1,63.2,-1.6,2025-05-04T01:09:31.797Z,2025-05-04T03:31:01Z,2o86bp6u8hbr8q43mea7srco9,W. Seymore,,,5701025789,233,12,5700665297,56,Right,5700665301,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809952007,28,1,1,1,54,bk3zg8yaj5uoqhxzwons3bo8a,1,60.9,0.0,2025-05-04T01:09:40.780Z,2025-05-04T01:09:54Z,2o86bp6u8hbr8q43mea7srco9,W. Seymore,,,5700666359,212,16.8,5700666357,141,23.2,5700666347,107,,5700666349,56,Center,5700666353,140,64.5,5700666361,213,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809955451,58,1,1,1,58,bk3zg8yaj5uoqhxzwons3bo8a,1,68.3,25.1,2025-05-04T01:09:45.176Z,2025-05-04T01:13:36Z,ew8oodr9hiuqve7xlz24xznfu,M. Vargas,,,5700685723,213,1.89,5700685715,56,Center,5700685717,140,61.5,5700685719,141,57.3,5700685721,212,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809957023,71,1,1,2,2,bk3zg8yaj5uoqhxzwons3bo8a,1,75.1,63.3,2025-05-04T01:09:49.064Z,2025-05-04T01:15:14Z,52rcg38mijjjusfwqxa2l7hex,J. Lindsey,,,5700694209,213,5.36,5700694203,140,83.8,5700694207,212,15.2,5700694205,141,45.5,5700694201,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809957073,72,61,1,2,3,bk3zg8yaj5uoqhxzwons3bo8a,1,83.6,55.5,2025-05-04T01:09:50.534Z,2025-05-04T01:15:23Z,ew8oodr9hiuqve7xlz24xznfu,M. Vargas,1.0,,5700694451,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809952389,13,43,1,2,5,5h878vnmkbuy2ummddprusxgq,1,0.0,0.0,2025-05-04T01:09:52.354Z,2025-05-04T01:10:20Z,7ll9dqayz9698v71x2pvgrspg,Á. Quezada,,,5700668797,144,5,5700668467,56,Back,5700668469,346,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809958269,86,15,1,2,8,bk3zg8yaj5uoqhxzwons3bo8a,1,91.4,40.3,2025-05-04T01:09:55.014Z,2025-05-04T03:30:13Z,3nvijn3ctkplajtt1dd23wycp,M. Gaines,,,5701052371,233,14,5700706635,103,8.9,5700701059,22,,5700703537,20,,5700706629,55,72,5700706627,29,,5700706625,78,,5700701067,56,Center,5700706639,146,5700706637,215,,5700704219,17,,5700706633,102,5700885445,328,94.3,51.8,5700706641,147,42.6,,,,,,,,,,
2809952395,14,10,1,2,8,5h878vnmkbuy2ummddprusxgq,1,4.0,56.5,2025-05-04T01:09:55.114Z,2025-05-04T03:31:44Z,8y556fvv7asmfouaica4nbai1,J. Waite,,,5700668509,56,Back,5700668503,173,,5700668507,182,,5701052375,233,86,5700668505,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809952421,15,6,1,2,31,5h878vnmkbuy2ummddprusxgq,0,0.0,34.0,2025-05-04T01:10:18.300Z,2025-05-04T03:28:54Z,8y556fvv7asmfouaica4nbai1,J. Waite,,,5700668633,73,,5701025885,233,34,5700668631,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809952061,34,6,1,2,31,bk3zg8yaj5uoqhxzwons3bo8a,1,100.0,66.0,2025-05-04T01:10:18.300Z,2025-05-04T03:28:54Z,3nvijn3ctkplajtt1dd23wycp,M. Gaines,,,5700666751,73,,5700666747,56,Center,5701025871,233,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809952575,35,1,1,2,38,bk3zg8yaj5uoqhxzwons3bo8a,0,99.5,99.5,2025-05-04T01:10:25.547Z,2025-05-04T01:10:27Z,ew8oodr9hiuqve7xlz24xznfu,M. Vargas,,,5700669457,155,,5700669473,213,4.47,5700669465,140,93.2,5700669463,56,Center,5700669453,2,,5700669461,223,,5700669467,141,60.5,5700669469,212,27.3,5700669455,6,,,,,,,,,,,,,,,,,,,,,,,,,
2809952623,16,12,1,2,40,5h878vnmkbuy2ummddprusxgq,1,2.3,46.9,2025-05-04T01:10:27.338Z,2025-05-04T02:08:13Z,dowfebdy2qnsz8hkj0ilrux62,K. Twumasi,,,5700669731,140,31.0,5700669735,212,30.2,5700669733,141,45.3,5700669737,213,6.25,5700669729,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809952703,17,1,1,2,44,5h878vnmkbuy2ummddprusxgq,1,37.0,46.3,2025-05-04T01:10:31.201Z,2025-05-04T02:08:14Z,2mgcta30puk8kuwb5mo4zvcnp,A. Moreno,,,5700670217,141,46.3,5700670219,212,10.6,5700670221,213,3.14,5700670213,56,Back,5700880385,156,,5700670215,140,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809952717,18,1,1,2,48,5h878vnmkbuy2ummddprusxgq,1,28.7,46.6,2025-05-04T01:10:34.661Z,2025-05-04T02:09:07Z,3lndo247f4br8t6xxdvlij4a2,W. Cabrera,,,5700670307,1,,5700670299,140,57.8,5700670297,56,Center,5700670301,141,23.2,5700670303,212,34.4,5700670305,213,5.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809952747,19,1,1,2,50,5h878vnmkbuy2ummddprusxgq,0,41.6,19.9,2025-05-04T01:10:37.466Z,2025-05-04T02:09:05Z,2mgcta30puk8kuwb5mo4zvcnp,A. Moreno,,,5700882487,212,30.2,5700882483,140,68.8,5700882489,213,0.33,5700882481,56,Center,5700882485,141,34.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809952799,36,59,1,2,52,bk3zg8yaj5uoqhxzwons3bo8a,1,16.4,73.2,2025-05-04T01:10:38.803Z,2025-05-04T01:10:40Z,zczt4alpawz5522hff8x39p1,A. Tambakis,,,5700670761,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809952827,37,12,1,2,54,bk3zg8yaj5uoqhxzwons3bo8a,1,16.4,73.2,2025-05-04T01:10:40.707Z,2025-05-04T01:10:42Z,zczt4alpawz5522hff8x39p1,A. Tambakis,,,5700670875,56,Back,5700670881,212,32.7,5700671003,167,,5700670877,140,42.2,5700670883,213,0.59,5700670879,141,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809952987,20,5,1,2,54,5h878vnmkbuy2ummddprusxgq,1,54.8,-0.6,2025-05-04T01:10:41.275Z,2025-05-04T03:31:02Z,c4g35kho1qirnu4q420knnl9m,R. Coronado,,,5700671835,56,Right,5700671837,347,,5700671907,233,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809952833,38,5,1,2,54,bk3zg8yaj5uoqhxzwons3bo8a,0,45.2,100.6,2025-05-04T01:10:41.275Z,2025-05-04T03:31:02Z,zczt4alpawz5522hff8x39p1,A. Tambakis,,,5700670917,347,,5700671971,233,20,5700670911,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809953183,21,1,1,3,10,5h878vnmkbuy2ummddprusxgq,1,53.4,0.0,2025-05-04T01:10:57.297Z,2025-05-04T01:11:03Z,7ll9dqayz9698v71x2pvgrspg,Á. Quezada,,,5700672983,1,,5700672973,141,14.1,5700672977,212,22.5,5700672981,213,2.66,5700672969,56,Back,5700672971,140,34.4,5700672967,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809953207,22,1,1,3,16,5h878vnmkbuy2ummddprusxgq,1,26.0,12.4,2025-05-04T01:11:03.092Z,2025-05-04T01:11:05Z,2mxaagzu9rb92z9880yjllbzd,W. Ackwei,,,5700673097,141,52.5,5700673093,56,Back,5700673099,212,27.5,5700673101,213,1.43,5700673095,140,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809953217,23,1,1,3,18,5h878vnmkbuy2ummddprusxgq,1,31.4,52.6,2025-05-04T01:11:04.769Z,2025-05-04T02:09:16Z,dowfebdy2qnsz8hkj0ilrux62,K. Twumasi,,,5700673131,212,15.0,5700673125,56,Back,5700673129,141,30.7,5700673127,140,29.5,5700673133,213,4.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809953313,24,1,1,3,20,5h878vnmkbuy2ummddprusxgq,0,31.3,29.2,2025-05-04T01:11:07.002Z,2025-05-04T01:11:11Z,2mxaagzu9rb92z9880yjllbzd,W. Ackwei,,,5700673623,212,61.9,5700673625,213,0.04,5700673615,155,,5700673627,1,,5700673617,56,Center,5700673619,140,90.2,5700673621,141,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809953419,40,1,1,3,28,bk3zg8yaj5uoqhxzwons3bo8a,1,13.4,65.9,2025-05-04T01:11:15.501Z,2025-05-04T01:11:20Z,zczt4alpawz5522hff8x39p1,A. Tambakis,,,5700674261,141,91.8,5700674265,213,0.79,5700674257,56,Back,5700674259,140,30.0,5700674263,212,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
