id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2800331831,9,1,1,0,18,87c66ubwpzykovmkaf1t46bis,1,10.1,53.1,2025-04-13T00:37:06.459Z,2025-04-13T00:37:10Z,h4nbagq5dsdltn9x62oi0t05,R. Sánchez,,,5647614307,56,Back,5647614311,141,7.7,5647614315,212,31.9,5647614305,155,,5647614309,140,17.8,5647614319,213,4.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800331837,10,1,1,0,21,87c66ubwpzykovmkaf1t46bis,0,23.8,10.0,2025-04-13T00:37:10.084Z,2025-04-13T03:05:19Z,5ynru0652guk8hl45ltxo0dwq,R. Buckmaster,,,5647614343,56,Back,5647614349,212,13.9,5647614347,141,16.1,5647614351,213,0.30,5648050845,233,4,5647614345,140,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800331859,3,61,1,0,23,bu5w8wprynlj9mvphvy8sd94f,1,60.2,75.1,2025-04-13T00:37:12.167Z,2025-04-13T00:37:12Z,cyignmjprj3whvban361mclm2,D. Mercado,,,5647614441,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800331867,11,1,1,0,23,87c66ubwpzykovmkaf1t46bis,0,35.8,16.1,2025-04-13T00:37:12.251Z,2025-04-13T00:38:57Z,zd582wgzhdcz8n6oipywt3vt,J. Hernández,,,5647620221,233,4,5647614485,140,37.0,5647614483,56,Back,5647614487,141,18.0,5647620225,286,,5647620219,236,,5647614489,212,1.8,5647614491,213,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800331909,4,74,1,0,23,bu5w8wprynlj9mvphvy8sd94f,1,61.3,72.3,2025-04-13T00:37:12.252Z,2025-04-13T03:01:27Z,d539xjkdwt1i77f0czbvo8ull,B. Akinyode,,,5647614705,56,Center,5647620241,233,11,5647620197,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800336831,55,83,1,0,27,87c66ubwpzykovmkaf1t46bis,0,20.0,9.5,2025-04-13T00:37:15.858Z,2025-04-13T00:44:25Z,5ynru0652guk8hl45ltxo0dwq,R. Buckmaster,,,5647641973,399,am7umg00yxt40mndzo6e0u3o4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800331983,6,1,1,0,31,bu5w8wprynlj9mvphvy8sd94f,0,94.5,91.2,2025-04-13T00:37:19.720Z,2025-04-13T00:37:21Z,am7umg00yxt40mndzo6e0u3o4,F. Bonfiglio,,,5647615049,56,Left,5647615059,236,,5647615065,286,,5647615061,233,12,5647615047,155,,5647615051,140,93.7,5647615057,213,4.40,5647615053,141,87.4,5647615055,212,2.7,5647615045,2,,,,,,,,,,,,,,,,,,,,,,,,,
2800331979,12,12,1,0,31,87c66ubwpzykovmkaf1t46bis,1,5.8,8.8,2025-04-13T00:37:19.820Z,2025-04-13T00:37:21Z,4o1ryjpzoxzpi3ex53cmayui1,A. Crognale,,,5647615095,233,6,5647615039,185,,5647615041,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800331999,7,6,1,0,34,bu5w8wprynlj9mvphvy8sd94f,1,98.6,89.6,2025-04-13T00:37:22.448Z,2025-04-13T03:02:19Z,am7umg00yxt40mndzo6e0u3o4,F. Bonfiglio,,,5647615205,73,,5647615293,233,13,5647615203,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800332021,13,6,1,0,34,87c66ubwpzykovmkaf1t46bis,0,1.4,10.4,2025-04-13T00:37:22.448Z,2025-04-13T03:02:19Z,4o1ryjpzoxzpi3ex53cmayui1,A. Crognale,,,5647615271,73,,5647615269,56,Back,5647615319,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800332325,8,1,1,1,1,bu5w8wprynlj9mvphvy8sd94f,1,99.5,99.5,2025-04-13T00:37:50.088Z,2025-04-13T00:37:54Z,fm9i7pzwi2diu6i18kycmx1x,M. Romero,,,5647616809,141,95.3,5647616805,56,Left,5647616807,140,93.0,5647616803,6,,5647616811,212,7.4,5647616813,213,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800332333,9,3,1,1,2,bu5w8wprynlj9mvphvy8sd94f,0,90.8,94.8,2025-04-13T00:37:51.370Z,2025-04-13T00:43:33Z,bolmgcfvbdizfyh6n9oz4xjsa,A. Gavilanes,,,5647637587,189,,5647616855,56,Left,5647616857,286,,5647616889,233,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800332331,14,7,1,1,2,87c66ubwpzykovmkaf1t46bis,1,8.1,5.0,2025-04-13T00:37:51.371Z,2025-04-13T00:37:54Z,zd582wgzhdcz8n6oipywt3vt,J. Hernández,,,5647616849,167,,5647616851,56,Back,5647616853,285,,5647616881,233,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800332347,10,5,1,1,4,bu5w8wprynlj9mvphvy8sd94f,1,90.7,101.2,2025-04-13T00:37:52.525Z,2025-04-13T03:01:38Z,bolmgcfvbdizfyh6n9oz4xjsa,A. Gavilanes,,,5647616923,347,,5647617005,233,15,5647616919,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800332339,15,5,1,1,4,87c66ubwpzykovmkaf1t46bis,0,9.3,-1.2,2025-04-13T00:37:52.525Z,2025-04-13T03:01:39Z,zd582wgzhdcz8n6oipywt3vt,J. Hernández,,,5647616871,347,,5647617015,233,10,5647616869,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800332713,11,1,1,1,40,bu5w8wprynlj9mvphvy8sd94f,0,88.5,100.0,2025-04-13T00:38:28.760Z,2025-04-13T00:38:32Z,cvi9u3v3krlkbvwcwjqztzvca,A. Mitrano,,,5647618829,1,,5647618815,107,,5647618821,140,91.4,5647618827,213,4.86,5647618823,141,70.0,5647618825,212,21.4,5647618817,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800332709,16,44,1,1,42,87c66ubwpzykovmkaf1t46bis,1,8.9,32.4,2025-04-13T00:38:30.795Z,2025-04-13T03:07:40Z,4o1ryjpzoxzpi3ex53cmayui1,A. Crognale,,,5647618935,233,12,5647618797,285,,5647618795,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800332721,12,44,1,1,42,bu5w8wprynlj9mvphvy8sd94f,0,91.1,67.6,2025-04-13T00:38:30.796Z,2025-04-13T03:07:40Z,am7umg00yxt40mndzo6e0u3o4,F. Bonfiglio,,,5647618875,56,Center,5647618939,233,16,5647618877,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800332717,17,12,1,1,42,87c66ubwpzykovmkaf1t46bis,1,9.2,36.4,2025-04-13T00:38:31.164Z,2025-04-13T00:38:32Z,4o1ryjpzoxzpi3ex53cmayui1,A. Crognale,,,5647618851,140,13.0,5647618849,56,Back,5647618881,15,,5647618853,141,32.1,5647618857,213,5.65,5647618855,212,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800351135,169,1,1,1,43,bu5w8wprynlj9mvphvy8sd94f,0,87.8,77.3,2025-04-13T00:38:31.664Z,2025-04-13T01:04:41Z,cyignmjprj3whvban361mclm2,D. Mercado,,,5647722881,56,Center,5647724015,141,76.5,5647724021,1,,5647724013,140,87.0,5647724017,212,1.0,5647724011,157,,5647724019,213,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800343647,124,61,1,1,43,87c66ubwpzykovmkaf1t46bis,1,15.4,27.1,2025-04-13T00:38:32.379Z,2025-04-13T00:52:12Z,4g4zufvyime7qp4ks4badls0k,A. Greive,,,5647678701,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800332771,13,61,1,1,48,bu5w8wprynlj9mvphvy8sd94f,1,87.9,70.3,2025-04-13T00:38:36.545Z,2025-04-13T00:47:18Z,cyignmjprj3whvban361mclm2,D. Mercado,,,5647619133,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800332799,14,5,1,1,48,bu5w8wprynlj9mvphvy8sd94f,0,101.2,69.2,2025-04-13T00:38:36.771Z,2025-04-13T03:01:39Z,cyignmjprj3whvban361mclm2,D. Mercado,,,5647619261,346,,5647619295,233,18,5647619259,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800332779,18,5,1,1,48,87c66ubwpzykovmkaf1t46bis,1,-1.2,30.8,2025-04-13T00:38:36.771Z,2025-04-13T03:01:39Z,4o1ryjpzoxzpi3ex53cmayui1,A. Crognale,,,5647619281,233,14,5647619177,56,Back,5647619179,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800332891,19,1,1,1,59,87c66ubwpzykovmkaf1t46bis,1,2.9,50.1,2025-04-13T00:38:47.746Z,2025-04-13T01:05:45Z,h4nbagq5dsdltn9x62oi0t05,R. Sánchez,,,5647619675,141,22.8,5647619671,56,Back,5647619683,237,,5647619673,140,14.0,5647619677,212,21.9,5647619669,124,,5647727729,189,,5647619679,213,5.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800332917,20,1,1,2,0,87c66ubwpzykovmkaf1t46bis,1,14.0,22.8,2025-04-13T00:38:48.963Z,2025-04-13T00:38:52Z,4o1ryjpzoxzpi3ex53cmayui1,A. Crognale,,,5647619837,141,41.5,5647619833,56,Back,5647619835,140,24.6,5647619869,189,,5647619839,212,16.9,5647619841,213,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800332975,21,1,1,2,6,87c66ubwpzykovmkaf1t46bis,1,25.3,42.2,2025-04-13T00:38:54.739Z,2025-04-13T00:38:56Z,bzu3rjr0r2qmxluguyseq5sdl,A. Soto,,,5647620175,140,26.7,5647620179,212,21.1,5647620173,56,Back,5647620177,141,73.2,5647620183,213,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800333035,22,1,1,2,8,87c66ubwpzykovmkaf1t46bis,1,26.7,73.2,2025-04-13T00:38:56.499Z,2025-04-13T00:39:02Z,371fgwtxyfnnu6m4pmq7s55ud,A. Souahy,,,5647620485,56,Back,5647620491,212,28.7,5647620493,213,4.28,5647620489,141,34.9,5647620487,140,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800333055,23,1,1,2,14,87c66ubwpzykovmkaf1t46bis,0,25.6,38.0,2025-04-13T00:39:02.546Z,2025-04-13T00:39:04Z,4o1ryjpzoxzpi3ex53cmayui1,A. Crognale,,,5647620609,140,61.4,5647620615,213,0.58,5647620605,155,,5647620611,141,74.5,5647620607,56,Center,5647620617,1,,5647620613,212,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800333095,15,1,1,2,19,bu5w8wprynlj9mvphvy8sd94f,0,42.0,24.4,2025-04-13T00:39:07.688Z,2025-04-13T00:39:08Z,fm9i7pzwi2diu6i18kycmx1x,M. Romero,,,5647620819,155,,5647620825,141,23.6,5647620821,56,Center,5647620831,213,6.26,5647620827,212,20.8,5647620823,140,61.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800333131,24,1,1,2,22,87c66ubwpzykovmkaf1t46bis,1,37.0,80.6,2025-04-13T00:39:10.898Z,2025-04-13T00:39:12Z,bfdes5ft117ggu7ue5tnu5hm2,N. Hernandez,,,5647621041,213,4.58,5647621039,212,7.3,5647621037,141,70.0,5647621033,140,36.1,5647621031,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800333209,25,1,1,2,24,87c66ubwpzykovmkaf1t46bis,1,35.6,70.0,2025-04-13T00:39:12.443Z,2025-04-13T00:39:19Z,c481wk3de3opu190d8z99w8yy,N. Flores,,,5647621445,56,Back,5647621451,212,31.1,5647621449,141,59.9,5647621447,140,6.7,5647621453,213,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800333237,26,1,1,2,30,87c66ubwpzykovmkaf1t46bis,1,9.3,54.8,2025-04-13T00:39:19.068Z,2025-04-13T00:39:22Z,h4nbagq5dsdltn9x62oi0t05,R. Sánchez,,,5647621567,140,13.8,5647621563,56,Back,5647621573,141,34.2,5647621577,212,14.8,5647621583,213,5.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800333283,27,1,1,2,33,87c66ubwpzykovmkaf1t46bis,1,14.6,33.7,2025-04-13T00:39:22.082Z,2025-04-13T00:39:25Z,4o1ryjpzoxzpi3ex53cmayui1,A. Crognale,,,5647621787,56,Back,5647621791,141,72.1,5647621793,212,27.3,5647621789,140,22.3,5647621795,213,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800333291,28,1,1,2,37,87c66ubwpzykovmkaf1t46bis,1,22.3,73.6,2025-04-13T00:39:25.602Z,2025-04-13T00:39:26Z,371fgwtxyfnnu6m4pmq7s55ud,A. Souahy,,,5647621817,56,Back,5647621825,213,6.28,5647621823,212,17.1,5647621821,141,73.5,5647621819,140,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800333295,29,1,1,2,38,87c66ubwpzykovmkaf1t46bis,1,38.6,73.5,2025-04-13T00:39:26.411Z,2025-04-13T00:39:29Z,bfdes5ft117ggu7ue5tnu5hm2,N. Hernandez,,,5647621863,56,Back,5647621867,141,59.4,5647621871,213,3.45,5647621865,140,10.2,5647621869,212,31.3,5647621879,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800333345,30,1,1,2,40,87c66ubwpzykovmkaf1t46bis,1,10.7,59.4,2025-04-13T00:39:28.979Z,2025-04-13T00:39:33Z,h4nbagq5dsdltn9x62oi0t05,R. Sánchez,,,5647622243,141,38.3,5647622247,213,5.30,5647622241,140,19.8,5647622245,212,17.2,5647622239,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800333387,31,1,1,2,45,87c66ubwpzykovmkaf1t46bis,1,21.5,36.1,2025-04-13T00:39:33.563Z,2025-04-13T01:08:19Z,4o1ryjpzoxzpi3ex53cmayui1,A. Crognale,,,5647622459,141,39.5,5647622453,155,,5647622457,140,48.4,5647622461,212,28.3,5647622455,56,Back,5647622463,213,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800353581,227,61,1,2,46,87c66ubwpzykovmkaf1t46bis,0,45.8,42.2,2025-04-13T00:39:35.200Z,2025-04-13T02:54:50Z,4g4zufvyime7qp4ks4badls0k,A. Greive,,,5647737489,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800333379,16,8,1,2,48,bu5w8wprynlj9mvphvy8sd94f,1,61.7,65.2,2025-04-13T00:39:37.241Z,2025-04-13T00:49:10Z,d539xjkdwt1i77f0czbvo8ull,B. Akinyode,,,5647622397,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800333405,32,4,1,2,52,87c66ubwpzykovmkaf1t46bis,1,44.6,31.8,2025-04-13T00:39:40.552Z,2025-04-13T00:39:49Z,4g4zufvyime7qp4ks4badls0k,A. Greive,,,5647622749,13,,5647622783,233,17,5647622755,152,,5647622753,56,Back,5647622757,286,,5647622751,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800333403,17,4,1,2,52,bu5w8wprynlj9mvphvy8sd94f,0,55.4,68.2,2025-04-13T00:39:40.553Z,2025-04-13T00:39:47Z,d539xjkdwt1i77f0czbvo8ull,B. Akinyode,,,5647622815,233,32,5647622739,13,,5647622745,152,,5647622747,285,,5647622743,56,Center,5647622741,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800333529,33,1,1,3,2,87c66ubwpzykovmkaf1t46bis,1,45.6,26.5,2025-04-13T00:39:50.699Z,2025-04-13T02:55:36Z,4o1ryjpzoxzpi3ex53cmayui1,A. Crognale,,,5647623199,212,17.3,5647623195,140,62.0,5647623191,152,,5647623201,213,6.22,5647623193,56,Center,5647623197,141,25.0,5647623189,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800333631,34,1,1,3,4,87c66ubwpzykovmkaf1t46bis,1,62.0,25.0,2025-04-13T00:39:52.835Z,2025-04-13T00:40:02Z,zd582wgzhdcz8n6oipywt3vt,J. Hernández,,,5647623775,140,77.0,5647623773,56,Right,5647623779,212,19.7,5647623777,141,7.6,5647623781,213,5.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800333571,18,83,1,3,8,bu5w8wprynlj9mvphvy8sd94f,0,23.2,90.2,2025-04-13T00:39:56.888Z,2025-04-13T00:40:18Z,cvi9u3v3krlkbvwcwjqztzvca,A. Mitrano,,,5647624623,399,8pg5wiwxujx3hnir5wie9xgfe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800333635,35,79,1,3,13,87c66ubwpzykovmkaf1t46bis,0,0.0,0.0,2025-04-13T00:40:01.948Z,2025-04-13T00:40:02Z,,,,,5647623787,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800333739,19,79,1,3,27,bu5w8wprynlj9mvphvy8sd94f,1,0.0,0.0,2025-04-13T00:40:15.680Z,2025-04-13T00:40:15Z,,,,,5647624467,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800333757,36,1,1,3,27,87c66ubwpzykovmkaf1t46bis,1,79.1,10.7,2025-04-13T00:40:16.251Z,2025-04-13T00:40:17Z,8pg5wiwxujx3hnir5wie9xgfe,Diogo Pacheco,,,5647624569,56,Right,5647624571,140,69.0,5647624577,213,2.77,5647624573,141,16.8,5647624575,212,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800333805,37,1,1,3,29,87c66ubwpzykovmkaf1t46bis,1,69.0,16.8,2025-04-13T00:40:17.851Z,2025-04-13T00:40:21Z,zd582wgzhdcz8n6oipywt3vt,J. Hernández,,,5647624835,213,1.90,5647624827,56,Center,5647624833,212,17.8,5647624831,141,41.6,5647624829,140,63.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
