id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/15/value
2823737127,6,27,1,0,50,b5l2e3csycjb8twvq9ek0j5gq,1,0.0,0.0,2025-06-22T00:09:50.315Z,2025-06-22T01:10:04Z,,,,5777273503,41,Injury,5777273533,233,5,5777273505,53,653qyopyxl1qrfmul2n3m5g16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823737153,6,28,1,0,58,c9xffml4i7ihblp1qhus9w3fu,1,0.0,0.0,2025-06-22T00:09:58.425Z,2025-06-22T01:10:04Z,,,,5777273673,55,5,5777273709,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823737163,7,28,1,0,58,b5l2e3csycjb8twvq9ek0j5gq,1,0.0,0.0,2025-06-22T00:09:58.425Z,2025-06-22T00:10:00Z,,,,5777273721,233,6,5777273705,55,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823737269,8,1,1,1,16,b5l2e3csycjb8twvq9ek0j5gq,1,58.8,32.4,2025-06-22T00:10:16.642Z,2025-06-22T00:10:21Z,4jq1xl8ott88bxfdo4bjm47hl,T. Gibson,,5777274379,1,,5777274365,196,,5777274371,140,91.5,5777274367,152,,5777274363,155,,5777274369,56,Left,5777274375,212,53.5,5777274377,213,0.87,5777274361,5,5777274373,141,92.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823737273,9,61,1,1,20,b5l2e3csycjb8twvq9ek0j5gq,0,91.5,92.7,2025-06-22T00:10:20.642Z,2025-06-22T00:10:21Z,cclpvd1z3yyruciida1q3x4o9,P. Wilson,,5777274397,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823737299,7,1,1,1,24,c9xffml4i7ihblp1qhus9w3fu,0,7.5,5.9,2025-06-22T00:10:24.217Z,2025-06-22T00:10:26Z,5uv1a9rj5wot3wcgefjoxhkdm,J. Rufe,,5777274557,286,,5777274539,56,Back,5777274553,233,10,5777274549,1,,5777274541,140,12.9,5777274551,236,,5777274543,141,5.5,5777274537,157,,5777274545,212,5777274547,213,6.24,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,
2823737295,10,74,1,1,24,b5l2e3csycjb8twvq9ek0j5gq,1,84.1,89.1,2025-06-22T00:10:24.218Z,2025-06-22T00:10:26Z,evk0esdocrzt5zxqmv4ostdcl,J. Damm,,5777274519,285,,5777274517,56,Left,5777274565,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823737363,8,5,1,1,25,c9xffml4i7ihblp1qhus9w3fu,1,-1.2,33.8,2025-06-22T00:10:25.930Z,2025-06-22T01:09:49Z,5uv1a9rj5wot3wcgefjoxhkdm,J. Rufe,,5777274915,233,11,5777274895,346,,5777274893,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823737303,11,5,1,1,25,b5l2e3csycjb8twvq9ek0j5gq,0,101.2,66.2,2025-06-22T00:10:25.930Z,2025-06-22T00:10:38Z,evk0esdocrzt5zxqmv4ostdcl,J. Damm,,5777274929,233,8,5777274573,346,,5777274571,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823737515,9,1,1,1,48,c9xffml4i7ihblp1qhus9w3fu,1,3.2,55.5,2025-06-22T00:10:48.223Z,2025-06-22T00:10:53Z,dlcxvrsqhiz8ce0nqnh6h6dw5,M. Van Oekel,,5777275709,212,62.2,5777275713,1,,5777275703,56,Center,5777275701,124,,5777275707,141,76.4,5777275717,74,,5777275705,140,60.9,5777275711,213,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823737519,10,44,1,1,53,c9xffml4i7ihblp1qhus9w3fu,1,62.6,83.5,2025-06-22T00:10:53.208Z,2025-06-22T00:56:07Z,9etod4kwf9f5ye7jzc5ez0e3u,E. Laszo,,5777275721,56,Left,5777275793,233,12,5777275723,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823737525,12,44,1,1,53,b5l2e3csycjb8twvq9ek0j5gq,0,37.4,16.5,2025-06-22T00:10:53.209Z,2025-06-22T00:56:07Z,e0879u9ckqe6xv1h2j8bqto9g,A. Elmasnaouy,,5777275803,233,10,5777275753,285,,5777275751,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823737529,11,1,1,1,53,c9xffml4i7ihblp1qhus9w3fu,0,60.8,76.9,2025-06-22T00:10:53.346Z,2025-06-22T00:10:54Z,9etod4kwf9f5ye7jzc5ez0e3u,E. Laszo,,5777275765,140,70.4,5777275771,213,0.09,5777275767,141,78.2,5777275761,168,,5777275759,3,,5777275763,56,Center,5777275769,212,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823737539,13,1,1,1,54,b5l2e3csycjb8twvq9ek0j5gq,1,30.7,12.4,2025-06-22T00:10:54.290Z,2025-06-22T00:10:55Z,653qyopyxl1qrfmul2n3m5g16,M. Doner,,5777275841,212,15.6,5777275835,56,Back,5777275843,213,0.40,5777275839,141,21.3,5777275837,140,44.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823737555,15,1,1,1,55,b5l2e3csycjb8twvq9ek0j5gq,1,44.4,21.3,2025-06-22T00:10:55.058Z,2025-06-22T00:10:57Z,e0879u9ckqe6xv1h2j8bqto9g,A. Elmasnaouy,,5777275919,213,4.05,5777275911,56,Back,5777275917,212,8.1,5777275915,141,11.9,5777275913,140,39.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823737547,12,83,1,1,55,c9xffml4i7ihblp1qhus9w3fu,0,58.7,92.7,2025-06-22T00:10:55.937Z,2025-06-22T00:10:59Z,7drelguz6c1htw10sq7zyxh0q,D. Trejo,,5777276059,399,653qyopyxl1qrfmul2n3m5g16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823737563,16,50,1,1,56,b5l2e3csycjb8twvq9ek0j5gq,1,40.2,10.8,2025-06-22T00:10:56.587Z,2025-06-22T00:11:02Z,653qyopyxl1qrfmul2n3m5g16,M. Doner,,5777275963,56,Back,5777276017,233,13,5777275965,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823737567,13,7,1,1,56,c9xffml4i7ihblp1qhus9w3fu,0,59.8,89.2,2025-06-22T00:10:56.588Z,2025-06-22T00:11:00Z,7drelguz6c1htw10sq7zyxh0q,D. Trejo,,5777275971,56,Left,5777275973,285,,5777275999,233,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823740341,80,61,1,1,57,b5l2e3csycjb8twvq9ek0j5gq,1,44.9,3.7,2025-06-22T00:10:57.251Z,2025-06-22T00:16:39Z,653qyopyxl1qrfmul2n3m5g16,M. Doner,,5777293941,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823740411,68,50,1,1,57,c9xffml4i7ihblp1qhus9w3fu,1,54.6,97.2,2025-06-22T00:10:57.288Z,2025-06-22T00:22:21Z,7drelguz6c1htw10sq7zyxh0q,D. Trejo,,5777295575,56,Left,5777295577,286,,5777296649,233,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823740345,81,7,1,1,57,b5l2e3csycjb8twvq9ek0j5gq,1,45.4,2.8,2025-06-22T00:10:57.289Z,2025-06-22T00:22:21Z,653qyopyxl1qrfmul2n3m5g16,M. Doner,,5777296619,285,,5777296617,56,Back,5777298569,233,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823737587,17,61,1,1,58,b5l2e3csycjb8twvq9ek0j5gq,1,39.5,13.4,2025-06-22T00:10:58.914Z,2025-06-22T00:19:15Z,e0879u9ckqe6xv1h2j8bqto9g,A. Elmasnaouy,,5777276095,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823737605,14,83,1,1,59,c9xffml4i7ihblp1qhus9w3fu,0,54.2,93.0,2025-06-22T00:10:59.344Z,2025-06-22T02:20:42Z,bxlh35ww96wgrsgfc8blou50p,M. Mensah,,5777276373,399,4e47ixpbc8x9qzn7l3aeej0tl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823741765,100,61,1,2,0,b5l2e3csycjb8twvq9ek0j5gq,0,46.3,1.9,2025-06-22T00:11:00.010Z,2025-06-22T00:19:09Z,4e47ixpbc8x9qzn7l3aeej0tl,K. Greene,,5777302423,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823743111,120,1,1,2,1,c9xffml4i7ihblp1qhus9w3fu,1,55.4,95.9,2025-06-22T00:11:01.422Z,2025-06-22T00:21:12Z,bxlh35ww96wgrsgfc8blou50p,M. Mensah,,5777307889,140,47.2,5777307887,56,Back,5777307893,212,8.6,5777307895,213,3.20,5777307891,141,95.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823737617,18,43,1,2,1,b5l2e3csycjb8twvq9ek0j5gq,1,0.0,0.0,2025-06-22T00:11:01.715Z,2025-06-22T00:11:04Z,e0879u9ckqe6xv1h2j8bqto9g,A. Elmasnaouy,,5777276243,56,Back,5777276375,144,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823737673,16,1,1,2,2,c9xffml4i7ihblp1qhus9w3fu,1,48.0,86.6,2025-06-22T00:11:02.736Z,2025-06-22T00:11:06Z,9etod4kwf9f5ye7jzc5ez0e3u,E. Laszo,,5777276489,140,35.2,5777276495,213,3.27,5777276491,141,84.1,5777276493,212,13.5,5777276487,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823744041,138,61,1,2,3,c9xffml4i7ihblp1qhus9w3fu,0,34.6,89.7,2025-06-22T00:11:03.430Z,2025-06-22T00:23:17Z,9i7vyapra7fjdtv6xd9sms2ne,A. Paterson,,5777313663,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823737671,19,61,1,2,6,b5l2e3csycjb8twvq9ek0j5gq,0,73.7,13.7,2025-06-22T00:11:06.498Z,2025-06-22T02:20:51Z,6g7v93m80xq6x38o9u3t8y3je,W. Prentice,,5777276479,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823737691,17,1,1,2,6,c9xffml4i7ihblp1qhus9w3fu,1,34.0,81.5,2025-06-22T00:11:06.831Z,2025-06-22T00:26:25Z,9i7vyapra7fjdtv6xd9sms2ne,A. Paterson,,5777276573,56,Back,5777276579,212,7.2,5777276577,141,87.1,5777276575,140,39.8,5777276581,213,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823745473,157,3,1,2,7,c9xffml4i7ihblp1qhus9w3fu,0,43.6,81.9,2025-06-22T00:11:07.517Z,2025-06-22T00:55:59Z,9etod4kwf9f5ye7jzc5ez0e3u,E. Laszo,,5777323431,286,,5777323429,56,Back,5777324277,233,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823745691,175,7,1,2,7,b5l2e3csycjb8twvq9ek0j5gq,1,56.4,18.1,2025-06-22T00:11:07.518Z,2025-06-22T00:55:58Z,e0879u9ckqe6xv1h2j8bqto9g,A. Elmasnaouy,,5777324159,56,Right,5777324161,285,,5777324249,233,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823746363,191,61,1,2,8,b5l2e3csycjb8twvq9ek0j5gq,1,57.0,10.5,2025-06-22T00:11:07.976Z,2025-06-22T00:27:55Z,e0879u9ckqe6xv1h2j8bqto9g,A. Elmasnaouy,,5777326421,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823737693,18,61,1,2,8,c9xffml4i7ihblp1qhus9w3fu,0,40.7,81.1,2025-06-22T00:11:08.807Z,2025-06-22T02:20:53Z,9etod4kwf9f5ye7jzc5ez0e3u,E. Laszo,,5777276589,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823737713,19,43,1,2,11,c9xffml4i7ihblp1qhus9w3fu,1,0.0,0.0,2025-06-22T00:11:11.816Z,2025-06-22T00:11:16Z,9etod4kwf9f5ye7jzc5ez0e3u,E. Laszo,,5777276691,56,Back,5777277059,144,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823737727,21,1,1,2,11,b5l2e3csycjb8twvq9ek0j5gq,1,72.7,41.4,2025-06-22T00:11:11.818Z,2025-06-22T02:20:55Z,6g7v93m80xq6x38o9u3t8y3je,W. Prentice,,5777276789,213,2.85,5777276781,56,Center,5777276787,212,16.7,5777276785,141,48.4,5777276783,140,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823737781,22,1,1,2,12,b5l2e3csycjb8twvq9ek0j5gq,1,57.5,48.4,2025-06-22T00:11:12.922Z,2025-06-22T00:11:17Z,4jq1xl8ott88bxfdo4bjm47hl,T. Gibson,,5777277109,213,1.58,5777277105,141,73.4,5777277107,212,17.0,5777277101,56,Center,5777277103,140,57.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823737817,23,1,1,2,17,b5l2e3csycjb8twvq9ek0j5gq,1,67.8,77.9,2025-06-22T00:11:17.354Z,2025-06-22T00:11:21Z,2w7w1l7lwhu2u6nhvqg1bnd2h,N. Hackshaw,,5777277291,213,1.05,5777277283,56,Left,5777277287,141,91.5,5777277285,140,72.8,5777277289,212,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823737857,24,1,1,2,20,b5l2e3csycjb8twvq9ek0j5gq,1,68.6,88.2,2025-06-22T00:11:20.667Z,2025-06-22T00:11:24Z,evk0esdocrzt5zxqmv4ostdcl,J. Damm,,5777277533,213,3.00,5777277525,56,Left,5777277527,140,56.7,5777277531,212,12.6,5777277529,141,90.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823737879,25,1,1,2,26,b5l2e3csycjb8twvq9ek0j5gq,1,51.8,83.0,2025-06-22T00:11:26.362Z,2025-06-22T00:11:27Z,2w7w1l7lwhu2u6nhvqg1bnd2h,N. Hackshaw,,5777277683,141,71.6,5777277685,212,9.6,5777277687,213,4.08,5777277681,140,46.4,5777277679,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823737883,26,1,1,2,27,b5l2e3csycjb8twvq9ek0j5gq,1,46.4,71.6,2025-06-22T00:11:27.002Z,2025-06-22T00:11:28Z,4jq1xl8ott88bxfdo4bjm47hl,T. Gibson,,5777277699,141,45.9,5777277703,213,4.83,5777277701,212,17.6,5777277695,56,Back,5777277697,140,48.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823737907,27,1,1,2,27,b5l2e3csycjb8twvq9ek0j5gq,1,48.4,45.9,2025-06-22T00:11:27.884Z,2025-06-22T00:11:31Z,ei30dsbb51ri88sr7aku2t13p,G. Margvelashvili,,5777277819,213,6.24,5777277813,140,56.5,5777277815,141,45.3,5777277817,212,8.5,5777277811,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823737911,28,1,1,2,30,b5l2e3csycjb8twvq9ek0j5gq,0,56.2,50.1,2025-06-22T00:11:30.866Z,2025-06-22T00:11:32Z,e0879u9ckqe6xv1h2j8bqto9g,A. Elmasnaouy,,5777277843,140,70.7,5777277847,212,27.9,5777277849,213,0.99,5777277841,56,Left,5777277845,141,84.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823737957,21,1,1,2,36,c9xffml4i7ihblp1qhus9w3fu,1,27.4,4.6,2025-06-22T00:11:36.352Z,2025-06-22T00:11:37Z,beq6yluq1raxsrvxo77qlrf56,S. Turnbull,,5777278065,212,9.1,5777278069,213,2.53,5777278061,140,20.3,5777278063,141,12.3,5777278059,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823737969,22,1,1,2,37,c9xffml4i7ihblp1qhus9w3fu,0,22.4,11.9,2025-06-22T00:11:37.864Z,2025-06-22T00:11:38Z,5uv1a9rj5wot3wcgefjoxhkdm,J. Rufe,,5777278153,212,37.7,5777278149,140,58.3,5777278155,213,0.02,5777278151,141,13.2,5777278157,1,,5777278147,56,Right,5777278145,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823738001,30,1,1,2,40,b5l2e3csycjb8twvq9ek0j5gq,1,38.7,85.7,2025-06-22T00:11:40.083Z,2025-06-22T00:11:42Z,2w7w1l7lwhu2u6nhvqg1bnd2h,N. Hackshaw,,5777278319,56,Back,5777278323,141,66.8,5777278325,212,12.9,5777278327,213,4.70,5777278321,140,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823738023,31,1,1,2,41,b5l2e3csycjb8twvq9ek0j5gq,1,38.6,67.3,2025-06-22T00:11:41.714Z,2025-06-22T00:11:45Z,ei30dsbb51ri88sr7aku2t13p,G. Margvelashvili,,5777278411,56,Back,5777278417,212,9.1,5777278415,141,55.5,5777278413,140,42.7,5777278419,213,5.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823738043,32,1,1,2,44,b5l2e3csycjb8twvq9ek0j5gq,1,40.3,57.6,2025-06-22T00:11:44.578Z,2025-06-22T00:11:48Z,e0879u9ckqe6xv1h2j8bqto9g,A. Elmasnaouy,,5777278543,1,,5777278535,140,76.2,5777278539,212,47.1,5777278531,155,,5777278537,141,16.1,5777278533,56,Right,5777278541,213,5.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823738045,33,61,1,2,48,b5l2e3csycjb8twvq9ek0j5gq,0,78.8,16.9,2025-06-22T00:11:48.035Z,2025-06-22T00:11:48Z,653qyopyxl1qrfmul2n3m5g16,M. Doner,,5777278547,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
