id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId
2785783091,7,1,1,0,11,2n3wgr89m7jl8tmioemit2pgq,1,76.7,90.2,2025-03-09T00:06:36.583Z,2025-03-09T00:45:59Z,3ei1s8oyub83owfxxbsygmsmi,J. Jiménez,,,5567722973,213,3.10,5567722965,56,Left,5567722971,212,19.4,5567722967,140,58.2,5567722969,141,91.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783097,9,1,1,0,16,2n3wgr89m7jl8tmioemit2pgq,1,40.2,88.3,2025-03-09T00:06:40.830Z,2025-03-09T00:06:41Z,6tesoh4ckbbkisphokig9yqz8,E. Samadia,,,5567723001,141,67.9,5567723005,213,4.21,5567722999,140,32.9,5567722997,56,Back,5567723003,212,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783109,10,1,1,0,16,2n3wgr89m7jl8tmioemit2pgq,1,32.9,67.9,2025-03-09T00:06:41.511Z,2025-03-09T00:06:43Z,38ghqgck8fwnxap6em08avzs9,J. Scarlett,,,5567723061,56,Back,5567723069,213,4.76,5567723067,212,26.2,5567723065,141,29.4,5567723063,140,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783117,11,1,1,0,18,2n3wgr89m7jl8tmioemit2pgq,1,34.0,29.4,2025-03-09T00:06:43.518Z,2025-03-09T00:55:44Z,984jr9d6sbi5l5vt9ct1b6cph,A. Diz,,,5567723127,213,4.82,5567723125,212,12.0,5567723119,140,35.2,5567723117,56,Back,5567723123,141,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783131,12,1,1,0,20,2n3wgr89m7jl8tmioemit2pgq,0,35.2,11.9,2025-03-09T00:06:45.030Z,2025-03-09T00:06:48Z,8qqehla9xvhut6uua4a0zcju2,S. Anderson,,,5567723211,155,,5567723223,1,,5567723215,140,72.3,5567723219,212,39.2,5567723213,56,Right,5567723217,141,18.9,5567723221,213,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783147,5,61,1,0,25,ck22dnk93ng8ax7wonlff7yms,1,31.5,76.3,2025-03-09T00:06:50.037Z,2025-03-09T00:06:50Z,rtercnq9nn7y0814ghe7wo2x,D. Barbir,,,5567723295,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783181,7,3,1,0,27,ck22dnk93ng8ax7wonlff7yms,0,38.7,73.0,2025-03-09T00:06:52.020Z,2025-03-09T00:23:58Z,2yflerah2shma2hzhm99msez9,S. Williams,,,5567757875,233,146,5567756845,286,,5567723463,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785788555,146,7,1,0,27,2n3wgr89m7jl8tmioemit2pgq,1,61.3,27.0,2025-03-09T00:06:52.021Z,2025-03-09T02:18:02Z,16si0dgkuqvahp0x1bjr37xuc,Junior Moreira,,,5567757855,233,7,5567757847,285,,5567757845,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783185,8,61,1,0,28,ck22dnk93ng8ax7wonlff7yms,0,33.8,95.6,2025-03-09T00:06:53.047Z,2025-03-09T00:55:29Z,khvgxqohya7mawca1qx5q590,S. Djeffal,,,5567723487,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783177,13,1,1,0,29,2n3wgr89m7jl8tmioemit2pgq,0,62.0,6.2,2025-03-09T00:06:53.846Z,2025-03-09T00:55:47Z,8qqehla9xvhut6uua4a0zcju2,S. Anderson,,,5567723451,56,Right,5567723457,212,2.4,5567723459,213,0.41,5567723455,141,7.6,5567761637,236,,5567761639,233,9,5567761645,286,,5567723453,140,64.1,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783211,9,74,1,0,29,ck22dnk93ng8ax7wonlff7yms,1,35.1,92.3,2025-03-09T00:06:53.847Z,2025-03-09T02:18:14Z,khvgxqohya7mawca1qx5q590,S. Djeffal,,,5567761655,233,13,5567723617,285,,5567723615,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783235,10,5,1,0,30,ck22dnk93ng8ax7wonlff7yms,0,36.7,101.8,2025-03-09T00:06:54.949Z,2025-03-09T02:16:48Z,khvgxqohya7mawca1qx5q590,S. Djeffal,,,5567723769,56,Back,5567723771,347,,5567762155,233,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783203,14,5,1,0,30,2n3wgr89m7jl8tmioemit2pgq,1,63.3,-1.8,2025-03-09T00:06:54.949Z,2025-03-09T02:16:48Z,8qqehla9xvhut6uua4a0zcju2,S. Anderson,,,5567723595,56,Right,5567762129,233,10,5567723597,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783217,15,1,1,0,32,2n3wgr89m7jl8tmioemit2pgq,1,61.0,0.0,2025-03-09T00:06:57.350Z,2025-03-09T00:06:59Z,8qqehla9xvhut6uua4a0zcju2,S. Anderson,,,5567723641,140,35.1,5567723645,212,28.4,5567723637,107,,5567723639,56,Back,5567723647,213,2.85,5567723649,1,,5567723643,141,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783227,16,1,1,0,34,2n3wgr89m7jl8tmioemit2pgq,1,34.2,11.9,2025-03-09T00:06:59.615Z,2025-03-09T00:07:01Z,984jr9d6sbi5l5vt9ct1b6cph,A. Diz,,,5567723715,56,Back,5567723721,212,30.5,5567723717,140,30.8,5567723719,141,56.4,5567723723,213,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783247,17,1,1,0,37,2n3wgr89m7jl8tmioemit2pgq,1,30.8,58.8,2025-03-09T00:07:01.766Z,2025-03-09T00:07:05Z,38ghqgck8fwnxap6em08avzs9,J. Scarlett,,,5567723841,213,1.50,5567723833,56,Back,5567723839,212,14.6,5567723837,141,80.2,5567723835,140,31.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783275,18,1,1,0,41,2n3wgr89m7jl8tmioemit2pgq,0,33.6,90.6,2025-03-09T00:07:05.750Z,2025-03-09T00:56:21Z,6tesoh4ckbbkisphokig9yqz8,E. Samadia,,,5567723971,155,,5567723981,213,5.89,5567723975,140,67.8,5567723979,212,38.9,5567723977,141,68.7,5567723983,1,,5567723973,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783277,19,43,1,0,44,2n3wgr89m7jl8tmioemit2pgq,1,0.0,0.0,2025-03-09T00:07:09.342Z,2025-03-09T00:56:23Z,9izknjlz6zunwjpo4u94q855g,M. Dieng,,,5567723997,3,0,5567724001,56,Center,5567724011,213,5.30,5567724005,140,69.6,5567724007,141,64.5,5567724009,212,3.4,5567859319,144,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783303,12,1,1,0,47,ck22dnk93ng8ax7wonlff7yms,1,27.2,37.4,2025-03-09T00:07:12.664Z,2025-03-09T00:25:20Z,rtercnq9nn7y0814ghe7wo2x,D. Barbir,,,5567724199,212,10.8,5567724193,56,Back,5567724197,141,26.2,5567724195,140,34.5,5567724201,213,5.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783313,13,1,1,0,53,ck22dnk93ng8ax7wonlff7yms,1,32.1,27.4,2025-03-09T00:07:17.941Z,2025-03-09T00:07:20Z,khvgxqohya7mawca1qx5q590,S. Djeffal,,,5567724261,141,25.9,5567724265,213,3.19,5567724259,140,11.6,5567724257,56,Back,5567724263,212,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783319,14,1,1,0,55,ck22dnk93ng8ax7wonlff7yms,1,19.7,22.9,2025-03-09T00:07:19.932Z,2025-03-09T00:26:09Z,16ndalf4kfr7e6rd9mwj7gfmc,K. Burks,,,5567724313,141,49.9,5567724315,212,22.3,5567724317,213,2.17,5567724309,56,Back,5567724311,140,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785790099,147,1,1,0,56,ck22dnk93ng8ax7wonlff7yms,1,7.8,49.9,2025-03-09T00:07:21.459Z,2025-03-09T00:27:53Z,4o2odluv4usimcdtryht04zjd,L. Ketterer,,,5567766651,213,0.97,5567766643,56,Back,5567766647,141,71.5,5567766649,212,17.8,5567766645,140,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783345,15,1,1,0,57,ck22dnk93ng8ax7wonlff7yms,1,9.2,50.1,2025-03-09T00:07:22.397Z,2025-03-09T00:27:55Z,rtercnq9nn7y0814ghe7wo2x,D. Barbir,,,5567724485,56,Back,5567724491,212,13.6,5567724489,141,69.0,5567724487,140,13.3,5567724493,213,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783365,16,1,1,1,3,ck22dnk93ng8ax7wonlff7yms,1,34.2,83.4,2025-03-09T00:07:28.659Z,2025-03-09T00:29:04Z,2wj1w4opn7f0jyz1ps6ebvc6i,K. Sargeant,,,5567724593,141,65.6,5567724589,56,Back,5567724595,212,18.6,5567724597,213,5.58,5567724591,140,47.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783381,17,43,1,1,8,ck22dnk93ng8ax7wonlff7yms,1,0.0,0.0,2025-03-09T00:07:33.007Z,2025-03-09T00:29:00Z,khvgxqohya7mawca1qx5q590,S. Djeffal,,,5567724729,213,5.54,5567724727,212,13.3,5567724723,140,40.2,5567724725,141,71.5,5567724721,56,Back,5567770603,144,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783389,18,1,1,1,10,ck22dnk93ng8ax7wonlff7yms,1,41.2,71.1,2025-03-09T00:07:35.299Z,2025-03-09T00:29:11Z,4f03usm5tnljkqleajmz9kmol,C. Lancaster,,,5567724773,56,Back,5567724779,212,16.5,5567724777,141,50.3,5567724775,140,33.2,5567724781,213,4.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783437,19,1,1,1,12,ck22dnk93ng8ax7wonlff7yms,1,32.5,40.3,2025-03-09T00:07:37.479Z,2025-03-09T00:32:32Z,khvgxqohya7mawca1qx5q590,S. Djeffal,,,5567725031,141,25.0,5567725029,140,44.2,5567725027,56,Back,5567725035,213,5.58,5567725033,212,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783445,20,1,1,1,18,ck22dnk93ng8ax7wonlff7yms,1,60.8,24.6,2025-03-09T00:07:43.708Z,2025-03-09T00:32:30Z,csx9pmpibyblftludnkd6j36x,M. Epps,,,5567725051,56,Center,5567725053,140,83.2,5567725059,213,0.23,5567725057,212,24.2,5567725055,141,32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785792363,184,61,1,1,19,ck22dnk93ng8ax7wonlff7yms,0,71.0,44.9,2025-03-09T00:07:44.232Z,2025-03-09T00:32:28Z,abhcwxqh35hbgze01m4ihopyi,J. Beer,,,5567778183,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783515,21,1,1,1,24,2n3wgr89m7jl8tmioemit2pgq,1,13.0,59.0,2025-03-09T00:07:49.574Z,2025-03-09T00:07:53Z,crhe42indjb3mb7di7yh1zndg,A. Siaha,,,5567725433,140,14.6,5567725435,141,73.5,5567725437,212,10.0,5567725439,213,1.40,5567725429,123,,5567725431,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783531,22,1,1,1,28,2n3wgr89m7jl8tmioemit2pgq,0,20.9,74.1,2025-03-09T00:07:53.062Z,2025-03-09T00:07:56Z,38ghqgck8fwnxap6em08avzs9,J. Scarlett,,,5567725519,155,,5567725521,56,Center,5567725525,141,75.1,5567725531,1,,5567725529,213,0.01,5567725527,212,54.0,5567725523,140,72.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783569,21,1,1,1,33,ck22dnk93ng8ax7wonlff7yms,1,33.0,27.0,2025-03-09T00:07:57.947Z,2025-03-09T00:08:02Z,16ndalf4kfr7e6rd9mwj7gfmc,K. Burks,,,5567725751,213,5.89,5567725743,56,Right,5567725741,3,,5567725745,140,63.3,5567725753,1,,5567725749,212,34.4,5567725747,141,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783573,22,1,1,1,33,ck22dnk93ng8ax7wonlff7yms,0,61.6,7.7,2025-03-09T00:07:58.455Z,2025-03-09T02:16:14Z,abhcwxqh35hbgze01m4ihopyi,J. Beer,,,5567725779,213,3.17,5567725773,140,38.9,5567725777,212,23.8,5567725775,141,6.7,5567725771,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783577,23,1,1,1,34,2n3wgr89m7jl8tmioemit2pgq,0,63.0,87.4,2025-03-09T00:07:59.310Z,2025-03-09T02:16:17Z,dkk3twgai2ldi75eh0xr37hbe,M. Ngalina,,,5567725801,56,Left,5567725813,213,4.44,5567725803,140,61.7,5567725809,212,5.0,5567725805,141,80.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783601,23,61,1,1,35,ck22dnk93ng8ax7wonlff7yms,1,37.2,23.0,2025-03-09T00:08:00.627Z,2025-03-09T02:16:21Z,2yflerah2shma2hzhm99msez9,S. Williams,,,5567725915,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783639,24,1,1,1,36,ck22dnk93ng8ax7wonlff7yms,1,53.9,26.5,2025-03-09T00:08:01.062Z,2025-03-09T02:16:26Z,khvgxqohya7mawca1qx5q590,S. Djeffal,,,5567726071,140,58.1,5567726069,56,Right,5567726077,213,5.18,5567726075,212,9.7,5567726073,141,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783645,25,1,1,1,37,ck22dnk93ng8ax7wonlff7yms,0,58.1,13.8,2025-03-09T00:08:02.105Z,2025-03-09T02:16:42Z,csx9pmpibyblftludnkd6j36x,M. Epps,,,5567726121,56,Center,5567726125,141,27.6,5567726123,140,64.6,5567726129,213,0.94,5567726127,212,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785808547,390,8,1,1,44,2n3wgr89m7jl8tmioemit2pgq,1,30.0,61.4,2025-03-09T00:08:08.744Z,2025-03-09T00:57:57Z,984jr9d6sbi5l5vt9ct1b6cph,A. Diz,,,5567863587,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785808507,372,1,1,1,45,ck22dnk93ng8ax7wonlff7yms,0,63.2,31.0,2025-03-09T00:08:10.105Z,2025-03-09T02:16:28Z,khvgxqohya7mawca1qx5q590,S. Djeffal,,,5567863393,141,27.3,5567863389,56,Center,5568135599,233,24,5567863981,286,,5567863979,236,,5567863397,213,3.91,5567863395,212,3.6,5567863391,140,60.7,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783637,24,74,1,1,45,2n3wgr89m7jl8tmioemit2pgq,1,40.1,63.7,2025-03-09T00:08:10.106Z,2025-03-09T02:16:43Z,3ei1s8oyub83owfxxbsygmsmi,J. Jiménez,,,5567726067,56,Back,5568136553,233,372,5567863227,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783663,25,83,1,1,47,2n3wgr89m7jl8tmioemit2pgq,0,38.7,59.1,2025-03-09T00:08:12.237Z,2025-03-09T01:01:46Z,6pqwh2z47uwgr9u9y8n79ppzp,M. Hairston,,,5567865987,399,abhcwxqh35hbgze01m4ihopyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783709,26,1,1,1,48,ck22dnk93ng8ax7wonlff7yms,1,56.8,31.8,2025-03-09T00:08:13.494Z,2025-03-09T00:08:18Z,abhcwxqh35hbgze01m4ihopyi,J. Beer,,,5567726491,213,2.98,5567726487,141,38.0,5567726489,212,26.5,5567726483,56,Back,5567726485,140,31.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783721,27,1,1,1,53,ck22dnk93ng8ax7wonlff7yms,1,30.0,39.1,2025-03-09T00:08:18.164Z,2025-03-09T00:08:19Z,16ndalf4kfr7e6rd9mwj7gfmc,K. Burks,,,5567726561,212,11.6,5567726557,140,32.7,5567726559,141,55.7,5567726555,56,Back,5567726563,213,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783761,28,1,1,1,54,ck22dnk93ng8ax7wonlff7yms,1,34.1,64.3,2025-03-09T00:08:19.740Z,2025-03-09T00:58:14Z,rtercnq9nn7y0814ghe7wo2x,D. Barbir,,,5567726837,213,0.51,5567726839,1,,5567726835,212,35.0,5567726831,140,63.2,5567726829,56,Left,5567726833,141,89.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783789,29,1,1,2,1,ck22dnk93ng8ax7wonlff7yms,1,64.2,86.8,2025-03-09T00:08:26.716Z,2025-03-09T00:58:22Z,2wj1w4opn7f0jyz1ps6ebvc6i,K. Sargeant,,,5567727009,141,82.1,5567727007,140,53.8,5567727011,212,11.4,5567727005,56,Left,5567727013,213,3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783817,30,1,1,2,7,ck22dnk93ng8ax7wonlff7yms,1,51.0,78.4,2025-03-09T00:08:32.682Z,2025-03-09T00:08:35Z,2yflerah2shma2hzhm99msez9,S. Williams,,,5567727129,141,48.7,5567727127,140,36.5,5567727125,56,Back,5567727131,212,25.3,5567727133,213,4.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783849,31,1,1,2,10,ck22dnk93ng8ax7wonlff7yms,1,36.8,44.8,2025-03-09T00:08:35.107Z,2025-03-09T00:08:38Z,16ndalf4kfr7e6rd9mwj7gfmc,K. Burks,,,5567727311,56,Center,5567727319,213,6.09,5567727313,140,65.3,5567727317,212,30.5,5567727315,141,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783853,32,61,1,2,13,ck22dnk93ng8ax7wonlff7yms,0,65.0,37.3,2025-03-09T00:08:38.658Z,2025-03-09T00:08:39Z,abhcwxqh35hbgze01m4ihopyi,J. Beer,,,5567727339,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783857,26,44,1,2,14,2n3wgr89m7jl8tmioemit2pgq,1,35.4,57.0,2025-03-09T00:08:39.165Z,2025-03-09T02:17:38Z,6pqwh2z47uwgr9u9y8n79ppzp,M. Hairston,,,5567727367,233,33,5567727359,56,Back,5567727361,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783861,33,44,1,2,14,ck22dnk93ng8ax7wonlff7yms,0,64.6,43.0,2025-03-09T00:08:39.166Z,2025-03-09T02:17:38Z,abhcwxqh35hbgze01m4ihopyi,J. Beer,,,5567727387,233,26,5567727363,56,Center,5567727365,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
