id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/11/value,qualifier/14/value,qualifier/12/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2819821585,6,1,1,0,31,8cpjplodpphtkbt0hq8sr8mqs,0,21.4,11.4,2025-05-28T23:06:59.193Z,2025-05-28T23:09:48Z,arxprecroj7kqwx1tmkhhfsdm,B. Ofeimu,,,5755268939,140,61.4,5755268945,213,0.05,5755268937,56,Right,5755268941,141,14.7,5755268947,1,,5755268943,212,42.1,5755271935,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821605,10,1,1,0,32,2n3wgr89m7jl8tmioemit2pgq,1,51.8,58.2,2025-05-28T23:07:00.352Z,2025-05-28T23:07:03Z,9blzzcpytqe7o9rdte1s6mw6i,B. Makangila,,,5755269053,212,7.5,5755269055,213,0.79,5755269049,140,56.8,5755269051,141,66.0,5755269047,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821609,11,43,1,0,36,2n3wgr89m7jl8tmioemit2pgq,1,0.0,0.0,2025-05-28T23:07:03.681Z,2025-05-28T23:07:39Z,b7pzjfl5fuvivmc2x9defzfmx,D. Beckford,,,5755269739,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821611,12,1,1,0,36,2n3wgr89m7jl8tmioemit2pgq,1,54.5,72.7,2025-05-28T23:07:03.824Z,2025-05-29T02:51:30Z,b7pzjfl5fuvivmc2x9defzfmx,D. Beckford,,,5755269069,213,3.66,5755269067,212,21.4,5755269063,140,36.8,5755269061,56,Back,5755269065,141,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821627,13,1,1,0,37,2n3wgr89m7jl8tmioemit2pgq,1,37.3,52.4,2025-05-28T23:07:05.161Z,2025-05-28T23:07:08Z,dqvxmefhimxvxstvlz5yd7ysp,J. Farrell,,,5755269157,213,4.95,5755269149,56,Back,5755269153,141,18.0,5755269155,212,24.1,5755269151,140,42.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821637,14,1,1,0,41,2n3wgr89m7jl8tmioemit2pgq,1,41.9,20.9,2025-05-28T23:07:08.640Z,2025-05-28T23:07:11Z,c7q476j0dkl7e4fhqqlsp5rai,T. Presthus,,,5755269217,213,5.23,5755269213,141,7.7,5755269215,212,10.3,5755269209,56,Back,5755269211,140,46.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821647,15,1,1,0,43,2n3wgr89m7jl8tmioemit2pgq,1,46.8,7.7,2025-05-28T23:07:11.465Z,2025-05-28T23:07:15Z,8qqehla9xvhut6uua4a0zcju2,S. Anderson,,,5755269283,212,31.8,5755269277,56,Back,5755269285,213,2.03,5755269281,141,49.7,5755269279,140,33.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821659,16,1,1,0,47,2n3wgr89m7jl8tmioemit2pgq,1,30.8,50.3,2025-05-28T23:07:14.904Z,2025-05-28T23:07:19Z,dqvxmefhimxvxstvlz5yd7ysp,J. Farrell,,,5755269355,141,91.2,5755269351,56,Back,5755269357,212,28.0,5755269353,140,34.1,5755269359,213,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821673,17,1,1,0,51,2n3wgr89m7jl8tmioemit2pgq,1,34.1,88.4,2025-05-28T23:07:19.312Z,2025-05-28T23:07:25Z,38ghqgck8fwnxap6em08avzs9,J. Scarlett,,,5755269463,213,4.45,5755269455,56,Back,5755269459,141,62.1,5755269461,212,18.5,5755269457,140,29.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821675,18,1,1,0,57,2n3wgr89m7jl8tmioemit2pgq,0,31.0,59.4,2025-05-28T23:07:25.313Z,2025-05-28T23:07:26Z,dqvxmefhimxvxstvlz5yd7ysp,J. Farrell,,,5755269479,140,74.3,5755269481,141,28.5,5755269477,56,Center,5755269483,212,50.1,5755269487,1,,5755269475,155,,5755269485,213,5.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821899,16,1,1,1,0,8cpjplodpphtkbt0hq8sr8mqs,1,26.5,86.5,2025-05-28T23:07:28.334Z,2025-05-28T23:10:49Z,2pka62t1zg04jwkcx6zbc4wlw,F. McRobb,,,5755270691,212,21.2,5755270695,213,0.35,5755270687,141,97.1,5755270683,140,45.5,5755272975,3,,5755270681,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819822053,21,1,1,1,2,8cpjplodpphtkbt0hq8sr8mqs,1,47.2,88.0,2025-05-28T23:07:29.885Z,2025-05-28T23:09:36Z,2co6fedrz8anjzy9ise76dplh,J. Blake,,,5755271581,56,Back,5755271585,141,85.7,5755271589,213,3.21,5755271579,3,,5755271583,140,26.6,5755271587,212,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821703,7,12,1,1,3,8cpjplodpphtkbt0hq8sr8mqs,1,19.2,81.5,2025-05-28T23:07:31.079Z,2025-05-28T23:10:34Z,2pka62t1zg04jwkcx6zbc4wlw,F. McRobb,,,5755269595,140,40.5,5755269601,213,0.22,5755272699,15,,5755269597,141,88.9,5755269593,56,Back,5755269599,212,22.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821705,19,8,1,1,5,2n3wgr89m7jl8tmioemit2pgq,1,62.2,24.7,2025-05-28T23:07:33.153Z,2025-05-28T23:07:33Z,6pqwh2z47uwgr9u9y8n79ppzp,M. Hairston,,,5755269607,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821723,8,5,1,1,7,8cpjplodpphtkbt0hq8sr8mqs,1,35.3,101.6,2025-05-28T23:07:34.617Z,2025-05-29T00:08:23Z,2pka62t1zg04jwkcx6zbc4wlw,F. McRobb,,,5755269697,347,,5755269695,56,Back,5755269721,233,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821713,20,5,1,1,7,2n3wgr89m7jl8tmioemit2pgq,0,64.7,-1.6,2025-05-28T23:07:34.617Z,2025-05-29T00:08:23Z,6pqwh2z47uwgr9u9y8n79ppzp,M. Hairston,,,5755269637,56,Right,5755269639,347,,5755269735,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821773,9,1,1,1,17,8cpjplodpphtkbt0hq8sr8mqs,0,32.3,100.0,2025-05-28T23:07:45.023Z,2025-05-28T23:07:47Z,2pka62t1zg04jwkcx6zbc4wlw,F. McRobb,,,5755269913,213,5.97,5755269905,56,Left,5755269911,212,29.1,5755269909,141,88.9,5755269903,107,,5755269915,1,,5755269907,140,58.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821801,21,1,1,1,18,2n3wgr89m7jl8tmioemit2pgq,0,33.5,11.9,2025-05-28T23:07:46.385Z,2025-05-28T23:13:21Z,c7q476j0dkl7e4fhqqlsp5rai,T. Presthus,,,5755270031,3,,5755270039,212,7.1,5755270035,140,40.3,5755270041,213,6.26,5755270037,141,11.7,5755270033,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821787,10,1,1,1,22,8cpjplodpphtkbt0hq8sr8mqs,1,42.1,84.5,2025-05-28T23:07:49.702Z,2025-05-28T23:07:51Z,2co6fedrz8anjzy9ise76dplh,J. Blake,,,5755269979,56,Left,5755269981,140,60.7,5755269977,3,,5755269983,141,85.7,5755269987,213,0.04,5755269985,212,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821789,11,44,1,1,23,8cpjplodpphtkbt0hq8sr8mqs,1,61.1,89.1,2025-05-28T23:07:50.863Z,2025-05-29T00:09:04Z,5fhb206czgy2ul5j0tsqeo7ah,E. Amoh,,,5755269991,56,Left,5755269993,286,,5755277887,233,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819823071,95,44,1,1,23,2n3wgr89m7jl8tmioemit2pgq,0,38.9,10.9,2025-05-28T23:07:50.864Z,2025-05-29T00:09:05Z,6pqwh2z47uwgr9u9y8n79ppzp,M. Hairston,,,5755277859,285,,5755277915,233,11,5755277857,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821793,12,1,1,1,24,8cpjplodpphtkbt0hq8sr8mqs,0,60.7,85.7,2025-05-28T23:07:51.799Z,2025-05-29T00:10:29Z,5fhb206czgy2ul5j0tsqeo7ah,E. Amoh,,,5755270001,56,Left,5755277025,168,,5755270005,141,80.5,5755269999,3,,5755270009,213,4.83,5755270003,140,61.1,5755270007,212,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819823215,104,61,1,1,25,2n3wgr89m7jl8tmioemit2pgq,1,31.9,11.3,2025-05-28T23:07:52.641Z,2025-05-28T23:15:23Z,6pqwh2z47uwgr9u9y8n79ppzp,M. Hairston,,,5755278195,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821803,22,1,1,1,28,2n3wgr89m7jl8tmioemit2pgq,0,35.9,47.0,2025-05-28T23:07:55.784Z,2025-05-29T02:51:07Z,9blzzcpytqe7o9rdte1s6mw6i,B. Makangila,,,5755270105,3,,5755270113,213,5.60,5755270109,141,32.1,5755270111,212,16.0,5755270045,56,Back,5755270107,140,47.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821805,13,1,1,1,29,8cpjplodpphtkbt0hq8sr8mqs,0,38.8,80.5,2025-05-28T23:07:56.975Z,2025-05-29T00:10:35Z,54yx5xkqrktd2hp0sxjx6hm8l,J. Musa,,,5755270055,56,Left,5755270063,213,0.05,5755270059,141,85.0,5755278771,155,,5755270061,212,64.0,5755270065,1,,5755270057,140,99.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821807,14,43,1,1,32,8cpjplodpphtkbt0hq8sr8mqs,1,0.0,0.0,2025-05-28T23:07:59.543Z,2025-05-28T23:08:05Z,54yx5xkqrktd2hp0sxjx6hm8l,J. Musa,,,5755270071,56,Left,5755270129,144,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821819,24,1,1,1,37,2n3wgr89m7jl8tmioemit2pgq,1,7.4,27.7,2025-05-28T23:08:05.321Z,2025-05-28T23:08:11Z,crhe42indjb3mb7di7yh1zndg,A. Siaha,,,5755270207,140,9.1,5755270211,212,28.8,5755270209,141,70.0,5755270205,56,Back,5755270213,213,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821831,25,1,1,1,43,2n3wgr89m7jl8tmioemit2pgq,0,10.7,75.6,2025-05-28T23:08:10.809Z,2025-05-28T23:08:14Z,38ghqgck8fwnxap6em08avzs9,J. Scarlett,,,5755270237,155,,5755270249,1,,5755270241,140,65.0,5755270243,141,75.0,5755270247,213,6.28,5755270239,56,Center,5755270245,212,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821833,15,1,1,1,47,8cpjplodpphtkbt0hq8sr8mqs,0,27.8,58.4,2025-05-28T23:08:15.279Z,2025-05-29T00:10:59Z,54yx5xkqrktd2hp0sxjx6hm8l,J. Musa,,,5755270257,56,Back,5755270263,212,14.2,5755270265,213,0.77,5755279875,3,,5755270261,141,72.9,5755270259,140,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821837,26,1,1,1,48,2n3wgr89m7jl8tmioemit2pgq,1,65.1,53.9,2025-05-28T23:08:16.016Z,2025-05-28T23:08:18Z,7i9qesz7fugndupldntvshwd0,S. Careaga,,,5755270291,140,54.1,5755270289,56,Center,5755270295,212,12.0,5755270297,213,2.86,5755270293,141,58.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821839,27,1,1,1,50,2n3wgr89m7jl8tmioemit2pgq,1,54.1,58.8,2025-05-28T23:08:18.088Z,2025-05-28T23:08:21Z,6pqwh2z47uwgr9u9y8n79ppzp,M. Hairston,,,5755270307,212,29.5,5755270303,140,65.6,5755270305,141,19.2,5755270301,56,Right,5755270309,213,5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821847,28,1,1,1,53,2n3wgr89m7jl8tmioemit2pgq,1,68.1,17.3,2025-05-28T23:08:21.240Z,2025-05-29T02:51:13Z,8qqehla9xvhut6uua4a0zcju2,S. Anderson,,,5755270347,140,65.5,5755270351,212,11.0,5755270345,56,Center,5755270353,213,1.82,5755270349,141,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821853,29,1,1,1,57,2n3wgr89m7jl8tmioemit2pgq,1,65.3,31.6,2025-05-28T23:08:24.872Z,2025-05-28T23:08:26Z,7i9qesz7fugndupldntvshwd0,S. Careaga,,,5755270399,141,16.8,5755270397,140,65.9,5755270403,213,4.77,5755270401,212,10.1,5755270395,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821861,30,1,1,1,59,2n3wgr89m7jl8tmioemit2pgq,1,65.9,16.8,2025-05-28T23:08:26.584Z,2025-05-29T02:51:38Z,8qqehla9xvhut6uua4a0zcju2,S. Anderson,,,5755270465,141,42.1,5755270461,56,Back,5755270463,140,42.8,5755270467,212,29.7,5755270469,213,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821869,31,1,1,2,4,2n3wgr89m7jl8tmioemit2pgq,1,40.6,45.1,2025-05-28T23:08:31.672Z,2025-05-28T23:08:40Z,dqvxmefhimxvxstvlz5yd7ysp,J. Farrell,,,5755270527,141,13.7,5755270533,1,,5755270523,56,Right,5755270529,212,33.4,5755270525,140,65.0,5755270531,213,5.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821875,32,1,1,2,12,2n3wgr89m7jl8tmioemit2pgq,1,64.2,15.0,2025-05-28T23:08:40.465Z,2025-05-29T02:51:04Z,7i9qesz7fugndupldntvshwd0,S. Careaga,,,5755270565,141,15.3,5755270561,56,Back,5755270563,140,49.8,5755270567,212,15.1,5755270569,213,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821881,33,1,1,2,16,2n3wgr89m7jl8tmioemit2pgq,1,49.6,17.1,2025-05-28T23:08:43.880Z,2025-05-28T23:08:45Z,dqvxmefhimxvxstvlz5yd7ysp,J. Farrell,,,5755270593,56,Back,5755270597,141,48.1,5755270595,140,46.5,5755270601,213,1.72,5755270599,212,21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821885,34,1,1,2,17,2n3wgr89m7jl8tmioemit2pgq,0,44.8,53.6,2025-05-28T23:08:45.256Z,2025-05-29T02:51:06Z,38ghqgck8fwnxap6em08avzs9,J. Scarlett,,,5755270633,213,0.97,5755270627,140,66.3,5755270623,155,,5755270629,141,100.0,5755270625,56,Left,5755270635,1,,5755270631,212,39.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821953,17,5,1,2,18,8cpjplodpphtkbt0hq8sr8mqs,1,31.7,-2.0,2025-05-28T23:08:46.154Z,2025-05-29T00:08:24Z,2pka62t1zg04jwkcx6zbc4wlw,F. McRobb,,,5755271015,347,,5755271013,56,Back,5755280593,233,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821889,35,5,1,2,18,2n3wgr89m7jl8tmioemit2pgq,0,68.3,102.0,2025-05-28T23:08:46.154Z,2025-05-29T00:08:24Z,38ghqgck8fwnxap6em08avzs9,J. Scarlett,,,5755270651,347,,5755280611,233,17,5755270649,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821961,18,1,1,2,40,8cpjplodpphtkbt0hq8sr8mqs,0,25.7,0.0,2025-05-28T23:09:07.598Z,2025-05-28T23:09:09Z,1x95h6xtnycmvpqu7vgu4vh79,H. White,,,5755271051,56,Right,5755271049,107,,5755271055,141,9.8,5755271061,1,,5755271059,213,0.20,5755271057,212,39.3,5755271053,140,62.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821963,36,1,1,2,42,2n3wgr89m7jl8tmioemit2pgq,1,33.8,76.7,2025-05-28T23:09:09.577Z,2025-05-28T23:18:20Z,38ghqgck8fwnxap6em08avzs9,J. Scarlett,,,5755271063,56,Back,5755271067,141,82.6,5755271065,140,47.2,5755271071,213,0.28,5755280917,3,,5755271069,212,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821973,37,61,1,2,44,2n3wgr89m7jl8tmioemit2pgq,1,54.2,86.3,2025-05-28T23:09:12.337Z,2025-05-28T23:18:56Z,b7pzjfl5fuvivmc2x9defzfmx,D. Beckford,,,5755271119,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
