id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/8/value,qualifier/9/value,qualifier/11/value,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value
2785885751,5,1,1,0,12,bk3zg8yaj5uoqhxzwons3bo8a,1,26.9,76.7,2025-03-09T03:13:02.679Z,2025-03-09T03:13:05Z,cvdn34vl3zje5uq54nvg77sut,K. Ryden,,,5568295943,213,1.51,5568295939,141,86.9,5568295941,212,6.9,5568295937,140,27.3,5568295935,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785885757,6,61,1,0,15,bk3zg8yaj5uoqhxzwons3bo8a,0,31.8,89.0,2025-03-09T03:13:05.575Z,2025-03-09T03:13:06Z,9za3fwnri7qk1dutb4iwmh6g9,C. Gloster,,,5568295971,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785885823,6,1,1,0,16,7neuneh44n9rtsfsh6r0sb9no,0,66.2,14.6,2025-03-09T03:13:06.608Z,2025-03-09T05:28:34Z,8qjls72u1tvwuxas420p8ed5g,B. Willey,,,5568296315,212,12.6,5568313025,1,,5568296317,213,5.17,5568313023,157,,5568296311,140,71.5,5568296313,141,0.0,5568296309,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785885801,7,5,1,0,17,bk3zg8yaj5uoqhxzwons3bo8a,1,29.2,102.0,2025-03-09T03:13:07.432Z,2025-03-09T05:45:52Z,9za3fwnri7qk1dutb4iwmh6g9,C. Gloster,,,5568296183,347,,5568296181,56,Back,5568296413,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785885827,7,5,1,0,17,7neuneh44n9rtsfsh6r0sb9no,0,70.8,-2.0,2025-03-09T03:13:07.432Z,2025-03-09T03:49:30Z,9l35nvd07jhy457u1yehm3gx6,D. Vitiello,,,5568296335,56,Right,5568296455,233,7,5568296339,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785885845,8,1,1,0,20,bk3zg8yaj5uoqhxzwons3bo8a,1,29.8,100.0,2025-03-09T03:13:10.600Z,2025-03-09T03:13:14Z,9za3fwnri7qk1dutb4iwmh6g9,C. Gloster,,,5568296495,56,Back,5568296505,213,3.91,5568296493,107,,5568296501,212,13.9,5568296499,141,87.8,5568296497,140,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785885869,9,1,1,0,23,bk3zg8yaj5uoqhxzwons3bo8a,1,14.3,76.9,2025-03-09T03:13:13.695Z,2025-03-09T03:13:16Z,cvdn34vl3zje5uq54nvg77sut,K. Ryden,,,5568296591,140,7.1,5568296593,141,53.3,5568296589,56,Back,5568296597,213,4.27,5568296595,212,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785885889,10,1,1,0,26,bk3zg8yaj5uoqhxzwons3bo8a,1,4.8,52.5,2025-03-09T03:13:16.327Z,2025-03-09T03:13:18Z,zczt4alpawz5522hff8x39p1,A. Tambakis,,,5568296697,140,6.8,5568296695,56,Back,5568296699,141,42.4,5568296703,213,5.01,5568296701,212,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785885915,11,1,1,0,28,bk3zg8yaj5uoqhxzwons3bo8a,1,5.9,38.9,2025-03-09T03:13:18.471Z,2025-03-09T03:13:22Z,9imj5ig0i01uljnd3gd2cz1m,T. Maples,,,5568296893,213,4.80,5568296887,140,7.3,5568296889,141,13.2,5568296891,212,17.5,5568296885,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785885929,12,1,1,0,32,bk3zg8yaj5uoqhxzwons3bo8a,1,8.8,10.4,2025-03-09T03:13:22.607Z,2025-03-09T03:14:53Z,2o86bp6u8hbr8q43mea7srco9,W. Seymore,,,5568296953,141,29.5,5568296951,140,35.8,5568296961,213,0.43,5568296947,56,Back,5568296957,212,31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785885957,13,1,1,0,33,bk3zg8yaj5uoqhxzwons3bo8a,1,35.8,29.5,2025-03-09T03:13:23.871Z,2025-03-09T03:14:54Z,dxd6p1c8k96armsbg5isjbu95,G. Hurst,,,5568297147,212,11.2,5568297145,141,13.1,5568297141,56,Back,5568297143,140,37.1,5568297149,213,4.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785885971,14,61,1,0,39,bk3zg8yaj5uoqhxzwons3bo8a,0,61.0,15.9,2025-03-09T03:13:29.032Z,2025-03-09T03:13:29Z,akgtib8zyv5lrvh9mxunj2rdg,T. Pondeca,,,5568297243,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785885995,9,1,1,0,39,7neuneh44n9rtsfsh6r0sb9no,1,19.5,84.8,2025-03-09T03:13:29.686Z,2025-03-09T03:13:33Z,bgxiot2ugkc6t5jchxewen4k5,L. Desmond,,,5568297429,56,Back,5568297447,213,4.34,5568297437,141,63.9,5568297443,212,15.3,5568297433,140,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785886067,10,1,1,0,43,7neuneh44n9rtsfsh6r0sb9no,0,13.4,67.0,2025-03-09T03:13:33.781Z,2025-03-09T03:52:25Z,9l35nvd07jhy457u1yehm3gx6,D. Vitiello,,,5568297875,1,,5568297863,157,,5568297867,140,29.4,5568297869,141,89.9,5568297865,56,Back,5568297871,212,22.9,5568297873,213,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785906333,331,61,1,0,44,bk3zg8yaj5uoqhxzwons3bo8a,1,54.8,5.6,2025-03-09T03:13:34.504Z,2025-03-09T03:53:19Z,2o86bp6u8hbr8q43mea7srco9,W. Seymore,,,5568405739,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785886127,12,5,1,0,45,7neuneh44n9rtsfsh6r0sb9no,1,35.6,101.8,2025-03-09T03:13:35.573Z,2025-03-09T03:53:02Z,cc7jk41tn9qi5px4pb9l4bn8q,R. Spaulding,,,5568298147,347,,5568298145,56,Back,5568298171,233,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785886083,16,5,1,0,45,bk3zg8yaj5uoqhxzwons3bo8a,0,64.4,-1.8,2025-03-09T03:13:35.573Z,2025-03-09T05:45:52Z,2o86bp6u8hbr8q43mea7srco9,W. Seymore,,,5568298179,233,12,5568297947,56,Right,5568297949,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785886061,15,43,1,0,48,bk3zg8yaj5uoqhxzwons3bo8a,1,0.0,0.0,2025-03-09T03:13:38.801Z,2025-03-09T03:52:27Z,2o86bp6u8hbr8q43mea7srco9,W. Seymore,,,5568297837,56,Right,5568403663,144,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785886077,11,43,1,0,49,7neuneh44n9rtsfsh6r0sb9no,1,0.0,0.0,2025-03-09T03:13:39.126Z,2025-03-09T03:52:34Z,cc7jk41tn9qi5px4pb9l4bn8q,R. Spaulding,,,5568297919,140,34.7,5568297929,212,5.7,5568297911,168,0,5568404083,144,1,5568297931,213,0.08,5568297925,141,90.6,5568297915,56,Back,5568297907,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785886161,13,1,1,0,53,7neuneh44n9rtsfsh6r0sb9no,1,27.9,100.0,2025-03-09T03:13:43.990Z,2025-03-09T03:13:47Z,7y9k549gjh2183ylplvwg2q5l,M. Benítez,,,5568298339,140,33.8,5568298343,212,18.5,5568298341,141,76.3,5568298337,56,Back,5568298345,213,5.05,5568298335,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785886155,17,83,1,0,56,bk3zg8yaj5uoqhxzwons3bo8a,0,57.1,21.3,2025-03-09T03:13:46.836Z,2025-03-09T03:13:52Z,caxfn5xu1taewgtxil6ah2rjd,Z. Bailey,,,5568298587,399,9lqozbr0ghw2fhep938p8snah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785886185,14,1,1,0,57,7neuneh44n9rtsfsh6r0sb9no,1,34.2,75.7,2025-03-09T03:13:47.391Z,2025-03-09T03:13:51Z,9lqozbr0ghw2fhep938p8snah,R. Cicerone,,,5568298477,56,Right,5568298483,212,49.8,5568298475,157,,5568298481,141,10.9,5568298479,140,56.3,5568298485,213,5.20,5568298487,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785886203,15,1,1,1,0,7neuneh44n9rtsfsh6r0sb9no,1,56.5,11.7,2025-03-09T03:13:50.973Z,2025-03-09T03:13:52Z,ea8jgqvyafx5wvgd5d70mgx9m,J. Gurr,,,5568298579,212,11.3,5568298573,56,Center,5568298577,141,24.3,5568298581,213,0.86,5568298575,140,63.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785886253,16,1,1,1,5,7neuneh44n9rtsfsh6r0sb9no,1,68.5,36.4,2025-03-09T03:13:55.222Z,2025-03-09T03:13:57Z,8qjls72u1tvwuxas420p8ed5g,B. Willey,,,5568298815,141,22.2,5568298817,212,16.0,5568298811,56,Center,5568298819,213,3.79,5568298813,140,56.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785886275,17,1,1,1,7,7neuneh44n9rtsfsh6r0sb9no,1,56.3,22.4,2025-03-09T03:13:57.085Z,2025-03-09T03:13:59Z,579n2n7oiogy83epzcfrxtd5h,N. Ross,,,5568298911,140,70.7,5568298913,141,12.5,5568298909,56,Right,5568298917,213,5.86,5568298915,212,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785886313,18,1,1,1,9,7neuneh44n9rtsfsh6r0sb9no,1,69.0,14.6,2025-03-09T03:13:59.093Z,2025-03-09T03:14:02Z,ea8jgqvyafx5wvgd5d70mgx9m,J. Gurr,,,5568299061,56,Center,5568299069,212,12.7,5568299063,140,59.4,5568299065,141,25.9,5568299073,213,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785886339,19,1,1,1,12,7neuneh44n9rtsfsh6r0sb9no,1,60.8,26.5,2025-03-09T03:14:02.230Z,2025-03-09T03:14:04Z,579n2n7oiogy83epzcfrxtd5h,N. Ross,,,5568299267,213,5.67,5568299265,212,15.4,5568299263,141,13.4,5568299261,140,72.8,5568299259,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785886371,20,1,1,1,14,7neuneh44n9rtsfsh6r0sb9no,1,72.4,13.4,2025-03-09T03:14:04.174Z,2025-03-09T03:54:42Z,8qjls72u1tvwuxas420p8ed5g,B. Willey,,,5568299457,140,72.8,5568299459,141,4.4,5568409245,156,,5568299455,56,Right,5568299463,213,4.78,5568299461,212,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785886397,21,1,1,1,17,7neuneh44n9rtsfsh6r0sb9no,1,72.0,5.0,2025-03-09T03:14:07.437Z,2025-03-09T03:14:11Z,ea8jgqvyafx5wvgd5d70mgx9m,J. Gurr,,,5568299593,213,2.69,5568299589,141,18.2,5568299587,140,54.4,5568299591,212,20.5,5568299585,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785886421,22,1,1,1,21,7neuneh44n9rtsfsh6r0sb9no,0,56.3,17.6,2025-03-09T03:14:11.261Z,2025-03-09T03:14:31Z,b7hyxpaqt3ymfbuah1yop5rai,F. Kleemann,,,5568299733,212,26.3,5568299725,140,74.4,5568299729,141,44.3,5568299721,56,Center,5568299735,213,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785886467,18,4,1,1,27,bk3zg8yaj5uoqhxzwons3bo8a,1,29.4,66.5,2025-03-09T03:14:17.271Z,2025-03-09T05:47:41Z,caxfn5xu1taewgtxil6ah2rjd,Z. Bailey,,,5568300113,56,Back,5568300119,285,,5568300117,265,,5568300111,13,,5568300265,233,23,5568300115,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785886471,23,4,1,1,27,7neuneh44n9rtsfsh6r0sb9no,0,70.6,33.5,2025-03-09T03:14:17.272Z,2025-03-09T05:47:41Z,8qjls72u1tvwuxas420p8ed5g,B. Willey,,,5568300241,265,,5568300549,55,24,5568300239,152,,5568300243,286,,5568300235,13,,5568300285,233,18,5568300237,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785886531,24,17,1,1,32,7neuneh44n9rtsfsh6r0sb9no,1,0.0,0.0,2025-03-09T03:14:22.925Z,2025-03-09T03:14:27Z,8qjls72u1tvwuxas420p8ed5g,B. Willey,,,5568300535,392,,5568300541,55,23,5568300537,13,243,5568300533,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785887085,19,1,1,2,26,bk3zg8yaj5uoqhxzwons3bo8a,1,31.8,69.0,2025-03-09T03:15:16.142Z,2025-03-09T03:15:19Z,cvdn34vl3zje5uq54nvg77sut,K. Ryden,,,5568303343,140,26.1,5568303349,213,4.24,5568303339,152,,5568303341,56,Back,5568303337,5,,5568303347,212,13.3,5568303345,141,51.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785887109,20,1,1,2,29,bk3zg8yaj5uoqhxzwons3bo8a,1,25.2,51.6,2025-03-09T03:15:19.782Z,2025-03-09T03:15:22Z,9imj5ig0i01uljnd3gd2cz1m,T. Maples,,,5568303451,141,25.5,5568303453,212,18.4,5568303449,140,20.7,5568303455,213,4.45,5568303447,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785887135,21,1,1,2,32,bk3zg8yaj5uoqhxzwons3bo8a,0,17.9,20.0,2025-03-09T03:15:22.359Z,2025-03-09T03:15:25Z,2o86bp6u8hbr8q43mea7srco9,W. Seymore,,,5568303611,141,9.7,5568303613,212,40.9,5568303607,56,Right,5568303609,140,56.3,5568303617,1,,5568303615,213,6.11,5568303605,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785887157,25,1,1,2,35,7neuneh44n9rtsfsh6r0sb9no,0,39.8,88.4,2025-03-09T03:15:25.764Z,2025-03-09T03:57:06Z,bgxiot2ugkc6t5jchxewen4k5,L. Desmond,,,5568303727,56,Left,5568303733,141,85.0,5568303739,1,,5568303725,157,,5568303731,140,69.4,5568303735,212,31.2,5568303737,213,6.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785908345,365,61,1,2,36,bk3zg8yaj5uoqhxzwons3bo8a,1,32.6,19.7,2025-03-09T03:15:26.734Z,2025-03-09T03:57:30Z,2o86bp6u8hbr8q43mea7srco9,W. Seymore,,,5568415257,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785887165,26,43,1,2,37,7neuneh44n9rtsfsh6r0sb9no,1,0.0,0.0,2025-03-09T03:15:27.837Z,2025-03-09T03:57:10Z,cc7jk41tn9qi5px4pb9l4bn8q,R. Spaulding,,,5568303759,56,Left,5568414623,144,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785887213,28,1,1,2,40,7neuneh44n9rtsfsh6r0sb9no,1,70.4,89.0,2025-03-09T03:15:30.085Z,2025-03-09T03:15:31Z,9lqozbr0ghw2fhep938p8snah,R. Cicerone,,,5568304015,56,Center,5568304023,213,3.89,5568304019,141,76.4,5568304021,212,12.5,5568304017,140,61.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785887229,29,1,1,2,41,7neuneh44n9rtsfsh6r0sb9no,1,61.7,76.4,2025-03-09T03:15:31.724Z,2025-03-09T03:15:33Z,2054x8z63k74or3inr9sl0bu1,L. Fernandes,,,5568304105,141,95.0,5568304099,56,Back,5568304111,213,2.61,5568304107,212,24.9,5568304103,140,41.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785887271,30,1,1,2,43,7neuneh44n9rtsfsh6r0sb9no,1,40.2,94.5,2025-03-09T03:15:33.332Z,2025-03-09T03:15:37Z,7y9k549gjh2183ylplvwg2q5l,M. Benítez,,,5568304315,213,3.64,5568304311,141,84.1,5568304309,140,27.9,5568304313,212,14.7,5568304307,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785887359,31,1,1,2,47,7neuneh44n9rtsfsh6r0sb9no,0,24.7,84.8,2025-03-09T03:15:37.444Z,2025-03-09T03:15:44Z,bgxiot2ugkc6t5jchxewen4k5,L. Desmond,,,5568304785,140,100.0,5568304793,1,,5568304787,141,82.9,5568304791,213,6.27,5568304781,155,,5568304789,212,80.1,5568304783,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785887395,22,56,1,2,57,bk3zg8yaj5uoqhxzwons3bo8a,1,2.3,16.2,2025-03-09T03:15:47.263Z,2025-03-09T03:15:47Z,9imj5ig0i01uljnd3gd2cz1m,T. Maples,,,5568304965,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785887665,23,5,1,2,58,bk3zg8yaj5uoqhxzwons3bo8a,1,-1.2,18.2,2025-03-09T03:15:48.735Z,2025-03-09T05:45:52Z,9imj5ig0i01uljnd3gd2cz1m,T. Maples,,,5568306513,56,Back,5568306515,346,,5568306541,233,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785887397,32,5,1,2,58,7neuneh44n9rtsfsh6r0sb9no,0,101.2,81.8,2025-03-09T03:15:48.735Z,2025-03-09T03:58:00Z,bgxiot2ugkc6t5jchxewen4k5,L. Desmond,,,5568306573,233,23,5568304969,56,Left,5568304971,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
