id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/10/value,qualifier/17/value,qualifier/15/value,qualifier/16/value
2816124529,5,43,1,0,11,2n3wgr89m7jl8tmioemit2pgq,1,0.0,0.0,2025-05-17T23:06:54.265Z,2025-05-17T23:07:00Z,dqvxmefhimxvxstvlz5yd7ysp,J. Farrell,,,5734761137,286,0,5734761335,144,44,5734761135,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816124555,5,4,1,0,13,83cpn99fh7ulkwe8nezy8a3mx,1,60.4,72.0,2025-05-17T23:06:56.489Z,2025-05-18T01:26:38Z,35bpd9cmuep6cqczngaqpc19m,P. Goodrum,,,5734761359,56,Center,5734761353,13,,5734761361,152,,5734761363,286,,5734761355,294,,5734763513,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816124533,6,4,1,0,13,2n3wgr89m7jl8tmioemit2pgq,0,39.6,28.0,2025-05-17T23:06:56.490Z,2025-05-18T01:26:39Z,dqvxmefhimxvxstvlz5yd7ysp,J. Farrell,,,5734761217,56,Back,5734763495,285,,5734763533,233,5,5734761219,152,,5734761213,13,,5734761215,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816124829,6,1,1,0,56,83cpn99fh7ulkwe8nezy8a3mx,0,73.3,85.2,2025-05-17T23:07:38.834Z,2025-05-17T23:07:39Z,d2ny0huv78m4m6p65y8eou7oq,T. Davila,,,5734762931,152,,5734762933,56,Center,5734762925,2,,5734762935,140,86.5,5734762941,213,5.51,5734762929,155,,5734762939,212,19.3,5734762927,5,,5734762937,141,65.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816124849,9,12,1,0,58,2n3wgr89m7jl8tmioemit2pgq,1,19.4,44.2,2025-05-17T23:07:41.257Z,2025-05-17T23:07:44Z,8qqehla9xvhut6uua4a0zcju2,S. Anderson,,,5734763053,212,9.3,5734763055,213,5.06,5734763093,15,,5734763041,56,Back,5734763045,140,22.4,5734763049,141,31.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816124987,7,5,1,1,1,83cpn99fh7ulkwe8nezy8a3mx,1,76.1,101.6,2025-05-17T23:07:43.937Z,2025-05-18T01:28:11Z,d2ny0huv78m4m6p65y8eou7oq,T. Davila,,,5734763799,56,Left,5734763873,233,10,5734763801,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816124873,10,5,1,1,1,2n3wgr89m7jl8tmioemit2pgq,0,23.9,-1.6,2025-05-17T23:07:43.937Z,2025-05-18T01:28:11Z,8qqehla9xvhut6uua4a0zcju2,S. Anderson,,,5734763883,233,7,5734763193,56,Back,5734763195,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816124999,8,1,1,1,13,83cpn99fh7ulkwe8nezy8a3mx,0,72.4,100.0,2025-05-17T23:07:55.827Z,2025-05-17T23:07:57Z,42hi96pvzz8f69ixlcncn0549,K. Adams,,,5734763893,141,81.4,5734763891,140,82.0,5734763887,107,,5734763889,56,Left,5734763895,212,17.0,5734763897,213,5.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816125039,11,12,1,1,15,2n3wgr89m7jl8tmioemit2pgq,1,14.5,34.9,2025-05-17T23:07:58.353Z,2025-05-17T23:08:02Z,c7q476j0dkl7e4fhqqlsp5rai,T. Presthus,,,5734764115,56,Back,5734764123,213,5.15,5734764121,212,5.5,5734764117,140,16.7,5734764119,141,27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816125013,9,1,1,1,16,83cpn99fh7ulkwe8nezy8a3mx,0,83.5,92.1,2025-05-17T23:07:59.371Z,2025-05-18T00:04:04Z,bteydgv4om5ylyoznx9vesogl,N. McCabe,,,5734763977,141,75.6,5734763967,155,,5734763979,212,11.9,5734763965,2,,5734763973,140,87.3,5734763983,213,5.05,5734763969,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816125043,12,12,1,1,19,2n3wgr89m7jl8tmioemit2pgq,1,15.1,49.0,2025-05-17T23:08:02.290Z,2025-05-17T23:08:04Z,38ghqgck8fwnxap6em08avzs9,J. Scarlett,,,5734764151,140,15.3,5734764153,141,72.3,5734764155,212,15.8,5734764157,213,1.56,5734764149,56,Back,5734764173,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816125087,13,12,1,1,21,2n3wgr89m7jl8tmioemit2pgq,1,15.4,73.5,2025-05-17T23:08:04.523Z,2025-05-18T00:09:30Z,6tesoh4ckbbkisphokig9yqz8,E. Samadia,,,5734764397,140,28.6,5734764399,141,73.2,5734764395,56,Back,5734764401,212,13.9,5734764403,213,6.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816125073,10,44,1,1,22,83cpn99fh7ulkwe8nezy8a3mx,1,79.0,35.1,2025-05-17T23:08:04.923Z,2025-05-18T01:27:34Z,d2ny0huv78m4m6p65y8eou7oq,T. Davila,,,5734764457,233,14,5734764303,56,Center,5734764305,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816125097,14,44,1,1,22,2n3wgr89m7jl8tmioemit2pgq,0,21.0,64.9,2025-05-17T23:08:04.924Z,2025-05-18T01:27:34Z,6tesoh4ckbbkisphokig9yqz8,E. Samadia,,,5734764451,285,,5734764449,56,Back,5734764483,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816125077,11,1,1,1,22,83cpn99fh7ulkwe8nezy8a3mx,0,77.1,59.1,2025-05-17T23:08:05.211Z,2025-05-18T00:04:22Z,d2ny0huv78m4m6p65y8eou7oq,T. Davila,,,5734764349,213,5.37,5734764341,56,Center,5734764343,140,77.4,5734764339,3,,5734764345,141,58.5,5734764347,212,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816132347,139,61,1,1,23,2n3wgr89m7jl8tmioemit2pgq,1,14.1,51.9,2025-05-17T23:08:05.801Z,2025-05-17T23:22:09Z,6tesoh4ckbbkisphokig9yqz8,E. Samadia,,,5734808809,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816125121,12,1,1,1,24,83cpn99fh7ulkwe8nezy8a3mx,1,77.4,57.6,2025-05-17T23:08:06.690Z,2025-05-18T00:04:24Z,d2ny0huv78m4m6p65y8eou7oq,T. Davila,,,5734764557,141,20.7,5734764555,140,86.6,5734764561,213,5.08,5734764553,56,Right,5734764559,212,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816125129,13,50,1,1,26,83cpn99fh7ulkwe8nezy8a3mx,1,84.4,18.7,2025-05-17T23:08:08.976Z,2025-05-18T01:27:15Z,aomjkj5s52jkzgk3ljsz0osiy,E. Perez,,,5734764587,286,,5734764743,233,15,5734764585,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816125143,15,7,1,1,26,2n3wgr89m7jl8tmioemit2pgq,1,15.6,81.3,2025-05-17T23:08:08.977Z,2025-05-18T01:27:14Z,6tesoh4ckbbkisphokig9yqz8,E. Samadia,,,5734764677,285,,5734764739,233,13,5734764675,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816125191,17,1,1,1,28,2n3wgr89m7jl8tmioemit2pgq,1,15.4,88.1,2025-05-17T23:08:11.513Z,2025-05-17T23:08:17Z,6tesoh4ckbbkisphokig9yqz8,E. Samadia,,,5734764979,56,Back,5734764985,212,5.8,5734764981,140,20.5,5734764983,141,91.4,5734764987,213,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816125193,18,61,1,1,34,2n3wgr89m7jl8tmioemit2pgq,0,20.4,95.0,2025-05-17T23:08:17.034Z,2025-05-17T23:08:17Z,lu2g4n0jcfxk41i8ro05ad5g,A. Obalola,,,5734764991,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816125251,14,5,1,1,35,83cpn99fh7ulkwe8nezy8a3mx,1,78.4,-0.5,2025-05-17T23:08:17.690Z,2025-05-18T01:28:12Z,aomjkj5s52jkzgk3ljsz0osiy,E. Perez,,,5734765315,56,Right,5734765367,233,19,5734765317,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816125201,19,5,1,1,35,2n3wgr89m7jl8tmioemit2pgq,0,21.6,100.5,2025-05-17T23:08:17.690Z,2025-05-18T01:28:12Z,lu2g4n0jcfxk41i8ro05ad5g,A. Obalola,,,5734765039,56,Back,5734765041,347,,5734765379,233,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816125273,15,1,1,1,40,83cpn99fh7ulkwe8nezy8a3mx,1,76.7,0.0,2025-05-17T23:08:23.490Z,2025-05-18T00:05:18Z,9gvsswyf0gzxekrjdkpuqrh0p,S. Totsch,,,5734765455,213,1.83,5734765451,141,22.5,5734765453,212,16.2,5734765447,56,Center,5734765445,107,,5734765449,140,72.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816125287,16,1,1,1,46,83cpn99fh7ulkwe8nezy8a3mx,1,72.7,23.4,2025-05-17T23:08:28.691Z,2025-05-18T00:05:19Z,achy1l1rfq2d4ftn6l1esht9m,A. Pérez,,,5734946753,156,,5734765577,212,1.2,5734765575,141,21.7,5734765695,233,21,5734765571,56,Center,5734765573,140,72.7,5734765579,213,4.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816125289,20,43,1,1,46,2n3wgr89m7jl8tmioemit2pgq,1,0.0,0.0,2025-05-17T23:08:29.026Z,2025-05-17T23:28:09Z,6pqwh2z47uwgr9u9y8n79ppzp,M. Hairston,,,5734765585,56,Back,5734826867,144,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816135417,146,1,1,1,47,83cpn99fh7ulkwe8nezy8a3mx,1,58.3,29.7,2025-05-17T23:08:30.474Z,2025-05-17T23:28:39Z,15jb2rb0mvhaz492ii7yqrk6h,K. Lambert,,,5734828297,212,6.8,5734828295,141,19.9,5734828289,56,Right,5734828293,140,57.1,5734828299,213,4.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816125319,17,1,1,1,48,83cpn99fh7ulkwe8nezy8a3mx,0,71.7,16.0,2025-05-17T23:08:30.848Z,2025-05-17T23:08:36Z,9gvsswyf0gzxekrjdkpuqrh0p,S. Totsch,,,5734765767,140,70.5,5734766041,286,,5734766039,236,,5734765769,141,15.7,5734765771,212,1.3,5734765773,213,3.30,5734766053,233,21,5734765765,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816125305,21,74,1,1,48,2n3wgr89m7jl8tmioemit2pgq,1,43.2,97.4,2025-05-17T23:08:30.849Z,2025-05-18T04:58:14Z,9izknjlz6zunwjpo4u94q855g,M. Dieng,,,5734765729,233,17,5734765679,285,,5734765677,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816125429,18,5,1,1,51,83cpn99fh7ulkwe8nezy8a3mx,1,58.2,-0.8,2025-05-17T23:08:33.666Z,2025-05-18T01:28:13Z,9gvsswyf0gzxekrjdkpuqrh0p,S. Totsch,,,5734766377,56,Right,5734766379,347,,5734766401,233,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816125339,22,5,1,1,51,2n3wgr89m7jl8tmioemit2pgq,0,41.8,100.8,2025-05-17T23:08:33.666Z,2025-05-18T01:28:13Z,9izknjlz6zunwjpo4u94q855g,M. Dieng,,,5734766419,233,18,5734765901,347,,5734765899,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816125441,19,1,1,1,59,83cpn99fh7ulkwe8nezy8a3mx,0,61.5,0.0,2025-05-17T23:08:42.330Z,2025-05-18T00:05:49Z,9gvsswyf0gzxekrjdkpuqrh0p,S. Totsch,,,5734766447,213,0.86,5734766437,107,,5734766445,212,16.0,5734766439,56,Right,5734766443,141,17.4,5734766441,140,71.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816125451,20,1,1,2,3,83cpn99fh7ulkwe8nezy8a3mx,0,90.7,14.1,2025-05-17T23:08:45.979Z,2025-05-17T23:08:47Z,aomjkj5s52jkzgk3ljsz0osiy,E. Perez,,,5734766537,141,37.3,5734766535,140,86.7,5734766533,56,Center,5734766531,155,,5734766539,212,16.3,5734766529,2,,5734766541,213,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816125477,23,12,1,2,5,2n3wgr89m7jl8tmioemit2pgq,1,13.0,46.0,2025-05-17T23:08:47.866Z,2025-05-17T23:08:50Z,8qqehla9xvhut6uua4a0zcju2,S. Anderson,,,5734766705,213,1.17,5734766703,212,31.6,5734766701,141,88.7,5734766699,140,24.8,5734766697,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816125511,25,1,1,2,10,2n3wgr89m7jl8tmioemit2pgq,1,16.5,90.8,2025-05-17T23:08:53.530Z,2025-05-17T23:08:55Z,lu2g4n0jcfxk41i8ro05ad5g,A. Obalola,,,5734766877,141,88.1,5734766879,212,3.6,5734766875,140,13.5,5734766873,56,Back,5734766881,213,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816125561,26,1,1,2,12,2n3wgr89m7jl8tmioemit2pgq,0,10.5,89.4,2025-05-17T23:08:54.993Z,2025-05-17T23:08:59Z,6tesoh4ckbbkisphokig9yqz8,E. Samadia,,,5734767135,157,,5734767139,56,Left,5734767143,140,57.2,5734767147,141,81.7,5734767159,1,,5734767155,213,6.18,5734767151,212,49.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816125575,21,1,1,2,17,83cpn99fh7ulkwe8nezy8a3mx,1,32.5,21.9,2025-05-17T23:09:00.170Z,2025-05-17T23:09:21Z,42hi96pvzz8f69ixlcncn0549,K. Adams,,,5734767297,213,0.01,5734767287,157,,5734767619,189,,5734767299,1,,5734767289,56,Center,5734767295,212,24.4,5734767293,141,22.3,5734767291,140,55.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816125579,22,1,1,2,19,83cpn99fh7ulkwe8nezy8a3mx,0,55.9,22.3,2025-05-17T23:09:01.930Z,2025-05-17T23:31:55Z,15jb2rb0mvhaz492ii7yqrk6h,K. Lambert,,,5734767317,212,6.2,5734767309,168,,5734767319,213,6.24,5734767313,140,61.8,5734767307,3,,5734767311,56,Center,5734767315,141,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816125637,27,4,1,2,27,2n3wgr89m7jl8tmioemit2pgq,1,33.7,86.3,2025-05-17T23:09:10.441Z,2025-05-18T01:26:39Z,lu2g4n0jcfxk41i8ro05ad5g,A. Obalola,,,5734767809,13,,5734838967,233,23,5735217637,286,,5734767813,152,,5734767811,56,Back,5734767815,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816125769,23,4,1,2,27,83cpn99fh7ulkwe8nezy8a3mx,0,66.3,13.7,2025-05-17T23:09:10.442Z,2025-05-18T01:26:40Z,9gvsswyf0gzxekrjdkpuqrh0p,S. Totsch,,,5734768667,265,,5734768659,13,,5734838983,285,,5734768661,56,Right,5734838979,233,27,5734768665,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816126241,28,1,1,3,33,2n3wgr89m7jl8tmioemit2pgq,1,29.9,89.1,2025-05-17T23:10:15.979Z,2025-05-17T23:10:26Z,6tesoh4ckbbkisphokig9yqz8,E. Samadia,,,5734771975,189,,5734771489,213,3.64,5734771479,152,,5734771485,141,84.7,5734771483,140,24.7,5734771481,56,Back,5734771477,5,,5734771487,212,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816126289,29,1,1,3,34,2n3wgr89m7jl8tmioemit2pgq,0,24.7,84.7,2025-05-17T23:10:16.962Z,2025-05-17T23:10:22Z,38ghqgck8fwnxap6em08avzs9,J. Scarlett,,,5734771777,140,72.9,5734771779,141,78.5,5734771773,157,,5734771783,213,6.20,5734771781,212,50.8,5734771775,56,Center,5734771785,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816126273,24,44,1,3,37,83cpn99fh7ulkwe8nezy8a3mx,1,30.8,22.9,2025-05-17T23:10:20.162Z,2025-05-18T01:27:35Z,e2rv433ve4ytatjl94dcz1hm2,Arturo Ordóñez,,,5734771675,285,,5734771671,56,Back,5734771859,233,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816126293,30,44,1,3,37,2n3wgr89m7jl8tmioemit2pgq,0,69.2,77.1,2025-05-17T23:10:20.163Z,2025-05-18T01:27:35Z,9izknjlz6zunwjpo4u94q855g,M. Dieng,,,5734771789,56,Center,5734771883,233,24,5734771791,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816126285,25,1,1,3,37,83cpn99fh7ulkwe8nezy8a3mx,1,36.8,25.2,2025-05-17T23:10:20.466Z,2025-05-18T00:06:43Z,e2rv433ve4ytatjl94dcz1hm2,Arturo Ordóñez,,,5734771747,140,37.7,5734771751,212,1.0,5734771753,213,6.14,5734771749,141,25.0,5734771745,56,Back,5734771743,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816126315,26,1,1,3,42,83cpn99fh7ulkwe8nezy8a3mx,1,40.8,33.7,2025-05-17T23:10:24.603Z,2025-05-18T00:06:44Z,d2ny0huv78m4m6p65y8eou7oq,T. Davila,,,5734771933,140,29.1,5734771931,56,Back,5734771935,141,55.6,5734771939,213,2.26,5734771937,212,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816126361,27,1,1,3,46,83cpn99fh7ulkwe8nezy8a3mx,1,26.8,64.9,2025-05-17T23:10:28.978Z,2025-05-18T00:06:51Z,7f1q3d59u9n16v9xrskfxqsq1,A. Dia,,,5734772175,141,78.1,5734772171,56,Back,5734772183,213,0.47,5734772173,140,43.7,5734772179,212,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816126389,28,1,1,3,48,83cpn99fh7ulkwe8nezy8a3mx,1,42.1,80.8,2025-05-17T23:10:31.170Z,2025-05-18T00:06:53Z,bteydgv4om5ylyoznx9vesogl,N. McCabe,,,5734772335,140,35.8,5734772333,56,Back,5734772337,141,78.3,5734772339,212,6.8,5734772341,213,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
