id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2788887015,8,1,1,0,15,87c66ubwpzykovmkaf1t46bis,1,21.6,87.1,2025-03-16T00:36:58.674Z,2025-03-16T00:37:03Z,ks7omik17xov44i4hhjrldyh,M. Taintor,,,5584743429,56,Back,5584743431,140,6.2,5584743433,141,54.3,5584743435,212,27.5,5584743437,213,4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788887065,9,1,1,0,20,87c66ubwpzykovmkaf1t46bis,1,6.2,54.3,2025-03-16T00:37:03.794Z,2025-03-16T00:37:08Z,h4nbagq5dsdltn9x62oi0t05,R. Sánchez,,,5584743703,141,27.1,5584743699,56,Back,5584743701,140,15.8,5584743707,213,5.21,5584743705,212,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788887095,10,1,1,0,24,87c66ubwpzykovmkaf1t46bis,1,15.8,27.1,2025-03-16T00:37:08.001Z,2025-03-16T00:37:12Z,4o1ryjpzoxzpi3ex53cmayui1,A. Crognale,,,5584743887,141,85.3,5584743879,155,,5584743885,140,23.6,5584743893,1,,5584743889,212,40.4,5584743883,56,Back,5584743891,213,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788887129,11,1,1,0,29,87c66ubwpzykovmkaf1t46bis,1,23.8,88.6,2025-03-16T00:37:12.489Z,2025-03-16T00:37:15Z,61rlxmejof8zjv8uw3sk1l045,J. Medranda,,,5584744067,56,Back,5584744071,141,74.2,5584744075,213,4.32,5584744069,140,19.9,5584744073,212,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788887169,12,1,1,0,32,87c66ubwpzykovmkaf1t46bis,1,19.9,74.2,2025-03-16T00:37:15.449Z,2025-03-16T00:37:20Z,ks7omik17xov44i4hhjrldyh,M. Taintor,,,5584744361,212,27.2,5584744363,213,4.53,5584744357,140,15.2,5584744355,56,Back,5584744359,141,34.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788887189,13,1,1,0,37,87c66ubwpzykovmkaf1t46bis,1,22.3,29.1,2025-03-16T00:37:20.440Z,2025-03-16T00:37:22Z,4o1ryjpzoxzpi3ex53cmayui1,A. Crognale,,,5584744481,140,27.0,5584744483,141,39.7,5584744485,212,8.7,5584744479,56,Back,5584744487,213,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788887235,14,1,1,0,39,87c66ubwpzykovmkaf1t46bis,1,27.0,39.7,2025-03-16T00:37:22.465Z,2025-03-16T00:37:27Z,bzu3rjr0r2qmxluguyseq5sdl,A. Soto,,,5584744755,56,Back,5584744757,140,33.8,5584744763,213,5.03,5584744761,212,22.8,5584744759,141,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788887271,15,1,1,0,43,87c66ubwpzykovmkaf1t46bis,1,33.3,7.7,2025-03-16T00:37:26.896Z,2025-03-16T00:37:29Z,5ynru0652guk8hl45ltxo0dwq,R. Buckmaster,,,5584744943,213,2.65,5584744937,140,21.5,5584744935,56,Back,5584744941,212,14.0,5584744939,141,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788887291,16,1,1,0,45,87c66ubwpzykovmkaf1t46bis,0,21.5,17.4,2025-03-16T00:37:28.897Z,2025-03-16T00:37:30Z,4o1ryjpzoxzpi3ex53cmayui1,A. Crognale,,,5584745131,1,,5584745121,56,Center,5584745119,157,,5584745129,213,0.21,5584745123,140,55.7,5584745125,141,28.6,5584745127,212,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788887345,4,1,1,0,49,224tl8u2smnbyliroayk69nt0,1,46.0,74.4,2025-03-16T00:37:32.616Z,2025-03-16T01:31:29Z,3g0rdzkjns986gn34vg3umiqy,S. Suber,,,5584745367,56,Left,5584745371,140,60.8,5584745379,212,16.8,5584745363,3,,5584745375,141,83.8,5584745383,213,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788887421,6,1,1,0,56,224tl8u2smnbyliroayk69nt0,1,54.6,75.9,2025-03-16T00:37:39.406Z,2025-03-16T00:37:40Z,e8rbnbqkrxia3lgt7agaid4kq,R. Mertz,,,5584745743,212,13.8,5584745749,213,2.50,5584745739,141,88.0,5584745731,56,Back,5584745735,140,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788887551,7,1,1,0,57,224tl8u2smnbyliroayk69nt0,1,44.0,88.0,2025-03-16T00:37:40.398Z,2025-03-16T00:37:51Z,3g0rdzkjns986gn34vg3umiqy,S. Suber,,,5584746449,56,Back,5584746455,212,5.3,5584746451,140,42.4,5584746459,213,1.89,5584746453,141,95.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788887555,8,4,1,1,4,224tl8u2smnbyliroayk69nt0,1,60.6,93.4,2025-03-16T00:37:47.467Z,2025-03-16T00:37:54Z,69pe2d0b9ughzcn3iqarracr8,L. Biasi,,,5584746519,265,,5584746521,286,,5584746513,13,,5584746517,152,,5584746515,56,Left,5584746537,233,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788887509,17,4,1,1,4,87c66ubwpzykovmkaf1t46bis,0,39.4,6.6,2025-03-16T00:37:47.468Z,2025-03-16T00:37:54Z,8pg5wiwxujx3hnir5wie9xgfe,Diogo Pacheco,,,5584746343,152,,5584746341,56,Back,5584746339,13,,5584746347,285,,5584746345,265,,5584746577,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788887687,9,1,1,1,20,224tl8u2smnbyliroayk69nt0,1,61.2,97.2,2025-03-16T00:38:03.446Z,2025-03-16T00:38:04Z,69pe2d0b9ughzcn3iqarracr8,L. Biasi,,,5584747187,140,59.4,5584747185,56,Left,5584747189,141,83.0,5584747193,213,4.52,5584747183,152,,5584747181,5,,5584747191,212,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788887731,10,1,1,1,21,224tl8u2smnbyliroayk69nt0,1,59.4,83.0,2025-03-16T00:38:04.422Z,2025-03-16T00:38:09Z,e8rbnbqkrxia3lgt7agaid4kq,R. Mertz,,,5584747419,140,56.2,5584747425,213,2.06,5584747421,141,92.3,5584747417,56,Left,5584747423,212,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788887765,11,1,1,1,25,224tl8u2smnbyliroayk69nt0,1,55.7,89.6,2025-03-16T00:38:09.157Z,2025-03-16T00:38:12Z,69pe2d0b9ughzcn3iqarracr8,L. Biasi,,,5584747559,140,37.5,5584747557,56,Back,5584747563,212,21.5,5584747565,213,3.62,5584747561,141,75.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788887787,12,1,1,1,28,224tl8u2smnbyliroayk69nt0,1,35.4,73.3,2025-03-16T00:38:11.869Z,2025-03-16T00:38:14Z,3g0rdzkjns986gn34vg3umiqy,S. Suber,,,5584747699,56,Back,5584747701,140,36.0,5584747703,141,39.7,5584747705,212,22.9,5584747707,213,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788887795,13,1,1,1,31,224tl8u2smnbyliroayk69nt0,0,36.0,39.7,2025-03-16T00:38:14.326Z,2025-03-16T00:38:15Z,1445ppxg007udzcj6t20ceyju,R. Ydrach,,,5584747751,1,,5584747749,213,0.26,5584747743,140,87.3,5584747735,155,,5584747739,56,Center,5584747747,212,55.8,5584747745,141,60.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788887869,19,1,1,1,41,87c66ubwpzykovmkaf1t46bis,1,13.2,48.2,2025-03-16T00:38:25.072Z,2025-03-16T00:38:30Z,h4nbagq5dsdltn9x62oi0t05,R. Sánchez,,,5584748193,56,Back,5584748199,212,23.2,5584748191,123,,5584748197,141,80.6,5584748201,213,1.25,5584748211,287,,5584748195,140,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788887941,20,1,1,1,47,87c66ubwpzykovmkaf1t46bis,1,20.1,80.6,2025-03-16T00:38:30.564Z,2025-03-16T00:38:34Z,ks7omik17xov44i4hhjrldyh,M. Taintor,,,5584748643,212,13.0,5584748637,56,Back,5584748641,141,94.2,5584748639,140,28.8,5584748645,213,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788887943,21,4,1,1,50,87c66ubwpzykovmkaf1t46bis,1,31.0,94.5,2025-03-16T00:38:34.040Z,2025-03-16T03:07:23Z,61rlxmejof8zjv8uw3sk1l045,J. Medranda,,,5584748659,56,Back,5584748913,233,14,5584748665,285,,5584748657,13,,5584748661,152,,5584748663,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788887955,14,4,1,1,50,224tl8u2smnbyliroayk69nt0,0,69.0,5.5,2025-03-16T00:38:34.041Z,2025-03-16T03:07:24Z,2d1vmwon9o35lzpkdwxgv12lm,J. Bouregy,,,5584748899,265,,5584748893,13,,5584748951,233,21,5584748897,152,,5584748901,286,,5584748895,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788888719,22,1,1,2,53,87c66ubwpzykovmkaf1t46bis,1,25.9,93.9,2025-03-16T00:39:37.168Z,2025-03-16T00:39:39Z,61rlxmejof8zjv8uw3sk1l045,J. Medranda,,,5584752793,212,29.3,5584752789,140,13.4,5584752791,141,55.4,5584752781,5,,5584752787,56,Back,5584752785,152,,5584752795,213,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788888759,23,1,1,2,56,87c66ubwpzykovmkaf1t46bis,1,13.4,55.4,2025-03-16T00:39:39.487Z,2025-03-16T00:39:44Z,h4nbagq5dsdltn9x62oi0t05,R. Sánchez,,,5584753023,212,14.4,5584753017,56,Back,5584753019,140,20.5,5584753025,213,1.03,5584753021,141,73.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788888807,24,1,1,3,0,87c66ubwpzykovmkaf1t46bis,0,21.1,74.1,2025-03-16T00:39:43.848Z,2025-03-16T00:39:47Z,ks7omik17xov44i4hhjrldyh,M. Taintor,,,5584753285,141,54.6,5584753279,157,,5584753287,212,57.0,5584753281,56,Center,5584753291,1,,5584753283,140,73.9,5584753289,213,6.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788888845,15,1,1,3,4,224tl8u2smnbyliroayk69nt0,1,23.7,42.2,2025-03-16T00:39:48.221Z,2025-03-16T00:39:50Z,3g0rdzkjns986gn34vg3umiqy,S. Suber,,,5584753485,140,12.9,5584753487,141,50.7,5584753491,213,2.67,5584753481,3,,5584753489,212,12.7,5584753483,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788888941,17,1,1,3,10,224tl8u2smnbyliroayk69nt0,1,12.3,49.7,2025-03-16T00:39:53.467Z,2025-03-16T00:39:57Z,a9lytq2ddavywxo7ib8uzbj6x,E. Dick,,,5584753971,123,,5584753979,212,15.8,5584753973,56,Back,5584753975,140,15.7,5584753977,141,27.1,5584753981,213,4.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788888977,18,1,1,3,14,224tl8u2smnbyliroayk69nt0,1,22.0,27.9,2025-03-16T00:39:57.443Z,2025-03-16T00:40:00Z,1445ppxg007udzcj6t20ceyju,R. Ydrach,,,5584754187,141,91.5,5584754179,155,,5584754185,140,31.5,5584754193,1,,5584754189,212,44.4,5584754183,56,Back,5584754181,196,,5584754191,213,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788888995,19,1,1,3,17,224tl8u2smnbyliroayk69nt0,1,32.1,91.5,2025-03-16T00:40:00.635Z,2025-03-16T00:40:04Z,69pe2d0b9ughzcn3iqarracr8,L. Biasi,,,5584754297,3,,5584754303,141,80.6,5584754301,140,24.2,5584754299,56,Back,5584754307,213,3.87,5584754305,212,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788889043,20,1,1,3,20,224tl8u2smnbyliroayk69nt0,1,27.1,86.3,2025-03-16T00:40:03.924Z,2025-03-16T00:40:10Z,3g0rdzkjns986gn34vg3umiqy,S. Suber,,,5584754565,56,Back,5584754573,213,0.19,5584754567,140,48.8,5584754571,212,23.2,5584754569,141,92.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788889051,21,3,1,3,26,224tl8u2smnbyliroayk69nt0,0,42.7,89.4,2025-03-16T00:40:09.732Z,2025-03-16T03:07:45Z,cxrjwzo1fmvgcw8i820hwn07p,J. Etou,,,5584754615,56,Back,5584754779,233,25,5584754617,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788889075,25,7,1,3,26,87c66ubwpzykovmkaf1t46bis,1,57.3,10.6,2025-03-16T00:40:09.733Z,2025-03-16T03:07:44Z,8pg5wiwxujx3hnir5wie9xgfe,Diogo Pacheco,,,5584754775,233,21,5584754723,285,,5584754721,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788889117,27,1,1,3,30,87c66ubwpzykovmkaf1t46bis,1,57.9,18.8,2025-03-16T00:40:13.478Z,2025-03-16T02:44:41Z,5ynru0652guk8hl45ltxo0dwq,R. Buckmaster,,,5584754917,56,Right,5584754927,212,26.7,5584754919,140,82.9,5584754923,141,11.7,5584754931,213,6.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788889141,28,1,1,3,33,87c66ubwpzykovmkaf1t46bis,0,82.9,11.7,2025-03-16T00:40:16.319Z,2025-03-16T02:44:40Z,8pg5wiwxujx3hnir5wie9xgfe,Diogo Pacheco,,,5584755069,140,89.5,5584755083,213,1.35,5584755063,2,,5584755087,1,,5584755067,56,Center,5584755079,212,32.3,5584755065,155,,5584755073,141,58.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788889227,23,1,1,3,35,224tl8u2smnbyliroayk69nt0,0,10.2,27.3,2025-03-16T00:40:19.035Z,2025-03-16T00:40:23Z,a9lytq2ddavywxo7ib8uzbj6x,E. Dick,,,5584755529,1,,5584755509,199,,5584755523,212,95.9,5584755513,56,Center,5584755519,141,29.2,5584755527,213,0.01,5584755517,140,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788889255,24,5,1,3,40,224tl8u2smnbyliroayk69nt0,0,101.4,31.2,2025-03-16T00:40:23.713Z,2025-03-16T03:31:30Z,a9lytq2ddavywxo7ib8uzbj6x,E. Dick,,,5584756115,233,29,5584755669,56,Center,5584755671,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788889343,29,5,1,3,40,87c66ubwpzykovmkaf1t46bis,1,-1.4,68.8,2025-03-16T00:40:23.713Z,2025-03-16T03:08:20Z,8pg5wiwxujx3hnir5wie9xgfe,Diogo Pacheco,,,5584756087,56,Back,5584756111,233,24,5584756089,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788889357,30,1,1,3,51,87c66ubwpzykovmkaf1t46bis,1,4.3,56.4,2025-03-16T00:40:35.300Z,2025-03-16T00:40:37Z,h4nbagq5dsdltn9x62oi0t05,R. Sánchez,,,5584756145,141,34.3,5584756147,212,17.8,5584756139,124,,5584756141,56,Back,5584756143,140,13.3,5584756149,213,5.27,5584756153,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788889395,31,1,1,3,53,87c66ubwpzykovmkaf1t46bis,1,13.3,34.3,2025-03-16T00:40:36.510Z,2025-03-16T00:40:39Z,4o1ryjpzoxzpi3ex53cmayui1,A. Crognale,,,5584756331,213,1.58,5584756319,56,Back,5584756321,140,13.0,5584756323,141,67.3,5584756327,212,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788889433,32,1,1,3,56,87c66ubwpzykovmkaf1t46bis,1,13.0,67.3,2025-03-16T00:40:39.542Z,2025-03-16T00:40:42Z,ks7omik17xov44i4hhjrldyh,M. Taintor,,,5584756605,213,4.26,5584756597,56,Back,5584756601,141,49.7,5584756599,140,7.4,5584756603,212,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788889505,33,1,1,3,58,87c66ubwpzykovmkaf1t46bis,1,7.4,49.7,2025-03-16T00:40:42.200Z,2025-03-16T00:40:46Z,h4nbagq5dsdltn9x62oi0t05,R. Sánchez,,,5584756939,140,13.3,5584756945,213,5.10,5584756937,56,Back,5584756943,212,16.3,5584756941,141,27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788889563,34,1,1,4,3,87c66ubwpzykovmkaf1t46bis,1,13.3,27.6,2025-03-16T00:40:46.687Z,2025-03-16T00:40:51Z,4o1ryjpzoxzpi3ex53cmayui1,A. Crognale,,,5584757249,141,35.5,5584757251,212,15.7,5584757253,213,0.35,5584757245,56,Back,5584757247,140,27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788889635,35,1,1,4,8,87c66ubwpzykovmkaf1t46bis,1,28.1,33.0,2025-03-16T00:40:51.367Z,2025-03-16T00:40:57Z,bzu3rjr0r2qmxluguyseq5sdl,A. Soto,,,5584757683,213,0.29,5584757675,56,Center,5584757677,140,52.7,5584757681,212,27.0,5584757673,155,,5584757679,141,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788889591,25,83,1,4,10,224tl8u2smnbyliroayk69nt0,0,42.6,63.7,2025-03-16T00:40:53.428Z,2025-03-16T00:41:01Z,6jsu34146kbtoeco3ue1a7ok4,J. Wälti,,,5584757981,399,4695nvcz8lcrklltxvalcizmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788889645,36,4,1,4,13,87c66ubwpzykovmkaf1t46bis,1,47.5,31.6,2025-03-16T00:40:56.887Z,2025-03-16T03:07:24Z,4695nvcz8lcrklltxvalcizmd,J. Agudelo,,,5584758067,233,26,5584757741,56,Back,5584757745,265,,5584757739,13,,5584757747,286,,5584757743,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788889681,26,4,1,4,13,224tl8u2smnbyliroayk69nt0,0,52.5,68.4,2025-03-16T00:40:56.888Z,2025-03-16T04:12:02Z,c4va4gt5g10zm05qtucgyt889,D. Griffin,,,5584758047,265,,5584758039,13,,5584758091,233,36,5584758049,285,,5584758043,152,,5584758041,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788889875,37,1,1,4,24,87c66ubwpzykovmkaf1t46bis,1,46.9,28.6,2025-03-16T00:41:08.303Z,2025-03-16T00:41:14Z,bzu3rjr0r2qmxluguyseq5sdl,A. Soto,,,5584758989,56,Back,5584758993,141,62.1,5584758991,140,35.8,5584758997,213,2.04,5584758987,152,,5584758995,212,25.6,5584758985,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
