id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/15/value,qualifier/16/value
2800386633,4,1,1,0,18,kfq8fhwnmycbtad1u0fyefx0,1,20.5,100.0,2025-04-13T02:07:02.375Z,2025-04-13T04:23:06Z,f2nxaemhqi8kbtbejnqekgd4a,J. Garcia,,,5647925521,213,5.56,5647925523,1,,5647925517,141,74.4,5647925511,107,,5647925513,56,Back,5647925515,140,40.8,5647925519,212,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800386635,5,4,1,0,24,kfq8fhwnmycbtad1u0fyefx0,1,34.8,96.8,2025-04-13T02:07:08.291Z,2025-04-13T02:07:17Z,djz5cm1g7ouen2y4o7w35jbl6,L. Ivanovic,,,5647925663,152,,5647925719,286,,5647925657,13,,5647925659,294,,5647925661,56,Back,5647925679,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800386621,8,4,1,0,24,ak0rmms5xl49w57i2rvid1tk9,0,65.2,3.2,2025-04-13T02:07:08.292Z,2025-04-13T05:18:27Z,rtca480n5ehey5ffvt8nudck,H. Endeley,,,5647925545,56,Right,5647925541,13,,5647925547,152,,5647925543,294,,5647925703,233,5,5647925701,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800386725,6,1,1,0,34,kfq8fhwnmycbtad1u0fyefx0,1,36.0,89.6,2025-04-13T02:07:18.390Z,2025-04-13T02:07:21Z,b32tamno8dpk5te2oq7d9a6t,C. Guzmán,,,5647926031,212,36.7,5647926033,213,3.84,5647926029,141,54.8,5647926025,56,Back,5647926023,152,,5647926027,140,9.3,5647926021,5,,5647926035,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800386747,7,1,1,0,37,kfq8fhwnmycbtad1u0fyefx0,1,11.4,67.0,2025-04-13T02:07:21.588Z,2025-04-13T02:07:25Z,isauuse3yqdwymvfne6ci385,Nico Campuzano,,,5647926125,141,23.4,5647926123,140,20.3,5647926121,56,Back,5647926129,213,5.02,5647926127,212,31.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800386777,8,1,1,0,41,kfq8fhwnmycbtad1u0fyefx0,1,20.3,26.7,2025-04-13T02:07:24.957Z,2025-04-13T02:07:29Z,1j010cibh247p8kjchww6ny3u,N. Gordon,,,5647926309,213,1.33,5647926305,141,71.4,5647926307,212,31.3,5647926301,56,Back,5647926303,140,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800386831,9,1,1,0,45,kfq8fhwnmycbtad1u0fyefx0,1,27.9,70.9,2025-04-13T02:07:28.830Z,2025-04-13T02:07:36Z,b32tamno8dpk5te2oq7d9a6t,C. Guzmán,,,5647926515,141,20.9,5647926519,213,4.62,5647926521,1,,5647926513,140,25.0,5647926517,212,34.1,5647926511,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800386869,10,1,1,0,52,kfq8fhwnmycbtad1u0fyefx0,1,35.9,18.3,2025-04-13T02:07:36.174Z,2025-04-13T02:07:41Z,1j010cibh247p8kjchww6ny3u,N. Gordon,,,5647926699,212,46.7,5647926695,140,80.4,5647926693,56,Right,5647926703,1,,5647926701,213,6.27,5647926691,155,,5647926697,141,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800386883,11,1,1,0,57,kfq8fhwnmycbtad1u0fyefx0,0,85.7,13.7,2025-04-13T02:07:41.586Z,2025-04-13T02:07:43Z,6d45ccicyo6dregi9cm4ad4kq,I. Paul,,,5647926757,141,11.0,5647926769,286,,5647926753,56,Right,5647926765,233,9,5647926759,212,3.8,5647926761,213,3.64,5647926763,236,,5647926755,140,82.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800386867,9,74,1,0,57,ak0rmms5xl49w57i2rvid1tk9,1,18.2,89.1,2025-04-13T02:07:41.587Z,2025-04-13T04:26:31Z,dqekbs06e79n3vapj437pwyc,G. Metusala,,,5647926687,285,,5647926685,56,Back,5647926781,233,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800386885,10,5,1,0,59,ak0rmms5xl49w57i2rvid1tk9,0,16.0,100.8,2025-04-13T02:07:43.141Z,2025-04-13T05:16:03Z,dqekbs06e79n3vapj437pwyc,G. Metusala,,,5647926771,56,Back,5647926773,347,,5647927055,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800386923,12,5,1,0,59,kfq8fhwnmycbtad1u0fyefx0,1,84.0,-0.8,2025-04-13T02:07:43.141Z,2025-04-13T05:16:02Z,6d45ccicyo6dregi9cm4ad4kq,I. Paul,,,5647926971,347,,5647926969,56,Right,5647927031,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800386969,13,1,1,1,3,kfq8fhwnmycbtad1u0fyefx0,1,83.8,0.0,2025-04-13T02:07:47.421Z,2025-04-13T02:07:52Z,9ij293r1mbtygl6v3u2s43i3u,M. Lyons,,,5647927195,213,2.04,5647927187,56,Right,5647927189,140,78.1,5647927193,212,13.3,5647927185,107,,5647927191,141,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800386975,11,83,1,1,7,ak0rmms5xl49w57i2rvid1tk9,0,27.4,85.3,2025-04-13T02:07:51.244Z,2025-04-13T02:08:05Z,cfx7vo0kbjvcly2nf1b7papsk,Y. Hanya,,,5647927893,399,6d45ccicyo6dregi9cm4ad4kq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800387021,14,1,1,1,8,kfq8fhwnmycbtad1u0fyefx0,1,71.4,12.5,2025-04-13T02:07:52.662Z,2025-04-13T02:07:57Z,6d45ccicyo6dregi9cm4ad4kq,I. Paul,,,5647927463,141,55.8,5647927461,140,44.7,5647927467,213,2.33,5647927459,56,Back,5647927465,212,40.7,5647927469,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800387069,15,1,1,1,13,kfq8fhwnmycbtad1u0fyefx0,1,44.7,53.0,2025-04-13T02:07:56.859Z,2025-04-13T02:08:00Z,b32tamno8dpk5te2oq7d9a6t,C. Guzmán,,,5647927679,212,25.2,5647927677,141,57.6,5647927673,56,Back,5647927681,213,3.02,5647927675,140,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800387113,16,1,1,1,21,kfq8fhwnmycbtad1u0fyefx0,1,19.1,55.2,2025-04-13T02:08:05.039Z,2025-04-13T02:08:06Z,isauuse3yqdwymvfne6ci385,Nico Campuzano,,,5647927881,141,78.4,5647927879,140,31.0,5647927883,212,20.1,5647927885,213,0.90,5647927877,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800387199,17,1,1,1,22,kfq8fhwnmycbtad1u0fyefx0,1,31.0,78.4,2025-04-13T02:08:06.189Z,2025-04-13T02:08:16Z,b32tamno8dpk5te2oq7d9a6t,C. Guzmán,,,5647928397,213,3.99,5647928391,140,18.1,5647928393,141,56.0,5647928389,56,Back,5647928395,212,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800387307,18,2,1,1,32,kfq8fhwnmycbtad1u0fyefx0,1,24.1,44.0,2025-04-13T02:08:16.077Z,2025-04-13T02:08:28Z,isauuse3yqdwymvfne6ci385,Nico Campuzano,,,5647928843,7,djz5cm1g7ouen2y4o7w35jbl6,5647928849,140,72.5,5647928847,56,Center,5647928845,1,,5647928851,141,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800387397,13,1,1,1,48,ak0rmms5xl49w57i2rvid1tk9,1,26.1,31.9,2025-04-13T02:08:32.556Z,2025-04-13T02:08:38Z,dqekbs06e79n3vapj437pwyc,G. Metusala,,,5647929245,56,Back,5647929253,213,2.36,5647929251,212,14.0,5647929249,141,46.4,5647929243,241,,5647929241,5,,5647929247,140,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800387423,14,1,1,1,54,ak0rmms5xl49w57i2rvid1tk9,1,21.1,51.6,2025-04-13T02:08:38.332Z,2025-04-13T02:08:42Z,8m19c2e0raanzp3dzf7aaf6jt,A. Romero,,,5647929389,56,Back,5647929393,141,74.7,5647929391,140,24.6,5647929397,213,1.34,5647929395,212,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800387463,15,1,1,1,58,ak0rmms5xl49w57i2rvid1tk9,1,26.9,76.6,2025-04-13T02:08:42.355Z,2025-04-13T02:08:48Z,7i29w1zl3m6xdnurdll08jsvd,M. Mahoney,,,5647929565,212,18.9,5647929561,140,14.2,5647929567,213,3.93,5647929559,56,Back,5647929563,141,56.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800387495,16,1,1,2,4,ak0rmms5xl49w57i2rvid1tk9,1,17.9,53.9,2025-04-13T02:08:48.532Z,2025-04-13T02:08:53Z,8m19c2e0raanzp3dzf7aaf6jt,A. Romero,,,5647929705,212,23.7,5647929699,56,Back,5647929707,213,5.01,5647929701,140,24.4,5647929703,141,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800387517,17,1,1,2,9,ak0rmms5xl49w57i2rvid1tk9,1,28.0,15.2,2025-04-13T02:08:53.124Z,2025-04-13T02:08:56Z,dqekbs06e79n3vapj437pwyc,G. Metusala,,,5647929793,140,19.1,5647929791,56,Back,5647929799,213,2.20,5647929797,212,15.8,5647929795,141,33.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800387535,18,1,1,2,12,ak0rmms5xl49w57i2rvid1tk9,1,19.1,34.9,2025-04-13T02:08:55.979Z,2025-04-13T02:08:59Z,8m19c2e0raanzp3dzf7aaf6jt,A. Romero,,,5647929865,141,60.3,5647929863,140,20.3,5647929867,212,17.3,5647929869,213,1.50,5647929861,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800387563,19,1,1,2,15,ak0rmms5xl49w57i2rvid1tk9,1,21.4,60.3,2025-04-13T02:08:58.851Z,2025-04-13T02:09:04Z,7i29w1zl3m6xdnurdll08jsvd,M. Mahoney,,,5647929975,140,26.4,5647929979,212,15.3,5647929977,141,81.4,5647929981,213,1.22,5647929973,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800387583,20,1,1,2,20,ak0rmms5xl49w57i2rvid1tk9,1,33.0,83.3,2025-04-13T02:09:03.867Z,2025-04-13T02:09:06Z,6eqvj5hboqw5c21ofhsgo4p9l,M. Micaletto,,,5647930067,140,60.8,5647930069,141,81.8,5647930073,213,6.25,5647930065,56,Left,5647930071,212,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800387601,21,1,1,2,22,ak0rmms5xl49w57i2rvid1tk9,1,62.5,92.0,2025-04-13T02:09:06.555Z,2025-04-13T02:09:08Z,dio84sg1k4gsedcpordxs69lg,Q. Huerman,,,5647930137,140,74.9,5647930139,141,94.5,5647930143,213,0.13,5647930141,212,13.1,5647930135,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800387611,22,1,1,2,24,ak0rmms5xl49w57i2rvid1tk9,1,74.9,94.5,2025-04-13T02:09:08.099Z,2025-04-13T02:09:09Z,cfx7vo0kbjvcly2nf1b7papsk,Y. Hanya,,,5647930187,213,4.34,5647930181,140,72.5,5647930179,56,Left,5647930183,141,85.1,5647930185,212,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800387619,23,1,1,2,25,ak0rmms5xl49w57i2rvid1tk9,0,72.5,85.1,2025-04-13T02:09:08.947Z,2025-04-13T02:09:10Z,6oj55tf7cdnnnft350f9fyhnt,M. Real,,,5647930217,212,12.0,5647930219,213,1.18,5647930211,56,Left,5647930213,140,76.9,5647930215,141,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800387761,19,5,1,2,26,kfq8fhwnmycbtad1u0fyefx0,1,23.6,-1.2,2025-04-13T02:09:10.088Z,2025-04-13T05:16:03Z,ewibb8s7p2l6f5sekvkqu4a5m,A. Rebollar,,,5647930911,233,24,5647930899,347,,5647930897,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800387621,24,5,1,2,26,ak0rmms5xl49w57i2rvid1tk9,0,76.4,101.2,2025-04-13T02:09:10.088Z,2025-04-13T05:16:03Z,6oj55tf7cdnnnft350f9fyhnt,M. Real,,,5647930235,347,,5647930233,56,Left,5647930925,233,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800387799,20,1,1,2,41,kfq8fhwnmycbtad1u0fyefx0,1,28.7,0.0,2025-04-13T02:09:24.804Z,2025-04-13T02:09:28Z,9ij293r1mbtygl6v3u2s43i3u,M. Lyons,,,5647931075,56,Back,5647931077,140,41.0,5647931079,141,12.9,5647931083,213,0.61,5647931081,212,15.8,5647931073,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800387807,21,50,1,2,44,kfq8fhwnmycbtad1u0fyefx0,1,35.4,12.5,2025-04-13T02:09:27.682Z,2025-04-13T04:10:33Z,5gc4aouty93b7kbin9cpgrdre,A. Søjberg,,,5647931105,56,Back,5647931203,233,25,5647931107,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800387815,25,7,1,2,44,ak0rmms5xl49w57i2rvid1tk9,1,64.6,87.5,2025-04-13T02:09:27.683Z,2025-04-13T04:10:32Z,6oj55tf7cdnnnft350f9fyhnt,M. Real,,,5647931143,56,Left,5647931197,285,,5647931193,233,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800387853,27,1,1,2,48,ak0rmms5xl49w57i2rvid1tk9,0,73.3,92.4,2025-04-13T02:09:31.979Z,2025-04-13T02:09:34Z,cfx7vo0kbjvcly2nf1b7papsk,Y. Hanya,,,5647931297,140,100.0,5647931299,141,90.6,5647931303,213,6.24,5647931301,212,29.0,5647931295,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800388013,22,5,1,2,50,kfq8fhwnmycbtad1u0fyefx0,1,-0.8,15.8,2025-04-13T02:09:33.888Z,2025-04-13T05:16:04Z,5gc4aouty93b7kbin9cpgrdre,A. Søjberg,,,5647932903,233,28,5647932069,346,,5647932067,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800388179,28,5,1,2,50,ak0rmms5xl49w57i2rvid1tk9,0,100.8,84.2,2025-04-13T02:09:33.888Z,2025-04-13T05:16:04Z,cfx7vo0kbjvcly2nf1b7papsk,Y. Hanya,,,5647932883,56,Left,5647932915,233,22,5647932885,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800388027,23,1,1,3,12,kfq8fhwnmycbtad1u0fyefx0,1,4.8,59.3,2025-04-13T02:09:55.953Z,2025-04-13T02:09:57Z,b32tamno8dpk5te2oq7d9a6t,C. Guzmán,,,5647932121,124,,5647932129,212,7.5,5647932127,141,48.5,5647932123,56,Back,5647932131,213,4.54,5647932135,237,,5647932125,140,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800388051,24,1,1,3,13,kfq8fhwnmycbtad1u0fyefx0,1,3.6,48.5,2025-04-13T02:09:57.027Z,2025-04-13T02:10:00Z,isauuse3yqdwymvfne6ci385,Nico Campuzano,,,5647932277,56,Back,5647932285,213,1.13,5647932279,140,8.7,5647932283,212,12.6,5647932281,141,65.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800388095,25,1,1,3,16,kfq8fhwnmycbtad1u0fyefx0,1,17.2,82.0,2025-04-13T02:09:59.971Z,2025-04-13T02:10:03Z,b32tamno8dpk5te2oq7d9a6t,C. Guzmán,,,5647932485,141,90.0,5647932489,213,0.33,5647932481,56,Back,5647932487,212,16.9,5647932483,140,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800388125,26,1,1,3,19,kfq8fhwnmycbtad1u0fyefx0,1,33.3,85.3,2025-04-13T02:10:03.259Z,2025-04-13T02:10:06Z,9x7teazvqgbnj3pnam6rf2xgp,W. Fonguck,,,5647932615,56,Back,5647932623,213,3.70,5647932621,212,26.1,5647932619,141,64.9,5647932617,140,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800388161,27,1,1,3,22,kfq8fhwnmycbtad1u0fyefx0,1,11.0,64.9,2025-04-13T02:10:06.208Z,2025-04-13T02:10:09Z,isauuse3yqdwymvfne6ci385,Nico Campuzano,,,5647932785,212,30.0,5647932777,155,,5647932783,141,73.0,5647932779,56,Back,5647932781,140,39.1,5647932787,213,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800388169,28,1,1,3,25,kfq8fhwnmycbtad1u0fyefx0,1,39.1,73.0,2025-04-13T02:10:09.006Z,2025-04-13T02:10:11Z,djz5cm1g7ouen2y4o7w35jbl6,L. Ivanovic,,,5647932815,212,6.7,5647932809,56,Back,5647932819,213,4.41,5647932813,141,63.6,5647932811,140,37.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800388193,29,1,1,3,27,kfq8fhwnmycbtad1u0fyefx0,0,37.2,63.6,2025-04-13T02:10:10.980Z,2025-04-13T02:10:14Z,5gc4aouty93b7kbin9cpgrdre,A. Søjberg,,,5647932955,141,75.7,5647932959,213,0.83,5647932949,3,,5647932953,140,44.4,5647932957,212,11.2,5647932951,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800388185,29,44,1,3,28,ak0rmms5xl49w57i2rvid1tk9,1,68.5,11.1,2025-04-13T02:10:12.299Z,2025-04-13T04:09:16Z,dqekbs06e79n3vapj437pwyc,G. Metusala,,,5647933011,286,,5647933007,233,30,5647932907,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
