id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/11/value,qualifier/16/value
2818579931,7,44,1,0,12,5qfq6cwtrgzd2szijivns7rjl,0,44.4,51.3,2025-05-24T23:07:33.079Z,2025-05-25T02:03:11Z,c08hvq1hplcct8kxrxucfpqp6,W. Pacius,,,5748384871,285,,5748384993,233,4,5748384869,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818579941,5,61,1,0,13,ck22dnk93ng8ax7wonlff7yms,1,29.3,43.4,2025-05-24T23:07:33.891Z,2025-05-24T23:53:18Z,6pqyqf9v6g60ci7jjggalqsq1,J. Hafferty,,,5748384929,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818579947,8,61,1,0,14,5qfq6cwtrgzd2szijivns7rjl,1,28.6,48.1,2025-05-24T23:07:34.415Z,2025-05-24T23:07:34Z,c08hvq1hplcct8kxrxucfpqp6,W. Pacius,,,5748384969,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818579967,9,3,1,0,14,5qfq6cwtrgzd2szijivns7rjl,0,44.0,49.4,2025-05-24T23:07:35.067Z,2025-05-25T02:02:45Z,c08hvq1hplcct8kxrxucfpqp6,W. Pacius,,,5748385127,233,6,5748385131,286,,5748385069,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818579965,6,7,1,0,14,ck22dnk93ng8ax7wonlff7yms,1,56.0,50.6,2025-05-24T23:07:35.068Z,2025-05-25T02:02:44Z,6pqyqf9v6g60ci7jjggalqsq1,J. Hafferty,,,5748385109,233,9,5748385061,56,Center,5748385063,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818579985,8,1,1,0,16,ck22dnk93ng8ax7wonlff7yms,1,34.0,50.4,2025-05-24T23:07:36.756Z,2025-05-24T23:07:38Z,6pqyqf9v6g60ci7jjggalqsq1,J. Hafferty,,,5748385187,213,6.21,5748385183,141,48.8,5748385179,56,Back,5748385185,212,15.9,5748385181,140,49.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580025,9,1,1,0,18,ck22dnk93ng8ax7wonlff7yms,1,49.1,48.8,2025-05-24T23:07:38.492Z,2025-05-24T23:07:41Z,5m3bxdstyhzoplpzam8c94t90,F. Ajago,,,5748385409,141,49.1,5748385411,212,18.7,5748385407,140,31.3,5748385405,56,Back,5748385413,213,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580037,10,1,1,0,20,ck22dnk93ng8ax7wonlff7yms,1,31.3,49.3,2025-05-24T23:07:41.370Z,2025-05-24T23:07:43Z,6pqyqf9v6g60ci7jjggalqsq1,J. Hafferty,,,5748385501,212,13.6,5748385497,140,39.1,5748385495,56,Back,5748385499,141,65.2,5748385503,213,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580061,11,1,1,0,22,ck22dnk93ng8ax7wonlff7yms,1,39.9,66.4,2025-05-24T23:07:42.905Z,2025-05-24T23:07:45Z,1b9b97pxox77ia41cilqqm4iy,Nick Firmino,,,5748385653,141,86.0,5748385649,56,Back,5748385655,212,16.9,5748385651,140,49.8,5748385657,213,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580135,12,1,1,0,25,ck22dnk93ng8ax7wonlff7yms,1,53.7,89.7,2025-05-24T23:07:45.444Z,2025-05-24T23:07:51Z,2wj1w4opn7f0jyz1ps6ebvc6i,K. Sargeant,,,5748386099,213,6.13,5748386097,212,33.2,5748386101,1,,5748386093,140,85.0,5748386095,141,82.3,5748386091,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580191,13,1,1,0,31,ck22dnk93ng8ax7wonlff7yms,1,90.4,84.8,2025-05-24T23:07:51.412Z,2025-05-24T23:07:55Z,5m3bxdstyhzoplpzam8c94t90,F. Ajago,,,5748386325,140,79.2,5748386331,213,2.69,5748386323,56,Left,5748386329,212,13.1,5748386327,141,93.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580223,14,1,1,0,35,ck22dnk93ng8ax7wonlff7yms,0,79.9,88.9,2025-05-24T23:07:55.575Z,2025-05-24T23:07:57Z,1xpjec3sk3ykvgcg67jkxtzo,M. Adedokun,,,5748386517,56,Center,5748386519,140,89.7,5748386525,213,5.55,5748386521,141,75.3,5748386523,212,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580289,11,1,1,0,40,5qfq6cwtrgzd2szijivns7rjl,1,4.5,28.6,2025-05-24T23:08:01.119Z,2025-05-24T23:08:03Z,du5dg5x7as3ub1iemjuwdd6uh,R. Castellanos,,,5748386883,212,24.3,5748386877,56,Back,5748386875,157,,5748386879,140,27.6,5748386885,213,0.04,5748386881,141,30.0,5748386887,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580299,12,50,1,0,42,5qfq6cwtrgzd2szijivns7rjl,1,28.9,33.2,2025-05-24T23:08:03.065Z,2025-05-25T02:02:45Z,6mrzod8fbjpv5s30eyypfyv2t,M. Arteaga,,,5748575329,285,,5748386917,56,Back,5748575449,233,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580317,15,7,1,0,42,ck22dnk93ng8ax7wonlff7yms,0,71.1,66.8,2025-05-24T23:08:03.066Z,2025-05-25T02:02:45Z,khvgxqohya7mawca1qx5q590,S. Djeffal,,,5748575385,233,12,5748387029,56,Center,5748574299,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818615203,455,61,1,0,44,5qfq6cwtrgzd2szijivns7rjl,1,49.6,49.1,2025-05-24T23:08:04.380Z,2025-05-24T23:56:34Z,6mrzod8fbjpv5s30eyypfyv2t,M. Arteaga,,,5748575607,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580381,17,1,1,0,46,ck22dnk93ng8ax7wonlff7yms,1,64.0,52.5,2025-05-24T23:08:07.295Z,2025-05-24T23:08:09Z,6pqyqf9v6g60ci7jjggalqsq1,J. Hafferty,,,5748387355,212,14.5,5748387351,140,64.3,5748387357,213,1.55,5748387353,141,73.8,5748387349,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580389,18,1,1,0,48,ck22dnk93ng8ax7wonlff7yms,0,65.6,82.4,2025-05-24T23:08:08.867Z,2025-05-24T23:08:09Z,2wj1w4opn7f0jyz1ps6ebvc6i,K. Sargeant,,,5748387403,140,71.0,5748387405,141,75.6,5748387401,56,Center,5748387407,212,7.3,5748387409,213,5.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580397,13,8,1,0,49,5qfq6cwtrgzd2szijivns7rjl,1,28.3,14.3,2025-05-24T23:08:09.855Z,2025-05-24T23:08:10Z,dbjysa6qhf203jmpjedz8pgph,T. Vancaeyezeele,,,5748387447,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580419,14,5,1,0,49,5qfq6cwtrgzd2szijivns7rjl,0,32.7,-1.0,2025-05-24T23:08:10.307Z,2025-05-25T01:33:03Z,dbjysa6qhf203jmpjedz8pgph,T. Vancaeyezeele,,,5748387539,347,,5748387849,233,19,5748387537,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580477,19,5,1,0,49,ck22dnk93ng8ax7wonlff7yms,1,67.3,101.0,2025-05-24T23:08:10.307Z,2025-05-24T23:08:16Z,2wj1w4opn7f0jyz1ps6ebvc6i,K. Sargeant,,,5748387807,347,,5748387829,233,14,5748387805,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580615,20,1,1,0,54,ck22dnk93ng8ax7wonlff7yms,1,75.3,100.0,2025-05-24T23:08:15.337Z,2025-05-24T23:57:03Z,1xpjec3sk3ykvgcg67jkxtzo,M. Adedokun,,,5748388537,56,Back,5748388547,212,33.3,5748388533,107,,5748388551,213,3.55,5748388555,1,,5748388541,140,46.2,5748388545,141,82.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580693,21,1,1,1,4,ck22dnk93ng8ax7wonlff7yms,1,42.0,71.5,2025-05-24T23:08:24.951Z,2025-05-24T23:08:29Z,16ndalf4kfr7e6rd9mwj7gfmc,K. Burks,,,5748388963,56,Left,5748388971,213,0.62,5748388965,140,54.5,5748388967,141,85.3,5748388969,212,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580739,22,1,1,1,9,ck22dnk93ng8ax7wonlff7yms,1,59.5,86.0,2025-05-24T23:08:29.564Z,2025-05-24T23:08:34Z,2wj1w4opn7f0jyz1ps6ebvc6i,K. Sargeant,,,5748389217,140,70.3,5748389223,213,0.10,5748389215,56,Left,5748389221,212,11.4,5748389219,141,87.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580757,23,1,1,1,13,ck22dnk93ng8ax7wonlff7yms,1,63.6,89.0,2025-05-24T23:08:34.307Z,2025-05-24T23:08:36Z,csx9pmpibyblftludnkd6j36x,M. Epps,,,5748389343,212,26.4,5748389337,56,Back,5748389345,213,3.72,5748389341,141,67.9,5748389339,140,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580787,24,1,1,1,16,ck22dnk93ng8ax7wonlff7yms,1,40.7,63.9,2025-05-24T23:08:36.674Z,2025-05-24T23:08:41Z,16ndalf4kfr7e6rd9mwj7gfmc,K. Burks,,,5748389523,212,22.9,5748389517,56,Back,5748389525,213,4.70,5748389521,141,30.3,5748389519,140,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580795,25,1,1,1,21,ck22dnk93ng8ax7wonlff7yms,1,35.9,35.4,2025-05-24T23:08:41.419Z,2025-05-24T23:08:42Z,6pqyqf9v6g60ci7jjggalqsq1,J. Hafferty,,,5748389601,141,53.6,5748389605,213,2.11,5748389599,140,28.9,5748389603,212,14.4,5748389597,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580827,26,1,1,1,22,ck22dnk93ng8ax7wonlff7yms,1,28.9,53.6,2025-05-24T23:08:42.565Z,2025-05-24T23:08:45Z,16ndalf4kfr7e6rd9mwj7gfmc,K. Burks,,,5748389799,213,0.98,5748389793,140,36.3,5748389797,212,14.0,5748389795,141,70.8,5748389791,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580837,27,1,1,1,25,ck22dnk93ng8ax7wonlff7yms,0,38.9,80.8,2025-05-24T23:08:45.535Z,2025-05-24T23:08:46Z,2wj1w4opn7f0jyz1ps6ebvc6i,K. Sargeant,,,5748389849,212,29.6,5748389843,56,Center,5748389847,141,71.4,5748389851,213,6.07,5748389841,155,,5748389845,140,66.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580897,16,1,1,1,29,5qfq6cwtrgzd2szijivns7rjl,0,27.0,17.0,2025-05-24T23:08:49.446Z,2025-05-25T00:07:13Z,du5dg5x7as3ub1iemjuwdd6uh,R. Castellanos,,,5748390143,140,61.2,5748390149,213,5.94,5748390151,1,,5748390141,56,Right,5748390145,141,0.0,5748390147,212,38.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580905,17,5,1,1,29,5qfq6cwtrgzd2szijivns7rjl,0,61.6,-1.8,2025-05-24T23:08:50.344Z,2025-05-25T01:33:04Z,4ua2bfowedufy5hilbxb3cul1,Leo Fernandes,,,5748390665,233,28,5748390183,347,,5748390181,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580997,28,5,1,1,29,ck22dnk93ng8ax7wonlff7yms,1,38.4,101.8,2025-05-24T23:08:50.344Z,2025-05-25T01:33:04Z,2wj1w4opn7f0jyz1ps6ebvc6i,K. Sargeant,,,5748390583,56,Back,5748390643,233,17,5748390585,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818581055,29,1,1,1,35,ck22dnk93ng8ax7wonlff7yms,1,37.6,100.0,2025-05-24T23:08:55.820Z,2025-05-24T23:09:00Z,2wj1w4opn7f0jyz1ps6ebvc6i,K. Sargeant,,,5748390875,56,Back,5748390883,213,3.99,5748390877,140,26.8,5748390873,107,,5748390879,141,82.9,5748390881,212,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818581113,30,1,1,1,39,ck22dnk93ng8ax7wonlff7yms,1,25.7,72.3,2025-05-24T23:09:00.374Z,2025-05-24T23:09:06Z,16ndalf4kfr7e6rd9mwj7gfmc,K. Burks,,,5748391241,212,27.7,5748391239,141,31.6,5748391235,56,Back,5748391237,140,25.6,5748391243,213,4.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818581165,31,1,1,1,45,ck22dnk93ng8ax7wonlff7yms,1,27.5,33.1,2025-05-24T23:09:06.219Z,2025-05-24T23:09:10Z,6pqyqf9v6g60ci7jjggalqsq1,J. Hafferty,,,5748391589,212,10.8,5748391591,213,1.83,5748391583,56,Back,5748391587,141,48.4,5748391585,140,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818581213,32,1,1,1,49,ck22dnk93ng8ax7wonlff7yms,1,25.4,53.7,2025-05-24T23:09:09.805Z,2025-05-24T23:09:13Z,16ndalf4kfr7e6rd9mwj7gfmc,K. Burks,,,5748391875,212,18.9,5748391871,140,32.4,5748391873,141,79.3,5748391877,213,1.17,5748391869,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818581239,33,1,1,1,52,ck22dnk93ng8ax7wonlff7yms,1,34.6,79.0,2025-05-24T23:09:12.792Z,2025-05-24T23:09:14Z,2wj1w4opn7f0jyz1ps6ebvc6i,K. Sargeant,,,5748391987,56,Back,5748391993,212,8.8,5748391989,140,42.9,5748391991,141,80.5,5748391995,213,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818581281,34,1,1,1,53,ck22dnk93ng8ax7wonlff7yms,0,41.7,78.7,2025-05-24T23:09:14.203Z,2025-05-24T23:58:05Z,1xpjec3sk3ykvgcg67jkxtzo,M. Adedokun,,,5748392207,140,43.2,5748392219,213,4.83,5748392203,56,Back,5748392215,212,13.4,5748392211,141,59.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818581311,18,8,1,1,57,5qfq6cwtrgzd2szijivns7rjl,1,44.8,51.2,2025-05-24T23:09:17.384Z,2025-05-24T23:09:17Z,6mrzod8fbjpv5s30eyypfyv2t,M. Arteaga,,,5748392379,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818581341,20,50,1,1,59,5qfq6cwtrgzd2szijivns7rjl,1,52.4,49.0,2025-05-24T23:09:20.183Z,2025-05-25T02:02:46Z,6mrzod8fbjpv5s30eyypfyv2t,M. Arteaga,,,5748392865,233,35,5748392575,286,,5748392573,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818581375,35,7,1,1,59,ck22dnk93ng8ax7wonlff7yms,1,47.6,51.0,2025-05-24T23:09:20.184Z,2025-05-25T02:02:46Z,1b9b97pxox77ia41cilqqm4iy,Nick Firmino,,,5748392833,233,20,5748392739,56,Back,5748392741,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818581451,37,1,1,2,2,ck22dnk93ng8ax7wonlff7yms,1,46.2,49.7,2025-05-24T23:09:23.103Z,2025-05-24T23:59:01Z,khvgxqohya7mawca1qx5q590,S. Djeffal,,,5748393169,212,33.7,5748393171,213,5.36,5748393163,56,Right,5748393167,141,10.3,5748393165,140,65.7,5748393161,155,,5748393173,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818581457,38,50,1,2,7,ck22dnk93ng8ax7wonlff7yms,1,80.6,15.2,2025-05-24T23:09:27.503Z,2025-05-24T23:58:55Z,cf36p7zpnrtxhebod6rtsmr1m,A. Midence,,,5748393197,286,,5748393287,233,21,5748393195,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818581463,21,7,1,2,7,5qfq6cwtrgzd2szijivns7rjl,1,19.4,84.8,2025-05-24T23:09:27.504Z,2025-05-24T23:09:33Z,8vcytrkvxzki08gxqpulol3hl,B. Bodily,,,5748393277,233,38,5748393231,56,Back,5748393235,285,,5748393223,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818581473,22,6,1,2,8,5qfq6cwtrgzd2szijivns7rjl,0,19.6,85.8,2025-05-24T23:09:28.447Z,2025-05-25T02:02:37Z,8vcytrkvxzki08gxqpulol3hl,B. Bodily,,,5748393491,73,,5748393523,233,39,5748393489,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818581467,39,6,1,2,8,ck22dnk93ng8ax7wonlff7yms,1,80.4,14.2,2025-05-24T23:09:28.447Z,2025-05-25T02:02:36Z,cf36p7zpnrtxhebod6rtsmr1m,A. Midence,,,5748393383,56,Right,5748393503,233,22,5748393385,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818581755,40,1,1,2,32,ck22dnk93ng8ax7wonlff7yms,1,99.5,0.5,2025-05-24T23:09:53.317Z,2025-05-24T23:09:59Z,cf36p7zpnrtxhebod6rtsmr1m,A. Midence,,,5748394797,141,8.2,5748394801,213,2.76,5748394795,140,87.0,5748394791,6,,5748394799,212,14.1,5748394793,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818581789,41,1,1,2,34,ck22dnk93ng8ax7wonlff7yms,1,87.3,8.3,2025-05-24T23:09:55.084Z,2025-05-24T23:09:58Z,khvgxqohya7mawca1qx5q590,S. Djeffal,,,5748395005,140,67.9,5748394999,56,Center,5748395011,141,27.9,5748395017,212,24.3,5748395021,213,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818581845,42,1,1,2,38,ck22dnk93ng8ax7wonlff7yms,1,68.8,27.7,2025-05-24T23:09:59.081Z,2025-05-24T23:59:48Z,1xpjec3sk3ykvgcg67jkxtzo,M. Adedokun,1.0,,5748396017,154,,5748395249,212,24.0,5748396015,210,15,5748395243,56,Center,5748395247,141,47.9,5748395251,213,0.61,5748395245,140,87.6,5748395241,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
