id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value
2822667677,7,8,1,0,17,5qfq6cwtrgzd2szijivns7rjl,1,77.1,68.5,2025-06-14T23:37:49.311Z,2025-06-14T23:37:49Z,7ao58e6608lb8eu3dmk17jisp,O. Bassett,,,5771265779,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822667721,6,1,1,0,17,bu5w8wprynlj9mvphvy8sd94f,1,16.5,37.4,2025-06-14T23:37:49.743Z,2025-06-14T23:37:53Z,d539xjkdwt1i77f0czbvo8ull,B. Akinyode,,,5771265967,56,Back,5771265975,213,1.60,5771265973,212,27.1,5771265971,141,77.2,5771265969,140,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822667779,7,1,1,0,21,bu5w8wprynlj9mvphvy8sd94f,1,17.0,83.2,2025-06-14T23:37:53.719Z,2025-06-14T23:38:03Z,cvi9u3v3krlkbvwcwjqztzvca,A. Mitrano,,,5771266293,140,70.1,5771266291,56,Left,5771266289,157,,5771266297,212,55.8,5771266301,1,,5771266299,213,6.24,5771266295,141,79.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822667801,8,1,1,0,31,bu5w8wprynlj9mvphvy8sd94f,1,71.6,83.6,2025-06-14T23:38:03.224Z,2025-06-14T23:38:06Z,am7umg00yxt40mndzo6e0u3o4,F. Bonfiglio,,,5771266425,140,63.4,5771266429,212,14.1,5771266423,56,Center,5771266427,141,67.2,5771266431,213,4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822667815,9,1,1,0,32,bu5w8wprynlj9mvphvy8sd94f,1,63.3,65.2,2025-06-14T23:38:04.583Z,2025-06-15T00:43:22Z,fm9i7pzwi2diu6i18kycmx1x,M. Romero,,,5771266517,56,Left,5771266525,213,1.32,5771266521,141,79.6,5771266523,212,10.1,5771266519,140,65.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822667819,10,1,1,0,33,bu5w8wprynlj9mvphvy8sd94f,1,65.5,74.0,2025-06-14T23:38:05.400Z,2025-06-15T00:43:23Z,am7umg00yxt40mndzo6e0u3o4,F. Bonfiglio,,,5771266533,56,Center,5771267957,212,3.8,5771267953,140,62.3,5771267959,213,3.63,5771267955,141,71.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822667857,12,50,1,0,34,bu5w8wprynlj9mvphvy8sd94f,1,64.8,77.2,2025-06-14T23:38:06.400Z,2025-06-15T00:43:23Z,fm9i7pzwi2diu6i18kycmx1x,M. Romero,,,5771284147,233,8,5771266705,56,Center,5771266707,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822667845,8,7,1,0,34,5qfq6cwtrgzd2szijivns7rjl,1,35.2,22.8,2025-06-14T23:38:06.401Z,2025-06-15T01:46:02Z,56txiyhvsvhudyr1b21rznmjt,L. Hilton,,,5771284125,285,,5771284121,56,Back,5771284133,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822667831,11,1,1,0,36,bu5w8wprynlj9mvphvy8sd94f,0,61.5,67.5,2025-06-14T23:38:07.960Z,2025-06-15T00:43:26Z,fm9i7pzwi2diu6i18kycmx1x,M. Romero,,,5771286105,286,,5771266577,56,Center,5771285953,212,1.0,5771286101,233,9,5771285949,140,61.5,5771286099,236,,5771285951,141,68.9,5771285955,213,1.57,,,,,,,,,,,,,,,,,,,,,,,,
2822667851,9,74,1,0,36,5qfq6cwtrgzd2szijivns7rjl,1,38.4,27.0,2025-06-14T23:38:07.961Z,2025-06-15T01:46:09Z,7ao58e6608lb8eu3dmk17jisp,O. Bassett,,,5771266655,56,Back,5771286107,233,11,5771266657,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822672187,105,1,1,0,40,bu5w8wprynlj9mvphvy8sd94f,1,59.8,65.6,2025-06-14T23:38:11.880Z,2025-06-14T23:47:22Z,fm9i7pzwi2diu6i18kycmx1x,M. Romero,,,5771290709,213,2.01,5771290705,141,75.4,5771290703,140,56.8,5771290701,56,Center,5771290707,212,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822667925,13,1,1,0,41,bu5w8wprynlj9mvphvy8sd94f,1,60.1,87.5,2025-06-14T23:38:13.375Z,2025-06-14T23:38:22Z,cvi9u3v3krlkbvwcwjqztzvca,A. Mitrano,,,5771266997,140,55.0,5771267001,212,12.4,5771267003,213,4.26,5771266995,56,Center,5771266999,141,71.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822667951,11,27,1,0,47,5qfq6cwtrgzd2szijivns7rjl,1,0.0,0.0,2025-06-14T23:38:19.657Z,2025-06-14T23:38:24Z,,,,,5771267161,233,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822667935,14,27,1,0,47,bu5w8wprynlj9mvphvy8sd94f,1,0.0,0.0,2025-06-14T23:38:19.657Z,2025-06-14T23:38:25Z,,,,,5771267035,41,Injury,5771267169,233,11,5771267037,53,fm9i7pzwi2diu6i18kycmx1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822667965,12,28,1,0,51,5qfq6cwtrgzd2szijivns7rjl,1,0.0,0.0,2025-06-14T23:38:23.025Z,2025-06-14T23:38:26Z,,,,,5771267233,55,11,5771267241,233,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822667939,15,28,1,0,51,bu5w8wprynlj9mvphvy8sd94f,1,0.0,0.0,2025-06-14T23:38:23.025Z,2025-06-14T23:38:27Z,,,,,5771267267,233,12,5771267063,55,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822668133,13,68,1,1,24,5qfq6cwtrgzd2szijivns7rjl,0,39.1,34.0,2025-06-14T23:38:56.080Z,2025-06-14T23:47:40Z,,,,,5771291803,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822668139,16,68,1,1,25,bu5w8wprynlj9mvphvy8sd94f,1,49.5,76.9,2025-06-14T23:38:56.970Z,2025-06-14T23:39:25Z,,,,,5771269063,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822668159,17,1,1,1,26,bu5w8wprynlj9mvphvy8sd94f,1,53.1,71.8,2025-06-14T23:38:58.385Z,2025-06-14T23:39:44Z,d539xjkdwt1i77f0czbvo8ull,B. Akinyode,,,5771268185,213,5.33,5771268179,140,82.5,5771268175,157,,5771268181,141,8.3,5771268187,1,,5771268177,56,Right,5771269083,189,,5771268183,212,53.1,,,,,,,,,,,,,,,,,,,,,,,,
2822668161,18,44,1,1,28,bu5w8wprynlj9mvphvy8sd94f,1,69.5,5.2,2025-06-14T23:39:00.015Z,2025-06-15T01:46:15Z,96qlwmkrab9h7xt93jzgl384p,J. Ricketts,,,5771294671,233,23,5771268193,286,,5771268191,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822668615,23,44,1,1,28,5qfq6cwtrgzd2szijivns7rjl,0,30.5,94.8,2025-06-14T23:39:00.016Z,2025-06-15T01:46:15Z,8vcytrkvxzki08gxqpulol3hl,B. Bodily,,,5771294595,285,,5771294687,233,18,5771294591,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822668165,19,1,1,1,28,bu5w8wprynlj9mvphvy8sd94f,0,81.2,8.6,2025-06-14T23:39:00.512Z,2025-06-15T02:16:23Z,96qlwmkrab9h7xt93jzgl384p,J. Ricketts,,,5771268207,3,,5771268211,140,82.8,5771268213,141,25.5,5771268217,213,1.43,5771268209,56,Center,5771268215,212,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822668181,14,1,1,1,31,5qfq6cwtrgzd2szijivns7rjl,0,11.4,68.8,2025-06-14T23:39:03.088Z,2025-06-14T23:49:34Z,bpkzxcqtmvei7lqkqzuvzelsl,A. Guillén,,,5771268293,212,37.4,5771268295,213,5.90,5771268287,56,Back,5771268297,1,,5771268289,140,44.4,5771268291,141,48.2,5771268285,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822668189,20,1,1,1,32,bu5w8wprynlj9mvphvy8sd94f,1,63.4,48.1,2025-06-14T23:39:03.889Z,2025-06-14T23:39:04Z,cyignmjprj3whvban361mclm2,D. Mercado,,,5771268333,140,74.5,5771268329,3,,5771268331,56,Center,5771268337,212,11.7,5771268335,141,48.4,5771268339,213,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822668193,21,1,1,1,32,bu5w8wprynlj9mvphvy8sd94f,0,74.5,48.4,2025-06-14T23:39:04.777Z,2025-06-14T23:41:04Z,am7umg00yxt40mndzo6e0u3o4,F. Bonfiglio,,,5771268357,56,Center,5771268365,213,4.09,5771268355,3,,5771268361,141,38.3,5771268363,212,8.5,5771268359,140,69.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822668213,15,1,1,1,33,5qfq6cwtrgzd2szijivns7rjl,1,38.8,76.1,2025-06-14T23:39:05Z,2025-06-14T23:49:45Z,dbjysa6qhf203jmpjedz8pgph,T. Vancaeyezeele,,,5771268481,141,64.3,5771268483,212,13.6,5771268477,56,Back,5771268485,213,3.77,5771268479,140,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822668221,16,1,1,1,35,5qfq6cwtrgzd2szijivns7rjl,0,27.0,65.8,2025-06-14T23:39:07.745Z,2025-06-14T23:49:44Z,bpkzxcqtmvei7lqkqzuvzelsl,A. Guillén,,,5771268545,141,76.1,5771268551,1,,5771268537,157,,5771268549,213,0.77,5771268547,212,10.1,5771268541,56,Back,5771268543,140,33.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822668205,22,61,1,1,36,bu5w8wprynlj9mvphvy8sd94f,1,77.3,35.8,2025-06-14T23:39:08.573Z,2025-06-14T23:49:42Z,am7umg00yxt40mndzo6e0u3o4,F. Bonfiglio,,,5771268453,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822668397,17,5,1,1,38,5qfq6cwtrgzd2szijivns7rjl,1,37.2,100.9,2025-06-14T23:39:10.649Z,2025-06-15T00:40:03Z,bpkzxcqtmvei7lqkqzuvzelsl,A. Guillén,,,5771269387,347,,5771269385,56,Back,5771269393,233,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822668211,23,5,1,1,38,bu5w8wprynlj9mvphvy8sd94f,0,62.8,-0.9,2025-06-14T23:39:10.649Z,2025-06-14T23:49:39Z,am7umg00yxt40mndzo6e0u3o4,F. Bonfiglio,,,5771268473,56,Right,5771269413,233,17,5771268475,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822668443,18,1,1,2,0,5qfq6cwtrgzd2szijivns7rjl,1,39.8,100.0,2025-06-14T23:39:32.697Z,2025-06-14T23:39:37Z,bpkzxcqtmvei7lqkqzuvzelsl,A. Guillén,,,5771269575,107,,5771269589,1,,5771269585,212,21.3,5771269579,140,21.4,5771269577,56,Back,5771269587,213,3.58,5771269583,141,88.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822668479,19,1,1,2,5,5qfq6cwtrgzd2szijivns7rjl,1,17.9,90.2,2025-06-14T23:39:37.265Z,2025-06-14T23:39:40Z,2wufroeor0e7k6hvatj1ltwfe,L. Wyke,,,5771269731,212,44.2,5771269723,196,,5771269735,1,,5771269733,213,4.99,5771269727,140,29.3,5771269729,141,27.7,5771269725,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822668505,20,1,1,2,8,5qfq6cwtrgzd2szijivns7rjl,1,30.3,27.4,2025-06-14T23:39:40.049Z,2025-06-14T23:39:45Z,du5dg5x7as3ub1iemjuwdd6uh,R. Castellanos,,,5771269953,140,40.7,5771269951,56,Back,5771269957,212,15.1,5771269959,213,0.76,5771269955,141,42.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822668527,21,1,1,2,13,5qfq6cwtrgzd2szijivns7rjl,0,36.8,39.1,2025-06-14T23:39:45.089Z,2025-06-14T23:39:47Z,56txiyhvsvhudyr1b21rznmjt,L. Hilton,,,5771270029,155,,5771270033,140,81.2,5771270041,1,,5771270039,213,5.94,5771270035,141,14.6,5771270037,212,49.5,5771270031,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822668531,24,12,1,2,15,bu5w8wprynlj9mvphvy8sd94f,1,15.3,89.9,2025-06-14T23:39:47.217Z,2025-06-14T23:39:48Z,cvi9u3v3krlkbvwcwjqztzvca,A. Mitrano,,,5771270073,56,Back,5771270077,141,100.0,5771270081,213,1.27,5771270135,167,,5771270075,140,17.7,5771270079,212,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822668609,22,5,1,2,16,5qfq6cwtrgzd2szijivns7rjl,1,76.2,-1.8,2025-06-14T23:39:48.005Z,2025-06-15T00:40:04Z,56txiyhvsvhudyr1b21rznmjt,L. Hilton,,,5771270603,233,25,5771270559,347,,5771270557,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822668533,25,5,1,2,16,bu5w8wprynlj9mvphvy8sd94f,0,23.8,101.8,2025-06-14T23:39:48.005Z,2025-06-14T23:40:05Z,cvi9u3v3krlkbvwcwjqztzvca,A. Mitrano,,,5771270611,233,22,5771270091,347,,5771270089,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822668653,24,1,1,2,24,5qfq6cwtrgzd2szijivns7rjl,1,75.9,0.0,2025-06-14T23:39:56.161Z,2025-06-14T23:50:58Z,lp6scacgnnb3d9uxypl2cn4k,A. Rodriguez,,,5771300431,107,,5771300437,141,7.2,5771300435,140,74.1,5771300439,212,6.0,5771300441,213,1.89,5771300433,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822668659,25,1,1,2,25,5qfq6cwtrgzd2szijivns7rjl,1,72.8,13.7,2025-06-14T23:39:57.322Z,2025-06-14T23:51:03Z,7ao58e6608lb8eu3dmk17jisp,O. Bassett,,,5771300675,212,4.7,5771300677,213,5.03,5771300671,140,74.2,5771300673,141,7.2,5771300669,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822674347,139,1,1,2,26,5qfq6cwtrgzd2szijivns7rjl,0,78.5,3.7,2025-06-14T23:39:58.173Z,2025-06-14T23:51:37Z,lp6scacgnnb3d9uxypl2cn4k,A. Rodriguez,,,5771302669,56,Right,5771302717,233,26,5771302673,141,3.5,5771302671,140,76.6,5771302677,213,3.21,5771302721,286,,5771302715,236,,5771302675,212,2.0,,,,,,,,,,,,,,,,,,,,,,,,
2822668621,26,74,1,2,26,bu5w8wprynlj9mvphvy8sd94f,1,17.0,95.1,2025-06-14T23:39:58.174Z,2025-06-15T00:38:55Z,c14ntw6zvozswy685dztldl1x,F. Celeste,,,5771302767,233,139,5771270601,285,,5771270599,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822668629,27,5,1,2,28,bu5w8wprynlj9mvphvy8sd94f,0,23.2,101.2,2025-06-14T23:40:00.310Z,2025-06-15T00:40:04Z,c14ntw6zvozswy685dztldl1x,F. Celeste,,,5771303187,233,136,5771270635,347,,5771270633,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822674305,136,5,1,2,28,5qfq6cwtrgzd2szijivns7rjl,1,76.8,-1.2,2025-06-14T23:40:00.310Z,2025-06-15T00:40:04Z,lp6scacgnnb3d9uxypl2cn4k,A. Rodriguez,,,5771303151,347,,5771303149,56,Right,5771303161,233,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822674819,159,1,1,2,42,5qfq6cwtrgzd2szijivns7rjl,1,75.1,0.0,2025-06-14T23:40:14.161Z,2025-06-14T23:52:30Z,lp6scacgnnb3d9uxypl2cn4k,A. Rodriguez,,,5771305275,141,5.6,5771305279,213,0.38,5771305271,56,Right,5771305273,140,86.0,5771305277,212,12.3,5771305269,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822668751,26,3,1,2,43,5qfq6cwtrgzd2szijivns7rjl,0,82.4,7.0,2025-06-14T23:40:15.002Z,2025-06-15T00:38:46Z,dbjysa6qhf203jmpjedz8pgph,T. Vancaeyezeele,,,5771271267,286,,5771271359,233,28,5771271265,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822668761,28,7,1,2,43,bu5w8wprynlj9mvphvy8sd94f,1,17.6,93.0,2025-06-14T23:40:15.003Z,2025-06-15T00:38:46Z,cvi9u3v3krlkbvwcwjqztzvca,A. Mitrano,,,5771271317,285,,5771271331,233,26,5771271315,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822668775,30,1,1,2,45,bu5w8wprynlj9mvphvy8sd94f,1,22.1,95.4,2025-06-14T23:40:17.787Z,2025-06-14T23:53:20Z,864l8bcr288r74g3tmt1eqfe2,D. Verón,,,5771271383,213,6.21,5771271377,140,36.3,5771271381,212,14.9,5771271375,56,Back,5771271379,141,93.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822668779,31,1,1,2,46,bu5w8wprynlj9mvphvy8sd94f,0,36.3,93.8,2025-06-14T23:40:18.594Z,2025-06-14T23:40:20Z,am7umg00yxt40mndzo6e0u3o4,F. Bonfiglio,,,5771271407,213,4.37,5771271403,141,61.8,5771271401,140,28.9,5771271399,56,Back,5771271405,212,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822668839,28,1,1,2,51,5qfq6cwtrgzd2szijivns7rjl,1,66.2,51.3,2025-06-14T23:40:23.745Z,2025-06-14T23:40:29Z,1m1s5p5j607baa6lany39txxw,L. Álvarez,,,5771271751,212,12.5,5771271753,213,1.48,5771271745,56,Center,5771271749,141,69.6,5771271747,140,67.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822668867,29,1,1,2,57,5qfq6cwtrgzd2szijivns7rjl,1,66.3,69.0,2025-06-14T23:40:29.745Z,2025-06-14T23:40:33Z,8vcytrkvxzki08gxqpulol3hl,B. Bodily,,,5771271927,212,21.2,5771271921,56,Center,5771271929,213,4.54,5771271925,141,38.3,5771271923,140,62.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822668915,30,1,1,3,1,5qfq6cwtrgzd2szijivns7rjl,1,63.4,37.7,2025-06-14T23:40:33.305Z,2025-06-14T23:40:38Z,56txiyhvsvhudyr1b21rznmjt,L. Hilton,,,5771272133,56,Right,5771272137,141,15.5,5771272131,155,,5771272141,213,5.57,5771272139,212,23.0,5771272135,140,79.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
