id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/8/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value
2803520467,8,4,1,0,24,5qfq6cwtrgzd2szijivns7rjl,1,35.4,87.5,2025-04-19T23:37:19.835Z,2025-04-19T23:37:57Z,87rpg135z1k0ir74kdczwo2y1,F. Lasso,,,5665208763,56,Back,5665208765,152,,5665208767,265,,5665208761,13,,5665208769,286,,5665209149,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803520419,6,4,1,0,24,83cpn99fh7ulkwe8nezy8a3mx,0,64.6,12.5,2025-04-19T23:37:19.836Z,2025-04-19T23:37:33Z,35bpd9cmuep6cqczngaqpc19m,P. Goodrum,,,5665209019,265,,5665208315,56,Right,5665209021,285,,5665209091,233,8,5665209017,152,,5665209015,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803520439,7,43,1,0,25,83cpn99fh7ulkwe8nezy8a3mx,1,0.0,0.0,2025-04-19T23:37:20.901Z,2025-04-19T23:37:24Z,35bpd9cmuep6cqczngaqpc19m,P. Goodrum,,,5665208693,144,5,5665208449,347,0,5665208561,233,7,5665208447,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803520617,9,1,1,0,44,5qfq6cwtrgzd2szijivns7rjl,0,36.5,89.9,2025-04-19T23:37:39.741Z,2025-04-19T23:37:43Z,bpkzxcqtmvei7lqkqzuvzelsl,A. Guillén,,,5665209609,56,Center,5665209619,1,,5665209611,140,89.1,5665209617,213,5.79,5665209607,152,,5665209603,5,,5665209613,141,46.7,5665209615,212,62.6,5665209605,155,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803520849,10,1,1,1,7,83cpn99fh7ulkwe8nezy8a3mx,0,18.0,61.1,2025-04-19T23:38:03.085Z,2025-04-19T23:38:06Z,a3k4grlhkn63p3xfb2rzslkdm,D. Las,,,5665210941,157,,5665210949,140,69.8,5665210955,141,72.0,5665210963,213,0.14,5665210969,1,,5665210959,212,54.9,5665210945,56,Center,5665210943,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803520879,10,1,1,1,11,5qfq6cwtrgzd2szijivns7rjl,1,20.5,26.2,2025-04-19T23:38:06.780Z,2025-04-19T23:38:09Z,du5dg5x7as3ub1iemjuwdd6uh,R. Castellanos,,,5665211105,213,6.12,5665211095,3,,5665211103,212,20.5,5665211099,140,39.8,5665211101,141,21.3,5665211097,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803520891,11,1,1,1,14,5qfq6cwtrgzd2szijivns7rjl,0,39.8,21.3,2025-04-19T23:38:09.581Z,2025-04-19T23:38:11Z,ch01b74i78nggnffi81875ld6,P. Niyongabire,,,5665211189,168,,5665211195,141,22.7,5665211193,140,48.1,5665211187,3,,5665211197,212,8.8,5665211191,56,Back,5665211199,213,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803520929,11,1,1,1,16,83cpn99fh7ulkwe8nezy8a3mx,1,37.8,72.6,2025-04-19T23:38:11.854Z,2025-04-19T23:38:14Z,e2rv433ve4ytatjl94dcz1hm2,Arturo Ordóñez,,,5665211361,56,Left,5665211359,3,,5665211369,213,0.28,5665211365,141,79.9,5665211363,140,54.1,5665211367,212,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803520971,13,1,1,1,19,83cpn99fh7ulkwe8nezy8a3mx,1,41.5,67.9,2025-04-19T23:38:15.310Z,2025-04-19T23:38:19Z,15jb2rb0mvhaz492ii7yqrk6h,K. Lambert,,,5665211661,56,Back,5665211669,213,3.88,5665211663,140,29.0,5665211665,141,50.3,5665211667,212,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803521171,14,1,1,1,23,83cpn99fh7ulkwe8nezy8a3mx,0,29.8,41.9,2025-04-19T23:38:18.910Z,2025-04-19T23:40:25Z,9gvsswyf0gzxekrjdkpuqrh0p,S. Totsch,,,5665212699,213,0.40,5665212691,141,84.7,5665212689,140,96.1,5665212701,1,,5665212685,155,,5665212687,56,Left,5665212693,212,75.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803521081,12,50,1,1,31,5qfq6cwtrgzd2szijivns7rjl,1,7.5,15.8,2025-04-19T23:38:27.011Z,2025-04-20T02:04:59Z,dbjysa6qhf203jmpjedz8pgph,T. Vancaeyezeele,,,5665212275,285,,5665212271,56,Back,5665213275,233,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803521183,15,7,1,1,31,83cpn99fh7ulkwe8nezy8a3mx,0,92.5,84.2,2025-04-19T23:38:27.012Z,2025-04-20T02:04:58Z,cla0i94uyddjw7jzqoyfsplre,A. McFadden,,,5665212767,56,Left,5665213245,233,12,5665212769,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803521109,13,61,1,1,33,5qfq6cwtrgzd2szijivns7rjl,1,6.1,14.6,2025-04-19T23:38:29.129Z,2025-04-19T23:38:29Z,dbjysa6qhf203jmpjedz8pgph,T. Vancaeyezeele,,,5665212433,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803521125,14,6,1,1,34,5qfq6cwtrgzd2szijivns7rjl,0,5.2,14.8,2025-04-19T23:38:29.844Z,2025-04-19T23:38:38Z,dbjysa6qhf203jmpjedz8pgph,T. Vancaeyezeele,,,5665212591,73,,5665212589,56,Back,5665213015,233,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803521211,16,6,1,1,34,83cpn99fh7ulkwe8nezy8a3mx,1,94.8,85.2,2025-04-19T23:38:29.844Z,2025-04-20T02:05:33Z,cla0i94uyddjw7jzqoyfsplre,A. McFadden,,,5665212935,56,Left,5665212971,233,14,5665212937,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803521475,17,1,1,2,0,83cpn99fh7ulkwe8nezy8a3mx,0,99.5,99.5,2025-04-19T23:38:55.485Z,2025-04-19T23:38:58Z,3hb6yji6u8ftefif91lfrbtre,J. Wilson,,,5665214355,2,,5665214365,140,93.3,5665214363,56,Center,5665214367,141,53.4,5665214357,6,,5665214371,213,4.51,5665214373,1,,5665214359,155,,5665214361,223,5665214369,212,32.0,,,,,,,,,,,,,,,,,,,,,,,,
2803521549,15,12,1,2,2,5qfq6cwtrgzd2szijivns7rjl,1,12.7,49.0,2025-04-19T23:38:58.052Z,2025-04-20T02:37:33Z,6mrzod8fbjpv5s30eyypfyv2t,M. Arteaga,,,5665214747,213,5.71,5665214739,56,Back,5665214745,212,10.2,5665214743,141,40.9,5665725287,15,,5665214741,140,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803521525,18,13,1,2,5,83cpn99fh7ulkwe8nezy8a3mx,1,76.0,40.0,2025-04-19T23:39:00.830Z,2025-04-20T02:25:23Z,aomjkj5s52jkzgk3ljsz0osiy,E. Perez,,,5665243355,146,90.7,5665243353,458,,5665243363,231,48.2,5665243349,102,64.7,5665243053,25,,5665243351,103,38.9,5665243361,230,98.0,5665243055,20,,5665243059,153,5665243357,147,51.8,5665214607,18,5665243971,328,5665243345,73,5665214609,56,Center,,,,,,,,,,,,,,,
2803521559,19,61,1,2,6,83cpn99fh7ulkwe8nezy8a3mx,1,87.9,53.4,2025-04-19T23:39:01.747Z,2025-04-19T23:39:07Z,15jb2rb0mvhaz492ii7yqrk6h,K. Lambert,,,5665214783,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803530637,95,61,1,2,6,5qfq6cwtrgzd2szijivns7rjl,1,7.9,49.4,2025-04-19T23:39:01.910Z,2025-04-20T02:37:35Z,7ao58e6608lb8eu3dmk17jisp,O. Bassett,,,5665263617,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803521579,16,12,1,2,7,5qfq6cwtrgzd2szijivns7rjl,1,11.4,36.3,2025-04-19T23:39:03.300Z,2025-04-19T23:39:06Z,6mrzod8fbjpv5s30eyypfyv2t,M. Arteaga,,,5665214897,212,34.2,5665214887,56,Back,5665214893,141,41.9,5665214901,213,0.11,5665214889,140,43.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803521715,18,1,1,2,14,5qfq6cwtrgzd2szijivns7rjl,1,66.8,25.3,2025-04-19T23:39:10.011Z,2025-04-19T23:39:15Z,c08hvq1hplcct8kxrxucfpqp6,W. Pacius,,,5665215645,213,1.71,5665215643,212,6.6,5665215637,56,Center,5665215639,140,65.9,5665215641,141,34.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803521723,19,3,1,2,19,5qfq6cwtrgzd2szijivns7rjl,0,73.8,27.0,2025-04-19T23:39:15.168Z,2025-04-19T23:39:21Z,7ao58e6608lb8eu3dmk17jisp,O. Bassett,,,5665215687,286,,5665215831,233,20,5665215685,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803521739,20,7,1,2,19,83cpn99fh7ulkwe8nezy8a3mx,0,26.2,73.0,2025-04-19T23:39:15.169Z,2025-04-19T23:39:22Z,3hb6yji6u8ftefif91lfrbtre,J. Wilson,,,5665215771,56,Back,5665215809,233,19,5665215773,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803521757,20,1,1,2,21,5qfq6cwtrgzd2szijivns7rjl,0,87.5,12.0,2025-04-19T23:39:16.988Z,2025-04-19T23:39:18Z,7ao58e6608lb8eu3dmk17jisp,O. Bassett,,,5665215877,155,,5665215875,2,,5665215881,140,89.5,5665215885,212,25.7,5665215879,56,Center,5665215883,141,49.6,5665215887,213,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803521813,21,12,1,2,23,83cpn99fh7ulkwe8nezy8a3mx,1,11.2,64.2,2025-04-19T23:39:18.638Z,2025-04-20T01:32:29Z,d2ny0huv78m4m6p65y8eou7oq,T. Davila,,,5665705209,56,Back,5665705211,140,32.9,5665705301,15,,5665705217,213,0.15,5665705213,141,69.3,5665705215,212,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803521875,21,1,1,2,28,5qfq6cwtrgzd2szijivns7rjl,1,66.5,24.3,2025-04-19T23:39:23.883Z,2025-04-19T23:39:27Z,4l1wyg8j3u42b87477y3zm54a,C. MacPherson,,,5665216435,56,Back,5665216443,213,2.81,5665216437,140,48.4,5665216441,212,20.1,5665216439,141,33.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803521889,22,1,1,2,31,5qfq6cwtrgzd2szijivns7rjl,1,54.2,34.3,2025-04-19T23:39:27.019Z,2025-04-19T23:39:28Z,du5dg5x7as3ub1iemjuwdd6uh,R. Castellanos,,,5665216517,213,1.27,5665216515,212,22.4,5665216513,141,65.8,5665216511,140,60.6,5665216509,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803521895,23,1,1,2,33,5qfq6cwtrgzd2szijivns7rjl,0,59.1,69.1,2025-04-19T23:39:28.683Z,2025-04-19T23:39:29Z,87rpg135z1k0ir74kdczwo2y1,F. Lasso,,,5665216543,141,56.0,5665216551,213,5.18,5665216539,140,63.4,5665216547,212,10.0,5665216537,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803522007,23,1,1,2,38,83cpn99fh7ulkwe8nezy8a3mx,1,33.9,42.4,2025-04-19T23:39:33.975Z,2025-04-19T23:39:37Z,15jb2rb0mvhaz492ii7yqrk6h,K. Lambert,,,5665217127,213,4.93,5665217117,56,Back,5665217121,140,39.2,5665217125,212,25.3,5665217123,141,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803521987,24,83,1,2,40,5qfq6cwtrgzd2szijivns7rjl,0,63.1,68.2,2025-04-19T23:39:35.796Z,2025-04-19T23:39:41Z,ch01b74i78nggnffi81875ld6,P. Niyongabire,,,5665217321,399,aomjkj5s52jkzgk3ljsz0osiy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803522027,24,1,1,2,42,83cpn99fh7ulkwe8nezy8a3mx,1,39.5,6.4,2025-04-19T23:39:37.493Z,2025-04-19T23:39:39Z,aomjkj5s52jkzgk3ljsz0osiy,E. Perez,,,5665217251,141,27.3,5665217247,56,Back,5665217249,140,40.0,5665217253,212,14.2,5665217255,213,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803522039,25,1,1,2,43,83cpn99fh7ulkwe8nezy8a3mx,1,43.8,27.9,2025-04-19T23:39:39.309Z,2025-04-19T23:39:43Z,15jb2rb0mvhaz492ii7yqrk6h,K. Lambert,,,5665217311,140,26.3,5665217309,56,Back,5665217313,141,19.5,5665217315,212,19.2,5665217317,213,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803522143,26,1,1,2,47,83cpn99fh7ulkwe8nezy8a3mx,1,26.5,27.9,2025-04-19T23:39:42.957Z,2025-04-19T23:39:53Z,9gvsswyf0gzxekrjdkpuqrh0p,S. Totsch,,,5665217979,213,1.51,5665217971,56,Back,5665217977,212,26.6,5665217973,140,28.1,5665217975,141,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803522199,27,1,1,2,57,83cpn99fh7ulkwe8nezy8a3mx,1,61.7,68.1,2025-04-19T23:39:52.813Z,2025-04-19T23:39:57Z,42hi96pvzz8f69ixlcncn0549,K. Adams,,,5665218283,1,,5665218279,212,55.5,5665218271,196,,5665218275,140,96.6,5665218281,213,5.43,5665218273,56,Right,5665218277,141,6.8,5665218269,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803522233,28,1,1,3,1,83cpn99fh7ulkwe8nezy8a3mx,0,96.6,7.0,2025-04-19T23:39:57.301Z,2025-04-19T23:40:03Z,aomjkj5s52jkzgk3ljsz0osiy,E. Perez,,,5665218467,56,Center,5665218477,1,,5665218471,141,67.0,5665218469,140,88.6,5665218475,213,1.77,5665218465,155,,5665218463,2,,5665218473,212,41.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803522261,25,44,1,3,6,5qfq6cwtrgzd2szijivns7rjl,1,11.6,36.6,2025-04-19T23:40:02.157Z,2025-04-20T02:05:05Z,dbjysa6qhf203jmpjedz8pgph,T. Vancaeyezeele,,,5665218635,285,,5665218655,233,29,5665218633,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803522241,29,44,1,3,6,83cpn99fh7ulkwe8nezy8a3mx,0,88.4,63.4,2025-04-19T23:40:02.158Z,2025-04-20T02:05:06Z,cla0i94uyddjw7jzqoyfsplre,A. McFadden,,,5665218519,56,Center,5665218521,286,,5665218671,233,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803522283,26,12,1,3,7,5qfq6cwtrgzd2szijivns7rjl,1,11.6,43.6,2025-04-19T23:40:02.467Z,2025-04-20T01:52:52Z,dbjysa6qhf203jmpjedz8pgph,T. Vancaeyezeele,,,5665218723,141,56.0,5665218725,212,9.6,5665218721,140,15.9,5665218719,56,Back,5665218727,213,1.08,5665218767,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803522299,30,13,1,3,10,83cpn99fh7ulkwe8nezy8a3mx,1,86.5,56.4,2025-04-19T23:40:06.141Z,2025-04-20T02:49:31Z,3hb6yji6u8ftefif91lfrbtre,J. Wilson,,,5665218787,17,,5665219327,231,49.1,5665219043,20,,5665219319,102,39.3,5665219317,75,,5665845805,328,,5665218789,56,Center,5665219325,230,99.5,5665218785,22,5665219323,458,,5665219321,103,,,,,,,,19.4,,,,,,,,,,,,,,
2803522649,27,5,1,3,11,5qfq6cwtrgzd2szijivns7rjl,1,-1.2,58.7,2025-04-19T23:40:06.467Z,2025-04-20T02:06:24Z,dbjysa6qhf203jmpjedz8pgph,T. Vancaeyezeele,,,5665220665,346,,5665220663,56,Back,5665220677,233,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803522313,31,5,1,3,11,83cpn99fh7ulkwe8nezy8a3mx,0,101.2,41.3,2025-04-19T23:40:06.467Z,2025-04-20T02:06:24Z,3hb6yji6u8ftefif91lfrbtre,J. Wilson,,,5665218843,56,Center,5665218847,346,,5665220701,233,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803522675,28,1,1,3,39,5qfq6cwtrgzd2szijivns7rjl,1,4.1,55.5,2025-04-19T23:40:35.330Z,2025-04-19T23:40:37Z,87rpg135z1k0ir74kdczwo2y1,F. Lasso,,,5665220829,213,4.74,5665220821,56,Back,5665220825,141,49.1,5665220833,237,,5665220823,140,4.2,5665220827,212,4.4,5665220819,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803522685,29,1,1,3,41,5qfq6cwtrgzd2szijivns7rjl,0,4.2,49.1,2025-04-19T23:40:37Z,2025-04-19T23:40:37Z,dp8j7znd4eavuoy3faqpamoa2,N. Campisi,,,5665220883,56,Back,5665220885,140,28.8,5665220887,141,31.8,5665220891,213,5.86,5665220881,155,,5665220889,212,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803608843,664,1,1,3,42,83cpn99fh7ulkwe8nezy8a3mx,1,48.2,59.0,2025-04-19T23:40:37.349Z,2025-04-20T01:33:21Z,cla0i94uyddjw7jzqoyfsplre,A. McFadden,,,5665707989,56,Center,5665707991,140,61.5,5665708011,213,0.00,5665707993,141,59.1,5665707995,212,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803522855,32,1,1,3,43,83cpn99fh7ulkwe8nezy8a3mx,1,61.6,52.8,2025-04-19T23:40:39.164Z,2025-04-20T02:25:47Z,15jb2rb0mvhaz492ii7yqrk6h,K. Lambert,,,5665221879,212,18.2,5665221873,56,Center,5665221881,213,0.49,5665221875,140,76.9,5665221877,141,65.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803522863,33,4,1,3,50,83cpn99fh7ulkwe8nezy8a3mx,1,79.3,72.5,2025-04-19T23:40:46.026Z,2025-04-20T02:04:43Z,35bpd9cmuep6cqczngaqpc19m,P. Goodrum,,,5665221959,265,,5665221961,286,,5665221957,152,,5665221953,13,,5665223769,233,30,5665221955,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
