id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/12/value
2822243979,31,1,1,1,7,daicfonrbj124lu2la2rctxck,1,46.4,8.6,2025-06-12T00:09:59.341Z,2025-06-12T00:20:25Z,1diaoqi51gzx23j4d5f8xc8b8,A. Shapiro-Thompson,,,5768915621,213,5.86,5768915615,140,54.0,5768915613,56,Right,5768915617,141,3.3,5768915619,212,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243981,32,1,1,1,8,daicfonrbj124lu2la2rctxck,0,55.7,4.1,2025-06-12T00:10:00.524Z,2025-06-12T00:20:49Z,f472o0229a6xev8qudf1tyf6y,F. Nodarse,,,5768915919,141,5.8,5768915923,213,0.53,5768915921,212,2.3,5768915917,140,57.6,5768915915,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243635,18,61,1,1,9,83cpn99fh7ulkwe8nezy8a3mx,1,45.0,92.9,2025-06-12T00:10:01.769Z,2025-06-12T00:20:41Z,cxscznjyygtsgbajv08q04sq2,R. Serrano,,,5768911003,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243549,11,4,1,1,11,daicfonrbj124lu2la2rctxck,1,68.2,16.5,2025-06-12T00:10:03.766Z,2025-06-12T00:21:06Z,449e2muutlpvx9lhv1t2tcsmh,A. Dikwa,,,5768910589,286,,5768910583,56,Right,5768916113,294,,5768910591,233,12,5768910581,13,,5768910585,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243543,12,4,1,1,11,83cpn99fh7ulkwe8nezy8a3mx,0,31.8,83.5,2025-06-12T00:10:03.767Z,2025-06-12T03:03:12Z,42hi96pvzz8f69ixlcncn0549,K. Adams,,,5768910549,285,,5768910597,233,11,5768910545,152,,5768910541,13,,5768910543,56,Back,5768911133,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243563,12,1,1,1,19,daicfonrbj124lu2la2rctxck,1,61.3,16.3,2025-06-12T00:10:11.562Z,2025-06-12T00:21:37Z,8pqvmz8g1yhe7hqqc1d68c4mi,C. Holstad,,,5768910713,212,37.5,5768910709,140,39.5,5768910715,213,2.23,5768910711,141,59.9,5768910707,56,Back,5768916497,189,,5768910703,5,,5768910717,1,,5768910705,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243585,13,1,1,1,23,daicfonrbj124lu2la2rctxck,1,39.5,59.9,2025-06-12T00:10:16.147Z,2025-06-12T00:10:17Z,c8svt3yazcfaq478j0cpbmbfu,K. Yao,,,5768910753,212,21.4,5768910747,56,Back,5768910751,141,34.7,5768910755,213,4.07,5768910749,140,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243591,14,1,1,1,25,daicfonrbj124lu2la2rctxck,1,27.3,34.7,2025-06-12T00:10:17.362Z,2025-06-12T00:10:20Z,a3l8f3a6rr93qyyaxhdfqq1yi,J. Lee,,,5768910765,212,17.9,5768910761,140,36.9,5768910763,141,13.0,5768910759,56,Back,5768910767,213,5.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243595,15,1,1,1,27,daicfonrbj124lu2la2rctxck,1,36.9,13.0,2025-06-12T00:10:20.146Z,2025-06-12T00:10:21Z,bug5x187ehj0apzl11lrl3ip6,R. Hope-Gund,,,5768910791,213,0.67,5768910787,141,24.7,5768910785,140,46.4,5768910783,56,Back,5768910789,212,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243597,16,1,1,1,28,daicfonrbj124lu2la2rctxck,1,46.4,24.7,2025-06-12T00:10:21.059Z,2025-06-12T00:10:22Z,8pqvmz8g1yhe7hqqc1d68c4mi,C. Holstad,,,5768910799,141,17.8,5768910797,140,40.7,5768910801,212,7.6,5768910803,213,3.81,5768910795,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243599,17,1,1,1,29,daicfonrbj124lu2la2rctxck,0,40.7,17.8,2025-06-12T00:10:22.020Z,2025-06-12T00:10:23Z,bug5x187ehj0apzl11lrl3ip6,R. Hope-Gund,,,5768910811,140,71.9,5768910807,155,,5768910815,212,32.8,5768910813,141,18.5,5768910809,56,Right,5768910817,213,0.01,5768910819,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243603,13,12,1,1,32,83cpn99fh7ulkwe8nezy8a3mx,1,35.2,79.2,2025-06-12T00:10:24.583Z,2025-06-12T00:10:35Z,42hi96pvzz8f69ixlcncn0549,K. Adams,,,5768910837,140,67.2,5768910839,141,91.6,5768910843,213,0.25,5768910835,56,Left,5768910845,15,,5768910841,212,34.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243613,18,1,1,1,36,daicfonrbj124lu2la2rctxck,1,26.0,10.9,2025-06-12T00:10:29.051Z,2025-06-12T00:10:31Z,bug5x187ehj0apzl11lrl3ip6,R. Hope-Gund,,,5768910885,141,43.3,5768910887,212,25.4,5768910881,56,Back,5768910883,140,13.9,5768910889,213,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243615,19,1,1,1,39,daicfonrbj124lu2la2rctxck,1,13.6,41.3,2025-06-12T00:10:31.508Z,2025-06-12T00:10:35Z,a3l8f3a6rr93qyyaxhdfqq1yi,J. Lee,,,5768910901,141,10.1,5768910905,213,5.87,5768910897,56,Right,5768910903,212,53.0,5768910899,140,59.9,5768910895,157,,5768910907,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243619,20,44,1,1,43,daicfonrbj124lu2la2rctxck,1,58.3,10.9,2025-06-12T00:10:35.627Z,2025-06-12T02:31:18Z,f472o0229a6xev8qudf1tyf6y,F. Nodarse,,,5768910915,56,Right,5768910917,286,,5768910919,233,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243617,14,44,1,1,43,83cpn99fh7ulkwe8nezy8a3mx,0,41.7,89.1,2025-06-12T00:10:35.628Z,2025-06-12T02:31:19Z,7f1q3d59u9n16v9xrskfxqsq1,A. Dia,,,5768910913,285,,5768910923,233,20,5768910911,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243625,21,1,1,1,43,daicfonrbj124lu2la2rctxck,0,59.9,10.1,2025-06-12T00:10:35.676Z,2025-06-12T00:23:14Z,f472o0229a6xev8qudf1tyf6y,F. Nodarse,,,5768910949,213,0.98,5768910939,3,,5768910947,212,8.3,5768917857,168,,5768910943,140,64.3,5768910941,56,Right,5768910945,141,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243711,22,61,1,1,43,83cpn99fh7ulkwe8nezy8a3mx,1,39.0,85.7,2025-06-12T00:10:36.215Z,2025-06-12T00:22:20Z,7f1q3d59u9n16v9xrskfxqsq1,A. Dia,,,5768911513,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243621,15,1,1,1,44,83cpn99fh7ulkwe8nezy8a3mx,1,40.0,80.3,2025-06-12T00:10:37.119Z,2025-06-12T00:12:36Z,42hi96pvzz8f69ixlcncn0549,K. Adams,,,5768910933,212,13.3,5768910927,56,Left,5768910935,213,0.13,5768910931,141,82.8,5768911627,3,,5768910929,140,52.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243629,16,1,1,1,48,83cpn99fh7ulkwe8nezy8a3mx,0,53.8,85.1,2025-06-12T00:10:40.430Z,2025-06-12T00:10:42Z,15jb2rb0mvhaz492ii7yqrk6h,K. Lambert,,,5768910971,212,15.1,5768910969,141,100.0,5768910963,3,,5768910973,213,0.85,5768910965,56,Left,5768910967,140,63.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243631,17,5,1,1,48,83cpn99fh7ulkwe8nezy8a3mx,0,62.0,101.3,2025-06-12T00:10:41.228Z,2025-06-12T01:09:05Z,15jb2rb0mvhaz492ii7yqrk6h,K. Lambert,,,5768910975,56,Left,5768910977,347,,5768911283,233,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243671,22,5,1,1,48,daicfonrbj124lu2la2rctxck,1,38.0,-1.3,2025-06-12T00:10:41.228Z,2025-06-12T01:09:05Z,9txqixk3uycvort3ntzkva1g5,Z. Herivaux,,,5768911279,233,17,5768911275,56,Back,5768911277,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243675,23,1,1,2,45,daicfonrbj124lu2la2rctxck,1,48.6,0.0,2025-06-12T00:11:37.611Z,2025-06-12T00:23:55Z,f472o0229a6xev8qudf1tyf6y,F. Nodarse,,,5768911309,141,28.9,5768911313,213,1.03,5768918433,189,,5768911315,1,,5768911311,212,24.6,5768911307,140,60.7,5768911303,107,,5768911305,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243677,24,4,1,2,51,daicfonrbj124lu2la2rctxck,1,59.6,28.5,2025-06-12T00:11:43.893Z,2025-06-12T01:08:47Z,449e2muutlpvx9lhv1t2tcsmh,A. Dikwa,,,5768911321,56,Center,5768911325,265,,5768911323,152,,5768918553,233,19,5768911319,13,,5768911329,189,,5768918551,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243669,19,4,1,2,51,83cpn99fh7ulkwe8nezy8a3mx,0,40.4,71.5,2025-06-12T00:11:43.894Z,2025-06-12T02:44:32Z,cxscznjyygtsgbajv08q04sq2,R. Serrano,,,5768911273,285,,5768911267,56,Back,5768911271,265,,5768911269,152,,5768911265,13,,5768912093,189,,5768918557,233,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243687,25,1,1,3,1,daicfonrbj124lu2la2rctxck,1,60.7,23.9,2025-06-12T00:11:53.852Z,2025-06-12T00:24:41Z,1diaoqi51gzx23j4d5f8xc8b8,A. Shapiro-Thompson,,,5768911399,56,Center,5768911403,141,62.4,5768919065,5,,5768911405,212,42.4,5768911401,140,92.5,5768911397,155,,5768911409,1,,5768919067,152,,5768911407,213,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243697,20,43,1,3,2,83cpn99fh7ulkwe8nezy8a3mx,1,0.0,0.0,2025-06-12T00:11:54.350Z,2025-06-12T00:12:06Z,15jb2rb0mvhaz492ii7yqrk6h,K. Lambert,,,5768911435,56,Back,5768911437,285,0,5768911485,144,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243699,21,4,1,3,7,83cpn99fh7ulkwe8nezy8a3mx,1,9.4,36.3,2025-06-12T00:11:59.259Z,2025-06-12T00:12:06Z,15jb2rb0mvhaz492ii7yqrk6h,K. Lambert,,,5768911477,233,26,5768911473,152,,5768911467,13,,5768911471,56,Back,5768911475,285,,5768911469,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243689,26,4,1,3,7,daicfonrbj124lu2la2rctxck,0,90.6,63.7,2025-06-12T00:11:59.260Z,2025-06-12T00:12:34Z,f472o0229a6xev8qudf1tyf6y,F. Nodarse,,,5768911483,233,21,5768911429,152,,5768911433,286,,5768911427,56,Center,5768911625,294,,5768911425,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243777,23,27,1,3,54,83cpn99fh7ulkwe8nezy8a3mx,1,0.0,0.0,2025-06-12T00:12:46.533Z,2025-06-12T01:09:25Z,,,,,5768911919,53,15jb2rb0mvhaz492ii7yqrk6h,5768911917,41,Injury,5768944999,233,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243997,34,28,1,3,54,daicfonrbj124lu2la2rctxck,1,0.0,0.0,2025-06-12T00:12:46.533Z,2025-06-12T01:09:25Z,,,,,5768913219,55,28,5768919441,233,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243783,24,28,1,4,11,83cpn99fh7ulkwe8nezy8a3mx,1,0.0,0.0,2025-06-12T00:13:03.404Z,2025-06-12T01:09:26Z,,,,,5768911933,55,23,5768919433,233,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243785,28,27,1,4,11,daicfonrbj124lu2la2rctxck,1,0.0,0.0,2025-06-12T00:13:03.404Z,2025-06-12T01:09:26Z,,,,,5768911981,41,Injury,5768945005,233,24,5768911983,53,f472o0229a6xev8qudf1tyf6y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243871,30,17,1,4,50,daicfonrbj124lu2la2rctxck,1,0.0,0.0,2025-06-12T00:13:43.245Z,2025-06-12T00:15:09Z,f472o0229a6xev8qudf1tyf6y,F. Nodarse,,,5768912613,13,243,5768912609,31,,5768912611,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243969,25,18,1,7,10,83cpn99fh7ulkwe8nezy8a3mx,1,0.0,0.0,2025-06-12T00:16:03.235Z,2025-06-12T00:16:04Z,15jb2rb0mvhaz492ii7yqrk6h,K. Lambert,,,5768913095,41,,5768913097,44,Midfielder,5768913121,55,26,5768913099,59,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243973,26,19,1,7,10,83cpn99fh7ulkwe8nezy8a3mx,1,0.0,0.0,2025-06-12T00:16:03.236Z,2025-06-12T02:28:54Z,486r7pszrdk085ot7cy2008dm,E. Davila,,,5768913105,41,,5768943891,292,7,5768943893,293,5,5768913111,59,27,5768913115,55,25,5768913109,145,10,5768913113,44,Midfielder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
