id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/13/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2823355247,9,1,1,0,21,e3k8yw2rbmphyfu5htn4yi5jk,1,80.6,0.0,2025-06-18T23:07:04.486Z,2025-06-18T23:07:07Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5775142977,141,19.2,5775142979,212,14.5,5775142971,107,,5775142975,140,84.1,5775142973,56,Right,5775142981,213,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355251,10,1,1,0,24,e3k8yw2rbmphyfu5htn4yi5jk,1,84.2,19.4,2025-06-18T23:07:06.917Z,2025-06-18T23:16:47Z,caoq1dpq6lz1btrd75s9xuz56,C. Jennings,,,5775143009,212,9.7,5775143005,140,88.5,5775143007,141,6.7,5775143001,155,,5775143003,56,Right,5775143011,213,5.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355255,11,3,1,0,26,e3k8yw2rbmphyfu5htn4yi5jk,0,85.8,6.9,2025-06-18T23:07:09.497Z,2025-06-19T01:19:12Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5775143021,56,Right,5775143023,286,,5775143033,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355253,6,7,1,0,26,bu5w8wprynlj9mvphvy8sd94f,1,14.2,93.1,2025-06-18T23:07:09.498Z,2025-06-19T01:19:12Z,1460tac94fhhy43lmohs4fj3e,N. Cardona,,,5775143029,233,11,5775143019,285,,5775143017,56,Back,5775143015,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355257,7,5,1,0,27,bu5w8wprynlj9mvphvy8sd94f,0,13.6,101.7,2025-06-18T23:07:10.281Z,2025-06-19T01:18:15Z,1460tac94fhhy43lmohs4fj3e,N. Cardona,,,5775143025,56,Back,5775143027,347,,5775143065,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355265,12,5,1,0,27,e3k8yw2rbmphyfu5htn4yi5jk,1,86.4,-1.7,2025-06-18T23:07:10.281Z,2025-06-19T01:18:14Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5775143059,233,7,5775143057,347,,5775143055,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355267,13,1,1,0,33,e3k8yw2rbmphyfu5htn4yi5jk,1,85.1,0.0,2025-06-18T23:07:16.069Z,2025-06-18T23:07:18Z,d8uer29a3oya05ks99q696221,M. Segbers,,,5775143075,141,10.3,5775143071,56,Right,5775143069,107,,5775143079,213,1.26,5775143077,212,8.6,5775143073,140,87.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355275,14,1,1,0,35,e3k8yw2rbmphyfu5htn4yi5jk,1,87.4,10.3,2025-06-18T23:07:18.357Z,2025-06-18T23:07:21Z,21y2ogvprtdai47j36w9m22cq,M. Myers,,,5775143115,56,Right,5775143121,212,6.4,5775143117,140,92.3,5775143119,141,4.6,5775143123,213,5.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355277,15,61,1,0,38,e3k8yw2rbmphyfu5htn4yi5jk,0,93.9,7.9,2025-06-18T23:07:21.429Z,2025-06-18T23:07:21Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5775143131,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355281,9,1,1,0,39,bu5w8wprynlj9mvphvy8sd94f,1,25.6,90.3,2025-06-18T23:07:22.611Z,2025-06-18T23:07:24Z,1460tac94fhhy43lmohs4fj3e,N. Cardona,,,5775143139,212,25.2,5775143137,141,63.3,5775143135,140,9.2,5775143133,56,Back,5775143141,213,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355287,10,1,1,0,41,bu5w8wprynlj9mvphvy8sd94f,0,9.2,63.3,2025-06-18T23:07:24.379Z,2025-06-18T23:07:30Z,fm9i7pzwi2diu6i18kycmx1x,M. Romero,,,5775143183,213,0.60,5775143175,56,Back,5775143185,1,,5775143181,212,38.1,5775143173,157,,5775143179,141,94.8,5775143177,140,39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355291,16,44,1,0,44,e3k8yw2rbmphyfu5htn4yi5jk,1,62.0,7.8,2025-06-18T23:07:27.182Z,2025-06-18T23:07:34Z,ani26vxlo22iw1u9oexptml05,L. Archer,,,5775143195,286,,5775143199,233,11,5775143193,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355289,11,44,1,0,44,bu5w8wprynlj9mvphvy8sd94f,0,38.0,92.2,2025-06-18T23:07:27.183Z,2025-06-19T00:00:15Z,am7umg00yxt40mndzo6e0u3o4,F. Bonfiglio,,,5775143205,233,16,5775143191,285,,5775143189,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355299,17,1,1,0,44,e3k8yw2rbmphyfu5htn4yi5jk,1,64.3,11.3,2025-06-18T23:07:27.485Z,2025-06-19T00:23:24Z,ani26vxlo22iw1u9oexptml05,L. Archer,,,5775143239,213,1.69,5775143231,56,Center,5775143237,212,6.8,5775143235,141,21.2,5775143233,140,63.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355307,19,1,1,0,52,e3k8yw2rbmphyfu5htn4yi5jk,1,54.4,30.6,2025-06-18T23:07:34.694Z,2025-06-18T23:07:39Z,94zkjopy373mgso15ljxmhd04,N. Houssou,,,5775143263,56,Back,5775143265,140,45.5,5775143269,212,10.5,5775143267,141,23.6,5775143271,213,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355305,12,83,1,0,55,bu5w8wprynlj9mvphvy8sd94f,0,68.2,75.1,2025-06-18T23:07:37.763Z,2025-06-19T00:00:32Z,am7umg00yxt40mndzo6e0u3o4,F. Bonfiglio,,,5775143317,399,5tyrfuxsp7s9thsmhfqevuoyx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355311,20,4,1,0,56,e3k8yw2rbmphyfu5htn4yi5jk,1,36.4,22.6,2025-06-18T23:07:39.054Z,2025-06-19T01:18:51Z,5tyrfuxsp7s9thsmhfqevuoyx,A. Molloy,,,5775143281,265,,5775143307,233,13,5775143279,152,,5775143277,56,Back,5775143283,286,,5775143275,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355309,13,4,1,0,56,bu5w8wprynlj9mvphvy8sd94f,0,63.6,77.4,2025-06-18T23:07:39.055Z,2025-06-19T01:18:51Z,e5nj82ezbq0x6zdzdh4quyxn9,S. Blanco,,,5775143303,265,,5775143299,56,Center,5775143297,13,,5775143311,233,20,5775143315,285,,5775143301,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355317,21,1,1,1,4,e3k8yw2rbmphyfu5htn4yi5jk,1,38.3,21.9,2025-06-18T23:07:47.238Z,2025-06-18T23:07:49Z,5tyrfuxsp7s9thsmhfqevuoyx,A. Molloy,,,5775143343,212,13.3,5775143351,189,,5775143335,152,,5775143345,213,1.68,5775143341,141,41.3,5775143333,5,,5775143339,140,36.9,5775143337,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355323,22,1,1,1,6,e3k8yw2rbmphyfu5htn4yi5jk,1,36.9,41.3,2025-06-18T23:07:49.685Z,2025-06-18T23:07:52Z,94zkjopy373mgso15ljxmhd04,N. Houssou,,,5775143381,56,Back,5775143385,141,28.5,5775143387,212,8.9,5775143389,213,4.51,5775143383,140,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355329,23,1,1,1,9,e3k8yw2rbmphyfu5htn4yi5jk,1,36.5,27.1,2025-06-18T23:07:52.060Z,2025-06-18T23:07:57Z,5tyrfuxsp7s9thsmhfqevuoyx,A. Molloy,,,5775143405,212,29.1,5775143401,140,60.4,5775143399,56,Right,5775143407,213,5.75,5775143403,141,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355343,24,1,1,1,14,e3k8yw2rbmphyfu5htn4yi5jk,0,60.6,9.5,2025-06-18T23:07:57.629Z,2025-06-18T23:08:03Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5775143475,141,100.0,5775143471,56,Left,5775143467,155,,5775143469,196,,5775143473,140,85.7,5775143479,213,1.17,5775143477,212,67.3,5775143481,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355351,14,5,1,1,20,bu5w8wprynlj9mvphvy8sd94f,1,17.7,-0.7,2025-06-18T23:08:02.977Z,2025-06-19T01:18:15Z,e5nj82ezbq0x6zdzdh4quyxn9,S. Blanco,,,5775143523,347,,5775143521,56,Back,5775143527,233,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355345,25,5,1,1,20,e3k8yw2rbmphyfu5htn4yi5jk,0,82.3,100.7,2025-06-18T23:08:02.977Z,2025-06-19T01:18:16Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5775143485,347,,5775143531,233,14,5775143483,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355395,15,1,1,1,48,bu5w8wprynlj9mvphvy8sd94f,1,26.4,0.0,2025-06-18T23:08:31.369Z,2025-06-19T00:01:08Z,96qlwmkrab9h7xt93jzgl384p,J. Ricketts,,,5775143819,140,41.2,5775143817,56,Back,5775143823,212,20.9,5775143815,107,,5775143825,213,0.73,5775143821,141,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355413,16,1,1,2,6,bu5w8wprynlj9mvphvy8sd94f,1,39.2,13.5,2025-06-18T23:08:49.048Z,2025-06-19T00:00:55Z,eqopj1p3a2ehzpwlj90laswoa,D. Knutson,,,5775143919,213,6.08,5775143915,141,8.8,5775143917,212,15.9,5775143911,56,Right,5775143913,140,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823358439,304,1,1,2,7,bu5w8wprynlj9mvphvy8sd94f,1,48.7,8.9,2025-06-18T23:08:49.689Z,2025-06-19T00:01:04Z,96qlwmkrab9h7xt93jzgl384p,J. Ricketts,,,5775161785,140,38.9,5775161783,56,Back,5775161791,213,1.93,5775161787,141,49.1,5775161789,212,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355423,17,1,1,2,7,bu5w8wprynlj9mvphvy8sd94f,1,43.4,59.7,2025-06-18T23:08:50.497Z,2025-06-18T23:08:54Z,d539xjkdwt1i77f0czbvo8ull,B. Akinyode,,,5775143967,212,19.5,5775143969,213,0.15,5775143965,141,64.0,5775143961,56,Center,5775143963,140,61.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355433,18,1,1,2,11,bu5w8wprynlj9mvphvy8sd94f,0,61.8,64.0,2025-06-18T23:08:54.176Z,2025-06-19T00:01:23Z,e5nj82ezbq0x6zdzdh4quyxn9,S. Blanco,,,5775144023,213,5.70,5775144021,212,28.9,5775144019,141,40.6,5775144015,56,Center,5775144017,140,84.8,5775144013,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355437,26,12,1,2,16,e3k8yw2rbmphyfu5htn4yi5jk,1,18.4,68.5,2025-06-18T23:08:58.761Z,2025-06-18T23:11:25Z,aur71sievd8d2fnrumu3xf6c,N. Dossantos,,,5775144035,56,Back,5775145513,212,5.1,5775145509,140,13.8,5775145517,15,,5775145515,213,3.48,5775145511,141,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355527,33,12,1,2,17,e3k8yw2rbmphyfu5htn4yi5jk,1,9.8,77.8,2025-06-18T23:09:00.461Z,2025-06-18T23:09:55Z,3s1a50dskuehneuuy9b1nxg4,J. Akpunonu,,,5775144603,213,1.09,5775144599,141,94.5,5775144595,56,Back,5775144597,140,15.5,5775144601,212,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355441,27,4,1,2,20,e3k8yw2rbmphyfu5htn4yi5jk,1,18.0,92.6,2025-06-18T23:09:03.029Z,2025-06-19T01:18:52Z,3s1a50dskuehneuuy9b1nxg4,J. Akpunonu,,,5775161931,233,20,5775144083,13,,5775144087,56,Back,5775144091,285,,5775144089,152,,5775144085,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355459,20,4,1,2,20,bu5w8wprynlj9mvphvy8sd94f,0,82.0,7.4,2025-06-18T23:09:03.030Z,2025-06-19T01:18:52Z,96qlwmkrab9h7xt93jzgl384p,J. Ricketts,,,5775144157,13,,5775144159,294,,5775144161,56,Right,5775144165,286,,5775161935,233,27,5775144163,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355455,19,43,1,2,24,bu5w8wprynlj9mvphvy8sd94f,1,0.0,0.0,2025-06-18T23:09:06.746Z,2025-06-18T23:09:12Z,96qlwmkrab9h7xt93jzgl384p,J. Ricketts,,,5775144121,286,0,5775144119,56,Right,5775144167,144,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355487,28,1,1,2,40,e3k8yw2rbmphyfu5htn4yi5jk,1,14.1,93.6,2025-06-18T23:09:22.996Z,2025-06-18T23:09:43Z,3s1a50dskuehneuuy9b1nxg4,J. Akpunonu,,,5775144345,1,,5775144341,212,67.2,5775144333,152,,5775144329,5,,5775144339,141,8.6,5775144337,140,46.8,5775144343,213,5.25,5775144335,56,Back,5775144531,155,,5775144331,196,,,,,,,,,,,,,,,,,,,,,,,,,
2823355491,29,1,1,2,42,e3k8yw2rbmphyfu5htn4yi5jk,1,46.8,8.6,2025-06-18T23:09:25.484Z,2025-06-18T23:09:26Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5775144371,213,1.22,5775144363,56,Back,5775144365,140,49.4,5775144369,212,8.0,5775144367,141,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355493,30,1,1,2,43,e3k8yw2rbmphyfu5htn4yi5jk,1,49.4,19.7,2025-06-18T23:09:26.347Z,2025-06-18T23:09:27Z,21y2ogvprtdai47j36w9m22cq,M. Myers,,,5775144381,212,13.7,5775144377,140,45.3,5775144379,141,38.8,5775144383,213,1.89,5775144375,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355505,31,1,1,2,44,e3k8yw2rbmphyfu5htn4yi5jk,0,45.1,38.8,2025-06-18T23:09:27.636Z,2025-06-18T23:09:35Z,5tyrfuxsp7s9thsmhfqevuoyx,A. Molloy,,,5775144449,212,63.0,5775144447,141,3.7,5775144443,56,Right,5775144451,213,5.89,5775144453,1,,5775144441,155,,5775144445,140,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355521,21,5,1,2,52,bu5w8wprynlj9mvphvy8sd94f,1,-0.8,95.0,2025-06-18T23:09:35.520Z,2025-06-19T01:18:16Z,d539xjkdwt1i77f0czbvo8ull,B. Akinyode,,,5775144553,56,Back,5775144555,346,,5775144557,233,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355517,32,5,1,2,52,e3k8yw2rbmphyfu5htn4yi5jk,0,100.8,5.0,2025-06-18T23:09:35.520Z,2025-06-19T01:18:16Z,5tyrfuxsp7s9thsmhfqevuoyx,A. Molloy,,,5775144527,56,Right,5775144529,346,,5775144561,233,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355525,22,1,1,3,7,bu5w8wprynlj9mvphvy8sd94f,1,3.4,49.9,2025-06-18T23:09:50.625Z,2025-06-18T23:09:54Z,9q3w4j10qfsq94svbmyxa879x,B. Hamid,,,5775144579,124,,5775144593,237,,5775144585,141,23.3,5775144581,56,Back,5775144583,140,9.5,5775144589,213,5.05,5775144587,212,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355533,23,1,1,3,11,bu5w8wprynlj9mvphvy8sd94f,0,9.6,23.3,2025-06-18T23:09:54.680Z,2025-06-18T23:09:56Z,eqopj1p3a2ehzpwlj90laswoa,D. Knutson,,,5775144627,1,,5775144623,212,57.8,5775144617,56,Center,5775144619,140,59.0,5775144621,141,60.8,5775144625,213,0.46,5775144615,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355535,34,1,1,3,15,e3k8yw2rbmphyfu5htn4yi5jk,1,47.0,32.7,2025-06-18T23:09:57.723Z,2025-06-18T23:09:59Z,ani26vxlo22iw1u9oexptml05,L. Archer,,,5775144629,3,,5775144637,212,14.5,5775144639,213,0.06,5775144633,140,60.8,5775144635,141,34.0,5775144631,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355549,36,1,1,3,16,e3k8yw2rbmphyfu5htn4yi5jk,1,60.8,34.0,2025-06-18T23:09:59.388Z,2025-06-18T23:10:02Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5775144703,213,0.36,5775144695,56,Center,5775144701,212,24.8,5775144699,141,46.7,5775144697,140,82.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
