id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value
2818484087,7,1,1,0,15,b1rpb2ox52uxcmjrsnqd95pk5,0,59.3,17.1,2025-05-24T20:07:11.318Z,2025-05-24T22:34:35Z,8d6e9axgsli468lnomdbcgu6t,D. Smith,,,5747849349,212,11.8,5747849341,157,,5747849347,141,29.5,5747849353,1,,5747849351,213,0.79,5747849343,56,Center,5747849345,140,67.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484095,5,1,1,0,16,e3k8yw2rbmphyfu5htn4yi5jk,0,23.8,70.5,2025-05-24T20:07:12.526Z,2025-05-24T20:07:14Z,3s1a50dskuehneuuy9b1nxg4,J. Akpunonu,,,5747849391,56,Center,5747849401,1,,5747849393,140,64.9,5747849389,157,,5747849395,141,65.2,5747849397,212,43.3,5747849399,213,6.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484113,8,1,1,0,19,b1rpb2ox52uxcmjrsnqd95pk5,1,30.8,45.7,2025-05-24T20:07:15.630Z,2025-05-24T20:07:19Z,62d3tsany7t5t2bwm4cx9pbai,A. Villanueva,,,5747849469,213,3.03,5747849461,56,Back,5747849467,212,17.3,5747849465,141,48.5,5747849463,140,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484129,9,1,1,0,22,b1rpb2ox52uxcmjrsnqd95pk5,1,14.6,54.5,2025-05-24T20:07:18.806Z,2025-05-24T20:07:21Z,974nt2pay3nvbe8uyzx0qdhxw,C. Herrera,,,5747849519,140,18.8,5747849525,213,1.23,5747849523,212,13.1,5747849517,56,Back,5747849521,141,72.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484143,10,1,1,0,25,b1rpb2ox52uxcmjrsnqd95pk5,1,17.4,72.4,2025-05-24T20:07:21.287Z,2025-05-24T20:07:23Z,7lnb14nmxv9gggyedv3tydvdg,D. Amoo-Mensah,,,5747849611,141,66.4,5747849613,212,15.3,5747849615,213,3.41,5747849609,140,3.4,5747849607,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484161,11,12,1,0,27,b1rpb2ox52uxcmjrsnqd95pk5,1,3.3,66.9,2025-05-24T20:07:23.541Z,2025-05-24T20:07:29Z,974nt2pay3nvbe8uyzx0qdhxw,C. Herrera,,,5747849733,140,3.4,5747849735,141,100.0,5747849797,167,,5747849731,56,Back,5747849737,212,23.8,5747849739,213,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484187,6,5,1,0,30,e3k8yw2rbmphyfu5htn4yi5jk,1,93.8,-1.7,2025-05-24T20:07:26.188Z,2025-05-24T22:20:05Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5747849917,347,,5747849943,233,12,5747849915,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484163,12,5,1,0,30,b1rpb2ox52uxcmjrsnqd95pk5,0,6.2,101.7,2025-05-24T20:07:26.188Z,2025-05-24T22:20:05Z,974nt2pay3nvbe8uyzx0qdhxw,C. Herrera,,,5747849743,56,Back,5747849745,347,,5747849953,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484229,7,1,1,0,37,e3k8yw2rbmphyfu5htn4yi5jk,1,88.0,0.0,2025-05-24T20:07:33.414Z,2025-05-24T20:07:38Z,94zkjopy373mgso15ljxmhd04,N. Houssou,,,5747850127,213,0.88,5747850119,56,Right,5747850117,107,,5747850121,140,91.9,5747850125,212,6.4,5747850123,141,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484235,8,1,1,0,42,e3k8yw2rbmphyfu5htn4yi5jk,1,84.9,8.3,2025-05-24T20:07:38.469Z,2025-05-24T20:07:39Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5747850157,56,Center,5747850161,141,51.0,5747850159,140,76.8,5747850163,212,30.3,5747850155,155,,5747850165,213,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484251,9,1,1,0,43,e3k8yw2rbmphyfu5htn4yi5jk,1,76.8,51.0,2025-05-24T20:07:39.414Z,2025-05-24T20:07:41Z,14oq6mvlh5e51d9y20nbpok4p,C. Allan,,,5747850243,213,1.33,5747850239,212,5.3,5747850237,141,58.5,5747850235,140,78.0,5747850233,56,Center,5747850231,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484253,10,1,1,0,45,e3k8yw2rbmphyfu5htn4yi5jk,0,77.1,58.4,2025-05-24T20:07:41.726Z,2025-05-24T20:07:42Z,1h85rt7bnqep3qovatft86pgq,A. Rodríguez,,,5747850251,56,Center,5747850259,141,47.6,5747850261,212,9.5,5747850267,213,5.40,5747850255,140,82.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484257,13,8,1,0,46,b1rpb2ox52uxcmjrsnqd95pk5,1,19.5,37.7,2025-05-24T20:07:42.597Z,2025-05-24T20:07:42Z,7lnb14nmxv9gggyedv3tydvdg,D. Amoo-Mensah,,,5747850275,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484293,14,1,1,0,50,b1rpb2ox52uxcmjrsnqd95pk5,1,21.4,30.4,2025-05-24T20:07:46.111Z,2025-05-24T20:07:48Z,9jc85hbpruze4v8u1pjzsjt62,M. Bryant,,,5747850495,56,Back,5747850501,212,20.5,5747850503,213,0.45,5747850499,141,43.6,5747850497,140,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484299,15,61,1,0,52,b1rpb2ox52uxcmjrsnqd95pk5,1,39.0,43.6,2025-05-24T20:07:48.512Z,2025-05-24T22:34:34Z,3ldhrzekr0tztaxr3sc8mmg2x,B. Morris,,,5747850523,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484335,16,1,1,0,55,b1rpb2ox52uxcmjrsnqd95pk5,1,39.0,44.2,2025-05-24T20:07:51.349Z,2025-05-24T20:07:54Z,6rnuvzwbmj7qv80xlwkjvqnkl,J. Chapman,,,5747850709,56,Left,5747850717,213,0.46,5747850707,155,,5747850719,1,,5747850711,140,85.8,5747850713,141,80.3,5747850715,212,54.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484343,17,3,1,0,58,b1rpb2ox52uxcmjrsnqd95pk5,0,87.0,75.8,2025-05-24T20:07:54.070Z,2025-05-24T20:19:25Z,8d6e9axgsli468lnomdbcgu6t,D. Smith,,,5747850755,56,Center,5747850969,233,11,5747850757,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484367,11,7,1,0,58,e3k8yw2rbmphyfu5htn4yi5jk,1,13.0,24.2,2025-05-24T20:07:54.071Z,2025-05-24T20:08:07Z,94zkjopy373mgso15ljxmhd04,N. Houssou,,,5747850885,56,Back,5747850899,233,17,5747850883,167,,5747850887,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484369,12,6,1,1,1,e3k8yw2rbmphyfu5htn4yi5jk,0,0.0,20.7,2025-05-24T20:07:56.998Z,2025-05-24T21:35:54Z,94zkjopy373mgso15ljxmhd04,N. Houssou,,,5747850989,56,Back,5747851153,233,18,5747850991,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484359,18,6,1,1,1,b1rpb2ox52uxcmjrsnqd95pk5,1,100.0,79.3,2025-05-24T20:07:56.998Z,2025-05-24T21:35:54Z,8d6e9axgsli468lnomdbcgu6t,D. Smith,,,5747851133,233,12,5747850891,73,,5747850889,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484827,19,1,1,1,30,b1rpb2ox52uxcmjrsnqd95pk5,1,99.5,99.5,2025-05-24T20:08:26.565Z,2025-05-24T20:09:17Z,3ldhrzekr0tztaxr3sc8mmg2x,B. Morris,1.0,,5747854311,210,16,5747854315,25,,5747854313,154,,5747853583,2,,5747853585,6,,5747853609,1,,5747853597,141,52.8,5747853601,212,32.0,5747853591,56,Center,5747853587,155,5747853589,223,5747853595,140,95.4,5747853605,213,4.58,,,,,,,,,,,,,,
2818484831,20,16,1,1,32,b1rpb2ox52uxcmjrsnqd95pk5,1,94.6,53.8,2025-05-24T20:08:28.404Z,2025-05-24T22:50:59Z,6rnuvzwbmj7qv80xlwkjvqnkl,J. Chapman,,,5747854423,231,51.8,5747854421,230,98.4,5747854409,29,,5747854407,80,,5748346431,214,,5747854411,154,,5747854413,55,19,5747853965,15,,5747853963,25,,5747853977,375,5747853625,56,5747854417,102,46.7,5747854419,103,9.5,01:32.101,Center,5747853973,374,2025-05-24 21:08:28.030,5747853967,16,5747853971,328,,,,,
2818485027,13,1,1,2,24,e3k8yw2rbmphyfu5htn4yi5jk,1,50.1,49.9,2025-05-24T20:09:20.806Z,2025-05-24T20:09:25Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5747854805,140,39.0,5747854803,56,Back,5747854813,279,G,5747854807,141,65.2,5747854811,213,2.41,5747854809,212,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818485043,14,1,1,2,29,e3k8yw2rbmphyfu5htn4yi5jk,0,36.6,63.0,2025-05-24T20:09:25.070Z,2025-05-24T20:09:28Z,5tyrfuxsp7s9thsmhfqevuoyx,A. Molloy,,,5747854915,1,,5747854913,213,5.72,5747854905,56,Center,5747854903,155,,5747854909,141,28.0,5747854907,140,72.3,5747854911,212,44.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818485047,21,1,1,2,31,b1rpb2ox52uxcmjrsnqd95pk5,0,26.0,77.5,2025-05-24T20:09:27.900Z,2025-05-24T20:09:29Z,7lnb14nmxv9gggyedv3tydvdg,D. Amoo-Mensah,,,5747854923,140,39.4,5747854925,141,72.6,5747854921,56,Back,5747854919,3,,5747854933,189,,5747854927,212,14.5,5747854929,213,6.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818485071,15,44,1,2,34,e3k8yw2rbmphyfu5htn4yi5jk,1,57.0,30.3,2025-05-24T20:09:30.581Z,2025-05-24T22:19:35Z,14oq6mvlh5e51d9y20nbpok4p,C. Allan,,,5747855015,56,Center,5747855043,233,22,5747855019,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818485061,22,44,1,2,34,b1rpb2ox52uxcmjrsnqd95pk5,0,43.0,69.7,2025-05-24T20:09:30.582Z,2025-05-24T22:19:35Z,8d6e9axgsli468lnomdbcgu6t,D. Smith,,,5747855057,233,15,5747854979,285,,5747854977,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818485079,16,61,1,2,35,e3k8yw2rbmphyfu5htn4yi5jk,1,55.7,32.8,2025-05-24T20:09:31.410Z,2025-05-24T22:30:56Z,14oq6mvlh5e51d9y20nbpok4p,C. Allan,,,5747855037,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818485091,17,1,1,2,38,e3k8yw2rbmphyfu5htn4yi5jk,1,40.9,29.4,2025-05-24T20:09:34.021Z,2025-05-24T22:30:58Z,dw8iyfupgsqkt8ogxssmtss4q,M. Edwards,,,5747855157,212,38.0,5747855159,213,0.04,5747855149,157,,5747855151,56,Center,5747855161,1,,5747855153,140,77.1,5747855155,141,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818485105,18,1,1,2,38,e3k8yw2rbmphyfu5htn4yi5jk,0,77.1,31.5,2025-05-24T20:09:34.461Z,2025-05-24T22:31:00Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5747855241,212,25.1,5747855235,140,66.5,5747855237,141,0.0,5747855243,213,4.25,5747855231,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818485107,19,5,1,2,39,e3k8yw2rbmphyfu5htn4yi5jk,0,65.4,-1.4,2025-05-24T20:09:35.884Z,2025-05-24T22:20:06Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5747855251,347,,5747855249,56,Right,5747855811,233,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818485205,23,5,1,2,39,b1rpb2ox52uxcmjrsnqd95pk5,1,34.6,101.4,2025-05-24T20:09:35.884Z,2025-05-24T22:20:06Z,8d6e9axgsli468lnomdbcgu6t,D. Smith,,,5747855745,56,Back,5747855779,233,19,5747855747,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818485231,24,1,1,2,54,b1rpb2ox52uxcmjrsnqd95pk5,1,36.9,100.0,2025-05-24T20:09:50.459Z,2025-05-24T20:09:52Z,62d3tsany7t5t2bwm4cx9pbai,A. Villanueva,,,5747855879,56,Left,5747855887,213,5.99,5747855877,107,,5747855881,140,54.5,5747855885,212,19.3,5747855883,141,93.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818485265,25,1,1,2,56,b1rpb2ox52uxcmjrsnqd95pk5,1,54.5,93.2,2025-05-24T20:09:52.595Z,2025-05-24T20:21:45Z,3ldhrzekr0tztaxr3sc8mmg2x,B. Morris,,,5747856097,140,54.3,5747856099,141,85.3,5747856103,213,4.67,5747856095,56,Left,5747856101,212,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818485267,26,61,1,3,1,b1rpb2ox52uxcmjrsnqd95pk5,0,55.8,88.4,2025-05-24T20:09:57.611Z,2025-05-24T20:09:58Z,8d6e9axgsli468lnomdbcgu6t,D. Smith,,,5747856107,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818485279,27,1,1,3,2,b1rpb2ox52uxcmjrsnqd95pk5,1,56.0,96.9,2025-05-24T20:09:58.824Z,2025-05-24T20:24:36Z,3ldhrzekr0tztaxr3sc8mmg2x,B. Morris,,,5747856145,141,95.3,5747856143,140,35.6,5747856147,212,21.4,5747856141,56,Back,5747856149,213,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818485299,28,1,1,3,3,b1rpb2ox52uxcmjrsnqd95pk5,1,40.5,92.0,2025-05-24T20:09:59.683Z,2025-05-24T20:25:15Z,62d3tsany7t5t2bwm4cx9pbai,A. Villanueva,,,5747856253,141,96.3,5747856255,212,15.6,5747856251,140,55.1,5747856249,56,Left,5747856257,213,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818485307,30,1,1,3,4,b1rpb2ox52uxcmjrsnqd95pk5,1,58.5,96.9,2025-05-24T20:10:00.052Z,2025-05-24T20:26:28Z,3ldhrzekr0tztaxr3sc8mmg2x,B. Morris,,,5747906707,141,89.5,5747907069,3,,5747906709,212,9.4,5747906711,213,3.70,5747906705,140,50.9,5747906703,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818494173,158,1,1,3,5,b1rpb2ox52uxcmjrsnqd95pk5,1,58.3,80.3,2025-05-24T20:10:01.521Z,2025-05-24T20:27:04Z,62d3tsany7t5t2bwm4cx9pbai,A. Villanueva,,,5747911341,56,Center,5747911343,140,58.5,5747911339,155,,5747911345,141,71.1,5747911347,212,6.3,5747911349,213,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818494177,159,1,1,3,6,b1rpb2ox52uxcmjrsnqd95pk5,0,61.1,70.3,2025-05-24T20:10:02.769Z,2025-05-24T22:25:42Z,9irc1xmfpa2395qef78rfyjje,J. Cedeño,,,5747913709,141,75.0,5747913707,140,70.7,5747913711,212,10.6,5747913713,213,0.31,5747913705,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818485313,22,61,1,3,7,e3k8yw2rbmphyfu5htn4yi5jk,0,26.4,20.9,2025-05-24T20:10:03.341Z,2025-05-24T20:10:03Z,94zkjopy373mgso15ljxmhd04,N. Houssou,,,5747856273,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818485375,31,1,1,3,9,b1rpb2ox52uxcmjrsnqd95pk5,1,69.9,73.8,2025-05-24T20:10:05.602Z,2025-05-24T20:29:06Z,3ldhrzekr0tztaxr3sc8mmg2x,B. Morris,,,5747856701,56,Center,5747856703,140,72.8,5747856705,141,53.6,5747856707,212,14.1,5747856709,213,4.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818485401,32,1,1,3,13,b1rpb2ox52uxcmjrsnqd95pk5,1,68.4,56.0,2025-05-24T20:10:09.474Z,2025-05-24T20:29:18Z,8d6e9axgsli468lnomdbcgu6t,D. Smith,,,5747856855,141,22.9,5747856853,140,72.8,5747856859,213,4.91,5747856851,56,Center,5747856857,212,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818485411,33,1,1,3,14,b1rpb2ox52uxcmjrsnqd95pk5,1,68.1,17.0,2025-05-24T20:10:10.083Z,2025-05-24T20:31:07Z,7jizpx7yu2zxvcrnf9z4408vd,R. Williams,,,5747856905,56,Center,5747856913,213,1.51,5747856911,212,16.8,5747856907,140,69.1,5747856909,141,41.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818494181,160,1,1,3,15,b1rpb2ox52uxcmjrsnqd95pk5,1,62.1,37.2,2025-05-24T20:10:11.081Z,2025-05-24T20:30:39Z,6rnuvzwbmj7qv80xlwkjvqnkl,J. Chapman,,,5747922565,56,Center,5747922571,212,19.8,5747922573,213,6.21,5747922567,140,80.9,5747922569,141,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818485415,34,1,1,3,18,b1rpb2ox52uxcmjrsnqd95pk5,0,73.9,37.9,2025-05-24T20:10:14.084Z,2025-05-24T20:31:23Z,3ldhrzekr0tztaxr3sc8mmg2x,B. Morris,,,5747856923,140,74.0,5747856925,141,36.6,5747857005,236,,5747856921,56,Center,5747857011,286,,5747856933,213,4.83,5747856929,212,0.9,5747857007,233,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818485413,23,74,1,3,18,e3k8yw2rbmphyfu5htn4yi5jk,1,28.0,82.3,2025-05-24T20:10:14.085Z,2025-05-24T20:10:15Z,aur71sievd8d2fnrumu3xf6c,N. Dossantos,,,5747856919,285,,5747856917,56,Back,5747857019,233,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818498185,219,12,1,3,20,e3k8yw2rbmphyfu5htn4yi5jk,1,19.7,72.2,2025-05-24T20:10:16.918Z,2025-05-24T20:33:56Z,1h85rt7bnqep3qovatft86pgq,A. Rodríguez,,,5747935653,56,Back,5747935655,140,40.5,5747935657,141,64.2,5747935659,212,22.5,5747935661,213,6.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
