id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2800292799,6,44,1,0,16,5x54jbfk11lrsmipgsx7cdbai,0,55.6,56.0,2025-04-12T23:38:17.060Z,2025-04-12T23:38:23Z,87n7hmq7f1q1avazbmwmcg222,A. Skundrich,,,5647397799,286,,5647397797,56,Center,5647397869,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800292873,6,1,1,0,17,5qfq6cwtrgzd2szijivns7rjl,0,54.1,50.4,2025-04-12T23:38:17.738Z,2025-04-12T23:38:22Z,6mrzod8fbjpv5s30eyypfyv2t,M. Arteaga,,,5647398163,141,55.7,5647398167,213,2.16,5647398161,140,51.8,5647398165,212,4.3,5647398159,56,Center,5647398157,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800292847,7,1,1,0,18,5x54jbfk11lrsmipgsx7cdbai,1,60.6,27.0,2025-04-12T23:38:19.320Z,2025-04-12T23:38:21Z,59kky4fyi0w9bdz4ow3gs95yi,K. Tingey,,,5647398029,141,31.9,5647398033,213,0.18,5647398021,56,Center,5647398031,212,19.1,5647398025,140,78.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800292859,8,1,1,0,20,5x54jbfk11lrsmipgsx7cdbai,1,78.5,31.9,2025-04-12T23:38:20.968Z,2025-04-12T23:38:22Z,8bp3sbo230kdhnw76stsw2u39,Pedro Santos,,,5647398073,56,Center,5647398079,212,7.0,5647398077,141,25.2,5647398081,213,3.86,5647398075,140,73.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800292877,9,1,1,0,21,5x54jbfk11lrsmipgsx7cdbai,1,73.5,25.2,2025-04-12T23:38:21.879Z,2025-04-12T23:38:23Z,21vmi7qtrujzez3ziux0wa4et,F. Valot,,,5647398177,56,Right,5647398183,212,18.7,5647398181,141,18.0,5647398185,213,6.02,5647398179,140,90.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800292903,10,1,1,0,22,5x54jbfk11lrsmipgsx7cdbai,1,90.7,18.0,2025-04-12T23:38:23.289Z,2025-04-12T23:38:38Z,8bp3sbo230kdhnw76stsw2u39,Pedro Santos,1.0,,5647398377,140,92.1,5647398379,141,25.8,5647398383,213,1.30,5647398381,212,5.5,5647399145,210,13,5647398375,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800292917,7,45,1,0,26,5qfq6cwtrgzd2szijivns7rjl,0,11.8,73.2,2025-04-12T23:38:26.959Z,2025-04-13T02:02:24Z,dbjysa6qhf203jmpjedz8pgph,T. Vancaeyezeele,,,5647398451,56,Back,5647398453,285,,5647398575,233,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800292925,11,3,1,0,26,5x54jbfk11lrsmipgsx7cdbai,1,88.2,26.8,2025-04-12T23:38:26.959Z,2025-04-13T02:02:23Z,59kky4fyi0w9bdz4ow3gs95yi,K. Tingey,,,5647398505,56,Center,5647398539,233,7,5647398507,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800292929,12,13,1,0,27,5x54jbfk11lrsmipgsx7cdbai,1,91.8,32.1,2025-04-12T23:38:27.937Z,2025-04-12T23:38:39Z,59kky4fyi0w9bdz4ow3gs95yi,K. Tingey,,,5647398523,63,,5647399169,29,,5647399195,231,46.2,5647399171,55,10,5647399181,103,19.4,5647399167,84,,5647399185,215,,5647399193,230,98.6,5647398525,56,Center,5647398521,22,5647399177,102,42.9,5647398785,72,,,,,,,,,,,,,,,,,,,,,,,
2800292965,8,5,1,0,29,5qfq6cwtrgzd2szijivns7rjl,1,-1.0,59.8,2025-04-12T23:38:29.672Z,2025-04-13T02:00:58Z,dbjysa6qhf203jmpjedz8pgph,T. Vancaeyezeele,,,5647398859,233,13,5647398765,346,,5647398763,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800292963,13,5,1,0,29,5x54jbfk11lrsmipgsx7cdbai,0,101.0,40.2,2025-04-12T23:38:29.672Z,2025-04-12T23:38:37Z,59kky4fyi0w9bdz4ow3gs95yi,K. Tingey,,,5647398901,233,8,5647398757,56,Center,5647398759,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293117,9,1,1,0,41,5qfq6cwtrgzd2szijivns7rjl,1,4.4,57.0,2025-04-12T23:38:42.484Z,2025-04-12T23:38:46Z,dp8j7znd4eavuoy3faqpamoa2,N. Campisi,,,5647399663,237,,5647399659,213,1.19,5647399649,56,Back,5647399655,141,87.4,5647399657,212,22.2,5647399647,124,,5647399651,140,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293161,10,1,1,0,45,5qfq6cwtrgzd2szijivns7rjl,0,11.6,90.8,2025-04-12T23:38:45.877Z,2025-04-12T23:38:51Z,bpkzxcqtmvei7lqkqzuvzelsl,A. Guillén,,,5647399919,141,45.7,5647399917,140,54.0,5647399913,157,,5647399925,1,,5647399923,213,5.68,5647399921,212,54.1,5647399915,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293169,14,44,1,0,48,5x54jbfk11lrsmipgsx7cdbai,1,41.3,45.1,2025-04-12T23:38:49.008Z,2025-04-13T02:02:24Z,dek9c2ef9ahynvfrk60d9tm5m,Y. Leerman,,,5647399965,56,Back,5647400015,233,11,5647399967,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293171,11,44,1,0,48,5qfq6cwtrgzd2szijivns7rjl,0,58.7,54.9,2025-04-12T23:38:49.009Z,2025-04-13T02:02:24Z,c08hvq1hplcct8kxrxucfpqp6,W. Pacius,,,5647399971,286,,5647400035,233,14,5647399969,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293177,15,61,1,0,48,5x54jbfk11lrsmipgsx7cdbai,1,33.5,29.7,2025-04-12T23:38:49.263Z,2025-04-13T00:11:42Z,dek9c2ef9ahynvfrk60d9tm5m,Y. Leerman,,,5647399975,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293199,16,1,1,0,51,5x54jbfk11lrsmipgsx7cdbai,1,51.6,32.7,2025-04-12T23:38:52Z,2025-04-12T23:47:49Z,db1h2huu8z1quj816wol1wgkp,T. McCabe,,,5647435943,3,,5647435947,141,31.5,5647435951,213,6.15,5647435945,140,57.3,5647435949,212,6.0,5647400101,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293249,17,4,1,0,56,5x54jbfk11lrsmipgsx7cdbai,1,49.8,24.0,2025-04-12T23:38:57.009Z,2025-04-13T02:00:20Z,87n7hmq7f1q1avazbmwmcg222,A. Skundrich,,,5647400419,152,,5647400409,13,,5647400413,56,Back,5647401307,233,12,5647400423,265,,5647400427,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293241,12,4,1,0,56,5qfq6cwtrgzd2szijivns7rjl,0,50.2,76.0,2025-04-12T23:38:57.010Z,2025-04-13T02:00:20Z,c08hvq1hplcct8kxrxucfpqp6,W. Pacius,,,5647400329,265,,5647400327,152,,5647400323,13,,5647401315,233,17,5647401265,285,,5647400325,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293411,18,1,1,1,7,5x54jbfk11lrsmipgsx7cdbai,1,44.6,28.8,2025-04-12T23:39:08.167Z,2025-04-12T23:39:14Z,db1h2huu8z1quj816wol1wgkp,T. McCabe,,,5647401199,141,36.6,5647401191,5,,5647401207,213,2.79,5647401193,152,,5647401197,140,30.9,5647401203,212,15.3,5647401195,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293447,19,1,1,1,13,5x54jbfk11lrsmipgsx7cdbai,1,34.2,36.7,2025-04-12T23:39:14.279Z,2025-04-12T23:39:18Z,dek9c2ef9ahynvfrk60d9tm5m,Y. Leerman,,,5647401395,212,10.4,5647401397,213,4.81,5647401393,141,21.5,5647401389,56,Back,5647401391,140,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293489,20,1,1,1,17,5x54jbfk11lrsmipgsx7cdbai,0,36.9,20.0,2025-04-12T23:39:18.423Z,2025-04-12T23:39:24Z,db1h2huu8z1quj816wol1wgkp,T. McCabe,,,5647401641,56,Left,5647401651,1,,5647401647,212,78.5,5647401643,140,100.0,5647401639,155,,5647401645,141,79.6,5647401649,213,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293675,13,5,1,1,23,5qfq6cwtrgzd2szijivns7rjl,1,-1.2,25.2,2025-04-12T23:39:24.138Z,2025-04-13T02:00:59Z,2wufroeor0e7k6hvatj1ltwfe,L. Wyke,,,5647402653,56,Back,5647402831,233,21,5647402655,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293701,21,5,1,1,23,5x54jbfk11lrsmipgsx7cdbai,0,101.2,74.8,2025-04-12T23:39:24.138Z,2025-04-13T02:00:59Z,db1h2huu8z1quj816wol1wgkp,T. McCabe,,,5647402811,346,,5647402809,56,Center,5647402867,233,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293727,14,1,1,1,39,5qfq6cwtrgzd2szijivns7rjl,1,5.0,49.3,2025-04-12T23:39:39.993Z,2025-04-12T23:39:44Z,dp8j7znd4eavuoy3faqpamoa2,N. Campisi,,,5647402975,141,63.6,5647402983,237,,5647402973,140,5.4,5647402977,212,9.7,5647402971,56,Back,5647402969,124,,5647402979,213,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293743,15,1,1,1,43,5qfq6cwtrgzd2szijivns7rjl,0,6.3,69.0,2025-04-12T23:39:44.266Z,2025-04-12T23:39:45Z,87rpg135z1k0ir74kdczwo2y1,F. Lasso,,,5647403055,1,,5647403045,56,Back,5647403051,212,35.5,5647403047,140,39.9,5647403049,141,62.9,5647403043,155,,5647403053,213,6.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293809,22,1,1,1,46,5x54jbfk11lrsmipgsx7cdbai,0,54.9,27.6,2025-04-12T23:39:46.702Z,2025-04-12T23:50:39Z,db1h2huu8z1quj816wol1wgkp,T. McCabe,,,5647403347,3,,5647403351,140,56.5,5647403353,141,32.2,5647403355,212,3.6,5647403349,56,Center,5647403359,213,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293811,16,44,1,1,48,5qfq6cwtrgzd2szijivns7rjl,1,36.5,62.8,2025-04-12T23:39:48.966Z,2025-04-13T02:02:25Z,c08hvq1hplcct8kxrxucfpqp6,W. Pacius,,,5647403365,285,,5647449349,233,26,5647403363,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800294049,26,44,1,1,48,5x54jbfk11lrsmipgsx7cdbai,0,63.5,37.2,2025-04-12T23:39:48.967Z,2025-04-13T02:02:25Z,87n7hmq7f1q1avazbmwmcg222,A. Skundrich,,,5647449379,233,16,5647404655,286,,5647404653,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293823,17,1,1,1,48,5qfq6cwtrgzd2szijivns7rjl,0,34.9,51.8,2025-04-12T23:39:49.122Z,2025-04-13T02:00:33Z,c08hvq1hplcct8kxrxucfpqp6,W. Pacius,,,5647403405,213,3.44,5647403395,3,,5647403399,140,31.3,5647403397,56,Back,5647403401,141,50.1,5647403403,212,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293817,23,61,1,1,50,5x54jbfk11lrsmipgsx7cdbai,1,56.5,32.2,2025-04-12T23:39:50.959Z,2025-04-12T23:50:54Z,87n7hmq7f1q1avazbmwmcg222,A. Skundrich,,,5647403381,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293883,18,1,1,1,52,5qfq6cwtrgzd2szijivns7rjl,1,28.3,66.6,2025-04-12T23:39:52.666Z,2025-04-12T23:39:55Z,bpkzxcqtmvei7lqkqzuvzelsl,A. Guillén,,,5647403719,140,36.1,5647403723,212,12.8,5647403721,141,52.1,5647403717,56,Back,5647403725,213,5.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293891,19,1,1,1,54,5qfq6cwtrgzd2szijivns7rjl,1,35.9,55.1,2025-04-12T23:39:55.227Z,2025-04-12T23:40:25Z,7ao58e6608lb8eu3dmk17jisp,O. Bassett,,,5647403777,141,38.3,5647403779,212,25.2,5647403773,140,14.5,5647403783,213,3.61,5647403771,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293917,20,1,1,1,56,5qfq6cwtrgzd2szijivns7rjl,1,14.5,38.3,2025-04-12T23:39:56.913Z,2025-04-12T23:39:59Z,du5dg5x7as3ub1iemjuwdd6uh,R. Castellanos,,,5647403929,213,5.58,5647403925,141,18.6,5647403923,140,29.5,5647403927,212,20.7,5647403921,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293937,21,1,1,1,59,5qfq6cwtrgzd2szijivns7rjl,1,31.7,14.9,2025-04-12T23:39:59.634Z,2025-04-12T23:40:01Z,2wufroeor0e7k6hvatj1ltwfe,L. Wyke,,,5647404045,212,6.5,5647404041,140,25.5,5647404047,213,3.07,5647404043,141,15.6,5647404037,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293939,22,1,1,2,0,5qfq6cwtrgzd2szijivns7rjl,0,21.6,15.2,2025-04-12T23:40:00.921Z,2025-04-12T23:40:11Z,du5dg5x7as3ub1iemjuwdd6uh,R. Castellanos,,,5647404075,212,8.6,5647404199,286,,5647404067,56,Back,5647404071,141,10.7,5647404077,213,5.92,5647404191,236,,5647404193,233,24,5647404069,140,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293959,24,74,1,2,0,5x54jbfk11lrsmipgsx7cdbai,1,87.9,81.2,2025-04-12T23:40:00.922Z,2025-04-13T02:00:36Z,21vmi7qtrujzez3ziux0wa4et,F. Valot,,,5647404169,56,Left,5647404223,233,22,5647404171,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293999,23,5,1,2,1,5qfq6cwtrgzd2szijivns7rjl,1,22.4,-1.6,2025-04-12T23:40:02.177Z,2025-04-13T02:01:00Z,dp8j7znd4eavuoy3faqpamoa2,N. Campisi,,,5647404413,347,,5647404465,233,25,5647404405,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293973,25,5,1,2,1,5x54jbfk11lrsmipgsx7cdbai,0,77.6,101.6,2025-04-12T23:40:02.177Z,2025-04-13T02:01:00Z,21vmi7qtrujzez3ziux0wa4et,F. Valot,,,5647404289,56,Left,5647404291,347,,5647404505,233,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800294147,24,1,1,2,13,5qfq6cwtrgzd2szijivns7rjl,0,30.6,0.0,2025-04-12T23:40:14.225Z,2025-04-13T00:17:28Z,2wufroeor0e7k6hvatj1ltwfe,L. Wyke,,,5647405261,56,Back,5647405263,140,37.6,5647405267,212,12.8,5647405259,107,,5647405265,141,14.1,5647405269,213,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800294121,27,1,1,2,16,5x54jbfk11lrsmipgsx7cdbai,0,56.7,95.3,2025-04-12T23:40:17.054Z,2025-04-13T01:50:28Z,7ehcrcdv82ib5fkpo3498gpgp,K. Awuah,,,5647405075,56,Left,5647405083,213,6.01,5647405419,1,,5647405077,140,62.3,5647547651,286,,5647405081,212,6.1,5647548561,233,356,5647405417,157,,5647547649,236,,5647405079,141,,,,,,92.9,,,,,,,,,,,,,,,,,,,,,,
2800318809,356,74,1,2,16,5qfq6cwtrgzd2szijivns7rjl,1,41.5,4.3,2025-04-12T23:40:17.055Z,2025-04-13T02:00:36Z,dbjysa6qhf203jmpjedz8pgph,T. Vancaeyezeele,,,5647548571,233,27,5647546277,285,,5647546273,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800294127,28,4,1,2,18,5x54jbfk11lrsmipgsx7cdbai,1,62.4,88.5,2025-04-12T23:40:19.223Z,2025-04-13T02:00:20Z,agl19e1fx5123lk28avksxb3e,A. Aboukoura,,,5647405155,286,,5647405153,265,,5647405147,13,,5647405151,152,,5647405361,233,25,5647405149,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800294155,25,4,1,2,18,5qfq6cwtrgzd2szijivns7rjl,0,37.6,11.5,2025-04-12T23:40:19.224Z,2025-04-13T02:00:21Z,4l1wyg8j3u42b87477y3zm54a,C. MacPherson,,,5647405365,233,28,5647405343,13,,5647405349,265,,5647405347,152,,5647405351,285,,5647405345,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800294245,29,1,1,2,30,5x54jbfk11lrsmipgsx7cdbai,1,62.4,90.8,2025-04-12T23:40:30.582Z,2025-04-12T23:40:57Z,7ehcrcdv82ib5fkpo3498gpgp,K. Awuah,,,5647405825,56,Center,5647405821,5,,5647405831,212,16.4,5647405827,140,55.1,5647405833,213,4.23,5647405823,152,,5647405829,141,69.4,5647407695,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800294257,30,1,1,2,31,5x54jbfk11lrsmipgsx7cdbai,1,55.1,69.4,2025-04-12T23:40:31.814Z,2025-04-12T23:40:33Z,db1h2huu8z1quj816wol1wgkp,T. McCabe,,,5647405897,56,Back,5647405901,141,38.9,5647405899,140,43.0,5647405903,212,24.3,5647405905,213,4.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800294273,31,1,1,2,32,5x54jbfk11lrsmipgsx7cdbai,1,43.0,38.9,2025-04-12T23:40:32.902Z,2025-04-12T23:40:35Z,dek9c2ef9ahynvfrk60d9tm5m,Y. Leerman,,,5647405985,141,23.0,5647405981,56,Center,5647405987,212,17.5,5647405989,213,5.62,5647405983,140,56.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
