id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/9/value,qualifier/10/value,qualifier/12/value,qualifier/15/value,qualifier/8/value,qualifier/14/value
2822694241,17,1,1,0,38,aj8ytsr2ap33tod0hd8ofzaw9,0,93.2,92.4,2025-06-15T00:37:55.425Z,2025-06-15T00:37:57Z,64amlcisr3cr924jwy25rjs9h,L. Stauffer,,,5771412695,2,,5771412707,213,4.79,5771412703,141,47.5,5771412705,212,30.6,5771412697,155,,5771412699,56,Center,5771412701,140,95.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822694365,14,1,1,0,56,2iwybwokic7nmr1t33abdbjoq,1,13.6,54.9,2025-06-15T00:38:12.913Z,2025-06-15T00:38:16Z,7y56spdjsagw833hgo5ranvf9,P. Rakovsky,,,5771413369,213,1.66,5771413365,141,75.8,5771413361,56,Back,5771413367,212,14.3,5771413363,140,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822694379,15,1,1,0,59,2iwybwokic7nmr1t33abdbjoq,0,16.4,76.1,2025-06-15T00:38:16.297Z,2025-06-15T00:38:20Z,d74g09o22jua08rgr8e71x4kq,R. Flood,,,5771413431,155,,5771413441,213,0.04,5771413439,212,52.6,5771413435,140,66.5,5771413437,141,79.0,5771413433,56,Left,5771413443,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822694405,18,1,1,1,3,aj8ytsr2ap33tod0hd8ofzaw9,1,31.5,12.8,2025-06-15T00:38:20.287Z,2025-06-15T00:38:22Z,5ku33b8dbb20fhqdg8h83rdyi,A. Rogers,,,5771413589,56,Back,5771413597,213,6.02,5771413593,141,8.9,5771413595,212,10.1,5771413591,140,40.8,5771413587,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822694429,20,1,1,1,6,aj8ytsr2ap33tod0hd8ofzaw9,0,40.8,8.9,2025-06-15T00:38:22.944Z,2025-06-15T00:38:25Z,bw0h202lprp7jzdtp6hv78ixh,Marcos Cerato,,,5771413685,56,Back,5771413691,212,44.5,5771413693,213,2.05,5771413687,140,21.3,5771413695,1,,5771413689,141,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822694469,21,43,1,1,9,aj8ytsr2ap33tod0hd8ofzaw9,1,0.0,0.0,2025-06-15T00:38:26.641Z,2025-06-15T00:38:39Z,bw0h202lprp7jzdtp6hv78ixh,Marcos Cerato,,,5771413865,285,0,5771413863,56,Back,5771414261,144,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822694491,17,1,1,1,10,2iwybwokic7nmr1t33abdbjoq,1,76.9,43.3,2025-06-15T00:38:26.722Z,2025-06-15T03:22:03Z,dv155f8jlvq8frvhjcokboiy1,C. Dennis,1.0,,5771413981,140,83.5,5771845743,154,,5771413983,141,53.0,5771413987,213,0.76,5771413985,212,9.6,5771413979,56,Center,5771414259,210,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822694497,18,15,1,1,13,2iwybwokic7nmr1t33abdbjoq,1,84.3,54.0,2025-06-15T00:38:30.427Z,2025-06-15T03:22:16Z,6naqq6f6acfec3zh2msuxrmqd,D. Formella,,,5771414283,102,53.8,5771414279,55,17,5771414285,103,1.3,5771414051,20,,5771413999,56,Center,5771413997,17,,5771414295,231,51.8,5771414293,230,96.9,5771414277,29,5771413995,22,5771845755,133,5771846063,233,24,5771845753,154,5771414289,146,96.9,5771414275,76,5771414287,215,5771414291,147,51.8,,,,,,
2822694475,22,43,1,1,13,aj8ytsr2ap33tod0hd8ofzaw9,1,0.0,0.0,2025-06-15T00:38:30.527Z,2025-06-15T03:21:16Z,d99eakp27bro9g50wpzti8rca,A. Cissoko,,,5771413905,56,Back,5771844407,144,10,5771413903,94,0,5771414339,233,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822694535,24,10,1,1,13,aj8ytsr2ap33tod0hd8ofzaw9,1,4.4,49.3,2025-06-15T00:38:30.527Z,2025-06-15T03:22:16Z,6j9gbfyvpr5lqp6aak54597ca,J. Peñaranda,,,5771844615,56,Back,5771844859,178,,5771846069,233,18,5771844861,182,,5771844857,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822694499,23,43,1,1,16,aj8ytsr2ap33tod0hd8ofzaw9,1,0.0,0.0,2025-06-15T00:38:33.448Z,2025-06-15T00:38:36Z,6j9gbfyvpr5lqp6aak54597ca,J. Peñaranda,,,5771414015,56,Back,5771414009,173,0,5771414013,182,0,5771414157,144,63,5771414011,178,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822694703,26,1,1,1,40,aj8ytsr2ap33tod0hd8ofzaw9,0,13.5,57.3,2025-06-15T00:38:56.776Z,2025-06-15T00:39:02Z,6j9gbfyvpr5lqp6aak54597ca,J. Peñaranda,,,5771415117,1,,5771415113,212,63.1,5771415109,140,72.0,5771415115,213,0.23,5771415105,198,,5771415107,56,Center,5771415103,157,,5771415111,141,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822694707,19,44,1,1,44,2iwybwokic7nmr1t33abdbjoq,1,28.9,24.4,2025-06-15T00:39:01.409Z,2025-06-15T01:42:05Z,e23yyl43xtcve09dx234uuj8,A. Essengue,,,5771415139,285,,5771415137,56,Back,5771415167,233,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822694705,27,44,1,1,44,aj8ytsr2ap33tod0hd8ofzaw9,0,71.1,75.6,2025-06-15T00:39:01.410Z,2025-06-15T01:42:05Z,87pe681vhgbb6plpej3tr74oa,K. ElMedkhar,,,5771415201,233,19,5771415133,56,Center,5771415135,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822694723,20,1,1,1,45,2iwybwokic7nmr1t33abdbjoq,0,30.4,29.8,2025-06-15T00:39:01.979Z,2025-06-15T00:47:44Z,e23yyl43xtcve09dx234uuj8,A. Essengue,,,5771415227,56,Back,5771415235,213,0.13,5771415225,3,,5771415231,141,32.0,5771415233,212,11.6,5771415229,140,41.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822694713,28,61,1,1,46,aj8ytsr2ap33tod0hd8ofzaw9,0,61.3,70.3,2025-06-15T00:39:03.087Z,2025-06-15T04:05:20Z,do5q14naxm61jw8px8qvacn4k,B. Diallo,,,5771415183,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822694729,21,43,1,1,46,2iwybwokic7nmr1t33abdbjoq,1,0.0,0.0,2025-06-15T00:39:03.088Z,2025-06-15T00:45:32Z,74bhj4xi5zgq6evsr4c766p04,H. Avayevu,,,5771418267,285,0,5771415265,56,Back,5771438089,144,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822699009,80,83,1,1,46,aj8ytsr2ap33tod0hd8ofzaw9,0,62.0,69.5,2025-06-15T00:39:03.502Z,2025-06-15T00:46:10Z,do5q14naxm61jw8px8qvacn4k,B. Diallo,,,5771440901,399,74bhj4xi5zgq6evsr4c766p04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822694741,22,1,1,1,48,2iwybwokic7nmr1t33abdbjoq,0,38.5,18.2,2025-06-15T00:39:05.449Z,2025-06-15T00:39:06Z,74bhj4xi5zgq6evsr4c766p04,H. Avayevu,,,5771415329,213,3.99,5771415325,141,11.9,5771415321,56,Back,5771415327,212,5.7,5771415323,140,34.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822694771,29,1,1,1,49,aj8ytsr2ap33tod0hd8ofzaw9,1,66.6,91.8,2025-06-15T00:39:06.353Z,2025-06-15T00:39:09Z,87pe681vhgbb6plpej3tr74oa,K. ElMedkhar,,,5771415489,141,82.9,5771415487,140,70.6,5771415493,213,5.32,5771415491,212,7.4,5771415485,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822694761,23,83,1,1,51,2iwybwokic7nmr1t33abdbjoq,0,33.1,15.9,2025-06-15T00:39:08.425Z,2025-06-15T00:39:10Z,9xjixcn3jhf7m75dl49u0qe7e,C. Smith,,,5771415549,399,441plehxckmdj5gb2mr6y8ne2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822694781,30,1,1,1,52,aj8ytsr2ap33tod0hd8ofzaw9,0,68.9,79.0,2025-06-15T00:39:08.960Z,2025-06-15T00:39:10Z,441plehxckmdj5gb2mr6y8ne2,E. Goldthorp,,,5771415525,141,70.6,5771415521,56,Center,5771415527,212,5.9,5771415523,140,67.5,5771415529,213,4.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822694809,25,1,1,1,54,2iwybwokic7nmr1t33abdbjoq,1,36.3,25.4,2025-06-15T00:39:10.794Z,2025-06-15T00:39:12Z,74bhj4xi5zgq6evsr4c766p04,H. Avayevu,,,5771415629,140,43.1,5771415633,212,8.2,5771415635,213,5.76,5771415631,141,19.4,5771415627,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822694819,26,1,1,1,55,2iwybwokic7nmr1t33abdbjoq,1,43.1,19.4,2025-06-15T00:39:11.938Z,2025-06-15T00:39:14Z,6naqq6f6acfec3zh2msuxrmqd,D. Formella,,,5771415725,156,,5771415659,140,37.8,5771415663,141,16.5,5771415667,212,5.9,5771415669,213,3.48,5771415655,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822694893,27,1,1,1,58,2iwybwokic7nmr1t33abdbjoq,1,38.4,28.9,2025-06-15T00:39:14.666Z,2025-06-15T00:47:15Z,dv155f8jlvq8frvhjcokboiy1,C. Dennis,,,5771445667,155,,5771416049,141,93.8,5771416051,212,44.2,5771416045,56,Back,5771416043,196,,5771416047,140,36.8,5771416055,1,,5771416053,213,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822694905,28,1,1,2,3,2iwybwokic7nmr1t33abdbjoq,0,38.3,94.6,2025-06-15T00:39:20.451Z,2025-06-15T00:39:21Z,d74g09o22jua08rgr8e71x4kq,R. Flood,,,5771416123,155,,5771416127,140,69.3,5771416125,56,Left,5771416131,212,33.0,5771416135,1,,5771416133,213,6.12,5771416129,141,86.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822694935,31,8,1,2,7,aj8ytsr2ap33tod0hd8ofzaw9,1,25.6,7.9,2025-06-15T00:39:24.096Z,2025-06-15T00:39:24Z,2imizu6je16b3ssheijycxjh1,H. St Clair,,,5771416287,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822694971,33,1,1,2,9,aj8ytsr2ap33tod0hd8ofzaw9,0,28.6,7.4,2025-06-15T00:39:25.672Z,2025-06-15T00:39:29Z,2imizu6je16b3ssheijycxjh1,H. St Clair,,,5771416455,157,,5771416457,56,Center,5771416461,141,30.0,5771416459,140,73.0,5771416465,213,0.32,5771416467,1,,5771416463,212,49.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822695033,30,1,1,2,17,2iwybwokic7nmr1t33abdbjoq,1,24.4,59.1,2025-06-15T00:39:33.769Z,2025-06-15T00:39:36Z,e23yyl43xtcve09dx234uuj8,A. Essengue,,,5771416769,140,29.5,5771416771,141,70.8,5771416767,56,Back,5771416775,213,0.98,5771416773,212,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822695053,31,1,1,2,19,2iwybwokic7nmr1t33abdbjoq,1,25.3,65.2,2025-06-15T00:39:36.290Z,2025-06-15T00:39:39Z,3csngjh4kjgpkfayppiwfbw2c,B. Montgomery,,,5771416897,56,Back,5771416901,141,40.9,5771416903,212,16.5,5771416905,213,4.76,5771416899,140,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822695077,32,1,1,2,23,2iwybwokic7nmr1t33abdbjoq,1,27.3,36.1,2025-06-15T00:39:39.890Z,2025-06-15T00:39:43Z,e23yyl43xtcve09dx234uuj8,A. Essengue,,,5771417035,141,49.5,5771417033,140,40.5,5771417037,212,16.6,5771417031,56,Back,5771417039,213,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822695069,34,83,1,2,24,aj8ytsr2ap33tod0hd8ofzaw9,0,58.1,34.8,2025-06-15T00:39:41.607Z,2025-06-15T00:39:44Z,bw0h202lprp7jzdtp6hv78ixh,Marcos Cerato,,,5771417139,399,6naqq6f6acfec3zh2msuxrmqd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822695091,33,1,1,2,26,2iwybwokic7nmr1t33abdbjoq,1,40.5,49.5,2025-06-15T00:39:43.225Z,2025-06-15T00:39:44Z,6naqq6f6acfec3zh2msuxrmqd,D. Formella,,,5771417107,56,Back,5771417111,141,37.0,5771417109,140,30.0,5771417115,213,3.80,5771417113,212,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822695121,34,1,1,2,30,2iwybwokic7nmr1t33abdbjoq,0,34.5,37.3,2025-06-15T00:39:47.297Z,2025-06-15T00:39:49Z,e23yyl43xtcve09dx234uuj8,A. Essengue,,,5771417291,155,,5771417299,212,34.4,5771417303,1,,5771417295,140,67.0,5771417293,56,Center,5771417297,141,43.8,5771417301,213,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
