id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value
2813094259,9,1,1,0,15,224tl8u2smnbyliroayk69nt0,0,58.1,10.4,2025-05-10T23:36:50.540Z,2025-05-11T00:33:23Z,1445ppxg007udzcj6t20ceyju,R. Ydrach,,5718044913,212,21.5,5718044911,141,0.0,5718044909,140,77.2,5718044915,213,5.91,5718044907,56,Right,5718044905,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813094357,3,5,1,0,17,83cpn99fh7ulkwe8nezy8a3mx,1,31.2,101.1,2025-05-10T23:36:52.959Z,2025-05-11T02:04:30Z,3hb6yji6u8ftefif91lfrbtre,J. Wilson,,5718045489,347,,5718045519,233,10,5718045487,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813094263,10,5,1,0,17,224tl8u2smnbyliroayk69nt0,0,68.8,-1.1,2025-05-10T23:36:52.959Z,2025-05-11T02:04:31Z,69pe2d0b9ughzcn3iqarracr8,L. Biasi,,5718044923,56,Right,5718044925,347,,5718045533,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813094389,4,1,1,0,30,83cpn99fh7ulkwe8nezy8a3mx,1,38.3,100.0,2025-05-10T23:37:05.201Z,2025-05-10T23:37:08Z,cla0i94uyddjw7jzqoyfsplre,A. McFadden,,5718045659,140,26.3,5718045661,141,77.9,5718045663,212,20.5,5718045665,213,4.05,5718045651,107,,5718045655,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813094405,5,1,1,0,32,83cpn99fh7ulkwe8nezy8a3mx,0,26.3,77.9,2025-05-10T23:37:07.837Z,2025-05-10T23:37:09Z,42hi96pvzz8f69ixlcncn0549,K. Adams,,5718045739,56,Left,5718045749,1,,5718045745,212,46.0,5718045737,157,,5718045741,140,70.0,5718045747,213,0.05,5718045743,141,81.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813094439,11,1,1,0,34,224tl8u2smnbyliroayk69nt0,0,41.6,30.9,2025-05-10T23:37:09.411Z,2025-05-10T23:37:11Z,6omt3lirajdcqxcbhzk9sobmx,G. Vacter,,5718045941,141,22.1,5718045947,1,,5718045943,212,32.6,5718045935,3,,5718045937,56,Center,5718045945,213,6.10,5718045939,140,72.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813094455,6,1,1,0,36,83cpn99fh7ulkwe8nezy8a3mx,0,40.5,63.1,2025-05-10T23:37:11.265Z,2025-05-10T23:38:54Z,cla0i94uyddjw7jzqoyfsplre,A. McFadden,,5718046049,140,55.0,5718046047,56,Center,5718046045,3,,5718046055,213,0.58,5718046051,141,77.8,5718046053,212,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813094521,7,5,1,0,40,83cpn99fh7ulkwe8nezy8a3mx,0,51.0,102.0,2025-05-10T23:37:15.660Z,2025-05-11T02:04:32Z,42hi96pvzz8f69ixlcncn0549,K. Adams,,5718046351,347,,5718047047,233,12,5718046349,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813094639,12,5,1,0,40,224tl8u2smnbyliroayk69nt0,1,49.0,-2.0,2025-05-10T23:37:15.660Z,2025-05-11T02:04:31Z,8pli7fk5kjmt0f9pl6sjsltuy,P. Barnes,,5718046999,347,,5718046997,56,Back,5718047041,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813094673,13,1,1,0,56,224tl8u2smnbyliroayk69nt0,0,55.7,0.0,2025-05-10T23:37:31.500Z,2025-05-10T23:37:35Z,8pli7fk5kjmt0f9pl6sjsltuy,P. Barnes,,5718047209,213,0.50,5718047205,141,10.4,5718047207,212,17.5,5718047201,56,Right,5718047203,140,70.3,5718047199,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813094675,8,44,1,0,59,83cpn99fh7ulkwe8nezy8a3mx,1,32.0,78.2,2025-05-10T23:37:34.720Z,2025-05-11T02:03:19Z,cla0i94uyddjw7jzqoyfsplre,A. McFadden,,5718047227,56,Back,5718047229,285,,5718047337,233,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813094681,14,44,1,0,59,224tl8u2smnbyliroayk69nt0,0,68.0,21.8,2025-05-10T23:37:34.721Z,2025-05-11T02:03:20Z,9jfh2t3w4aqc4o4rvjfk7xey1,A. Williams,,5718047393,233,8,5718047257,286,,5718047255,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813094687,9,1,1,0,59,83cpn99fh7ulkwe8nezy8a3mx,0,35.8,59.4,2025-05-10T23:37:34.976Z,2025-05-10T23:37:36Z,cla0i94uyddjw7jzqoyfsplre,A. McFadden,,5718047295,140,47.9,5718047293,56,Back,5718047291,3,,5718047301,213,5.82,5718047297,141,50.0,5718047299,212,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813094723,15,1,1,1,1,224tl8u2smnbyliroayk69nt0,0,69.0,19.4,2025-05-10T23:37:36.763Z,2025-05-10T23:37:38Z,c4va4gt5g10zm05qtucgyt889,D. Griffin,,5718047501,155,,5718047507,141,11.4,5718047503,56,Right,5718047505,140,87.7,5718047511,213,6.01,5718047509,212,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813094765,10,1,1,1,5,83cpn99fh7ulkwe8nezy8a3mx,0,22.2,84.7,2025-05-10T23:37:40.400Z,2025-05-10T23:37:41Z,5rdtu4wmswu65eqjjw38uao0k,J. Jones,,5718047731,212,24.6,5718047733,213,0.17,5718047727,140,45.3,5718047725,56,Back,5718047729,141,90.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813094823,16,1,1,1,9,224tl8u2smnbyliroayk69nt0,1,67.3,12.8,2025-05-10T23:37:44.373Z,2025-05-10T23:37:47Z,8pli7fk5kjmt0f9pl6sjsltuy,P. Barnes,,5718048085,56,Right,5718048093,213,3.37,5718048087,140,59.1,5718048091,212,8.8,5718048089,141,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813094863,17,1,1,1,11,224tl8u2smnbyliroayk69nt0,1,59.1,9.8,2025-05-10T23:37:46.924Z,2025-05-11T00:33:57Z,1445ppxg007udzcj6t20ceyju,R. Ydrach,,5718048329,213,2.58,5718048325,141,26.1,5718048323,140,42.5,5718048327,212,20.7,5718048321,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813094869,18,1,1,1,15,224tl8u2smnbyliroayk69nt0,1,41.1,25.8,2025-05-10T23:37:51.092Z,2025-05-10T23:37:52Z,3g0rdzkjns986gn34vg3umiqy,S. Suber,,5718048367,56,Back,5718048375,212,21.7,5718048371,140,37.8,5718048377,213,1.73,5718048373,141,57.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813094889,19,1,1,1,17,224tl8u2smnbyliroayk69nt0,1,37.6,58.4,2025-05-10T23:37:52.444Z,2025-05-11T00:34:04Z,6omt3lirajdcqxcbhzk9sobmx,G. Vacter,,5718048499,213,1.58,5718048495,141,85.9,5718048497,212,18.7,5718048491,56,Back,5718048493,140,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813094907,20,1,1,1,19,224tl8u2smnbyliroayk69nt0,0,38.1,86.6,2025-05-10T23:37:54.284Z,2025-05-10T23:37:56Z,69pe2d0b9ughzcn3iqarracr8,L. Biasi,,5718048605,56,Center,5718048607,140,74.6,5718048603,155,,5718048615,1,,5718048611,212,39.6,5718048613,213,6.03,5718048609,141,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813094943,11,1,1,1,23,83cpn99fh7ulkwe8nezy8a3mx,0,32.0,24.4,2025-05-10T23:37:58.792Z,2025-05-10T23:44:07Z,5rdtu4wmswu65eqjjw38uao0k,J. Jones,,5718048849,56,Back,5718048847,3,,5718048855,212,22.7,5718048851,140,46.8,5718048853,141,0.1,5718048857,213,5.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813094947,12,5,1,1,24,83cpn99fh7ulkwe8nezy8a3mx,0,40.8,-1.2,2025-05-10T23:37:59.804Z,2025-05-11T02:04:32Z,5rdtu4wmswu65eqjjw38uao0k,J. Jones,,5718049145,233,21,5718048867,56,Back,5718048869,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813094991,21,5,1,1,24,224tl8u2smnbyliroayk69nt0,1,59.2,101.2,2025-05-10T23:37:59.804Z,2025-05-11T02:04:32Z,69pe2d0b9ughzcn3iqarracr8,L. Biasi,,5718049095,56,Left,5718049097,347,,5718049133,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813095011,22,1,1,1,31,224tl8u2smnbyliroayk69nt0,1,64.0,100.0,2025-05-10T23:38:07.004Z,2025-05-10T23:38:09Z,69pe2d0b9ughzcn3iqarracr8,L. Biasi,,5718049219,1,,5718049207,107,,5718049215,212,31.1,5718049217,213,4.97,5718049209,56,Center,5718049213,141,57.8,5718049211,140,71.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813095063,23,1,1,1,34,224tl8u2smnbyliroayk69nt0,1,71.5,57.8,2025-05-10T23:38:09.324Z,2025-05-11T00:34:25Z,c4va4gt5g10zm05qtucgyt889,D. Griffin,,5718049453,3,,5718049457,56,Center,5718266469,168,,5718049459,140,71.6,5718049463,212,7.6,5718049461,141,46.6,5718049465,213,4.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813133117,407,50,1,1,36,224tl8u2smnbyliroayk69nt0,1,63.8,66.5,2025-05-10T23:38:12.157Z,2025-05-11T01:48:16Z,aqqbh1ugeh2f8jjiq8fu2qwru,B. Jacquesson,,5718572679,233,828,5718267613,56,Center,5718267615,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813189407,828,7,1,1,37,83cpn99fh7ulkwe8nezy8a3mx,0,36.2,33.5,2025-05-10T23:38:12.158Z,2025-05-11T01:48:16Z,cxscznjyygtsgbajv08q04sq2,R. Serrano,,5718570859,56,Back,5718572651,233,407,5718570861,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813095067,24,50,1,1,38,224tl8u2smnbyliroayk69nt0,1,70.0,46.2,2025-05-10T23:38:13.158Z,2025-05-11T01:48:14Z,aqqbh1ugeh2f8jjiq8fu2qwru,B. Jacquesson,,5718049479,56,Center,5718572549,233,13,5718049481,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813095085,13,7,1,1,38,83cpn99fh7ulkwe8nezy8a3mx,0,30.0,53.8,2025-05-10T23:38:13.159Z,2025-05-11T01:48:13Z,cxscznjyygtsgbajv08q04sq2,R. Serrano,,5718049559,56,Back,5718572481,233,24,5718049561,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813095141,25,1,1,1,39,224tl8u2smnbyliroayk69nt0,1,66.8,46.6,2025-05-10T23:38:14.436Z,2025-05-10T23:38:18Z,c4va4gt5g10zm05qtucgyt889,D. Griffin,,5718049867,140,70.3,5718049865,56,Right,5718049871,212,22.8,5718049873,213,4.87,5718049869,141,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813095173,26,1,1,1,43,224tl8u2smnbyliroayk69nt0,1,75.3,13.7,2025-05-10T23:38:18.676Z,2025-05-11T00:35:29Z,8pli7fk5kjmt0f9pl6sjsltuy,P. Barnes,1.0,5718050781,154,,5718050019,140,94.0,5718050779,210,13,5718050023,212,31.7,5718050021,141,50.3,5718050025,213,0.90,5718050017,56,Center,5718050013,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813095179,27,13,1,1,45,224tl8u2smnbyliroayk69nt0,1,88.0,51.3,2025-05-10T23:38:20.579Z,2025-05-11T02:13:58Z,9jfh2t3w4aqc4o4rvjfk7xey1,A. Williams,,5718050797,154,,5718050809,231,49.8,5718050807,230,99.3,5718050799,55,26,5718050063,56,Center,5718050793,73,,5718050795,29,,5718050589,20,,5718642071,108,5718050059,22,5718050803,102,62.4,5718050805,103,27.8,5718050061,17,,,,,,,,,,,,,,,
2813095287,14,5,1,1,46,83cpn99fh7ulkwe8nezy8a3mx,1,-0.7,42.0,2025-05-10T23:38:21.997Z,2025-05-11T02:04:33Z,5rdtu4wmswu65eqjjw38uao0k,J. Jones,,5718050657,346,,5718050655,56,Back,5718050693,233,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813095199,28,5,1,1,46,224tl8u2smnbyliroayk69nt0,0,100.7,58.0,2025-05-10T23:38:21.997Z,2025-05-11T02:04:33Z,9jfh2t3w4aqc4o4rvjfk7xey1,A. Williams,,5718050725,233,14,5718050181,56,Center,5718050183,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813095319,15,43,1,1,58,83cpn99fh7ulkwe8nezy8a3mx,1,0.0,0.0,2025-05-10T23:38:33.528Z,2025-05-10T23:38:37Z,5rdtu4wmswu65eqjjw38uao0k,J. Jones,,5718050789,56,Back,5718050791,285,0,5718050993,144,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813095647,16,1,1,2,24,83cpn99fh7ulkwe8nezy8a3mx,1,4.2,55.7,2025-05-10T23:38:59.416Z,2025-05-10T23:39:04Z,a3k4grlhkn63p3xfb2rzslkdm,D. Las,,5718052395,141,62.7,5718052397,212,63.0,5718052391,56,Center,5718052393,140,64.0,5718052405,74,,5718052401,1,,5718052399,213,0.08,5718052389,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813095655,17,44,1,2,29,83cpn99fh7ulkwe8nezy8a3mx,1,58.6,77.8,2025-05-10T23:39:04.168Z,2025-05-10T23:39:10Z,cla0i94uyddjw7jzqoyfsplre,A. McFadden,,5718052427,56,Center,5718052429,286,,5718052443,233,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813095653,29,44,1,2,29,224tl8u2smnbyliroayk69nt0,0,41.4,22.2,2025-05-10T23:39:04.169Z,2025-05-10T23:39:09Z,8pli7fk5kjmt0f9pl6sjsltuy,P. Barnes,,5718052457,233,17,5718052425,285,,5718052423,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813095699,18,1,1,2,29,83cpn99fh7ulkwe8nezy8a3mx,1,64.0,62.7,2025-05-10T23:39:04.424Z,2025-05-10T23:39:10Z,cla0i94uyddjw7jzqoyfsplre,A. McFadden,,5718052657,56,Center,5718052655,3,,5718052659,140,75.0,5718052663,212,15.1,5718052661,141,76.9,5718052665,213,0.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813095703,19,1,1,2,32,83cpn99fh7ulkwe8nezy8a3mx,0,65.7,74.7,2025-05-10T23:39:07.432Z,2025-05-11T00:36:10Z,cxscznjyygtsgbajv08q04sq2,R. Serrano,,5718052689,140,76.4,5718052687,56,Center,5718052691,141,64.5,5718052693,212,13.2,5718052695,213,5.73,5718052685,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813095735,20,5,1,2,33,83cpn99fh7ulkwe8nezy8a3mx,0,63.2,101.6,2025-05-10T23:39:08.780Z,2025-05-11T02:04:34Z,cxscznjyygtsgbajv08q04sq2,R. Serrano,,5718052891,56,Left,5718052893,347,,5718054101,233,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813095833,30,5,1,2,33,224tl8u2smnbyliroayk69nt0,1,36.8,-1.6,2025-05-10T23:39:08.780Z,2025-05-11T02:04:33Z,8pli7fk5kjmt0f9pl6sjsltuy,P. Barnes,,5718054085,233,20,5718053439,56,Back,5718053441,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813095843,31,1,1,2,50,224tl8u2smnbyliroayk69nt0,0,44.4,0.0,2025-05-10T23:39:25.349Z,2025-05-10T23:39:26Z,8pli7fk5kjmt0f9pl6sjsltuy,P. Barnes,,5718053465,107,,5718053467,56,Back,5718053475,213,1.74,5718053471,141,15.2,5718053473,212,11.9,5718053469,140,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813095885,21,61,1,2,54,83cpn99fh7ulkwe8nezy8a3mx,0,48.2,88.7,2025-05-10T23:39:30.064Z,2025-05-11T00:36:22Z,3hb6yji6u8ftefif91lfrbtre,J. Wilson,,5718053689,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813095903,22,5,1,2,56,83cpn99fh7ulkwe8nezy8a3mx,0,60.2,101.4,2025-05-10T23:39:31.584Z,2025-05-10T23:39:44Z,achy1l1rfq2d4ftn6l1esht9m,A. Pérez,,5718053781,56,Left,5718053783,347,,5718054191,233,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813095955,32,5,1,2,56,224tl8u2smnbyliroayk69nt0,1,39.8,-1.4,2025-05-10T23:39:31.584Z,2025-05-11T02:04:34Z,8pli7fk5kjmt0f9pl6sjsltuy,P. Barnes,,5718054145,233,22,5718054075,347,,5718054073,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813096007,33,1,1,3,3,224tl8u2smnbyliroayk69nt0,1,45.3,0.0,2025-05-10T23:39:38.332Z,2025-05-10T23:39:44Z,8pli7fk5kjmt0f9pl6sjsltuy,P. Barnes,,5718054359,140,74.5,5718054365,213,0.31,5718054367,1,,5718054361,141,12.3,5718054363,212,32.1,5718054355,107,,5718054357,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813096013,34,1,1,3,5,224tl8u2smnbyliroayk69nt0,1,74.5,12.2,2025-05-10T23:39:40.164Z,2025-05-10T23:39:45Z,aqqbh1ugeh2f8jjiq8fu2qwru,B. Jacquesson,,5718054397,56,Right,5718054403,212,14.8,5718054399,140,60.5,5718054401,141,15.2,5718054405,213,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813096035,35,1,1,3,9,224tl8u2smnbyliroayk69nt0,1,68.7,16.5,2025-05-10T23:39:44.908Z,2025-05-10T23:39:47Z,8pli7fk5kjmt0f9pl6sjsltuy,P. Barnes,,5718054539,140,80.0,5718054537,56,Center,5718054545,213,0.82,5718054543,212,17.3,5718054541,141,35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813096043,36,1,1,3,12,224tl8u2smnbyliroayk69nt0,1,75.4,35.7,2025-05-10T23:39:47.164Z,2025-05-10T23:39:48Z,9jfh2t3w4aqc4o4rvjfk7xey1,A. Williams,,5718054603,56,Center,5718054607,141,35.4,5718054605,140,70.3,5718054609,212,5.4,5718054611,213,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
